女勇者,まぁ、魔王も倒しちゃったし、いらないって言えばいらないかな
商人,いえ、それもういいですから！
勇者,か、嗅がないでよ！///
商人,嗅ぎません！
戦士,で？なんだっけ？
商人,あの大神官、私は昔会ったことがあります
僧侶,え？大神官様にですか？
商人,ええ、そのときは大神官なんて名前じゃありませんでしたが
勇者,じゃあ、なんなの？
戦士,もったいぶらずに言えよ
僧侶,どきどき
商人,そう、彼は昔こう呼ばれていました。詐欺師と
僧侶,詐欺師！？
商人,ええ、間違いありません
僧侶,そ、そんな・・・・・・あの大神父様が・・・・・・
商人,私も駆け出しのころ詐欺師にひどい罠に嵌められてしまいました
僧侶,なんてことでしょう・・・・・
戦士,んで、んで、どんな目にあったんだよ
勇者,あ、私も知りたい！
商人,それは明日直接お見せしましょう。今度の被害者は詐欺師になるでしょうけどね。あの・・・・・・なんで僧侶さんまでいるんです？
僧侶,い、いえ・・・・・・何となく・・・・・・私のために商人さんがんばってるのにって・・・・・・
商人,いや、教会に寝床あるんでしょう！？
戦士,僧侶、勘違いしちゃいけねーぞ！こいつは人のためなんて言ってても最後には自分の利益を考えてるんだからな！
商人,酷い言われようですね。まぁ概ねその通りですが
僧侶,そ、そうだったんですか。わ、私てっきり私のために頑張ってくれてるなんて勘違いしちゃって///
勇者,またまたー、戦士ったら思ってもないこと言っちゃって！
戦士,な、何言ってんだよ、もう！
勇者,じゃあお風呂入ってねよっか
戦士,そ、そうだな
僧侶,なんかこういうの久しぶりで楽しいです
勇者,そうそう、一人増えたって変わらないよ！
商人,あ、あの宿代払うの私なんですが・・・・・・。あ、あのベッドたくさんあるので離れて寝ませんか？
戦士,何言ってんだ？ここはあたしの指定席だろ？
勇者,こっちは私ー
商人,ちょっ、ちょっとパジャマでくっつかないでっていってるでしょう！
勇者,えーい覚悟せいーえへへー
僧侶,あらあら、どうしましょう。で、では私はここ・・・・・・ですね///
商人,上！？
戦士,ちょっ、僧侶、お前それ反則だぞ！
勇者,そうだよー！
僧侶,ではお休みなさいませ
商人,お・・・・・・おっきい・・・・・・
勇者,え？
商人,い、いえ、なんでもありません
勇者,も、もう僧侶も寝てるし・・・・・・ま、いっか。おやすみー
戦士,しかたねーなー
商人,うう～ん・・・・・・私の・・・・・・それ私のお金ですからー・・・・・・私のお金ですからー。うーん・・・・・・うーん・・・・・・
勇者,んふふー、まだ寝てる・・・・・・
商人,うーん・・・・・・助けてー・・・・・・それ捨てないで・・・・・・私の・・・・・・うーんうーん
勇者,それではお目覚めのチューいただきますー。んーっ
戦士,おい！
勇者,あいたっ！
僧侶,たっ・・・・・んむぅ・・・・・・朝ですかー？お、おトイレー
戦士,こら、商人の上で脱ぐな！
僧侶,わっ！
勇者,それではあらためて、んっー
戦士,だから何でチューしようとしてんだよ！
勇者,だって商人がうなされてるんだからお姫様のチューで目覚めさせてあげないと！
戦士,あんたがお姫様って柄かっての！そ、それならあたいが代わりに・・・・・・
勇者,だめ！
戦士,やったなっ！
僧侶,お、おトイレー
商人,な、何をやっているんですか。みなさん・・・・・
戦士,そ、そそそそそそれは・・・・・・なぁ、勇者///
勇者,な、なんでもないなんでもない！
僧侶,ふぇ？
商人,あ、じゃ、じゃあ私先に行ってますね！
戦士,お、お前のせいだぞ！商人ドン引きだったじゃねーか
勇者,戦士が邪魔しなければ商人も気持ちよく起きれたんだよ！
僧侶,へ？ふぇ？
戦士,お前のせいだー
勇者,ひっ、ひっぱふなー
戦士,やっふぁなぁ！
僧侶,喧嘩はだめです！
勇者,だ、だって戦士が私の商人に・・・・・・
戦士,お、お前が先に手を出そうとしたんじゃねーか！
僧侶,二人とも商人さんが好きなんですね
戦士,えっ？いや、それは・・・・・・///
勇者,えへへー。好きー
戦士,あんたは正直すぎだっての・・・・・・
僧侶,だったらなんで本人に面と向かって言わないんですか？
戦士,だ、だから別に好きってわけじゃ・・・・・・///
勇者,は、はずかいしじゃん！！///
僧侶,だったら二人で好きなだけ喧嘩しててください。私が告白しちゃいますから
勇者,だ、駄目！
戦士,ず、ずるいぞ僧侶！
僧侶,直接言わなきゃ分かりませんよ。商人には
戦士,でも・・・・・・でもでも・・・・・・うっー///
勇者,こ、断られたら一緒にいられないし・・・・・・
僧侶,いえ、分かってても応えてくれないでしょうね
戦士,直接言わなきゃ・・・・・・
勇者,分からない・・・・・・かぁ
宿屋,お客さん。昨晩はお楽しみでしたね。ねっ、どの子がよかったの？
商人,あ、あの・・・・・・ですね
宿屋,ねっ、ねっ、ねっ。聞かせてよ
戦士,うおりゃああー！
宿屋,げふっ！
勇者,なんで宿屋さんっていつもこうなんだろうねー
僧侶,ここの宿屋は特に酷いんです。すみません、すみません
勇者,さ、会計すませて行こうよ！
戦士,つっても商人ががんばるんだけどな
僧侶,期待してます
大神官,いやぁ、お待ちしておりましたよ。豪商様
商人,いえ、遅くなって申し訳ありません
大神官,それで契約書は？
商人,はい、この通り
大神官,す、随分多いですね
商人,大事な契約ですから頑張って作ってきました
大神官,ではさっそく見せてもらいましょうか。しかし、これだけの量となると・・・・・・
商人,ご心配しなくて結構。内容を１枚にまとめてきましたので、こちらを読んでいただければ
大神官,それは手際がいい。さすが私の目に狂いはなかった
商人,契約は、大聖堂の建て直し費用として、聖遺物をゆずる。そして、大聖堂の建て直しについて、私に代金を支払っていただき、請け負うということで
大神官,なるほど、わかりやすい。ええ、それで結構です。くくく、馬鹿め。そんな代金は聖遺物の価値の前には紙くずもどうぜんだ
商人,では、こちらに大神官様の印を。そしてこちらに私の印を
大神官,では、これで契約成立ですな
商人,はい、これまでです。詐欺師さん
大神官,なっ！？。な、なんだこれは！？
商人,ここではどうだか知りませんが、昔の罪までは消せませんよ？詐欺師さん
大神官,な、何者だ！貴様！
商人,何者だと言われても、あなたは私のような無数に騙した若造のことなど覚えていないんじゃないですか？
大神官,つけひげ・・・・・その顔は・・・・・・商人！？
商人,覚えていましたか。そうです。あの町の衛兵に連絡しておいたのです
大神官,覚えているとも！私に騙されて破滅しなかったのはお前だけだからな！
商人,それはありがとうございます
大神官,何を勝った気になっている！この私はただの詐欺師だが、さっきの契約は契約だ！
商人,それはそうですね
大神官,何年かしたら出てこれる！そうなったら私はあれだけの聖遺物と馬鹿な信者どもから集めた金で幸せに暮らせるのだ！分かっているのか！
商人,それはどうですかね？
大神官,な、なに！？
商人,この分厚い契約書。あなた、読まなかったでしょう？
大神官,なっ・・・・・・
商人,そう、私もあの時読まなかった。読む気も起きない量です
大神官,まさか・・・・・・まさか・・・・・・
商人,そう、まさか詐欺師のあなたが自分の考えた手にかかるとはよもや思わなかったでしょう？
大神官,で、ではあの見やすい１枚のペラは・・・・・・
商人,ええ、あれに間違いはありません。私は大聖堂を建て直します。そして、代金もいただきます。そして、ここから但し書きがあります
大神官,こ、こんな小さいところに・・・・・・
商人,小さくても大きくてもこれだけの量読まないでしょう。ただし、代金は大聖堂再建基金とし、余剰額は寄付した物にその金額により還付するっとね
大神官,く、くそがああああああああああ！
商人,これで、あなたの手元に残るお金はありません。私の仲間が寄付したお金も返していただきます。まぁ、全額じゃありませんが、大聖堂が新しくなるならいいでしょう
勇者,商人！かっこよかったよー！
商人,だから腕に絡まないでください
戦士,でも商人の悪寒はこれで勘違いだったって証明されたな！
商人,まぁちょっと損はしましたが、昔のツケを払っていただきましたね。貧乏神はいいすぎでした。すみません
勇者,いいよー！いいよー！今日の商人だったら何でも許しちゃうよー！
商人,ちょっと、暴れないで！
戦士,そういえば僧侶がいないな
商人,！？。うひゃああ！
勇者,どうしたの？
戦士,商人がそんな声出すなんて
商人,今までにない悪寒が・・・・・・
僧侶,あ、みなさんこちらにいましたか！
勇者,僧侶！どこにいってたの？
僧侶,いえ、詐欺師の被害者のみなさんに寄付金の還付をしていまして
戦士,おー、ご苦労様
僧侶,結局寄付金全部使っても足りなくて困ってしまいました
商人,寄付金・・・・・・全部・・・・・・ですって・・・・・・
勇者,ま、まさか・・・・・・
戦士,いや、さすがにそれはないだろ・・・・・・
僧侶,だから私はお金諦めました。それも還付にまわしてもらってそれから・・・・・・
商人,そ、それから・・・・・・・あ、いや、なんか聞きたくないです。あ、あのもういっそここで殺してくれませんか？
勇者,き、気をしっかり持って！商人！
戦士,だ、大丈夫だって！さすがに金オンチの僧侶だって・・・・・・
僧侶,聖遺物も還付にまわして差し上げました
勇者,しょ、商人ー！！
戦士,や、やばっ、泡吹いてる・・・・・・
僧侶,え？どうかしましたか？商人さん？
勇者,あ、いや、そ、僧侶は慈悲深いねー、あ、あはは・・・・・・は
戦士,勇者の借金の費じゃねーぞ・・・・・・こりゃ・・・・・・
僧侶,いえいえ、みなさんとっても喜んでくださって・・・・・・幸せそうでした
戦士,ここに一人不幸な人間がいるけどな・・・・・・
勇者,商人しっかりしてー！。こうして商人は財産のほとんどを失ったのでした。しかし、商人に後悔はありませんでした。商人は財産の代わりにかけがえのないものを手に入れたからです。商人のまわりには笑い声が絶えません。商人がいるだけで周りが笑顔になります。そして商人も幸せそうです。そう、商人は手に入れたからです。超絶かわいくて、超絶かっこよくて、超絶モテモテの勇者その人を生涯の伴侶として。めでたしめでたし
商人,めでたくありません！！幸せでもありません！結婚もしてません！
戦士,おい！勇者！あたしが出てないじゃないか！
僧侶,私も商人さんと幸せになりたいです
勇者,えー、めでたいじゃん
商人,そこに正座なさい！
勇者,はい・・・・・・
戦士,反省してます・・・・・・
僧侶,正座してます・・・・・・
商人,まったくあなたたちは一緒にいて何を学んできたんですか！。１Ｇを笑うものは１Ｇに泣くと言うことわざをしらないんですか。私が小さいころには苦労してした働きをして、将来の夢のために貯金をしていたものです
勇者,僧侶が悪いだよー。商人をこんなに怒らせて
僧侶,わ、私だって反省していますよ。でも人のためになったんですから
戦士,よく考えたらあたし別に怒られるようなことしてないじゃん・・・・・
勇者,そうだよ！私だってカジノでちょーっと遊んだだけなのに
戦士,うん、あんたに言う資格はない
商人,聞いていますか！。それをなんですか！あんなお金の使い方をしていたら本当に将来困りますよ！。まったくどれだけ私を心配させればいいんですか！。反省していますか？。もうお金を無駄遣いしたりしたらだめですよ。よろしい、ではこれお給料です
僧侶,えっ・・・・・・
勇者,こ、こんなのもらえないよ！
戦士,そ、そうだぜ。こんなの貰ったら商人が・・・・・・
商人,私のことなら大丈夫です。もう一度下働きからでもがんばりますから。少なくなってしまって申し訳ありませんが、それで家に帰ることくらいはできるでしょう。あと伝説の剣はちゃんと取ってありますので買いに来てくださいね。戦士さん。待ってますから
勇者,でもお金・・・・・・
商人,とっておいてください。お給料を払うのは経営者の責任です
戦士,商人・・・・・・お前
商人,それではお元気で
僧侶,あ・・・・・・行ってしまいました
勇者,商人・・・・・・怒ってたけど一回も私達を攻めなかったね
僧侶,そういえば・・・・・・・
戦士,それどころか心配までされちまって・・・・・・くそっ！かっこいいなぁ！
勇者,どうする？
戦士,どうするって・・・・・・そりゃ決まってんだろ
僧侶,そうですね！
勇者,うんっ！
商人,０からだけどマイナスからじゃない！０からだけどマイナスからじゃない！。だいじょうぶ！まだ頑張れる！。そう０からだけどマイナスからじゃない！０からだけどマイナスからじゃない！。０からだけどマイナスからじゃない！０からだけどマイナスからじゃない！。人生帳尻がいつか合うようになってるんです。もう貧乏神はいません。０からだけどマイナスからじゃない！０からだけどマイナスからじゃない！。０からだけどマイナスからじゃ・・・・・・
勇者,しょ・・・・・・商人
商人,マイナスきちゃった！
戦士,あ、あのさ。あたしたち話し合ったんだけど、お、おい、僧侶から言ってくれ///
僧侶,は、恥ずかしいですよ。ゆ、勇者さん
勇者,え、私？あっ、その・・・・・・ね。えへへ。そのぉー
戦士,ほらっ、がんばれ
僧侶,言ってください勇者さん
商人,はぁ、もうからかっているんなら行きますよ
勇者,ま、待って！お、お金！返すから！
商人,お金？
勇者,わ、私達の、か、体で返すから！
商人,また働くって言うんですか？でももう私にはお給料だすお金がありません
勇者,そ、そういう意味じゃなくて・・・・・・
商人,はぁ！？
僧侶,は、恥ずかしすぎます///
勇者,わ、私商人のことが好き！すきなの！
戦士,あ、あたしだって負けてないぞ！
僧侶,わ、私だってです！商人さんが・・・・・・その・・・・・・好きなんです
商人,いやいやいや、待ってくださいよ。それに僧侶さん神に操をたててるんでしょう
僧侶,も、もうあの件で責任を取って辞めてますから元僧侶です///
戦士,こ、今度からはチラ見なんてしなくてガン見してもいいんだからな！///
商人,それに３人いっぺんになんて重婚に・・・・・・
勇者,この辺りは一夫多妻認めてるみたいだよー
商人,そ、それに３人も養っていくなんて私には・・・・・・
僧侶,だいじょうぶですよ
商人,はっ？
勇者,お金返すっていったでしょ？
商人,それは体で・・・・・・？
勇者,そ、それでも返すけど！も、もう！スケベ！
商人,いたっ！
戦士,あたしたちが商人を養うからさ！
商人,へっ？
僧侶,そうですよ。私達が働きますから商人さんは家でゆっくりしてていいですよ
勇者,うん、今までの分返すからさ！
商人,いや、あの、それって俗に言うヒモって言うのじゃないんですか？
戦士,いいじゃねーかよ！で、どうするんだよ！商人
勇者,商人！私商人と一緒にいたい！
僧侶,わ、私もです
商人,ど、どうすれば・・・・・・
勇者,い、家で私達を可愛がってくれるだけでいいんだよっ
商人,わ、わかりました！えーい！もうみんな歓迎しちゃいます！
勇者,ほ、ほんと！
戦士,ほ、ほんとに商人のお嫁さんになっちゃうのか・・・・・・
僧侶,どきどき
商人,伝説の３人を奥さんにするなんてこんな名誉な事ありません！この名前は売れます！
勇者,う、売るの！？
戦士,こ、こいつ９９％商売で出来てるんだな・・・・・・
僧侶,残り１％はHでしょうか・・・・・・
勇者,じゃ、じゃあね！うちきてよ！お父さんとお母さんにも紹介する！
戦士,あ、これずるいぞ！ここからじゃあたしの村の方が近いじゃないか！あたしが先だ！
僧侶,わ、私と一緒に主である神に語報告しましょう！
戦士,僧侶やめたんじゃないのかよ！
僧侶,いいんです！
勇者,商人！ちゅーしよ！ちゅーっ！
戦士,あ、ずるいぞてめぇ！
僧侶,では私が・・・・・・
商人,まぁ、これでいっか
