アイドルのみんなも、,どうしたんだろうね
Ｐ,冬馬……俺は……俺はな……。もう、人間をやめるよ……
冬馬,……どういう意味だよ
Ｐ,俺はやっぱり……最低の人間だった
冬馬,はあっ？
Ｐ,でももう、人間をやめるよ……いや、もうやめているのか……それとも俺は、そもそも人間じゃなかったのか……
翔太,冬馬ぁ……この人、もしかして頭が……
北斗,どうかな。それで、どうしてここにいるんだい？
Ｐ,ああ、ジュピターのプロデュースを頼まれたんだったな……けど、そんな気は無い
北斗,それはそうだろうね
Ｐ,だが、黒井……社長の命令だ。これを持ってきてもらった。やるから好きに使え
翔太,な、なんか怖いよ……
北斗,なんですか？これは
Ｐ,アイドル虎の巻……俺のノウハウが書いてある。上手く読み解けるなら、オーディションでも敵無しだぞ
翔太,ほ、ほんと？
Ｐ,鍵はこれだ。読み方は、今から教えてやる
北斗,それは、願ってもないプレゼントだけど……
冬馬,なんで俺らに、そんな物を……それって背信行為ってヤツじゃないのか？
Ｐ,倫理は人間の良心を肯定する行為だ。だが、俺は人間をやめる……もうそんなものに囚われない……。……いや、そもそも俺は……人間じゃなかったのかもな……。ただし、黒井社長にも言ったが、ある程度以上の実力者には通じないだろうな。それにこれは現時点では有効だが、時がたてばデータが古くて役にたたなくなるだろう
翔太,でも、参考にさせてもらうよ。ありがとう
北斗,チャオ☆さっそく、詳しく読んでみるよ
冬馬,……なあ、あんたは本当にそれでいいんだな
Ｐ,ははも羅刹は義理堅いな。いい。それにこれぐらいしか黒井社長に義理立てする気は無い。使える内に使え
冬馬,俺は冬馬だ！……それで？765プロの連中に会ったら、何か伝える事とか無いのかよ
Ｐ,……いや、いい
冬馬,そうか。あいつも言ってたが、想像以上の賞味期限の短さだったな。いや、お前らの成長がそれだけ早いのか
律子,おためごかしなんていらないわ！プロデューサーは、961プロにいるのね？
冬馬,ああ。たぶん、今もあそこだろうな。けどよ
伊織,何よ！
冬馬,あの部屋……いや、そもそも961プロに鍵とか付いてないぜ。つまり、出たけりゃいつだって出られる。むしろ、自分の意志でいるんじゃねーのか？あいつ
亜美,そんなわけないよ→
冬馬,ともかく、約束は守ったぜ。虎の巻が功を奏しなかったからには、おっさん次はどんな手でくるかな……
春香,あずささん！？どうしたんですか！？
千早,顔が真っ青……大丈夫ですか？
律子,どうしたんですか！？
伊織,どうしたのよ、あずさ
黒井,どういうことだね？君のアイドル虎の巻、使ってもジュピターは負けたようだが？
Ｐ,はは……
黒井,この上は……うん？笑って……いるのか？
Ｐ,ははははは。あはははははは……
黒井,気味の悪いヤツだ。まあいい、この上は嫌も応もないからな。貴様に直々にジュピターのプロデュース、やってもらうからな！
律子,それで？聞かせて下さい、何があったのか。いいえ、何に気づいたのか、と言うべきかしら。はあ。ここまで、一緒に頑張ってきたじゃないですか。プロデューサーを取り返すのも、夢じゃなくなってきたってのに。そんなに……深刻な事なんですか？。それなら、なおさら私に話して下さい。１人で抱え込まないで。私を、信用して下さい。今日だって、きちんとやりおおせたでしょ？。私は社会でもう、けっこう揉まれてますからね。少々の事は、平気です。あ、おかまいなく。それって、ガチャポスターの？へえ。でも、なんとなくわかりますよ。プロデューサーは、ある意味伊織にご執心だったし。しきりに伊織のプロデュースをしたい、って言ってましたね。まあ、しつこいって程ではなかったんですけど……いつかは、ってよく言ってました。ええ。プロデューサー嬉しそうでしたね。まあ、伊織も上機嫌だったんですけど。ねえ、あずささん？もしかしてあずささんがショックを受けているのは、プロデューサーが伊織の事を好き……とか、そういう？。？。そうでしたね。雪歩はWhiteだからＷ。千早はBlueだからＢ。私はさしずめＧですか。？確か……
貴音,いえ。ではその企画書を……これは？
Ｐ,ん？あれ、企画書はこれ……貴音！それは見るな！！
貴音,Ｐは頃す必ず頃すその日は近い待っていろ夢にまで見たＰの死ももうじきだ……どの紙にも……あなた様、これは！？
Ｐ,た……貴音、これは……これはな
貴音,あなた様を殺害するという予告、いえ脅迫ではありませんか！！
Ｐ,あ……あ、ああ。そうだ
律子,え？違うんですか？。え？。え？あっ！。Ｐは……伊織！？殺すと書かれていたのは伊織で……書いたのは……
Ｐの回想,プロデューサー失踪１０年前
千早,本当に大丈夫なんですか？あの、顔色とか目が……
響,きょうは休んだ方が、いいんじゃないかー
律子,小鳥さん……帰ってきたんですか
小鳥,……はい
高木,悪いが、裏からこっそり入ってもらった。まずは事情を聞きたかったのでね
小鳥,……聞きたいこと、わかるわ。みんな……わかっているみたいですね。プロデューサーさんのこと……
高木,？なんの事だね？
小鳥,それも含めて、私の知っている事を全部お話します。あれは……もう、１０年前の事ですね
小鳥の回想,プロデューサー失踪１０年前
小鳥,営業……いっちゃおうかな。えっと、Ｐ君だっけ
Ｐ,……なんだよ
小鳥,うふふ。かわいいなーＰ君
子供１,そいつに関わらない方がいいよ
子供２,殴られるよ
子供３,そいつ、人頃しの子なんだぜ
子供４,昨日の門柱も、犯人はそいつだぜ。絶対！
小鳥っ,あの……昨日の門柱って、何かあったんですか？
Ｐの回想２,プロデューサー失踪１０年前
Ｐ,なにが財閥だ！
伊織,……あんた、だれ？。？へんなの
小鳥の回想２,プロデューサー失踪１０年前
小鳥,それでねーそれでねー
Ｐ,小鳥さん？
小鳥,ん？なに？
Ｐ,なにか、あったの？
小鳥,……なにか、って？
Ｐ,変だよ。今日
小鳥,私……引退することになったの
Ｐ,……そうなんだ
小鳥,結局、ランクＣにもなれなかったな……
Ｐ,小鳥さん、綺麗だし歌も上手いのに……
小鳥,芸能界って、それだけじゃあね。プロデュースっていうの？上手く戦略を練って売り出してくれる人がいたら……少しは違ったのかな……
Ｐ,小鳥さん
小鳥,え？
Ｐ,お疲れさまでした
小鳥,うん……ありがとう。えへへへへー、それでねー。そんでねー
Ｐ,小鳥さん……へべれけじゃないですか
小鳥,ろうよお、はじめてのんらんらもーん☆
Ｐ,こりゃダメだ
小鳥,……紳士ね。ちょっと残念……でもないか。？
Ｐの回想３,プロデューサー失踪１０年前
小鳥の回想３,プロデューサー失踪約１年前
小鳥,でもまだ、プロデューサーが一人しか決まっていないのよね。プロデューサーがいない大変さは、私も身をもって知ってるし
Ｐ,俺が！俺でよかったらプロデューサーになりたい！
Ｐの回想４,プロデューサー失踪約１年前
春香,私たちは、家族みたいなものですよ
高木,次の伊織君の単独ライブだがね、ひとつＰ君にプロデュースをやってもらおうと思うんだが……どうだね？
Ｐ,お、俺が！？ですか……？
高木,おや？不満かね？
Ｐ,とんでもない！ですが……
律子,なんですか、プロデューサー。私なら別に気にしないでくださいよ。前から伊織のプロデュースをしたいって、言ってたじゃないてすか
Ｐ,律子……
律子,今後ずっと、って訳じゃないんですし。私も勉強させてもらいますから
高木,では、頼んだよ。私も期待しているからね
Ｐ,はは……
小鳥の回想４,プロデューサー失踪１ヶ月前
高木,うむ！ティンときた！！
律子,でも、小鳥さんいないと次のライブ……大変になるわねー
小鳥,あ、ライブ決まったんですね
律子,ええ、伊織の単独ライブ。なんとプロデューサー殿の、プロデュースですよ。こりゃあ、私が事務方でがんばるしかないですね
小鳥,嬉しく……ないんですか？
Ｐ,小鳥さん……ああ、聞きましたよ留学
小鳥,……伊織ちゃんのプロデュース、やりたがってたじゃないの
Ｐ,……嬉しい、ですよ。ただ、緊張してるだけですよ
Ｐの回想５,プロデューサー失踪８日前
伊織,ま、アンタの事だから心配いらないでしょうけど、抜かりは無いんでしょうね
Ｐ,……心配するな
伊織,……なによ。元気ないじゃない。このスーパーアイドル伊織ちゃんのライブを担当して緊張してるんでしょう
Ｐ,ふっ……そうだな
伊織,なによ！その笑いは
Ｐ,いや、あのな……伊織
伊織,なによ？
Ｐ,初めての単独ライブが、俺のプロデュースで良かったのか？
伊織,何かと思ったら、そんな事
Ｐ,ずっと組んできた、律子じゃなくて悪かったな
伊織,謝ることないわよ
Ｐ,けどな……
伊織,私が、そう……希望したんだから
Ｐ,え？
伊織,アンタに、やってもらいたかったのよ。私のプロデュースを
あずさ,あらあら～ずいぶんと、仲良くしてるのね
伊織,な、仲良くなんて！き、来てくれたのねあずさ
あずさ,ええ。今日は、がんばってね
伊織,わかってるわよ。まあ、見てて
あずさ,わかったわ。プロデューサーさんも、がんばってくださいね
Ｐ,……あ、ああ
伊織,ちょっとぉ、大丈夫でしょうね
Ｐ,……大丈夫だ。ライブが終わったら、祝杯をあげよう
伊織,100％のオレンジジュースでね、楽しみにしてるわ。じゃあ、行くわよ
係員,Ｐさん、そろそろお願いします
Ｐ,あ、ああ。今行く
小鳥の回想５,プロデューサー失踪８日前
小鳥,それ、なんの仕掛けなんですか？
Ｐ,小鳥……さん、どうして……？ロンドンにいるはずじゃあ……
小鳥,Ｐ君が、心配でね
Ｐ,その呼び方は……
小鳥,冷たいなあ、色々と助けてあげたじゃない
Ｐ,……どうしたんですか？なんでここにいるんですか？なにが言いたいんですか？
小鳥,……心配だったのは、本当よ。Ｐ君……ううん、プロデューサーさんがね
Ｐ,……心配？
小鳥,私……気づいているのよ、プロデューサーさんのこと。でも、信じてもいるわ
Ｐ,なん……
小鳥,今日、ずっと見ていたわ。プロデューサーさんは、もう荒んでいないってわかった
Ｐ,小鳥さん……
小鳥,だから安心して、今からロンドンに行くわ。みんなの事……お願いね
Ｐ,……わかった。ごめん、小鳥さん……
小鳥,……うん
Ｐ,それから……
小鳥,え？
Ｐ,ありがとう。今も、今までも……
小鳥,うん。はい。何もしなかったんです。信じてあげて下さい、彼……いいえプロデューサーさんはもう荒んでいません！悪い人じゃなくなっています！！変わった……んです
高木,私は、彼が私の信念である絆の体現者であると、今も信じているよ
律子,そう……ね。まあ、まだ何か犯罪をおかしたわけじゃないし……。ちょっと！？あずささん
高木,まあ、母親と会ったというその日に、何かがあったんだろうねえ
Ｐの回想６,プロデューサー失踪７日前
Ｐ,……ん？うおわっ！ど、どうした雪歩！？
雪歩,ぷ、プロデューサーにお話があるんですけど、なんだか考え事をしているみたいだったから……
Ｐ,そ、そうか。悪かったな
雪歩,いいえ……
Ｐ,……はあ
雪歩,……プロデューサー？
Ｐ,あ？あ、ああ。ごめん、雪歩
雪歩,……昨日の事ですか？
Ｐ,えっ！？
雪歩,昨日の事で、そんなに考え込んでいるんですか！？
Ｐ,き、昨日……何かあったっけ？ははは……
雪歩,私、見に行きました
Ｐ,え？
雪歩,プロデューサーがプロデュースする、初めての伊織ちゃんの単独ライブ。見に行きました
Ｐ,あ、ああ、来てくれたのか。なら、楽屋とかに来てくれても良かったのに。雪歩なら、顔パスだろ
雪歩,……行きました
Ｐ,え、ええっ！？
雪歩,プロデューサーは、伊織ちゃんが好きなんですか……？
Ｐ,は？
雪歩,ずっと見てました。現場でのプロデューサー、すごい真剣な顔で……
Ｐ,そりゃあ、仕事中はいつだって……
雪歩,真剣というか、鬼気迫る感じを受けました
Ｐ,そんなことは……
雪歩,私のライブの時、プロデューサーはあんな表情……見せてくれません
Ｐ,……あのな、雪歩
雪歩,プロデューサーは、伊織ちゃんを好きなんですね？
Ｐ,……
雪歩,そうなんですね？
Ｐ,……違う
雪歩,……伊織ちゃんを、好きじゃないんですか？
Ｐ,そう言ってるだろ？なあ、今日はどうしたんだよ雪歩
雪歩,じゃ、じゃあ、証拠。証拠を見せて下さい
Ｐ,証拠？。恋人……か
Ｐの回想７,プロデューサー失踪６日前
貴音,あなた様！
Ｐ,うおっ！お、おお。貴音か。どうした？
貴音,それはわたくしの言葉です。あなた様は、今朝からなにやらご煩悩の様子。なにがあったのですか？
Ｐ,……なんでもない。ちょっとビックリする事が昨日、あってな
貴音,それはなんですか？
Ｐ,まあ、貴音に話す程でもない。さっきも言ったが、ちょっとビックリしたが、思い出してみると微笑ましいという気にもなってきた
貴音,いえ。ではその企画書を……これは？
Ｐ,ん？あれ、企画書はこれ……貴音！それは見るな！！
貴音,Ｐは頃す必ず頃すその日は近い待っていろ夢にまで見たＰの死ももうじきだ……どの紙にも……あなた様、これは！？
Ｐ,た……貴音、これは……これはな
貴音,あなた様を殺害するという予告、いえ脅迫ではありませんか！！
Ｐ,あ……あ、ああ。そうだ。まあ聞いてくれ、貴音。こんな脅し文句は、いつも口だけだ。実際に殺されたやつなんていやしない
貴音,それは、まことですか？
Ｐ,ああ、弱い奴ほどよく吠えるもんだ。口では殺す殺す言ってても、実際は……
貴音,？あなた様
Ｐ,ははは。ははははは。あはははははは！
貴音,あなた様！？どうなさったのですか、あなた様！！
Ｐ,はははははは……いや、すまない貴音。俺も殺すって書かれて少なからずビビってたのかもな。相手がブルブル怯えながら俺を脅しているんだと思ったら、ちょっと笑えてきた
Ｐの回想８,プロデューサー失踪５日前
やよい,グリーンピース、残しちゃダメですよ。栄養だっていーっぱい入ってるんですからね！
Ｐ,……そうだな
やよい,しっかり食べないと……あれ？。プロデューサー？
Ｐ,昔、同じ事を言って怒られたよ。涙目で真剣に怒ってたな……
やよい,それって、プロデューサーのお母さんですか？。プロデューサー？
Ｐ,俺に……親は、いない。人間ってのをさ、やり直せるなら……俺はあの頃からやり直したいな。捨てられた事は、どうでもいい。でも、あの頃、俺がもうちょっとマシな人間だったら……今だって……
やよい,そんなこと……言わないでください。プロデューサーはすてきな人です。みんなみんな、プロデューサーがだいすきですよ？
Ｐ,みんな？
やよい,事務所のみんなですよー！
Ｐ,俺を好き？
やよい,そうですよ
Ｐ,仕事の上だけじゃなくて、か……？
やよい,お仕事はかんけいないですよ。みんな、プロデューサーがだいすきなんです
Ｐ,……そんなわけは……
やよい,ほんとですー！！！。ほんとです……よ？
Ｐ,……そうか。じゃあ……泣いてもいいか？
やよい,え？
Ｐ,俺は憎しみに駆られ、とんでもない過ちを犯す所だった……
やよい,そ、そうなんですか？
Ｐ,正直なんで今、やよいにこんな事を話しているのか、自分でもわからない
やよい,……
Ｐ,俺は……最低の人間なんだ……
やよい,……いいですよ
Ｐ,え？
やよい,泣いてもいいですよ。つらい時は、泣くと楽になれますよ
Ｐ,……ありがとう、やよい
やよい,……はい
Ｐ,明日から、俺は変わる。もう……馬鹿な事は考えない
やよい,？……はい
Ｐの回想９,プロデューサー失踪４日前
Ｐの回想１０,プロデューサー失踪３日前
春香,ずっと……ずっと、プロデューサーさんが好きでした。優しくて、いつも一生懸命で、そして……いつも夢に向かって輝いていて
Ｐ,俺の事を……好き？夢に向かって輝いている？俺が……？。好き……好き、か……
春香,プロデューサーさん？笑ってるんですか？
Ｐ,ああ。でも、春香の事を笑ってるんじゃないぞ
春香,え？
Ｐ,今さ、俺……ちょっと個人的な問題をかかえてるんだ
春香,はあ
Ｐ,返事はさ、それが解決してからでいいかな？
春香,！はいっ！！ま、待ってます私。待ってますから……
Ｐの回想１１,プロデューサー失踪２日前
千早,会わないと後悔しますよ。それなら、会って後悔してもいいじゃないですか
Ｐ,……そうか？
千早,そうです！
Ｐ,そうか
千早,はい！
Ｐ,千早に相談して、良かったよ
千早,ふふ。プロデューサーの役に立てました。それで、いつ会うんですか？お母さんに
Ｐ,これから連絡をする。明日の夜、かな
千早,楽しみですね
Ｐ,……そう、だな。ああ、なんかワクワクしてきた。あ、みんなには内緒だぞ。色々と騒がれるのは嫌だからな
千早,はい。二人だけの、約束ですね
Ｐの回想１２,プロデューサー失踪前日
Ｐ,さて……そろそろ帰るか
律子,はい。お疲れさまです
Ｐ,……なんであんたが！？
黒井,随分な挨拶だな。まあいい、座りたまえ
Ｐ,騙した。そういうことか！？
黒井,そうでもない。君の母親が君に会いたがっていて、私がここに来た。それは、間違いではないからね。何にする？今日は私の奢りだ。いや、そもそも貸し切りにしてある。何を話しても、誰にも聞かれやしない。安心してくれたまえ
Ｐ,水でいい。貴方の施しは、受けない
黒井,かわいげのないやつだ。君ィ、私にはワイン。銘柄は任せる。彼には、エクセレントなタップウォーターを
Ｐ,説明してもらおうか。内容次第では、ただじゃおかない
黒井,ほほう、脅迫かね
Ｐ,事実の予告だ。いいか……
黒井,流石は、１０年にもわたって殺人計画を企んでいる男だな
Ｐ,な……
黒井,私が、私に仇なす者を放置しておくと考えているなら、君も思ったほどの有能な男ではないねえ。小豆島での武勇伝、なかなかのものじゃないかね？うん？。君が業界に入るまでの経緯は、全て把握している。高木以上にね。あの男は、君に全幅の信頼をおいているようだが、いやいや……
Ｐ,社長を、馬鹿にするな
黒井,君の部屋にあった、ポスターと張り紙。あれは犯行予告と見たが、どうかね？あの別荘以来、君は水瀬伊織を殺そうとしていたんじゃないかね？
Ｐ,な……俺の部屋を……不法侵入じゃないか！
黒井,いやいや、私じゃないよ。私は、誰にも命令はしていない。ただ、私ぐらいになると色々と勝手に調べて注進してくれるジャーナリストが何人もいるのだよ。本来なら警察に、異常者がいると通報するところだが……まあ、知らない相手じゃないし。今回はひとつ提案をしたいと思ってね
Ｐ,提案……？
黒井,君は異常者だが、有能なプロデューサーである事は間違いない。どうだね、ひとつ……
Ｐ,断る
黒井,話は最後まで聞くものだよ、君ィ
Ｐ,俺はもう異常者じゃない。バラされて困る事もない！
黒井,怖いねえ。やっぱり、人頃しの子は人頃し……そういう事なのかねえ。話が回りくどくなってしまったな。君の母親だがね、君にとても会いたがっている
Ｐ,今……どこに？
黒井,留置所だ
Ｐ,え
黒井,今日、ここに来るはずだったんだがねぇ。昨日、多摩川の河川敷をフラフラしている所を見つけられてね。そのまま留置所に送られた
Ｐ,なん……どうしてだ？多摩川を歩いていた程度で
黒井,ああ、説明が足らなかったな。君の母親は、犯罪者だ。前科２犯、罪状はいずれも殺人。彼女は、ほんの数週間前に出所したばかりでね。保護観察中……。君の母親に、君の事を知らせたら会いたがってねえ。知らせた手前、私が一肌脱いだというわけ……。そうそう、母親の殺人罪だが……最初の殺人相手は君の父親だ
Ｐ,え？
黒井,次が、愛人関係だった男性
Ｐ,なんだって……？
黒井,彼女はこう言っている。好きになると、どうしても相手を殺したくなってしまうんです……と。血は争えんねえ、ははははは。こうも言っていたな。息子が愛おしい、でも息子に会ったら……。愛おしさのあまり、殺してしまうかも……
高木,思えば彼には、入社試験というものをしていなかったね。今回が、そうなるのかな
律子,そんな軽いものじゃないと、思いますけど……
小鳥,でも、プロデューサーさんに機会を与えてあげてください。お願いです
高木,あずさ君、それで具体的にはどうするつもりかね？。ではそれは、みんなで話そうかね。無論、彼が殺人衝動を持っている……いや、いたという話は内密だ
律子,みんなで知恵を絞れば、いい考えも出ますよ。いつもそうじゃないですか
高木,それに、局面は新たな展開も見せている。その説明もしよう
春香,あ！小鳥さん！！
小鳥,春香ちゃん。みんな……ただいま
雪歩,わかりますぅ。プロデューサー、なんだか伊織ちゃんのライブには力の入れ方が違って見えたから
小鳥,うん。そうよね、それで私……心配になっちゃって
美希,それよりも小鳥もでこちゃんも、うらやましいの！ハニーの子供の頃を見たなんて
小鳥,まあ……たしかに可愛かったわよね
やよい,すてきでしたー！
千早,そうね
伊織,写真だけど、確かに顔立ちは整っていたわね
春香,全部解決したら、私たちも島へ行きましょうよ
美希,春香、いい事言うの。ミキも写真を見せてもらうの！
響,島と聞くと、血が騒ぐぞ
高木,うおっほん。さて、諸君に報告する事がある。おかしい、とは思わないかい？美希君がテレビで呼びかけをしてから、報道がピタッと止んだ
真,そういえば……
響,あれから取材も来ないぞ！
春香,それはもしかして……
高木,961プロが、背後にいた。黒井がマスコミに圧力をかけているのは、間違いがない
千早,じゃあ間違いなくプロデューサーは、961プロに今もいるんですね
高木,確かだ。その証拠に……
真美,証拠に？
高木,今朝、警察から連絡があった。Ｐ君本人から、961プロに自身の意志でいる。身柄捜索は取り下げて欲しい、と連絡がきたそうだ
亜美,え→！
貴音,亜美、別に驚くことではありません。わたくし達は、おぉでぃしょんでじゅぴたぁを破りました。ならば次なる手は、あの方を直接出してくる他ないでしょう
真,もう隠す必要もない、そういう事か
貴音,ええ。思えば、これまであの方を隠していたのは、わたくし達に対する精神的な重圧をかけるのが狙いだったのやも
真美,じゃあさ、その出てきた所を捕まえようよ！
亜美,こないだ虫取りした時の網、まだとってあるからさ→
千早,亜美の……網
春香,千早ちゃん……
雪歩,でも、監禁じゃなくて軟禁なのにプロデューサーは自分からは出てこなかったんだよね？
貴音,わたくし、先ほどあの方が出てくるとは言いましたたが実際にその場には来ないかも知れません
小鳥,961プロならオーディションとかでも、完全に中継できそうですしね
真,だけど、ボク達が961プロに乗り込むとかは無理だよね
やよい,えーじぇんとの真さんでもですか？
真,いや、あれは歌の話だから
貴音,正面から乗り込んでも、会わせてはもらえないでしょう
律子,そもそも入れてくれないわよ
響,ぬっふっふーだぞ。自分、いい考えがあるぞ！
真美,あ→それは真美達のマネ！
亜美,パクリはダメだよ、ひびきん！
響,パクリじゃないぞ。自分、真美と亜美をリスペクトしたから２人からインスパイアしたんだぞ
真美,え？
亜美,あ、うん
響,自分、完璧だからな。釣りの経験もあるんだぞ
雪歩,釣り？
響,そうさー。この中で、釣りとかした事あるのは自分だけだろー？
春香,私、やったことあるよ
響,え？
春香,お父さんに、連れて行ってもらって。まあ釣れなかったんだけど
響,春香……ちょっとこっちに来てくれ
響・春香,せーの！改めまして、ぬっふっふーだぞ
春香,釣り経験者の私たちが提案する、画期的作戦！それは……
響,隠れて出てこない魚は、餌を使って釣り上げるんだぞ！さくせーん！！
春香,どんどんどん！ぱふぱふ
真,……え？
やよい,どうゆうことですかー？
響,プロデューサーが、出てこないなら出てくるようにし向けるんだぞ
春香,何も私たちが乗り込まなくても、プロデューサーさんが自分から出てくればいいんだよ
雪歩,そうか
律子,そこを釣り上げ……いいえ、捕まえればいいのね
貴音,では餌、というのは？
春香,そこはこの、トップアイドルの天海春香が！
響,いいや、ここは完璧なこの自分が！
伊織,２人とも引っ込んでいなさい！
春香,な、なにーっ！
響,い、伊織だとーっ！？
伊織,あの馬鹿プロデューサーを釣ろうってんなら、餌は当然この私でしょ？
雪歩,……
小鳥,……
春香,わ、私だって……
響,伊織、自分だって負けてないぞ
伊織,あずさ……。プロデューサーが私を殺そうとしていた事なら、私も気がついているわよ。だからあずさも、私が餌になるのに賛成してくれるわよね？
高木,どうかね？あずさ君
伊織,あずさが気がついた事ぐらい、私も気がついただけよ。Ｗが雪歩ならＰは私だろうって、だからあの脅迫文は私宛。書いたのはアイツ……。それからもうひとつ。水瀬の別荘が、どうして今は小豆島に無いのか。当時からいる、警護の人に聞いたわ。島で私たちが行く直前に、近くの施設で首だけの犬の死骸が晒されていたって。それを聞いて、安全面に危機を抱いて引き払ったそうよ。君子危うきに近寄らず、の方針で。アイツ、私にやっぱり会っていたのね。１０年前に、島で……。涙が出そうよ……私が忘れられなくて、私に会いに来たんでしょ？１０年もかけて、その間ずっと私を忘れられずに……。わかってるわ！でも、言わせて。たとえ殺したいと思われてても、私を思い続けていたってわかったら……私……。なんだか嬉しいわ。それにそれぐらい思われていないと、餌役もできないでしょ？みんなには悪いけど、この役は私のものよ
千早,それはやり過ぎよ。そう、そのくらい
春香,そうかなあ？ちょっと地味過ぎない？
千早,相手は、いちファンじゃないのよ。例えるなら……巨人。力と大きさは私たちの比じゃないわ
春香,961プロの力は認めるけど、これは情報戦だよ
千早,同じ事よ、春香。私は機械の事はよくわからないけれど、961プロは情報戦でも間違いなく私たちより遙かに上。そうでしょう？
春香,それは……そうだね
千早,つまり、ものすごーく耳の良い敵を相手にするわけよね
春香,はい、千早先生。耳が良すぎる相手です
千早,良すぎる耳は、時に危険よ。最強の武器は、最強であるが故にその中に欠点を持つ……
春香,誰の言葉？
千早,プロデューサーよ
春香,……
千早,だから歌に慢心せずにオーディションに臨め、って言われたわ
春香,くやしいなあ。私、言われてないよ……
千早,春香はね、バランスがいいからよ。私は、歌しかないから言れたんだわ
春香,いつか、言わせちゃうもんね
千早,……その意気よ。じゃあ……頼むわね
春香,うん。じゃあこれで書き込むね。こんなんでいいのかな？
千早,ええ、十分。さあ、社長室に行きましょう
律子,この経費……どう処理されているんです？
高木,律子君……今は、細かい事は
律子,細かくありません！こうした予算は、全て明朗会計で処理していただかないと困ります！！
高木,あ、ああ……おお！春香君に千早君。では、頼むよ
律子,まったく！あ、じゃあ頼むわね。ネットのこういう所、私は見たことなくて
春香,任せて下さい！まずは専ブラを落としてインストール……
千早,春香……さっきも思ったんだけど、手慣れているわね。常連なの？
春香,え、えっとー……ごくたまの希に……
千早,ねらー……って言うのよね？
春香,ち、違うよ。もー！たまに覗くだけだよ
響,どうしたんだ？亜美？
亜美,昨日のオ→ディションで、ちょっと筋肉痛に……ひびきんからもらったクリ→ムも塗ったのにな→
響,筋肉に効く、消炎鎮痛クリームだろ？あれはただ塗るだけじゃダメだぞ
亜美,そ→なの？
響,筋肉を揉みほぐしながら、塗るのが効果的なのさー
亜美,ふんふん
響,あと、塗るポイントも……
春香,ガッ！
千早,えっ！？
律子,なに？どうしたの、春香
春香,え？あ、い……いやーちょっと反射的に……
響,？ええと……だからな、亜美。クリームは、塗るポ……
春香,ガッ！
千早,？本当にどうしたの？春香
春香,え！？い、いや……その、ガッ……がんばるね！
律子,？ええ、頼むわね
小鳥,ふふふ。春香ちゃんとは、語り合えそうね。うふふふふ……
春香,ええと……うわ！すごい伸びてる。じゃあ、いきますね。うわー！面白いぐらい伸びるなあ
千早,ちょっと、春香。面白がってないでよ
春香,わかってるよ。いくら作戦でも、伊織に対してこんな書き込み本当は気が引けるんだから。ええと……。はい。スレも埋まったし、ネット上のちょっとした騒ぎにはなったね
律子,これだけで……プロデューサーの目に留まるかしら？
春香,んっふっふー！律子さん、律子さん。良すぎる耳は時に危険。最強の武器は、最強であるが故にその中に欠点を持つ……ですよ！！
律子,……成る程。この小さな騒ぎも、961プロの良すぎる耳は聞き逃せない……そういう事ね！？
春香,え！？えっと……ええ、そうです！
千早,ふふっ
響,961プロは自分たちを、目の敵にしてるからな。絶対に気にしてるんだぞ
亜美,兄ちゃん、見たら絶対に放っておかない……よね？いおりんを助けに……来てくれるよね？
響,あたりまえさー！
黒井,入るぞ！いい加減に覚悟を決めてもら……うん？。どこへ……どこへ行った！？
Ｐ,ハアハア……ハア。うおわっ！。ぐっ！。伊織、今いくからな……
真美,みんな→！今日はありがとうね→！！
亜美,さてさて実はここで→十代発表
真美,真美達、ティ→ンズだからね→☆今日はスペシャルなゲストが来てくれてま→す
亜美,でもこ→なると、今日のライブ♀ついんず♀ツイ☆スタ→のカンバンに、いつわりあり！になっちゃわない！？
真美,ま→ま→。ゲストもティーンズ、真美達の仲間……いおりんだよお→→→！！！
亜美,はいは→い！いおりん、カモ→ン！
伊織,みんな！今日は私の為に来てくれてありがとうね
真美,ちょ！ちょっといおり→ん！
亜美,今日は、亜美達のライブだYO！
伊織,二人とも、前座ごくろうさま
真美,む→！亜美、こりゃあ黙って曲にはうつれなくなったYO！
亜美,だね→！いおりん、覚悟！
真美,♪悩んでもしかたない♪
亜美,♪ま、そんな時もあるさあしたは違うさ♪
真美・亜美,んがっ！もう朝じゃない
伊織,ちょっと！これポジティブ！じゃない
真美,ほらほらいおり→ん
亜美,歌って、歌ってよ→！亜美たち、バックで踊ってあげるからさ→
伊織,もう……♪目覚ましで飛び起きて笑顔で着替え♪
Ｐ,伊織……伊織……伊織ぃ！。どこだ？どこにあるんだ？どこに……伊織……。あずさ……さん？。釣られた……？。これには訳が……みんなを危険にさらすわけにはいかないんです！。あずささん！？なんで……なんで……。俺は……。俺は、人殺しの子だったんだ……。違う……違うんだ、本当だったんだ。俺には……愛しい者を殺さずにはいられない血が流れているんだ……。あずささん……アイドルのみんなには、感謝しています。みんながいなかったら、俺はとうに殺人者になっていたでしょう。でも、だからこそ……自分が何者であるか……いや、俺は人じゃない。なんなのかがわかった今、もうみんなとはいられない。俺は……もうみんなとは……
伊織,アンタに悲惨な過去があるなんて、知らなかったわ！性格が神経が捻じ曲がってた事も！！犯罪者寸前だった事も！！！
Ｐ,伊織……
伊織,私たちが見てたのは、今のアンタよ。アンタ……あんなに一生懸命だったじゃない！
Ｐ,それは……
