男,学校来んなよ、ブス
ほむら,...あいつには、文字通り敵がいない。...敵を敵と思わないからこそ、ワルプルギスの夜の進路に変更はない。...だから、逃げれば...。...この街から出ていけば...死ぬ事は...
杏子,何言ってやがる
マミ,何言ってるの
杏子,あたしも戦うさ、ここはもう無関係の街じゃねえ
マミ,たまには先輩を頼ってくれてもいいじゃない
ほむら,...
杏子,なんつー顔してんだよ、ほむら
ほむら,...ごめんなさい...結局私も...あいつと何も変わらない。...結局...自分の目的のために...！あなた達を...
マミ,仲間でしょ？
杏子,利用くらいしてみろよ。見せてやろうぜ、あいつに
マミ,奇跡は、必ず起こるということをね
QB,絶望と希望というものはよく似ている。彼女達は、希望を持って魔法少女として生きている。魔女は、絶望を振りまく概念として存在している。君たちの言う本当の奇跡が、本当にあるとするなら、絶望もまた然りだよ。本当の絶望を見るといい
ワルプルギスの夜,アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！！！
QB,長い歴史の中で育った呪いの集合体。圧倒的な力を前に、それでも抵抗を続けるのなら、それはそれで。僕らが観察する意味がある
まどか,...。...３人は...勝てる？
QB,さあ。これまでの長い歴史であれに勝てた魔法少女はいない。でも、君は信じているんだろう？。3人が、この魔女に勝つことが出来るという未来を。安心してね、鹿目まどか。僕はいつでも、君のそばにいるよ
まどか,...
杏子,...笑えるでかさだな
マミ,...ここで食い止めないと...見滝原が...！
ほむら,...行くわよ...！
杏子,オラぁぁぁぁぁぁぁっ！！！！！
マミ,ティロフィナーレ！！
ほむら,...たぁぁぁぁぁ！！！
杏子,...はは！ビクともしねぇ！
マミ,...このっ...！
ほむら,...攻撃の手を休めないで...！。あいつはまだ、私たちを敵とすら思っていない...！
ワルプルギスの夜,アハハ！アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！
マミ,...っがっ..！
杏子,...間違いねぇ...バケもんだ...！！
ほむら,...
杏子,...くそおおおっ...！って、あれ？。...止まってる...勝った？
ほむら,勝ってないわよ
杏子,...あぁ、なるほど、あんたの魔法か
ほむら,...
マミ,...くっ...！...って、あら？。...止まってる...？もしかして、勝った？
ほむら,勝ってないわよ！
マミ,...
ほむら,...私が時間を止めて、あいつの近くまで移動する。...私の魔力が尽きるまで、同時攻撃を繰り返すわ
杏子,...わかった
マミ,...えぇ
杏子,うおらぁぁぁぁぁぁ！！！！！
マミ,ティロフィナーレ！！
ほむら,はぁぁぁぁぁぁ！！！
ワルプルギスの夜,...アアアアアア...アアア...
杏子,...！
マミ,...やっ...！
ほむら,...いいえ...！
ワルプルギスの夜,...アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！！
杏子,...うおおおっ！
マミ,きゃああああ！
ほむら,...くっ！
QB,...。...ワルプルギスの夜が彼女達を敵と認識した
まどか,...！
QB,うん、だけどただの魔法少女三人にしては良くやった方じゃないかな。その点に関してだけは、認めるよ。ワルプルギスの夜に対して敵と認識されるほどのダメージを与える。まぁ、もっとも。そんな事が君達のいう奇跡だというのなら。そんな安い奇跡に価値を見出そうとすることも無駄だ、と僕らは断言するけどね
まどか,...っ...！
杏子,...がっ...！！
ほむら,...この...っ...！。...。...っ...！。...生きていたい、だけなのに
杏子,...ほむらぁっ！！！！！
ほむら,...あ。...あ、ぁ...
杏子,...ほむら！
マミ,暁美さん！
ほむら,...あ、ぐ...
杏子,喋んな！今治してやるから！。...っ！
マミ,...しっかりして！気を強く持って！
ほむら,...あ、ああぁ...。...あああぁ...！。...まど、か...
まどか,...。...。QB
QB,なんだい？
まどか,...
QB,どうしたんだい？
まどか,...もういい。...私と、契約して
QB,...。...もちろんだよ
まどか,...。...だけど、勘違いしないでね
QB,？
まどか,私は、絶望するつもりなんて、無いから！
QB,...君は何を願う？何を望むんだい？
まどか,あの魔女を消す、力が欲しい
ワルプルギスの夜,...アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！。...
杏子,...何だ...あの光...！
マミ,...綺麗
ほむら,...あ、あああ...！！
杏子,...ほむら...！今治してやるから...！
マミ,...落ち着いて！暁美さん...！
ほむら,...あ、ぁ...
杏子,...なっ...
マミ,...ソウルジェムが...！
まどか,...絶望しないで、ほむらちゃん
ほむら,...ま...ど...か...
まどか,...約束破っちゃって、ごめん。...嘘ついて、ごめん。...悲しい思いをさせて、ごめん
ほむら,...
まどか,...もう、良いんだよ。...私の覚悟が足りなかった。...私は、私の意志で。...あなた達を、守りたい
ワルプルギスの夜,アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！
マミ,...ワルプルギスの夜が地面に...？
杏子,...まどかを、マジの強敵って認めたってことか
まどか,...行くよ
ほむら,...
まどか,...いっけぇぇぇぇぇーーーー！！！！
ワルプルギスの夜,アハハハハハハハハハハハハハハハハハハハハハハハハハハハハハ！！！
女の子,...うぇぇ...！
まどか,...！！！！。...
杏子,...は...？
マミ,...発射後に...軌道をずらした...？
杏子,...な、何してんだ...？何してんだよ、まどか！！！
まどか,...うぐぅっ...！！
QB,うん、確かにここでワルプルギスの夜を倒させるのも悪くは無い。だけどね、僕としてはまだまだこの超弩級魔女を利用していたいんだ
女の子,...お人形さん...？
QB,だから、君1人だけ、魔女になっておくれよ
杏子,...てめぇ...！！
マミ,...この...外道...！
女の子,...ねぇ、お人形さん...！。本当にここに、お父さんと...お母さんが居るの...？
QB,ああ、ごめん。道案内を間違っちゃったみたいだ
まどか,...ああ...もう...。...失敗、しちゃっ、た...
ほむら,まどかぁぁぁぁぁー！！！！！！
まどか,...ご、めん...ほむらちゃん...。...結局...何も...守れなかった
ほむら,...黙って...！...黙りなさい...！
QB,最後の最後で、君の性が出たね、まどか。その行為は咄嗟のものだったとはいえ、褒められたものじゃない。数万人の命と、たった一つの命が釣り合うわけないだろう？
杏子,黙れぇ！！！！。てめぇが、まどかを否定すんじゃねぇよ！！
QB,何で？事実を言った迄じゃないか。まどかが、きちんと命を数として捉えていれば、こんな事にはならなかった。こんな、魔力すべてを込めた一撃を明後日の方へ打ち込むなんて事にはね。まぁ、それでもこの魔女に対して、ある程度の効果はあったみたいだ。凄まじい衝撃だね、まどかの全力は
マミ,...酷い...あんまりよ...！！
ほむら,...人魚の魔女の...グリーフ...シード...。...っ！
QB,...無駄だよ。普通のグリーフシード一つで汚れを取り去ることが出来るほど、彼女の魔力量は少なくない。それは至って無駄な行為だ
まどか,...あれ？
さやか,...よっ
まどか,...どうして、さやかちゃんが...？。...ここは、どこ...？
さやか,...
まどか,...さやか、ちゃん？
さやか,...まどか
まどか,...？
さやか,...私、あんたと何を話していいのか分かんないよ
まどか,...
さやか,...全部全部...思い出したんだ
まどか,...
さやか,あんたに言ったこと、して来たこと。...全部、さ
まどか,...。で、でもそれは...さやかちゃんのせいじゃ...！
さやか,...そうだけど...！それでも、やってしまったことに変わりはない！。私は、あんたをいじめた。...心を壊そうとした...！殺そうとした...！。...その事実が、私には許せない...！！。...もう、どうしたら、あんたに償えるか...！！。分かんないよ...！！まどかぁ...！！！
まどか,さやかちゃんは、悪くない
さやか,っ...！！！！
まどか,確かに辛かったけど。...死にたくなることも、あったけど。...その日々に耐えることが出来たのもまた、さやかちゃんの、そしてほむらちゃんたちのお陰
さやか,...
まどか,...私は、さやかちゃんといる時が一番楽しかったよ
さやか,...どうして...。...私は、どうすればいいの...！？。...何をすれば、いいのよぉおおぉ...！！！
まどか,...だったら。ごめんって。1度だけ、そう謝ってくれたら、いいよ
さやか,...そんな事で...許されるわけが...！
まどか,許すよ、さやかちゃん
さやか,...。...ごめん、まどか
まどか,うん、良いよ
さやか,...
まどか,...ぷっ。...あははは...！。...そんな顔しないでよ
さやか,...
まどか,...そっか、さやかちゃんがいるってことは。...私、死んじゃったんだね？
さやか,...死んでは、いないよ。...だけど、もうすぐ...
まどか,...そっかぁ...。...。...
さやか,...だけど、希望はあるよ
まどか,...え？
さやか,...だって、あんたの願いはまだ叶っちゃいないから
まどか,...ううん、叶ったよ。...だって、一回打っただけでソウルジェム濁るくらいの力なんだよ？
さやか,違うよ、まどか。それはあんたのもともとの素質。願いは関係ない
まどか,じ、じゃあ...
さやか,...ふふ。...倒す
まどか,...青い矢と、白い矢...？
さやか,よく聞いてね、まどか。何がきっかけにせよ、何かがきっかけであの魔女は生まれた。それは覆せない事実なんだ。そして、そいつを倒すんじゃなくて消すって願ったってことは。...因果律に対して、叛逆することになる。...名前を付けるなら、そうだね、因果の矢かな。...この矢は、極小範囲で、世界改変を行うことが出来る矢なんだよ
まどか,...！？。ど、どうして、さやかちゃんがそんなこと知ってるの...！？
さやか,...。さぁね。ただ、もしQBの言うことが本当なら。...私の願いの結果かな
まどか,...
さやか,...その矢を持って、まどか。...あんたはまだ、死んじゃいない。...あんたの願いはまだ、叶っちゃいない。...あいつが、生まれる原因を書き換えて、生まれたという結果を消す。...あんたには、それが出来る力がある
まどか,...2本あるんだけど...
さやか,...今のあんたには、まだ２本しか使えない。もう1本は、そうだね。あんたの好きなように、使いなよ
まどか,...まだ、だ...！！。...まだ私は...諦めちゃいない！！！
QB,...馬鹿な。あそこまで濁りきったソウルジェムが持ちこたえることなんて、有り得ない！。鹿目まどか...！君は...一体！
まどか,...
杏子,...青い矢...？
マミ,...どこを、狙って...
まどか,...。...ふふ、有り得ない？。...だけどこれが、あなたが安いと呼んだ...奇跡でしょ...！！。...貫け...！因果の矢！！！。もう今度こそ、あなたの思い通りにはさせない！！！。いけぇぇぇーー！！！！
さやか,...ま、私まで生き返ったのは...びっくりしたけどね
まどか,どうしたの？さやかちゃん
さやか,いんや、なんでもー
まどか,...今日こそは、見つかるかな
さやか,...どうかな
まどか,...鍵、持ってきっぱなしだよ
さやか,...ん？それほむらんちの？
まどか,えへへ、うん
さやか,...
まどか,...
さやか,...行ってみよっか
まどか,...うん。...お邪魔、します
さやか,...お邪魔します
杏子,何だ？お前らも来たのか？
マミ,あらあら、奇遇ねぇ
さやか,うっ...
杏子,...なんだよ、まだ気にしてんのか。...まどかが、許したんだろ？...じゃあそれでいいじゃねぇか
さやか,う、うん
杏子,そもそも馬鹿なんだからあんまり深く考えんなって
さやか,な、何だと！
まどか,...マミさん
マミ,...え？
まどか,...ほむらちゃん、居ましたか？
マミ,...
まどか,...
マミ,...代わりと言っちゃなんだけど
さやか,...これは...
杏子,...さーな
まどか,...手紙...？
マミ,...あなたが、来るまで読まないようにしようと思って。はい、どうぞ
まどか,...。...っ
マミ,...
杏子,...な、んだよ...それ...！。...どうして...別れの言葉一つ...！！
マミ,...佐倉さん
杏子,...！
まどか,...。...ほむら...ちゃん...
さやか,...。...つっ...！
杏子,...どうした、さやか
さやか,...あ
マミ,...？
さやか,...まどか、変身、出来る？
まどか,...え？
さやか,...多分、まどかはまた矢を作ることが出来る
まどか,...。...
杏子,...こりゃあ...
マミ,...紫色の...矢...？
さやか,...これを使えば
まどか,...ううん、いいの。...ほむらちゃんの、決意を無駄に、出来ないよ
さやか,...違うよ。...確かにあの時のこの矢は、因果を書き換えることが出来るけど。...多分、ほむらの因果を書き換えることは出来ない。...この矢はもう、あの時ほどの力を持っていないから
杏子,...じゃあ...！
さやか,...だけど、届く
まどか,...！！！
さやか,...この矢はきっと、ほむらに届く。...あんたの思いごと、届く！！
まどか,...っ！！
さやか,最後くらい言ってやりなよ。...私は、あんたのこと何でも知ってんだからさ
ほむら,...っ！？。...これは...！。...有り得な...！。...。...あなた達って...。...本当に...本当に...。...お節介...！なんだから...！！！
さやか,...
杏子,届いた、かな
マミ,...
さやか,...届いたよ、きっと。元気でね、ほむら
まどか,...ほむらちゃん、本当に...本当にありがとう。そして。さようなら。この思いよ！どこかにいるほむらちゃんに届け！
ほむら,ぐぁぁぁ！！
