彼の名前は,高橋
高橋,じ～～～～～～
妹,フフッ♪
高橋,じぃ～～～～～～～～～～～。まっいっか！♪。早く日本に着かないかな～まだかな～眠たくなってきたな～
妹,じゃあ寝れば？
菊田,ははっｗｗｗｗ
高橋・妹,わらった！！！！ｗｗ
高橋,日本に帰ったらとりあえず一緒にネットゲームしましょうね♪
菊田,はい・・・＾＾
高橋,たっだいま～
富岳,お前・・・・ｗｗｗ
高橋,紹介しよう！この方が最強のﾌﾟﾛｸﾞﾗﾏｰの菊田君である！
一同,オー！
高橋,菊田さん怖がらないでも大丈夫ですよ＾＾みんな仲間ですっ
菊田,よよよよよろしししｓくおおおおねがああいしｓっします・・・
秘書達,よろしくおねがいします！
菊田,っ！？
富岳,昔の高橋みたいだな。
高橋,っということで各持ち場に戻って作業おねがいします！＾＾。菊田さんはまず俺と富岳とネットゲームから始めよう！まずは親睦を深めるのだ！ｗｗ
富岳,アメリカには負けんよ～！
高橋,だそうですよ菊田さん。富岳社長に負けないでください。
富岳,なんだ！？菊田さんつえぇぇえぞ！！！負けたしｗｗｗｗ
高橋,そりゃ～・・・お前チートでいままで勝ってたようなもんだからな。
富岳,うっせーやい！
高橋,では菊田さんは開発プロジェクトチームに入ってもらいますね＾＾
菊田,よろしくおねがいします。
ﾁｰﾑ,よろしくおねがいします！
高橋,じゃあ後はチームの皆さんよろしくおねがいします♪
ﾁｰﾑ,うぃ～っす
菊田,まずなにをすればいいんでしょうか？
ﾁｰﾑ,悪さをするプログラムの監視だよ～もし見つけたらそれの打開策を考えて更にプログラミングするのがウチの仕事＾＾
菊田,はいわかりました。
高橋,妹秘書さん
妹,あ～？
高橋,菊田ちゃん呼んでください
妹,はーい
菊田,社長およびでしょうか？
高橋,一緒にＦＰＳしようずｗｗｗｗｗｗ
菊田,わかりましたｗｗｗｗｗあ、富岳社長はいないんですか？
高橋,いるよ♪第二社長室に♪
菊田,おｋですｗｗｗやりましょうｗｗｗ
高橋・富岳・菊田,ズガガガガガガガガガ！！！バーンバーン！！！ズキューン！！
この駄作な作品を作るきっかけとなったのは寝てるときの,夢
