北与野博士,つ、ついに完成したぞ！私の長年の研究が実を結んだんだ！バンザーイ！
みさえ,なかなか戻らなくて心配してたら……
ひろし,電話がかかってきて……
みさえ,幼稚園で無事会えた時は思わずホッとしたわ
ひろし,そのあと、誘拐犯を捜して……捜して……
みさえ,確か……公園で見つけて……
風間,まだか……頼む、タイムマシン現れてくれ！
しんのすけ,お、なんか何人かが走ってこっち来るゾ
風間,……って、あれこの時代の野原一家じゃないか！。！！！
しんのすけ,タイムマシンが現れた！
しんちゃん,あそこの公園にいる2人がそうだよ！
ひろし(35),あいつらが誘拐犯か！おい！待ててめーら！
ひろし,な、なんだ！？
みさえ,私たち、過去に飛べたのよ！
ひろし,しんのすけ！風間くん！
風間,僕たち追われてるんです！中に入らせてください！
みさえ,うん。さ、早く！
しんのすけ,おじゃましまうま～
風間,しんのすけ！鍵！
しんのすけ,ほほーい！
ひろし(35),おい！出てこい！……くそっ、鍵かけやがった！
しんのすけ,さすがに四人入ると狭くて苦しいね
ひろし,みさえ！だからこういう時に備えてダイエットしておけとあれほど……
みさえ,あ？
ひろし,いやなんでもないです、はい
風間,あん……おいしんのすけ！どこ触ってんだよ！
しんのすけ,あらトオルちゃんどうしたの？顔が赤いわよ
風間,お前のせいだろっ！！
ひろし,お、おい……これ
みさえ,パトカーよ、警察が来たのよ！
風間,まずいぞ！今外に出たら確実に警察に捕まる……！
しんのすけ,じゃ、未来に帰るしかないね
風間,おじさん、おばさん！どうやって未来に帰るんですか！？
ひろし,え？
みさえ,風間くん、博士に教えてもらってないの？
風間,え
ひろし,
みさえ,
風間,
しんのすけ,ほうほう。ゲームオーバーってやつですな
風間,ま、まずいぞ……。一体どうやったら未来に帰れるんだ……
しんのすけ,きっと父ちゃんと母ちゃんが過去に来れたのと同じ原理だよ
風間,……というと
みさえ,記憶と……
ひろし,未来に帰りたいという熱意……
しんのすけ,そうともゆう
風間,そうとしか言わないだろ
ひろし,記憶ならさっきまで未来にいたんだから、十分鮮明だ！
みさえ,じゃ、問題は熱意だ
しんのすけ,未来に帰りたいって強く思うんだゾ！
風間,よ、よし！。魔法少女萌えPスイートの最新話が早く観たい！！！
ひろし,よし、お、俺も。会社に行かないと怒られちまう！！！だから戻りたい！！！
しんのすけ,切実ですな
みさえ,私だって！。ひまわりを一人にはさせられない！！！
しんのすけ,オラは。ななことおデートしたいから！！！
四人,BACKTOTHEFUTURE!
風間,……今の感覚は
みさえ,警察の声、聞こえなくなったわ
ひろし,戻ったんだ……俺たち、帰れたんだよ！
しんのすけ,わーはっはっはっはっ！正義は勝つ！
風間,正義……なのかな
むさえ,ねーちゃん！それにみんなも！
みさえ,むさえ！……あれ、博士は？
むさえ,なんか発明品が急に産まれそうになったからって研究所に戻ってる
ひろし,なんだそれ、妊婦かよ
風間,……お、おい……しんのすけ……！
しんのすけ,お？どうしたの風間くん
むさえ,しんのすけもよく戻ってこれ……。……
しんのすけ,むさえちゃんもどうしたの？女の子の日？
みさえ,こらしんのすけ、そんなこと軽々しく言うもんじゃ……しんのすけ！？
ひろし,お、おいお前、身体……
しんのすけ,え？オラの身体がナイスバディ？
風間,そんなこと言ってない！
ひろし,身体が……透けてるぞ……
しんのすけ,え？。おお！ホントだァ！
みさえ,い、いや！消えないでしんのすけ！
しんのすけ,オラ透明人間になれたら女湯に入ろっとパイロット
ひろし,お、いいねぇ
みさえ,……コホン！
ひろし,ば、ばか！そんなこと言ってる場合か！
風間,研究所に急ぎましょう！博士なら原因を突き止められるかも！
むさえ,発明品は産まれたんですか？
博士,ああ！無事産まれたよ！予定より一ヶ月早かったけどね
ひろし,だから妊婦かってーの！
風間,博士！それよりしんのすけが大変なんです！
ネネ,し、しんちゃん！？身体が……
マサオ,透けてる……！
ひまわり,まるでママのおパンツみたい……！！！
みさえ,ママとのお約束第43条みさえのパンツがスケスケであることを、よその人に言ってはいけない。！！！
ひまわり,自分も大声で言ってもうてるやん……
しんのすけ,博士、どんな発明品が産まれたの？
博士,ああ、成長型サイボーグだよ。今はまだ赤ん坊だが、短期間で成人女性の身体に成長するんだよ
しんのすけ,……ま、まさかその成長した身体を……
博士,ちちちがうぞ！この身体を使って工口いことをしてやろうもか全く思ってないからね！。そもそもこれは人間のボディーガード用のサイボーグなんだ。ちなみに、この絵が完全体になった時のものだよ
しんのすけ,おお！綺麗なおねいさん！でもオラこれ見たことあるよ！
博士,な、なに！？
しんのすけ,ねえ父ちゃん母ちゃん！これ見たことあるよね？
ひろし,……確か、昔しんのすけの命を狙いに来た……
みさえ,あったあった！ターミネーチャンとか言ったわよね。写真も数枚残ってるわ
風間,ターミネーチャン……さっきも誰かそんなようなこと言ってたな。……
みさえ,そういえば確かこのとき……
風間,僕が未来からきたんですか？
みさえ,そう！そうよ！部屋散々散らかしてたからよく覚えてるわ！
風間,……
ひろし,あのとき、風間くん19歳って言ってたよな……2010年から来たって言ってた気がするぞ
しんのすけ,ちょうど来年だね
みさえ,大学生って言ってたわ！確か大学は……
風間,……東大？
みさえ,そう！ドヤ顔で言ってたから印象に残ってるわ！
風間,……ドヤ顔
ひろし,東大にたまたまコンピューターに対抗する組織があったんだよな
みさえ,そうそう、それでジャンケンに負けて過去のしんのすけを助けにきたって
しんのすけ,でも風間くんは東大には入らないんだゾ
ひろし・みさえ,ええ！？
風間,はい。入らないつもりなんです
ひろし,ちょっと待て、それじゃあ風間くんはもちろんその組織に入らないから……
みさえ,風間くんはしんのすけを助けにいかないことになる
しんのすけ,そしてオラはターミネーチャンに殺される
みさえ・ひろし,うわあああああああああ！！！
風間,ちょっと待ってくださいよ！僕が行かなくても他の誰かが助けにいくんじゃないですか！？
しんのすけ,風間くんじゃないときっとダメなんだゾ！
風間,しんのすけ……
みさえ,そうよ風間くんお願い！東大に入って！！
ひろし,そうだ！しんのすけの命がかかってるんだァ！
風間,……しかし
博士,その必要はない
風間,博士……！？
博士,このボディーガード用のサイボーグがそんなことに使われるとはな……思いもしなかったよ。今のうちにこのサイボーグは破壊する！。ふう、ストレス解消になったわい
風間,……
みさえ,あなた！しんのすけが！
ひろし,あ！透けてたのがみるみる治っていく！
風間,博士がターミネーチャンを破壊したのが功を奏したんだ！
しんのすけ,博士ありがとう！
博士,いやいや、しんちゃんが無事でよかったよ
ひろし,……あ、そうだ。しんのすけ、ちょっとこっちに来い！風間くんも！
風間,え、僕もですか？
しんのすけ,なに？父ちゃん
ひろし,しんのすけを誘拐した罰だぞ
風間,すいませんでした……
しんのすけ,オラ、誘拐された側でもあるのに……
ひろし,誘拐犯をいつかぶん殴ってやると誓ってから12年も経っちゃったぜ……
ネネ,風間くん！しんちゃん！とにかく、無事でほんと良かったよね
しんのすけ,いや～いろいろへんたいだったよ
マサオ,ターミネーチャンってやつも破壊したし、もうこれで大丈夫だよね
風間,タイムカプセルも無事、取ってきたよ
マサオ,ほんとだ！ありがとう！
ネネ,ありがとう！
しんのすけ,あいちゃんのおかげだよね
風間,うん。今度お礼言わなきゃな
マサオ,さっそく、開けてみる？
風間,でもボーちゃんが……
ネネ・マサオ・風間・しんのすけ,ボーちゃん！！！
ボー,みんなひさしぶり……！
マサオ,……あれ？ボーちゃん、アメリカにいるって……
ボー,日本時間で昨日飛行機に乗って日本まで来た
マサオ,なるほど、時間って飛行機に搭乗する時間のことだったんだ
ボー,そうゆうこと。預かってたもの渡すつもりだったけどすでに渡してたみたい
マサオ,？
ボー,……風間くん、しんちゃん。すぐに会えたね
風間・しんのすけ,……うん！
しんのすけ,さあ！タイムカプセルを開けるゾ！。みんな、自分の小箱をとってね
風間,あああ……！僕の愛しの萌えP激レア金ピカフィギュア！！！！！会いたかったよ萌えP～！！！！！
ネネ,あたしはうさぎのぬいぐるみ！また可愛がってあげるね！
マサオ,幼稚園の時描いた漫画いがぐりマサちゃん！まだ下手っぴだけど懐かしいなァ
ボー,完璧な球体の石……！！！
しんのすけ,オラのは、アクション仮面ゴールドカード！！！！！
風間,お、おい！これ世界で数十枚しかないっていう……！
ひまわり,あたしも知ってる！今じゃ激レアすぎてマニアは喉から手が出るほど欲しがってるやつだ……！まさかお兄ちゃんが持ってたとは……！
ネネ,すごーい！しんちゃんそんなすごいの埋めてたんだァ
風間,これを急いで取り出したかったのか……でもなんで？
しんのすけ,いや、現場の人たちに見せて自慢しようと思って～
風間,現場の人たち……？
しんのすけ,うん。新番組アクション仮面W(ダブル)の撮影現場の人たち
風間,え？
マサオ,てことは、しんちゃん……
ネネ,アクション仮面シリーズに出るの！？
しんのすけ,えっへん！しかも主人公だゾ！
ひまわり,お兄ちゃん、いつも部屋で演技の練習してたもんねー
しんのすけ,そりゃ、主人公ですから
風間,あれはそういう意味で言ってたのか……ていうか、だから大学行かないんだな……。でも隠し事はダメよって言ってたのに、隠してたのか？しんのすけ
しんのすけ,オラ別に隠してないよ
風間,じゃ、なんで教えてくれなかったんだ
しんのすけ,聞かれなかったから
風間,あそ……お前らしいや
マサオ,どうしてアクション仮面シリーズに出ることになったの！？
しんのすけ,えっとね、原宿にこの前行った時に、事務所にスカウトされたの
ひまわり,あれはびっくりしたね
しんのすけ,そんでその事務所が、アクション仮面のオーディション受けてみないかって。で、喜んで受けたら、受かったんだ
ネネ,すごいすごい！しんちゃん芸能人なんだ！
しんのすけ,いや～それほどでも～
風間,褒めてるよ……
ボー,またみんなで集まろうね
マサオ,うん！
ネネ,ネネたちはいつまでも繋がってるのよ！
風間,じゃ、最後に、未来に向かって
しんのすけ,いきますか！。春日部防衛隊！ファイヤー！
5人,ファイヤァァァァァ！！！！！
みさえ,むさえ、あんた一体どうするの？過去に戻るの？
むさえ,……いや、あたし戻んなくていいや
みさえ,ええ！？
ひろし,いいのかよそれで！
むさえ,うん。幸いカメラは持ってきてるし、ねーちゃんよりひと回り以上若いってのは優越感あるしね
みさえ,なによそれ……ったく、それでもいいけど、おふくろのとこに顔出しなさいよ
むさえ,わかってる。でも相当怒られるだろうなァ……
みさえ,当たり前よ。10年以上行方不明で、マジで死んだと思ってたんだから
むさえ,はは、違いない。それで、住まいのことなんだけど……
みさえ,ま、まさか！
むさえ,居候ということで、お世話になります！
みさえ,ったくほんとこいつは～！。あなた！今日は休日出勤なんでしょ！早く起きないと遅刻するわよ！
ひろし,だーーーーっ！そうだった！みさえ、メシ！
みさえ,はいはい。しんのすけも今日はななこちゃんとデートで……ってもう支度できてる！
しんのすけ,当然だゾ。この日をどれだけ待ちわびていたか！
みさえ,全くななこちゃんのこととなると、いつもこうなんだから。ひまわりも土曜だからってダラダラしない！早く起きなさい！
ひまわり,んー……玉木宏ィ……チュチュチュゥ……
みさえ,……ろくな大人にならねーなこいつ……
しんのすけ,うんうん！やっぱり納得にはネギですな
むさえ,食パンに納豆挟むのも美味いぞ～！しんのすけもどう？
しんのすけ,遠慮しときます
ひまわり,いや～やっぱりサンマとご飯が最高に合うね！
しんのすけ,あれ？ひまわりいつの間にサンマ食べられるようになったんだ？
ひまわり,……？何言ってんのお兄ちゃん。あたしは昔っからサンマ大好きじゃん
しんのすけ,……ほうほう
ひろし,ごちそうさま！行ってきます！
ひまわり,あ、パパ……！
ひろし,え、ひまわり……なんだ？
ひまわり,……行ってらっしゃい。仕事、頑張ってね！
ひろし,……ああ！ひまわりのためにも頑張るぜ！
みさえ,あなた、ネクタイが曲がってる
ひろし,あ、ああ、わりぃ
みさえ,昨日はいろいろ大変だったけど、なんか昔の自分たちを思い出したわよね
ひろし,ああ……しんのすけが小さい頃……あの時は俺も若かったな
みさえ,あら、私今だってまだまだ
ひろし,みさえ……
みさえ,あなた……
しんのすけ,ひまわり、オラが二階で数学を教えてあげる。メネラウスの定理という裏技をさずけよう
ひまわり,わーいわーい。二階で教えてもらおう。二人ともあたしたちのことは気にしなくていいからね
みさえ・ひろし,こらこらこら！余計な気を使わんでいい！！！
ひろし,ああやべ、時間が。じゃ、ホントに行ってくる！
みさえ,気をつけてね
むさえ,ねーちゃん！あたしの財布の中身に万札入ってなかった！？
みさえ,あ、ごめん。それかなり前に使っちゃった
むさえ,ちょっと！いくら実の姉妹でもやっていいことと悪いことがあるよ！
みさえ,だって、とっくに死んだと思ってたんだからしょうがないでしょ！
むさえ,勝手に妹を殺すな！
しんのすけ,やれやれ……
ひまわり,むさえちゃんって面白い人なんだなァ
しんのすけ,お、もうそろそろだ。行ってきますだおかだなんだかんだおもろい
ひまわり,わかる
みさえ,行ってらっしゃインパルスもなかなか
ひまわり,それもわかる
みさえ,まったく、あの子ったらあんなに張り切っちゃって……この先もし失恋したら3日ぐらい寝込んじゃいそうね
ひまわり,いや、一週間は寝込むと思う
みさえ,あはは、言えてる
ひまわり,……なんか、お兄ちゃんって、昔から変わんないよね
みさえ,そうね、確かにあんまり変わんないかも。でも、それがあの子の良さでもあるのよ。誰にも流されない、芯がしっかりしてる
ひまわり,うん
みさえ,私の自慢のかっこいい息子だわ
ひまわり,あたしの自慢のかっこいいお兄ちゃんでもあるよ
みさえ,しんのすけ、頑張れよ、これからも……
