同性・異性を問わない,友達
響子,……お兄ちゃん、絶対に覗いちゃダメですからね！
P,僕が響子と小日向の風呂を覗くと思ってるのか？
美穂,ど、どーだかっ。Pくんエッチだもん
P,流石に妹と小日向をそういう目でみる事はないから安心して欲しい
美穂,…………
響子,あの美穂ちゃん、私が居るのにそんな事されても本当に困るからやめて貰えますか？
美穂,響子ちゃんはどっちの味方なの？！
響子,少なくとも正しい人の味方です！！
美穂,わたしの味方って事だよね？！
響子,今までの言動に美穂ちゃんが正しいところあった？！
美穂,でもPくん男の子だよ？欲望に従うのが正しい事なんじゃないかな？
P,いやだから別にお前ら二人にそういう欲望は
美穂,Pくんは黙ってて！わたし正論に打ち負かされちゃうじゃないですか！！
P,はいはーい、バスタオルなー？
響子,お兄ちゃん今そこに居ますか？
P,うん、ここに置いとけば大丈夫？
響子,あ、今私が取りに行きます。美穂ちゃーん、バスタオル補充完了でーす！
美穂,りょーかいですっ！。……？今凄い音しませんでした？
響子,今のは私も悪かったと思ってます……
美穂,それにしても蒸し暑いね……ここの扉開けても良い？
響子,あっ、美穂ちゃ
P,…………
美穂,…………
P,…………よく考えたら僕は別に悪く
美穂,っ！！。わたしが悪いような気もしますけどっ！
P,じゃあなんで叩いたの？！
美穂,うぅ……もうお嫁にいけない……
響子,美穂ちゃんって結構隙だらけですよね
美穂,Pくんに貰ってもらうしかありません……
響子,妹の目の前でその発言はちょっと……
P,ゼリー食べ終えたら僕は宿題やるけど、小日向はどうする？
美穂,あ、じゃあわたしもやっちゃいます
響子,私も明後日数学の小テストだからお勉強しようかな
美穂,お姉ちゃんが教えてあげよっか？
響子,結構です小日向さん
美穂,……Pくん……響子ちゃんが冷たいです……
P,何度くらいだ？
美穂,多分36度くらいかな
P,平熱だな
響子,二人っていつもそんな会話してますよね……
美穂,……ねぇ響子ちゃん響子ちゃん、響子ちゃんって恋人いるの？
響子,宿題するんじゃなかったんですか……
美穂,えー、だって気になるんだもんっ！お姉ちゃんと恋バナしよ？
響子,……い、いないですけど……
美穂,じゃあじゃあっ！クラスに気になる人とかは？！
響子,いないです……
美穂,…………
響子,…………
美穂,……つ、次はそっちがわたしに聞くターンだよ？
響子,……はぁー……！小日向さんはエジプトに気になる人はいますか？
美穂,ら、ラムセス二世かな！あの渋さ良いですよね！
響子,はい、宿題に集中して下さい
美穂,……Pくん……響子ちゃんが冷たいです……
P,どこらへんくらいだ？
美穂,多分インドくらいかな
響子,……私自分の部屋で勉強……ううん、今日は美穂ちゃんの見張りに専念しなきゃ……
美穂,響子ちゃんはわたしを何だと思ってるのかな……
響子,臆病な肉食獣
美穂,正直何も言い返せない！
P,っふぅ……そっちはどうだ？
美穂,…………寝てます……ません……
響子,……ふふふ、妹みたいですねっ
P,まったく、手の掛かる妹だ
響子,手の掛かからない妹とどっちが好き？
P,手の掛かる掛からないに関わらないぞ
響子,……そういう事さらっと言えちゃうよね、お兄ちゃんは
P,今の早口言葉っぽくなかったか？
響子,……そういうところだよ、お兄ちゃん
P,……小日向、起きろー
美穂,……んぅ…………うぅん……
P,おーい、小日向ー
美穂,……まだ…………ダメ……
P,……小日向ー
美穂,……くん……そこは……ダメ、んっ……
P,…………
響子,…………
P,……僕は何も聞かなかった
響子,起きて、美穂ちゃん
美穂,……ふぁ……あと五分……あれ……？なんで二人がわたしの部屋に……
P,なんでだと思う？ここが僕らの家だからなんだけど
響子,おはようございますっ！小日向さん！ステキな夢を見てたみたいですねっ！！
美穂,……っ！っっ！！きょ、響子ちゃんっ！！
響子,……もうっ、夢の内容にまで口を出すつもりはありませんけど
美穂,あと五分で……！ご、ゴールインだったのにっ！！
響子,そろそろ私怒っても良いよね？。きゃっ！
美穂,ひゃっ！！
P,ぐぇ。……停電か？ブレーカー落ちただけ、って事は無さそうだけど……
響子,み、見てきて？
P,じゃあまず腕を離し
響子,ませんっっ！！
美穂,Pぐぅ゛ぅ゛ん……びっぐりじだよぉ……
響子,み、美穂ちゃん……妹の前で抱き着くのはどうかと思いますよ……
美穂,でも怖かったんだもん！！
響子,胸を当てるなんて女の子として良くないですよ！
美穂,でも！怖い！！
響子,い、今だけは大目に見てあげます……っ
P,寝るか
美穂,……Pくん、その……
響子,ダメです！美穂ちゃんは私のお部屋です！
美穂,わ、わたしはお部屋じゃありません！
響子,小学生なの？！。きゃぁぁっっ！！
美穂,っっっっっっ！！
P,ぐぇぇぇっっ！
美穂,Pくん！はやくPくんの部屋に連れてって！！
響子,お兄ちゃん早く！私もそっちで寝ます！！
美穂,……そっち、もっと詰めて下さい……
響子,こっちも縁ギリギリです……あっ、落ちちゃうお兄ちゃん助けて……
P,……苦しい
美穂,……Pくん、居る？
P,居なかったらこの抱き着いてる奴誰だよ
美穂,ゆ、幽霊じゃないですよね？！
P,勝手に殺さないでくれ
響子,お、お兄ちゃん……雷止めて……
P,世界は広しと言えどそんな事出来るのはタケミナカタの兄くらいなんじゃないかな……
響子,じゃあ私の手を握ってて下さい……
P,まぁそれくらないなら
美穂,ず、ずるいっ！
響子,ずるくない！
美穂,ずるいもん！
響子,ずるくないです！！
P,……寝るぞー
美穂・響子,はーい
美穂,……Pくん、なんかエッチな事考えてる時の顔してる
響子,美穂ちゃん、良く分かるね
美穂,いっつも見てるもん
響子,…………ふふっ、女の子ですね
美穂,逆になんだと思われてたの？
響子,そう言うめんどくさいところ、お兄ちゃんに似ちゃってますよ
美穂,…………
響子,…………
美穂,……ねぇ、響子ちゃん。まだ起きてる……？
響子,…………はい
美穂,……響子ちゃんは、しっかり者だよね
響子,美穂ちゃんに比べればそうかもしれませんねっ
美穂,もーっ！でも……そんな響子ちゃんだからこそ……頼み事があるの
響子,…………なんですか……？
美穂,あのね…………？
響子,…………
美穂,…………ダメ？
響子,……はぁ……良いですよ
美穂,ほんとっ？ありがとうございます、響子ちゃんっ！
響子,お兄ちゃん起きちゃうから静かに……ね？。助けてお兄ちゃーんっ！！
美穂,きゃぁぁぁあっっっっ！！
新田,髪の毛サラサラー、おっぱい揺れるー
卯月,書けた人から結んでって下さい
P,……高校の授業で短冊書いて笹に吊るす事になるとは思わなかったよ
新田,国民的行事にネガティヴな意見とかお前ホントに日本人か？
P,割と真っ当な疑問だと思うんだけど口にしただけで非国民呼ばわりは普通に傷付く。って言っても……願いなんて大それたものは無いんだけどな。北条さんはどんなお願いを書いた？
加蓮,げ、アンタデリカシーってものは無いの？普通そういうの女の子に聞く？
P,いや、だってこの後笹に結ぶのに？
加蓮,……忘れてた、書き直す
P,ちなみに書き直す前はなんて書いてたんだ？
加蓮,ポテト
P,聞いた僕がバカだった。……あ、緒方さん。緒方さんはどんな願い書いた？
智絵里,……え、えへへ……内緒です……っ。……き、聞きたいですか……？
P,うん、参考にさせて貰えると嬉しいなって
智絵里,……えへへ……飾るまでナイショです……！
P,痛い……今なんで踏まれた僕
美穂,Pくんが智絵里ちゃんの事をヘンな目で見てたからです
P,違う、僕はただ純粋に緒方さんの事を……
美穂,事を？なんですか？返答によっては響子ちゃんの刑です
卯月,書けましたっ！
新田,新田君が好きとかだと良いんだけどなぁ
P,バカ言え、五十嵐君と付き合いたいに決まってるだろ。死にたい
新田,消えたい
加蓮,ところで美穂はなんて書いたの？
美穂,み、見ちゃダメっ！
加蓮,いやいや、この後飾るから皆んなに見られるのに？。…………はー……へー……やるじゃん
美穂,……うぅ……
加蓮,じゃ、私もそれを応援する願いを書いてあげる
美穂,……ありがとうございます……
加蓮,で、肝心の五十嵐はなんて書いたの？
P,無病息災
加蓮,つまんなっ！
智絵里,……ガッカリです……
新田,お前それでも男か？
鷺沢,ゴミ箱にすら捨てられたゴミだな
卯月,それじゃ、私が回収しまーす！。…………えっ？あっ、わぁ……！！
ちひろ,どうかしましたか？島村さん
卯月,この短冊、告白ですっ！！
美穂,……う、うぅ……
新田,俺か？！俺に告白か？！
男子s,いや俺だな！
加蓮,で、誰がなんて書いたのー？
卯月,むむ、読んで良いんですか……？
加蓮,良いでしょ別に、この後飾るんだし
卯月,それじゃあ……。Pくんの恋人になりたい……だそうです、五十嵐君っ！
P,…………え、マジで？
クラスメイトs,ヒューヒュゥーーッ！！！
新田,誰だーっ？誰が書いたんだーっ？！
加蓮,卯月ー、それ誰の短冊ー？！
卯月,…………えっと……。……名前、書いてないんです……
美穂,…………あっ
新田,はぁ……マジか……
加蓮,ここまでやってそのミスはどうなの……
美穂,……うぅぅ……
P,……いや、逆に全部の短冊をチェックすれば特定出来る……
加蓮,どうする？
美穂,今回はナシで……
加蓮,……みんなっ！時間稼いで！！。卯月、短冊回収！！
卯月,えっ？あっ、はい！
ちひろ,ちょっと、女子の皆さん？！
P,…………
美穂,……Pくん、ごめんね……？
P,……ん、小日向は消しに行かなくて良いのか？
美穂,……う、うん。わたしは別に……
P,まぁ良いか！どうせ近いうちに告白してくれるだろ！
新田,……無理だろうなぁ
P,結局、みんなはどんな願い書いたんだろ
卯月,見てみますか？男子も女子も関係なくバラバラに結んじゃってますけど。ちなみに五十嵐君はなんて書いたんですか？
P,無病息災
卯月,……息が促になってますけど……
P,北条さんはこれだな、名前消さなかったのか。さっさと結ばれます様に……？ジャガイモ農家とかファーストフード店とかの契約か？
卯月,智絵里ちゃんは……早く結ばれますように……？どういう意味なんでしょう？
P,他の短冊、女子のはほとんど名前消されてるっぽいなー
卯月,ちなみに千川先生も飾ってました！
P,ん、これか……商売繁盛……どうなんだこれ、教師として。そう言えば小日向のが無いな……
卯月,そういえば無いですね……美穂ちゃんは名前消してなかった気がするんですけど……
P,……なんでだろ？あいつは最初から名前書き忘れてたとかかな
卯月,かもしれませんねっ！美穂ちゃん、おっちょこちょいなところありますからっ！
P,まぁ良いか。島村さん、水着持ってたりしない？
卯月,…………五十嵐君、流石に女子の水着を借りるのは……
P,なぁ小日向、良ければ明日一緒にスイパラ
美穂,行きますっ！！。そ、それって…………デートのお誘い……だよね？
P,…………ふむ……。島村さん、今此処に小日向居なかった？
卯月,美穂ちゃんなら今さっきジャンプしながら帰って行きましたよ？
P,あ、島村さん。明日小日向とスイパラ行くんだけど一緒に行かない？
卯月,えっ？良いんですか？
P,勿論、多い方が楽しいし。正午に駅前で大丈夫？
卯月,はい！それじゃ、楽しみにしてますっ！
P,ア゛ッ。鷺沢、新田。明日暇ならスイパラ行かない？
新田,死ね
鷺沢,お前が行くべきは楽園じゃなく地獄だ
P,もう二度と誘わないからな
響子,お帰りなさい、お兄ちゃんっ！
P,ただいまー響子。小日向来てる？
響子,え？来てないですけど……来るって言ってたんですか？
P,あぁいや、あいついつも僕に言わずに勝手に来るからさ。あ、そうだ響子。良ければ明日一緒にスイパラ行かない？
響子,…………えっ？
P,男子一人だと行き辛いし、一緒に行ってくれると嬉しいなって
響子,……もー、お兄ちゃんってばー……えへへー、そんな言い訳しなくたって一緒に行きたいって言ってくれれば良いんですよー？。お洋服どうしようかなー。もー、もっと早くに言ってくれれば色々お買い物とか行けたんですよー？
P,んじゃ、午前中は服とか買いに行く？
響子,行きますっ！お兄ちゃんが選んでくれるんですよねっ？
P,別に構わないけど、センスの保証は出来ないぞ
響子,それじゃお夕飯の準備してくるね、お兄ちゃんっ！
P,……お、おう……
響子,貴方ーにたにたに～、ちっちゃなハート～。おにーちゃーんっ！お夕飯出来ましたっ！！
P,はーい！。響子ー、まだかかりそうかー？
響子,ごめんねお兄ちゃーん！先に行ってて下さーいっ！
P,……まだ、後十分はあるな。……まだかな
美穂,…………あっ、おっ、おはようございますっ！！
P,ん、おはよう小日向。早いな、まだ後十分はあるけど
美穂,そ、それは……ねっ？その……わ、分かって下さい！。それに、Pくんだって早く来たって事は……わたしと同じ気持ちって事……ですよね？
P,暑い？
美穂,正直この格好ちょっと暑いですけど！でも！せっかくの……その…………
P,……うん、すっごく可愛いと思う
美穂,……えっ、あっ…………あぅ……ありがとうございます……。……きょ、今日は！よろしくお願いしますっ！！
P,うん、よろしくな。ありがと、付き合ってくれて
美穂,そ、それで……最初はお洋服選びですよね？
P,その予定だけど、小日向も何か見たいものあった？
美穂,はい、その……こないだプール誘ったけど、まだ水着買ってなくて……
P,あぁ、成る程。んじゃそっちも見に行くか
美穂,……ふふふ……えへへ……っ
P,……小日向も随分と上機嫌だな
美穂,だって念願の…………え？んん？？小日向も？
響子,お兄ちゃーんっ！！。えへへー、お待たせしましたっ！遅れちゃってごめんなさいっ、その代わりに手を繋いであげ……ま…………
美穂,…………
響子,…………
美穂,…………
響子,…………
卯月,あれ？あ、やっぱり五十嵐君だ！おはようございますっ！
P,あ！おはよう島村さん！まだ十時だけどどうしたの？
卯月,早起きしちゃったので、せっかくだからお買い物しようかなーって思って来たんです
P,丁度良いし、一緒にデパート行かない？
卯月,もちろんですっ！えへへ、ブイッ！
美穂・響子,最っっっ低っ！！
響子,ほんっと、有り得ないですよね
美穂,そんな気はしてたけど……してましたけどっっ！！
卯月,……わ、私居ない方が良かった？
美穂,ううん、卯月ちゃんは悪くないんです。悪いのはあっちに座ってる朴念仁だから
響子,えっと、お久しぶりです卯月ちゃん
卯月,はい、お久しぶりです響子ちゃん！前にお話ししたのって体育祭の委員会の時だよね
響子,体育祭ではウチの愚兄と美穂ちゃんがご迷惑おかけしてごめんなさい……
美穂,わ、わたしもっ？！
響子,二人三脚の入場の時イチャついて進行遅らせたのって誰と誰でしたっけ？
美穂,い、イチャついてた訳じゃないもん！！。水着はどうしようかな……
卯月,学校のじゃダメなんですか？
美穂,プールにそれはナシじゃないかな……
卯月,海は？
響子,余計ナシだと思いますけど……
卯月,そう言えばこないだ、五十嵐君が私の水着を借りたいって……
美穂,…………最低
響子,…………お兄ちゃん、そんな趣味が……
美穂,え？着る訳じゃ無いよね？
響子,え？じゃあ何に使うんですか……？
美穂,それは、その……ナニって言うか……
響子,…………っ！
卯月,…………？
美穂,こ、この水着可愛いですよねっ！響子ちゃん食べますか？！
響子,美穂ちゃん焦るとお兄ちゃんみたいになりますよね
美穂,バカにしないでっ！焦ってるんだもん！！
卯月,五十嵐君！来て来て！来て下さいっ！
美穂,ま、待ってわたし着替えるからっ！
響子,お兄ちゃーん！早くっ、早く来てっ！！
P,……来たけど？
響子,パスは無しです
卯月,ほらほら、照れずに褒めてあげて下さいっ！
美穂,……うぅ……もう着替えちゃダメ？
卯月,ダメですっ！
響子,まだダメっ！
P,…………良いんじゃない？可愛いと思うけど
卯月,わー、五十嵐君って照れるんですねっ！
響子,あれ？お兄ちゃんならもっと水着に食い付くと思ったんですけど……
美穂,ほらね？言ったでしょ？Pくんってわたしにはそういう興味一切無いんです！！
P,恥ずかしいなら小日向も着替えれば良いだろ
卯月,わー……五十嵐君、それは男の子としてどうなんですか……？
響子,美穂ちゃんだって勇気だして水着に着替えたんですよ？！
美穂,いえ、二人が着なきゃダメって言ったからですけど……
P,それ、プール行く時来てくのか？
美穂,えっ？そ、その予定だったけど……あんまり似合ってなかった……？
P,いや……なんだろう、それ他の男に見られるのが……
卯月,……ふふっ、五十嵐君が嫉妬しちゃうんですよねっ？
響子,わー彼氏ヅラだー
美穂,……ふふふー……ふふ、えへへへへ……
響子,美穂ちゃんが他の人にはお見せ出来ない表情してます……
卯月,あ、私知ってます！メスの顔って言うんですよねっ！
響子,卯月ちゃんそれちょっと意味違うから……
卯月,それじゃ、私も水着選ぼうかな
P,是非お付き合いします！！
卯月,わぁぁ……私、スイパラって初めて来ましたっ！
美穂,……Pくん、鼻の下
響子,お兄ちゃん、絶対変な事考えてる……。糖分……ううん、今だけは忘れないと……
美穂,せっかく買った水着が着れないなんて事になりませんように……
響子,あ、皆さんは座ってて大丈夫ですよ？私が取って来ますからっ！
美穂,ううん、わたしも選びたい！悩むのも醍醐味じゃないかな
卯月,ですねっ！行きましょう！！。お待たせしました！
美穂,いっぱいあって迷っちゃった……また後で取りに行こっと
響子,はいっ！お兄ちゃんの好きそうなスイーツ沢山取って来ましたっ！
P,ん、ありがと響子
響子,ふふっ
美穂,ぐぬぬ……。わ、わたしは……あ、アーンしてあげます！！
卯月,不良になるって事ですか？ダメですよ！
美穂,ちょ、ちょっと声が裏返っちゃっただけだもん
響子,えへへー。お兄ちゃん、私腕が疲れちゃいましたっ
P,奇遇だな、僕も荷物持ちで腕が疲れてるんだ
響子,疲れてません
P,はい、疲れてないです
響子,食べさせてくれますよねっ？
美穂,はい響子ちゃんアーン！
響子,美穂ちゃんが喧嘩売ってくる……
美穂,そんなつもりじゃないのに！！
新田,おっぱい！
鷺沢,おっぱい！
P,バカかお前ら……おっぱい！
新田・鷺沢・P,おっぱい！！
新田,あっやべ
鷺沢,理解したから報告しなくて良い、さっさとプールにでも入って隠せ
新田,うっす
P,さて、準備体操でもしとくか
鷺沢,だな、後で足つっても大変だし
加蓮,お待たせー
鷺沢,…………いや、待ってないぞ。今来たとこ
加蓮,ふふっ、分かりやすっ
P,……良いな、北条さん
鷺沢,何見てんだよ殺すぞ
P,褒めてるのに殺されるの理不尽過ぎない？。そう言えば小日向と緒方さんは？
加蓮,え？居るよ？私の背後に
美穂,……うぅ……やっぱりやめておけば良かった……
智絵里,そ、そんなに恥ずかしがらなくても……
加蓮,はいはい、あんた達も準備体操するよ
智絵里,……ど、どう……かな……
P,凄く似合ってて可愛いと思うよ
鷺沢,あぁ、最高に可愛いぞ緒方さん
智絵里,……え、えへへ……
加蓮,ふんっ！
美穂,せいっ！
P,アビスッ！
鷺沢,中世の拷問！！
美穂,もーっ……わたしだって勇気出したのに……
鷺沢,あぁごめん小日向、めちゃくちゃ可愛いと思うぞ
P,何見てんだよ殺すぞ
鷺沢,お前なぁ
加蓮,……ふーん、目移りなんていい御身分じゃん鷺沢
鷺沢,……プール入ってくる
P,準備体操はちゃんとやっといた方が良いぞ
加蓮,言われなくても分かってるって
美穂,……Pくん、わたしも準備運動してるんですけど！！
P,ちゃんと体ほぐしとけよ
美穂,他にっ！言うべき事とか見るべき場所とか向けるべき視線とか抱くべき欲望とかあると思いませんかっ？！
智絵里,暑い…………加蓮ちゃん、わたし達はあっちのプール行きませんか？
加蓮,ん、おっけー。また後でねー五十嵐、美穂
美穂,……ほ、褒めてよ！わたしにも可愛いって言って下さい！
P,ん、前も言ったけどすっごく可愛いと思うぞ
美穂,……そういう時だけはほんっとにアッサリ言えちゃうんですよねー、Pくんって
P,割と心に素直に生きてるつもりだからな
美穂,……よ、欲望に素直になっても良いんですよ……？
P,マジで？！緒方さん達のとこ混ざってくる！！
美穂,天使の施し！！。ふわぁ……寝そう……
P,寝るな、死んじゃう、比喩じゃなく冗談でもなく
美穂,あ、PくんPくんっ！一緒にウォータースライダーしに行きませんかっ？！
P,別にいいけど、どれにする？
美穂,うーん……一緒に乗れるのが良いですっ！
P,んじゃあっちのだな。浮き輪は借りられると思うから
加蓮,あれ、さっきぶり二人とも
智絵里,あ……二人も並びますか？
美穂,うん、せっかくだから乗りたいなーって
P,ならせっかくだし四人で乗らない？
加蓮,やだ、今五十嵐ゲスな視線してたし
智絵里,美穂ちゃんと二人で乗って下さい……
P,…………
美穂,……やっぱりわたし、加蓮ちゃん達と乗ろうかな……
P,一人で乗るの寂しすぎるし一緒に乗ってくれ小日向
新田,この借りてきた浮き輪、さっき女子大生集団が借りてたやつだぜ
鷺沢,寄越せ新田、命が惜しくばな
P,生ゴミみたいな理由で喧嘩してるんじゃないよゴミ共、喧嘩両成敗だその浮き輪は僕が貰う
新田,……ん、そう言えばだけど
鷺沢,……妙案を思いついた顔してどうした？妙案でも思いついたか？
P,発言前半の無駄さ何？
新田,……これだけ女性が居るんだし、ナンパしたら成功すんじゃね？
鷺沢,…………成功！あわよくば性こ
P,やめろ汚い。硬派なナンパもあるのか？
新田,やぁやぁ其処行く美しい御嬢様方、是非とも拙者達とお茶の一つでも如何であろうか？
鷺沢,……後が怖いしやめとくか
新田,なんだお前チキってんのか？
鷺沢,なんだお前、俺が本気出せば女性の二人やマンション二棟くらい楽勝だからな
P,マンション関係ある？
鷺沢,……でも後が怖いんだよなぁ
新田,チッ、これだから妻帯者は……おい五十嵐
P,僕も嫌だよ
新田,女子大生のおっぱい
P,やっぱやるか
新田,そうこなくっちゃ
鷺沢,待て、俺も同行する
P,そうこなくっちゃ
新田,先にナンパ成功させた奴が勝ちな！
鷺沢,良いだろう
仮面を付けた男性A,……へ、へいへーいそこのエンジェルちゃん達、俺らと一緒にご飯どーよ！
仮面を付けた男性B,……やぁやぁ其処行く美しい御嬢様方、是非とも拙者達とお茶の一つでも如何であろうか？
加蓮,もっと上手くやんなよ
美穂,た、助けてPくん……
加蓮,美穂も演技下手過ぎ
智絵里,……あっ、違うんです……あの人達は、その、恥ずかしいけど知り合いで……
P,……すまーんはぐれて！さ、お昼ご飯にしようぜ！
仮面を付けた男性A,おいおいなんだよ兄ちゃん、この子達の知り合い？
仮面を付けた男性B,我らは今軟派とやらをしている故、口出しは許さぬ
加蓮,おー、カッコいい登場
美穂,こ、怖かったですPくんっ！
智絵里,違うんです……あの、本当に大丈夫ですから……！
P,悪いっすけど、こいつら僕……俺の連れてなんで
仮面を付けた男性A,へいへーい、何カッコつけちゃってんのー？
仮面を付けた男性B,もうこの際貴様で良い、我々とお茶をしろ。断るのであれば貴様の命は保証出来ぬ
加蓮,俺の連れだってさ、キモッ
美穂,……俺って言うPくん、すっごく不自然……
仮面を付けた男性A,まぁテメェは良いや。へいへーい女の子、俺らとお昼どーよ？奢っちゃうよー？
仮面を付けた男性B,奢るよ
P,僕にも奢ってくれたり
仮面を付けた男性A,する訳ねぇだろボケ
仮面を付けた男性B,ボケ
P,じゃあさっさと別を当たって下さい、こいつらは俺と食うんで
仮面を付けた男性A,へいへーい、行くぜお嬢ちゃん達！
仮面を付けた男性B,へいへーい！
加蓮,きゃっ！離して！……あっ、でも無理矢理求められる感じも悪くないかも……！
美穂,た、助けてPくん！！
P,お前らっ！！。でもこっちの照れ屋っぽい方、めっちゃ食うぞ！
加蓮,は？
美穂,は？
P,お前らに払えるのか？福沢の一人や二人で足りると思うなよ？
仮面を付けた男性A,…………
仮面を付けた男性B,…………
仮面を付けた男性A,……嘘吐くにしても女子の気持ち考えろボケ！
仮面を付けた男性B,……だからお前は女心が分からないって言わるんだよ！！
P,仮面付けてナンパする不審者には言われたくないかなぁ！
智絵里,はぁ……ごめんなさい……やっぱりあの人達、知り合いじゃ無かったです……
P,……ふぅ、良かった良かった
加蓮,……最っ底
美穂,ふんっ！ふんっ！
P,……暑い……。……まだか……
美穂,あっ、Pくーんっ！お待たせしましたーっ！
P,お、おはよう小日向。十分遅刻とは随分な重役出勤だな
美穂,どうですかっ？
P,可愛いと思う
美穂,えっへん！雑です！！。…………
P,何キョロキョロしてるんだ、首がまだ座ってないのか？
美穂,……響子ちゃんは？
P,来ないよ、呼んでないし
美穂,卯月ちゃんは……？
P,だから呼んでないって
美穂,加蓮ちゃんとか智絵里ちゃんとか……
P,今日はちゃんと二人きりだって
美穂,…………ほんとに？
P,ほんとに。もし居たとしても僕が呼んだ訳じゃ無いし、ただの尾行だろ
美穂,……なら良いでしょう！
P,デートなら二人でするものだしな
美穂,って言っておきながら鷺沢くんと加蓮ちゃんを呼んでダブルデートとか……
P,流石に僕への信頼無さ過ぎじゃないか？
美穂,……それじゃ……ふー……。え、えいっ！。……どっ、どうでしょうかっ？！
P,腕が痛い
美穂,もー、照れなくたって良いんですよっ？。ほらほらPくん。今日はデートなんですから、今日のわたしは恋人です！
P,恋人……小日向が恋人……恋人が小日向……小日向が小日向……
美穂,……ダメ？
P,ダメ
美穂,ふんっ！。もう一回チャンスをあげますっ！
P,叩かれる？
美穂,叩かれない様にする、に決まってるじゃないですか！！
P,……出来るだけ手加減してくれると嬉しい
美穂,ほんとに本気でグーパンするよ？
P,じゃあ僕はパーを出す
美穂,じゃ、じゃあわたしはチョキを出しますっ！
P,じゃあ僕はグーを出す
美穂,女の子に拳を振るうなんて……
P,ほらっ、行くぞ
美穂,きゃっ
P,……強引なのはお望みじゃなかった？
美穂,えっ？あっ、いえ……その、突然積極的になられてビックリしちゃっただけですから！
P,そう。ところでさ……
美穂,なんですか？
P,僕らは何処に向かってるんだ？
美穂,……え、デートプランは？
P,月々定額使い放題だけど
美穂,それデータプラン！！
P,またプール行く？
美穂,水着持って来てません
P,買い物は？
美穂,奢ってくれるの？
P,……ゲーセン……
美穂,何分もつと思いますか？
P,スイパラ
美穂,カロリー
P,田んぼ
美穂,大雨の日にでも一人でどうぞ
P,校庭
美穂,運動部が使ってます
P,下駄箱
美穂,そんなデートありますか？
P,……あ
美穂,何か思い付きましたか？
P,……動物園とかどうだろ？
美穂,……Pくんにしては悪くない案だと思います
P,んじゃ、電車使うか
美穂,ですねー。見て下さいPくんっ！Pくんが沢山居ますっ！！
P,あれニホンザル、僕は人間
美穂,わぁっ、自分でバナナ剥けるんですね！Pくんも出来ますかっ？！
P,…………出来るよ
美穂,あっ！ハトが居ます！！
P,あれ多分野生のハトだよ
美穂,……野生の猿も居ます！！
P,そろそろ怒っても許されると思う
美穂,あれはなんて動物ですか？
P,自動販売機って言ってお腹に沢山飲み物を溜め込む生き物だな
美穂,その隣のスペースに決まってるじゃないですか！！
P,ゴミ箱だな。お腹に沢山ゴミを詰め込められる生き物だ
美穂,逆逆そっちじゃなくて
P,あれは……鳥？
美穂,いえそれは見れば分かりますけど……
P,……カタカナって八文字以上続くと読み辛い
美穂,凄く同意します
P,……正直な事言って良い？
美穂,……どうぞ
P,……暑い、疲れた
美穂,……腕、組んでるからですか？
P,いや単純に今日暑いだろ
美穂,……腕、組んでるからなんじゃないんですか？
P,そっちは別に良いや、デートだし
美穂,……それじゃ、そういう事にしておいてあげます
P,……それじゃそろそろお互い疲れただろうし、喫茶店でも入るか！
美穂,はいっ！
P,……涼しいな
美穂,溜めに溜めた感想がそれですか……
P,事実であれど口に出して確認するのは大切だぞ、プラシーボ効果ってのもあるし
美穂,難しい言葉で誤魔化そうとしてる？
P,プラシーボ効果を難しい言葉だと言い張るのは若干無理がある。……え、もう十六時回ってんのか
美穂,Pくんがデートプランちゃんと立ててこないからじゃないですかー？
P,悪かったって、次は気を付けるよ
美穂,…………そうですか
P,……カンガルーの誕生日って、母親の袋から顔を出した日らしいな
美穂,へー
P,……キリンの交尾は九割が雄同士らしいぞ
美穂,そうなんですね
P,コウモリの睡眠時間ってナマケモノより長いんだってさ。真の怠けキングはコウモリに
美穂,ねぇ、Pくん。…………そろそろ、帰りませんか？
P,一日ってあっという間だな、ほんと
美穂,ですね、あっという間です
P,で、どうだった？デートってのは
美穂,うーん……そうですね……。正直、こんなものなんだなーって感じでした
P,そっか、良い勉強になったな
美穂,ずっと憧れてた筈なんですよね、デート。わたしだって女の子だもんっ
P,そっか……いや、お前が女の子って事は分かってたけどさ
美穂,わたしが、君の事を好きじゃないからだと思います
P,デートってのは好きな人とするものだからな
美穂,うん、お勉強になりましたっ
P,……僕の事が好きじゃない、か
美穂,はい。今日一日Pくんと二人っきりで過ごして思ったけど……やっぱり君は、そんなにカッコ良くありませんでした
P,……そんな事は僕が誰よりも知ってるよ
美穂,ざーんねんっ！わたしの方がずっとずーっと沢山知ってますっ！
P,そこ張り合うのか
美穂,ずっと君の事を見てきましたから……ここだけの話、ほんとはわたし……。…………君の事、好きだったんです
P,…………そっか
美穂,気付いてなかったでしょ？
P,うん、気付いてなかった
美穂,……そっかー、結構アピールしてたつもりなんですけど……
P,で？そこから？
美穂,……でも、ふと思ったんです。なんでわたし、君の事が好きなんだろう、って
P,で、デートしてみた、と
美穂,はいっ、一日君と二人っきりで過ごせば、好きになったところが見つけられたり思い出せたりするんじゃないかなーなんて思ったんです
P,それで、良いとこが無かった。思い出せなかった
美穂,うん、ダメな所なら幾らでも見つかりましたけど
P,だろうな。自分で言うのはアレだけど、今日のはデートとしては0点だ
美穂,……多分わたしは、恋がしたかっただけだったんじゃないかな……
