藤居朋,あたしのカード達、今日もありがと！
あい,まぁ、彼女達から特に情報が得られたわけではないが。仲の良い友人がいるのは、素晴らしことだな
肇,話は変わりますが、手相占いも評判でしたね
あい,短い時間でよくそれなりの占いを出来るものだ
朋,そっちも見てたの？
肇,いけませんか
朋,いけないことはないけど、ねぇ
あい,だが、タロットカードによる占いの用意はしていたが
肇,受けた人はゼロでした。あなたが選ばないようにしていました
朋,その様子だと知ってると思うけど、手順と場所は重要だからよ
あい,そうだな
肇,なので、疑問が残ります
朋,疑問ってなによ
あい,三船美優の占いは、手順と場所を完全に整えた状態で行われた
肇,それにも関わらず、あなたには何か懸念事項があったのですか
朋,……
あい,これは君の同級生から聞いた話だが、得意なことがあったそうじゃないか
朋,得意なことね、占い以外の特技はないと思うわ
あい,トランプに強いらしいじゃないか
朋,……え？
あい,先ほども聞いたが、手順と場所の重要性を君は説く
肇,それは占い師としての力を高めるため、とあなたは言っています
あい,昔の評価とは違うようだな
朋,あんたら、昨日のうちにあたしの地元に行ってたわけ？
あい,そうだ
朋,優先することは他にもあるでしょうに
あい,それを決めるのは私だ、心配はいらない
肇,あなたはそこまで手順と場所に拘ってはいませんでした
あい,君は自分の占い師としての能力は高くないと思っているようだ
朋,そうね、半人前よ
あい,君の占いは当たるよ。それにも関わらず、だ
肇,そして、今よりも昔の方が顕著です
あい,故に、一つの可能性が思い浮かぶ
肇,連絡した理由、私達に探られることを嫌う理由、占いが評判だった理由、タロットカード占いを断る理由
あい,そして、君の過去と特技
朋,……
あい,そう表情を引きつらせないでくれ
肇,はい
あい,私達は真実が知りたいだけだ
朋,真実を知りたいから、あたしのことを調べてもいいわけ？
肇,答えてくれませんでしたから
あい,だから、こちらから聞くのさ
肇,はい、か、いいえ、でお答えください
あい,君は三船美優を占っていない。そうだな？
朋,……
あい,君のこれまでの占いは、類まれな観察眼と話術によって支えられている
肇,自分の中に作った人格と会話しているそうですが、他人と話しているような場合でも実はしているのですね
あい,そして、カードを操作できるんだ
肇,あなたの占いは当たります
あい,自らが相手から得た情報を提示しているだけだからだ
肇,あなたは当たりだと思いこませるような結果を提示できます
あい,だが、手順を踏まなかったことにより不安が生じた
肇,いかがでしょうか
朋,あんたら、こんなことしてるとバチが当たるわよ
あい,もとより覚悟の上だ
肇,私も同じです
朋,世間の警察はあんたらみたいのばっかりなの？
あい,それは否定しておこう。安心したまえ
朋,はぁ……わかったわよ、答えるわ。その前に、確認していいかしら
肇,どうぞ
朋,あたしは犯人じゃないわ。これはいいかしら
あい,ああ。君を犯人に仕立て上げるのは無理筋だ
朋,あたしの商売はイメージが大事よ。秘密にしてくれるかしら
肇,もちろんです
あい,ただでさえ、署内ではあまり良い目では見られていない
肇,匿名の通報で、私達の評価を下げないでいただけると助かります
朋,約束できるわね
あい,もちろんだ
朋,この話はこの部屋の中での秘密よ。いいわね？
肇,はい
朋,言っておくけど、あたしはちゃんとした占い師になるつもりよ
あい,わかってるさ
朋,……ふぅ。１年も経たないうちにお客さんでもない人から指摘されるとは思わなかったわ
あい,答えを聞こう
朋,あんたらの言う通りよ。あたしがやったのは占いじゃないわ。はぁ、あんたら本当に趣味が悪いわね
あい,これを変えてしまうと刑事としての価値も薄れてしまう気がしてな。許してくれ
朋,あたしが三船美優さんを訪ねた理由は、占っていなかったからよ
肇,参考に聞いてよろしいでしょうか、どうやったのですか
朋,刑事の取り調べに役立つかもしれないわね。別に難しいことはやってないわよ
あい,聞かせてくれ
朋,話し方と態度から、現状に悩みがあるかどうかを見分けるのが一つ目。意外と顔に出るタイプ、特にネガティブなものは出やすい三船さんは簡単ね
肇,大きな悩みはないと
朋,あとは仕事、友達、恋人について雑談みたいに聞いてみたわ。こっちも特に問題はなさそうだった。特に友人への評価が高かった
あい,君には簡単なことなんだろうな
朋,あんたらも調べてるかもしれないけど、三船さんは仕事の態度を変えようとしていたわ。自分であたしに言ってくれるくらいね
肇,ふむ
朋,あの性格だし、結果がすぐ出るとか出てたとしても自信を持つのは難しいと思ったわ。だから、背中を押してあげることにしたの
あい,君が言う通り、頓珍漢ではなく真っ当すぎる占いになるわけだ
朋,その通りよ。あとはそれを指し示すカードを出してあげればいい
肇,カードを操作したのですか
朋,月は逆位置、剣の８は正位置、金貨のクイーンは正位置をあたしの意思で出したわ
あい,なるほどな
朋,結果には満足してくれたみたいね
あい,本人が出して貰いたい結果と君の結果が一致したから、だろうな
朋,その通り。我が意を得たり、そんな表情だったわ
肇,それが当たるということなのですか
朋,未来はわからないから、今が当てられる占いは当たったと思われやすいのよ
肇,なるほど
朋,占いというよりは人生相談よね。カードは信じさせるための小道具に過ぎないわ
あい,普段ならばそれで終わりにしているはずだと思うが、違うのか
朋,気になったことがあったのよ
肇,気になったことですか
朋,ええ。三船さんは占いを必要としてなかったわ
あい,……
朋,だけど、占いが気になっていたからあたしの前に現れたのよね
肇,それに、意味があると？
朋,わからないわ。だから、会いに行ったのだけれど
あい,彼女は亡くなっていた
朋,そうなってしまったわ
あい,これで理由はわかったな
肇,はい
朋,あたしの領分に入ってこられると困るから、答えられなかっただけよ
あい,真実はわかった
朋,はぁ……くれぐれも頼むわよ
肇,秘密にすることに問題はありません
朋,疲れたわ、こんなんでこれから仕事できるのかしら……
あい,お願いするとしよう
朋,これ以上何をお願いするのよ
あい,占いだ
朋,はい？
肇,あなたは事件の第一発見者として、もう役割はありません
あい,占い師の君に期待しているのは占いだ
朋,本当に占いに来たわけ？
肇,そう言っていますが
朋,確かに言ってたわね……
あい,君に占いをお願いする。そうでなければ、代金を払う理屈がない
朋,そういうことね……いいわよ、何を占ってほしいわけ？
あい,三船美優について、占ってみたまえ
朋,三船さんのこと？
あい,占えないのか？
朋,出来ないことはないわ
あい,彼女についてはもう占いしか出来ない。君の実力を私に見せてくれ
朋,……
あい,出来ないのは、躊躇う理由があるからか
朋,そうね、あるわ
肇,ですが
あい,君に選択権はない。やりたまえ
朋,わかったわよ。あたしも占うかどうか悩んでいたから、やるわよ
あい,それでいい
朋,手順と場所を整えるわ。あんたらもお清めをしてもらうから
あい,お清めの儀式はこれでいいのか
朋,ええ。カードのチューニングも出来たわ
肇,今回の占いは
朋,星の力を借りるわ
あい,星とはね
朋,ホロスコープスプレッドと呼ばれる占いを使うわ。１２の星座と宙を意味する１３のカードから三船さんを占うわ
肇,ふむ。最初からこれで占わなかった理由は
朋,あたしが話を作るのが大変だから。占いに詳しくなさそうだったし
あい,自分の都合か
朋,カードは全種類をシャッフルするわ。あたしの操作が影響しないように、あんたが最初にシャッフルしてちょうだい
肇,私ですか
朋,そうよ。出来るかしら
肇,わかりました
朋,ついでにカードの裏に細工がないかを確認してちょうだい
あい,ないようだな。どうやって、操作してるんだ？
朋,７８枚のカードがどう動いたかくらい覚えてられるわ
あい,刑事の勘も捨てたものじゃないな。君を見くびらなくて良かった
朋,シャッフルは右回りよ、いいわね？
肇,わかりました。こうでしょうか
朋,オーケーよ。あたしは後ろを向いて目をつぶるから、三船さんを思い浮かべながら丁寧にシャッフルして
肇,わかりました
朋,……
あい,普段は自分でシャッフルするのか？
朋,相手にシャッフルさせても操作できるから、疑い深い人にはシャッフルさせるわ
あい,その場合は、どうやって任意のカードを出すんだ？
朋,別の所に隠しておくだけよ。占い師の衣装は隠しどころが多いもの
あい,なるほどな
朋,今は７８枚全てそこにあるから心配なら数えてみて
あい,信用するとしよう。その方が物事は早く進む
朋,最初から信用してくれれば、何も起こらなかったのによく言うわ
肇,この程度でよいでしょうか
朋,刑事さんのことだから、執拗にシャッフルしてそうだから問題ないわ。最後にあたしがカードを整えるわ
肇,どうぞ
朋,あんたらが見た方が正方向よ。カードはこれで良し、と
あい,進めたまえ
朋,これから上から順に１３枚のカードを引き、１２枚を円形に順番通り置いていくわ。最後に宙、総評を意味するカードを中心に置くわ
肇,はい
朋,置く場所にも意味があるけれど、大切なのは全体像ね。だから、置き終わってから占いの結果がわかるわ
あい,それまで待っているとしよう
朋,ふー……はじめるわよ。１枚目、オープン
肇,これは……
朋,牡羊座の位置、大アルカナは月で逆位置
あい,同じか。君の操作した結果と
朋,偶然か必然か、決めるには早いわ。２枚目、オープン。牡牛座の位置は、杖の３で逆位置
あい,肇くん、昨日本を読んでいたがどんなカードだ？
肇,未来とか先導を意味したかと
朋,その逆だから、支える側ということね。３枚目、オープン。双子座の位置は、剣の４で正位置
あい,寝ている絵だな
朋,４枚目、オープン。蟹座の位置は、聖杯の１で正位置……良いカードなのに
肇,１はエースなので、良い意味だと書かれていました
朋,５枚目、オープン。獅子座の位置は、金貨の７で正位置
あい,悩んでいるように見えるが
朋,農夫が金貨を実らせても困るでしょ？そういう絵よ
あい,なるほど
朋,６枚目、オープン。乙女座の位置は……大アルカナ、塔で正位置か
肇,大アルカナが重要だと読みました
朋,その通りよ。７枚目、オープン。天秤座の位置は、剣の２で正位置
あい,……
朋,８枚目、オープン……えっ……
あい,ドクロ姿ということは死神か
朋,そういうことね……蠍座の位置は、大アルカナ、死神で正位置……
肇,……
朋,９枚目、オープン。射手座の位置は、剣の８で正位置
あい,ほとんど正位置だな
朋,正逆が多い占いは不安定を指し示すわ。逆位置が多すぎると結果そのものが逆転すると言われるわね
あい,つまり、この結果は信頼できるということか
朋,１０枚目、オープン。山羊座の位置は、金貨の２で正位置
肇,残り３枚です
朋,１１枚目、オープン。水瓶座の位置は、聖杯の２で正位置。本当に人に恵まれる人なのね
あい,どういうことだ？
朋,愛と友情の象徴が蟹座と水瓶座の位置に現れるということは、そういうことね。次、行くわ
肇,はい
朋,星の最後よ。１２枚目、オープン。魚座の位置は、聖杯の７で正位置
あい,これも聖杯か。同じような意味か？
朋,夢や妄想というマイナスになりうるカードね。ロマンチックな恋に憧れていたのかもしれないわ
あい,ふむ
朋,最後よ。全体を繋ぐカード、オープン
肇,……
朋,……やっぱり、そうなるか
あい,このカードはなんだ？
朋,宙の位置は、剣の１０で正位置。このカードは何を示してると思うかしら？
肇,人が剣で串刺しになっています
あい,終わりという意味か
朋,終わり、もしくは終わらせることで明るい世界となることを意味するわ
あい,このカードがここにでるということは
朋,……
肇,藤居さん、どうしましたか
朋,こういう結果が出て欲しくなかったのに……１３枚のカードから読み取れることを説明するわ
あい,聞かせてくれ
朋,大アルカナが大切なことを指し示すわ。牡羊座の位置に月で逆位置。不安を抱えながら進む強さを秘めていたのね、あたしにもわかるくらいだけど
肇,これは新しいことを示していないですね
朋,ええ。その不安を、あたしは読み間違えたのね。残りの大アルカナは２枚
あい,塔と死神だったか
朋,乙女座の位置に塔で正位置、蠍座の位置に死神で正位置。塔は破壊やアクシデントを、死神は終焉と直接的に死を意味してるの
肇,……
朋,乙女座の位置は、仕事や健康を象徴するもの。会社が突然破産するとも三船さんが立ち行かなくなるとも思えないから、塔が示すは健康のアクシデントという可能性が高いわ
あい,死神は
朋,蠍座の位置は肉体を象徴するもの
あい,死ということか
朋,恋人との肉体関係が終わるとか、病気が見つかるとか、病気が終わるとかいう意味もあるわ。でも……肉体的な終わりを意味してると思うわ
肇,そうなると……
朋,それらを結ぶのは終焉を指し示す、剣の１０
あい,……
朋,あたしは、その……
あい,言ってみたまえ
朋,自分の能力を過信して、大切なことを見逃しちゃったのね……
肇,……
朋,どこかで不安を抱えていたけれど、三船さんはそれがわからなかった、わかるわけないわよね、突然の死を予感していたなんてわかるはずがないわ
あい,……
朋,それなのに、あたしの前に現れたわ。占い師の前に
肇,……
朋,全部偶然だったのかもしれないわ。けど！
あい,……
朋,あたしなら聞くことができた。今、こんな結果だしても意味がないのよ。あの時に出していれば、カードは、死という終わりじゃなくて新しい始まりを意味できたのに！
あい,……
朋,……占いの結論を言うわ
あい,ああ
朋,三船さんはおそらく病死よ。頭の傷は、倒れた際にぶつけたか物が落ちて来ただけだと思うわ。この事件に犯人なんていないの、最初からいなかったの
あい,そうだな
朋,あんたらは理由をしつこく聞いてきたけど、理由を聞かないといけないのはあたしだった
肇,……
朋,そうしたら……事件すら起こらなくてすんだのに
あい,……
朋,あたしは、占い師に変わらないといけないとわかってたのに。バカね
肇,……
朋,占いはこれで終わりよ。他になにかあるかしら
あい,一つだけ言っておこうか
朋,なにかしら
あい,占い師ごときが人の生き死にを変えられたりはしない
朋,……はっきりと言うわね
あい,全ては偶然だ
朋,……そうかもしれないわね
あい,しかし、君の占いも信用しよう
肇,検死は今日の午後です
朋,ということは、あんたらヒマだからあたしのこと調べてたの？
肇,その通りです
あい,検視はスケジュールが合わずに今日までずれ込んだだけだ
朋,はぁ……あんたらのこと好きになれないわ
あい,それで結構だ
肇,そろそろ時間です
あい,君は誠実に仕事をすべきだな。私達のようになりたくないのなら
朋,これからはそうするわ。占い師にならないといけないの
あい,失礼しよう。肇くん、行くとしようか
肇,はい。お邪魔しました
朋,ばいばい。……。あいつら、最後は励ましてくれたのかしら……。……。ごめんなさい、三船さん……
礼,そう……そんなことがあったの
朋,三船さんの死因は、詳しくは違うけど心臓発作だったみたいなの
礼,頭の傷は
朋,棚から落ちてきた貯金箱。傷自体は致命傷じゃないけど、意識がなくなったから助けを呼べなかった
礼,不幸な事件だったのね
朋,……そうね
礼,刑事さんの言う通り、あなたが防げたとは思えないわ
朋,わかってるわよ……反省してるだけ
礼,例えば、私が何かに勘付いて残っていたら防げたかもしてない、と思うのはおかしいと思わないかしら
朋,……
礼,それにあなたに早く戻ってくるように言ったのは私よ。私の責任でもあるかしら
朋,違うわ、うん、違うわ
礼,気にし過ぎでもいけないわ。悼むことしか今は出来ないのだから
朋,わかったわ
礼,よろしい
朋,言ったから聞くけど、あたしがカードを操作できるの礼さんは知ってた？
礼,そうじゃないかとは思ってたわ
朋,やっぱり、礼さんにはわかってたのね
礼,あなたの実力はわかってるわ。実力以上の評判だから、何かあるかもしれないと
朋,これは辞めようと思うのだけど、どうかしら
礼,あなたはどうしたいのかしら
朋,辞めるわ。あたしは占い師になるの
礼,そうね。でも、占いを求めてない人もいるわ
朋,そういう人達にはいらない？
礼,見分けられるかしら
朋,難しいわね……
礼,占い師は人の選択を後押しするだけよ。決めるのは本人なの
朋,わかってるわ
礼,その本人に示すのは何がいいか、ずっと悩み続けないといけないわ
朋,礼さんもそうなの？
礼,ええ。キャリア的に言えば私も駆け出しの部類だもの
朋,礼さんがそんなこと言ったらあたしはどうなるのよ
礼,赤ちゃんね
朋,そんなこと言うと、ばぶばぶ甘えるわよ
礼,何度も間違えて、失敗して成長していくの。占い師でもそれは一緒よ
朋,……うん
礼,悩んだら相談しなさい。それくらいは出来るから
朋,わーい、礼さん大好きー
礼,あらあら、よしよし
留美,藤居さん……何してるのよ
朋,この通り、甘えてるわ
留美,別になんでもいいけれど。お話をいいかしら
朋,大丈夫よ。仕事の話？
留美,いえ、この前の話だけど
朋,この前の話って何かしら？
礼,私に言われても困るけれど
朋,思い出せないわ。なんだっけ？
留美,結婚の話……
朋,言ってたわね。礼さん、これは占いの話じゃないわよね
礼,そうね
朋,留美さん、礼さんとあたしの答えは同じよ
礼,ええ
留美,そうなの？
朋,占いじゃないわ。占い師としては占うべきかもしれないけれど
礼,この件については、そういう問題じゃないわね
朋,留美さん、よく聞いてね
留美,え、ええ、わかったわ
朋,留美さんが好きな人と留美さんは両想いよ
留美,へ？
朋,あっちが勇気を出して打ち明けてくれたら、素直に受け入れてあげて
礼,留美さんががっとやって、チュっとしたらイチコロよ
朋,この過激派の意見はともかく、留美さんから積極的に行くのもいいわね
留美,……
朋,未来を占うのはそれから
留美,な、なに言ってるのよ。礼さん、そろそろ時間だから準備を
礼,もう出来てるわ
留美,藤居さんはお疲れ様、また明日！
礼,別に思春期の生娘じゃないのに、あんなに顔を真っ赤にして……
朋,留美さん、好きな人の前ではうまく振る舞えないタイプね
礼,そうみたいね。占いよりも事実の方が大切な時もあるの、わかったかしら？
朋,充分にわかったわ。礼さん、仕事前なのに話を聞いてくれてありがと！
礼,どういたしまして
朋,礼さん、あたしがんばるわ
礼,ええ
朋,皆が幸せになるお手伝いが出来るような、占い師になるから！。あたしの海ちゃん、ちょっと来て。時間があるから、今日は何をしようかしら？。その意見採用するわ、パワースポット巡りにしましょう
あい,本当に一人で会話してるんだな
朋,うわっ！ビックリしたわ！
肇,お久しぶりです
あい,今日は時間があるそうだな
朋,聞かれてるし……パワースポット巡りに行くつもりで忙しいのよ
肇,ご協力をお願いしたくて、お訪ねしました
朋,聞いてないし……って協力？
あい,私は君の能力を評価している
肇,殺人事件の調査にご協力いただこうかと
あい,善人の未来を救い、悪人の未来に罰を与えてみないか？悪人に誠実な占いをする必要などないからな
朋,へぇ……
あい,ご協力いただけるかな、占い師探偵？
