私は千歌ちゃんから,押し入れの整理してたら、すんごーいモノ見つけたから来て！
善子,何が目的なのよ？冗談抜きでリリーと千歌の仲を引き裂くために、あんだけのことしたっての！
月,うん。そうだけど。正確には曜ちゃんの長年の夢を叶えてあげるために、ねっ♪
善子,長年の夢？
曜,ま、まさか……
いくつか浮かんでいた犯行動機の仮説、それらの中で,最悪の説
月,曜ちゃんが千歌ちゃんと恋仲になるために。ねっ、曜ちゃん♪
曜,あ、あ、ああ……
善子,曜っ!?
月,ねえ、曜ちゃん？物心ついた頃からずっとずっとずうーーーっと将来千歌ちゃんと結婚したい♡って口にしてたのに、どうして諦めがついたの？
曜,それは……千歌ちゃんを誰よりも笑顔にしてあげられるのは、梨子ちゃんだからで……
月,声がちっちゃいね。本心からそう思ってる？
曜,思ってるよ！
月,嘘臭いなぁ。わざとらしく怒鳴ってみせてさぁ。去年の夏休みだったよね？最近、千歌ちゃんが梨子ちゃんばっかり構うようになって寂しいって愚痴ってきたのは
曜,それは……もう済んだ話で
だけどアレが私の,勘違い
2人とも、私のことを,親友として大切に想ってくれていた
月,そうだったね。あの後から、梨子ちゃんの話題もたびたび出るようになったしね
曜,でしょ。だから梨子ちゃんのことは認めて──
月,でもさ、そんなあっさり諦めがつくものだったの？曜ちゃんから千歌ちゃんへの想いはさぁ？
善子,しつこいわよ！曜がいいって言ってんだから！
月,ウチの高校じゃなくて千歌ちゃんと一緒がいいって理由で、廃校の話が出ていた浦女を選んだほどなのに？
曜,それの何がいけないの？
あの頃の私にとっては,千歌ちゃんと一緒がいい！
月,某風邪薬じゃないけど曜ちゃんの半分は千歌ちゃんへの想いで出来ていますってほど、千歌ちゃんへお熱だったっていうのに？
曜,そうだよ。でも──
月,自分を殺したってさ、一銭の得にもならないよ。自分の気持ちへ素直になりなよ
一瞬でも,一理ある
善子,エゴの押し付けもいい加減にしなさいよ！まだ私達のこと、大してわかってないクセに！
月,善子ちゃん、僕は曜ちゃんと話してるの。部外者が出しゃばらないでくれないかな？
善子,部外者じゃないわよ！リトルデーモンが、もとい親友が襲われるかもしれないって時に、止めようとしない訳にはいかないでしょ！
月,襲う、ねぇ？人聞き悪いなぁ。ただ2人から互いを忘れさせるだけだっていうのに。他は全部残すっていうのに
善子,わかってるの！それがどれだけ残酷なことかっ！
月,へぇ。わかってるかのようなこと言うんだね、堕天使ちゃんは
善子,わかってるも何も……ずら丸がやられたのよっ！
月,……
その,残酷なこと
そして,ぐっ
善子,ずら丸は、スクールアイドルの記憶を消されたと同時にみんなとの絆も消えちゃったのよ。アイツ自身、何も思い出せないことを苦しんでたのよ……
月,そうか……花丸ちゃんが
善子,だから私はアンタを許せない。ずら丸の仇、討たせてもらうわ！
曜,そう、だね。それに月ちゃんの言い分は、全部千歌ちゃんと付き合えていない私が可哀想だってのが前提の話だよね？
月,そうでしょ？曜ちゃんにとって、ずっとそれが全てだったんだから
曜,そんなの全部、決め付け以外の何物でもないよね？人の気持ちをこうなんだこれで間違いないこうあるべきだってさ
月,確かに決め付けだけど、違うの？。さっきは一度口が利けなくなるほど動揺してたってのに？
曜,ああ、そうだよ！千歌ちゃんへの未練が全くないの？って問われたら、嘘になるよっ！。千歌ちゃんにきっぱり振られても諦めきれなくて、その傷から目を背けたくてルビィちゃんと付き合い始めてさ……情けない、未練がましい女だって嘲笑ってくれても構わないよ
月,でしょ。だったら僕らが協力して──
曜,それでも私は……私にとっては千歌ちゃんが幸せになることが一番なんだよ！そこは千歌ちゃんと付き合ってる人が誰だろうと変わらないよ!!
善子,曜……失礼でしょ！ルビィに対して！
彼女をずっと,代替品
曜,わかってる、わかってるよ……でも最近はルビィちゃんの良さもわかってきたから。未練は断ち切れそうだから
月,ふーん、曜ちゃんの千歌ちゃんへの想いなんて、その程度のものでしかなかったんだ
曜,だからそういうのが決め付けだって言うんでしょ！それに今は梨子ちゃんだって、私の大切な親友なんだよ。千歌ちゃんの幸せだけじゃなくて、梨子ちゃんの幸せだって願ってるんだから！
2人が幸せでいられるなら,私が一番でなくちゃ嫌だ！
月,まあ、そうだね
曜,それともう1つ、大切なことがあるよ
月,大切なこと？
曜,月ちゃんは私が可哀想だって言うけど、そう思うなら千歌ちゃんと梨子ちゃんの仲を引き裂くことは可哀想だって思えないの？思わないの？
でも,特別親しい人のために、知り合ったばかりの人達を犠牲にしても構わない
月,……だから両方から記憶を──
曜,だよね。千歌ちゃんか梨子ちゃん、どっちかだけ記憶が残ってたら辛くなるもんね、善子ちゃん？
善子,ヨハネよっ！
月,何が言いたいの？
曜,月ちゃんは誰かを幸せにするために、他の誰かから幸せを奪うことに対して、それがいけないことだって思わないの？感じないの？考えられないの？
月,そ、それは……
曜,私はそんなの耐えられない。私が幸せになるために……千歌ちゃんと梨子ちゃんが過ごした1年がなかったことにされるなんて……
だからこそ、私はあの,理想世界の夢
曜,2人が悲しい思いをしなければそれでいい、じゃないの！私が悲しい思いをするっての！わかる？
月,ああ……なるほどね
曜,今ならまだ間に合うよ。花丸ちゃんのおじいちゃんの下へ忘却の書を返して、謝りに行こう。そしたら黒澤家と小原グループがもみ消して──あだっ!?
善子,ずら丸がやられてるのによく言うわねっ！
曜,……ごめん。でもやっぱり月ちゃんは私の従姉妹だから
善子,やっぱり曜にとって、ずら丸はどうでもいい存在だったのね？
曜,どうでもよくはないけど……さっきも話したとおり、私の方から関わろうとしなかったことは後悔してるから
善子,……わかってるわよ。先輩と後輩として、最低レベルの情くらいはあったってのは
曜,ま、まあ。わかったでしょ、私の気持ちが。私は千歌ちゃんと梨子ちゃんが付き合うのを認めるって決めたの
月,……
曜,そして私もルビィちゃんと一緒に新しいスタートをするって決めたの。だからもう余計なお節介は必要ないから
月,……そっか、曜ちゃんの気持ちはよーくわかったよ
曜,月ちゃん……だったら
月,だからね
曜,まさかっ!?
善子,避けてっ！
月,これは、僕達みんなのため、なんだよ
生徒会長の言葉に合わせ、後方に控えていた4人が同じく胸ポケットから,忘却の書
善子,交渉決裂って訳ね
曜,忘却の書って破いても呪いが使えるの!?
善子,呪いの使い方が書いてあるんじゃない、本のページ1枚1枚が呪いの触媒みたいね！
曜,ま、まあ元は恋愛小説らしいからね
月,つまり曜ちゃんからは梨子ちゃんの、堕天使ちゃんからは花丸ちゃんの記憶を消せば、丸く収まるってことだよね？。あと必要ならルビィちゃんから曜ちゃんの記憶もね♪
善子,どうするつもり？多勢に無勢よ
曜,嫌になるよね、圧倒的な物量差ってヤツは。なら、まずは！
善子,まずは？
曜,一時退却っ！
善子,そうよねー！
月,追うよっ！
このまま月ちゃん達に記憶を消されてしまえば,あの夢
だとしたらアレは,私が心の奥底で抱いていた願望
そう考えると,私は自分本位の最低な女なんかじゃないんだ
曜,はぁ、はぁ……まさかページ片1枚1枚から、呪いのビームが放てるとは想定外だったね
善子,ふぅ、ふぅ……そうね、まるでファンネルかビットMSってところね
曜,ぶっちゃけ私が囮になって、善子ちゃんに忘却の書を回収して逃げてもらえばいい……くらいには甘く考えてた
善子,んなことして、リリーと千歌が喜ぶとでも？
曜,そ、それは……。……違うと思う
善子,でしょ。私はこれ以上、aqoursの絆を砕かせたくはないんだからね！
曜,善子ちゃん……ありがとね
善子,そう思うなら、いい加減ヨハネって呼んでほしいものね
生徒会役員A,いたぞっ！
善子,ちいっ！
曜,見つかったか！。ビームは約10秒間隔で飛んできてるね
善子,溜めが必要なのはわかったわね
曜,今の気分は？
善子,リアルでMS戦やってるような気分よ！しかもこっちはビームライフルなしのハンデ戦！
曜,だったら？
善子,敵から奪うまでよっ！
生徒会役員B,隙ありっ！
生徒会役員C,悪いねっ！
生徒会役員BC,んなっ!?
曜,スクールアイドルの動体視力と瞬発力！
善子,甘くみないでよねっ！
そして彼女達が落とした,忘却の書
生徒会役員B,ぐっ!?
生徒会役員C,しまった!?
後は,忘却の書を巡る一連の出来事に関する記憶を消して！
曜,ごめんっ！
善子,悪いわねっ！
生徒会役員BC,ぐうっ……
曜,これで2対3っ！
善子,ページ片をゲットしたし、条件は互角っ！
曜,いやいや、まだ向こうが1人多いから！。鏡、ね
善子,曜、さっきの見たわね？
曜,うん、もちろん！
善子,これで劣勢を覆せるわね！
曜,まあ見間違いの可能性はあるけど……試してみる価値はあるかも
生徒会役員A,覚悟っ！
生徒会役員D,私達のためにっ！
曜,今だっ！
生徒会役員AD,んなっ!?
善子,くらいなさいっ！
月,遅いよっ！。悪いねっ！
曜,あいたっ!?
月,まずは曜ちゃんっ！
曜,ぐうっ！
善子,ええいっ、南無三っ！
？？？,ダメぇーっ！
月,へっ？
ようよし,ルビィ(ちゃん)!?
ルビィ,曜さんに……ルビィの彼女に手を出さないでっ！
曜,ルビィちゃん、離れてっ！
ルビィ,う、うん
月,ははは……これが愛、か
曜,ごめん、月ちゃん。ふぅ、とりあえず千歌ちゃんと梨子ちゃんの記憶を消したいって気持ちだけ消すよう念じたけど
善子,ってどうしてよ？
曜,月ちゃんからは本当の理由を聞き出す必要があるからね
彼女が放った,みんな
そうでなければ一介の女子高生が,忘却の書
善子,なるほどね。私もみんなが望んでるってのが気になってたからね
曜,ああ、やっぱり？
善子,ええ。んで、ルビィはどうしてここへ？
ルビィ,大切な人を守るため。それ以外に何かあるの？
曜,る、ルビィちゃんっ//
善子,もしやルビィ……黒の組織と取り引きをっ!?
ルビィ,ううん、ウチの人達だよ
曜,ウチって……やっぱり黒澤家の？
ルビィ,うんっ！
赤髪の男,ルビィとそのお友達よ、無事だったか！
ルビィ,うんっ、お父さん
ようよし,お父さんっ!?
黒澤父,この娘達は、ひとまずウチが保護する。君達も来たまえ
ようよし,は、はい
黒澤父,ウチの馬鹿娘が迷惑をかけて、すまなかった
ルビィ,改めて、ごめんなさい
曜,いえ、ルビィちゃんはルビィちゃんなりにaqoursを守ろうとしてくれただけで
ルビィ,曜さん……ありがとう。でも、命令されたとしてもやったのはルビィだから
黒澤父,そういうことだ、世の中というものは
善子,ルビィから事情は全部聴いているんですね？
黒澤父,うむ。寺の結界を解いたことも、生徒会長の娘から脅されていたこともな
千歌,どうして曜ちゃんちなんだろ？
梨子,曜ちゃんはこれを見せたかったんだと思うな
千歌,わたし達の写真がいっぱいだね
梨子,うん。曜ちゃんにとって千歌ちゃん以外のみんなも、大切な仲間だよってのを示したかったんじゃないかな？
千歌,ほんとだね。ほら、こっちのボードも
梨子,曜ちゃんなりに、千歌ちゃん以外にも目を向けようとしていた……って言ったら失礼だよね？
千歌,曜ちゃんかな？
梨子,さすがにまだ早いわよ……確認してみましょ
千歌,だよね、うん
梨子,嘘……この人達って
千歌,まさか……忘却の書を盗んだ犯人グループ？
梨子,間違い、ないみたい。まずい、お寺の時と同じだわ！
千歌,じゃあ、やっぱり
何にせよ、4人の中のリーダー格とおぼしきこの人が,忘却の書
千歌,この声、確か副会長さん？
梨子,ってことは、月ちゃんが送り込んできたのかも
恐らく私がいくつか予想していた,犯行の動機
梨子,曜ちゃんの予想は当たってたみたいね
千歌,うん。わたし達、ずっと監視されてたんだね
事前に曜ちゃんから,念のため、靴は2階へ持って上がった方がいいかも
梨子,何が穏便によっ！。いや、何言ってるの？
千歌,誰と誰が付き合おうと、当人らの勝手でしょ
みのり,みんな
ちかりこ,へっ？
千歌,観てないけど……何の証拠になるのさ？
みのり,想いよひとつになれ
梨子,私の代わりに曜ちゃんと千歌ちゃんがダブルでセンターしたのと
千歌,結果発表で曜ちゃんがわたしへ抱きついたところまで映したん……だよね？
どうやら副会長さんはこの2曲が人気な理由を,千歌ちゃんと曜ちゃんが仲睦まじい様子が映っているから
みのり再生回数だけでなく、コメント数も凄いんですよ。,尊い
みのり,高海千歌さんと渡辺曜さんが付き合うのを、ファンの皆さんが強く望んでいる
梨子,まあ、私も2人が仲良くしてたら嬉しいけど
千歌,ええーっ!?そうなのー？
梨子,知りたくなかったわ、そんな事実
千歌,ファンのみんなが望んでないから別れろっての？
梨子,嫌よ……そんなの。千歌ちゃんと別れるなんて
みのり,みんなの夢を叶えるのがスクールアイドル
梨子,って、なんで副会長が知ってるの？私と千歌ちゃんだけが知ってるはずのやり取りを
千歌,ああ、ごめん。イタリアで曜ちゃんと月ちゃんへ話しちゃった
梨子,へっ!?なんで？
千歌,いや、曜ちゃんからそろそろ梨子ちゃんが入部したきっかけが知りたいって迫られて。んで月ちゃんも興味津々だったから……
梨子,まあ、別に秘密にする気もなかったからいいけどね
これもまた曜ちゃんなりに,私と千歌ちゃんの仲を応援したい
梨子,だったら！
みのり,だからお2人の記憶、消させていただきますよ。……って、いない!?
梨子,逃げましょ！
千歌,うんっ！
取り巻きB,見つけたっ！
取り巻きC,覚悟っ！
梨子,まさか……忘却の呪いっ!?
千歌,来るっ！
梨子,ぐっ！
千歌,よっと！
取り巻きB,ちいっ！
取り巻きC,かわしたのっ!?
千歌,戦うって決めたよね？
梨子,うん、悪い運命全てと！
千歌,いくよっ！
梨子,うんっ！
ちかりこ,どおりゃあーーーっ!!
取り巻きBC,きゃあっ!?
千歌,これってやっぱり──
梨子,忘却の書の一部？
取り巻きB,返してっ！
取り巻きC,みのりにお仕置きされちゃうから！
まさか,忘却の書
千歌,どうする？
梨子,とりあえず私達を別れさせたい気持ちを忘れさせましょ！
千歌,うん
取り巻きBC,きゃあっ!?
みのり,見つけましたよ！
千歌,2対4、不利だね
梨子,それにまだ仲間がいるかも
千歌,逃げよっ！
梨子,うん！
みのり,抵抗しても無駄ですよ
梨子,囲まれたっ!?
千歌,そんなっ!?
梨子,いい加減にしてよっ！aqoursの人気を上げるために私と千歌ちゃんを別れさせる？そんなことのために盗みや暴力を働くなんて、はっきり言って狂ってるわ！
千歌,梨子、ちゃん？
梨子,aqoursを応援している？良い結果を残す手助け？全てみんなのため？違うでしょ！全部自分のためなんでしょ！。私と千歌ちゃんの気持ちなんて、これっぽっちも考えちゃいない！
みのり,個人の都合なんて考えていたら、チームは成り立ちません。わかりますよね？中学の頃、ソフトボール部だった高海千歌さんなら
千歌,それはわかるよ。土日だって練習三昧だったし、上手くやれない娘はレギュラーになれないもん
みのり,だったら、私の言い分はわかりますね？
千歌,でもそれはそれ、これはこれだよ！
みのり,最大限の結果を出すには、最適な選択をする必要があります。例えば、1人体力が追い付いていない足手まといを排除する、とか
梨子,まさか……そんな理由で花丸ちゃんを
千歌,酷いよ！足手まといだなんて！
みのり,何か問題でも？SaintSnowのように最低でも2人いれば、大会にはエントリーできるんですし
梨子,ふざけてるわ、貴女
みのり,元々運動は向いていなかった上、やる気もなかったみたいですし、むしろ良かったでしょう。何より先輩方ともロクにコミュニケーションを取れていなかったそうですし
梨子,花丸ちゃんは変わろうとしていた！善子ちゃんやルビィちゃんと比べたら1歩遅れてたかもしれないけど……彼女なりに進み始めていたの！
みのり,それが何だっていうんです？全体の和を乱す者は、チーム活動においては不要なんですよ
梨子,狂ってるわ！独りよがりの正義を振りかざして！
みのり,独りよがりなのはお2人でしょう？。高海千歌と渡辺曜が付き合うことはみんなが望んでいて──
千歌,みんな？それってほんと？。この計画に乗ったのって、みのりちゃんを含めて8人だけじゃん。……あっ、月ちゃんを入れたら9人以上はいるかもだけど
梨子,千歌ちゃんの言うとおりね、みんなじゃない。呪いの力で恋仲の2人を無理矢理引き裂くなんておかしいって、大抵の人なら思うもの。違う？
それに対して副会長さんが,チッ
みのり,スクールアイドル部のためなんですよ
梨子,私がピアノとまた向き合えるようになれたのは、千歌ちゃんがいてくれたからなんだよ
千歌,梨子ちゃん……
梨子,他人と比べて普通怪獣だって自分を卑下していた千歌ちゃんが自信を持てるようになれたのだって、スクールアイドル活動を通してだしね。そして、それは作曲のできる人がいなければ始められなかった
千歌,……なんかわたしがエゴを満たすために梨子ちゃんを誘ったみたいじゃんかー！
梨子,最初はそうだったでしょ？
千歌,ま、まあ
梨子,だけど千歌ちゃんは私を作曲マシンのように扱ったりはしなかった。いつだって私の心と向き合って、隣に寄り添ってくれたの。私と千歌ちゃんからお互いの思い出を消したら、それこそ貴女が言うような作曲のできない役立たずになる訳だけど？
みのり,フフッ……アハハハハッ！
千歌,へっ!?
梨子,何がおかしいの？
みのり,高海千歌との思い出が消えたら、ピアノが弾けなくなる？トラウマ克服の手伝いなんて、他の誰でもできるでしょう。それこそ貴女と仲良しのヨハンだかでも
梨子,ヨハネよっ！
みのり,高海千歌が動けたのは、たまたま家が隣だったから。貴女が抱える事情が認知されているのなら、そのヨハネでもできます。安心なさい。今あるものが消えても、互いの彼女のノロケ合いをする程度の関係は生まれるでしょうから
梨子,……確かに、そうかもね
千歌,梨子ちゃんっ!?
梨子,でも、あくまでそれは仮定の話だよね？実際どうなるかなんてわかる訳がない
千歌,ま、まあ……かもね
梨子,今、私がここにいられるのは、千歌ちゃんが隣で支えてくれたからなの！
千歌,梨子ちゃぁーんっ//。わたしだってそうだよ！わたしが辛くて潰れそうになってた時、梨子ちゃんが優しく抱きしめてくれたからなんだよ！
みのり,それだって渡辺曜にもできます！
千歌,かもね、うん。だけど今ここにいるわたしは梨子ちゃんを好きになったの。でも曜ちゃんだって大切な親友だよ、どうでもよくなったりなんてしないもん！
みのり,だったら──
千歌,誰が誰を好きになったって、その人の勝手じゃん！他人がそれを採点してさはい、点数が低いから別れなさいだなんて何様だよっ！
梨子,ありがとね、千歌ちゃん。だから私と千歌ちゃんが積み重ねてきたものを、全部なかったことにしようだなんて……そんなの絶対に認めないっ!!
取り巻きDE,あっ、ううっ
梨子,そこよっ！
千歌,うんっ！
取り巻きDE,いやーっ！
取り巻きAFG,んなっ!?
そしてすかさず,どおりゃぁーーーっ!!
取り巻きAFG,くそっ！
千歌,もういっちょ！
取り巻きFG,そんなっ!?
みのり,役立たずがっ！
梨子,人を道具として扱うような人にはっ！
取り巻きA,えっ!?
みのり,ちいっ！
千歌,ちょっと酷くない!?
梨子,貴女はそんな人に協力するの？
取り巻きA,そ、それは……。ごめん、みのり！
みのり,裏切り者は要りません
取り巻きA,みのりの、バカっ……
千歌,今だっ！
みのり,甘いですよ！
千歌,そんなっ!?
梨子,千歌ちゃんっ！
千歌,梨子……ちゃんっ……
梨子,千歌ちゃぁーーーんっ!!。もう私と千歌ちゃんに構わないでっ！。千歌ちゃん、千歌ちゃんっ、千歌ちゃぁーんっ！うっ、ううっ
千歌,んっ……んんーっ
梨子,千歌ちゃんっ!?
千歌,んああっ……って梨子ちゃんっ!?どうして泣いてるの？
梨子,千歌ちゃん……私のこと、わかるの？
千歌,もちろん！桜内梨子ちゃん、わたしが世界で一番大好きな人だよ♡
梨子,うっ……千歌ちゃんっ、千歌ちゃぁーんっ！
千歌,ちょっ!?梨子ちゃんっ//
梨子,良かった、良かったよぅ～っ……うわあぁーんっ
千歌,よしよし、大丈夫だよ。わたしが梨子ちゃんのこと、忘れたりする訳ないじゃん
梨子,でも千歌ちゃんは呪いの光線を受けたはずよね？
千歌,うん。意識も失ってたからね
梨子,なら何かを忘れているはず……私のこと以外の何かを。千歌ちゃん。一昨日の晩ごはん、憶えてる？
千歌,えっ!?えーっと……ブリの照り焼きとポテトサラダ。それとデザートにみかんゼリー
梨子,うん、合ってるね
千歌,ってなんで梨子ちゃんが知ってるのさっ!?
梨子,次、日本国憲法の第14条は？
千歌,ううん……確かすべて国民は、法の下に平等であつて、人種、信条、性別、社会的身分又は門地により、政治的、経済的又は社会的関係において、差別されない。華族その他──
梨子,うん、この前私が教えたことも憶えてるみたいね
千歌,せっかくなら最後まで言わせてよ……
梨子,となると……
千歌,いや、わたしはボケ老人じゃないってば──
梨子,卒業した先輩方を含めた、aqoursのメンバー全員をフルネームで！
千歌,わたし高海千歌でしょ。桜内梨子ちゃんでしょ。あとは渡辺曜ちゃんに黒澤ルビィちゃんと姉の黒澤ダイヤちゃん。それに津島善子ちゃんと国木田花丸ちゃん。そして松浦果南ちゃんと小原鞠莉ちゃんの計9人！合ってるよね？
梨子,うん、9人全員出てるよ♪
千歌,隠しキャラとかいないよね？しいたけも数えるとか
梨子,いや、犬のスクールアイドルなんて前代未聞だからね！
千歌,とにかく大丈夫だよ。前にも言ったよね、今までやってきたことは全部残ってる。何一つ消えたりしないって
梨子,うん、そうだね
千歌,……いや、ごめん。花丸ちゃんの記憶、消えちゃってたんだよね
梨子,私達、全部を守れなかったんだよね……
千歌,でもきっとやり直せるよ！わたし達が花丸ちゃんを憶えてるんだから！
梨子,千歌ちゃん……うん、だよね！。でも、どうして千歌ちゃんは何ともなかったのかな？
千歌,うーん……もしかしたら、コレがわたしを守ってくれたのかも
梨子,あっ、そのロケットって
千歌,誰だろう？この赤い髪でツインテールの娘って
梨子,……あっ。誰だろね？天使様かな？
千歌,天使様か、なんか納得。梨子ちゃんと出逢ってなかったら、この娘へ一目惚れしてたかもしれないし
梨子,……そっか
千歌,んっ？どうしたの、梨子ちゃん？
梨子,千歌ちゃんって、実は相当なロリコンだったのね
千歌,ロリコンじゃないから！
となると,千歌ちゃんとルビィちゃんが結ばれた平行世界
千歌,これってアレかな？アクション映画でよくある敵から銃で撃たれたけど、弾がアクセサリーに当たったおかげで助かってお袋が俺を守ってくれたのかもなっていう──
梨子,ってなんでお袋!?シチュエーション自体はわかるけど
千歌,いや、なんとなく。梨子ちゃんがオカン属性の塊だからかも
梨子,オカン言うなっ！
千歌,でも梨子ちゃん、絶対いいお母さんになるよ。わたしが保証する！
梨子,千歌ちゃん//でも私達、女の子同士だから子ども作れないよ
千歌,あっ。それで、これからどうしよっか？
梨子,そうね、警察へ届ける訳にもいかないし
千歌,へっ!?何事？
？？？？,無事デースか？チカっちにりこっぴー
千歌,チカっちに
梨子,りこっぴー？
千歌,というかこの声って……
梨子,鞠莉ちゃんのお母さん、だよね？
鞠莉ママ,1か月ぶりデースね、aqoursのバカップルちゃん達☆
梨子,この人達って、やっぱり小原グループの？
鞠莉ママ,イエース！この娘達の身柄は、一時的に小原グループが保護しマース！
全員が,保護
鞠莉ママ,乗りなさい。詳しい話はウチのホテルでしマース
ちかりこ,は、はい
淡島ホテルのイベント用ホール──以前、鞠莉ちゃんのお母さんから,鞠莉達を捜してほしい
鞠莉ママ,関係者は全員いマスね？
黒澤父,うむ。私はサツの方へ話をつけてくる。国木田と松浦の方にも礼を言わねばならんしな
千歌,曜ちゃん、善子ちゃん、ルビィちゃん……全員無事だったんだね
梨子,1人も記憶、消されてないよね？
曜,もちろん！
善子,当然よ！
ルビィ,ルビィも平気だよっ！
千歌,そっか、良かったぁ～
曜,鞠莉ちゃんのお母さんは、この一件についてどれくらいわかってるんですか？
鞠莉ママ,ほとんど全部、といったところかしら？
曜,月ちゃん達のバックについていた存在についても？
鞠莉ママ,イエース☆でも詳しくは会長本人がトークすべきね。でしょっ？
月,はい。脅されていたんだよ、スタンダファミリーに
曜,スタンダファミリー？
月,シチリアの猛虎と恐れられるアンドリュー・スタンダ率いる、イタリアンマフィアだよ
鞠莉ママ,そして私達小原グループの宿敵でもありマース
善子,っていうことは、やっぱり小原家はイタリアンマフィアだったって訳ね。ルビィのお家と同じで
ルビィ,黒澤家はただの網元だよぅ～
曜,あはは……ただの網元、ねぇ
鞠莉ママ,ワールド・ウォーll以前までは、確かに小原家はマフィアの一族でした
善子,えっ、マジ!?
鞠莉ママ,マジデース☆。元々イターリアには同盟関係にある6つの大きなファミリーがありました。ですが、私のグレートグランマが終戦後にそのうち4つをイターリア政府へ売り渡したのデース
梨子,その残り1つがスタンダ家なんですね？
鞠莉ママ,イエース。まあ売り渡したと言うよりは足を洗うチャンスを与えると政府が真っ当な職を斡旋したのですが
曜,それを蹴ったから一斉検挙に協力した。そんな感じですか？
鞠莉ママ,そんな感じデース
梨子,なるほど。スタンダ家はその件で小原家へ恨みを持っていて、仕返しの機会を窺っていたんですね？
千歌,そりゃ今まで仲良くやっていたのに、いきなり裏切られたりしたら恨むよね
曜,小原家とスタンダ家の因縁はわかりました。それで、月ちゃんはどんな風に脅されてたの？
月,……国木田の寺にある忘却の書を盗み出し、その力が本物かどうか確かめてみせろ、と
善子,なるほどー……っておかしくない!?なんでイタリアのマフィアが、日本にある呪いの書について知ってるのよ？
鞠莉ママ,忘却の書は元々スタンダファミリーの先祖が書いたものデース
善子,ああ、なるほどね
鞠莉ママ,そしてスタンダファミリーは、かつて古代ローマの皇帝へ仕えてきた摂政のファミリーの末裔でもありマース
千歌,日本でいう平安時代の藤原家みたいな？
鞠莉ママ,そういう感じで合ってマース
善子,いわゆる影のドンってヤツね
ルビィ,……千歌ちゃんから歴史の蘊蓄が出るなんて
千歌,ちょっとルビィちゃん、馬鹿にしないでよっ！
梨子,当然忘却の書の力あってこそ、だったんですよね？
鞠莉ママ,公のワールド・ヒストリーでは教えられていませんが、そうだと伝えられていマース
例えば軍師から,戦術のノウハウ
例えばマダムから,テーブルマナーの作法
ルビィ,でも、どうして今は日本にあるんだろう？
鞠莉ママ,そこまではわかりません。スタンダファミリーへ恨みを持った貴族の者が、隙を盗んで行商人へ売り渡した。そんなんじゃないですかね？
千歌,そしてシルクロードを越えて、はるばる日本へ渡って来た。ロマンを感じるね～
ルビィ,なんか今日の千歌ちゃん、歴女スイッチ入っちゃってるねぇ
千歌,いいじゃん。わたしだって歴史ある旅館の娘なんだしさぁ！
曜,それで忘却の書が本物か確かめるために千歌ちゃんと梨子ちゃんを？
月,うん。連れのカップル2組を別れさせろって命令されたんだ。反対したら──。日本へ戻って１か月以内にやらなければ、お前の学校の生徒達を痛い目に遭わせるぞって
ドスのきいた低い声で語った後,バーン☆
ルビィ,やっぱり警察へ知らせるなとも？
月,うん。生徒会長として、学校のみんなを危険な目に遭わせる訳にはいかなかったから
ルビィ,ルビィと同じ立場だったんですね、月会長も
曜,じゃあつまり、月ちゃんが言うみんなっていうのは……
月,曜ちゃんの予想通りだよ
そのために必要な,忘却の書
月,改めてルビィちゃん、脅したりしてごめん
ルビィ,そういう事情があったのなら……許します
月,だけど誰にも相談しない訳にもいかなくて……鞠莉さんのお母さんへ連中の目を盗んで手紙を渡したんだ
梨子,その手紙には何と？
月,奴らに乗せられたフリをするから、気付いていないかのように振る舞っててください。テストの様子見や取り引きの場へ奴らのエージェントが出向くはずなので、そこを狙ってください……ってね
鞠莉ママ,まったく、大した役者デース。この会長さんは
曜,ってことはつまり、千歌ちゃんと梨子ちゃんからお互いの記憶を消すつもりは──
月,なかったよ。少なくとも僕らとしては
曜,なーんだ──
だとしたらあの戦いで放たれた忘却の呪いも、恐らくは,一昨日の晩ごはん
そう考えると,何だったんだろうね？あの茶番劇は
曜,──いや、僕らって、どういうこと？
月,僕を含め学校にいた生徒会役員は、ってこと。でもみのりちゃんと取り巻きの娘達は、本気だったみたいだね
ルビィ,なるほど。演技で済ませたい会長派と、本気で千歌ちゃんと梨子さんを引き裂こうとした副会長派で対立があったんだね
善子,だからずら丸も……ぐっ
月,……ごめん。僕がもっとしっかりしていれば、花丸ちゃんは犠牲にならなかった
善子,……別に会長を責めちゃいないから
月,そっか……すまないね。それはともかく、いい機会だから曜ちゃんが本心から千歌ちゃんと梨子ちゃんが付き合うのを認めたか、確かめたりもしたんだけどねっ♪
ちかりこ,はい？
曜,うわぁ……我が従姉妹ながら趣味悪っ！
月,てへぺろっ☆でも今回ので色々吹っ切れたみたいだね
曜,うん、もう大丈夫だよ。ねっ、ルビィちゃん♡
ルビィ,むしろ、いきなり曜さんがデレ始めて怖いんですけど
月,ってな訳だから千歌ちゃんも梨子ちゃんも、もう曜ちゃんのことは気にしないでイチャイチャしちゃっていいからね♪
ちかりこ,は、はい
月,いやー、僕を突き飛ばしたルビィちゃんのイケメンっぷりも見せてあげたかったなぁ～
ルビィ,イケメンって……
千歌,それで、スタンダ家のエージェントは捕まえられたの？
鞠莉ママ,オフコース☆
梨子,ふぅ、良かった
鞠莉ママ,本当に皆さんには、怖い思いをさせてしまってごめんなさい。本来なら子ども達を巻き込んではならない問題だったのに……
