・春香さん…家事を完璧にこなせる、千早ちゃんの通い妻(介護要員)。料理の腕は、美食家いおりんが,やよいと一緒に、うちに専属で来なさい！
春香,せっかく、白雪玉露があるんだし…きな粉もちとお汁粉、作ってみたんだけど
千早,頂くわ
雪歩,春香ちゃん、私幸せだよぅ
美希,いらないなんて言ってないの！ダメなの！食べたいの！たーべーるーのー！
春香,このアイドル達…大丈夫なのかな、体重とかスタイルとか
千早,絞るわ
雪歩,舞台の練習の消費カロリーは半端じゃないんですぅ
美希,なら何で作ったの！？春香の作ったデザートならマズい訳無いの！なのにそれを食べるなとか、イジメなの！拷問なの！殺意ある行為なの！
雪歩,み、美希ちゃん、落ち着いて…
美希,ぜーったいに！たーべーるーのー！
雪歩,ああっ！コタツの主の美希ちゃんが、コタツの外に出てまでゴネ始めちゃった！
美希,むきー！でーざーあーとぉぉ！
春香,美希、本当にデザート抜きにする？
美希,ヤなの
雪歩,あ、あんなに駄々こねてたのに…一瞬で正座に…
千早,しかも、物凄く背筋ピーン！としてるわ…完全に飼い慣らされてるわね…美希
美希,…寒いの
雪歩,あ、崩れ落ちた…
美希,さむいのぉ
千早,…巣に戻ったわね
美希,ふゃ～…
春香,じゃ、美希が巣に戻ったので、デザート運ぶよー
雪歩,お茶は任せて
千早,お願いね
美希,任せたの～
春香,(休日の何もしないお父さんとちっちゃい子だ)
雪歩,(休日の疲れたお父さんと子供ですぅ)
美希,♪
千早,♪
春香,♪
雪歩,♪
春香,…思いの他、上手く出来たなぁ
雪歩,甘さ控えめだし、凄く美味しいよ
千早,本当、お店で食べるより美味しいわ
美希,でも、お餅ばかりだから…カロリーｇ
春香,美希、この世には触れない方がいいことがあるの
千早,気付かないふりをして、見ないようにする方が良い事もあるの
雪歩,大丈夫、美希ちゃんだって分かってるはずだよぅ
美希,…はいなの。(めっちゃ怖いの…アイドルの目じゃないの…アイドルが醸し出して良い雰囲気じゃないの…)
春香,…ダンスレッスン三昧かな、年明け
千早,腹筋、いいわよ？
雪歩,私、舞台に必要だから腹筋しようかな…？
美希,…(超人気アイドル３人が、お汁粉片手に窓の外の青空を見つめてるの…)
春香,空…晴れてるなぁ
千早,快晴ね
雪歩,雲一つ無い青空ですぅ
美希,…(でも雰囲気はどんより曇り空なの。人に見られる商売故の苦労(律子の受け売り)なの…)
春香,
雪歩,
美希,２人とも、洗い物終わったら寝ちゃったの…
千早,２人はずっと起きてたし、お雑煮まで作ってくれたからね。寝かせてあげましょう
美希,そうなのっ！。～♪
千早,美希？自分の巣(コタツ)から出てまで…どうしたの？
美希,ちょっと、なの♪。
千早,…？。何があったのかしら…
美希,えへへー…枕なのっ♪
千早,枕？
美希,ミキ位の熟練者じゃないと、コタツで寝ちゃうと首が痛くなっちゃったりするの。だから、枕なの！
千早,なるほど、確かになるわね。２人の事を気遣って…美希は優しいのね
美希,にへへ～♪それ程でもないのぉ♪
千早,(あら可愛い)じゃあ、２人を一回起こさないと…
美希,ふっふっふ、その必要はないの！
千早,？
美希,ふむふむ…春香はちょっと強引でも大丈夫かな？雪歩は…うん、そーっとなの
千早,美希？
美希,…えい
千早,
美希,ほい
春香,んに…
千早,お、起きてない…の？
美希,そーっと…。はい！
雪歩,んん…ん～…
千早,萩原さんも起きてない…
美希,ミキにかかればこんなもんなの。見れば、どれくらい深く寝てて、どこまでやっても平気か位、すぐ分かるの
千早,本当、こと睡眠に関しての美希は凄いわね…
美希,あとは、コタツから体が出てる部分に何かをかけてあげれば完璧なの
千早,あー…毛布をかけてあげましょう
美希,了解なの♪
千早,ついでに加湿器もつけましょう。乾燥で喉がやられがちだし
美希,喉に関しては流石千早さんなの
千早,数％単位までなら湿度が分かるわ。深呼吸した時の、喉を通る空気の感じで
美希,…予想を遥かに超えてたの
千早,そう？
美希,普通の人は出来ないの
千早,７６５プロの所属アイドルは、何かしら人間離れしてる能力があるから…
美希,そんな言い訳無いの。他に人間離れしたアイドルなんて…
千早,なんて？
美希,結構いたの…
千早,まず四条さん
美希,ブラックホール胃袋なの。ラーメンに関しては、日本のラーメンの総売り上げの１割は、きっと貴音なの
千早,それは言い過ぎ…とは言えないのが怖いわね
美希,あとは、響も特殊能力持ちなの
千早,動物と対話…テレパシー的なアレね
美希,ハブ対マングースショーは絶対行かないって言ってたの。ハブの悲痛な叫びと、マングースの悲哀が聞こえるって
千早,…キツいわね
美希,うん…
千早,睡眠関係のプロ、フードファイター、動物限定テレパシスト…フェアリー凄いわね
美希,変な集団みたいな言い方しないで欲しいの
千早,さっきは皆がハイスペック過ぎるって話してたけどね
美希,なんでその時は美希がいなかったの…
千早,ぐっすり寝てたもの
美希,むぐぅ…
千早,特殊能力と言えば、萩原さんも結構凄いわよね
美希,穴掘りだけじゃなくて、利き茶も出来るって
千早,あと、詩を書くじゃない？そのせいか、文字に強いって
美希,文字に強い？
千早,舞台の台本は２、３回読めば一冊丸々暗記出来るらしいわ
美希,…凄いの。文字の錬金術師なの！
千早,んふっ…別に生み出す訳じゃないから、錬金術師は関係ないじゃない！
美希,だったの…寝てる２人で言えば、春香はもう何なのなの
千早,料理は神業レベル、歌もダンスも上手いというよりは、人を惹き付ける力があって…他のアイドルの特殊能力っていうのとは違うけど…
美希,本当、料理以外は何にも突出してないのに、Ｓランクになるのが当たり前に思える…本当に何なのなの。ちょっと羨ましいの
千早,最近真美にオススメされて借りたゲームっぽく言うなら、きっと春香には特殊能力：敵全範囲に魅了、味方全範囲を回復とかがあるのよ
美希,身内やファンは元気に、ファンじゃない人はファンに…お、恐ろしい能力なの…
千早,ファン一号は私だけどね
美希,そんな自信満々に言わなくても…でも、ミキも春香は大好きなの♪
千早,あげないわよ？絶対に
美希,千早さん、目が超怖いの…
千早,特殊能力…あずささんのはどうなのかしら…
美希,無自覚にワープするあれ？
千早,やっぱりワープなのかしら…春香も言ってたけど
美希,お姉ちゃんの友達が貸してくれたアニメみたいなの
千早,どんなの？
美希,無意識にワープしちゃうの。後半は頭に思い浮かべた場所にワープ出来るようになったけど…
千早,へぇ～…
美希,ロボットが出て来るアニメで、ギャグ要素もあるんだけど…暗い話も沢山あるの
千早,そうなの？
美希,うん…アニメより映画版が…もう主人公の男の人も、その奥さんも可哀想過ぎて…
千早,そんなに悲惨なんだ…
美希,うん…千早さんにも今度貸してあげるの…
千早,何てアニメ？
美希,機動戦艦ナデシコなの
千早,分かった、楽しみにしてるわね
美希,うん！…で、何の話だっけ？
千早,あずささんのワープ能力よ
美希,ああ～…ハニーも律子も、いつも連絡した場所にいろっていうのに聞かないあずさが悪いの
千早,結論が出たわね…
美希,次は…デコちゃんなの！
千早,水瀬さん？
美希,デコビームなの！
ちはみき,！？
千早,ど、どこかから水瀬さんのツッコミが聞こえたわ…
美希,あわわ…あ、テレビにデコちゃん出てるの…
千早,あ、これかしら…びっくりしたわ…
美希,竜宮小町で言うと…亜美？
千早,特殊能力はあまり無い気もするけど
美希,物真似とか
千早,というか、亜美も真美も…悪戯含め、自分達が楽しい
美希,特殊能力…でいいのかなぁ…
千早,いいと思うわ
美希,後は…やよいと真クン？
千早,高槻さん＝可愛い。以上
美希,…もうそれでいいの
千早,真は…さっき写真を見たけど、身体能力がもう特殊能力だわ
美希,あの初日の出写真？
千早,ええ
美希,どこが変なの？ミキには分からなかったの
千早,…真の格好と、登り始めた時間よ
美希,…！！！
千早,気付いた？
美希,ま、真クン、いつもジャージにマフラーしただけなの！
千早,しかも、麓から半日ちょっとで山頂に登りつめたのよ？
美希,…信じられないの…何なのなの…
千早,乙女担当よ
美希,パワフル過ぎる乙女なの…あ！
千早,どうしたの？
美希,メール来たの、真クンから
千早,なんて？
美希,麓に着いた、今からご飯だけど、マックになりそう…だって
千早,初日の出から昼過ぎまでに富士山を下山して、お昼ご飯がマック！？
美希,流石のミキも、話だけで…
千早,…真、本当に凄いわね…
美希,多分、芸能界最強なの
千早,…否定出来ないわ
春香,…んにゃ？
雪歩,あ、春香ちゃんおはよう
春香,おふぁよぉ…
千早,おはよう春香
春香,あ、おはようちは！？…や、ちゃん…
千早,どうしたの？
雪歩,千早ちゃん、鼻血は拭こう？気持ちはとっても良く分かるけど
春香,およ？そういえばコタツの主は？
千早,特番があったんだって、竜宮小町のリーダーとフェアリーのリーダー…つまり伊織と美希でトーク番組の１コーナー使って…
春香,何それ不安
雪歩,い、伊織ちゃんいるから大丈夫だよぅ…多分
春香,いや、伊織だからこそ不安というか…
千早,真面目に語って仕事をこなしたい伊織
春香,楽しくお喋りしたい美希
雪歩,うあぁ～…ふ、不安になってきたぁ…
春香,生放送だよね？多分
千早,ええ…
雪歩,はわ、はわわ
春香,祈ろう、無事に終わる事と、新年早々に伊織がキレない事を…
千早,…厳しいでしょうね…
雪歩,一応、番組見てみる？
はるちは,…うん
春香,…ん？メールだ…。…それも病院持ってるパパがいるお嬢様のお仕事だよと
雪歩,真美ちゃん？
春香,うん
千早,可哀想だけど…すぐに暗くなるのに家に来させる訳には行かないわ
雪歩,私は昨日の夜来たよ…
春香,家、近いじゃない
千早,双海家は、家から電車に乗って二駅、その後乗り継ぎして…だからね
春香,家よりは遠くないけどね！
千早,そりゃ…ね
雪歩,始発で来るんだよね？春香ちゃん
春香,うん
雪歩,凄いなぁ…
春香,だから、皆のお家に泊まらせてもらうのです
千早,プロデューサーに少し文句言わないと。考えて仕事を取ってきて欲しいって
春香,私を番組で使いたいという人の期待に応える…それが天海春香なのです
雪歩,春香ちゃん…格好良い！
春香,いぇい！
千早,身体を壊さないか…心配だわ
春香,そしたら千早ちゃんの部屋に泊まりっぱなしで看病してもらうもーん
千早,…春香が治るまで休みを取るわ。何年だって
雪歩,あー、また砂糖マーライオンの時間ですぅ…
春香,…何かそれ、人の名前みたいだね
千早,…ぶふっ！
雪歩,佐藤マーライオンさん…病院とかでは呼ばれたくないね…
千早,んふっ！…くぅ…
春香,佐藤さーん、佐藤マーライオンさーん。身長と体重が終わりましたら、レントゲン室にお入りくださーい
千早,ま、まさかの健康診断…
雪歩,沢山吐いてるからね…
千早,くはっ！
雪歩,ち、千早ちゃん！？
千早,…っ！…っ！
春香,沢山吐いてる、がトドメになったみたいだねー
雪歩,だ、だって、マーライオンだし、ジャーッて…
千早,も…許して…
雪歩,ああっ！千早ちゃん！
春香,ふーむ、千早ちゃん…深呼吸、深呼吸
千早,ひっ…ふっ…かはっ…んふふふっ！ダメっ！止まらな…
春香,ふむー
雪歩,ど、どうしよう、春香ちゃん…
春香,放置
雪歩,えぇっ！？
春香,千早ちゃんの中で処理しないといけないからね、これは
雪歩,千早ちゃんが歌えなくなった時は放っておかなかったのに？
春香,別・問・題！
雪歩,はぅ！？
千早,くふっ…かはっ…追い討ち…しないで…は、ぎわら…さん…
春香,あの時の私の思いと千早ちゃんの悲しみを、健康診断が必要な吐き癖のある佐藤マーライオンさんと一緒にしないで！
千早,は、吐き…癖…ど、どんなのよぅ…
雪歩,お、お互いに少し離れてよう？
春香,だね…
千早,是非…そうして…
春香,寒い
雪歩,台所は流石に寒いねぇ…
春香,ミニヒーター持ってくるかな…
雪歩,！は、春香ちゃん…あれ
春香,んぇ？
千早,…
春香,え～…
雪歩,ひ、１人っきりになっちゃったら、急に寂しくなっちゃったんだね…千早ちゃん
春香,な、何て面倒くさい…でも
雪歩,可愛い、でしょ？
春香,うん
雪歩,お互いの辛かった事を乗り越えて、年越しした辺りからおかしいなぁとは思ってたけど…既にこんなに馬鹿っプルになってたなんて…
春香,羨ましい？
雪歩,とっても
春香,つ、強くなったね、雪歩…斜め上にだけど…
雪歩,例え斜め上でも、強くなれたならいいんですぅ
春香,そっか…あ、そういえば…忘れてたけど、千早ちゃんと美希はお昼どうしたんだろ？
雪歩,あ…お雑煮美味しかったって、言ってたような…
春香,まさか…。
雪歩,よっぽど美味しかったんだねぇ…
春香,た、確かに作った量は少な目にだったけど…晩御飯、どうしよう…
雪歩,材料はまだあるけど…多分
春香,何だか作る気にならない時って、あるよね？
雪歩,分かりますぅ
春香,じゃあまず…寸胴鍋を洗っちゃおう…
雪歩,私、千早ちゃんに伝えてくるよ
春香,お願いー…うぐ…やっぱり鍋だけでも重い…
雪歩,千早ちゃん、千早ちゃん
千早,萩原さん、さっきはごめんなさい。一度ツボに入ると弱くて
雪歩,ううん、気にしないで。それより…
千早,？
雪歩,ほら…お昼に、お雑煮を全部食べちゃったじゃない？千早ちゃんと美希ちゃんで
千早,あ…春香に言い忘れてた…
雪歩,春香ちゃんがちょっと作る気にならないから外食しよう
千早,っ！！！？
雪歩,え？ち、千早ちゃん…？
千早,(は、春香が外食、しかも作る気にならない…)
春香,作る気にならない
千早,は、は…
雪歩,千早ちゃん？
千早,春香ぁぁぁぁぁぁあああ！！！
雪歩,ひょわぁぁあ！？
春香,ごっしごし～♪お鍋の汚れをごっしごし～♪んっふっ…。ふぉあ！？
雪歩,は、はるかひゃん！しゅごひおろかひたろ！？
春香(頭防具：寸胴鍋(＋１５)),…ちぃはぁやぁちゃぁん？
千早,春香！私を嫌わな…い…で…あれ？
春香,。千早ちゃん！
千早,ぴぃ！？
春香,普段はフルパワーで叫んじゃダメだよってあれほど言ったでしょ！？
千早,
雪歩,は、春香ちゃん、まずお風呂に…
春香,うぅ…でもまずはここを掃除しないと
千早,ごめんなさい…はるかぁ…
春香,う～…じゃあここの片付けを手伝って。後は、お風呂で背中流してっ！
千早,
春香,うぇ～…台所洗剤の匂いがすりゅ～…
雪歩,頭から被っちゃったからね…
千早,う…ごめんなさい…
春香,新年から台所洗剤の匂いがするのは、食器か私くらいだね
千早,うぅ…
雪歩,春香ちゃん…千早ちゃんが立ち直れなくなっちゃうから…
春香,あはは、ごめんごめん…うひぃ、寒い…早くお風呂に…
雪歩,ほら、千早ちゃんも…
千早,えぇ…
春香,ふぇ～…暖かい～♪
雪歩,スポンジ借りるねぇ
千早,あ、あの、春香…
春香,ん？
千早,お背中…流します…
春香,
雪歩,は、春香ちゃん！？鼻血鼻血！
春香,おっと…
千早,春香、大丈夫…？
春香,だ、大丈夫…じゃあ、お願いします
千早,あ、うん
雪歩,今更だけど、何で私まで入ってるんだろう…
春香,掃除して汚れたし、面倒だから一緒に入っちゃえ的な
千早,ちょっと３人だと狭いわね
雪歩,ご、ごめんなさい…
千早,あ、違うの！うちのお風呂がそこまで広くないから…
春香,たまに雪歩の代わりに、美希がいるけどねぇ
雪歩,美希ちゃんも一緒に入るんだぁ
春香,あのけしから羨ましいボディ(小鳥さん談)を見せ付けよるのですよ！
千早,くっ…
春香,千早ちゃんはこの綺麗な整った身体と、この割れた腹筋を見せ付けよるのですよ！
千早,ひゃっ！？や、やめて春香、指先でなぞらないで…
雪歩,
春香,ゆ、雪歩、鼻血鼻血！
雪歩,はわぁ…いけないいけない…
春香,と、まあ…春香さんはいつもこんな風に、ヘヴンな光景を見ているのです
雪歩,はわわ…
千早,ヘヴンって…
春香,因みに今日は、コタツの主のけしから羨ましいボディの代わりに、白雪歩姫様の透き通るような色白素肌を鑑賞しておる訳ですが
雪歩,っ！？
春香,へっへっへ～…隠しても無駄だぜ～？
雪歩,ひぃ…
千早,萩原さんが怖がってるからやめなさい
春香,じょーだんだよぅ♪ごめんね雪歩
雪歩,はぅ…でも、春香ちゃんも肌綺麗
春香,え？
千早,スタイルも悪くないしね
雪歩,むしろ、おっきい方だよね…
春香,うぇえ！？
千早,ほら、肌も凄いすべすべだし
春香,ひゃん！？
雪歩,わあ…やわらかいねぇ
春香,うひゃわわわ！？
千早,春香って、肌も凄い綺麗だし…
雪歩,スタイルも平均以上なんだよねぇ
春香,や、やめなさぁぁい！
千早,あぅ！
雪歩,ひゃう！
春香,ふ、２人がかりで何するの！？
雪歩,つ、つい…
千早,何かテンションがおかしくなってしまって…
雪歩,春香ちゃん顔真っ赤…ドキドキしｔ。うにゃあ！？
春香,
千早,はふぅ…
雪歩,ほわぁ…
千早,ごめんなさい、うちのお風呂は狭いから、２人までしか入れなくて…
春香,分かってた事なんだから、気にしない気にしない
雪歩,は、春香ちゃん…泡立ち過ぎて、頭が白いアフロみたいになってるよ？
春香,そう？
千早,んふっ…アフロ…くふっ
春香,千早ちゃん、お風呂で笑いすぎると危険だよ
千早,んっふ！…く…は、春香ぁ…
雪歩,は、春香ちゃん…なんで…泡で髭まで…ぷふふ…
春香,アフロだし…ラテンの風をと…
千早,意味が分からないわっ！ラテンに謝りなさいっ！
雪歩,ば、バンジョーとか持って…
春香,仕方ないなぁ…流すよぅ。はい
千早,髭！髭だけ残さないでっ！
雪歩,あはははっ！だめ、お腹痛いぃ！
春香,あ、普通に忘れてた…
雪歩,はぁ…はぁ…次は私が頭洗うから…春香ちゃんは湯船に入って…大人しく…
春香,はーい…アイドルの出汁が…
千早,大人しくっ！
春香,お、怒られたぁ…
雪歩,～♪
千早,…くふっ
春香,や、やっぱり雪歩だってアフロになるじゃない！
雪歩,え！？…あ、本当だ…あわわ
千早,泡だけに…！あわわ…！ぷくく…
春香,そこ！？
雪歩,流しますぅ。はぅ…
春香,雪歩は髪の毛流した後も、そんなに変わらないんだね
雪歩,あまり長くないからね…じゃあ、私は先に上がりますぅ
春香,あ、うん。もう一度暖まらないの？
雪歩,うん、もう大丈夫。それに、その流れだと千早ちゃんが１人になっちゃうから
千早,萩原さん、私は１人でもお風呂に入れるけど…
雪歩,はわ！？そ、そういう意味じゃなくて…思い出し笑いしたら、危ないかなぁって…
春香,納得
千早,納得しないで
雪歩,じゃあ、お先ですぅ
春香,さ、千早ちゃん…頭を洗ってあげる
千早,へ？
春香,長いから大変でしょ？
千早,あ、ありがとう…
春香,千早ちゃん、髪綺麗だよねぇ…いつも思うけど
千早,そ、そうかしら…？今までも特に手入れをしてきた訳じゃないんだけれど…
春香,そうなんだ…肌も綺麗だし、髪も…こういうのがシルクヘアーっていうんだろうなぁ
千早,あ、あまり意識した事無いから分からないわ…
春香,流すよー
千早,ん…
春香,続いてトリートメント～
千早,…これ、リンスとは違うの？
春香,どう違うかは詳しくは美希に聞いて、凄い詳しいから。まぁ、リンスよりは髪を保護？してくれるし、サラサラになるのかも
千早,そうなの…
春香,因みに、これは美希がＣＭに出た時にお試しで最初は貰ったらしいんだけど、凄い売れちゃったからお礼って、凄い量が…
千早,そういえば、詰め替え用を５つも持ってきたわね、美希
春香,トリートメントだけでね。あの時、シャンプーも詰め替え５つ、両方のボトルを１つずつ、専用ブラシとボディソープまで持ってきたんだよ…
千早,…それ…使い切るまでが大変ね
春香,現在４つ目まできてます
千早,…何とかなりそうね
春香,美希の実家には、２箱届いたらしいよ
千早,事務所で押し付けるみたいに配ってたのは、それだったのね
春香,うちの実家にも２つあります…よし、流すねぇ
千早,んん…
春香,よっし、終わりっ！
千早,じゃあ、もう一度暖まったら上がりましょう
春香,うん
千早,はい
春香,はい？
千早,…どうしたの？早く
春香,いや、千早ちゃんは何で両手を広げて待ち構えてるの？
千早,寒いでしょ？いいから早く入りなさい
春香,はぁい…。やっぱり～…
千早,春香、身体が冷たいわ。寄りかかっていいから、キチンと浸からないと
春香,あぅ～
千早,～♪。ねぇ、春香
春香,ん～？
千早,大晦日はバタバタしてて言えなかったけれど…去年は一年間お疲れ様、今年も一年…よろしくお願いします
春香,うん。千早ちゃんも去年一年間お疲れ様、今年も一年、よろしくお願いします
千早,ふふっ…
春香,あははっ
千早,春香、暖かい
春香,千早ちゃんも、暖かいよ…
雪歩,
美希,だう～…お腹空いたの～…
伊織,アンタが作りなさいよね～…
雪歩,コタツの主が…ふ、増えた！？
美希,あ、雪歩だ～
伊織,お邪魔してるわ～
雪歩,あれ？ここ、千早ちゃんの家…事務所じゃないよね？
あずさ,違うわよ～？千早ちゃんのお家よ？
雪歩,なら何で家主に断りもなくっ！
伊織,メールしたわよ～？
美希,返事無かったけど～…
雪歩,…千早ちゃん達に伝えてきます…
あずさ,あ、あらあら～？許可、取れたんじゃなかったの～？
伊織,…美希が大丈夫って言ったから、大丈夫よ…
美希,デコちゃん、美希のせいにしないで欲しいの～…。
千早,貴方は！少しは考えてっ！行動を！しなさい！
美希,はいなの
千早,いい！？ここは私の家なの！気にしないとはいえ、私の許可無く人を上げない！分かったかしら！？
美希,分かったの…
伊織,まぁまぁ、美希だって反省してんだから、伊織ちゃんに免じて許しｔ…
千早,水瀬さんも反省するっ！
伊織,いたーっ！？あ、アンタ何すんのよ！
千早,反省、しなさい…？
伊織,う…
あずさ,ご、ごめんなさい、許可取れて無かったとは思わなくて…
千早,あずささんまで…取り敢えず、律子に連絡しますから待ってて下さい…
伊織,大丈夫よ、新堂呼ぶわ
千早,あずささんはどうするの
伊織,一緒に乗せてくわ
あずさ,悪いわねぇ、伊織ちゃん
伊織,さて、コタツの魔力につい引っ張られたけど…新年の挨拶もしたし、帰るわ
千早,不法侵入という新年の挨拶をね
伊織,…ごめんなさいね。疲れきってて、まともな思考が出来てなかったわ
千早,はぁ…次は気を付けてね
伊織,ええ
あずさ,あ、千早ちゃん…私もまたお邪魔していいかしら？
千早,事前に連絡をいただけるなら、構いませんが
あずさ,あぅ…分かりましたぁ
千早,ふぅ…
美希,千早さん、凄い機嫌悪いの…どうしてなの？
雪歩,多分、春香ちゃんとの２人っきりのお風呂を邪魔されたから…
千早,美希？
美希,
千早,萩原さん？
雪歩,ひぃ！
伊織,ああ、新堂？悪いけど迎えにきて…そう、千早のマンションの下に、ええ、お願いね
あずさ,そ、それじゃあ千早ちゃん、またね
千早,はい、また事務所で
伊織,お邪魔したわ
千早,ええ
伊織,う…じ、じゃあまたね
春香,あの～…私の下着はまだかなぁ？
千早,…忘れてたわ
春香,あぅ…くしゅん！
千早,ごめんなさい。もう一度暖まった方がいいんじゃ…
美希,なら、ミキも入るの。春香のお背中、お詫びに流すの！
春香,私は湯船入ったらすぐ出るよ？
美希,…あぅ～
千早,いいから入ってきなさい
美希,はぁい…
雪歩,千早ちゃん、はいお茶
千早,ありがとう、萩原さん…はぁ、暖まるわ
雪歩,…ご飯、忘れてたね
千早,…食べに行こうって話だったのよね
春香,千早ちゃんが暴走して、先にお風呂になったんだっけ
千早,
美希,千早さん…何しちゃったの…
雪歩,音量ＭＡＸで叫んで、春香ちゃんがビックリして洗ってる最中の寸胴鍋を頭からこう、バシャーッと…
千早,
春香,久しぶりに被害のあるドンガラでした
美希,いつもあれだけ派手にこけて、被害が無い事が不思議なの
春香,何でだろう…転び過ぎて、無意識に身体が怪我しない倒れ方をしてるとか？
美希,い、いらないスキルなの…
春香,私には必須だよ？生きる為に
千早,くふっ…
雪歩,まず転ばないようにしないと…
春香,出来たらしてるよぅ
美希,何でなんだろうね？前に出した足に後ろから来た足が引っかかるとか、わざとかと思うレベルなの
春香,私自身が不思議だよぅ…
千早,まさか…春香は転ぶ事で、エネルギーを地面に逃がしているんじゃ…
春香,はい？
雪歩,っ！？じゃあ…もし転ばなかったら…そのエネルギーは行き場を失い…
春香,え？あの…え？
美希,…いつしか、エネルギーは春香の中で膨張し続けていき…
春香,は？はぁ？
雪歩,最後は…
美希,リボンがバーン…なの
千早,…っ！り、リボン…なんで…なんでリボンが…
雪歩,ふふ…どぉしてリボン…どう…してぇ…あははは！
美希,ダメ！じ、自分で言って、リボン…あははははは！バーンって！なんでなの！
春香,。あー…
ちはみきゆき,？
春香,１人分なら、足りるかｎ
千早,春香待って！落ち着いて！早まらないで！ごめんなさい！
雪歩,ご、ごめんなさい！ごめんなさいぃ！
美希,ごめんなさいなの！謝るから！ご飯抜きは嫌なのぉぉ！
春香,全く！調子いいなぁ！さぁ、早く支度して、ご飯食べに行こう！
ちはみきゆき,はぁい…
春香,…あ、私も着替えないと…っとわぁぁあ！？
美希,…言ったそばから…
雪歩,あわわ、春香ちゃん大丈夫！？
千早,春香、怪我してない！？大丈夫！？
春香,あぅ…大丈夫だよ～…
美希,新年初転び？
春香,多分…
雪歩,１日持たなかったね…年明けから
春香,うぐぐ…今年はもう転ばない！
千早,出来るの？
春香,…で、出来るだけ転ばない！
雪歩,春香ちゃん？
春香,…ように、気を付ける…
美希,気を付けたら転ばないの？
春香,…事が、出来たらいいなぁと…思います…うん…
千早,気を付けてね？春香が転ぶと、私はいつも心配なの…
春香,千早ちゃん…うん、気を付けるよ
雪歩,うふふ、やっぱり２人は仲良しだね
美希,ちょっと羨ましいなって思うの
雪歩,そうだねぇ…羨ましいかな
美希,よし！あんな馬鹿っプルは放っておいて、さっさとご飯食べに行くの！
春香,誰が馬鹿っプルかぁ！
千早,待ちなさい！
美希,雪歩、一緒に先に行こっ♪
雪歩,ふぇ！？あ、まっ、待ってぇ！
千早,待ちなさいってば！
春香,あ、美希も雪歩も千早ちゃんも、上着忘れて…はぁ、戸締まりしたら追い掛けますか♪
美希,
雪歩,
千早,
春香,…。仕事から帰ってきたらこの３人は…朝、仕事に行った服のまま、着替えもせずに…。まーたコタツの中で座ったまま…。はぁ…。ま、いっか…雪歩、千早ちゃんや美希とは仲良しになれたみたいで良かった♪
