※,このすば
ダクネス,何者でも良いだろう。と言いたい所だが、敢えて別の言葉で言い返そう……ひとまず、伏せておくとしよう！。まぁ、私が何なのかをいずれ話すって事で、終わりにしてくれないか？
カズマ,…………まぁ、ひとまず分かったよ。だけど、なんで使える事黙ってたんだよ？
ダクネス,簡単な話……ただ、あまり使いたくないから黙っておく事にした、それだけだ！。それより、覇王色の覇気の修行も含めて早く始めよう！。しっかりと使いこなせるよう、修行をつけてやるから覚悟しておけよ
カズマ,はぁー、はいはい…分かりました。ひとまず、もう少し頑張ってみるとしますか…。
ダクネス,見聞色はなんとかなっても、武装色がまだだったな。それと肝心の覇王色の覇気も、私みたいに使いこなせて貰わないと困るぞ
カズマ,分かったから、ひとまず武装色の修行から始めるとするか
ダクネス,鍛錬は大事だ。今の私のようにな……
カズマ,はいはい。せめて、やれるとこまで頑張ってやるよ！
ダクネス,その意気だ！！。さぁ、頑張れよ、カズマ
カズマ,やってやるよ！！！。俺は………。必ず強くなって魔王を倒し、せめてこの世界に名前ぐらいは刻んでやるよおおおぉぉぉーーーーーーーっ！！！！！
