また、モブ,演出家・王子役など
演出家,そんなベタベタな脅迫状なんて、気にする意味もねぇよ。こういうの自体、初めてじゃないしな。それに……。アレ書いたのはお前だろ、大道具
大道具,何を……
演出家,もっと言うなら、主演の奴の自動車事故も、倉庫のボヤ騒ぎもお前だ
大道具,……何故、俺だと？。優秀なアンタに恨みを抱いている奴なんて、ごまんといるだろうに
演出家,ただの勘だよ。証拠なんかねぇ。だから何も言わないし、何もしない。だが初回公演は必ず行う。おまえの意見を聞くことはない
大道具,……そうかよ。そこまでして演りたいのかよ。あんな三文芝居を
演出家,三文芝居、か
大道具,そうだろ？あんな姉妹、この世の何処を探したって存在しない。あんなもの、絵空事の滑稽劇だ
演出家,俺たちだって、昔は……
大道具,昔の話だろ。今の俺はアンタの事が嫌いだ。お情けで劇団に残っている、今のアンタには反吐がでる
演出家,……
大道具,それに。アンタは人でなしだよ。なんでも平気で劇にしちまえる、人でなしだ。そう言う所が、一番嫌いだ
演出家,そう、かもな……。確かに俺は、人でなしだろうさ
大道具,……っ
演出家,何だよ？
大道具,……それなら俺は、好きなやらせてもらう。アンタが何も言わないんだ。好きにやらせてもらうからな。好きに、やらせてもらう……っ！
演出家,……行っちまったか。最後の最後まで、不出来な弟だったな。……。シンデレラとサンドリヨン……か。書くのが、ちと遅かったのかね
はづき,初回公演、いよいよ明日ですね～
P,はい
はづき,お二人の活躍、とっても楽しみですね～
P,はい
はづき,舞踏会のシーンの衣装、どんな可愛い物なんでしょうね～
P,はい
はづき,む……。プロデューサーさんは、女の子が大好きですもんね～？
P,はい
はづき,どんな女の子が好きなんですか～？
P,それは頑張っている……。……って、何を言わせるんですか、はづきさん
はづき,何って、ちゃんと答えないプロデューサーさんが悪いんですよ
P,えっと……
はづき,さっきから上の空でしたよ、プロデューサーさん
P,……！すみません……！もしかして、適当に相槌を……
はづき,もう……。聞きましたよ、プロデューサーさん。今回の舞台の劇団に、以前は所属していたそうじゃないですか。それも、前途有望な舞台役者さんだったとか。さっきから仕事も受け答えも今ひとつなのは、そのせいですよね
P,……そう、だと思います
はづき,何で辞めちゃったんですか？。思い入れ、あったんですよね。そんな風になってしまうくらいには
P,……劇団って、家族みたいなものだと思うんですよ。その家族が、いがみ合ってるのを見るのが嫌だったんです。だから辞めました。嫌なものから逃げ出そうとしたのか、受け入れた上で先に進もうとしたのか……。今となっては、それはもう分かりませんけど
はづき,寝逃げたのか、受け入れたのか……
P,気になっているのは、その事です。明日……あの二人が、それがどっちだったのかを示してくれる気がして
はづき,この舞台の仕事を受けた、本当の理由はそれなんですか？
P,え……？ああ、それは無いですよ。仕事に私情は挟みません。純粋に彼女達の今後を考えて、ベストだと思う選択をしたまでです。個人的な感情で言うならむしろ、あの劇団には関わりたくなかったですよ。理由はどうあれ、勝手に辞めた場所ですからね
はづき,でも、参加させたと
P,まぁ……今は、この仕事が一番ですから。彼女達の事が、一番大切で優先すべき事柄ですよ。はづきさんの言う通り、女の子が大好きらしいですから
はづき,な……。ふふふ、それって意趣返しのつもりですか～？
P,すみません、つい。ですけど……。……そんなわけですから、単なる副産物ですよ。辞めた理由の答え合わせは。そう。彼女達の事が一番だ。だから俺は願えていて、祈っている。彼女達の成長と、それと……。誰かの悪意が、彼女達に降り掛かりませんように、という事を
夏葉,甜花、今日も来ていたのね
甜花,あ、夏葉さん……。うん……撃ってると、落ち着くから……。色々と許可をくれて……ありがとう、夏葉さん……
夏葉,どういたしまして。言ってくれればまた、いつでも許可を取ってみるわよ？
甜花,楽しそうだけど……。ううん……ここに来るのは、今日までにする……
夏葉,……そうね。分かったわ
甜花,代わりにこれ……今日、借りて行っても良いかな……？
夏葉,構わないけど……それ、何に使うの？
甜花,エアガンを……お守り代わりに、しようかと思って……
夏葉,納得したわ。ふふ、ちゃんと弾が出ないようにしておきなさいよ？
甜花,甜花……そこは、抜かりない……。準備、できた……
夏葉,それじゃあ、行きましょうか。迎えの車がもう来ているわ
甜花,うん……。似ている……。なのに……夏葉さんに、言われた時は……。甜花は……
P,番号
果穂,いちっ！
樹里,2！
凛世,参……です……
智代子,4だよ！
千雪,5です♪
甘奈,ろーく☆
P,よし、全員揃ってるな。全員、揃えられちゃったな……
甘奈,6人のオフを合わせるの、大変じゃなかった？。希望した甘奈が聞くのも、アレなんだけど……
P,何とかなって正直驚いている
凛世,壮観で……ございます……
P,はづきさんに助けられた結果だな。何故か本人は、社長のせいで来れなくなってしまったが……。帰ったらちゃんと、お礼を言わないとな
果穂,はい！あたしも手伝いますっ！
P,おお、ありがとう。やっぱり果穂は偉いな！
果穂,えへへ
P,しかし、現役アイドル6人か。こうして見ると……
千雪,甜花ちゃん、随分とお世話になったみたいで……
智代子,いえいえ！夏葉ちゃんも、ああ見えて……
千雪,いえいえ
智代子,いえいえ
P,お母さん同士の会話か！。座席番号は……よし、ここだな
樹里,時間ギリギリになったよな。誰かさんのせいで
P,すまん……まさか懇意にしてるディレクターさんが居るとは思わなくて
樹里,別に責めてるわけじゃねーよ
智代子,でも一言いいたくなるよね。樹里ちゃん、凄い楽しみにしてるもん
樹里,な……！
智代子,だって凄いソワソワしてるし。さっきから時計ばっかり見てるし……
樹里,わ、悪いかよ！アタシが楽しみにしてたら！。ロミオとジュリエットの時は一緒の舞台だったし、客席から夏葉を見るの初めてなんだよ
甘奈,……
樹里,だから、楽しみ！それだけだ！
智代子,あはは、ごめんごめん
樹里,……それに、アタシよりも楽しみにしてる奴が居るだろ
智代子,あ、うん。プロデューサーさんだね
P,俺？
樹里,そうだよ。さっき6人のオフって言ったけど、本当は7人だよな
智代子,今日はプロデューサーさんもオフなんですよね？スーツ着てますけど
P,誰かが情報漏洩をしてくれているようだな
樹里,社長から聞いたんだよ。オフ取るのが珍しい、なんて言ってたぜ。だから……プロデューサーも、楽しみにしてるんだよな？
P,楽しみ……
智代子,プロデューサーさん？
P,……ああ、そうだな。多分そうだ。ここに来るのを、俺はずっと楽しみにしていたよ
夏葉,もうすぐね
甜花,うん……
夏葉,甜花って、意外と肝が座っているわよね。きちんと受け応えが出来ているし、落ち着いている様に見えるわ
甜花,緊張して……何していいのか、分からないだけ……
夏葉,緊張しても動揺せず。良い事じゃない
甜花,ポジティブシンキング……夏葉さん、いつも通り……
夏葉,私の場合は、これが2回目の初回公演だからね。平静を保つ事くらいは出来るわ。これでも一応、緊張はしているのよ？
甜花,夏葉さんは……前の公演の時も、そんな感じでいられたの……？
夏葉,前は……そうね。樹里に緊張を悟られたくなくて、必死に隠していたわ
甜花,うまく、隠せてた……？
夏葉,樹里も緊張を隠そうとしてバレバレだったから、きっと私も同じね。今よりずっとずっと緊張していたわ。初めてだったから。その靴は、もう慣れたかしら？
甜花,うん……もう、違和感ないよ……
夏葉,今のアナタの演技力なら……。私としては、無くても誤魔化せると思うのだけど
甜花,でも……まだ、必要だよ……
夏葉,……まだ……。そうね。甜花が言うなら、そうよね。アナタの演技、上手になった。公園の時から上手だったけど、さらに磨きがかかっているわ
甜花,そう……かな……？
夏葉,ええ。通し稽古の時なんて、ビックリして目が離せなかったもの
甜花,それは、多分……。サンドリヨンが、なーちゃんじゃないって分かったから……。サンドリヨンは……甜花と地続きだって、分かったから……
夏葉,なら甜花は、サンドリヨンみたいになりたい？
甜花,ううん……甜花がなりたいのは、サンドリヨンじゃないよ……。ここ……。もうすぐ、だよね……。夏葉さんは……。あ……れ……？。これなら……大丈夫……。大丈夫よ、大丈夫……。……
夏葉,サンドリヨン！。サンドリヨン！サンドリヨン！ねえったら……！
甜花,なあに、シンデレラ？。あらシンデレラ。また汚れているじゃない
夏葉,あ、これは上のお姉様に掃除を頼まれて……
甜花,ジッとしてなさいな。はたいて上げるから。綺麗になったわ
夏葉,あ、ありがとう。サンドリヨン
甜花,それじゃあ、行きましょうか
夏葉,ええ！今日はワルツを教えてね！
甜花,もちろん。約束だものね。ああ……今日も明日も、楽しくなりそうね。私はこれから姉様たちに、舞踏会用の服を見たてなくちゃいけないから……
義姉1役,そうよ。貴方、服飾を見繕う腕だけは確かだもの
甜花,そう言うわけだから……ごめんなさい、シンデレラ
夏葉,あ、待って！。待って……！サンドリヨン……！
甜花,ふぅ……
小道具,お疲れ様、甜花ちゃん。飴ちゃんいる？
甜花,お疲れ様……です……。飴ちゃんは……大丈夫、です……
小道具,さっきの演技、とっても良かったわ。通し練習の時よりもずっとね。ひょっとして、通しの時は手を抜いてた？。なーんて……
甜花,え……？あ、えっと……！。甜花、そんなことしてない……です……！
小道具,分かってる分かってる。ゴメンね、冗談よ
甜花,あ……はい……
小道具,それほど、上達してたって事よ
甜花,そう……なのかな……。確かに……声もスッと出せてたし……感情も乗せられてた……と思う……。あ、でも……動きはちょっと先走っちゃった部分が……
小道具,へぇ……
甜花,甜花……変なこと、言ったかな……？
小道具,ううん、そんな事ないよ。それはそうと……。甜花ちゃん、大道具さん見てない？
甜花,大道具さん……？
小道具,ずっと探してるんだけど、見当たらないのよ。昨日までは、間違いなく居たらしいんだけど。あの人もベテランだから。何かあった時を考えると、居てくれないと不安で……
甜花,甜花、分からない……ごめんなさい……
小道具,特に連絡ないし……というか、連絡も何故かつかないし。それなのに、演出家さんは探さなくて良いって言うし……もう訳が分からないのよ
甜花,あの……
小道具,あ、何か知ってるの？
甜花,そういうわけじゃないけど……。甜花、何か手伝えること……ないかな……？
小道具,まあ……。気持ちだけ受け取っておくわね。本番が始まった以上は、演者さんに裏方の手伝いなんてさせられないわ
甜花,そう……？
小道具,極力ね。甜花ちゃんには、演技に集中してもらいたいから。もう一度電話してみて、他の所も探してくるわね。甜花ちゃん、変わったわね。何というか……視野が広くなって、遠くまで見えてる。そんな感じよ
甜花,遠く……？それに変わったって……。……あ……。このガラスの靴を持って、湖のほとりに行けば……いいのね。そして私が、代わりに舞踏会に……。代わり……シンデレラの、代わりに……？本当に……？。いいえ、嘘よ……本当は、本当に私がしたいのは……。それは……。夏葉さん、もう幕は降りたよ……
夏葉,分かっているわ。ありがとう。今のところは順調ね
甜花,うん……
夏葉,お互い集中できているみたいで、何よりだわ
甜花,あ、そうだ……夏葉さん……。夏葉さんは……観客席って、見えてる……？。甜花は、全然見る余裕なくて……
夏葉,いえ、私もよ。舞台の事で手一杯ね。どうして？
甜花,なーちゃんと千雪さん……来てくれてるから、どの辺りにいるのか気になって……
夏葉,そうだったの。アルストロメリアの二人も来ているのね
甜花,も……？
夏葉,放クラの残りメンバーも来ているのよ
甜花,プロデューサーさんも来てるから……ユニットのみんなは、全員集合だね……
夏葉,事務所の半数が来ているって、結構なことよね。……悪い気はしないわ
甜花,うん……
夏葉,だから、もっと集中ね。そっちの方が大切よ。無理して見るものでもないし
甜花,今日は、甜花達が見られる側……だもんね……。このまま、続けられれば……。劇場の裏で、夏葉さんと会った時も……。その直前は……自分に、期待してたよね……
夏葉,これ……
甜花,館内放送……？
夏葉,そのようね。休憩時間の延長ね。トラブルかしら？
甜花,あ……
夏葉,何か心当たりがあるの、甜花？
甜花,ひょっとしたら、だけど……大道具さんが……
夏葉,……行きましょう、演出家さんの所に。ラストシーンの演出が出来なくなった……？
小道具,そうなの、そうなのよ……。そ、その……気づいたらこうなってて……！昨日までは、ちゃんとしてたのに……！
演出家,破壊された上に丁寧に水にまで浸してある。それに加えて、巧妙に隠されていた。今から修理するのは不可能。仕掛けを作動させるのも不可能だ。よってラストシーンは、煙の演出は無しで行う
義姉2役,そんな……！
小道具,……装置の管理は、大道具さんの管轄でした。あの人の姿が見えない以上……誰がこれをやったのかは、もう明白です。そして演出家さんは……あの人を探すなと言いました……
演出家,……そうだな
小道具,アナタは知っていた……！大道具さんが何かをするかもって……！こういう事をする人だって……！。何で止めてくれなかったんですか！？何で防げなかったんですか！？。何で……！何で……！！
演出家,小道具の言う通り。全責任は俺にある。どんな非難も罰も受けよう。だが舞台は舞台だ。何がしらかの完結に、必ず着地させなくてはならない。それなら、お前達はどうしたい？。どうすべきだと……思うんだ？
甜花,……寒い、よ……。……助けて、なー……。甜花になら……。甜花になら、出来ることがあります！
王子役,現実的じゃない！セットの裏に隠れておいて、エアガンで穴を開けるなんて馬鹿げている！。隠れるのは……まぁ、多分可能だろうとは思うよ。だけど問題は射撃の方だ！当たる保証はない！当たったとして割れる保証は、もっと無いだろ！
夏葉,当たるわ
王子役,へ……？
夏葉,命中に関しては、私が保証します。何を賭けたっていいです
継母役,彼女の射撃精度は、プロ級だとも？
夏葉,そう言うわけでは無いけれど……一定水準以上の腕はあります。今の彼女なら、必ず当てられます。そう私は信じています
継母,つまり……精神論？
夏葉,ええ。割れるかどうかに関しては……注入する煙の量を想定より多く、設計ギリギリにすれば割れ易くなると思います。バルーン自体をパンパンにするんです
演出家,それは可能か、小道具？
小道具,え……？え、ええ！恐らく可能です。計算し直してみないことには確実には言えませんが……。スモークマシンの遠隔操作機器は、壊されていませんから！
演出家,だが……煙の量を増やせば、予期せぬタイミングで割れる事もある
小道具,……あ
演出家,関係ない場面で煙が出て仕舞えば、舞台は続行不可能。その時点で中止だ。つまり、70点の舞台で満足するか、0点の可能性を孕みながら100点を目指すかだ
王子役,そりゃあ出来ることなら、100点狙いたいですよ！俺だって！
義姉2役,私もそう。でも……
演出家,総意は決まった。後はお前さんの意見次第だ。お前さんが、やりたいかどうかだ
P,あれ、まだ始まっていないのか？
凛世,はい……休憩時間を20分の延長する……とのことです
樹里,館内全体でかかってたみてーだぞ。聞いてないのか？
P,いや、取引先と電話したり、さっきのディレクターの話し相手になってたりしたから……
智代子,プロデューサーさん、一応オフなんですよね……？
P,そうだが……いや、今は俺の事はどうでもいい。それより延長の事だ。何が理由わ言ってなかったか？
凛世,それは……ただ劇団側の都合とだけ……
P,トラブルか。それも、かなり偶発的な。……
凛世,プロデューサー……さま……？
智代子,プ、プロデューサーさんが……珍しく怖い顔してる……！
P,……え、そうだったか？すまん、意識してやったわけじゃないんだ。ごめんな
智代子,い、いえ……大丈夫です、はい
P,とにかく事情を聞いてくるよ。あの二人のプロデューサーだから、関係者証はあるしな。それじゃあ行ってくる。ああ、それと……。多分時間までには戻れないから、俺の事は気にせず鑑賞していてくれ
甜花,最後に……これ、返すわね。それを……大事に持っておいて
夏葉,貴女は……。貴女は……！。貴女は、何がしたいの……！？。貴女は何がしたかったの……！？。貴女は……！サンドリヨンは……！。私は……！私は、ただ……私は……
甜花,……ごめんなさい、さようなら。……ずっとずっと、ありがとう
P,事情は聞いた。それで俺は、甜花を止めに来たんだよ。俺は283のプロデューサーとして、甜花を止めなくちゃいけない。このまま甜花を……この先に、進ませるわけには行かないんだ。単刀直入に言う。エアガンは、俺が代わりに撃つ。甜花が撃つ必然性はない。この劇団の人間の尻拭いを、甜花がする必要は無い
甜花,甜花じゃ……当てられないと、思ってるの……？
P,そういう話をしているんじゃない。個人としては、甜花を信じているよ。だけど組織に属する人間としては、リスクを考慮しない訳にはいかない。それを止めないという選択肢は無い
甜花,で、でも……甜花がちゃんと当てれば……
P,話が変わっていないが……リスクを度外視しても、許可はできない。メリットがない。甜花が撃って当てたとして、得るものが無い。せいぜい劇団の人間に褒められるくらいだ。はっきり言ってしまえば……甜花がやろうとしているのは、名誉なき戦いだよ
甜花,あう……
P,やっぱり甜花は……意外と肝が据わってるんだよな
甜花,そ、それじゃあ……
P,それとこれは話が別だ。リスクとリターンが釣り合ってない以上は、許可できない
甜花,そう……だよね……
P,……だから、リターンを示してくれ
甜花,え……？
P,単純な話だよ。甜花か撃つ事で得られるものを、俺に教えて欲しい。甜花の言葉で、俺を説得して欲しいんだ。そうしたら……俺は、喜んでこの道を譲るさ
甜花,ちゃんと……言葉に、しなきゃ……。それで……これからは甜花の……自分だけの、力で……。甜花ね……似ているねって、言われたんだ……。夏葉さんが、甜花にね……似ているねって言ってくれたんだ……。おかしい、よね……？夏葉さんとは双子じゃないし……性格だって、全然違うし……。好きな本も知らないし……趣味だって、きっと合っていないのに……それなのに……。夏葉さんは似ているねって……こんな甜花に……そう、言ってくれたんだ……。確信を持って……迷う事もなくて……似ているねって……！。ちゃんと……似ているねって……甜花に、そう……言ってくれたよ……！。それが不思議で……甜花ね、たくさん考えたよ……。そうしたら……思えたんだ……。自分の中にあるものを……ちょっとぐらいは、信じて良いのかもって……。それで……ちょっとだけ信じてみたらね……。すぐに……願い事が、できたよ……。そして、甜花がなりたいもの……ちゃんと、見つけられた……。やっと……やっと、見つけられたよ……！。だから……！甜花は、もう逃げない……！。きっと、甜花が撃たなくちゃダメ……！。だって、甜花の願い事は……！。甜花が、なりたい甜花は──！！
P,それは、ささいで……ちっぽけな願い事だ
甜花,うん……甜花も、そう思う……
P,ありふれていて……だからこそ、誰もが心のどこかで願っていて……尊くて……。それでいて……とても、難しい願いだ
甜花,……強く、なるよ
P,甜花……？
甜花,なりたいもの、やっと分かったから……目指す場所が分かったから……それなら……。甜花だって、強くなれるよ
P,……甜花、お前は……
甜花,……でも、甜花はまだ弱いから……。これからもきっと、たくさん転んで……たくさん泣くと思う……。だから見守ってて、プロデューサーさん。見てくれてる人が居たら、甜花は何度だって、立ち上がるから……。そして立ち上がったら……これからは、自分の足だけで歩いていけるから……
P,ああ。ああ……。分かったよ。ちゃんと見てる。見守ってる。甜花がトップアイドルになる日まで、ちゃんと側に居るさ
甜花,トップ、アイドル……？
P,ああ、トップアイドルだ
甜花,そう、だよね……甜花だって、目指していいんだよね……。トップアイドル
P,ははは、当たり前だろ。その願い事じゃ、甜花が撃たないわけにはいかないよな。よし。行って来い、甜花
甜花,行ってくるね、プロデューサーさん
王子役,あれ、Pさん？こんな所で何してるんすか？
P,……。曰く、この世は舞台なり──誰もがそこでは、一役演じなくてはならぬ
王子役,シェイクスピアっすね
P,ああ。そして俺たち役者にとって、いつだって舞台は戦場だ
王子役,……？急に、どうしたんです？
P,いや、な……。あいつは、演じるべき舞台と役を、自分の意思で選べるようになったんだな、って……。そう、思ったんだよ。それだけさ
夏葉,私は姉の心を見つけたのです。自分のすべき事を見つけたのです
老婆,だからガラスの靴を返すと？それがあれば、不自由のない世界に行けるというのに。それが無ければ、灰にまみれるだけの生活に戻るだけだと言うのに
夏葉さんの良さはtrueコミュの,期待に応えるのは得意なのよ
