―――,音無小鳥です！よろしくお願いします！
小鳥,むー、そんなことってなんですか！
P,もっととんでもないお願いがくるものだと思っていたので……
小鳥,……だってプロデューサーさんったら、もう知り合って随分経つのにまだ音無さんとしか呼んでくれないじゃないですか
P,それは確かにそうですけど……
小鳥,あたしもアイドルの子達みたいに呼んでもらいたいなーってずっと思ってたんですよ？
P,え、そうだったんですか？
小鳥,はいっ、そうだたんです
P,……わかりました。それじゃあえーと……小鳥さん？
小鳥,ダメですよ、さん付けもやめてください。あとそうですね……敬語もやめちゃいましょうっ
P,え、えぇ！？でも……
小鳥,あたしがいいって言ってるんですから気にしないでください
P,わ、わかりました……いや……わかったよ
小鳥,ふふ、プロデューサーさん？
P,ああ……小鳥？
小鳥,はい！……Pさん♪
―――,アイドル
P,音無小鳥というアイドル
