ジャイアン＆スネ夫,のーびー太ーくん
のび太,古泉さん、早くバスタオルで隠さないと見られちゃいますよ！
古泉,おっと、そうだったね
のび太,じゃあ頑張ってください！絶対に優勝してくださいよ！
古泉,えぇ････頑張ってみます
司会,優勝は、チームSOS団キョン様に決定致しました、みなさん拍手をどうぞ！
敗者A,なんて野郎だあの餓鬼！結局決勝も全部ロイヤルストレートフラッシュだなんて･･･
敗者B,それも全部ノーチェンジでだぜ･･･あれじゃイカサマすら出来ないじゃねーか
野次馬,すげーぞ兄ちゃん！！俺にもその幸運を分けてくれ！
キョン,あははは、どうも
ドラえもん,いやーよかったよかった
ハルヒ,やっと見つけたわ！ドラえもん、結果はどうだったの！？
ドラえもん,ご覧の通り、キョンくんが優勝しました！ちなみに僕は二回戦負け、ドゥフフフフ
野次馬,よーーし！みんなで奇跡の男、キョンを胴上げだー！！
キョン,え！？あ、ちょ････。ぬおっ、落ちる落ちる！
ドラえもん,あらら、胴上げされちゃってる
キョン,たく、何なんだあの連中は
ハルヒ,凄いじゃないのキョン！まさか本当に優勝しちゃうなんて！流石はSOS団の団員だわ！あんたもやれば出来るのよ♪
キョン,そりゃどうも
ドラえもん,これでSOS団チームは12pt獲得、今の段階では首位ですね！
ハルヒ,そうね♪このまま一気に2位以下をつけ離してサイレンススズカの如く逃げ切るわよ♪
キョン,(また懐かしい馬の名前を出すな)
ドラえもん,そういえば、ジャイアンと朝比奈さんの方はどうなってるんですか？
キョン,それは俺も気になる
ハルヒ,じゃあみんなで見に行きましょう♪有希とスネ夫もそこにいると思うから♪
キョン,ん？古泉とのび太はどうしたんだ？
ハルヒ,古泉くん達ならもう水泳競技に向かったわよ！そっちも後で応援に行きましょう！
キョン,(するとあいつは今頃半漁人姿なわけか。心中察するぞ古泉)
司会者,優勝は、エントリーNo49！チームSOS団の剛田たけしくんです！
ジャイアン,よっしゃぁぁぁ！！！！
スネ夫,わー凄い！！あのジャイアンが本当に優勝しちゃったよ長門さん！
長門,･････そう
ドラえもん,スネ夫くーん！
スネ夫,あ、ドラえもん！ポーカーの方はどうだったの！？
ドラえもん,キョンくんが見事優勝しました！
スネ夫,やったー！！
ハルヒ,こっちはどうなったの！？
スネ夫,それが見てよほら、優勝がジャイアンで2位が朝比奈さん！
ハルヒ,ええ！？ちょっと凄いじゃないの！！SOS団が上位独占だなんて！！
キョン,(未来の道具様様だな)
ジャイアン,みんなやったぜー！！
みくる,おめでとうたけしくん！凄く良い歌でしたよ
ジャイアン,朝比奈さんの歌も良かったですよ！俺思わず泣いちゃったぜ
ハルヒ,よくやったわ二人とも！！ジャイアン、あんた歌手になりなさいよ！絶対に大物になれるわ！今すぐにでも音楽事務所に入るべきよ！
ジャイアン,いや～それほどでも
ハルヒ,それにみくるちゃんも2位なんて凄いじゃない！やっぱりあなたを連れてきた私の目に狂いは無かったわ！みくるちゃんにはこれからも歌手活動の場を提供し続けてあげるから楽しみにしてなさい♪
みくる,わ、わ～い･･･
ハルヒ,次は古泉くんの所ね♪みんなで行きましょう♪
のび太,みんなー！
ドラえもん,あれ、のび太くん！古泉さんに付き添ってたんじゃないの？
のび太,え？水泳はもう終わったよ
ハルヒ,終わったですって！？それで、古泉くんは何位だったの？
のび太,優勝しました
キョン,(ま、そりゃそうだわな。身体半分魚なわけだし)
ハルヒ,はあ！？じゃあ午前中の3種目全部SOS団が1位じゃない！！凄すぎるわ！！
ドラえもん,1位の種目が3つと2位の種目が1つだから合計･･･35ptですね！
キョン,こりゃもう優勝確定レベルじゃないのか？
ハルヒ,いいえ、まだ油断は出来ないわ！午後にやる競技も全力でやるわよ！いいわね！？
古泉,おや、みなさん御揃いでしたか
ハルヒ,お帰り古泉くん！よくやったわ、あなたは天才よ！次のオリンピック目指せるんじゃないかしら！？
古泉,あはは、ありがとうございます
スネ夫,取り敢えず幸先いいね！これなら優勝間違いなしだよ
ハルヒ,それにしても信じられないわ････なんだか自分が怖くなってきた
キョン,･･･一応聞いてやるが何故だ？
ハルヒ,だってみんなをSOS団に入れたのは私なのよ？これだけ天才ばかりを何人も集めてしまうなんて、自分が怖いわ！！
キョン,(確かに怖がった方がいい。お前は自分の周りに未来人と宇宙人、超能力者に更には未来から来たネコ型ロボットまで呼び寄せちまってるんだからな)
ハルヒ,じゃあこれからみんなでお昼を食べて午後の決戦に備えましょう♪。いよいよ午後の部ね！！みんな気合入れていくわよ！！
キョン,最初は射的にゴルフか。長門、頑張れよ
長門,･････
のび太,よし、行こうドラえもん！！
ドラえもん,ふふふ、のび太くんいつにも増して気合入ってるね！
ハルヒ,そういえば射的はのび太の得意分野だったわね！期待してるわよ！
のび太,はい！！
みくる,みなさん頑張ってくださいねぇ～！
ハルヒ,それじゃ行くわよ！！SOS団の快進撃はまだまだ続くの！！覚悟しなさい愚民共♪
キョン,(誰に言ってるんだあいつは･･･)
司会者,射的大会参加者の方はこちらに来てください、間もなくルールを説明します
ハルヒ,ふふん♪腕がなるわ♪早く始まらないかしら♪
司会者,よろしいですか？それでは説明致します。この競技は40m先の的に向かってこの拳銃を撃ち、得点を競うというものです。弾は10発でございます。的の中心に近いほど得点は高くなりますが、的を大きく外した場合は得点がマイナスになりますのでご注意ください。
ハルヒ,以外と単純ね
のび太,それって本物の拳銃じゃないの？
司会者,その通りです。この競技では本物の拳銃を使用していただきます
のび太,えぇ！！？
ドラえもん,本物！？
ハルヒ,いいじゃない♪どうせやるなら本物の拳銃の方が断然面白いわ♪
司会,出場者数は84名ですので、これをそれぞれ14名ずつ6グループに分け1回戦を開始いたします。2回戦に進めるのは各グループ成績上位の5名のみ。2回戦は残った30名をそれぞれ10名ずつ3グループに分け、準決勝に進めるのは各グループの成績上位の2名となります。そして残った6名で準決勝を行い、成績上位3名が決勝へと進む形となります
ハルヒ,案外楽そうね♪決勝に進出する3人は私達で決まりだわ♪
ドラえもん,あの、凄い自信ですけど涼宮さんは本物の拳銃を扱ったことがあるんですか？
ハルヒ,あるわけないじゃない。でも何とかなるわよ！オモチャだと思ってやればいいの！
ドラえもん,はあ･･･
のび太,僕本物の拳銃を使いこなす自信ないよ～
ハルヒ,撃った後にちょっと衝撃がある位で他はおもちゃと変わらないわよ！この競技に関してはのび太、あなたがSOS団のエースなのよ！！
のび太,僕が、エース？
ハルヒ,そう！だからもっと自信を持ちなさい！
のび太,ドラえもん、僕エースだって！
ドラえもん,ふふふ、良かったねのび太くん！
のび太,よーし、頑張るぞー！！
ハルヒ,その意気よのび太！！
司会者,それではこれよりチーム名と名前を読み上げますので、呼ばれた方は指定された区画へと向かってください！
司会,チームSOS団、のび太様！ドラえもん様！C区画へと向かってください
のび太,あ、僕達だ！
ドラえもん,僕達は同じグループみたいだね
ハルヒ,二人とも頑張るのよ！
司会,チームSOS団、涼宮ハルヒ様！D区画へと向かってください
ドラえもん,涼宮さんも呼ばれましたよ！
ハルヒ,じゃあ行ってくるわ！
のび太,僕達も行こう！
ドラえもん,そうだね
のび太,うわ！もう始まってる！
ドラえもん,流石に本物の拳銃だと凄い音がするね
アナウンス,チーム福岡、吉永様マイナス28点。チーム猿島、長岡様マイナス42点！
ドラえもん,やっぱりみんなマイナスだ。これは難しそうだ
アナウンス,チームSOS団、ドラえもん様。7番で競技を開始してください
のび太,ドラえもん呼ばれたよ！
ドラえもん,7番って････あ、あそこか！じゃあ行ってくるね！
のび太,頑張ってね！
係員,ドラえもん様ですね。それではこのヘッドホンをつけてください。射撃は私が始めと、と言ってからお願いします
ドラえもん,分かりました
係員,準備はよろしいですか？
ドラえもん,どうぞ
係員,では、始め！
ドラえもん,(凄い衝撃だ！照準がずれる)
アナウンス,チームSOS団、ドラえもん様18点
ドラえもん,ふー
係員,お疲れ様でした、順位発表までお待ちください
ドラえもん,分かりました
アナウンス,チームSOS団、のび太様78点
ドラえもん,えぇ！？78点！？
のび太,は～怖かった
ドラえもん,凄いよのび太くん！78点なんて学校のテストでもとった事ないのに！
のび太,でも最初の方は上手く照準が合わなかったよ。最後の方は修正できたけど
ドラえもん,この点数なら2回戦突破は間違いないね！みんな殆どマイナスだし
－12点の男,今のアナウンス聞いたか？あの餓鬼78点だとよ
－49点の男,へ、どうせマグレだろ
アナウンス,C区画、全14名競技終了しました。これより順位を読み上げます
のび太,あ、いよいよだ！
ドラえもん,ひゃ、118点！！のび太くんよりも上がいるなんて！
のび太,うわ～凄いな～
アナウンス,第5位、18点！チームSOS団、ドラえもん様
のび太,やったー！ドラえもんも1回戦突破したよ！
ドラえもん,いや～僕はマグレだよ
アナウンス,1回戦を突破した方々は、奥の部屋へとお進みください
のび太,そういえば、涼宮さんはどうなっただろう？
ドラえもん,おかしな力があるっていっても女の子だよ！だぶん無理だったんじゃないかな
のび太,そうだね。取り敢えず僕らは奥に進もう
ハルヒ,遅かったじゃないの二人とも！でもまぁどっちも無事1回戦を突破できたみたいだし良かったわ♪
ドラえもん,････驚いた。涼宮さんも突破してたんですね！
ハルヒ,当たり前じゃないの！団長の私が1回戦如きで消えるとでも思ってるの？
のび太,あの、涼宮さん得点は何点だったんですか？
ハルヒ,私？77点だけど
ドラえもん,77点！？
ハルヒ,他の連中は殆どマイナスで余裕の1位。本当張り合いが無いわ～
のび太,ドラえもん、この人は本当に凄いね
ドラえもん,うん
ハルヒ,それで、のび太とドラえもんはどうだったの？
ドラえもん,僕は18点でギリギリ通過しました、ドゥフフフフ
のび太,僕は78点です
ハルヒ,78！？やるわねのび太！！同じSOS団のメンバーとして頼もしいわ！でも勝負はこれからよ！油断しないで3人一緒に決勝に行くわよ！
観客A,何だあの娘は！？
観客B,凄い、PAR5のコースをホールインワンだと！？それも3連続･･･
キョン,いくらなんでもやりすぎじゃないのか長門の奴？打ったボールがあんな不自然に左右に曲がったりしたら怪しまれるぞ
古泉,怪しまれたところで、何も証拠は出てきません。問題はないでしょう
キョン,それにしたって3連続ホールインワンってのはな～。いくらパターゴルフとはいえ･･･もう少しバランス良くできないもんかね
スネ夫,わっ！また入った！！凄いや長門さん！これで4連続ホールインワンだ！
長門,･････
スネ夫,へへ、これなら優勝間違いなしだね！長門さん、僕も1回ホールインワンをやってみたいんだけど？
長門,分かった。･･終わった
スネ夫,ホント！？よーしそれじゃ！
観客,おぉぉぉぉぉぉ！！！
スネ夫,ハハ、こりゃいいや！
キョン,はぁ～
司会,さあいよいよ決勝戦です！ここまで勝ち上がってきた三名をご紹介致します！。まず一人目はチームSOS団、のび太様！そして二人目も同じチームSOS団から涼宮ハルヒ様！三人目はこれまでの最高得点を叩き出しているチームゴルゴ、斉藤様！！
のび太,いよいよ決勝か～。緊張するな～
ハルヒ,いいのび太、同じチームとはいえお互い手加減無しよ！
のび太,はい！
ハルヒ,それとあの斉藤とかいう人には負けるんじゃないわよ！私達二人でワンツーフィニッシュを決めるの！いいわね？
のび太,分かりました
司会,決勝戦は三人同時に射撃していただきます！それでは行きますよ！
ドラえもん,頑張れのび太く～ん！
司会,始め！！！。さあ結果はどうなったのでしょうか！？
アナウンス,チームSOS団、涼宮ハルヒ様113点！チームゴルゴ、斉藤様127点！
会場,おぉぉぉぉぉ！！！
アナウンス,チームSOS団、のび太様････129点！！
会場,うおぉぉぉぉぉぉぉぉぉぉ！！！！
ドラえもん,やったー！！
のび太,ドラえも～ん、僕優勝したよ！
ドラえもん,おめでとうのび太くん
ハルヒ,129点だなんて凄いわのび太！！よくやったわね！
のび太,ありがとうございます！
ドラえもん,これで4種目優勝ですね！
ハルヒ,目指すは全種目制覇よ！そういえば有希とスネ夫はどうなってるかしら？
ドラえもん,見に行ってみましょう！
ハルヒ,もうそんな時間なの？まぁいいわ、向こうへはドラえもん達だけで行ってちょうだい
ドラえもん,分かりました
司会,優勝はチームSOS団の長門有希さんです！！
キョン,結局全ホールでホールインワンか。司会のおっさん顔引きつってるぞ
古泉,無理もありませんね
ドラえもん,やった！長門さんが優勝したんですね！
キョン,おぉ、そっちも終わったのか？どうだった？
ドラえもん,のび太くんが優勝しました！
のび太,ｴｯﾍﾝ！
キョン,やるじゃないかのび太。ドラえもんの道具無しで優勝するなんて誇れるレベルだぞ！
のび太,いや～
ドラえもん,そういえばスネ夫くんはどうしたんですか？
キョン,あいつなら早々に抜けてジャイアンと一緒にバッティングセンターに向かったぜ
古泉,取り敢えずここまでは順調ですね。後はホームラン競争とクイズだけです
キョン,クイズか････気が重いな
古泉,自信がないのですか？
キョン,一応暗記パンで予習はしたが、あの本に載ってる以外の問題が出たらその時点でアウトだ
古泉,なるほど。そこは神に祈るしかありませんね
ドラえもん,あ、長門さんが帰ってきましたよ！
キョン,お疲れさん
長門,････
古泉,ではホームラン競争の応援にでもいきましょうか
キョン,だな。ただその前に長門、一つ約束してくれないか？
長門,なに？
キョン,万が一、本当に万が一だが、俺達がまたループするような事になったらその時は今回の記憶を思い出させてくれないか？お前ならできるだろう？
長門,直接プログラムを注入すれば可能。でも、どうして？
キョン,どうしてって言われてもな･･･。まぁ、念の為だ
長門,･･･分かった
観客A,すげーよの子、さっきからホームラン連発してるぜ！
観客B,プロかなんかか？
観客A,馬鹿、どう見ても子供じゃねーか！
観客B,でも･･･じゃあ子は何であんなにホームランばかり打てるんだ？
司会,凄い凄い！！チームSOS団涼宮ハルヒ様！何とこれで11球連続ホームランです！！
ハルヒ,ふふん♪楽勝だわ♪
スネ夫,この分なら総合優勝は間違いないねジャイアン！
ジャイアン,おう！これでループ脱出確定だぜ！
司会,優勝は、58本のホームランを放ちましたチームSOS団の涼宮ハルヒ様です！
ハルヒ,ちょろいもんだわ♪
のび太,いくらなんでも打ちすぎだよ～
キョン,60球中58本もホームランを打っておきながら、何も怪しまず全て自分の力によるものだと思い込めるあいつが心底羨ましい
古泉,さて、いよいよ最終競技です。頑張ってくださいね
キョン,やれるだけやってみるさ
ハルヒ,キョン！なにそんなところに突っ立ってんのよ！次はクイズ、早く行くわよ！
キョン,分かってるよ。ん？俺か？
ドラえもん,僕も呼ばれました
古泉,お話したい事があると言っていましたが、実行役員がいったい何の話でしょう？
キョン,俺とドラえもんって事は、どうせポーカーの件だろうな。なんたって7連続ロイヤルストレートフラッシュだ。仲間と協力してのイカサマを疑いたくもなるさ
古泉,なるほど
ハルヒ,この忙しい時になんだっていうのよ！！キョン、さっさと行って用を済ませてきちゃいなさい！私は先に行ってるから！
キョン,あぁ、分かった。じゃあ行くかドラえもん
ドラえもん,はい！じゃあみんなも涼宮さんと一緒に先に中央ホールに行っててくれ！
のび太,分かった！
ジャイアン,早く来いよなー
そこは、,ここに来い
ドラえもん,ここみたいですね！
キョン,役員室の割には随分目立たないところにあるんだな。人通りがまるで無いぞ
ドラえもん,取り敢えず中に入りましょう
？,どうぞ
ドラえもん,失礼します！
キョン,誰もいない？確かにさっきどうぞって聞こえたよな？
ドラえもん,はい
キョン,どっかに隠れてるのか？アホな事に付き合ってる時間はないんだが･･･。うおっ！
ドラえもん,な、何だ！？。今通路側から誰かがドアを閉めた！！
キョン,なに！？まさか閉じ込められたのか！。ちっ、反対側から押さえてやがるな！誰だか知らんがくだらない真似は止めろ！
謎の声,いくら押しても無駄だよ。このドアはもう絶対に開かない
キョン,おいお前どういうつもりだ！さっさとここを開けろ！
謎の声,そういうわけにはいかないよ。悪いけど君達にはず～とそこにいてもらうよ
キョン,なにわけの分からねー事言ってやがる！さてはお前別のチームの参加者だな？俺達の成績があまりにもいいもんだから、最後くらい邪魔してやろうって魂胆だろ！？
謎の声,あはは、違うよ。僕は単に君達にこれ以上あの大会に出てほしくないだけなんだ
キョン,何でだ！？
謎の声,だってこのままだとループが終わっちゃうかもしれないからね
キョン,なに！？
ドラえもん,ループだって！？
キョン,お前････いったい何者だ？
謎の声,何者かどうか聞いても意味ないと思うよ？どうせ次のループでも全部記憶をリセットされちゃうんだから
キョン,答えろ！！
謎の声,しいて言うなら君達と一緒にいる長門有希と同じ、涼宮ハルヒの観測者さ
キョン,観測者だと！？じゃあお前も統合思念体が作り出したインターフェイスだってのか？
謎の声,情報統合思念体とは関係ないよ。別の組織とでも言うできかな
ドラえもん,何でもいいから、早くここを開けろ！！
謎の声,何度も言ってるだろ未来のロボットくん。それは出来ないって
ドラえもん,何で僕の事まで！？
謎の声,フフ、何でも知ってるよ。流石に15000回以上も似たような事を繰り返すとどんな人間でもある程度学習するものなんだね。まさかここにきて競技に君の秘密道具を使用してくるとは思わなかったよ。これまでのシークエンスでは全部自力で挑戦して惨敗の繰り返しだったからね。その度に涼宮ハルヒの精神が不安定になってたから観測する立場としてはありがたかったけどね。。このままあの大会で完全優勝なんてされちゃうと、ループが解ける可能性があるそれは僕の立場上阻止しなければならないんだ。上に怒られちゃうからね
キョン,やっぱりこのループを解く鍵はこの大会だったのか！！
謎の声,いや、確実にそうだとは言えない。けど僕も君達同様、それが最も可能性が高いと思っている。だから悪いけど阻止させてもらうよ
ドラえもん,開けないって言うならこっちにも考えがある！通り抜けフープー！
キョン,何だその道具は？
ドラえもん,壁を難なく通り抜ける事にできる道具です！これをドアにつけてください！
キョン,分かった！。ぬあっ！
ドラえもん,そんな、通り抜けフープが使えないなんて･･･
謎の声,今君達がいる部屋はさっきまでいた世界とは違う切り離されたそこだけの世界だからその部屋よりも外に出ることは不可能だよ。外には何も無いんだから
ドラえもん,何だって！？じゃあ何処でもドアも駄目か･･･
キョン,外に何もないだと！？じゃあお前は何処で喋ってるんだ？俺にはドアの向こう側から声が聞こえるが？
謎の声,脳に直接話しかけてるんだよ。そこのドアの向こうから聞こえるようにね
ドラえもん,どうしよう、このままじゃ･･･
キョン,おいお前、もういいだろ！15000回以上も同じ状況下での観測ばかり続けても何の面白味もないじゃないか！だったらそろそろ9月以降の観測にシフトしたって
謎の声,それが意外とそうでもないんだ。涼宮ハルヒはその度色を変えてくれてる。それに今回は船旅の途中で突然君達が消えるという特殊なケースだ。観測し甲斐がある止めるなんてもったいない事できないよ。
キョン,じゃあ、後何回やればお前とお前の組織の親玉は納得するんだ？
謎の声,そうだな････断定はできないけど、最低でも1億回は必要になるだろうね
キョン,い、1億だと･･･
ドラえもん,そんな事にいつまでも付き合ってられるか！！
謎の声,別にいいじゃないか。君達は1回1回ご丁寧に記憶を消してもらってるんだから。ま、最近はだいぶ既視感が強まっているようだけどね。流石に1億回もループしたら嫌でも記憶を引き継ぐ形になるかもね。そうなったら地獄だ
キョン,お前････
謎の声,じゃあ僕はこれで。また次のループで一緒にポーカーが出来るといいね、少年
キョン,ポーカーだと？それに少年って･･･お前あの時の！？
謎の声,バイバイ！
キョン,おい、待て！！。くそっ！
ドラえもん,犯人に心当たりがあるんですか？
キョン,ポーカー大会に出てたとき、俺の事を少年ってよんでたオヤジが一人だけいたんだ。たださっきの奴とは声がまるで違う。いったいどういう事だ･･･
ドラえもん,････これからどうしましょう？
キョン,どうしようったってな････ドラえもんの道具でも歯が立たないんじゃ打つ手がないこのまま8月31日が終わるのをここで待つしかないだろう
ドラえもん,15499回目のループ確定ですね･･･
キョン,なーに、次で片をつけるさ。もしもの時の為に次にループした時は俺達に記憶を思い出させるよう長門に頼んでおいたしな。次は敵の存在を認識した上で行動できる
ドラえもん,････のび太くん達、心配してるだろうな～
キョン,ハルヒ辺りも大騒ぎしてそうだな
古泉,兵庫県警の方々がもう一度船内を捜索するとの事です
みくる,ふえ～ん、キョンく～ん
のび太,ドラえも～～ん、いなくなっちゃやだ～！！
ハルヒ,どうなってるのよ････キョンもドラえもんも何処へ消えたっていうの･･･
スネ夫,船内をいくら探しても出てこないって事は、もしかして海に落ちたとか･･･
のび太,えぇ！？
ハルヒ,あ、あたしももう一度探してくるわ！！古泉くん、みんなの事頼んだわよ！
古泉,分かりました
のび太,うわ～ん、ドラえも～ん！
ジャイアン,泣くなよのび太、きっと大丈夫だって
みくる,キョンく～～ん
スネ夫,二人ともいったい何処へ消えてしまったんだ･･･
古泉,船の中の何処にもいないというのは妙ですね。これでは本当に海に落ちたとしか考えられない。長門さん、何か分かることはないですか？
長門,･･･あの二人は今この世界の時空間には存在していない。異空間にいる
のび太,えぇ！？
古泉,誰かが意図的にそうしたのですか？
長門,そう
古泉,誰です？
長門,今は分からない。調査が必要
古泉,そうですか･･･
のび太,ドラえもんはもうこっちの世界には戻ってこれないんですか？
古泉,いえ、その心配はありません。こうなった以上、恐らく我々はもう一度ループする事になるでしょう。今の涼宮さんの精神状態はこれまでに無い以上に不安定ですしね。。またループするのですから、そうなれば彼等は何事も無かったかのようにこちらの世界へと戻ってこれるはずです。勿論記憶はリセットされていますが
スネ夫,は～、またループするのか･･･
古泉,今は夜の7時です。後5時間もすればまた8月27日に逆戻りです
のび太,ドラえもんが戻ってくるのなら、僕は何回だってやり直す！！
ジャイアン,よく言ったのび太！！
みくる,ふぇ～ん、私も頑張りますぅ～
古泉,確か長門さんは次にループした際、自分達の記憶を思い出させるようにと彼に頼まれてましたよね？
長門,そう
古泉,僕からもお願いします。新たな障害が出てきた以上、記憶を引き継ぎでもしない限り永遠とこのループから脱出は出来ないでしょうから
長門,分かった
のび太,(ドラえもん････)
キョン,はぁ～～～
古泉,おや、随分大きな溜息ですね。何か嫌な事でも？
キョン,溜息も出るさ、夏休みもいよいよ終わりだって時に急にこれだ。こちとら宿題も終わってないってのに、勘弁してほしいぜ
古泉,まぁ、確かに急なことではありましたね。涼宮さんから電話がかかってきたのが27日で僕達が神戸港を出港したのが28日。流石に準備に手惑いましたよ
キョン,急に電話してきて明日から31日まで豪華客船で遊ぶわよ！だもんな～。商店街のくじ引きで5枚もチケット当てちまうなんて、どうなってんだかなあいつは
古泉,涼宮さんがそう願ったからこそ、そのような奇跡的な芸当が出来たのでしょう。恐らく彼女はあのまま夏休みが終了する事が嫌だったのでしょう
キョン,夏休みに入ったと同時にお前の知り合いの別荘で充分楽しんだじゃないか。他に何が物足りないっていうんだあの女は？
古泉,さあ。それが分かるのは、恐らく涼宮さん本人だけだと思いますよ
キョン,ようやく折り返し地点か
古泉,帰路もこのまま何事もなければいいのですが･･･
キョン,それは無理な話だな。ハルヒの奴がいる限り必ず何かは起こる
ハルヒ,やっほーーーーーー！！！
キョン,ほら見ろ、噂をすればだ
古泉,あはは･･･
ハルヒ,何よあんた？私の噂してたの？
キョン,まぁな。偉大な団長様のお陰でこんな豪華客船に乗るとこが出来て光栄だって事を古泉と二人で話してたところだ。
ハルヒ,あらそう♪それより二人とも、外に行くわよ！
キョン,外？東京見物でもする気か？残念だがこの船はそう長く停泊しないぞ
ハルヒ,違うわよ！東京湾からも大勢の人が乗船するのよ！？その中に宇宙人や未来人がいるかもしれないじゃない！
キョン,お前はこんな所に来てまで不思議探しをするつもりか･･･
ハルヒ,当たり前じゃない！兵庫にはいなくても東京にはいるかもしれないのよ！？むしろ人口が多い分東京の方が不思議な奴がいる確率は高いと思うわ！
キョン,そういう確率が人口の多さに比例するとは初耳だが
ハルヒ,ごちゃごちゃ言わないでさっさと行くわよ！もしかしたら宇宙人や未来人以上のもっと凄いのが乗り込んでくるかもしれないわよ！！いえ、きっとそうだわ！！
キョン,はぁ～～、もっと凄いのってのは具体的にどんな奴なんだ？
ハルヒ,そうね～･･････未来から来たネコ型ロボットってのはどう！？
キョン,いや、どう？って言われてもな････
ハルヒ,いいから早く来なさい！先に行ってるわよ！
キョン,全く台風のような女だ･･･
古泉,･････････
キョン,ん？どうした古泉？
古泉,あ、いえ････少々気になることがありましてね･･･
キョン,気になる事？
古泉,大した事ではありませんよ。恐らく僕の勘違いだと思います
キョン,そうかい。はい？
長門,･･･わたし
キョン,長門か、入っていいぞ。どうしたんだ？
長門,腕を
キョン,は？
長門,腕を出して
キョン,こうか？。んなっ！！！。何をしてるんだお前は！････て、のあっ！。･････はぁ～。何とかこっちの世界に戻ってこれてたか
古泉,あの･･･先程からお二人は何をなさってるんですか？
キョン,長門、あいつにもやってやれ
長門,分かった
古泉,何をしようとしているかは知りませんが、ちょっと待ってもらえますか！
キョン,いいから大人しくしろ！やれば分かる！長門、やっちまえ！
古泉,ちょ、ちょっと待ってくださ
長門,終わった
古泉,･･････なるほど、そういうわけだったのですか。いきなり長門さんがあなたに噛み付いたんで、正直驚きましたよ
キョン,俺もまさかこんな方法で記憶を蘇らせられるとは思ってなかったさ
古泉,取り敢えずあなたがこちらの世界に戻ってこれていて何よりです。次のループでもあちらの世界のままだったらどうしようと、内心ちょっとヒヤヒヤものでした
キョン,古泉、その事なんだが
古泉,詳しい話はドラえもんさん達と合流してからにしましょう今は取り敢えず、涼宮さんのところへ
キョン,そうだな。じゃあ行くか。9人分で3万4000円･･･前回より上がってるじゃねーか！！
古泉,古泉です。みんなをあの倉庫に集めました。そろそろ行きましょう
キョン,あぁ、そうだったな。思ったんだが、昼間にお前の部屋にドラえもん達を呼んだときに全部やっておけばよかったんじゃないか？
古泉,あの時は涼宮さんとの待ち合わせまで時間がありませんでしたから策を練る為にも時間に余裕のある夜の方がいいと思いまして
キョン,なるほどな
古泉,彼を連れてきました
キョン,どうも
ドラえもん,あの、話っていうのはいったい何なんですか？
キョン,ああ、それは今にすぐ分かる。長門、頼む
長門,････
ドラえもん,わっ！な、何ですか！？
みくる,キョ、キョンくんこれはどういう事なんですかぁ～？
キョン,(すぐ終わるんで少し辛抱してください朝比奈さん)
のび太,ドラえも～ん！良かったー、戻ってこれたんだね！
ドラえもん,心配かけてごめんねのび太くん！
みくる,うえ～んキョンく～ん！良かったですぅ～
キョン,心配かけてすいません朝比奈さん
スネ夫,あぁ････これで15499回目のループか
ジャイアン,ところで二人は前回何で突然消えたんだ？
ドラえもん,変な奴に突然異空間に飛ばされたんだ！
古泉,その者の顔は見ましたか？
ドラえもん,一瞬姿は見えたけど、顔までは見れませんでした
古泉,そうですか
キョン,なぁ長門、そいつは自分の事をお前と同じハルヒの観測者だと言っていたがそれは本当なのか？
長門,そう
古泉,という事は、あなた方を閉じ込めた犯人は長門さん同様のインターフェイスだという事ですか？
長門,少し違う。私と同じではない
キョン,どういう事だ？
長門,私と違いそれには肉体がない
キョン,肉体が無いだと！？
ドラえもん,でも僕は確かに見ましたよ！ドアを閉める人影を！
長門,それは恐らく身体を乗っ取られた人間の姿。それは肉体が無いが故に有機生命体の身体に乗り移り行動している
キョン,なるほどな、どうりであの時とポーカーの時とで声が違うわけだ。何度もいろんな人間の身体を移動しながら俺達やハルヒの動きを注視してたってわけか
古泉,寄生生物のようなものですね･･･しかし、こうなると少々厄介です。身体を乗り移る事ができる以上、探し出すのは至難の業です。長門さん、何かいい手はありますか？
長門,ない。私でも外から見分ける事は不可能
キョン,どうすりゃいいんだ。このままじゃまたあいつに妨害されてループの繰り返しだぞ
スネ夫,怪しそうな奴を片っ端から尋問するってのはどう？
キョン,この船にどれだけの人間が乗船してると思ってるんだ。それに万が一当たりを引いたとしても、気づかれたと分かった時点でまた別の人間に乗り移られるだけだ
ジャイアン,ちきしょー！何処にいるのかさえ分かれば俺がギッタギタにしてやるのに！！
キョン,仮に見つけたとしても手は出してやるなよ。その身体は全く関係の無い人のものなんだからな
古泉,一つの策として、こういうのはどうでしょうか？
キョン,言ってみろ
古泉,僕達は前回同様ドラえもんさんの道具を使って超人選手権を勝ち続けるそうすれば恐らくその宇宙人はまた何らかの妨害工作に出るでしょう。むこうからこちらにアクションを示す唯一の機会です。これを逆手に取り、捕らえる
キョン,捕らえるっていってもな、捕らえた肉体から別の肉体に移動されたら意味無いんじゃないか？
長門,それは問題ない。捕まえたと同時に私がそれ対して妨害プログラムを注入する
キョン,それができればあの宇宙人はもう人体移動ができなくなるのか？
長門,そう
古泉,それが出来れば自由を奪う事は可能ですね
キョン,しかし前回そういう行動をとったからって、今回も同じような行動に出るとは限らないんじゃないか？相手も馬鹿じゃないんだし、それくらい考えるだろ
古泉,確かにそうかもしれませんね。しかし、現状このくらいしか手がありません
のび太,ねぇドラえもん、何かいい道具ないの？
