魔族兵B,い、今“魔王”様って言ったのか？
魔少女,まっおおおおーーさまぁぁっ！｣ﾄﾞﾀﾄﾞﾀ。まおー様1人で着替えてるんだ。あは★タキシード可愛い
魔王,ふぁっ！ちょ、ちょっと着替え中だよ
魔少女,うふっかわいいでしょーー。さ、晩餐会行きましょ
魔王,うわ、魔少女さんもドレス……。うん、もうみんな集まってるのかな？
魔少女,まだだけど、もう始まっちゃうよっ
魔王,ピエロは……来るかな？
魔少女,どうだろ、見かけなかったけど
魔王,まだ元気でないか
魔少女,落ち込んでてもしょうがないのになぁ
魔王,スラムは壊滅。黒のサーカス団で助かった者はいない。落ち込むのも無理はない。ボク、ちょっと呼んでくるよ
魔少女,そうね、まおー命令で引っ張ってきて
魔王,魔少女さんは先に行ってて……あ、そうだ
魔少女,はいな？
魔王,えっと……明日出発するんだけど、人間界に行って和平の調印式をするんだ
魔少女,ちょーいんしき……
魔王,正式に戦争が終わる
魔少女,うん！まおー様の念願だもんね
魔王,魔少女さん達の協力があって成し得たこと。だから、最後までチームで達成したいんだ。ボクと一緒に人間界へ行ってくれないかな？
魔少女,ふふ
魔王,？。ありがとう……
魔少女,まおー様が何も言わなくてもついて行っちゃうよ。まおー様、ぎゅーしてください
魔王,い、今？！
魔少女,ウチはまおー様が“魔王”様だったから頑張れたの。サキュバスである前に、一人の魔族としての生き方が出来た。……。ありがとう……
魔王,ピエロ……
魔道化師,マオ……チンチクリンなタキシードだひゃ
魔王,人間との晩餐会は出たくない？
魔道化師,……
魔王,無理にとは言わないよ
魔道化師,黒のサーカス団は……団長達は……
魔王,……
魔道化師,スラムのみんなを守るため、いっぱい戦ったって。みんな凄かったって
魔王,うん。魔王軍の誇りだよ
魔道化師,人間は憎いよ……でも、マオは立派な“魔王”だ。オイラはバカだけどそれだけはわかる
魔王,……
魔道化師,マオが決めた事は正しい。マオは魔界を……スラムを良くしてくれた
魔王,戦争を終わらせて、みんなが笑って暮らせる世界を創る……ピエロにも笑っていてほしい
魔道化師,オイラは道化師。笑うのが仕事ひゃ
魔王,明日、人間界へ行くんだ。ボクの最後の仕事、手伝ってくれる？
魔道化師,……なんで聞く？
魔王,え……？ピエロは部下じゃないもん、友達。命令はしないよ。いてっ
魔道化師,うひゃひゃ……友達なんだから！遠慮いらない！ついていくに決まってるだろっ。うひゃ……ありがと、マオ
魔王,早くしないと晩餐会始まっちゃう
魔執事,魔王様っ
魔王,あれ？魔執事さんっ何してるの？晩餐会始まっちゃうよ
魔執事,それが姐御が見当たらなくて探してるっつーわけです
魔王,ええ？？どうしたんだろ……たぶん執務室にいると思うけど
魔執事,魔王様が席に着いたら始まっちゃうと思うんで、進行諸々よろしくっす
魔王,えーーーー！？。むりむり……女側近さんも魔執事さんもいないで仕切ることなんて出来ないって
魔執事,……そー言われても
魔王,ボク、女側近さん連れてくるから魔執事さん時間繋いどいて
魔執事,りょーかいっす
魔王,あ、後、明日のことなんだけど、いつものチームで人間界へ行くことにしたから、お城の方よろしくね
魔執事,留守番は得意分野っすよ、任せてください
魔王,いつもゴメンね、魔執事さんがいるからボクはやりたいことが出来た
魔執事,なんすか、改まって。魔王様が“魔王”になって……“側近”達、俺も姐御も魔伯爵だって待遇は変わった。魔族として扱ってくれる魔王様は、尊敬すべき上官。ありがとうごさいますっーわけです
エルフ,魔王、何しとる……晩餐会じゃなかったのか？
魔王,エルフさんこそ始まっちゃうよ、早く早く
エルフ,わらわは遠慮しとく。かしこまった席は苦手じゃ
魔王,そんなこといわないでよー魔族と人間、エルフの三種族が同じテーブルで食事するなんて凄いことだと思わない？
エルフ,確かにの、先代魔王の時には考えられんことじゃな……おぬしが“魔王”になったことはエルフ族にとっては歴史的に大きなことじゃ
魔王,そんな大げさな
エルフ,エルフ族は嘘が分かる。おぬしの純粋過ぎるその瞳は誰もが信用してしまう。素晴らしいチカラじゃ
魔王,チカラ……
エルフ,エルフ族の未来は明るい……礼を言わせてくれ。ありがとう
魔王,いやいや、助けられたのはボクの方だよ。それより、急いでドレスに着替えて来てね！
エルフ,不思議な魔族じゃ。仕方ないのー。………なんと純粋な瞳で……///
魔王,エルフさんのドレス楽しみ。そうだ、女側近さん見てない？
エルフ,中庭におったぞ、これを渡そうと思ったが断られてしまったわい
魔王,それは……精霊薬？なんでそんな危ない薬を
エルフ,これはおぬし用じゃ。先代魔王の子供であるおぬしにはとてつもない魔力が眠ってるはず。引き出す為には精霊薬が効果的じゃろう
魔王,……でも後遺症が……
エルフ,たしかにな。しかし、魔剣を暴走させるのはエルフ族として認められん
魔王,……
エルフ,いざという時の為には持っておきなさい
魔王,いや、いらないよ。もう戦争は終わるんだ。戦う必要がない
エルフ,そうか……いらぬ心配をしてしまったの
少年勇者,うわっ
魔王,わっ！
少年勇者,ビビったーなんだよ。そんな焦ってどうした？
魔王,少年勇者、なにしてるの？晩餐会……キミが主役なんだから早く会場へ行ってよー
少年勇者,ちょっとね、冥都がどんな感じかウロウロしてた……ふふん
魔王,？……別に人間界と変わらないでしょ？
少年勇者,全然変わるわっ
魔王,そうなの？
少年勇者,まず魔力で地位が決まるってのが凄いな
魔王,人間界は違うの？
少年勇者,うにゃ。魔力が強かろうと弱かろうと地位には影響しないな
魔王,そうなんだ……でも魔界もこれからは魔力での格差を減らそうと思ってるんだよね。ボクも魔法使えないし
少年勇者,……
魔王,人間達みたいにチカラを合わせる世界にしたい。みんなが平等で、みんなが同じように平和に暮らせる魔界
少年勇者,……人間界を美化し過ぎだ。こっちは魔力や戦闘力での格差はあまりないが、金のチカラが強いね。金持ちの地位が高い
魔王,お金……
少年勇者,スラムもあるし、差別もある。チカラを合わせるったって、魔界ほど一つになっていないからな。争いは絶えない
魔王,……
少年勇者,平等なんて無理な話なんだよ
魔王,そうなのかな
少年勇者,しかし、魔力が全ての世界で魔法の使えないお前がこれだけのことを成し得たのは、矛盾極まるな。“王”という地位はチカラなのか
魔王,ボクだけのチカラじゃないよ
少年勇者,それでも動かしたのはお前だ。何かを変えるのは“王”になるのが近道なのかもな
魔王,女側近……さん？
女側近,！……魔王様？
魔王,うん、晩餐会始まるよ
女側近,はい、参りましょう
魔王,……
女側近,……魔王様？
魔王,あ、ごめん。見とれちゃって。ドレス姿綺麗だよ
女側近,ありがとうございます
魔王,さ、行こう
女側近,私がサポートされる側になってしまいましたね。魔王様もだいぶ変わりました
魔王,初めて会った時のこと覚えてる？今よりさ、すっごい無表情でさ、如何にも側近です！って感じだった。そう？
女側近,立派になりました
魔王,色々あったよね……。いっぱいミスしたし、喜んだり、泣いたり、ずっと女側近さんに助けられた……
女側近,それは私も同じです
魔王,でも、みんなのチカラがあって戦争を終わらすことが出来る
女側近,……
魔王,ボクらはチカラを合わせれば何だって出来る
女側近,……
魔王,人間界での調印式は魔少女、ピエロにもついてきてもらうんだ。最後までチームで成し得たいんだ
女側近,魔王様……私は
魔王,女側近さんもよろしくね！
女側近,貴方にはついていけません
魔王,え？！
女側近,私は側近を辞めます。申し訳ありません
魔王,な、なんで？！
女側近,私は……目が見えません
魔王,魔力を……感じ取れるから大丈夫なんでしょ？
女側近,日常生活や普通の戦いなら問題ありません……しかし
魔王,……
女側近,魔力を持たない魔王様だけは。見えないのです
魔王,……っ。ボク……だけが見えない？
女側近,その結果、最も重要な護衛としての役割を務めることが出来ません。魔伯爵との戦いでは魔王様に守られる始末。側近失格です
魔王,いや……ダメだよ。女側近さんがいないとボクはっ
女側近,決めました。申し訳ありません
魔王,魔王の命令は……っ
女側近,これが私の“意志”です
魔王,－－－ッ。意志……。いやだ……いやだ……
女側近,……代わりの護衛はエルフにお願いしました
魔王,ボクは……自信がない
女側近,魔王様……貴方はもう独りで大丈夫です。貴方は“魔王”です。弱音は許されません。凛とした態度を
魔王,う、う……うああああああああっ！！！！。ここが……人間界……
魔少女,うわぁー空が青いよ！
魔道化師,瘴気もないし、草がいっぱい……うひゃ
エルフ,樹の魔力がすごいのぉ。エルフには適した気候じゃ
黒騎士,魔王様、ようこそ人間界へ
魔王,うん、出迎えありがとう。魔伯爵さんがいなくなって兵達は大丈夫？
黒騎士,はい、混乱し除隊した者もおりますが現在は統制が取れております
魔王,……魔伯爵さんの支持率はすごかったもんね、辞めちゃう兵士もいるとは思ってたよ。すごく残念だけど
黒騎士,しかし、その魔伯爵様に勝ったのが魔王様であります。皆、魔王様の為に命を賭ける所存です
魔王,これが弱肉強食か……強き者に従う。皆んな、魔伯爵さんの想いもボクの想いも関係はない
黒騎士,魔王様は……
魔王,？
黒騎士,先代魔王様のご子息
魔王,うん
黒騎士,人間界の前線で戦っている兵士達にとって“先代魔王様”は特別な存在。病で亡くなられた時は、私を含め兵達皆悲痛な思いでありました
魔王,……
黒騎士,今回、魔伯爵様の失脚の件で、ご子息である魔王様の活躍は……先代魔王様の再来と言えます。絶対的“魔王様”の復活に兵士達は歓喜に沸いております。除隊した兵士達も戻る事でしょう
魔王,ボクは父さんとは違う……。きっと真逆だ。死してなおこれだけのカリスマ。ボクや魔伯爵さんでは足元にも及ばなかったんだろうな。戦争が終わったら母さんに父さんの凄さを語ろう……ボクの旅のことも、全部話そう。明日全て終わるんだ
黒騎士,中央大陸、王都まで我が戦艦でお連れします
魔王,いや、少年勇者の案内で転移魔法で王都まで行ける
黒騎士,……分かっておりますが、危険です。和平調印式が終わるまでは人間は敵です。転移魔法陣では少ない護衛で敵の本拠地に乗り込むことになります
魔王,和平をスムーズに終わらせるには、巨大な戦艦で人間達を威圧するような事があってはならないよ
黒騎士,しかし……
魔王,大丈夫。戦艦は魔界へ戻してよ、もう戦争は終わるんだ……
黒騎士,かしこまりました
魔王,大丈夫……きっと大丈夫だよ
少年勇者,魔王ー！何してんだ？行くぞ
魔王,人間兵達の視線が気になる……。魔界でも和平には賛否あったんだ。人間界でも反対の声は当然あっただろうな
魔道化師,うひゃ！綺麗なお城～
魔少女,ピエロっちょっと空気読んでよ……兵士にめっちゃ睨まれてるぅ
魔王,わー！やめろっピエロ！
魔道化師,うひゃひゃっなんだー？人間っ！やんのかー？。ヒッ
人間兵,……
少年勇者,この先に皇帝陛下が待ってるよ。お互いの意志を確認しあい……問題ないようだったら明日和平調印式を行う。それで戦争終了だ
魔王,うん
少年勇者,それまではお互い敵同士。ピリピリするのは堪忍してよ。ここは人間界の本拠地、本来魔族を招き入れていい場所じゃない
魔王,分かってるよ。こちらだって今襲われたら袋の鼠。大丈夫だ……人間を信用するんだ。きっとうまくいく……
皇帝,ようこそ！王都へ！魔王殿っ
魔王,一度も剣を握ったことのない手だ
皇帝,いや～悪いね、わざわざ来てもらっちゃって
魔王,……。丁重なご対応感謝致します。一度人間界には来てみたいと思っておりました……聞いた通り美しい世界ですね
皇帝,特に王都の街並みは一段と綺麗だったでしょ？食べ物は食べましたかな？
魔王,いえ。あの……本題に入ってもよろしいでしょうか？
皇帝,ああ……和平の件ね
魔王,はい
皇帝,和平調印後、魔大陸の魔族は魔界へ帰る。その後ゲートを閉じる。間違いないかね？
魔王,はい。時間がかかるとは思いますが、随時進めます
皇帝,そうかそうか、ならば何も問題あるまい。明日予定通り和平調印式を行おう
魔王,人間界には“王”が一人ではないと聞きました。他の王は和平に納得しているのでしょうか？。……
皇帝,うむ、少年勇者が各国説得して回ってな。承諾を得ている。魔族が去った後の魔大陸は我が中央大陸の“領土”となる。その条件で私が代表者として選ばれた。全ての決定権は私にある、心配するでない
魔王,領土？
皇帝,何処の国の王も臆病でな。魔族との接見に怖気づきよってのファッファッファ……多くの“資金”をつぎ込んで来た戦争は終わり、私の“名声”も上がる
魔王,資金？名声？。互いの捕虜の交換方法は……
皇帝,おお、忘れとったわ。すぐ解放するように手配しよう
魔王,交換ではなく……解放？
皇帝,戦争は終わるんだ。“兵力”を奪い合う必要もない
魔王,兵士達の命は……兵力？
皇帝,人間と魔族、お互い望ましい形で終着点につきそうだな
魔王,……
皇帝,ファッファッファッ
魔王,この王は……何を言っているんだよ？。王の金？名声？人間達はそんなものの為に命をかけて来たの？。なんて意味のない戦争なんだ……
皇帝,では明日、予定通り和平調印の儀を行う。最高級の部屋を用意した。今日はゆっくり休んでくれたまえ
エルフ,ロクでもない王じゃったな。だか、嘘は言っていなかった。エルフの眼にそう映ったのじゃ間違いない
魔王,うん。ボクにもそう感じた
エルフ,人間とはなぜあの様な弱い王に従うのか？理解に苦しむのぉ
魔王,少年勇者が前に言ってた平等な世界なんて無理。形は違うけど……人間界も弱肉強食なのかもしれない
エルフ,そうじゃの、魔族と人間は互いを反転させたような存在。しかし、根本は同じじや
魔王,……。難しい事言うなぁよくわからないよ
エルフ,そうじゃ、先ほど魔執事より連絡があってな。裏切り者じゃった黒魔術師を見つけたそうじゃ
魔王,え？！？
エルフ,正確には黒魔術師の遺体を発見した。やはり魔伯爵に殺されていたようじゃ
魔王,そうか……よかった
エルフ,これで不安要素はなくなったのぉ
魔王,明日戦争は終わる。順調……。なのに何でこんなに不安なんだ
魔少女,まおー様っおきて……
魔王,う、うん？……
魔少女,なんかおかしいの。人間達が……いなくなってる
魔王,どうしたの？。え？！。……どういうこと？
エルフ,皆警戒するのじゃ。罠かもしれん
魔少女,えーーー？！
魔道化師,やっぱり人間っ！和平を受け入れるなんで嘘っぱちだったのか！
魔王,まってよ、まだボクらは何も危害を加えられていないよ
エルフ,油断するでない。調印式が終わるまでは敵……奇襲されてもおかしくはない
魔王,王の所へいこう……。皇帝さんっ！。－－－ッ
魔少女,う……
魔道化師,うひゃああっ
エルフ,な、なんと
魔王,な、なんで……。どうして……。誰が……
？？,フハハ……。面白かったよ。実に素晴らしかった……
エルフ,お、おぬしは！
魔王,え……
エルフ,先代魔王！！
先代魔王,これがお前の“魔王”としての終着点か。これで和平は破断じゃな。弱肉強食の世界。弱き者は死に、強き者の糧となる
エルフ,生きていたのか！？
魔王,と、父さんなの？
先代魔王,フハハッ余は死んでなどいない。死とは弱さの象徴
魔王,なんで生きてるの？！何がどうなってるのっ！説明してよっ！。今まで何処にいたの？！。父さんっ！！！
先代魔王,フハハッ笑いが止まらん。“魔王”たる者取り乱しては部下に示しがつかんぞ
魔王,全然わかんないよ、生きているなら……。なぜボクを“魔王”にしたの？！
先代魔王,“魔剣”じゃ。魔剣は“魔王”しか触れられない。触れた“魔王”は魔剣に乗っ取られる。手に入れるには暴走した魔剣を殺すしかない。余が暴走すれば誰に求めることは出来ん。世界を破壊してしまうであろう。そこで余は考えたのじゃ、チカラのない下級魔族を“魔王”にして魔剣を持たす
魔王,魔剣……父さんはボクを殺す為だけに“魔王”に？
先代魔王,暴走した“魔王”を殺せば……魔剣は余の物となる。フンッ……父さんじゃと？。お前は魔剣を手に入れるために、ただ選ばれただけの下級魔族。お前は息子ではない
魔王,－－－ッ！！！！
先代魔王,予想外なこともあった。魔伯爵が裏切ったこと。お前が自力で魔剣を封じ込めたこと。和平などと考えたことじゃ
魔王,……
先代魔王,……予想というのは上手くいかないものじゃ。じゃがな、どんな事が起きても対応できる枠組みを構えておくことが大事なのだ
魔王,……
先代魔王,彼女がついていれば何も問題はないと思っておった
魔王,彼女？
先代魔王,なんじゃ、お前自分のチカラですべて成し遂げたと思っておるのか？
魔王,え？？
先代魔王,フハハ、下級魔族が本当に笑わせてくれる。彼女が何も知らなかったと思うのか？
魔王,……まさか……うそだ……
先代魔王,彼女は、すべて知った上でお前を操っておったのじゃ
魔王,女側近さんっ！！
先代魔王,女側近は余の下僕
女側近,……
魔少女,お姐ぇ……嘘でしょ？？
魔道化師,うひゃ…わけわからん……姐さんがアイツの仲間？
先代魔王,女側近は余の命令ならなんでも聞く。女側近、お前の任務を説明しろ
女側近,はい。先代魔王様を死んだと思わせ、下級魔族を“魔王”に仕立て上げる。そして、魔剣を手に入れ殺害することです
魔王,う、うそだああああああああああっ！。女側近さん！嘘だ！！……嘘だと言って！命令だっ！
女側近,……
先代魔王,フハハッ……彼女はお前の部下ではない。部下のふりをしていただけ
魔王,“魔王”はボクだっ！認めないっ！
先代魔王,この世は弱肉強食。認めて欲しければ余を倒せ。魔剣を暴走させるのじゃ、お前に残された道は余を殺し勝つこと以外ない
エルフ,魔王っ！ダメじゃ挑発になるなっ……魔剣を手に入れるのが奴の目的
魔少女,う……う……
魔道化師,あわわわわ
魔王,く……
先代魔王,魔剣を使わずして余に勝てるのか？
魔王,みんなを守らなきゃ。エルフさん……ボクが暴走したら魔少女さんとピエロを守って
エルフ,待て……精霊薬を
魔王,いらない。無属性のボクには意味がない
エルフ,……くっ
魔王,来いっ魔剣っ！！！。ぐ……
先代魔王,フハハハハ……弱肉強食。やはりこれこそが世界の摂理
魔王,がががががががああああああああっ！！
先代魔王,女側近よ、無属性のあやつは見えないじゃろうが、魔剣の魔力は感じるであろう？
女側近,はい
先代魔王,任務を果たすのじゃ。殺せ
女側近,……はい。“魔王”様の命令は絶対です
先代魔王,フハハハハッ。ふむ。女側近よ。任務完了じゃ、ご苦労だったな
女側近,……はい
先代魔王,これを期に人間界に総攻撃をしかける。準備を始めよ。女側近、首尾はどうじゃ？
女側近,はい。魔大陸南部に帝都軍が上陸。魔王軍との大規模戦闘が開始しました。数は多いですが、地は我らにあります、問題ありません
先代魔王,よしよし、飛空船艦隊の方はどうじゃ？
女側近,数時間後にはゲートを通り人間界へ入る予定です
先代魔王,ふむ……あっさり終わってしまいそうで面白くないのぉ
魔族兵,失礼致します！城に侵入者ですっ！単独で……ぐああああっ！
先代魔王,！
女側近,……
少年勇者,てめーが真の“魔王”か……
先代魔王,たった一人でよく来てくれた……歓迎しよう、“勇者”よ
少年勇者,シナリオ通りにはいかなかったけど……てめーさえ倒せばすべて終わるっ！
先代魔王,フハハッ……読みが甘いのじゃ
少年勇者,うにゃ、そうだね。自分の間違いを受け入れることも大事だった。自惚れていた
先代魔王,お前は自分の考えた“筋書き”に捉われすぎたのじゃ。大切なのは“枠組み”、臨機応変に対応出来るかどうかじゃ
少年勇者,返す言葉もない……
先代魔王,その若さで聞き分けが良いのぉ
少年勇者,さあ剣を抜け“魔王”っ！！
女側近,相手は私だ
少年勇者,行くぞっ！
魔王,う……う……ん
魔少女,あ！まおー様っ！よ、よかった
魔道化師,マオー！
人間兵,うわあああああっ！
エルフ,ふう……はぁはぁ……
魔王,……え……なにが起こったの？
魔少女,目を覚ましてよかった……ウチら生きてるよ
魔王,……い、生きてる？
魔道化師,うひゃ、先代魔王様が現れて、戦いが始まって……オイラ達は姐さんに……
魔王,女側近さん……！
魔少女,……
エルフ,あの女のせいで、わらわ達は敵陣のど真ん中で孤立状態じゃ
魔王,殺されなかった？？。魔剣がない……
エルフ,とにかくここから脱出する方法を……
人間兵A,魔族だっ！
人間兵B,陛下の仇だ！
魔道化師,うひゃーまた敵っ！
人間兵達,うわあああああっ！
魔少女,もう……次から次と敵が
エルフ,……人間の王を殺してしまったのじゃ、和平は白紙。戦うしかないぞ
魔王,くぅ……あと、あと少しだったのに。まずは王都から逃げないと……。でも、その先は？。先代魔王が戻って……ボクは？？。……
魔道化師,マオ……
魔少女,まおー様
エルフ,“魔王”、どうするのじゃ？
魔王,そうだ。ボクは“魔王”なんだ。やるって決めたんだ。よし、ここから脱出して……先代魔王のところへ行こう。女側近さんを助けるんだ
魔道化師,はぁ！？姐さんが敵だったんじゃないの～？
エルフ,そうじゃ、最初から仕組まれていたのじゃ、今更助けるなど……
魔王,ちがうよ。女側近さんは敵なんかじゃない。だって。ボクら生きてるじゃん！
エルフ,……
魔道化師,……
魔少女,……
魔王,確かに今まで女側近さんは先代魔王の命令通り動いていたのかもしれない。でも。ボクや魔少女さん、エルフさん、ピエロ……一緒のチームのボクらを……殺したくなかったんだ。だから、生きてる。それが女側近さんの意志。あとで息を吹き返すよう魔法を使ったんだよ
エルフ,……そうか。世界樹で魔王を助けたのは彼女の意志
魔少女,お姐ぇは何度も側近を辞めようとしていた……自分の本当の任務から逃げたいとう“意志”だったのかな？
魔道化師,うひゃ、やっぱり姐さんは味方っうひゃー！
魔王,女側近さんを助けて……魔剣を取り返して、先代魔王を倒す。これしか道はない
人間兵,魔族だ、いたぞっ！
エルフ,おおおおおおっ！
人間兵1,ぐあっ
人間兵2,ぎゃあ
人間兵3,うわあ
人間兵4,魔族どもめ……くらえっ
魔少女,みんな下がってっ
魔王,エルフさんっ！左に敵多数！
エルフ,大地よ……
魔王,女側近さんを助けるもなにも、ここから生きて出るのは至難の技。どうする？敵が多すぎる
エルフ,はぁ……はぁ……
魔道化師,うひゃ……ありがと
魔少女,みんな回復っ
魔王,魔少女さん………
魔少女,う、うん？
魔王,えっと……魔力を辿って女側近さんのところまで行ける？
魔少女,うん、お姐ぇの魔力なら離れてもわかる
エルフ,わらわがここの敵を引きつける。おぬしらは屋上から脱出を
魔王,え？！ダメだよっ一緒に行こう
エルフ,それではこの場を切り抜けられん……おぬしを守りながらではな
魔王,……でも
エルフ,この場を切り抜けられなければ何も変えられん。魔王、おぬしなら女側近を命令の呪縛から助け出せる
魔王,……
エルフ,彼女を意志のまま生きる道に。頼んだぞ
魔王,く……必ず助けに戻る。絶対死なないで、お願いだよ
エルフ,わかったわい。エルフは嘘はつかん……魔少女、魔王を頼んだぞ
魔少女,うん……
エルフ,やれやれ……嘘をついてしまった。あやつが王でなければエルフ族に未来はない。ここで死なせるわけにはいかんのじゃ……
先代魔王,美しいのぉ……。命を懸けた戦い。これこそ最も美しい光景じゃ
少年勇者,うらああああっ！
女側近,はああああぁぁっ！
少年勇者,くっ
女側近,また対氷属性装備とは相変わらず準備のいいこと
少年勇者,ふふん、眼の見えない側近くらいは倒せると思ったんだけどな～
女側近,甘く見ないでもらおうか。その程度では先代魔王様の足元にも及ばん
少年勇者,うにゃ、そうかもしれんけどさ。そいつはさ……やってみなけりゃわからねぇだろっ。うらああああっ！
先代魔王,ふん……。なんのつもりじゃ……つまらんの。破れかぶれの攻撃で余を倒せると思うたのか？
勇者,ふふん……魔剣を抜いたな
先代魔王,？！。その剣は……聖剣！。貴様の目的は最初から……
少年勇者,うにゃ、俺っちの目的は最初からゲートを閉じること！ふふんっ……。シナリオ通りだ！
先代魔王,……してやられたが、苦肉の策と言ったところか。女側近、追うのじゃ
女側近,はい
先代魔王,ゲートはまた開けば良い。聖剣は勇者しか持てん。生きたまま連れてくるのじゃ
女側近,かしこまりました
人間兵1,いたぞっ！魔族だっ
人間兵2,殺せっ
人間兵3,くらえっ
魔少女,くぅ……！
魔道化師,うひゃっひゃああああっ！
魔王,このままじゃまた囲まれる……もう少しで屋上なのに
魔少女,はいやあああっ
魔道化師,よーし、マオ！ここの敵はオイラが食い止めるからよー先に行ってくれい
魔少女,はぁ？！何言ってんのよ、無理に決まってるでしょ
魔王,そうだよ！ピエロ一人じゃくいとめられないでしょ！
魔道化師,大丈夫大丈夫～。オイラ、エルフしゃんからこれ持たされてるから
魔王,それは……精霊薬
魔道化師,最後の手段だったけど、ここを切り抜けなきゃ。うひゃ
魔少女,でもピエロ……後遺症があるよ。お姐ぇみたいに目が見えなくなるかも
魔道化師,構わない
魔王,ピエロ……
魔道化師,ここでマオを……友達を死なせるくらいだったら、目も耳も口もいらないよ！頭おかしくなったって構わない！
魔王,ダメだっ！一緒に切り抜けるんだ！
魔道化師,オイラは部下じゃなくて友達だから命令は聞かない。うひゃひゃ
魔王,ピエロっ！
魔道化師,マオ……オイラはバカだけど分かるよ。このままじゃ皆んな死んじゃう。マオは……魔剣を取り返して助けに来てよ。それはマオしか出来ない
魔少女,ピエロ……
魔王,……ッ。この状況を皆んなで切り抜ける方法が見つからない……
魔道化師,先代魔王を倒す方法は思いついてるんでしょー？。だからマオは先に行って。王様だろっ！うひゃひゃひゃっ！
魔王,ピエロ……絶対死なないで。必ず戻る
魔道化師,マオ……笑え。オイラは道化師。いつも笑ってるよ。……オイラは団長達の仇をとる。人間を殺す。マズっ！
人間兵,殺せぇぇっ！
魔道化師,うひゃ……うひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃひゃっ！
魔王,はぁはぁ……
魔少女,外に出た！よし……。召喚……はああああぁぁっ！いでよ！ドラゴンっ！
飛竜,ギャアアアァァッ
魔少女,まおー様っ！乗って！
魔王,うん！。みんなの意志を無駄にはしないっ。ゲートが……少しずつ小さくなっている？閉じようとしてる？
魔少女,え？なんで？……魔界へ帰れなくなっちゃうよ
魔王,……。女側近さんの魔力は感じる？
魔少女,うん、もう近くまで来てる。いたっあそこ！お姐ぇ！
魔王,女側近さんっ
少年勇者,ぐ……ぅ……離しやがれ……
女側近,黙れ
飛竜,ギャアッギャア……
魔王,女側近さぁぁん！
魔少女,お姐ぇ！
女側近,ま、魔王様？！？！
魔王,迎えにきたよ……
女側近,な、何故……ここに……
魔王,当然。ボクらはチームだよ。女側近さんを自由にしにきたんだよ
女側近,－－－－－－ッ
魔少女,お姐ぇ、ウチらと一緒に戦おうよ
女側近,魔王様……お逃げください
魔王,え？！
女側近,今なら貴方は死んだことになっています。身を隠せば見つかることはありません
魔王,……
女側近,先代魔王様には……誰も逆らえません。誰も敵いません
魔王,ボクは逃げないよ
女側近,魔王様っ
魔王,このまま先代魔王が王に戻ったら……ボクらが変えてきた魔界は、また元に戻ってしまう！それでもいいの？！
女側近,“魔王”様の命令は……絶対……です……
魔王,絶対じゃない。絶対じゃないよっ！だって、女側近さんボクらを殺さなかったじゃないか
女側近,……
魔王,それはキミの意志だよ
女側近,わ、私は……側近。その為に生まれ……その為に生きてきた……
魔王,女側近さんだって一人の魔族だ。笑ったり、怒ったり、悲しんだり、喜んだり、一緒に旅したんだ。みんな知ってるっ
女側近,弱肉強食……弱き者は強き者に従う。魔界の摂理です
魔王,ちがう！。誰もが……平等に暮らせる世界を創る。戦うチカラの必要のない世界
女側近,先代魔王様が……
魔王,“魔王”は……。ボクだっ！！。キミの意志は？！……思うままに言うんだっ
女側近,私は……私は……
魔王,女側近さん！
魔少女,お姐ぇっ！
女側近,……。私は。魔王様と共に生きたい……
魔少女,お姐ぇ……
魔王,女側近さん……｣ﾆｺｯ421:◆Ks1JsTemxeE/2017/05/17(水)08:58:0367ID:/NKe+S22O女側近の表情には感情が宿る。そこには只々普通の魔族の女性。そんな姿に魔王も魔少女も微笑む。
女側近,ぐぅ……。魔王様、私は……
魔王,女側近さん！！！！。先代魔王！！！
魔少女,お姐ぇっ！
少年勇者,く……
先代魔王,驚きはしないぞ。余は元々誰も信用しておらん
魔王,魔少女さん……回復を
魔少女,うん
先代魔王,側近はまた新しい物へ変えれば良いだけじゃ
魔王,女側近さんは物じゃない！
先代魔王,お前らに意志は必要ない。余の言うことを聞いていればいいのじゃ。弱肉強食……余の言葉は絶対。逆らえば死ぬだけじゃ。何故そんなこともわからん。お主がどんな理想を願おうと余に勝てなければ叶わん。つまり強くなければ何もできんのじゃ
魔王,……
先代魔王,弱く、チカラもなく、魔法も使えない。それでどうしようと言うのだ？
魔王,……
先代魔王,余の強さが分からん訳ではあるまい
魔王,……たしかに、ボクは弱い。戦えないけど
先代魔王,……
魔王,お前にボクは殺せない
先代魔王,……。得意のハッタリか？……イライラしてくるわ
魔王,なんでも思い通りになると思うなよ
先代魔王,下級魔族が……。“魔王”の余が命令する。跪け。許しを請え。命乞いをしろ
魔王,“魔王”はボクだ
先代魔王,クズが……
魔王,があっ……あああ……
先代魔王,脆い身体じゃ
魔王,ぐ……ああ……。はぁはぁ……掴んだ……ぞ
先代魔王,あ？
魔王,はぁ……はぁ……。こ、来い……魔剣！まだ…生きてん……だろっ！
先代魔王,なに？！
魔王,がががががががががああああアアアアっっ！！！！。。……決着を……ツケヨウ。魔オうはボクダっ！！！
先代魔王,……
魔王,オマエを……倒ス
魔少女,魔剣を奪い返した！
