シャーリー,何の為に？
キョン,北海道に沖縄だと！？金はどうするんだ？
ルルーシュ,俺が全額負担しよう。兄としてせめてこれくらいはしないと俺の気がすまない
キョン,全額負担って、いったいお前の何処にそんな金があるんだ？
ルルーシュ,なに、例の放蕩貴族様に頼んで貸してもらえばいいだけだ
キョン,便利な貴族もいたもんだな･･･
ハルヒ,じゃあお金の件はルルーシュに任せるわ！それじゃ早速明日からSOS団大旅行を開始するわね！今日はもう遅いから寝ましょう！おやすみ
キョン,相変わらず、嵐のような女だ
ルルーシュ,(涼宮ハルヒ････何なんだあの女は。何故会ったばかりのナナリーの為にそこまでやろうとできる････)
キョン,本当に北海道に来る事になるとはな･･･
古泉,昨日の今日でこれですからね、涼宮さんの行動力には驚かされます
キョン,ハルヒの行動力もそうだが、ルルーシュの資金力にも驚かされる
ハルヒ,さぁ、バンバン遊びまくるわよー！
ナナリー,あの、涼宮さん？
ハルヒ,なに？
ナナリー,これはどういう事なんでしょうか？急に北海道に行こうだなんて･･･
ハルヒ,あれ？ルルーシュ、ちゃんと説明しなかったの？
ルルーシュ,お前が急かすから詳しく話す時間が無かったんだ
ハルヒ,そう、それならいいわ！私が説明してあげる！いいナナリー、SOS団は今日から二週間全国を飛び回って遊びまくるの！
ナナリー,え？に、二週間もですか？学校はどうするんですか？
ハルヒ,安心してちょうだい、ちゃんと学校には許可をとってあるから！
キョン,(嘘つけ)
ハルヒ,だから心置きなく楽しみましょう！
ナナリー,でも文化祭の準備は？
ハルヒ,勿論旅行と同時進行よ！
ナナリー,あの･･･そもそも何で他の生徒達が学校で勉強してる時にSOS団だけ旅行する事が許されたんでしょうか？
キョン,(そりゃ当然の疑問だわな)
ハルヒ,そんなの決まってるじゃない！SOS団だからよ！！
キョン,(答えになってねーぞ)
ナナリー,は、はぁ
ルルーシュ,細かいことは気にするなナナリー。せっかくの機会だ存分に楽しもう
ナナリー,はい！そうですねお兄様！
キョン,(本当に仲の良い兄弟だな)
みくる,あの～、この後はどうするんですか？
ハルヒ,今日はもう遅いからホテルに行きましょう！いろいろ回るのは明日からってことで！いいわね？
キョン,それはいいが、ホテルの予約なんてしてあるのか？まさかその辺にあるラブホテルじゃないだろうな？
ハルヒ,そんなわけないじゃない！私にぬかりはないわ！
ルルーシュ,札幌租界にある観光用のホテルに五日分の予約を入れてある
キョン,五日？という事は最低でも五日間は北海道に滞在するわけか
ルルーシュ,この空港にホテルの無料シャトルバスが来ているはずだまずはバス停留所を探そう
キョン,シャトルバスなんて出てるのか。随分とサービスの良いホテルだな
ルルーシュ,一番高いところにしたからな。それに全員スイートだそれくらい当然だろう
キョン,全員スイートだと！？
ハルヒ,何驚いてるのよキョン？それくらい当たり前じゃない私達を誰だと思ってるの？SOS団よ、SOS団！！
キョン,(SOS団だからこそ驚いてるんだよ)
ルルーシュ,いつまでやってるんだ、早く行くぞ
キョン,････ここは何処だ？
古泉,社台スタリオン・ステーション。現役を引退した競争馬の展示放牧などをしている場所ですね
キョン,ほー･･･で、何故俺達がそんな所に？
古泉,涼宮さんたっての希望だそうですよ
キョン,あいつ競馬に興味なんてあったのか？
古泉,僕も初耳です
キョン,お前でもあいつに関して知らないことがあるんだな
古泉,知らないことだらけですよ
キョン,それにしてもあのホテルには驚いたな･･･一泊だけでもいくらすることやら
古泉,御安心を。あそこは機関の人間が経営しているホテルです宿泊費を通常の半額以下に落としてもらいました。まぁ、支払いは彼ですがね
キョン,そりゃ良かった
古泉,今宿泊している札幌、今後宿泊する予定の広島、長崎、沖縄全てのホテルの予約を入れたのは彼なのですが、その全てが見事なまでに機関の息のかかった宿泊施設なんですよ。これをどう思いますか？
キョン,どうも思わん。偶然だろ
古泉,とても偶然とは思えないんですよね。機関の関連施設ならば安い値段で良い部屋に泊まることが出来ると踏んで予約を入れたとしか思えません
キョン,あいつはお前の正体も機関の存在も知らないだろ？そんな事できるわけないじゃないか
古泉,ひょっとすると、もう我々の正体などとっくにバレているのかもしれません
キョン,何を根拠に言ってるんだ？監視してた連中から新情報でもあがってきたのか？
古泉,いえ、彼等からは何も
キョン,また推測か？
古泉,えぇ、推測です
ハルヒ,キョン、古泉くん！何してるの、早くこっちに来なさい！！
古泉,呼んでいますね。この話はまた後で
キョン,やれやれだ
ハルヒ,見なさい、あそこで草を食べてるのがディープインパクトよ！
キョン,あぁ、名前は聞いたことがあるぞ
ハルヒ,アンタその程度の感想しか言えないの？
キョン,生憎競馬に関する知識は一つまみ程度しか持ち合わせていなくてな
みくる,意外と小さいんですねぇ、横にいるお馬さんの方がでかいです
ハルヒ,横にいるのはダイワメジャーね！500ｋｇ以上ある大型馬よ！名前聞いた事ない？
キョン,俺が知ってるのは精々ナリタブライアンと、あそこにいるディープインパクトくらいのもんだ
ハルヒ,フン、つまんない男ね！どっちもブリタニアの競走馬を蹴散らした名馬だってのに
ナナリー,私は目が見えないけど、それでも何となく感じる事ができます。二頭共可愛い顔をしていますね♪
ハルヒ,流石ナナリー、分かるのね！
キョン,お前は競馬詳しいのか？
ルルーシュ,ん？俺か？いいや
ハルヒ,八橋食べるわよー！！
キョン,京都に着いて第一声がそれか
ハルヒ,何よ、文句でもあるの？ナナリーも食べたいわよね？八橋
ナナリー,はい！食べてみたいです！
ハルヒ,じゃあ早速食べに行きましょう！京都は今日だけだから急がないとね
キョン,なに？京都は今日一日だけなのか？
ハルヒ,そうよ！夕方には広島に向かうからここでは一泊もしないの！
キョン,なんてこった･･･
ルルーシュ,安心しろ、広島も予約してあるのは超一流ホテルだ
キョン,あぁそうかい
ハルヒ,行きましょうナナリー！
ナナリー,はい！
古泉,まるで仲の良い姉妹のようですね
ルルーシュ,･･･そうだな
古泉,おや？否定しないのですか？
ルルーシュ,あいつと話してる時のナナリーは本当に楽しそうな顔をしているそれは事実だからな。あんなに楽しそうなナナリーは久しぶりに見た気がする
古泉,では感謝しなければなりませんね、涼宮さんには
ルルーシュ,･･･あぁ、そうだな
キョン,見えるようになるといいな、ナナリーの目
ルルーシュ,仮に見えるようにならなくても、この旅行はナナリーにとってきっと大切な思い出になる。そういうのを作らせる事が出来ただけでも十分さ
ハルヒ,何やってんの！！早く来なさい！！！
キョン,さて、俺達も行くか
ルルーシュ,そうだな
？,ふふ～ん♪やっと見つけたよルル～♪
キョン,はぁ～、やっと休めるぜ
ハルヒ,何よ爺臭いわね
キョン,そりゃあの短時間で五つも六つも名所を巡らされれば誰だってこうなるぞ
ハルヒ,仕方ないじゃない！京都は行きたい所がいっぱいあったんだから！
キョン,だったら何で一日しか時間を割かなかったんだ？一泊くらいすりゃ良かったじゃねーか
ハルヒ,うるさいわね！ちなみに広島だって一泊しかしないわよ！明日の今頃はもう長崎だから！
キョン,orz
ルルーシュ,今日は流石に俺も疲れた･･･ナナリーは大丈夫か？
ナナリー,はい、大丈夫です！美味しいもの沢山食べれたしいろいろな所に行けたし、大満足です♪
ルルーシュ,そうか････
ハルヒ,まだまだこんなもんじゃ終わらないわよナナリー！まだ後一週間もあるんだから！明日は広島、明後日からは長崎最後は沖縄！まだ先は長いんだから覚悟しなさいよ！
ナナリー,はい♪
ハルヒ,お土産を買うわよー！！
キョン,北海道と京都であれだけ買っといてここでも買うのか？
ハルヒ,当たり前じゃないの！ちなみに長崎と沖縄でも買うわよ
キョン,はぁ････
ハルヒ,安心しなさい、荷物を持てだなんて言わないから全部宅急便で直接家に送ってもらうわ
ナナリー,涼宮さん、私もみじ饅頭というのを食べてみたいです！
ハルヒ,もみじ饅頭？良いわよ、じゃあ早速行きましょう！
キョン,ちょっと待ってくれ、トイレに行きたいんだが
古泉,おや、あなたもでしたか。実は僕もなんです
ハルヒ,じゃあ先に行ってるから後で来なさい！みんな行きましょう！
キョン,確か今日の内に長崎に行くんだったよな？
古泉,えぇ。ここでの買い物が済み次第空港へと向かうようです
キョン,そして長崎の次は沖縄か･･･全く、とんでもないスケジュールを組んだもんだ
古泉,ですが、涼宮さんは勿論ナナリーさんも実に楽しそうですし良かったではないですか
キョン,まぁな
？,ねぇ、君たち･･･ちょっといいかな？
キョン,ん？何です？
？,ちょっと聞きたい事があるんだよね
キョン,聞きたい事？俺たちにですか？
？,ああ、喋らなくてもいいよ。口に出さなくても僕には分かるからさ君たちは僕の質問を聞くだけでいいんだ
キョン,えっと････何言ってるんですか？
？,何だ、分からないの？君頭悪いなぁ
キョン,なっ･･･
古泉,失礼ですが、会ったばかりの人に対して名も名乗らずにいきなりその物言いはどうかと思いますが
？,名前？そうだね、名前くらいは礼儀だ、教えてあげるよ。僕の名前はマオ
古泉,それであなたが我々にしたい質問というのは？
マオ,何か君、生意気だね。年下の癖に････まぁいいや、ルルーシュとCCの関係について聞きたい。君達の知っている事を････な、何だと！！！
キョン,な、何だ！？
マオ,クソッ、クソクソクソクソ！！ルルーシュめ、本当にCCと付き合っていたのか！！し、しかもキスまでしてるだと･･･ふ、ふざけてる････許さない！！絶対に許さないぞ！！殺してやる、殺してやる！！僕が必ずこの手で殺してやる！！！！
キョン,あ、あの････大丈夫ですか？
マオ,うるさい！！僕に話しかけるな！！！
古泉,話しかけるなと言われましても、まだ我々は質問に答えてませんが？
マオ,喋る必要はないと言っただろう。僕には分かるからさ
古泉,言っている意味がイマイチ理解できないのですが
マオ,分かるんだよ、口に出さなくても。君が超能力者である事も機間とかいう組織の人間である事も、全てね
古泉,！！？
キョン,な、何であんたがそんな事を知っているんだ？
マオ,本当に馬鹿だなぁ。まだ分からないの？君の頭の中は実にくだらないねまるで考えがまとまってない。
キョン,な、何言ってんだアンタ？
マオ,君たちは随分面白い集まりのようだね。なるほど、宇宙人に未来人に超能力者かそしておかしな能力を持った女が一人。ハハ、まるでサーカス団だね
キョン,(こいつまさか･･･)
マオ,そうだよ、やっと気付いてくれたんだ。僕は他人の思考が読めるんだ
古泉,(思考を読める？)
マオ,そう、君達が考えてる事なんて全てお見通しってわけだよ
キョン,そんな馬鹿な････ありえない
マオ,安心しなよ、僕の目的はあくまでCCとルルーシュだ君達に危害を加えるつもりはないよ。でも、邪魔をするならタダじゃおかないよ？誰であろうと僕の邪魔をする奴は許さないからね
古泉,(出来ればルルーシュさんとCCさんの事をお聞きしたいのですが何故あなたは彼等を狙っているのですか？)
マオ,君に答えてやる義理はない。直接本人に聞いてみたらどうだい？最も、君たちはまだルルの正体を知らないようだけど
キョン,？
古泉,･･････
マオ,じゃあね、ルルによろしく
キョン,何だったんだあいつは･･･思考を読めるだなんてそんな事あるはず･･･
古泉,いえ、恐らく彼の言った事は全て事実だと思います
キョン,何でそう断言できる
古泉,彼の言っている事が本当なのかどうか、先程の会話の中でちょっとした実験を
キョン,実験？どうやって？
古泉,簡単ですよ。決して口に出さず、心の中で質問をしたんです
キョン,質問？
古泉,えぇ。何故あなたはルルーシュを狙うのか？とねするとどうでしょう、間髪入れず的確な回答が返ってきたじゃないですか正直身の毛がよだつ思いでしたよ
キョン,ちょっと待て、あいつは長門や朝比奈さんの正体についても知っていたがあれも俺達の思考を読んだからだってのか？少なくとも俺はあの時長門や朝比奈さんの事なんて全く考えてなかったぞ
古泉,それは僕も同じです。我々の前に朝比奈みくると長門有希に接触していたのか或いは我々の深層心理を読んだのか････
キョン,深層心理？
古泉,あくまで推測です。いずれにしても、この事はみなさんに話しておくべきでしょうね
キョン,ルルーシュにもか？
古泉,勿論、狙われているのは彼ですしね。それに、先程の方の発言を聞くかぎりやはりルルーシュさんはただの人間ではないようですし、この辺で探りを入れてみようと思います
キョン,そういや何か言ってたな････ルルーシュの正体がどうとかって。で、いつ話すんだ？
古泉,出来るだけ早い方が良いでしょうし、今夜にでも
キョン,今夜か････またややこしい事になってきたな
ハルヒ,とうちゃ～く！
キョン,はぁ･･･疲れた
ハルヒ,爺臭いわねぇ。シャキっとしなさい！
キョン,イテッ･･･
ルルーシュ,今日はもう遅いし、各自部屋で休もう。明日も早いんだろ？
ハルヒ,当然！
ナナリー,明日は何処へ行くんですか？
ハルヒ,ふふ～ん♪それは明日になってからのお楽しみよ！
ナナリー,うわ～何処でしょう！楽しみです！
ハルヒ,んじゃ、明日は8時にみんなでご飯食べて9時にチェックアウトって事で！行きましょう、ナナリー、みくるちゃん、有希
みくる,はい
ルルーシュ,ふぅ、じゃあ俺も休ませてもらうとするか
古泉,ちょっといいですか？
ルルーシュ,ん？何だ？
古泉,今夜少々御時間をいただきたいのですが話しておきたい事がありまして
ルルーシュ,話しておきたい事？今じゃ駄目なのか？
古泉,できればもう少し夜が深くなってからの方が
ルルーシュ,･････いいだろう。で、何時に何処へ行けばいい？
古泉,深夜0時に下のロビーでお待ちしています
ルルーシュ,分かった。来るのはお前だけか？
古泉,いいえ、彼と長門さんも一緒です
キョン,ん？朝比奈さんはいいのか？
古泉,いろいろと考えましたが、今回は彼女はいいでしょう
ルルーシュ,じゃあ0時に
古泉,えぇ
ルルーシュ,(話しておきたい事か･･･俺に関しての情報は一切外には出てないはずだが････まぁいい、万が一の時にはギアスを使えば問題ない)
古泉,お待ちしてました
ルルーシュ,さっそく話しておきたい事とやらを聞こうか
古泉,実は今日僕と彼は広島で奇妙な方に出会いましてね
ルルーシュ,奇妙な方？
古泉,えぇ。何が奇妙かと言うと、その方はどうも相手の思考を読めるみたいなんです実際僕の思考は完全に読まれてました
ルルーシュ,(思考を読む！？まさか！！)マオか！？
古泉,やはりご存知でしたか
ルルーシュ,(何故あいつが生きてる！？あの時死んだはずじゃ！いや、それよりもマオの事をどう誤魔化すかを考えるのが先だ)
キョン,あいつはお前を殺すと言ってたんだ。だから話しておいた方が良いと思ってな
ルルーシュ,そうか････すまない、ありがとう
古泉,お聞きしたいのですが、あのマオというのは何者ですか？あなたとの関係は？
ルルーシュ,(マオの事だ、この二人に俺の秘密を話している可能性がある･･････ギアスを使うか？いや駄目だ、もう少し探ってからでも遅くはない)
古泉,彼は随分あなたの事を恨んでいるようでしたけど、過去に何かあったのですか？
ルルーシュ,なに、ただの嫉妬さ。CCを俺に奪われた事に腹を立ててるだけの醜い男だ
キョン,そういえばやたらとCCの名前を出してたな
ルルーシュ,だろう？全く懲りない男だ
古泉,なるほど、それであのような事を言っていたのですか
ルルーシュ,(この反応･･･マオから情報は受けてないのか？だとするなら何ら問題はない、このまま話を適当に合わせれば･･･)
古泉,では他人の思考を読めるという彼の能力については何かご存知ですか？
ルルーシュ,さぁな、知らん
長門,･････嘘
キョン,長門？
長門,ルルーシュは嘘を言っているあなたはその能力が何であるのかを知っているはず
ルルーシュ,久しぶりに喋ったかと思えば････何を根拠に言っているんだ？
長門,たった今情報統合思念体はあなたに関する調査結果を総合し答えを導き出した
ルルーシュ,！？
古泉,長門さん、その答えというのを教えていただきませんか？
長門,ルルーシュ・ランペルージ、ランペルージというのは本名ではない。偽名
キョン,偽名！？
古泉,これは穏やかではありませんね。普通の学生が何故偽名など使っているのでしょう
ルルーシュ,････
長門,本名はルルーシュ・ヴィ・ブリタニア
古泉,ブリタニア？･･･という事はまさか
長門,そう、彼はブリタニア皇族。第11皇子
キョン,なに！？
古泉,皇子････
キョン,じゃ、じゃあナナリーも皇族なのか！？
長門,そう
キョン,なっ･････
古泉,ルルーシュさん、長門さんはこう仰っていますが何か意見はありますか
ルルーシュ,いや、特にない
古泉,それは肯定とみてよろしいでしょうか？
ルルーシュ,あぁ
キョン,おいおいマジかよ･･･
古泉,ありがとうございます。長門さん、続けください
長門,さっき言っていたマオという男の能力はギアスという力によってもたらされたもの
キョン,ギアス？
長門,詳細は不明。分かっている事は、そういう能力が存在している事とルルーシュもその力を有しているという事
キョン,ルルーシュも！？
古泉,･････では彼も他人の思考が読めるという事ですか？
長門,違う、発現する能力は個々に違いが出る。ルルーシュの能力は絶対遵守の力
古泉,絶対遵守？
長門,相手を自分の思い通りに行動させる事ができる。それがルルーシュのギアス
キョン,何だよそれ･･･最強じゃねーか
長門,そうでもない、使用できる回数は一人の人間につき1回まで使用する際には必ず相手の目を見なければならないという制約がある
古泉,その能力はインターフェイスである長門さんにも有効なのでしょうか？
長門,有効
古泉,なるほど、という事はここにいる全員既にルルーシュさんのギアスによって操られてる可能性もあるという事ですか
長門,可能性はある
キョン,な･････
長門,ルルーシュはギアスを使って様々な事を行っているその一つとして挙げられるのがブリタニアへの抵抗活動
キョン,抵抗活動？
長門,そう、ルルーシュはゼロ
キョン,なに！！？ゼロって･･･あのゼロか？黒の騎士団の？
長門,････
古泉,最初からあなたは普通の人間ではないと思ってはいましたが流石にここまでは予想外でしたよ。まさかゼロの正体があなただったとは
ルルーシュ,ふ･･････ふはははははははは！！
キョン,ル、ルルーシュ････
古泉,こちらとしてはあまり笑えるような状況ではないのですが････
ルルーシュ,ふん、だろうな。それにしても、念の為にお前以外に確認できたインターフェイスには全員ギアスをかけたのだが、よくもそこまで調べられたものだ
キョン,おいルルーシュ、本当にお前が････その、ゼロなのか？
ルルーシュ,あぁ、そうだ。俺がゼロだ
キョン,そんな････
ルルーシュ,情報統合思念体･･･時間と空間を超越する存在だったかいずれは正体がバレるとは思っていたが、まさかここまで早いとはな
古泉,いえ、寧ろ遅すぎるくらいですよ。統合思念体が個人の情報を収集するのにこれだけの時間がかかるなど普通では考えられませんあなたの情報統制が完璧であるが故、ここまで時間がかかったと言えるでしょう
ルルーシュ,誉め言葉として受け取っていく
古泉,先程あなたは長門さん以外のインターフェイス全員にギアスをかけたと言いましたがという事は、機関が送り込んだ調査員も･･･
ルルーシュ,あぁ、今や全員俺の操り人形だ
古泉,どうりで何も報告がないはずです。ところで、あなたは我々にもギアスを使用したのでしょうか？口ぶりから察するに、長門さんにはまだ使用してないようですが
ルルーシュ,いいやまだだ
古泉,まだという事はこの先使うという事でしょうか？
ルルーシュ,それはお前達次第だ
古泉,我々次第とは？
ルルーシュ,俺の正体を知ってお前達が何をしようとしているのかは知らんがその行動如何によってはギアスを使用せざるを得ないという事だ
古泉,それは脅しですか？
ルルーシュ,受け取り方は自由だ。別にそうとらえてくれても構わない俺はただ邪魔をしてほしくないだけだ、ゼロとしての行動をな心配しなくてもゼロとして涼宮ハルヒには一切関わるつもりはないあの女の能力の恐ろしさは俺も理解しているつもりだからな
古泉,やはり涼宮さんの能力についてもご存知でしたか
ルルーシュ,お前の部下があれこれ教えてくれたお陰でな。最初は俺も涼宮ハルヒの能力を利用してやろうと思っていただが奴と接していくにつれその感情は薄れていった
古泉,何故です？
ルルーシュ,あの能力を利用するには涼宮ハルヒを篭絡する必要があるだが知っての通りあいつの精神は不安定すぎる。とても篭絡するなど不可能だそして能力自体が強すぎる。俺の手にはあまる
古泉,なるほど
ルルーシュ,･･･それに、あいつはもうナナリーにとって最も大切な友達になってる。手は出せない
キョン,ルルーシュ･･･
ルルーシュ,さっきも言ったとおりゼロとしては涼宮ハルヒやお前達には一切関わらないそれでも何かしら俺の行動の邪魔をするというのなら･･･容赦はしないぞ
キョン,なぁルルーシュ、お前は何で祖国であるブリタニアと戦ってるんだ？確かクロヴィス殿下を殺したのってゼロだったよな･･･って事は
ルルーシュ,あぁ、俺が殺した
キョン,何でそんな事が出来るんだ？お前の兄弟じゃないのか？
長門,クロヴィス・ラ・ブリタニアとルルーシュは腹違い
キョン,腹違いったって兄貴である事に変わりはないだろ･･･なのに殺すなんて･･･
ルルーシュ,それはあいつがブリタニア皇帝の子供だからだ
キョン,皇帝のって･･･それはお前もそうじゃないのか？
ルルーシュ,あぁ。ブリタニア皇族は次の皇帝の座を巡り常に競い合っている･･･いや、競わされていると言った方が正しいかもな
キョン,競わされてるって誰にだ？
ルルーシュ,ブリタニア皇帝
キョン,皇帝･･･
ルルーシュ,兄弟同士で競わせ、最終的に勝ち残った者が次期皇帝となる兄弟とは言え容赦なく牙をむく、それがブリタニア皇族の慣わしだ
古泉,なるほど･･･それは分かりました。しかし他にも聞きたい事があるのですが
ルルーシュ,なんだ？
古泉,何故あなたとナナリーさんは今現在ブリタニア皇族としてではなくブリタニアの一般学生として生活しているのですか？
ルルーシュ,本国では俺とナナリーは7年前の戦争で死んだ事になっている
キョン,なに！？
ルルーシュ,ブリタニアが日本へ宣戦布告する少し前に俺とナナリーは外交の道具として日本へと送られていたんだ。だから本国では死んだ事になっている
古泉,何故あなた方兄妹が外交の道具に？
ルルーシュ,皇室内の誰かが俺達兄妹を国外へ追いやろうと仕向けたのだろう
古泉,追いやると言ってもあなたも皇族、そう簡単ではないのでは？
キョン,一人も？何でだ？
ルルーシュ,母は騎士候だったが出は庶民だ。他の王妃達にとっては面白くない存在だったんだろう。俺たち兄妹を含めてな
古泉,なるほど･･･その時の恨みを晴らすべく、あなたはゼロという仮面を被りブリタニアと戦っているのですね
ルルーシュ,それだけじゃない。一番はナナリーの為だ
キョン,ナナリー？
ルルーシュ,今はアッシュフォード家の協力もあり、何とか身を隠せているがそう長くは続かない。そもそもアッシュフォード家が俺達兄妹をかくまっている理由は弱体化した御家を万が一の時から立て直す為の最終手段として利用する為だからな
古泉,アッシュフォード家があなた方兄妹を支援している理由はそこにあったのですか
キョン,つまり、その前にブリタニアを打倒しようって事か？
ルルーシュ,あぁ、今俺達兄妹の生存が公になったら俺もナナリーも今度は死ぬまで外交の道具として利用される事になる目が見えず脚が不自由な皇女など、民衆の同情を誘うにはもってこいだからな
キョン,そんな･･･
ルルーシュ,俺が外交の道具になるのは構わんがナナリーをそんな目に合わせるわけにはいかない！だからこちらが気付かれる前に俺がブリタニアを壊す！そしてその為に必要な力が、このギアスというわけだ
キョン,！？
古泉,目を逸らしてください！！
キョン,うわ！！。な、長門！？
長門,動かないで
ルルーシュ,ふ、なかなか良い反応だ
古泉,どういうつもりですか？
ルルーシュ,なに、ちょっとふざけただけだ。さっきも言ったが俺の邪魔さえしなければお前達にギアスを使用することはない。もう目を合わせても大丈夫だぞ
キョン,ふぅ･･･。ありがとな長門
長門,･･･いい
ルルーシュ,俺が何故ブリタニアと戦っているか、何故一般人を装っているのかはさっきの説明で十分理解できただろう。で、これらの情報を得てお前達はどう出るつもりだ？
古泉,ゼロとして涼宮さんに一切関わらないという事であるならば、機間があなたを邪魔する理由は何一つありません
ルルーシュ,お前はどうなんだ長門有希？
長門,･･･情報統合思念体も現時点では古泉一樹と同じ見解を示しているでも、あなたの存在が涼宮ハルヒに何らかの悪影響を及ぼすようであれば話は別
ルルーシュ,ふん、どうやら話はまとまったようだな。俺はこれからもゼロとして黒の騎士団を率いブリタニアに対し抵抗活動を行っていく。お前達は変わらず涼宮ハルヒの監視。それでいいな？
古泉,えぇ、構いませんよ。機間の上層部へはあなたは普通の学生だったという事で通しておきますよ
ルルーシュ,上層部？俺が尋問した男はお前が組織の創設者だと言っていたが？
古泉,さて、何の事でしょう
ルルーシュ,ふん、たぬきが
キョン,なぁ、やっぱりこれからもブリタニアと戦うのか？
ルルーシュ,当然だ。ここまで来て今更引き下がるわけにはいかないそれに、この戦いはナナリーの為でもある。俺は絶対に諦めない
古泉,戦う以外の方法もあるのでは？例えば、先日ユーフェミア殿下が発表した行政特区を利用するという手もあるはずです
ルルーシュ,あれはただの罠だ。黒の騎士団が特区に参加する事になれば武装を解除し無力化に成功、参加を拒否すれば特区を支持する日本人の反感をかい民衆の支持が失われる。どちらを選択してもブリタニアが優位に立つ仕組みになっている
キョン,あの皇女殿下がそこまで考えてたってのか？何だか意外だな･･･
ルルーシュ,いや、ユーフェミアはそんなに頭の回るタイプじゃない恐らく誰かの入れ知恵だろうな(シュナイゼルか？)
古泉,どちらをとってもアリ地獄ですか。しかし、ではどうするおつもりなのですか？
ルルーシュ,簡単だ、ユーフェミアを使う。あいつにギアスをかけ式典の場で暴れさせ、特区構想はブリタニアによる巧妙な罠であったと日本人に思わせるそうすれば、期待に胸を膨らませていた日本人は怒り狂いだろう
古泉,････そこでゼロが登場というわけですか
ルルーシュ,そうだ。民衆の反ブリタニア感情は勿論黒の騎士団の士気も一気に高まるそしてそのまま東京租界へ進軍し、政庁を落とし独立宣言をする
キョン,独立宣言って、国でも作るつもりか？
ルルーシュ,あぁ
キョン,マジかよ･･･
古泉,確かにユーフェミア殿下にギアスをかければそのような状況を作り上げる事は簡単でしょうねしかし、あなたは本当にそれでいいのですか？
ルルーシュ,何が言いたい？
古泉,いえ、特には。ただ、あなたは善人です。そのような策略を巡らす一方内心は胸を痛めているのではないかと心配しましてね
ルルーシュ,善人？人の意思を捻じ曲げ自分の道具として利用している俺が善人だと？
古泉,行動のきっかけが妹であるナナリーさんの為というのが証明していますよそれに、本当に悪人であるならば我々の正体が分かった段階で有無を言わさずギアスをかけて操っていたはずです
ルルーシュ,････
古泉,しかしあなたはそれをしなかった、何故か
ルルーシュ,それは･･･
古泉,我々に情が湧いたから･･･ですよね？
ルルーシュ,････ふん
古泉,当初はただ利用するつもりだったはずが、その者達と付き合い続ける内に当初では考えられなかったような感情を抱くようになるよくある事ですよ。実は、僕も似たような経験をSOS団でしていましてね
キョン,ルルーシュ････
古泉,あなたは実に友達想いの人です。そのような人間が目的の為とは言え人々を欺き続けるのは辛いのではないかと思いましてね
ルルーシュ,余計なお世話だ。俺はクロヴィスを殺した時に覚悟を決めている修羅になってでもブリタニアを崩す。絶対に
古泉,そうですか
ルルーシュ,今日はもう終わりにしよう。明日も朝が早い
ハルヒ,今日は一日自由行動にしましょう！各自行きたい所に行ってやりたい事をするってことで！いいわね？
キョン,別に構わないが、それじゃみんなで一緒に旅行してる意味ないんじゃないのか？
ハルヒ,今までずっと一緒だったんだから、一日くらいそういう日があってもいいじゃない！という事で、私はナナリーとハウステンボスに行く予定なんだけど他に一緒に来たいって人はいる？
キョン,俺はパス。何をしても自由なら部屋に戻って休む
ハルヒ,なによ、オヤジ臭いわねぇ
古泉,僕も遠慮しておきます。他に行って見たい所がありますので
みくる,私は一緒に行きますぅ～
ハルヒ,有希は？
長門,･･･いい
ハルヒ,ルルーシュは？
ルルーシュ,俺は文化祭のピザ作りの件でいろいろとやっておかなければならない事がある悪いがナナリーを頼むぞ
ハルヒ,文化祭！？そうだわ、超巨大ピザ作り！すっかり忘れてた！！
キョン,忘れるなよ言いだしっぺ
ハルヒ,うるさいわね！ルルーシュ、文化祭の件任せたわよ！ナナリーは私が責任をもって預かっておくから
ルルーシュ,あぁ
キョン,ところで帰りは何時くらいになるんだ？
ハルヒ,そうねぇ、あんまり遅くはならないと思うわよ。6時にはホテルに戻るわ夜はみんなで一緒にご飯を食べるから、勝手に済ませないでよね！
キョン,はいはい
ハルヒ,じゃあ行きましょうナナリー、みくるちゃん
ナナリー,はい、じゃあ行ってきますお兄様
ルルーシュ,気をつけてな
キョン,さて、俺は部屋に戻るかな
ルルーシュ,ところで、お前が行きたい場所ってのは何処なんだ？
古泉,おや、興味がおありですか？
ルルーシュ,昨日の今日だからな、お仲間に何かいらぬ事を報告しに行くつもりではないかと思ってな
古泉,昨日も言いましたが、現時点で我々機関はあなたに対して何かするつもりはありませんよあなたの正体に関してだって、他の者には決して口外しません
ルルーシュ,だといいがな
古泉,ふぅ、信用ないですね
キョン,どうでもいいが、夜までにはホテルに戻ってこいよ。ハルヒを待たせるとまた余計な仕事が増えるだけだからな
古泉,えぇ、分かってます。では失礼します
ルルーシュ,さえ、そろそろ貴族様に連絡を入れるか
キョン,貴族って、文化祭の資金提供やらいろいろと支援してくれるっていう例の放蕩貴族か？
ルルーシュ,あぁ
キョン,なるほどようやく分かったぞ。お前その貴族にギアス使ったんだろ？
ルルーシュ,よく分かったな、お前にしては上出来だ
キョン,そんな事でもしない限り、学生に無償で資金を提供してくれる奴なんているわけがないからな。何て命令したんだ？俺の言うとおりに行動しろとかそんな感じか？
ルルーシュ,いいや、俺の奴隷になれだ
キョン,･････(鬼め)
ルルーシュ,････遅い。遅すぎる
古泉,涼宮さんは確か6時には帰れるとおっしゃっていましたよね？いったいどうしたのでしょう･･･
