母,じゃあ、姉妹三人で仲良くするのよ
杏子,。やーれやれ。あいつら、こねーよな？。言ってみるか、ほむらんち。もしかしたら、ただの勘違いかも知れないしな
リボほむ,
マミ,
杏子,おい、ほむら。ほーむらー。返事なし
リボほむ,どうなのかしら、もしかすると風邪でダウンしてるとか
杏子,ま、どっちにせよ会った方がいいな
リボほむ,
杏子,サンキュあん？
マミ,？
杏子,空いてるぞこれ
リボほむ,え？
杏子,薄暗ぇなんだこりゃ
マミ,つっ！
リボほむ,大丈夫？
マミ,え、えぇ、平気。何か踏んでしまって？！？
杏子,っ！？
リボほむ,な、にこれ！
杏子,おいっ！！ほむらっ！！ほむらぁ！！！。銃痕？。おいっ！あいつは本当にただの風邪なんだよな！？
リボほむ,そ、そのはず！
杏子,何だよこれ！何が起きてんだ！。やっぱりあの時感じた魔力は！！。くそっ！！
マミ,ま、待って！佐倉さん！
杏子,あぁ！？何を待つって！
マミ,こ、これ
リボほむ,！！！！
杏子,何だよこれワルプルギスの。ワルプルギスの夜！？。出現地点出現時刻撃退方法！？。おい、なんだこれ！あんた達一体！
リボほむ,。いつか必ず話すから。今は、あの子の事を
杏子,ちっ！。絶対教えろよ！
マミ,佐倉さん！あぁ、もう！。私達は暁美さんを探してくる！あなたも見つけたら教えてちょうだい！
リボほむ,え、ええ
ほむら,。何を。何をしているの、私は！。まどかを、助けるんでしょ？そう、決めたんでしょう？。うっぐぅおぇえええ！。最悪の、タイミングね！。だから、本当、あなた達が嫌いよ魔女！
杏子,どこだ！どこに行きやがった！あの馬鹿！
マミ,さ、佐倉さん
杏子,何してんだよ！あんたも探せよ！
マミ,あ、あれ！
杏子,あぁ？！。馬鹿は高いところがってか。くそがっ！！
リボほむ,。私とは違う結末を、辿る。そうよね？。あなたは、こんな所で立ち止まるはず、ないわよね？
さやか,全くー、全然皆で遊ぶ機会ないじゃん
まどか,ま、まぁまぁきっとみんな忙しいんだよ
めがほむ,そ、そうですよ
さやか,それにしたってさー
QB,やあ
さやか,うわっ
QB,結局君は僕と契約してくれなかったね
さやか,そ、それはその
QB,いや、いいよ、君がそう決めたのなら、それに従うべきだ
さやか,あんたって、どこにでも現れるのね
QB,さやか、いや、君じゃなくてもいい
さやか,？
まどか,？
めがほむ,？
QB,誰か1人でいいから、僕についてきてくれないかな、保険として
さやか,保険？
QB,暁美ほむらが、呪いを生み始めた。非常に危険な状態だよ、正直、いつ死んでもおかしくない
ほむら,不覚、ね。こんな奴にしてやられるなんて
魔女,ｷｬﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!
ほむら,ぎっ！あぁぁぁぁぁ！
魔女,ｷｬﾊﾊ
ほむら,？
魔女,ーーーー
ほむら,っっ！！！！。せ、しん攻撃っ！？。やめて！！！！！。やめ、て
杏子,はぁ！はぁ！
マミ,魔女結界！
リボほむ,
杏子,お前居たのかよ
リボほむ,たった今ついたところよ
杏子,ほ、むらは？
リボほむ,恐らくこの中ね
杏子,おら、何してやがる行くぞ！
魔女,ｷｬﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!
ほむら,
杏子,ほ、む！
マミ,あの傷！
魔女,
ほむら,
リボほむ,っ。こんな傷魔力を消費したところで治るの？。！！。ソウルジェムが！！！！！
魔女,ｷｬﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!
杏子,偉そうに、盾ってか。。ほむらを、離せ。離せえええぇぇっ！！！！。っ！
リボほむ,！？
マミ,これ、って！！？
杏子,なんだよ、これ！。これ映ってんのあたし達かよ？
QB,そうだよ
杏子,っ！
QB,どうやら、間に合ったみたいだね。その魔女は、他者の過去を引き出して投影する力があるようだ。だけど、この魔女に名前を付けることは出来ない
さやか,なに、これ
まどか,ひっ
めがほむ,！
QB,あまり目を逸らさずに、きちんと見ておいた方がいい。これは彼女の、記憶であり、彼女を形作る、過去なんだから。全部全部、彼女の過去だ。そこにいる、2人の彼女のものじゃ、無い
リボほむ,
めがほむ,
杏子,な、何言ってんだ！時間遡行！？魔女化！？。そんな事があるわけ！！
QB,彼女はこの世界を何度も繰り返してきた。目的は、これを見ていたら、もう言わなくてもわかるよね？
マミ,嘘嘘よ！
QB,僕らに感情はないけれど、酷いものだね。彼女が過去に吐いた言葉や、起こした行動、それを全て無にして彼女はやり直そうとしている
リボほむ,知った口を！！
QB,でもそれは、事実だろう？
まどか,ほむらちゃんが。ほむらちゃんはずっと私を助けようとしてくれてた？
ほむら,ふ、ふ、ふふふ。ふふ、あははははは！。あはは、あっはははははははは！！！！。はははははははははははははははははははははははははは！！！！。はははははははは！！！
QB,逃れられない現実に耐えられなくて壊れてしまったようだ。彼女はもう、魔女化を免れない。あのソウルジェムが黒く濁りきった時、彼女は魔女になる
ほむら,ははは！は！はははは！！あっはははは！！
めがほむ,。笑わないで
ほむら,は、はは
めがほむ,
ほむら,それを、外せ。私は、弱い自分なんか、見たくない。外せ、外せ、外せ。はははは、はは
めがほむ,ねぇ、お姉ちゃん。あの時、お姉ちゃん、痛くないって言ったね。魔法少女は、痛みを消せる、そうだよね？
ほむら,何を
さやか,諦めるなよ。あんたは、まどかを救うって、約束したんだろ！
ほむら,
杏子,なぁ、ほむら。あんた、それでいいのかよ。それで、本当に、満足なのかよ
ほむら,。私は、今まで。あなた達に、酷いことをした。最初は辛かった、辛かった、辛かった。でも、今は、辛くない。それが、私。目的のためなら、どんな辛酸だって、泥水だって啜れる。慣れることが出来る。ふ、ははは！だってそうよね！当然よね！。私は！魔法少女なんだもの！！！！
めがほむ,
ほむら,あ？
めがほむ,痛くないなんて、嘘だよ。そんな事、あるわけない
ほむら,
杏子,おい！焔！近付くな！！
めがほむ,ここが、痛いんでしょう！！！？
ほむら,っ
めがほむ,どんなに痛みを消すことが出来たって、消せない痛みもある！。ここが！痛いんでしょ！！。心がっ！！！痛いでしょ！？。じゃなきゃ、あんなに辛そうな顔しないよ
ほむら,
さやか,帰ってこいよ、ほむら
杏子,あんたはまだ、その願いさえ、叶えてないんだろ？
マミ,。私も頑張るから。一緒に頑張ろう？
ほむら,。何で？。馬鹿じゃないの？。あれだけ沢山のこと、私はした。許されないことを沢山。あなた達の思いを沢山踏みにじった。それなのに、どうしてあなた達はそんなに、優しいの？。許さないって言ってよ。お前なんか、死んでしまえって、言ってよ！。私なんて！魔女になって当然の！
杏子,死ぬな、ほむら
ほむら,っ！！！
さやか,生きてよ、そんでまた皆でお茶会するんだ
マミ,
リボほむ,それは紛れもなく、あなたよ。あなたが、諦めなかったから。さやかの行く末を、見ていられなかったから。マミと杏子、2人が再び道を交わらせることを、思い描いたから。そして
まどか,ほむらちゃん
ほむら,ま、どか
まどか,一人で背負い込まないで。私にも、分けて欲しいな、ほむらちゃんのモノ
リボほむ,まどかを、思い続けていたから。何か一つでも欠けていたら、こうはなっていなかった。全てには、意味がある事だった。馬鹿ね。あなたが、ずっとずっと欲しかったもの。もう既に手に入っていたんじゃない
ほむら,あぁああぁぁぁっ！！！
QB,馬鹿な。ソウルジェムはもうグリーフシード化寸前だ！。どこにそんな力があるというんだい！？
ほむら,離せ！。私はまだ諦めちゃいない！。こんなもので、私を縛り付けた気にならないで！。ただっ私は！。みんなと生きていたい、だけなのよっ！！！！。はぁっ！はぁっ！
魔女,ｸﾞｷﾞｷﾞｱｧｧｧ！！！。ｱｧｧｧｧｧｧ
ほむら,罪は、必ず償うわ。でも今は。今だけは
デビほむ,。罪を忘れるわけじゃない。その罪を償うからね。私とは違う答え、違う考え。。雨が、上がった。そう、そうなのね。あなたは、そういう考えをするのね。確かに、罪自体を消し去ってしまう私とは、相対する考え方ね。。見せてもらうわ。あなた達が勝ち取った、ワルプルギス撃破にこれまでになく近付いた機会。それをどうするか、見ててあげる。そうして、出来ることなら。もう、引き返すことなんで出来ないけれど。私にも、教えてちょうだい。何が正しくて、何が間違っているのかを。あなた達にとっての、奇跡を
リボほむ,魔法少女の歴史上最悪の魔女。災厄の象徴。あいつが振りまくのは、絶望ですらない。圧倒的な、破壊。私が何度も繰り返しても、とうとうあいつを倒すことは出来なかった。撃退さえも、不可能だった
杏子,
マミ,
さやか,
めがほむ,
まどか,
杏子,勝てんのかよ、そんな奴に
リボほむ,
杏子,お前、ほむらの未来なんだろ？
リボほむ,ええ、そうよ
杏子,。なんでんなこと早く教えてくんなかったんだって怒鳴ってやりてーけど。勝算はあるのかよ？。あんたがほむらがいくら繰り返しても勝てなかった相手に、勝てんのかよ？
さやか,き、杏子！
リボほむ,。そんなもの、無い。無かったら、あなたは諦める？
杏子,。。けっ、割に合わねー戦いだよ。やってやろう、やってやろうじゃんか
マミ,
杏子,大丈夫だ、マミ。誰も魔女になんか、させねー
マミ,そう、よね
めがほむ,き、きっと、きっと皆さんなら勝てます！私はそう、信じてます！
リボほむ,
さやか,まだ、お茶会の約束は、果たしてないんだからね
まどか,。ほむらちゃん
ほむら,
まどか,怖い？
ほむら,。いいえ。あなたが、居てくれるもの。私は、勝つ。あなたを、守るためじゃない。あなた達と、笑って過ごせる未来のために
杏子,来るぞっ！
マミ,
リボほむ,
ほむら,。行くわよ！
ワルプルギス,ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!
QB,魔法少女の歴史上最悪の魔女。勝つ見込みは、贔屓目に見ても３％、といったところかな。なるほど、それでも君たちは立ち向かうんだね。どうしてその歩みを止めないんだい？どうして、諦めようとしないんだい？。心の願いと、奇跡の力か。そんな不安定な要素に全てをかけるとができるほど、僕らは愚かじゃない。僕らはね。やぁ、戻ってきたのかい、君達
まどか,
QB,契約する気になったら、いつでも声を掛けてよ。僕はそれを、決して拒みはしないよ
まどか,
杏子,らぁぁぁぁぁぁっ！！！
マミ,ティロ・フィナーレ！！
リボほむ,たぁぁぁぁっ！
ほむら,。たぁぁぁ！！
マミ,ぐうっ！
杏子,マミ！
マミ,だい、じょうぶ！まだ、やれる！
杏子,！くそっ！
リボほむ,。たぁぁぁっ！！
ほむら,たぁぁぁ！！
ワルプルギス,ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!
ほむら,このっ！！
杏子,落りてこいこの野郎！！！
リボほむ,！
杏子,今だっ！！ぶち込め！！
マミ,ティロ・フィナーレ！！！
リボほむ,やぁぁぁぁぁっ！
ほむら,
ワルプルギス,ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ。ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!
ほむら,ぐぅっ！。ここからよ！！。手を休めないで！
リボほむ,ぐっあぁ！！！
杏子,炎っ！！！。このぉっ！！
ワルプルギス,ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!
杏子,ちょこまかうざいんだよ！
マミ,くぅ！
ほむら,！
杏子,ほむらっ！！
マミ,暁美さんっ！！
ワルプルギス,ｱﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊﾊ!!!!
杏子,ほむらぁぁっ！！
マミ,暁美さん！！！
ほむら,温いわね！。私が何度、あなたと戦ったと思ってるの！？。。これで、やっと、倒せる。これで、やっと！
まどか,
ほむら,ま、どか？。まどかっ！？！？
QB,
ほむら,お前の！また、お前の仕業！？。あ、あ
杏子,ほむらっ！？。な、何してんだよ！？今！
ほむら,あ、ぁぁ。あぁぁぁぁぁ！
杏子,ほ、むら？
ほむら,どこに、まどかが死ななくちゃいけない理由があるって言うのよ！！！！！！！
デビほむ,。。まどかの死を、世界が望んでる。私には、世界を変えない限り、まどかを救うことが出来なかった。いいものを見せてもらったわ。やっぱり、私は間違ってなかった。悪魔になるしか、なかったんだ
リボほむ,死んで、ないっ
ほむら,う、ぁ？
デビほむ,っ！？
リボほむ,もう諦めるのはやめなさい！。耐え難い絶望も、深い悲しみもあなたは充分味わったのでしょう？げほっげほっ！
まどか,
リボほむ,気絶しているだけ彼女は、紛れもなく生きている
ほむら,ど、うして？。な、んで？
リボほむ,あなたの魔法時間停止はあなただけに、作用する魔法。体の一部が触れることで、あなただけの世界に入る権利を得ることが出来る。私が入れないわけ、無いじゃない？
ほむら,あぁ、ぁぁ！
デビほむ,有り得ない。こんなこと、有り得るはずがない。こんなっ！土壇場で！。こんな、奇跡っ！
リボほむ,奇跡なんかじゃない。あなたが何度も繰り返したことで、私が現れた。これは間違いなく、あなた自身が自分で選んだ、その結果よ。魔力が、無いならこれを使いなさい。今なら、倒せるげほっ！。きっと、彼女は、味方してくれる！！！
ほむら,。。。あなたはどんな状況であっても、私の光で居てくれた。どんな事があっても、私にとっての道しるべで居てくれた！。あなたは、いつでも、「鹿目まどか」だった！！！
QB,やられた、か
杏子,やった、のか？。やったのかよオイ！！？
マミ,はぁ！はぁっ！
杏子,倒したんだな！？ワルプルギスを！あたし達で！！
ほむら,え、えぇ。そうよ
まどか,んぅ。ほむらちゃん
ほむら,まどか
まどか,えへへほむらちゃん！
ほむら,
まどか,おかえり！
ほむら,。どういう状況？これ？
さやか,んぁ？
杏子,いってー、体バキバキだぞ
ほむら,昨日の夜からこそこそしてると思ったら。人の家で、何をやってるの？。あぐっ！
リボほむ,ほら、まだ寝てなさい、完全回復した訳じゃないんだから
ほむら,むしろ、瓦礫を全身に浴びてピンピンしてるあなたの方がおかしいわよ
リボほむ,私はあなたと違って何故か魔力の容量が大きいからね。
ほむら,
杏子,だってよ、他の奴らの家ってほとんど壊れちまってんだもん。聞いたか？マミのマンション何か全壊だぜぷっくく！
マミ,人の不幸を笑うもんじゃありません！もうあなたは出入り禁止！
杏子,うっ、嘘嘘！嘘に決まってんだろ！
めがほむ,これを、こうして
まどか,うわぁ焔ちゃんお料理上手なんだね
めがほむ,そっ、そんなこと無いですよ！大半はマミさん作ですから！
マミ,あら、なかなか筋がいいわ、どこかの誰かと違ってね
杏子,うっせー！
さやか,もー、キンキン叫ばないでよー
ほむら,。
リボほむ,良いのよ
ほむら,っ
リボほむ,あなたが、勝ち取った今でしょう。罪なんて、償わなくていい。あなたはもう充分、苦しんだ
ほむら,
まどか,ほむらちゃん
ほむら,！！
まどか,今まで、ありがとう。これからも、よろしくね
さやか,はいそれでは。見滝原魔法少女の、祝勝会。リーダーらしきほむらに変わり、せん越ながら私が乾杯を言わせていただきます
杏子,うぜー、ちょーうぜー
さやか,見滝原魔法少女の、勝ちを祝って。かんぱーーーい！！！！。って、ちょ！いきなり人のもの取らないでよ！
杏子,はい、早い者勝ち
めがほむ,わっ！これ、美味しい
リボほむ,そうでしょう、この紅茶、美味しいのよ
マミ,こうやって茶葉を蒸らしてからね
ほむら,
まどか,
さやか,何してんのさ、二人とも。食べ物なくなっちゃうぞー、ひひひ
まどか,ふふ、ほむらちゃんの分も取ってくるね
ほむら,あ。。。言葉が見つからないよ。何度、ありがとうって言ったって、足りないよ。。っ！？。何よ、これ？。真っ暗ここはどこ？
デビほむ,こんにちわ
ほむら,あなたは？。私？
デビほむ,。喜んでいるところ残念だけど、あなたが今見てるのは、夢よ。現実のあなたは、ただ単にインキュベーターの実験台として幸せな夢を見せられているだけ
ほむら,
デビほむ,冗談よ、怖い顔しないでちょうだい
ほむら,ここから、出しなさい
デビほむ,まぁ、待ってちょうだい。私の話、聞いてよ
ほむら,？
デビほむ,ふふ、口で説明するのも飽きたし、私の成り立ちについて手っ取り早く教えるわね
ほむら,ぐっ！？。ぐぅはぁっ！
デビほむ,理解出来た？
ほむら,あなたは！！
デビほむ,
ほむら,いえ、あなたを、責めるのは間違っているわね。確かに、どうしようも、無かった
デビほむ,。ねぇ、私は、間違っていたのかしら？正しかったのかしら
ほむら,？
デビほむ,私はまどかを引き裂いて、この力を手に入れた。私は、まどかの願いを踏みにじった。どう思う？
ほむら,。仕方のない、事よ。私が同じ立場でも、そうしてる
デビほむ,
ほむら,
デビほむ,じゃあやっぱり、私は正しかったのね。私は、悪魔になるしか
ほむら,どう答えて欲しいの？
デビほむ,何？
ほむら,あなたは、どう答えて欲しいの？
デビほむ,どういう意味かしら？
ほむら,。
私が、,同じ暁美ほむらなのに、あなただけなんて可哀想！」といえば満足？
ほむら,それとも、「あなたがやった事は許されない！」と責めれば満足？。違うでしょ？。それを、答えるべきは私じゃない。あなた、自身じゃないの？
デビほむ,
ほむら,結局あなたにとって、自分が間違いだった、正しかったかなんて、どうでも良かった。ただ、私は生まれついて自分のことしか考えられない悪魔のような人間だった、と思いたかった。人間で、居たくなかった
デビほむ,
ほむら,心が、悪魔なら、もうきっと、あなたとまどかはわかり合うことが出来なくなる。それで良かった、それがあなたが犯した罪に対しての罰。まどかを、諦められる、希望を抱かなくて済む
デビほむ,なるほどね
ほむら,偽悪的、なんてものじゃない。本物の、悪になりたかった
デビほむ,
ほむら,だから、好き勝手私の頭をいじくり回したんでしょう？。あの子達が片付けてくれたのよ私の部屋
デビほむ,壊したのはあなたじゃない
ほむら,あなたが原因でね、同じことよ
デビほむ,そう。私は、悪魔で居たかったのかしら。そうすればもう、余計な希望を抱かずに済むから？
ほむら,さぁ、でもそれが、客観的な答え
デビほむ,
ほむら,ただ、まどかを諦めることの出来るあなたは。まどかと共に歩むことを諦めたあなたはもう、私じゃない。あなたは、私はだけれど、私はあなたじゃない。それだけは、間違いない
デビほむ,
ほむら,それでもなお、人に罵られたい？。人に蔑まれて、自分が悪魔だという証明が欲しい？
デビほむ,何を
ほむら,ふふ、こんな言葉を吐くのはきっと、一度きりよ。ざまぁないわね。はっ！
まどか,ほむらちゃん？
ほむら,ぐぁっ！？あぁぁ！
まどか,ほむらちゃん！？
杏子,おい！？ほむら！？
ほむら,だ、大丈夫！。ぐうっ！。
皆,
ほむら,大丈夫よ
さやか,はー、疲れたー
杏子,騒ぎすぎだってーの
さやか,あんたもねー
リボほむ,。あら
ほむら,！
めがほむ,んぐっ！
まどか,ほ、ほむらちゃんたち！
マミ,体が透けて
リボほむ,。ふふ、何を悲しむ必要があるのかしら。ここまで、もってくれて充分よ
めがほむ,あぁ
ほむら,あなた、達
杏子,な、何で！
リボほむ,この前言ったでしょ？。私達は、この世界の人間じゃない。だから、帰る時が来たの
さやか,も、もう会えないの！？
リボほむ,ええ、きっと
マミ,そんな
リボほむ,ふふふ、悲しむ必要なんてないじゃない。あなた達は確かな未来を勝ち取った、それだけで
めがほむ,
リボほむ,！
めがほむ,お姉ちゃん
リボほむ,お姉ちゃんね
めがほむ,
リボほむ,羨ましいとっても、羨ましい。こんな風に、いつでもお茶を飲むことが出来るあなた達が。とっても
杏子,馬鹿野郎何言ってんだ。ここは、あんた達の場所でもあるんだぞ！
リボほむ,ええ、そうね
めがほむ,。私達、居なくなっちゃうんですね。もう、戻ってこれないんですね。でも、これは忘れません。私には、素敵な仲間と！。大好きな二人のお姉ちゃんが居たこと！！！
ほむら,えぇ忘れない、忘れるはずもない。あなた達がいたおかげで、私は救われた。あなた達姉妹のおかげで私は、救われた。私の、もう一つの大切な家族。さ、よなら！。これからも、よろしくね
めがほむ,それでここってどこですか？
リボほむ,分からない
恐竜,ギャオオオオ
ほむら,私が増えた
