主人公,おい、そこまでにしておけって。
レッド,……お世辞にも楽しそうな夢とは言えなかった。旅の序盤は、お前とそっくりな奴が、周りに傲慢に振る舞う。いや、奴は仲間という言葉すらも認めてはいなかったようだった。
ゴールド,…どこかで聞いたことがあるような話だ。
レッド,……奴は、自分はプログラムだと言い張りつづけながら、結局誰よりもプログラムらしくない行動をしていた。周りは驚愕し絶望を抱いた。そして、奴の行動から目を背けたい、しかし仲間として向き合いたい、その背反した二つの思いを胸に抱きながら、互いを励まし合った。外目から見れば、仲間として付き添っている彼らは結果的に奴の行動に感化されたことに間違いはなかったが。
ゴールド,そう見えるのかい。
レッド,……奴は結局のところ、周りと違う自分に嫌気がさして彼らと和解した。あれが、和解と言えたかどうかについては甚だ疑問点も残るが。
ゴールド,…よく喋る口だ。
レッド,……そんな一行は夢の中で、この山と至極似た場所に赴いて、これまた俺と至極似た男と対決をした。夢から醒め、暫く待っていると現実の方も、果たしてよく似た一行がここを訪れ、俺に勝負をしかけてきた。かくして、現実の彼らも夢の中の彼らも、長き旅は終わりを告げたのだった。…
ゴールド,…それで、終わりなのか？
レッド,……詳細に語るとすれば、まだ続きはある。だが、俺が言うべきことはもうない。それに、恐らく俺はもう夢を見ないだろう。つまり、そういうことだ。
ゴールド,俺も夢を見ていたよ。お前そっくりの奴が旅をしている夢をな。御想像の通り、名前も同じさ。。白と黒を基調とした世界ながら、彼らはそれを意にも介さずに、旅を続けていた。ある時は、下らない駄洒落を言い合い、ある時は下らない事で喧嘩をし、かと思えばその日の晩にはお互いが顔をあわせて朝まで飲み合わせる。それは夢を見ると変わらずその光景が映し出された。いつも、いつまでも。
レッド,……夢は、終わったのか？
ゴールド,…いや。今日も見た。いつもと同じだった。いつもとな。向こうのお前は自室のベッドに顔をうずめたままだった。あれは、当分起きそうにない。
レッド,……
ゴールド,…変わり映えのない光景を見るのはいい加減飽き飽きしたと思っていた。つまらない、退屈、夢を見るたびにそういった感情を抱いた。だけど、退屈だと思えるその瞬間が、本当に幸せだったんだな。退屈じゃない今になってわかるったことだ。
レッド,……目に見えない幸せは退屈そのものだ。それよりか、実感できる幸せの方が数万倍いいだろう？
ゴールド,その通りだな。あんたは今、幸せそうだ。
レッド,……お前はここにいてはいけない。外へ出るべきだ。幸せというものは一瞬で通り過ぎるんだ。その一瞬をここで迎えるのは、俺としても忍びない思いだ。
ゴールド,あんたはわかってないな。俺は今、不幸真っ最中さ。こんな湿気た場所で、湿気たお前と話をしているんだからな。言われなくても、そうさせてもらうぜ。。向こうで会ったらよろしく。
ワタッコ,あー！ゴールド、探したのよ！どこ行ってたの。
ゴールド,やまびこ…ちょっと、散歩をな。
ワタッコ,時間がないわ。アメリカン、しっかり運びなさいよ！
ネイティオ,時間外勤務は俺のポリシーに反するんだが…しゃーない！ゴールド、地面と熱いベーゼを交わしたくなかったらしっかり掴まっていろよ！
ゴールド,お、お前ら。どこへ連れていくんだ。
ドーブル,おや、どうやら来たようだね。
ネイティオ,ゴールド、一丁お待ち。
ゴールド,お前ら！どうして集まっているんだ。
ゲンガー,おやおや。私たちは旅をともにした仲間ではありませんか。全員が集まるのは至極当然のこと。
ゴールド,いや、だけど先日の…
ドーブル,あの後、ビルゲイツ君が皆を周って、説得したんだ。散り散りになってしまった仲間を一人づつ周り、熱心にこれからの事について話したそうだ。
ワタッコ,消えるのは誰だって怖い。だけど、それよりも今までいた仲間と離れたままになってしまう方がより恐ろしい、と言われた日にはねぇ。私もそこで目が覚めたわ。自分の身を優先するとか、仲間を優先するとか、そんな客観的な意見は関係ない。ゲイツの言われたことに反論ができなかったよ、私は。
サイドン,あんな真剣なゲイツさんはきっと金輪際見られないっす。
ゴールド,ゲイツ、お前…
オーダイル,…“一応”主役格だからな。それ相応の働きをしないと、どこかからクレームがきそうでね。それと、お前ら！
コラッタ,は、はい！おやびん！先日の件は本当にすいませんでした！！
オタチ,盗み聞きをした上に、周りに吹聴したりしてしまって、俺たちはもうここにいる資格はないんです！！
ゴールド,…上手く手なずけたじゃないか。次は、ブリーダーにでもなるのか？
オーダイル,悪くない案だ、念頭においておくよ。ほら、もういいよ。お前らは悪くない。
ゴールド,それで、どうしてこの場所に集めたんだ？
ウインディ,貴様はいつまで経っても視野の狭い男だガウ。周りの景色を見てみろガウ。目の前に現れる巨大な滝、滝つぼの周りを覆う常緑樹の緑、緑、そして緑。集団で固まった緑からはみ出すようにして、生えている、芽吹くことの無いしかし芽吹く寸前の木々もまた美しい。崖に立って下を覗けば、そこには果てなき世界が我々に食いかかる。そう、ここは渓谷！芸術家なら、誰もが感銘をうけるような光景が一面に広がっているガウ。
ゲンガー,おやおや。先程、私から受けた説明を一字一句違わずに彼に伝えるとは。見事な芸当だ。
ウインディ,ぐ、黙っている約束であった筈だぞ、ゲンガー殿。
ドーブル,いい景色だ。流れる滝、風になびく草木、そして皆笑顔の仲間。私の生涯の中で最高傑作になることは疑わないな。
ゴールド,なあはっとり、確かにお前の熱意は痛いほど伝わってくるんだが、いい加減水墨画から離れたらどうだ？
ドーブル,君には、まだわからないかな。全ての色の根源は大よそ白と黒だ。白と黒の二色だけで伝えたい物は表現できる。それも、より詳細に、より美しく。
ゴールド,…うーん。わかるような、わからないような。
オーダイル,はっとりさん。絵を見せてもらっていいですか。
ドーブル,いいとも。ちょうど終盤部分が描き仕上がったところだ。
オーダイル,見てよ。このふわふわした綿あめ、そしてこのしかめっ面、やまびこそのものだ。
ワタッコ,なによ。私はいつも笑顔を絶やさないプリティープログラムよ。
オーダイル,絵ごしに、快活さが伝わってくるのはアメリカン。
ネイティオ,オー！俺はいつだって快活マンさ！
オーダイル,その上には、やる気の無さそうに鼻くそをほじりながら三点倒立をしているゴールド、その周りにはいつものようにはしゃいでいるこものブラザーズ。
ゴールド,おい、どうやって鼻ほじるんだよ。
コラッタ,俺もうつってるのかー！！
オタチ,お前邪魔だー、みえないだろ！！
ワタッコ,少し後ろには、巨大ブラザーズのお二人、ゲイツとまさるが仲良く歩を進めているわね。
サイドン,おお！俺が大きい頃の絵っす！
オーダイル,いや、今も大きいよ。。そのすぐ後ろには、キャンバスを片手に、景色を眺めているはっとりさん。その横に並ぶようにしてエセキング、最後方には、いつも皆を観察している目を向けているゲンガー。
ゲンガー,おやおや。観察しているのではなく、勧賞しているのですよ。
ウインディ,我がどうしてこんなに小さく描かれているガウ！体型がコラッタと同じなんてどのように考えてもおかしいガウ！
オーダイル,今にも動き出しそうだ。でも、はっとりさん。絵の景色はこの場所ではないようだけれど。
ドーブル,ふむ。それは、この渓谷は“見て楽しむため”の場所だからさ。幾らこの場所が美しく、私の創作活動の琴線にふれても、その作品はこの場所より確実に見劣りした物となってしまう。その場所が美しければ美しいほどだ。だとしたら、本当に美しい場所というものは、敢えて手をかけず、このように遠くから眺めているべきだと私は思っているよ。頭の中の作品さ。
ゴールド,はぁ。相変わらず、芸術家のおっしゃることは難解だ。
コラッタ,うおお！いきなり空が点滅し始めたぞ！
ゲンガー,明るくなったり、暗くなったり。視力が落ちそうだ。
オーダイル,そちらはほろ酔い気分で出来上がっているみたいだね。
ウインディ,鼻歌気分で終われるというのなら、酒ぐらいいくらでも出すガウ。
ネイティオ,少しは話がわかるようになったじゃないか、爺さん！
ドーブル,不思議だね。手足の感覚がなくなってきたようだよ。筆を握っているのかいないのか、これではわからないね。どうやら作品は未完に終わりそうだよ。
ゴールド,それじゃあ、最後に巨匠の作品をもう一度目に焼き付けておくか。
ドーブル,ほら、新聞を読みながらブリッジしているゴールドくんが、特に自信があるよ。
ゴールド,親父か。
オーダイル,いや、普通の親父はブリッジしない。
ワタッコ,あら…その水墨画って、白と黒以外の色も使っているの？
ドーブル,いえ。使ってはいませんが。
ネイティオ,俺にもやまびこと同じだ！七色だ！
ウインディ,我には絵が動いているような感じもするガ…ウ。
オーダイル,…おかしいな。俺は絵が滲んで見えるよ。…どうしてだろうな。
ゴールド,はっとり、お前の言っていたことが…わかった、気がするぜ。よりわかる、より詳細にな。
ワタッコ,皆、泣いてんじゃないのよ。いつから、ここは…送別会張りの悲しさに包まれて…しまった…ひぐ
ドーブル,作品は未完などではなかったようだ。それぞれ異なっているが、今君たちが見えているものこそが、真の作品だ。
ゴールド,さてと、立っているのも疲れるし芝生の上にでも寝転がるか。
オーダイル,神秘的な光景だ。もう、外の音が何も聞こえない。空はまるでこちらに少しづつ手を差し伸べるかのように、せわしなく動いている。自分という存在がまるで空と一体化したような感じだ。
ゴールド,辞世の句ならぬ辞世の詩かい。こんな時にまで御陽気なことだ。
オーダイル,こんな時だからこそ、だね。
ゴールド,そうとも言えるな。
ワタッコ,白ね。一面真っ白だわ。皆、隣にいるの？
ゲンガー,残念ながら、皆が離れることはありませんよ。最後まで一緒ですよ。
ワタッコ,そう。残念。それは、非常に残念ね。
ゴールド,…声が、聞こえるのか？
オーダイル,聞こえるさ。視界は一面真っ白だけど。その内、体の感覚もなくなるだろうね。
ゴールド,俺は今までお前のことをずっと馬鹿にしていた。プログラムなのに、美意識を持つお前を変人だと思った。
オーダイル,人じゃないけどね。
ゴールド,…そうではなかったのかもしれない。本当は、誰もが持っていたものなのかもしれない。気づいていなかっただけで。
オーダイル,面と向かわない時は、随分と饒舌だね。
ゴールド,…ああ。まるで隣にいることを忘れるほどに、な。
コラッタ,ワニノコｗｗちょｗｗおまｗｗｗ
