戦士♂,そうだ。お前はひのきのぼうだ
勇者,え……小屋に……？
僧侶,でも安心して。国が、勇者に新しい家を用意してくれたんだって
賢者,まぁそのくらいの支援は当然でしょう
商人,ふむ。その家の規模によって、王の信頼の度合いが図れますな
戦士,ふん、どんな家だろうが住めば都だろう。あるだけマシだ
僧侶,神父さんの小屋も、家主が代わっただけで、なくなった訳じゃないから――
勇者,神父さん？。ねえ、君、なんで神父さんのこと知ってるの？
僧侶,えっ？やだなぁ、僕と勇者が、一番お世話になった人じゃないか
勇者,ボクと……君が？
賢者,まずい！過去の記憶が倒錯しては、勇者様に悪影響を及ぼす可能性も――。勇者様！
勇者,？
賢者,お下がりください。これ以上この者に関わってはいけません。商人殿、勇者様を離れた場所へ！
商人,えっ、ワ、ワシ？はぁ、賢者殿がおっしゃるなら
勇者,え、ちょっと何？この人は誰？ちょっと――
商人,まぁまぁほらほらさぁさぁ
僧侶,……えっ？誰？ってどういうこと？
戦士,俺は立ち合わせてもらうぞ
賢者,構いませんよ
僧侶,戦士さん、賢者さん。勇者はどうしちゃったの？
賢者,僧侶殿。いや、僧侶よ。残念ながら。勇者様は、二度とお前のことを思い出すことはない
僧侶,えっ？どうして？
賢者,私が勇者様の、お前に関する一切の記憶を消したからだ。もう、戻らない
戦士,……
僧侶,……。どうして、そんなことをしたんですか？
賢者,……勇者は、お前の事をいつも気にかけていた。魔王討伐に支障が出るほどに、だ。だから記憶を消した。おかげで旅は順調になった。これで納得できるか？
戦士,……
僧侶,……。そっかぁ。勇者は僕のことを、そんなに気にかけてくれてたんだ
賢者,！……だが、もう二度と思い起こすことはない
僧侶,良かった
賢者,！？
僧侶,僕なんかのために魔王退治が難航してちゃ、申し訳が立たないし。勇者が無事に魔王を倒せるなら、僕が持つものなら何でも差し出すよ
賢者,……別に、お前からなにか受け取った訳ではない。一方的に消したのだ。私は、お前が恨むべき存在になったのだぞ
僧侶,恨む？何を恨むというの？。逆に感謝したいくらいだよ。勇者が旅に専念できるようになったのなら
賢者,……二度と思い出さないのだぞ。旅が終わっても、平和な世界になっても
僧侶,だったら、なおさら安いものだよ。世界が平和になったのなら
賢者,……そうか。そういうことか。つまり。所詮、お前の勇者様に対する思い入れなど、その程度のものなのだな。勇者様にとぼけられても、特に何とも思わない、思えないというわけだ
僧侶,……ううん……。よく分からない
賢者,ふっ、安心した。お前がそういう了見ならば、こちらもやりやすい。多少なりとも抱いていた罪悪感が溶けていくようだ。いや実に馬鹿らしかった
僧侶,……よく分からないけど。きっと勇者は、僕のことを忘れてくれたほうが、幸せになると思う。そんな気がする
賢者,……遠回しに気取った自惚れかな？ふっ、心配には及ばない。勇者様は必ず、必ず幸せになる。この賢者の名にかけてな
僧侶,そう。よかった
賢者,では、僧侶よ。できるなら、もう二度と勇者様に関わらないで欲しい。何かの拍子に勇者様の記憶が戻ってしまっては、旅が遅延する恐れもある
僧侶,うん。……。分かった
戦士,……
賢者,それでは戦士殿、先を急ぎましょう。いよいよ天気も悪くなってきましたし
戦士,ああ。先に行っててくれ。俺は少しだけこいつと話がある
賢者,どうぞ。しかし、あまり長くならないように――
僧侶,戦士さん
戦士,……それはひのきのぼうか。なぜ持ち歩いている
僧侶,これは、僕です。前、戦士さんが僕にそう言ってくれたから、翌日に買ったんです
戦士,……まさかそれだけで、一人で、この雪山の頂まで登ってきたというのか
僧侶,そうですよ。いつも逃げてばっかだけど、でも、いざ戦うとなったら。突きが強いんです。今じゃあひのきのぼうは、結構使いこなせるようになったんですよ
戦士,……突きが強い……か……。……まさかとは思うが……。おい僧侶。これを抜いてみろ
僧侶,この剣は？
戦士,ものは試しだ、いいから抜いてみろ。抜けるかどうか、その一点だ
僧侶,はあ。あれ。これ固くて抜けない
戦士,……ふっ。返せ。まぁそうだな、万が一にもありえない話だったか
僧侶,どういう話なんですか？
戦士,お前はまだこれの域には達してないという話だ。つまり決して勇者たりえぬ、と
僧侶,はあ。はい。僕は、弱いですよ
戦士,自分で認めるからには、パーティーを外されたことにも異存はないな
僧侶,もちろんです
戦士,それが、勇者の判断によるものではなかったとしてもか？
僧侶,えっ、そうなんですか
戦士,今だからこそ明かすが、あれは勇者を除く三人で勝手に決めたことだ。勇者にはウソで言いくるめた。勇者は俺たちの言葉を信じ、納得した
僧侶,……
戦士,どうだ、これが真相だ。まだ俺たちを恨む気は起きないか
僧侶,はい。恨むだなんてとんでもない
戦士,なぜだ。なぜお前は、何の怒りも感じずにいられる
僧侶,ええっと……よく分かりませんけど。僕がパーティーを外れたのは、勇者が一人で決めたことじゃないって、いま知って。僕はちょっぴり嬉しかったです。それでとても満足しています
戦士,……ふん。俺は正直、お前を外したことは今でも後悔してない……が……。……すまなかったな……
僧侶,えっ？よく聞こえませんでした
戦士,いい。さぁ、俺の話は済んだ。もう行くぞ
僧侶,はい。ありがとうございました
戦士,礼を言われる筋合いはない。……最後に言っておく。お前は仮にも、魔王を打ち果たす者がいるパーティーの一員だった。そのことは大いに誇っていい。また、この先々を生き抜く力ともなろう。忘れるな
僧侶,うん。わかった。じゃあ、僕の方からも一つだけ
戦士,なんだ？
僧侶,ここから北の城に行けば、王様がオーブを渡してくれるはずです。それを持って、東の村に向かってください。魔の城へ続く道が開けるらしいです
戦士,！それは本当か？
僧侶,違うかもしれないけど、一応、それだけを勇者に伝えてください
戦士,……分かった。その伝言、確かに請け負った。では……。さらばだ
僧侶,さようなら、戦士さん。さようなら――。さようなら。勇者。勇者はもう僕のことは分からないだろうけど。僕はいつでも勇者のことを応援してるよ。頑張って。頑張って、勇者。……あ。雪。きれいだなぁ。さて。行こっかな。ここから折り返しだ。よいしょ
戦士,待たせたな。先を急ごう
勇者,あ、戦士さん。あの人と何を話してたの？
戦士,なに、一人旅の無事を確認していたまでだ。問題はないらしい
勇者,すごいねぇ。あの人、ボクとそんなに歳が変わらないように見えたけど
賢者,……はは。私だって勇者様とそれほど変わりませんよ
商人,あんな大罪人、気にするだけ無駄ですぞ！
勇者,そうかなぁ……
賢者,それより勇者様、雪が降ってきました。この様子だと吹雪きそうですね
商人,こりゃあ手がかりもないことですし、ルーラで城まで飛ぶことも考えるべきですな！
戦士,手がかりは、ある
商人,なぬ？
戦士,このまま、北の城の国王に会いに行くぞ。そこに恐らく、我々の求める情報がある
勇者,えっ、ほんと！？
賢者,ちょっと待ってください。まさかそれは、あの……少年から得た情報ですか？
戦士,そうだ。何か問題があるか？
賢者,追放者ですよ。なぜ我々が、彼の言葉に踊らされなくてはならないのですか
商人,ううむ確かに
勇者,でも、ボクたちが向かう先はどうせ一緒でしょ？
戦士,その通り。賢者よ、何が言いたいのだ
賢者,ルーラの話ですよ。我々は、あくまでパーティーの意志で行動しています。少年の言葉など鵜呑みにせず、きちんと雪山を探索しきった上で北の城に向かいましょう
商人,ええっ、そんな……へぶしゅんん
戦士,お前らしからぬ意地張りだな。もうここには何もなさそうに見えるが
賢者,私の意見を述べたまでです。最終決定権は勇者様にあります。いかがされますか？
勇者,えっ、ボク？……そうだね。じゃあ賢者さんの言うとおり、このまま山を降りよう
賢者,ありがとうございます
勇者,それより、吹雪いてきたね。さっきの人、大丈夫かなぁ
賢者,……
僧侶,あっという間に天気が悪くなっちゃった……。うう……寒い……。ただでさえ冷たいのに、またいっそう冷え込んできた……身体が凍えそう……。でも、負けないぞ。勇者は、魔王の本拠地に乗り込んで戦うんだ。それに比べたら、きっとこんなの全然たいしたことないぞ。……！。吹雪の中を狙ってきたんだ……ダメだ、逃げられない。戦おう。はぁ……はぁ……。……。この二匹の魂が、無事に山に還りますように……。はぁ……はぁ……。はぁ……はぁ……。……あっ！。てて……。しっかりするんだ。負けないぞ。……。いま夏なのに……。なんでこんなに寒いんだろう……。歩いても歩いても、おんなじような景色ばかり。まるでさっき勇者と出会ったのが、マボロシだったみたい。そうなのかもしれない。あまりの寒さに、頭がヘンになったんだ。全身が凍えちゃって……。すごく眠たいな……。……。いや。もうちょっと歩こう。頑張ろう。頑張ろう。……あ……。気付いたら吹雪が止んでた……。あっ。町だ！。町が見えてきた！あれがきっと西の町なんだ！。よーし、元気がわいてきた。なんだか空気もほんのり暖かくなってきたし。もう少しだ、頑張ろう――。！。後ろからだ！まだ走れるかな。はぁ……はぁ……。あれ？もう着いてた。ここが西の町かぁ。オレンジ色の風景。もう夕方になってたんだ。この辺は雪山と全然環境が違うんだな。暑いくらいだよ。それにしてももうクタクタだ……宿屋を探そう
幼児,あっ
僧侶,ん？やあ、こんにちは
幼児,たびびとさん？
僧侶,そうだよ
幼児,……。来て！
僧侶,あっ、ちょっと
幼児,ママ、ママー！おきゃくさん！
僧侶,宿屋の子だったんだ。ついてるぞ
幼児,……あれ？ママ？
僧侶,もしかして、あそこで麦の束を背負ってる人？
幼児,あっ、ママ！
僧侶,……あの女の人、足元がフラついてる。顔色に血の気がない……なんだかすごく疲れてるみたいだ
宿の女,は……は……。あ……
幼児,ママ！
僧侶,よいしょ
宿の女,！？
僧侶,運ぶんですよね。僕、手伝います。ははあ、貯蔵庫への補充ですね。いいですよ。後はやっておくので、休んでてください
宿の女,そんな……見知らぬ方にそのような……
幼児,こっち！早く！
宿の女,まあ……あの子ったら……
僧侶,僕は構いませんよ。あなたはベッドで休んでてください
幼児,早く！
僧侶,はいはい
宿の女,本当に……申し訳ありません……。山の方から来られて……あなたも疲れてらっしゃるでしょうに……
僧侶,よいしょ。僕、全然へっちゃらですよ。あれ？山から来たって言いましたっけ？。よいしょ。でも大丈夫です。こう見えて、元は勇者のパーティーにいたんです。っしょ
宿の女,……勇者様の……
僧侶,だから人一倍は、丈夫なんですよ。よいしょ
宿の女,……ありがとうございます……申し訳ありません……
僧侶,ふう、終わった
幼児,つぎはおそうじ！それがおわったらおりょうり！
宿の女,こらっ……いい加減にしなさい……
幼児,だってママ、すっごくつかれてるんだもん！
僧侶,そうですね。なんだか本当に体調を崩されてるようにみえますが
宿の女,いいえ平気です……お店もあけてますし……
僧侶,僕、実は僧侶なんですが、よければ具合をみましょうか？
幼児,そうりょさん！？はやく！はやくママをなおして！
宿の女,いえ……そんな……
師範,おい、しばらく店は休むって話だったじゃないか！
宿の女,あ……あなた……
幼児,パパ！おかえりなさい！
師範,！？誰だお前は！
僧侶,こんにちは。僕は僧侶です
師範,旅人か？悪いが今日は店じまいだ、宿なら他を当たってくれ
宿の女,そんな……この方は……
幼児,パパ、このひとはね、そうりょなの！。だからね、いまからママをみてもらうの！
師範,僧侶だと……？
僧侶,はい。よかったら、お力になれればと
師範,必要ない。私の妻の疲労は、呪文や薬で治るものではないのだ
宿の女,……
僧侶,えっ？それはどういう
師範,知る必要もない。さぁ、帰ってくれ
幼児,パパ……？
僧侶,はい。……そういうことなら、おじゃましました。ふう。なにやら訳ありだったみたいだなぁ。しかたない、他の宿を探そう。いやその前に、装備から整えたほうがいいかな。いたた！
大男,んん？坊主、道の真ん中でぼーっとしくさってんじゃねえ
僧侶,ごめんなさい。あ、かわのぼうしが
大男,これか。ほらよ……んん？。てめえ、そのデコのマーク見せてみろ！
僧侶,はい？
大男,こりゃ追放者の証じゃねえか！王都で何かやらかしたな！？
僧侶,ええっと
大男,おおいみんな！ここに追放者が流れ込んできてるぜ！
＊,追放者だって？。マジか？俺が知ってる追放者は、魔王軍と繋がってたって話だぜ！。ふざけんな、とっちめろ！町からつまみ出せ！
僧侶,あのう
大男,とはいえ、こいつはまだガキ。この町で何かしでかした訳でもねえ。だが、みんな用心しとけよ！もしこいつが妙な気起こしたら――
＊,おう、すまきにしてやんぜ！。雪山に放り出してやる！
大男,というわけだ。分かったな、小僧！！
僧侶,あのう。はい。分かりました。はあ。この額のマークが、そんなに大それたものだったなんて。この町には来たばっかりだけど、一気に過ごしにくくなったなぁ――
勇者,――結局、雪山には何もなかったね
賢者,はい。しかしこれで勇者様は、大陸一周を踏破したことになりましたね
戦士,無駄足を誤魔化すために、そんな言い訳を考えていたとはな
勇者,まったくの無駄足というわけじゃないでしょ。戦闘も含めていい経験になったし
商人,なかなかのゴールドも稼げましたしなぁ！
賢者,そういうことです。戦士殿も、またレベルを上げたではありませんか
戦士,ふん……。だが、まだ剣は抜けん……
町民Ａ,あっ、勇者様だ！
町民Ｂ,勇者様が帰ってきた！
勇者,えっ、なになに？
町民Ｃ,お帰りなさい、勇者様！みんな、勇者様が帰ってきたぞ！
＊,勇者様！勇者様！。戦士様もいるぞ！戦士様！。勇者様ばんざい！
商人,おっほほ、すごい歓迎っぷりですなぁ
賢者,ええ。これだけの人望を持つということは、それだけの器の持ち主という訳です
＊,勇者様かっこいい！。勇者かわいい！
勇者,わっ、ちょっと、参ったなぁ
＊,戦士様かっこいい！
♂,戦士様かわいい
戦士,ええい触るな！我々はまだ魔王を討ち取っていないのだぞ！
＊,ささ、皆様、新しく建てられた家があります！ご案内いたしましょう
商人,おお、頼みますぞ
＊,勇者一行にばんざい！。勇者一行に祝福あれ！
勇者,案内されるままに来たけど……。本当にこれがボクの新しい家？すごい……まるでお屋敷みたい……
商人,この立地で三階建てとは、並ならぬ待遇ですなぁ！
賢者,いいえ、世界を救うことを思えば、足りないぐらいではありませんか？
戦士,まだ救ったわけではない。もし魔王との戦いに敗れようものなら――。あっという間に昔の小屋に逆戻りだ。覚悟はしているのだろうな、勇者よ
勇者,ボクは小屋の方が居心地がよかったかも。だって小屋には……。……あれ？えっと小屋には……
商人,まあこれだけ広すぎるのも、一人で住むには考えようかもしれませんな！
勇者,う、うん、そうだよ、こんなのボク一人じゃとても生活できないよ
賢者,……一人では、そうかもしれませんね。しかし。勇者様が望めば、一人……あるいはその上にまた一人、二人と増えることもありましょう
勇者,？うん、そうだね！
戦士,ふん、品のない奴め……
商人,さて、先ほど町民に歓迎を受けていた際、有力な情報を得ましたぞ！
勇者,ほんと！？
賢者,さすがは商人殿、抜け目がない
商人,なんでも王様が、我々に直々に渡したいものがあるそうですぞ！。しかもウワサによると、それで魔王城への道が開けるとか！
勇者,えっ！
戦士,！魔王城への……
賢者,……やはりここに戻ってきて正解でしたね。手がかりは、国王が見つけ出していた
勇者,それじゃ、雪山で会ったあの人の言う通りだったね！
商人,いえ勇者様、これは始めから北の城に戻る案を出していた、賢者殿の功ですぞ
戦士,どちらでもいい。とにかく、道は開かれた。明日の朝にはさっそく城へ向かおう
勇者,うん、そうだね。そうしよう！
商人,今日の所はこの家に泊まりましょう。慣れない山越えでワシはもうへとへとで……
賢者,では、夕餉の準備をいたしましょう。食材を買い出して参ります
戦士,意外な一面を
勇者,ごちそうさま！すごく美味しかった！
戦士,……本当に美味い……
賢者,ありがとうございます
商人,いやぁ素晴らしい。賢者ともなれば、手料理もこなせるのですなぁ！
賢者,恐縮ながら、レシピさえあれば大したことはありませんよ
勇者,賢者さんすごいっ！きっと女の子にもモテモテだよ！
賢者,え。ええ、ありがとうございます……
戦士,だが、浮ついていられるのも今のうちだ。もう、魔王との決戦が近付いてきている。これが最後の晩餐になるやもしれん
勇者,最後にはさせないよ
戦士,む
勇者,ボクは、魔王を倒す。この平和が、いつまでも続けられるように……！！
商人,ほ、ほう……最初の頃に比べると、ずいぶん貫禄がつきましたな……
戦士,当然だ。そうでなくてはな
勇者,それじゃ、明日に備えて今日は解散！みんな寝坊しちゃだめだからね！。……今日この町に帰ってきて、多くの人たちに迎えられた。ボクの使命――必ず魔王を倒して、あの人々、一人ひとりの平和を約束すること。もう何の迷いもない。見てて神父さん、ボクは必ずやり遂げて見せます――
戦士,……やはり伝説の剣は抜けない。もう何十回と試して尚、抜けない。俺には、分相応の役割が強いられているというのか……ならば。その枠を塗りつぶした上で、限界まで腕を伸ばしてやる。俺の望む結末まで……！
賢者,決戦の時は近い。だが同時に、はじまりの時も遠くはない。魔王を倒し、世に平穏をもたらした時……万を持して、勇者様を迎え入れる。勇者様だけは何があろうと、その後の幸せもろとも私が守り抜いてみせる……
商人,ぐがー。ぐがー
町民Ａ,おい、勇者様を見たか？ずいぶん頼もしくなってたじゃないか
町民Ｂ,相変わらず可愛いかったしなぁ。ありゃ色気づいたら絶対べっぴんさんになるぜ
町民Ｃ,あら、もうお相手は決まってたわよ
町民Ｂ,えっ、誰！？
町民Ｃ,一緒にいた賢者さんよ。すごく素敵な方だけど、左手の薬指に指輪があったの。それでよくみると、勇者様も同じものをつけてるじゃないの！ホント驚いたわ
町民Ｄ,でも勇者様のは別の指についてただろ。まだそうと決まったわけじゃ……
町民Ａ,いやしかし、あの二人が結ばれれば、さぞお似合いだろうよ
町民Ｂ,うう……俺の勇者様が……
町民Ｃ,勇者様たちには、無事に魔王を倒して帰ってきて欲しいわね
町民Ｄ,そうそ、もう近々、魔王城に乗り込むんだろ？オーブがどうたらとかで
町民Ａ,ふっ、オーブか。そういやそんなもん盗み出したひのきのぼうがいたな
町民Ｃ,ちょっとよしてよ！もう勇者様御一行には関係ないんだから
町民Ｄ,今ごろどうしてんだかねぇ。ま、追放された以上、まともに世渡りはできんだろうさ――
道具屋,はっ、お前みたいな大罪人に売るものなんかねえよ。他を当たれ！
武具屋,ははは、装備なんてそのひのきのぼうで十分だろ。帰れ帰れ
宿屋,冗談じゃない、お前みたいなのを泊めたら、俺がこれから何と言われるか……！
僧侶,はぁ。他の宿屋までダメだったな。人のウワサって広がるもんだなぁ。僕がほんとは、何も盗んでないってウワサも広まらないかな。広まらないか。はぁ……今夜泊まるところどうしようかな。お金はあるのに、やっぱり野宿かな。……ん？あの子は？
幼児,……。そうりょさん、やっとみつけた
僧侶,どうしたの。もうこんなに暗くなってるのに
幼児,今日、パパがどーじょーにこもる日なの。だから、こっそりうちにきて。うちにきて、ママをなおしてあげて
僧侶,それはダメだよ。僕も君も、パパに怒られちゃうよ
幼児,でも、ママ、ぜんぜんなおらないの。ずっとつかれてるの。だからおねがい
僧侶,……。まぁどんな病状だろうと、回復呪文で楽にさせるぐらいはできるかな。あの旦那さんが言ってたことがちょっと気になるけど……
幼児,ね、はやく！はやく！
僧侶,わ。声が大きいよ
幼児,はやく！！
僧侶,わかったわかった、行くから行くから
幼児,ママ、そうりょさんつれてきた！
僧侶,こんばんわ
宿の女,まぁ……あなたは夕方の……
幼児,ね！えらいでしょ！
宿の女,なんということを……この方も疲れてらっしゃるだろうに……
僧侶,いいえ、僕のことなら大丈夫です
幼児,ね、ちゃんとママをなおしてね！おそと、みはってるから！
宿の女,もう……あの子ったら……。夕方の節も含めて……本当に申し訳ありませんでした……
僧侶,いいえ。僕は平気です。では早速ですが、身体の具合をお尋ねしてもよろしいですか？。僕、お薬作るのは得意なんですよ
宿の女,はい……ありがとうございます……ですが……。夫が言ったように……私の疲れは、薬では癒えないのです……
僧侶,それなら、回復呪文を。治るとまではいかずとも、多少は楽になりましょう。あなたは特にホイミに抵抗はありませんね？アレルギーとか、アンデッドだったりとか
宿の女,あの……申し訳ありませんが……。私には……一切の回復呪文も、効果がないのです……
僧侶,えっ、どういうことですか？
宿の女,……本当は、私がここにいるだけでも大変なことなのに……。行かなければならないのに……いつかこうなることは分かっていたのに……。ああ……でも、もっと留まりたいのです……一日でも長く、この町に……
僧侶,あのう。良かったら、詳しく話していただけませんか？。誰かに話すことで、楽になることもありますよ
宿の女,……そうですね……あなたにはご恩がありますし……。私の決断を後押ししてくれるかもしれません……お話しします……。……私は、人間ではありません……実はあの子も、私の実の子ではありません……
僧侶,はい、そんな気がしてました。絶対に誰にも話しません。続きをどうぞ
宿の女,私は……私の正体は……。伝説の剣の刃です……
僧侶,伝説の剣？あの、魔王を討ち果たせるという剣ですか？
宿の女,はい……。今の私は、本来霊体であるはずの存在に、無理に肉体をこしらえたものです……。元は……伝説の剣が悪用されないように、天が備えた仕掛けなのですが……
僧侶,信じますよ。それで、あなたの疲れの原因は？
宿の女,はい……私の依り代は伝説の剣……。それが今、この町にはありません……。そのことにより、私自身の自我が保てなくなっているのです……
僧侶,この町には、伝説の剣があったんですか？
宿の女,はい……しかし先日、勇者様がこの町を訪れた際に……。所有者である夫が……勇者様に譲り渡しました……
僧侶,よかった。ちゃんと勇者には行き渡っていたんだ。ん？でも、刃の精霊さんがここにいるってことは……？
宿の女,お察しの通りです……私がここに居る以上、伝説の剣は不完全のまま……。たとえ真の勇者であろうと、何者にも、抜くことはできないのです……
僧侶,ええっ。それじゃあ、魔王が倒せないのでは
宿の女,ああ……その通りです……。私が剣に宿らなければ……きっと世界が救われることはないでしょう……。でも、夫が……ほんのひと月だけ、ここにいて欲しいと……。あとひと月だけ……私と共に、あの子と共に過ごして欲しいと……
僧侶,……でも、勇者はもう魔王城へ乗り込みます。たぶん、ひと月も経たないうちに。魔王との戦いのとき、剣が抜けなかったら大変ですよ
宿の女,はい……でも……。私の存在の主体は、剣の方にあるのです……私が戻ってしまえば……。私の意識は消えてしまい……こうして誰かと対話することもできなくなるでしょう……
僧侶,もう二度と、人の姿に戻れなくなるんですか？
宿の女,……試したことがないので、分かりません……ただ……。遠方での戦いに赴くことになるので……もし勇者様が敗北してしまったら、私も……
僧侶,それなら大丈夫です
宿の女,えっ……？
僧侶,僕は、元は勇者のパーティーにいましたから分かります。大丈夫です。勇者はとても芯の強い女の子です。必ず勝ちます。それに王都で最強の戦士さんもいるし、アイテム管理の天才の商人さんもいます。僕とあんまり歳も変わらないのに、呪文を極めたっていう賢者さんも加わりました。負けるはずがないですよ。必ず勝ちます。だから、勇者を信じてください
宿の女,……
僧侶,それに勇者は、神父さんの教えを守ってきた、とても優しい心の持ち主です。魔王を倒した後、誰かが事情を話せば、きっとこの町に剣を返してくれます。そうしたら賢者さんもいるし、きっと元の生活に戻してくれます。だから、安心してください
宿の女,……。……。そうですね……分かりました。どの道……魔王が世を支配するようになれば。夫もあの子も……いずれ危険な目に遭うでしょう。宿命を受け入れられず……目先の幸せに焦がれていた私を、お許しください。私の迷いに……心強い言葉をかけてくださって、ありがとうございました
僧侶,いいえ。迷いが消えたようで何よりです
宿の女,私は、もう行きます。勇者様のもとへ……。勇者様の位置は分かります……北の城の、城下の一軒家……
僧侶,もう、行くのですか？
宿の女,はい。一刻も早く戻らなければ……勇者様を誤解させてしまいます
僧侶,ああ、そうか。それはいけないですね
宿の女,あの子は……何も知りません。夫も……私が行くことは強く反対していました。ひと月だけ残って欲しいというのも……散々妥協した末の言葉なのです。なので二人のいないうちに……私はあるべき場所へ向かおうと思います
僧侶,またきっと、元の生活ができます。こう言うのも変ですけど、どうか、ご無事で
宿の女,はい……色々とありがとうございました。では……
僧侶,すごい。ルーラみたい。……どうかあの人が無事に、またここで生活できますように……
師範,今の光はなんだ！？
僧侶,！
師範,！お前はっ！なぜお前がここにいる！？
幼児,ぐすん……ひっく……
僧侶,あの子……外を見張ってたら、見つかっちゃったんだ
師範,……！。そんな……まさか……妻は……
僧侶,はい。話はすべて伺いました。あの人は、あるべきところに帰って行きました
師範,なんだと……
僧侶,もし勇者が帰ってきたら、勇者にこのことを打ち明けてくださいね。伝説の剣なら、必ず返してもらえます
師範,ふざけるな……
僧侶,！
師範,あと一ヶ月……たったの一ヶ月だと約束していたのに……
幼児,ぐすん……ねえパパ。ママはどこ？ママは？ねえ
僧侶,……ええっと……
師範,貴様は……妻から事情を聞くや。魔王に世を支配されることを恐れ、己の命惜しさに、妻を急かしたのだ！
僧侶,違います。あの人は自分の意思で――
師範,命が惜しいなら、なぜ己を鍛えようとしない！。なぜ勇者なる偶像にすべてを押し付け、自ら魔王と戦おうとしない！！。少なくとも私は強くなった！妻を、我が子を守れる程度にはな！。誰しもが真に己を高めようとすれば、魔王軍の襲来など恐れる必要はないのだ！。……伝説の剣など、必要はないのだ……
僧侶,……
幼児,ねえパパ、ママは？ねえ
師範,……もう戻ってはこない。帰ってはこない
僧侶,戻ってきます。勇者は必ず帰ってきて、剣を返してくれます
幼児,もうかえってこないの？このひとのせいで？。なおしてくれるっていったのに……？なおしてくれるっていたのに！。うええええええん！！
師範,泣くなッ！！
幼児,！
師範,泣いても叫んでも……もうどうにもならん。そうだ、どうにもならん……俺も狼狽が過ぎていたやもしれぬ……。伝説の剣を手放すことで、あそこまで妻が衰弱するなど思いもよらなかったし――。妻は常々、確かに自らの宿命を重んじていた……
僧侶,……
師範,だが、余りにも早すぎた。私は一道場を預かる身でありながら、未熟にも心の整理がついていなかった。私がここまで至れたのは、妻と、我が子のためをおいて他になかったからだ
僧侶,……
師範,結ばれぬはずの伴侶と、玉のような養子を持って……。……日々幸せだったのに……
僧侶,……。ごめんなさい
師範,……謝る必要はない。お前は人として正しいことを為したのだ。だが、もうここに用はないはずだ。私は宿の動かし方を知らぬ。今日をもってこの店は廃業だ。すまないが、出て行ってもらおう
僧侶,あの……。……
師範,……出て行け……早く
僧侶,……はい。最後に、勇者にはちゃんとこの事を伝えてくださいね。僕はもう会えないかもしれな――
師範,出て行け！！
僧侶,ご。ごめんなさい
師範,……何故……何故今日なのだ……。あと……あとひと月だと言ったのに……うっ……ううっ……
幼児,パパ……
僧侶,……本当に、あの女の人を帰して良かったのかな。でも、そうしないと勇者が魔王を倒せなくなっちゃう。……他の方法があったら、良かったのにな
大男,こんな夜更けに、師範の家が騒がしいな……。！てめえは……！
僧侶,あっ。夕方の……
大男,てめえ、師範の家で何してやがった！！
＊,なんだなんだ？あっ、この小僧は！。さっき師範のお子さんの声も聞いたぞ！やっぱり何かやりやがったんだ！
僧侶,違います。僕は何もしてな……あ、やったんだった
大男,おい。夕方言ってたこと、忘れてねぇだろうな？
＊,自分でも認めるたぁ、ふてぇ野郎だ！もう許せねぇっ！。どうせ追放者だ、やっちまえ！。あ！待て！
大男,とっ捕まえろ！
僧侶,ここは逃げよう！。とても弁解できる空気じゃないよ。それに僕が何かやらかした、っていう事実には違いないし。かといって、スマキにされて雪山に放り出されるのは勘弁だし。ここは次の町まで逃げよう、逃げよう――
＊,く、くそっ、逃げ足だけは速い奴……。はぁっ、はぁっ、だめだ、町の外まで行きやがった……
大男,く、くそっ……。おい小僧！二度とこの町に入ってくるんじゃねえぞォーッ！！。くそっ。これからお前らも、ひのきのぼう持った妙な小僧を見たら気をつけろよ！
僧侶,はぁ……はぁ……。……ふうう。ここまで離れれば大丈夫かな。よし、追って来てないね。……それにしても。西の町を越えた先に、こんな砂漠地帯が広がっていたなんて……。雪山から一つ町を隔てた先が、まさか砂漠だとは思わないよね。今は夜中だから寒いくらいだけど、日が昇っている間は暑そうだなぁ。って。空が結構明るくなってる。もう明け方だ。ううーん。雪山を越えてあんまり休んでないから、疲れてるんだけどな。仕方ない。そこの岩陰で、少しだけでも仮眠を取ろう。……よっしょ。……ふああ……おやすみ。……明日はいい一日になりますように……。……Ｚｚｚ……――
兵士Ａ,勇者様！勇者様に敬礼！
兵士Ｂ,勇者様！魔王討伐、お疲れの出ませんように！
勇者,もう。イチイチかしこまらなくていいのにな
賢者,そういう訳にもいかないでしょう。勇者様はこの世で唯一無二の存在なのですから
商人,いやぁこの空気、久々ですなぁ
戦士,……。一夜明けたら、伝説の剣が微かな光を放っていた。なんとなく抜くのは憚られたが……何か変化があったのだろうか……
商人,戦士殿？
戦士,ん。ああいや。賢者よ、王の間はこちらだ
賢者,ありがとうございます
勇者,案内ならボク一人でもできるのにっ
商人,ガハハ。勇者様はときどき方向音痴なところがありますからなあ
国王,勇者よ！よくぞ戻ってきた。これまでの長旅、ごくろうであった
勇者,はい。ありがとうございます
国王,戦士よ。そなたも一段とたくましくなっておる。我が王都の雄として、誇りに思うぞ
戦士,はっ。もったいなきお言葉、光栄至極に
国王,商人よ。そなたが城下に撒いた商いの種、見事に実っておる。この国の活況は、そなたの功労によるものも大きい。感謝するぞ
商人,ははーっ！ありがたき幸せ！
国王,そして……そなたが、新たに一行に加わったと聞く賢者か
賢者,はっ、お初にお目にかかります。私は賢者と申します。打倒魔王に向け、全霊をかけて勇者様をお守りする所存です
