デクシオ,“こちらデクシオ。この場所にあると思われるジガルデ・セル、回収できましたか？”
ｱﾆﾎﾟｹｶｷ,…一昨日のスカル団の用心棒…！まさか仕返しきたのか？
ヨウ,……。…みんな、先に行ってて
ｱﾆﾎﾟｹﾘｰﾘｴ,だ、ダメですよ…、…ヨウ。迂回するか、人を呼ぶか、しましょう？
ヨウ,大丈夫大丈夫。……ほら？スクール遅れちゃうよ？
サトシ,……行こうぜ？リーリエ？…ヨウなら心配ないよ
ｱﾆﾎﾟｹﾘｰﾘｴ,…で、でも…！？
ｱﾆﾎﾟｹｶｷ,……おい、ヨウに何かしてみろ。俺たちがただじゃおかなからな
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……
ヨウ,……
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……
ヨウ,……あの？一昨日の再戦ですか？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……。…一昨日から思ってるが、アンタは全然俺を怖がらんな？
ヨウ,……？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,賞金だ。あんたは俺に勝った。あんたには受け取る権利がある
ヨウ,……。…どうして？
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……あの時のバトルは、あんた曰く、ポケモンバトルだったん、だよな…？
ヨウ,そのとおりです
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……………
ヨウ,……わかりました。賞金、ありがたく頂戴します。対戦ありがとうございました
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,……、…じゃあな。………、…悪かった…。…
ヨウ,………。あの…
ﾍﾞﾃﾗﾝﾄﾚｰﾅｰ,…？。……………。………つくづくあんたは、ムカつく…、野郎だ…。……………。…………。……………。………
ロトム図鑑,………。……良かったロトね…。ヨウ…
ヨウ,…うん。良かった…
ｱﾆﾎﾟｹﾏｰﾏﾈ,…ヨウ…、ああ言ってたけど、本当に大丈夫かな…
ｱﾆﾎﾟｹﾏｵ,…うーん？
ｱﾆﾎﾟｹﾘｰﾘｴ,…ヨウに何かあったら…、嫌です…。や、やっぱり戻りましょう！
サトシ,俺は心配ないと思うけどなー
ｱﾆﾎﾟｹｽｲﾚﾝ,でも、ヨウはいまポケモンもってないじゃない
ｱﾆﾎﾟｹﾘｰﾘｴ,！アローラ。校長先生。……ちょっと、ヨウが大変で…！。……
ｱﾆﾎﾟｹｶｷ,……
サトシ,…い？。…いいいいいぃっっ！！！？
ピカチュウ,ぴかあああ！？
ｱﾆﾎﾟｹﾘｰﾘｴ,…校、長？…い、今、何て仰いました…？…ど、ういう、ことですか…！？？
サトシ,ち、ちょっと！！オーキド校長っ！それは、みんなには内緒だってっ！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,U、B…？
ｱﾆﾎﾟｹﾏｵ,明日、何か…、あるの…？
ｱﾆﾎﾟｹｶｷ,…とりあえず、なるほどサトシ…。つまり、お前も何か知ってるんだな…？
サトシ,……ぎっくーぅ…！！
ｱﾆﾎﾟｹｽｲﾚﾝ以外のクラスメイト,…スイレン頼もしい…
ピカチュウ,ちゃあ～…
ｱﾆﾎﾟｹｽｲﾚﾝ,…さて、ヨウ…。そろそろだね？
ヨウ,……？そろそろ…って……何が？
ｱﾆﾎﾟｹﾏｵ,…ふふふ、明日のＵＢとの闘いの準備に決まってるじゃない？
ヨウ,…！…え！？な、なんでそのことを！？
サトシ,……えっとー、ヨウ…。…その、なんていうか…。……ＵＢが出ること、みんなにバレたって…いうか…。…その…ごめん…
ヨウ,…えええええ…！…バ、バレちゃったの…！！？。…！！…あ、みんなの気持ちはすごく…嬉しいんだけど…、UBは…！！！。……………。……な…なんで…、なんでみんな、そんなに優しいの？
サトシ,…？…ヨウ…、それは決まってんだろ…
ヨウ,……………
サトシ,……………だって俺達、友達じゃんか！！
ヨウ,…………！。……………。………みんな…、ありがとう……！
ｱﾆﾎﾟｹｶｷ,はは！…じゃあ早速…、俺たちに手伝えそうなこと、何かあるか？
サトシ,よーし！そうと決まったら頑張るぜぇ！
ｱﾆﾎﾟｹﾏｵ,おー！！
ｱﾆﾎﾟｹｽｲﾚﾝ,おー！！
ｱﾆﾎﾟｹﾘｰﾘｴ,おー！！
ｱﾆﾎﾟｹｽｲﾚﾝ,え？いいの？
サトシ,そりゃあうれしいけど…、お金、大丈夫なの？ヨウ
ヨウ,うん！さっきのﾍﾞﾃﾗﾝﾄﾚｰﾅｰさん、賞金を渡しに来てくれたんだ。それでありったけ買ってくる…！
サトシ,…そっか！良かったな！
ヨウ,ふふふ、大丈夫！そこのマラサダも一緒に買ってくるよ！。……………。……それ、から…、お昼の時、みんなに聞いてほしい話があるんだ……
ｱﾆﾎﾟｹﾏｵ,？うん。何でも聞くよ？
ヨウ,…ありがとう。………………………違う………
ｱﾆﾎﾟｹﾘｰﾘｴ,…あのう？対策会議とかをするんですよね…？…おやつパーティになっちゃうのでは…？
ｱﾆﾎﾟｹｽｲﾚﾝ,ヨウ！かいだし、リーリエがいっしょにてつだうって！
ヨウ,？…良いの、リーリエ？何か、リーリエには本当にお世話になりっぱなしだ…。ありがとう…
ｱﾆﾎﾟｹﾘｰﾘｴ,え？////あ、えっと…、いえ、気にしないでください…！スイレンったら、もう～///
ｱﾆﾎﾟｹｽｲﾚﾝ,えへへ！いってらっしゃい♪
ｱﾆﾎﾟｹﾏｰﾏﾈ,じゃあー、こっちのバリケード作るの手伝ってよー、カキ！サトシ！…力仕事だよ！！
サトシ,…ははは！悪い悪い！
ｱﾆﾎﾟｹﾏｰﾏﾈ,…………。…あのさ？…みんなはどう思う？ヨウのこと。…まさか宇宙人とか未来人とか～？そんなフィクションじゃあるまいし…！
ｱﾆﾎﾟｹｽｲﾚﾝ,……うん…！
サトシ,……カキは…、良いやつだなー…！
ｱﾆﾎﾟｹﾏｰﾏﾈ,ホントだねぇー！
ｱﾆﾎﾟｹｶｷ,…何だよ…！ちゃかすな…///
ｱﾆﾎﾟｹﾏｵ,照れてるしー！ふふふ！
サトシ達,………………。
サトシ,………。……あの声は…
ムサシ,あの声は、と言われたら！！！
コジロウ,聞かせてあげよう我らが名を！！！
ムサシ,花顔柳腰！羞月閉花！儚きこの世に咲く一輪の悪の花ぁ…、ムサシッ！！
コジロウ,飛龍乗雲！英姿颯爽！切なきこの世に一矢報いる悪の使徒っ…、コジロウッ！！
ニャース,一蓮托生、連帯責任、親しき仲にも小判輝く悪の星…、ニャースでにゃーすぅ！
ムサシ＆コジロウ,…ロケット団参上ッッ！！
ニャース,なのにゃ！
ソーナンス,そーなんすっ！
ｱﾆﾎﾟｹｽｲﾚﾝ,…また、あんたたち…！？
ｱﾆﾎﾟｹｶｷ,よくもまぁ飽きないなぁ…
ｱﾆﾎﾟｹﾏｵ,でもスクールに乗り込んでくるなんて珍しいねぇ？
ｱﾆﾎﾟｹﾏｰﾏﾈ,………でも今日、午前授業だけだから他の生徒みんな、もう帰っちゃったよ？
ロケット団,…………。………なぁああああああああああああ！！！！！！
ムサシ,ちょっとぉー！生徒たちー！そのポケモーン！引き返して来なさいよぉー！
コジロウ,戻ってこぉーーい！
ニャース,にゃああー！
ソーナンス,そーなんすっ！
ｱﾆﾎﾟｹｶｷ,まっ、たく…
サトシ,今日はもういいだろ？これから俺達、忙しいんだから出てけよぉー
ムサシ,あー…ん？忙しいぃ…？なんでぇ？
コジロウ,………………
コジロウ以外,……？
コジロウ,頭の丸っこいマーイーカみたいで…ちょっと不気味なだけど綺麗な感じがするな…
サトシ達,………！！
コジロウ,・・・・・・ほら、あんなにたくさん。・・・・・・うじゃうじゃ居る・・・。
UBの大群,じぇるるっぷ…！！！！！！！
ヨウ,へぇ？メレメレ島にそんな催しが…？すっごく楽しそう…！。…うん…。…凄くいいかも…、それ…。ありがとう…リーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,ふふっ！じゃあ、約束ですね…！………あら？
ヨウ,？
ｱﾆﾎﾟｹﾘｰﾘｴ,………。………
ヨウ,リーリエ？…あのぬいぐるみが欲しいの？。ふふ。そういえばリーリエの本棚の横にも、ぬいぐるみがいっぱい飾ってあったもんね
ｱﾆﾎﾟｹﾘｰﾘｴ,あ…！ヨウ…、
くじ屋さん,いらっしゃい！
ヨウ,一回いいですか
ｱﾆﾎﾟｹﾘｰﾘｴ,…よ、ヨウ…！
ヨウ,ダメだったらごめんね。…でも今日はくじ屋でハッピー…な感じだから。…なんて
くじ屋さん,……では発表します。…おめでとうございます。10等きのみジュースが当たりました！
ヨウ,……あ…。…だ、だめか。ごめん…
ｱﾆﾎﾟｹﾘｰﾘｴ,……。……いえ。…ふふ、いいんですっ
くじ屋さん,ラッキーチャンス！おめでとうございます。もう一度くじが引けますよ
ヨウ,…！
ヨウ＆ｱﾆﾎﾟｹﾘｰﾘｴ,………！！
ヨウ,……あ、当たった…っ！！やった！！。…い、いや、そういうのではないんですが…。…ありがとうございます。……はい、リーリエ
ｱﾆﾎﾟｹﾘｰﾘｴ,………か……、カノジョ……？/////
ヨウ,……リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,……あ！…いや…、ありがとう、ございます…！…やった！えへへ！////。～♪///
ヨウ,…その子、意外と大きいね？大丈夫？しばらくの間、僕が持ってようか？。いえいえ、どういたしまして！
ｱﾆﾎﾟｹﾘｰﾘｴ,………///
ヨウ,……
ｱﾆﾎﾟｹﾘｰﾘｴ,……
ヨウ,？
ｱﾆﾎﾟｹﾘｰﾘｴ,…///
ヨウ,……？どうか、した？…リーリエ？
ｱﾆﾎﾟｹﾘｰﾘｴ,…………///。……わたくし…、こんな風に男の子と歩くのって…、生まれて初めてです…。…まるで、その……、デート……、してるみたい、って思って…、しまいます……//////
ヨウ,……？………リー、リエ……？
ｱﾆﾎﾟｹﾘｰﾘｴ,………………///。……ヨウの、カノジョさん……。ですって……///。…………、///////。…………本当に……、そうだったらいいのに………///////
ヨウ,…………………………。…！！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,…///
ヨウ,…
ｱﾆﾎﾟｹﾘｰﾘｴ,…？
ヨウ,…
ｱﾆﾎﾟｹﾘｰﾘｴ,……ヨウ…？…どうして…、そんなに、辛そうな顔を…しているんですか…？
ヨウ,…………。…………。…り…、リーリエ……、。僕は…、…ぼくは…、……！
ｱﾆﾎﾟｹﾘｰﾘｴ,………………。………………。……………ヨウが…言いたいこととは違う…かも知れませんが…、。………………。………………わたくしは、知っているつもりです……
ヨウ,………？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………………。……………………ヨウには、他に好きな子がいらっしゃるんですよね？
ヨウ,…………………。・・・・・・・・・・・・え？
ｱﾆﾎﾟｹﾘｰﾘｴ,………それで…、その子は多分………。………………わたくしと…同じ…、リーリエ、という…お名前なんです…………
ヨウ,…………ど…、。………………ど、う…、して……？
ｱﾆﾎﾟｹﾘｰﾘｴ,……………
ヨウ,…
ｱﾆﾎﾟｹﾘｰﾘｴ,例えば…。ヨウ…？…わたくしはソファベッドで眠ったりは致しません
ヨウ,？？？……何の…、話…？。…え///…ぼ、僕、そんなこと、言ったの…///…！いや、リーリエは昨日の記憶が、あるの…？。…リーリエは、昨日…混乱して…いなかった…？
ｱﾆﾎﾟｹﾘｰﾘｴ,だから……、ちゃんと言ったじゃないですか？…わたくしは正気ですって
ヨウ,……？
ｱﾆﾎﾟｹﾘｰﾘｴ,………。……//////…ご、ごめんなさい…。……い、今のは忘れてください…//////
ヨウ,…………、……。………込め、られているもの…？。……、…リーリエ………
ロトム図鑑,ヨウ！緊急通信が入ったロ！！。でも、緊急回線で、ククイ博士からロトよ？余程、至急の連絡ではないロトか…？
ヨウ,…………ククイ博士から？
ｱﾆﾎﾟｹﾘｰﾘｴ,……どうぞ、ヨウ。大丈夫ですから
ヨウ,………………。…………………ごめん……。…ロトム。回線、開いて…
ｱﾆﾎﾟｹｸｸｲ,“！！…ヨウか！？…良かった！繋がった！！”。“ヨウ！！大変なことになっちまった！！！…UBだ！！UBが出ちまった！！！”
ヨウ,・・・・・・・え！！？
ｱﾆﾎﾟｹｸｸｲ,“しかも一体じゃない…！とんでもない数だ…。ウツロイド以外のタイプもいる…！！”
ヨウ,なっ…！！！？？。……そ、そんな…！！？
ｱﾆﾎﾟｹｸｸｲ,“……校舎内に人が残っていなかったのは幸いだが……、サトシ達が…、ヤバい…っ！！”
ヨウ,！？い、今、そっちに向かいます！！。！！！？ククイ博士ッ！！！。！！！？
ｱﾆﾎﾟｹﾘｰﾘｴ,！！！？
ロトム図鑑,！！！？
ヨウ,………！！
ｱﾆﾎﾟｹﾘｰﾘｴ,………！！
ロトム図鑑,………！！
ヨウ,みんな、が……！！……行かなきゃ…！！！……！？。…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,…！
ロトム図鑑,……リ、リーリエ…！？
ｱﾆﾎﾟｹﾘｰﾘｴ,………
ヨウ,……！…
ｱﾆﾎﾟｹﾘｰﾘｴ,わたくしは…、ヨウが危ないの、嫌です……。…でも…、知っています…。…信じています…。………………………ヨウは、絶対…負けないって……！！
ヨウ,………………、………………………………リーリエ……？。…………。…………。……ロトム、行こう…！！
ロトム図鑑,……お…、おうともロ！！！
ｱﾆﾎﾟｹﾘｰﾘｴ,…………。…………。…………………ヨウ…
ライドケンタロス,ぶもぉ～！！
ヨウ,……頼む…。急いでくれ…、ケンタロス…！
ロトム,！！
ロトム図鑑,ヨウ！また通信が入ったロト！！
ヨウ,！！ククイ博士か！！？
ロトム図鑑,…い、いや！こ…、これは…！と…、とにかく繋ぐロト！！！
ヨウ,………え？。……え…！な…、！？。…！！？？？。……グ、グリーン…さん…！？、え…？、なん…、で…？？？。……あ、……ああっ…！？。…っ！！…し、しまった…！…みんなに悪いことしちゃった…！…謝らまらなきゃ…！！
グリーン,“まぁ、元気だったならみんなも報われただろ。……正直、俺も安心したよ。・・・ふぁ…”
ヨウ,……ごめんなさい…！！！
グリーン,…………
ヨウ,…はい…。……ありがとう、ございます…！。迎えって…？ほしぐもちゃん無しで空間の歪みの穴が開いてるってことですか…！？。あ、いや、でもそれが…！！！今はまだここを離れるわけにはいかないんです！！
グリーン,“？何があった？”。“……。やべぇな…。認めたくねーけど…、……まずったかもしれねぇ…”
ヨウ,…？どういう…ことですか？。………そ…、そんなっ…！！？。…はい！…それで、その迎えのヤツっていうのは…？
ロトム図鑑,！？ヨウ！上空から高速で接近する反応ありロト！
ヨウ,！！？まさか、UB……！！？
ロトム図鑑,…いやUBとは違うロト！…一人、人間が乗っているポケモンだロ…！…あ、あれは…！
UBの大群,じぇるるるるるうるるる……
ムサシ,なによなによなんなのよぉ！！あれぇー！！
コジロウ,カンベンしてくれよォ～！！泣
ニャース,ぎにゃああああああ…！！
ムサシ＆コジロウ,ひえぇえ、ニャースぅ！！
ソーナンス,そーなんすぅっ！！
サトシ,……！！ピカチュウッ…！！！！
ピカチュウ,……………………ぴ……
ｱﾆﾎﾟｹｽｲﾚﾝ,…！！サトシの…、ピ、ピカチュウが、ぴくりともしてないよ…！！
ｱﾆﾎﾟｹｶｷ,あれは…ヤバいぞ…！！早く助けに行かないと…！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,で、でもボク達のポケモンだって、もうやられちゃったし…！、…！！！！
ウツロイド,…………じぇる……
ピカチュウ,…………、…………、………！！
UBの大群,じぇるるるるるうるるるるるるる……！！！
ｱﾆﾎﾟｹｶｷ,あ…、あいつら…！？…ピカチュウを……、
ｱﾆﾎﾟｹｽｲﾚﾝ,……いたぶって……る……！？
ｱﾆﾎﾟｹﾏｵ,なんでっ…！こんな…！酷すぎるよ……！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,……あ、いつら、まるで…笑ってる…みたいだ………
サトシ,…や、
ピカチュウ,……、…………………！
サトシ,……やめろ、よ…！
ピカチュウ,………………………
サトシ,…やめろぉおおおおおおおおおお！！！！
ｱﾆﾎﾟｹｽｲﾚﾝ,あ、サトシっ！！
サトシ,ピカチュウを…、離せぇええええ！！！！！
ウツロイド,じぇるるっぷ…！！
サトシ,……ぐ…、あ…！！。………………く。………………う…うう……。………………ピカ、チュウ…………を……。………………離せよ…俺のピカ、チュウ…………を…………離せ……。……………………ま…………。…………………………待って…ろ……おれ……が…！！
ピカチュウ,…
サトシ,……………ピカ、チュウ……？……ピカチュウ…、………！。……………ううっ…、くそっ……、…！。……………………………ちく、…しょう……っ！！！
ｱﾆﾎﾟｹﾏｵ,……サトシがっ…！！
ｱﾆﾎﾟｹｶｷ,マオも前に出るなっ！！……俺が行…、！？
ウツロイド,じぇるるるるるうる…
クラスメイト達,サトシーーーッ！！！！！！！
サトシ,………！！！
ウツロイド,…！？。………、。………………じ、じぇる？。
全員,！！！！！？
もう一匹のピカチュウ,ぴっかっちゅう！！
クラスメイト達,……………！？
ｱﾆﾎﾟｹｽｲﾚﾝ,…………なに……、あれ……？
ｱﾆﾎﾟｹｶｷ,い、いきなり…、もう一匹…、ピカチュウが…現れ、て……
ｱﾆﾎﾟｹﾏｰﾏﾈ,…サトシ達に止めを刺そうとする…UBを、倒した…。……一撃で……っ！
ｱﾆﾎﾟｹｽｲﾚﾝ,……………ちがう…、そっちじゃ、ない…
ｱﾆﾎﾟｹﾏｵ,……スイ、レン…？
ｱﾆﾎﾟｹｽｲﾚﾝ,ほら…、あそこ…。…こっちにむかって…、あるいて、きている……。…………………あかいぼうしのひと…………………！！！
レッド,…………………………………。…………………。…………………。………
サトシのピカチュウ,………ぴ…。…………………ぴ、…か、ぴ……？
レッド,…………………
サトシ,………！…
レッド,……………………
サトシ,！！………ピ、ピカチュウ！！…よかった…！！…ピカチュウっ！！！
サトシのピカチュウ,…………ぴか、ぴぃ……
レッド,……………………。……………………よく持ちこたえたな………。……君も…、君のピカチュウも………
サトシ,……！…
レッド,……………………………後は任せろ…………。……………………
サトシ,…あ。………あ！あの！！
レッド,………………？
サトシ,…お、俺のピカチュウを助けてくれて、ありがとうございます…！あ…、あなたは、誰…？
レッド,…………………………。…………………………俺はレッド………。…………マサラタウンのレッドだ………。…………………………。…………………………
サトシ,………マサラ…、…タウ、ン……？。！？
ヨウ,…サトシ…！…はぁはぁ、やっと、追い付いた…！！
サトシ,…！？ヨ、ヨウ！戻って来て、くれたのか…！。ああ…、…ピカチュウを頼む！！…ヨウ？……あのレッドさんって人は…？。………………。
レッド,………なるほど………UB…、か………
UBの群れ,じぇるるるうるるうるうるうるるッるるるるるるるる…！！！！
レッドのピカチュウ,ぴかちゅう？
レッド,………ん…、…一回…戻っていいよ……。………最初は……あいつでやる……
サトシ,！！ヨウ！レ、レッドさんは…、ひ、一人であの大群と闘う気なのか！！？
ヨウ,…大丈夫
レッド,………行け……、カメックス……
カメックス,……ゴオォアン！！
ウツロイド×５,じぇるるっぷ！！！！！
レッド,………“なみのり”……
ウツロイド×５,
ヨウ以外,！！！！？？
UBの大群,！！！！？？
ヨウ,ほらね
レッド,………“ハイドロポンプ”……
UBの群れ,グガァアアアアアアアアア……ッ！！！！！
カメックス,…ゴオオオオオォォォァオアアアン……ッ！！！！！
ｱﾆﾎﾟｹｽｲﾚﾝ,…す…、すごい…！
ｱﾆﾎﾟｹﾏｵ,あの人…、一人であの大群と渡り合ってる……、どころじゃ…、ない…
ｱﾆﾎﾟｹｶｷ,……あのカメックス一体で、あの大群を……
ｱﾆﾎﾟｹﾏｰﾏﾈ,圧倒…してる……！！
サトシ,…………つ、強ぇ……
ヨウ,……サトシ…
サトシ,…？…どうした…ヨウ…？
ヨウ,…このポケモンの本来の“おや”は……、君だってことだ……！
サトシ,・・・・・・！。・・・ゲッコウ、ガ・・・！。・・・こ、こいつは・・・、俺の、ゲッコウガ・・・だ・・・！
カミツルギ,…！！
レッド,……。………ウツロイドとは違う別種のUB……。……かなり小さい……
カミツルギ,
レッド,………………？
ゲッコウガ,コウガァ…！！
サトシ,……レッドさん…！俺も一緒に闘います…！
レッド,………。…心配いらない……。……君のその気持ちと…俺のポケモン達だけで…十分だ……
サトシ,……へへ！…俺、マサラタウンのサトシ…！
レッド,……。…………何…？
サトシ,足手まといにはならないから…、見てて下さい…！………ふー…
ムサシ,……ちょっとぉ…？…生きてる…？ニャース…？
ニャース,……ひ…ひひ、酷い目にあった…にゃ……！
ヨウ,…ニ、ニャースが…、喋ってる…っ！？？
ｱﾆﾎﾟｹｽｲﾚﾝ,…やっぱり、はじめてみるひとはおどろくよね…
ｱﾆﾎﾟｹﾏｰﾏﾈ,ま、まーね…
ソーナンス,そーなんすぅ！！
ｱﾆﾎﾟｹﾏｵ,…ピカチュウも助け出せて、本当に良かったよ……
ピカチュウ,……ぴかちゅう…
ｱﾆﾎﾟｹｶｷ,…ああ…。それにしても…サトシは、大丈夫なのか……？
ロケット団,あ、あれはぁッ！！
クラスメイト達,……？？
ヨウ,…！
サトシ,久しぶりに・・・・、行くぜぇ、ゲッコウガっ！俺達の・・・フルパワーだッッ！！！
ｻﾄｼｹﾞｯｺｳｶﾞ,…………。……………ゲッ、コゥーガァーッ！！
カミツルギ,…！！。…！！。…！！
ｻﾄｼｹﾞｯｺｳｶﾞ,……！
カミツルギ,。
ｻﾄｼｹﾞｯｺｳｶﾞ,………コウガァ……！。こーが♪
サトシ,…へへへ！…はい！レッドさん！
ｱﾆﾎﾟｹｽｲﾚﾝ,……な、に？…あのゲッコウガ…？……なん、なの…？
ヨウ,あれはサトシゲッコウガだ…！
ロケット団,なーはっはぁっ！！
ｱﾆﾎﾟｹｽｲﾚﾝ,…いや、だから…なんなの…、…それ…？
ｱﾆﾎﾟｹｶｷ,な…、何にせよ、これなら…！
ｱﾆﾎﾟｹﾏｰﾏﾈ,行ける…！
ｱﾆﾎﾟｹﾏｵ,希望が出てきた…！
ソーナンス,そーなんすうッ！！
UBの群れ,グガァアアアアアアアアア……ッ！！！！！
カメックス,ゴオォアン！！
ｻﾄｼｹﾞｯｺｳｶﾞ,コウガア！！
ｱﾆﾎﾟｹﾏｰﾏﾈ,すっごいよ…！あの二体！！攻撃するたびにUBを倒してってる！！
ヨウ,……？い、や…？……なにか…おか…、しい…？
ムサシ,なーに言ってんのよぉ！あんなに押しまくってんじゃないっ！
ｱﾆﾎﾟｹｶｷ,そういえば…、もう…かなりのＵＢを倒したはずだが…、…奴らの数が全然減ってない！？
サトシ,……はぁ…はぁ…。…。UBを倒せる…。…問題なく、倒せるんだけど…、なんかさっきからキリが、無いぜ…？。…？ヨウのポケモンならその歪みを閉じれて、これ以上UBが増えるのを防げるってこと？。…………。…レッドさん、少しだけUBを任せられる？試したいことがあるんだ
レッド,……？………構わないが……
ｻﾄｼｹﾞｯｺｳｶﾞ,………コウガ…
サトシ,…………………………
ｻﾄｼｹﾞｯｺｳｶﾞ,…………………………
サトシ,…………………………
ｻﾄｼｹﾞｯｺｳｶﾞ,…………………………
サトシ,…！………見えたぜ…！。レッドさん…。正面の右側の奥にいるウツロイド…、アイツの動きを止めることって出来る？
レッド,………………。………戻れ、カメックス……。…………行け、。……………フシギバナ………
フシギバナ,……ギャアアーンッ！！
レッド,………フシギバナ……、正面右奥のウツロイドに……“ねむりごな”………
ウツロイド,…！。…ZZZ
レッド,………あれでいいか……？
サトシ,…！さっすがぁ！…じゃ、今度は俺達が気合入れる番だぜ、ゲッコウガ！
ｻﾄｼｹﾞｯｺｳｶﾞ,クゥーガッ！！
UBの群れ,グガァアアアアアアアアア……ッ！！！！！
レッド,…………邪魔はさせない……。……フシギバナ…、…サトシのゲッコウガを援護だ……
フシギバナ,ギャアーーンンッッ！！！！
ｻﾄｼｹﾞｯｺｳｶﾞ,…！
ウツロイド,…ZZ…Z…、…！！
サトシ,目が覚めたか…！だけど…、もう遅いぜ…！
ウツロイド,じぇるるっぷッ！！！
ｻﾄｼｹﾞｯｺｳｶﾞ,ゲッコウガッッ！！
ウツロイド,………！！
サトシ,………ゲットだぜ……！！
ウツロイド,
サトシ,…いよっしゃ！戻れ！ゲッコウガ！！
ｻﾄｼｹﾞｯｺｳｶﾞ,コゥガッ！！
フェローチェ×４,…！！！！
サトシ,！！追ってくるUBがいる…！俺のゲッコウガより、速い…！振り切れな、…ッ！
レッド,……大丈夫だ……サトシ……。……構わず突っ込め……。……ゲッコウガには当てない……
サトシ,！？…はい！
レッド,……ついでにまとめて倒させてもらおうか……。……フシギバナ…、“はっぱカッター”……
フシギバナ,ギャオーーッ！！
フェローチェ,。
ｻﾄｼｹﾞｯｺｳｶﾞ,…！！。コゥガ！！
サトシ,…よくやったぜ…、ゲッコウガ！……ありがとう、レッドさん！助かったよ！
レッド,……それはこちらの台詞だ……。……サトシ……
サトシ,？
レッド,……よくヨウのポケモンを取り戻してくれた……。……君がいてくれて…本当に助かった……
サトシ,へっへっへ…！///
レッド,…………フシギバナもよくやったな………
フシギバナ,ぎゃうぎゃう！
サトシ,……ヨウ！
ヨウ,あ！…！！
サトシ,取り返したぜ…！ヨウのポケモン…
ヨウ,……………。……。…よかった、…ほしぐもちゃん…っ、…ほんとに…、良かった……！！。……………。ありがとう…、レッドさん…！…サトシ…！！
レッド,………
サトシ,決めてやれ！ヨウ！
ヨウ,……うん…。…………行けっ………、……………ほしぐも……！
ほしぐもちゃん,…………………。……グォォオアアアアアアアアアアアアアアアァ………ッ！！！！！！
UBの大群,………！！！！！！？？？？
ｱﾆﾎﾟｹｶｷ,あ…、あ…れが…、ヨウの…、ポケモン……っ！！？
ｱﾆﾎﾟｹﾅﾘﾔ,…まさか…、あのポケモンを直にこの目で見る日が来ようとハギギシリ…！
ｱﾆﾎﾟｹﾏｰﾏﾈ,！ククイ博士に、オーキド校長…！
ｱﾆﾎﾟｹｽｲﾚﾝ,ぶじだったんですね！
ｱﾆﾎﾟｹｸｸｲ,ああ！心配かけたな…！通信装置を破壊された後、校長に助けもらってたんだ
ほしぐもちゃん,…………がう？。！が～う～♪
ヨウ,えへへへへ…！///……ほしぐもちゃん？出てもらったばかりで悪いけど、……行ける？
ほしぐもちゃん,……がう！
ヨウ,……うん…、頼んだ…！
ほしぐもちゃん,……グォゥゥ……ッ！
ウツロイドの群れ,…！
フェローチェの群れ,…！
カミツルギの群れ,…！
ほしぐもちゃん,グアアアッッ！
ウツロイドの群れ,
ほしぐもちゃん,グオウ！
フェローチェの群れ,
ほしぐもちゃん,ガオウッ！
カミツルギの群れ,
デンジュモク,…！！！！
ほしぐもちゃん,…グォオオオオッ！！
ｱﾆﾎﾟｹｸｸｲ,ヨウの伝説のポケモン…、体の色が変化して、額に眼のような模様が浮かび上がっている…
ｱﾆﾎﾟｹﾏｵ,…綺麗……
ほしぐもちゃん,…グァアアアアアアアアア……ッ！！！！！
デンジュモク,
ほしぐもちゃん,グォォォォオオオオオオオオアアアアァッ……！！！！！！
サトシ,…う、おおおっ…！！
レッド,………………流石だな……
コジロウ,…な、なんて、でたらめな強さだよ……！…あのポケモン…！
ヨウ,…。ちょっと体がなまっちゃってるかな？ゼンリョクはまだまだこれからだよな？ほしぐも…！
ほしぐもちゃん,グオオウ！
レッド,………ヨウ……
ヨウ,？はい、なんでしょう？レッドさん。…あっ！///…す、すいませんっ…！…ほしぐも、歪みを塞ぐのをお願い！
ほしぐもちゃん,…ぐあ
UBの大群,…！！！！！！
サトシ,…おっと、ヨウ達の邪魔は俺達がさせないぜ…！。ゲッコウガ！！“みずしゅりけん”！！
ｻﾄｼｹﾞｯｺｳｶﾞ,コウーガッ！！
レッドのピカチュウ,ピッカー！！
カメックス,……ゴオォアン！！
フシギバナ,……ギャアアーンッ！！
レッド,………戻れ、フシギバナ……。…………行け、。……………リザードン………
リザードン,……ガワンガァ！！！
レッド,………リザードン……、…“だいもんじ”………
UBの大群,………………！！
ｱﾆﾎﾟｹﾅﾘﾔ,残るUBは、あとわずかダーテングゥ！！
ロケット団,いい感じぃー！
ほしぐもちゃん,……！？
