男…26歳ゲーム開発会社勤務,グラフィック担当
男,２週間ぶり位ですか？
女,そうですね、確か。あ、これ、先生から届きました
男,消えた２ページ…懐かしいな手に入るもんですね～
女,結局、先生の蔵書の中にあったそうですよ
男,ありがとう怖い話なんですよね、これ常に不安感があって。そうか～読み返すのが楽しみだな。そんなあ、お金は？
女,私、先生から一山いくらで買ったから…そうですね、500円で良いです
男,え、そんなんでいいんですか？
女,一山の金額からすると、大体そんな感じです
男,わかりました
女,はい、確かに
男,…
女,…
男,女さん、
女,あの、この前は
男,ん
女,この間は、ごめんなさい
男,ん～。うん、はい了解です前の時の事は、もういいですよ
女,…
男,それで…
女,はい？
男,改めて話しても良いですか？この前半端だったいろいろ
女,え？。…
男,どうです？こないだは話してくれませんでしたけど
女,そうですね…それじゃあ…
男,んー、どうですかね。そうは見えなかったけどなぁ。うーん…。そうか～。ふーん
女,元々、１人が好きなんですだからすぐに引っ込んじゃうんですよ
男,ああ、俺もだ
女,え、ウソ。意外ですよ
男,全然そんな事は無いんだけどなバイク乗るのって、基本１人だし
女,あー…、そうですね
男,あら、もう家の近所か
女,え、あ、そうですね…どうします？。いいですよついて行きます
男,こっちですあそこの階段
女,そこ、登るんですか？
男,ちょっと暗いから気を付けて…
女,こんな所、登れる様になってるんですね。本当…結構遠いんですね
男,そっすねー、うーーーーん
女,気持ちいい場所ですね…
男,聞いてもいいですか？
女,あ、はいどうぞ…
男,そうかなあ。ん～、まあちょっと神経質なカンジだったか？。怖く？何でですか？。そこ！何で駄目になるのが決定済みになってるんです？。まあ…そうですね。それって前に言った、狭量で嫌な性格だから、て話？
女,そうです…
男,うーん…
女,…。…前に…
男,前に？。ああ…
女,その時だって、私が悪かったって、自分で思えるんですだから…
男,…
女,…
男,女さんの場合、引用元はハンパ無く多そうだよなぁ。妄想なら負けん妄想の具現化でメシを食ってる我々ですよ
女,…ふふっ、そうですね…。…
男,こんなにお互い食い違っていたとは。始めは、人当たりの良い明るい人が越して来た、と思ってた。俺みたいな仕事してるだけの冴えないヤツがこんな人と仲良くなれて、とか。…まさか、女さんがこんなだったとはなぁ。…どうとでもなるっつーの
女,え？。…
男,…
女,…よくないですよ。…
男,…。そんな事無いのにそれに、いくらでも返してもらう機会はありますよ
女,そう、なんですかね…
男,何だかんだと、すぐ愚痴っぽくなりますからね、俺は
女,…、そうですねふふふ
男,ははっ。ああ～、最近て言ったらですね…
女,…じゃあ、後輩さんとは仕事場が離れちゃうんですか？。愛弟子と離れちゃうのって、寂しくないですか？
男,割とよくある話ですよ
女,あの子かわいいじゃないですか残念だったんじゃないですか？
男,そういうのにはなり得ない、って、今日再確認しましたよ
女,なんとなく想像つく気がします
男,そうですか？俺だって、下心が出る時だってありますよ
女,下心が全然無い人なんて、きっといませんよ私だってそうです
男,うーん
女,でも男さん、下心がヘタッピなんですよ
男,はい？。ああ、うん、そうかもなぁ
女,そこがすごくかわいいんですよ、男さん大好きですよ
男,ﾄﾞｷﾘ
女,…お、男さん？
男,…
女,ああー、黙らないで下さいよ～！
男,ビックリしてるんです
女,そんなに意外ですか？
男,女さん、ちゃんとした返答引っ張ってたくせに唐突だから。そんなに。…嬉しいですよ、凄く。そういうグっと来る台詞も、どっかの本の奴なんですか？
女,…うーん、思い出せないですね
男,ははは、本当に本のセリフなんですかね？
女,もうわかりませんフフフ
男,…
女,…
男,そろそろ、帰りましょうか
女,そうですね、結構時間経ちましたね。あの、男さん、私の何を見て、良いとか思えたんですか？。え？
男,そんなのが最初なんだけど、まあ、話してる内にですよ楽しいんです
女,いちいち正直過ぎじゃないですか？きっかけとか、そういうの。そうですか？やっぱり変ですかね。ありましたね。それって、全然普通じゃないですか？
男,…そうなんですけど、そんなもんですよたぶん。女さんこそ、どうなんです、そこらへん。うん
女,その時、男さんちょっとムっとしてたじゃないですか？
男,そうでしたっけ？。そんだけ？そんなもんですか？
女,そんなもんですよ…やっぱり、話してて幸せなんです同じですよ
男,…うん、そうだなあ
女,…あ、家についちゃいましたね
男,ですね…
■６月初旬月曜日,早朝
男,後輩女さん、相変わらず朝早いな
後輩女,先輩こそ私より全然家遠いのに
男,俺は元々、早出勤早退勤派なの朝は静かでいいんだ
後輩女,…先輩、お隣の方とは最近どうですか？
男,あー、うん、あー、付き合う事になった
後輩女,ええ？
男,…
後輩女,…いいなあー羨ましい
男,うん、まあ、当面は、仕事しとこうよ
後輩女,うーん、そうですね
男,女さんが居なかったら、好きになってたんだろうか？わからんな。…どっちにしろ、目は無いか怖がられてるからなぁ
上司,作業ストーップ、お前ら聞けーおい、Ａ！黙れ、ちゃんと聞けよ
同僚Ａ,なんも言っとらんよ～
同僚Ｂ,そう言えば、もうそんな時期ですか
同僚Ａ,嫌やなぁ。う～い
後輩女,…Ａさんが嫌がるなんて、そんなに大変なんですか？。ちょっとまだ想像つきません。ああ～～～
男,ははは、苦しめ
後輩女,データ関連は色々教えてくれるんですよね？
男,そうだったっけ？
後輩女,先輩！！。他人事…。うううー
男,まあ、がんばろう
後輩女,…はい、よろしくお願いしますこれからも
男,…そういった訳で、これからどんどん忙しくなっちまうんですよ
女,大変ですね～そんなに厳しいんですか？。あらら。そういう事があったんですか？
男,うーん、ええまあ…以前に
女,ん～、でも
男,ん
女,それは多分、大丈夫ですよ
男,そうですか？
女,だって私達、隣同士じゃないですかいつでも会えるんです
男,…そうですね
女,そうですよ
