理事長,音ノ木坂を廃校にします
ツバサ,ま、なんでもいいけどね。ねえ園田さん、私の球を受けてみない？
海未,えっ？
ツバサ,ミットは用意してある。もし、その気があるならそこの公園で、一球だけ私のストレートを見せてあげる
花陽,あ、あの…それって、ツバサさんに何のメリットもないんじゃ…？海未ちゃんと私しかいないけど、それでも一応、戦う前に直接ボールを見せちゃう事になるわけで…
海未,花陽の言う通り、綺羅ツバサにはメリットがない。一体何を考えて？まさかキャッチボールにかこつけて私に怪我をさせるつもりでもないでしょうし…
ツバサ,別にただの気まぐれよ。今日一日追いかけてきてわかったんじゃない？私は深く考えて行動するタイプじゃないの
花陽,た、確かに…
海未,試合前に綺羅ツバサのストレートを見られる…？この上ない幸運！
ツバサ,やるの？やらないの？ミットさえまともに構えててくれれば怪我はさせない。怖がって目を瞑ったりすればその限りじゃないけど
海未,受けましょう。断る理由などありません
花陽,う、海未ちゃん、大丈夫…？
海未,絶好の機会、逃す手はありません。ふふっ、心配しないでください花陽。たかがストレート、来るとわかっていて取れない物ではありませんよ
ツバサ,それは上等ね。はいミット。そっち、壁の前に座って。そう、そこ
海未,……私の準備はいいですよ
ツバサ,それじゃ、行くわね。……
海未,構えに入った瞬間……空気が変わった
花陽,ゆったりとしたワインドアップ…ツバサさんの小柄な身体がすごく大きく見える！
海未,さあ、見極めてみせます…貴女のボールを。流れるような体重移動からの豪快なオーバースロー…来るっ！
ツバサ,フッ！
海未,え、リリースポイントが見えな……速…いっ！！
花陽,うっ、海未ちゃあんっ！！
海未,……う、…あ
ツバサ,………。あーあ、目をつぶってボールを弾いちゃったか。つまらないわね
海未,ああ……ああああ！！！
ツバサ,園田は生まれて初めて心の底から震え上がった…真の恐怖と決定的な挫折に…恐ろしさと絶望に涙すら流した…これも初めてのことだった…
海未,勝手におかしなナレーションを入れられているのに…身体が竦み上がって声が出ません…！。……見えなかった…！球の出所がわからなくて…気付いたら球が目の前に…！怖い…！？怖いっ…！
花陽,海未ちゃんっ、大丈夫っ！？大丈夫！？
ツバサ,あーあ、落胆したわ園田さん。穂乃果さんの親友みたいだし、小指の先くらいは期待してたんだけど。言っておくけど今の球、全力では投げてないから
海未,う…あぁ…
ツバサ,今の捕り方だと突き指してるかもしれない。小泉さん、指を冷やしてあげておいて
花陽,はっ、はいっ！
ツバサ,それじゃ、さようなら。次に会うのは試合かしら。その体たらくで勝ち上がれるのかは疑問だけどね？
海未,………っ…。完敗…完膚なきまでに…っ！
穂乃果,練習終わりに希ちゃん凛ちゃんと本屋に寄ったはいいけど、いやー散財…一気に4冊も漫画買っちゃったよ～
凛,新刊がまとめて出てたもんねー。今度凛にも読ませてね！
希,ウチもウチも。それの続き気になってたんよね
穂乃果,いいよー、読み終わったら二人にも貸すねっ！
凛,希ちゃんもなんか雑誌買ってたよね、何の本ー？
希,ウチはこれ、月刊ムー
穂乃果,むー？なにそれ？
希,ふふふ、最高にオカルトでスピリチュアルでクールなスーパーミステリーマガジンやで。読んでみる？
穂乃果,いいの？どれどれ…地球膨張重力増大…江戸のUFO虚舟事件の謎…幻の竜宮城…禁断のボイド時間…魂活…。おおう、オカルティック…
希,今月の付録は金運・財運を招き、願望を成就させる禁断の最奥義！奇門遁甲造作法富本銭型マグネット二人とも、欲しければ今が買いや！
凛,ぜっ、全力で胡散臭えにゃー！！
穂乃果,さ、さすがは希ちゃん…穂乃果にはハイレベルすぎるよ…
希,ふふ、読みたかったらいつでもバックナンバー貸したげるよ～？
凛,スピリチュアルとかオカルトも奥が深いんだにゃー…
希,そうなのだよ凛ちゃん。さてさて、スピリチュアルな話をしてたらちょうど神田明神の近くやし、軽くお参りでもしてかん？
穂乃果,うん！大会、勝てるようにお祈りしとかなきゃね！
凛,行くにゃ行くにゃー！
穂乃果,平日の夕方だとさすがに人も少ないねー
希,ふふ、静かにお参りできていいね。さ、お賽銭入れよか
凛,希ちゃん希ちゃん
希,ん、どうしたん？
凛,凛、いつも思うんだけど…神様のところってたくさんの人がお祈りに来るでしょ？来た人たち全員のお願いを聞くのはいくらなんでも無理だよね。その辺、どうなってるのかなーって
穂乃果,あ、確かに…受験の時、わざわざ遠くの学問の神様にお参りしに行ったのに落ちた～って文句言ってる子もいたなぁ
凛,だよね、受験の時なんてほとんどの人がお参りに行くのに、落ちる人はいっぱいいるんだもんね
希,ん～そうやねえ…。ウチの考えやけど、実際んとこ、神様って別にお願いを叶えてくれるわけじゃないと思うんよ
穂乃果,ええっ！そうなの？
凛,お賽銭詐欺にゃー！？
希,あはは、ウチのなんとなーくの考えやから真に受けたらあかんよ？
凛,じゃあじゃあ、なんで希ちゃんは熱心に神様にお祈りしたりするの？
希,うーん、そうやなあ。ウチにとってのスピリチュアルっていうのは自分を信じてあげるためのおまじないみたいなものなんよ
凛,おまじない？
希,そう。誰でも自信をなくして、自分の力を信じられなくなるような時ってあるやろ？そんな時に、あの時お参りをしたから神様が守ってくれるって、そう思えたらちょっぴり気が楽やん？
凛,気が楽…えー、それだけ？
希,ご利益っていうのは神様が直接スーパーパワーで助けてくれるってよりも、ほんのちょびっとだけ自信をプラスしてくれるようなイメージやね
穂乃果,自信を持たせてくれる…かぁ
希,努力以外でできる事、ってとこかなぁ。それってすごく曖昧なものやけど、試す価値はある。そう思うんよ
凛,難しい…けど、なんとなくわかるにゃー。お祈りしといて損はない！って事だよね？
希,うんうん！せっかくお祈りするなら全力でお祈りしとこうって話やね！
凛,よーし！神様！凛たち頑張ります！
穂乃果,穂乃果も！神様、私はツバサさんを打ちます。打って、みんなと勝ちます！見ててください！
希,……なーんて言いつつ、神様に愛されてるような子も世の中にはいるんやけどね？
穂乃果,南無っ！南無ぅー！
凛,穂乃果ちゃんそれ宗教違うにゃー
希,穂乃果ちゃん…統堂さんの守備を破ったあの一打…。この子に憑いてる運はウチのちょっとしたラッキーとはまた違う。天に愛されてる子、そんな感じがするんよ。こういうのって、主人公属性とか言うんかな？。けど、綺羅ツバサちゃん。あの子からも同じ、天運を感じる。同じ主人公属性同士なら、穂乃果ちゃんでも勝てるかはわからない。それなら手助けになってあげたい…。だから神様お願いです。みんなの力になれるよう、私を見守っていてください…もう二度と、この前みたいな無様は晒さない…！
穂乃果,さてっ。買い物もしたし、お祈りもしたし、そろそろ帰ろっか！
凛,お腹減ったよー！帰るにゃー！
希,暗くなり始めてるしね、二人とも気をつけて帰るんよ～
穂乃果,はーい！
凛,はーい！
希,絵里ちは、そろそろあの人らと会ってる時間かな…？。カードのお告げは正義の正位置。決して悪いカードじゃないけど…なんだか胸騒ぎがする。おかしな事にならないといいんだけど…
凛,あ、そうだ希ちゃん。今日の練習中に絵里ちゃんがなんだか暗かったんだけど…なんでかな？
希,えっ！？あー、ウチは知らんなぁー？本当は知っとるけど教えるわけには…
穂乃果,希ちゃん…？な～んか怪しいような…
希,全然！全然何も知らんよ！穂乃果ちゃん考えすぎやって～
穂乃果,ん～？そっかぁ
凛,希ちゃんでもわかんないかぁ。うーん
穂乃果,そういえばだけど、穂乃果が話しかけた時もなんだか上の空だったなあ。体調悪かったとか…
凛,あ、プリンセスの日だったのかな？
希,そ、その言い方はなんか生々しいなぁ…ええと、たぶん違うんやないかな？
凛,心配だなぁ。練習中にあんなに落ち着かない絵里ちゃん始めて見たから。誰かと連絡を取ってたみたいだったけど…
穂乃果,うーん…何かあったなら励ましたいよねえ。やっぱり、絵里ちゃんを元気付けてあげられるのって希ちゃんだと思うな！
凛,凛もそう思う！希ちゃんがギュッと抱きしめてキスでもすれば一発だよ！
希,んー、そうやなぁ、キスでも～……って、待ちたまえ！百合は軍務規定違反だぞ凛二等兵！
凛,にゃにゃ！？
希,元気づけるために女の子同士でキスというその発想、まさに百合厨！風紀の乱れ、ひいてはサークルクラッシュを引き起こしかねない！
穂乃果,な、なんだってー！？
凛,の、希隊長っ！？凛はそんなつもりじゃ
希,言い訳無用、軍法会議にかけさせてもらおう！穂乃果一等兵、彼女を拘束したまえ！
穂乃果,イエスマム！
凛,ちょ、穂乃果ちゃ！ひえっ…なんかすっごいマッチョになってないかにゃ！？
穂乃果,希'sブートキャンプの成果だよっ！
凛,と、とにかく異議を申し立てるにゃー！凛は百合じゃないよ！
希,百合じゃないよ！だとぉ～？罪深い……罪深いぞ！どの口がほざいておるのかね！君は花陽ちゃんのバッティンググローブを新品とすり替えて持ち帰り、枕の下に敷いて寝ていたそうじゃあないか！
凛,え、それの何が悪いの？かよちんの手汗の匂いに包まれて毎晩ぐっすり快眠にゃー
穂乃果,oh…
希,ヒエ～ッ！とんだナチュラルボーンガチレズモンスターが隠れとったもんやね！どうやら修正が必要なようだ！ワシワシの刑に処s
凛,異議ありにゃ！
穂乃果,何ィ？悪あがきは良くないぞ凛二等兵！
凛,だって絵里ちゃんだって言ってたよ！希とキス…？アリね♪って！
希,えっ……なっ、嘘、絵里ちがそう言ったん？っていうか、どんなシチュエーションでそれ聞いたん？
凛,練習の合間のたわいもないガールズトークです希隊長！
希,い、一年生相手になんてヘヴィなガールズトークをしとるんや絵里ち！
穂乃果,ほほぉう…その件、詳しく聞かせてもらおうか凛二等兵
凛,続けて爆弾投下するであります、穂乃果一等兵！絵里ちゃんはどうせキスするなら舌まで入れちゃおうかしらね？ふふっ、ああ見えて希は攻められるのに弱いから♪とも言っていたであります！エッロい顔して！脚色マシマシ
穂乃果,Foo～！由々しき事態ですな由々しき事態ですなぁ！
希,えっ、ちょっ、待っ…！？ひ、ひゃあぁぁ…絵里ちのアホ…！
凛,ヘイヘイ希ちゃん顔真っ赤だよ～？真のガチレズモンスターは誰かにゃ～？がちゆり、はっじまっるにゃー！
穂乃果,これは、希隊長……ワシワシの刑だよっ！
凛,執拗にやるにゃ！じっくりと！ねっとりと！！
希,うあぁ！！！ゆ、百合はあかーん！！！ブハァ！！！
穂乃果,あっ、鼻血が！メディック！メディーック！
絵里,…。19時半…そろそろ来る頃かしらね。…。…来た。……こんばんは
あんじゅ,はぁい絢瀬さん
英玲奈,こんばんは、絢瀬さん
絵里,統堂英玲奈、優木あんじゅ…。来てくれてありがとう。試合の時に連絡先を交換しておいて良かったわ
あんじゅ,うふふ。夜会えないか、だなんて連絡が来るんだもの。びっくりしちゃった
絵里,ごめんなさい、急に呼び出してしまって
英玲奈,それで、日も暮れた時分にどのような要件だろうか？
絵里,…単刀直入に言います。綺羅ツバサの弱点を教えて
あんじゅ,えっ…？あなた、何を言ってるの？
英玲奈,……絢瀬さん、自分が何を言っているのか理解しているのか
絵里,問答をする気はないわ。弱点を知っているの？知らないの？
英玲奈,ツバサも人間だ。弱点も……あるといえば、ある。些細な弱点だがな。しかし、仲間の弱みを敵に話す者がいると思うか？
絵里,勘違いしないで、これは正当な要求よ。綺羅ツバサを負かして欲しいというのがあなたたちの願い。なら、情報を提供して然るべき。そうでしょう？
あんじゅ,それは…！
絵里,それとも、私たちに頼んでそれで終わり？呆れるわ、他力本願もいいところね
英玲奈,…返す言葉もない。が、それでも教えられる事はない
絵里,そう。それじゃあ、あなたたち二人の言葉を綺羅ツバサに聞かせてあげようかしらね
あんじゅ,私たちの言葉…？どういうこと？
絵里,音ノ木坂が野球をしているのは廃校阻止のため。先日の試合も学校の宣材として使うため、ベンチで録画をさせてもらっていたの。もちろん、UTXの責任者の方から撮影許可は頂いてます
英玲奈,…
絵里,録画係をしてくれた子、穂乃果の同級生なんだけど、すごく気の回る子でね。試合が終わった後も撤収ギリギリまで録画を続けてくれていたのよ
あんじゅ,…！まさか
絵里,ええ、ハッキリと録画されているわ。あなたたち二人が綺羅ツバサの敗北を願う言葉がね
英玲奈,…！
絵里,弱点を教えないと言うのなら結構。綺羅ツバサにダビングした映像を送り付けて、彼女の精神面の動揺と、あなたたちチームの内部分裂を狙わせてもらうわ。勝てる確率を少しでも上げるためにね
あんじゅ,あっ、貴女…！っ、卑怯者…！
英玲奈,……、やめろ英玲奈。元はこちらが迷惑を掛けているんだ
絵里,穂乃果がいなくなればみんなが悲しむ。大切な仲間を理不尽から守るためなら、私はどんな汚い手段を取ることも厭わない。それで？教えてもらえるのかしら
英玲奈,わかった…教えよう。教えれば、ツバサにその映像が渡る事はないんだな？
絵里,約束するわ。映像を送るのは、こちらとしても気分のいい手段じゃないから
英玲奈,わかった、話そう。あんじゅ、それでいいな？
あんじゅ,最低よ…絢瀬絵里、あなた最低…っ！許さないから…！
絵里,……なんとでも言いなさい
英玲奈,……話すぞ
絵里,弱点、聞けたわね。……要点だけを話して二人は去って行った。………クイック、手抜き癖、そして監督、か。…！誰？
真姫,…エリー
絵里,真姫…！どうしてここに？
真姫,たまたま。ちょっと散歩に出たら、エリーを見かけたから後をついてきたの。本当は希が教えてきたんだけど。…っていうか、それなら希が来ればよかったじゃない。この真姫ちゃんを小間使い扱い？なによそれ、イミワカンナイ！
絵里,……見ていたの？
真姫,ん、まあ…。詭弁と脅迫で情報を引き出す。流石にやり手ね、エリー
絵里,真姫、私を軽蔑するかしら？
真姫,軽蔑？まさか。あなたがやらなきゃ私がやってたわよ
絵里,……そう
真姫,だけどエリー、聞き出した情報は私たちの胸に留めておくべきだと思う
絵里,どうしてそう思うのかしら
真姫,わかるでしょ…？きっと穂乃果はこのやり方を嫌う
絵里,…そうね。ふふ、そうね
真姫,でも、希には知っていてもらうべきかも。みんなの中では精神的に大人だし、絵里の事もよく分かってる。合理的な判断をしてくれるはずだわ
絵里,……駄目よ、希は駄目
真姫,ハァ？どう考えたって希が一番理解してくれそうじゃない。一番の親友でしょ？
絵里,一番の親友だからこそ……希には、私のこういう、汚い面を見てほしくないの…
真姫,なにそれ…。じゃあそもそも、情報を聞き出した後はどうするつもりだったのよ。はぁ…メンドくさい人たち
絵里,……ごめんね、ワガママ言っちゃって
真姫,メールの文面的に、希は大体の事情を察してたみたいだけど。絵里のこの反応も予想してて、それで代わりに私を行かせるような真似をしたって事？ホント、二人揃って面倒。いいわ、聞き出せた弱点については私のパパのツテで向こうの関係者から聞いたって事にしましょう。それなら、みんな抵抗なく聞いてくれると思うから
絵里,…ありがとう、真姫
真姫,別に……いいわよ。もう遅いし暗いわ。家から運転手を呼んだからエリーも乗って行きなさい。家まで送ってあげる
絵里,う、運転手…？料理人の話は前に聞いたけど、真姫の家には運転手さんもいるの？
真姫,…？そりゃ、料理人がいれば運転手くらいいるわよ
絵里,じ、じゃあ、執事とか侍女とか庭師とか家政婦とか…
真姫,全部いるけど？ほら、車乗るわよ
絵里,ほわあ…。ねえ真姫ぃ…私、統堂さんと優木さんに嫌われちゃったわ…
真姫,んん
絵里,せっかく連絡先を交換して、友達になれそうだと思ったのに…
真姫,そうね
絵里,特に優木さん…私の事、最低だって…そうよね…最低よね…
真姫,気にしない事よ
絵里,そうは言うけど…私の事すっごい睨んでたのよ…
真姫,あーもう！嫌われるとか承知でやったんじゃなかったの！？めんどくさい！
ことり,ん～…
にこ,……
ことり,…ね、にこちゃん？
にこ,……なによ
ことり,ちょ～っと休憩してぇ、お菓子でも食べない？ことりが焼いたアップルパイがあるんだよ。アイスを添えて紅茶と一緒に…
にこ,ん、後でね…
ことり,うう…
にこ,集中しなさい。野球漫画でも本でも試合DVDでもなんでもいいわ、資料を徹底的に漁って新たな変化球のヒントを探すのよ！
ことり,もう疲れたよぉ…にこちゃぁん、せっかくことりの家に遊びに来てくれたんだし、ちょっと何かして遊ぼうよぉ
にこ,あのねぇ、遊びに来たワケじゃないのよ？にこの家よりことりの家の方が集中できそうだったから来たの。ほら手と目を止めない！
ことり,ふえぇん…ホノカチャァン…
にこ,ハノカチャヘアァ～ン…じゃないわよ全く。しっかし、新球種ってやっぱ難しいわねぇ
ことり,ごめんね、ことりが普通の球種を上手く投げられれば良かったんだけど
にこ,ん、今使えるストレートとカーブとシンカーことりボール
ことり,なんだか上手くイメージができなくって…あ、でもスライダーは！
にこ,“アレ”は使っちゃ駄目よ。絶対に
ことり,でも…、うん…
にこ,ま、こればっかりは向き不向きの問題だし仕方ないわ。投げにくい球を無理に覚えようとしてフォーム崩すのもバカバカしいし。…けど、もう一種類は球種が欲しい。なら新球開発しかないわ。理解オッケー？
ことり,はぁい…。朝から夜まで野球野球野球野球。ことりには無理だよぉ…。もちろん穂乃果ちゃんのために頑張らないとだけど、このままじゃ試合までにことりの脳がパンクしちゃう…な、なにか違う話題を…。にこちゃん。かわいいものゲーム、しよう
にこ,は？なにそれ
ことり,交互にかわいいものを言っていくゲームです。先に途切れた方が負け。明日クレープおごりね？じゃあスタート！アルパカさん♪
にこ,ちょっ、ゲームの説明不足！まあ大体わかるけど…えっと、畠山のヒゲ
ことり,えっ？
にこ,えっ？
ことり,畠山、さん？えっ、スワローズの…？あの、かわいいもの…
にこ,なによ？時間切れになるわよ～。はい3、2
ことり,あっ待って！チョココロネ！
にこ,DBスターマン
ことり,…って？
にこ,横浜のマスコットよ。タヌキだかハムスターだかの
ことり,あ、あれならわかるよ。かわいいね。マスコットならバファローベルちゃんもかわいいよね！
にこ,にこ的には広島のスラィリーと迷うところね
ことり,えぇ…じ、じゃあことりはぁ～、マンチカン！とっても小型のねこさんだよっ♪
にこ,中継ぎが炎上した後の切なそうな阪神メッセンジャー
ことり,～～っ？？や、野球から離れようよぉ…。かんかん帽！
にこ,元ロッテ里崎智也
ことり,ついに選手名だけに…く、クレームブリュレ！
にこ,すぽるとで立浪らPL先輩勢がサプライズ登場した時の元ヤクルト宮本のうろたえ顔
ことり,マニアックすぎるよぉ…なんか、もういいです。ことりの負けで…
にこ,はっ、もう降参～？ふふん、あんたのかわいいもの好きも大したことないわねー！
ことり,うぅぅ…野球…野球が脳を侵食して…野球ってかわいいのかな？高速スライダー…えへへ…高速スライダーってかわいいよね…ビューン、パタパタパター。うふふふふ
にこ,……あー。……うん、まあ、ちょっと根を詰めすぎたかしらね。ぱ、パイ！アップルパイ食べるわよ！
ことり,あ、そうだね♪食べよっ
にこ,ふう、目に光が戻ったわね…。はむっ、もぐ、、うぅ～ん…美味しい…。アンタのアップルパイ、高級店の味とまでは言わないけど、その辺の適当なケーキ屋には負けてないわよ
ことり,うふふ、料理上手のにこちゃんにそう言ってもらえると嬉しいなっ。アイスを一緒に口に入れても美味しいんだよ？はい、あーん
にこ,あーんって、よくもまあ恥ずかしげもなく…ったく、アンタって女子力の塊みたいな子ね
ことり,ほらほらぁ、アイスがでろでろになっちゃう！
にこ,あむ。……ん、おいしい
ことり,よかったぁ♪えーっと、こっちのカットがみんなに持っていく分と、これがお母さんにあげる分と…分けてもまだ残るなぁ。にこちゃん後でこれ、持って帰らない？
にこ,いいの？嬉しい。妹二人と弟がいるから喜ぶわ
ことり,にこちゃんの妹と弟？わぁっ絶対カワイイ！ことりも会いたい！今度にこちゃんの家に行ってもいい？
にこ,ダメよ
ことり,え～っ、なんでぇ。おねがぁいっ♪
にこ,うぐぬっ…、、ふ、ふん。それが通用するのは海未と、まあ穂乃果と…せいぜい花陽ね。少なくともにこには通用しないわ。あ、真姫ちゃんもチョロるか…
ことり,んん～……にこちゃん、どうしてダメなの？もしかして、ことりの事あんまり好きじゃないとか…
にこ,バカ、アンタはこのにこにー直属の後輩よ？…す、好きに決まってるじゃない
ことり,わぁ！にこちゃんっ♪
にこ,えーい暑苦しい！
ことり,足蹴はひどいよぉ
にこ,いい？世界のセンターことマジェスティックにこにーは軽々しく人を家に上げたりしないわ。希でも絵里でもアンタら二年組も一年のガキンチョ三人も同じ。プライベートは安売りしない主義なの
ことり,ん～。残念…機会があったら妹さんたちと弟さんに会わせてね♪
にこ,ま、いずれね。にこに似て最強カワイイんだから！
ことり,いいなぁ～！仲良くなりたいなぁ♪
にこ,そんなに仲良くなりたいんなら……にっこにっこにー！を、せいぜい必死に体得しておくのね
ことり,ふふっ、にこちゃんはいいお姉さんしてそうだもんね？
にこ,ほら、リピートアフターミー！にっこにっこぬぃぃぃぃい！
ことり,にっこにっこに…って、にこちゃん！
にこ,な、何よ！突然顔近づけないでよね！
ことり,新球種！イメージが出来たの！外でキャッチボールしてみよ！行こっ？
にこ,ちょ、ことり！引っ張らないでよね！あぁーもう、穂乃果じゃあるまいし！
穂乃果,はぇ～、それじゃことりちゃんの新変化球っていうのは…
ことり,うんっ！手をね、こう…にっこにっこにーの形にして…こうやってボールを掴んで投げるの！
穂乃果,にっこにっこにーで握るのかぁ。えーっと、立ててる三本の指でボールを固定して、曲げてる二本の指の爪を立てる、っと…ことりちゃん、こんな感じ？
ことり,うん♪大体そんな感じ！
海未,穂乃果、真似すると怪我しますよ。ことりの指は人よりも少し長めですから、そのおかげで変則的な握り方でもボールを安定して握り、投げることができるのでしょう
穂乃果,うん、穂乃果の手じゃなんか握りにくいや…それでそれで、これってどんな変化するの？
ことり,うふふ～。練習始まったらすぐに見せてあげるねっ
穂乃果,う～、早く見たいな。一球！一球ここで投げてみてよ！
ことり,えっ、えぇ！部室で投げたら危ないよぉ
穂乃果,まだ他のみんな来てないし大丈夫！一球だけ！
海未,いけません！ダメに決まっているでしょう！こんな狭いところで投げては怪我をしますし散らかりますし、フォームも崩してしまいかねません！
穂乃果,そっかぁ…無理言ってごめんね、ことりちゃん…
ことり,こっちこそごめんねハノケチェン…
海未,全く、堪え性のない…
穂乃果,むー、海未ちゃんはもう受けてみたんだよね？どんな感じだった？
海未,そうですね、簡単に言えば沈む遅球、でしょうか。握りはナックルに似ているのですが、実際の軌道や使い方としてはチェンジアップに近いです
穂乃果,なるほどねー。チェンジアップかぁ
海未,ストレートとの択一を迫れる素晴らしい球でしたよ。十分に武器の一つとして使えます
ことり,まだまだこれから精度を上げていかないとだけどね♪
穂乃果,あ、にこちゃん
にこ,ん、早いわね二年トリオ
穂乃果,にこちゃん聞いたよー、にっこにっこにーの握りで変化球ができたって
にこ,ふふん、スーパースター矢澤にこの一挙手一投足全てには大宇宙の意思が宿ってるの。にっこにっこにーの握りで投げればそれ即ち必殺の魔球と化す…世界の摂理よ。覚えときなさい！
穂乃果,清々しいほどにドヤ顔だなぁ
海未,にこ…こっちが恥ずかしくなるほどに鼻高々です…
ことり,得意げなにこちゃんカワイイっ
にこ,あの球、スーパーにこにーボールと名付ける事を許可するわ
ことり,え、すーぱーにこにーぼーる？う、うーん…そのネーミングはちょっと…
にこ,何よ、文句ある？
穂乃果,はは、ダサい
にこ,ぬわぁんですってぇ！！？穂乃果ァ！ひっぱたくわよ！！
穂乃果,じ、冗談！冗談っ！ひっぱたいてから言わないでよ！
ことり,え、えーっと…スマイルボール！にこちゃんだから、にっこり笑顔でスマイルボールはどうかなっ？
穂乃果,あ、それいいよ！すごいいい！
海未,ふふ、にことことりの共作にピッタリの可愛らしい名前ですね
にこ,にこの名前が直接的に入ってないのはちょ～っと不満だけど…ま、それでいいわ
ことり,それじゃ、新球の名前はスマイルボールでけってーい！
海未,スマイルボール…確かに、とても効果的に使えそうな球です。ですが、ですが…あの綺羅ツバサと投げ合って、本当に勝てるのでしょうか…
穂乃果,海未ちゃん、なんだか浮かない顔してる…。なにかあったのかな
花陽,ダレカタスケテェッッッ！！！
にこ,どわぁ！ビックリしたぁ！
穂乃果,助けを求めつつ部室のドアを蹴り開けた！？斬新なエントリーだね花陽ちゃんっ！
海未,ど、どうしたのですか花陽
花陽,大変！大変なんですっ！これを見てくださいッッ！！
ことり,パソコン？えーっと…あ、女子野球のまとめサイトだね
海未,２５２５速報、女子野球関連では最大手のアフィリエイトブログですね
にこ,…
海未,それで、このサイトがどうしたのです？
花陽,この記事！一番上のっ！見てくださいっ！
穂乃果,これ？なになに…女子高校野球界にダークホース誕生…その名も音ノ木坂学院野球部…
海未・ことり,ええっ！？
にこ,ふふふ…
穂乃果,ダークホースって？
花陽,隠れた有力校、ぐらいの意味ですっ！
穂乃果,なるほどー。……ん？じゃあうちの高校が注目されてるって事！？
花陽,そうです！そうなんです！このサイト、どこだかでこの前のUTX戦の情報を手に入れたみたいで…。しかも、チーム全員についてかなり詳しくまとめてあるんです
海未,音ノ木坂の頭脳、強肩強打の大和撫子ガール園田海未…。な、なんですかこの記事は…
穂乃果,あ、写真も載ってるんだね。わぁ、このベンチで汗を拭きながらジュース飲んでる写真とかちょっとセクシーだよ海未ちゃん！
海未,う、うぁあ！こんなものが全国に晒されているのですか！？恥ずかしすぎますっ…！花陽！そのパソコンを閉じてください！いいえ閉じるだけではダメです！このバットで粉々微塵に破壊を！
花陽,ピャアアア！？PCにバットを振りおろそうとしないでぇ！
穂乃果,ちょ、海未ちゃんストップ！落ち着こう！花陽ちゃんのパソコン壊したってその記事は消えないよ！？
海未,放してください穂乃果ァ！
ことり,どれどれ、穂乃果ちゃんはぁ…、いつも朗らかチームの太陽、鋭いスイングから放たれる打球は意外性ナンバーワン。わあ！穂乃果ちゃんも可愛く撮れた写真がいっぱい載ってるよっ
穂乃果,おー、本当だ！この守備のシーンとかカッコよく写ってる！
花陽,ことりちゃんもベタ褒めだったよ！ほら見て、麗しのサブマリン、美しくしなやかなフォームで打者を幻惑！
ことり,わぁ、なんだかちょっと照れちゃうなぁ♪
花陽,小銭拾いしか脳のない腐れブログだと思ってたけど、まさか独自記事で音ノ木坂を取り上げてくるなんて…少しだけ、見直しました
穂乃果,それにしても詳しい記事だねえ。ん？なんか、にこちゃんの記事だけ長いね。しかも超ベタ褒め…
ことり,ほんとだぁ。管理人さんは特ににこちゃんのファンなのかなぁ？
にこ,ま、にこにーの圧倒的オーラに魅了されちゃう管理人がいるのも仕方のない事よね～？あ～ん、にこにーってば、罪深すぎぃ～！
希,お、みんなパソコンにかじりついて何してるん？
海未,希ぃ…変な写真が…ネットに私の変な写真がぁ…
希,どしたん海未ちゃん、足なんて震わせて。アイコラでも作られた？
穂乃果,これこれ！なんか音ノ木坂野球部がネットで特集されてるんだ！
希,あー、それにこっちのサイt…モガガ！
にこ,希！黙ってなさい！
希,なんで？音ノ木坂の知名度アップに役立ってるんだから言ったらいいやん。2525速報は矢澤にこの運営しているサイトですーって。絵里ちもウチも知ってるんやし
にこ,絶対言わないわ
希,んー？奥ゆかしさなんて、にこっちに一番似合わん言葉やと思うよ？いつもの自己顕示欲全開スタンスで行こうよ
にこ,なによ自己顕示なんちゃらって！まず海未！海未ににこのブログだって知られてみなさい、夜叉みたいな形相で記事の消去を迫ってくるのが確実よ
希,なるほど…その光景がありありと目に浮かぶね
にこ,あと、花陽も…
希,花陽ちゃん？あ、そういえば花陽ちゃん、ガチガチのアンチアフィやったね。そっか、ふふ。可愛がってる後輩に嫌われたくないもんね？
にこ,…そ、そうよ。悪い？
希,んーん、了解♪じゃ、これはウチら三年生だけのヒミツって事で
にこ,ん…それでよろしく頼むわ
希,でも残念。にこっちが書いてるってわかって読むと、また違った面白さがあるんやけどな～
にこ,なによ、その面白さってのは
希,だって、ねえ？穂乃果ちゃんをチームの太陽って書いてたり、花陽ちゃんは堅守を誇るチーム１の癒し系少女、凛ちゃんは笑顔きらめく韋駄天キャットガール、真姫ちゃんはクール＆キュートな未完の大器、とかやったっけ？
にこ,書いたけど、それがどうしたのよ
希,ふふ。なんていうか、にこっちのチームみんなへの愛がこれでもかってぐらい溢れてるんよねぇ
にこ,うぐっ！ちょ、そういう読み方するのやめなさい！恥ずかしいでしょ！
希,絵里ちとたぁっぷり楽しませてもらうよ～？
にこ,やぁめなさいよ！
謎のサイトで取り上げられた影響もあってか、音ノ木坂学院野球部の知名度が上昇！近所のおじさんやおばさん、通りすがりの人なんかが,頑張って
とっても嬉しいんだけど、海未ちゃんは,危険です！知らない人からもらった物を食べてはいけません！
穂乃果,うわぁ…すごい人の数
にこ,当然よ、地方予選なしのオープン参加で、今回は大会史上最多の142校！それが一堂に会してるわけだから壮観よね！
絵里,ふう、人酔いしちゃいそうね
にこ,絵里、アンタさっきから水ばっか飲んでるけど大丈夫？変な時にトイレ行きたくなるわよー？
