レスキネン,マホ、こんなに遅くまで随分と熱心だね
鈴羽,…………
真帆,一体、どういうつもりなのか……
鈴羽,…………
真帆,はぁ。仕方ないわね。ええと、あのね紅莉栖。ちょっと、その、物は相談なのだけど……教授への報告をしばらく待ってはもらえないかしら？。実は、他に試してみたい方法があるの。ちょっとばかり段取りのいる手段だから時間がかかってしまうのだけれど……。できるなら、教授への報告はそれを試した後にしてもらえると助かるわ。ごめんなさい。少し人には言いづらい方法なのよ。ダメかしら？。了解よ。悪いわね。ええ、後でね。はぁ。何で私がこんな嘘なんてつかなきゃいけないのよ。さあ、言うとおりにしたわよ。これで良いのかしら？
鈴羽,上出来だよ、比屋定真帆。これでまだしばらくは、ボクたちの動きが察知されることはないはずだ
真帆,…………
岡部,ふむ。で、それで結局どうだったのだ？まあ、電話をしている貴様の反応からして、答えを聞くまでもないだろうがな
真帆,そうね。あの子の話が、あなた達の空想劇に見事な土台を与えてくれたわよ
紅莉栖,それってつまり……
真帆,ええ。紅莉栖のアマデウスも、去年の７月２８日を境に不可解な容量増加を把握していた。おまけに……。私の記憶データに見られた１０７メガの容量増加も、それとまったく同時期に発生していたらしいわ。私のアマデウスから直接聞いたそうだから確かでしょうね。つまり……。世界線とかシュタインズゲートなんていうぶっ飛んだ話に、真っ当な信憑性が付与されたということになるわ
岡部,では、俺たちの計画に協力してもらえるのだな？
真帆,それは……。さて、これはどうしたものかしら。何と答えるべきか考え所だけど
紅莉栖,先輩、どうか協力してくださいませんか？
真帆,…………。あなた達は気軽に協力協力って言うけど、じゃあ協力するって言ったら私は一体何をさせられるの？。言っておくけど、私には荒事なんて出来はしないわよ？
鈴羽,なに、そんな大層な事をしてもらうつもりなんて無いよ。ボク達の目的は、あくまでも君のアマデウスをこの世界から消し去ることだ
真帆,…………
鈴羽,だから、協力者として君にやってもらいたい事は一つ。なぜかこちらから通信できない君のアマデウスに対して、比屋定真帆の持つ権限を使用して“強制アクセス”を行ってもらいたいんだ
真帆,……ああ、そういう事ね。つまり、デリートできるようにお膳立てをしろ、と
鈴羽,理解が早くて助かるよ
真帆,でも悪いけど、それは無理でしょうね。例え私の権限を用いたとしても、現状ではアマデウスをデリートするところまで漕ぎ着けられないはずよ
鈴羽,どうしてだい？アクセスさえ出来れば、あとは消すだけじゃないか
真帆,やっぱり……私のアマデウスを消すことが目的には違いないのね。そうじゃなくて、そもそも私にもアクセスができないという状況なのよ、今は
鈴羽,？
真帆,何できょとんとしているのよ。私と紅莉栖のアマデウスとの電話、聞いていたはずでしょうに。はぁ。要するにね……。というわけで。今、私のアマデウスには奇妙なパスワードが掛けられてしまっているの。そしてそのパスの影響は、アマデウスだけでなく強制アクセスシステムの制御にまで及んでいる。だから、そのパスワードを何とかしない限り、オリジナルの私ですら自分のアマデウスにアクセスすることが出来なくなっているという分けよ。どう？ご理解いただけたかしら？
鈴羽,ああ、なるほどね分ったよ。でもね比屋定真帆。そんなことは何の支障にもならない。そうだよね、牧瀬紅莉栖？
真帆,え？
紅莉栖,…………
真帆,どうしてそこで、紅莉栖の名前が出てくるの？
鈴羽,そんなの決まっているじゃないか。アマデウスや強制アクセスの中に追加のパスワードを仕掛けたのが、牧瀬紅莉栖だからだよ
真帆,は？
鈴羽,だから。君の言っているパスは、そこにいる牧瀬紅莉栖が仕込んだって言ったのさ。今朝早くのことだったよ。という訳だから、牧瀬紅莉栖は当然としてボクもそしてオカリンおじさんも、君の問題視しているパスワードなら解除する方法を知っている。どうかな？何の問題にもならないだろ？
真帆,うそ……でしょ？
紅莉栖,いや、その、ええと……何といいますか
真帆,紅莉栖のこのうろたえ方。まさか、そこまでしたというの？そんなこと……いくらなんでも信じられない。…………
紅莉栖,あう……
真帆,本当に本当なの？でもだとしたら、いち研究者としてどこまでも真摯であるはずの彼女が……どうしてそんな真似を？。…………。鈴羽さんと、それから岡部さんと言ったわね？
鈴羽・岡部,…………
真帆,まさかあなた達、そうするよう紅莉栖に強要したわけじゃないでしょうね。返答いかんによっては……ただじゃおかないっ
紅莉栖,そ、それは違うんです！強要とか、無理強いとかされたわけじゃなくて……というか、むしろ
真帆,……むしろ、何？
紅莉栖,そのっ！。先輩のアマデウスや強制アクセスにパスワードを仕込もうと発案したのは、私の方なんです！
真帆,……な。なぜあなたがそんな真似を……
紅莉栖,………。……。…。覚えていますか、先輩？。昨日、私と先輩が研究室で話していた時、急に電話がかかってきましたよね
真帆,それって、紅莉栖にしては珍しく声を荒げていた、あの時の。ええ、覚えているわ
紅莉栖,その時の電話の相手。それって実は、そこに居る彼、岡部倫太郎だったんです
真帆,そ、そう……
紅莉栖,私はその電話で、そこにいる彼に呼び出されました。日本にいると思っていたのに、急にアメリカにいるとか言われて。それで慌てて飛んでいった私に、彼はこんな話を持ちかけてきたんです。うちの大学に忍び込むから手を貸して欲しいって
真帆,…………
紅莉栖,私は当然拒否したんですけど……。でも彼はその夜、大学潜入を強行してしまいました。そんな彼の行為に私もついカッとなって、不法侵入した彼を追い立てたりもしました。でも、後から阿万音さんとも合流して、それに至った事の経緯と事情を聞かされて……。そこで初めて事の重大さに気がついたんです
真帆,……紅莉栖
紅莉栖,私だって、そこの二人と同じなんです。私だってシュタインズゲート世界線を手放したくない。何があろうと、この世界線は決して手放していいものではない。だったら、このまま放置しておくわけにはいかない。そう判断し、教授や先輩や研究室の皆に悪いとは思いながらも、他に有効な手段も思いつかず……それで
真帆,それで……パスワードを追加したと？
紅莉栖,はい。それが、アマデウスに携わった人たちを裏切るような行為だということは、自分でも分かっています。それでも、何か手を打たなければ危険だと判断しました。だから
真帆,パスワードを追加する。たったそれだけの行為に、いったいどんな意味があったというのよ？。それに、今の紅莉栖の表情はなに？あの天才、牧瀬紅莉栖がそこまで思いつめなければならないような、そんな非常事態だということなの？。……ねえ紅莉栖。今ならまだ、軽い冗談のつもりでしたで済ませてあげてもいいのだけれど？
紅莉栖,先輩！
全員,…………
真帆,タイムトラベル、リーディングシュタイナー、サリエリ、シュタインズ・ゲート世界線、そして私の死。これから先の未来で起きるらしい色々。あなたはそれを心から愁いている。それで良いのね、紅莉栖？。ねえ、鈴羽さん
鈴羽,何だい？
真帆,教えて頂戴。これからの未来で、いったい何が起こるのか……いえ、そうじゃないわね。きっと私が知るべきなのは……。私の持つ権限を使って私のアマデウスを完全にデリートする。そうすることで、いったい何ができるというの？
鈴羽,やっと目の色が変わったね。これは牧瀬紅莉栖のお陰かな？
真帆,質問に答えなさい
鈴羽,そんな怖い顔で見ないでほしいな。いいよ。ここまできたら仕方が無い。今、この世界で何が起きているのか。そしてこの先の歴史で何が起ころうとしているのか。これからそれを、君に話して聞かせることにするよ。この世界の歴史は今ゆっくりと、でも確実に、シュタインズゲート世界線からその姿を変え始めている。変化の向かう先はサリエリ世界線と呼ばれる歴史。そう、言うまでもなく、それはボクのいた未来へとつながる歴史のことさ。ではどうしてシュタインズゲート世界線は、本来あるべきはずの流れから外れてしまうような状況に陥ってしまったのか？。未来において、その分岐点だったと考えられている歴史上のポイントは大きく二つ。一つは比屋定真帆のアマデウスが、１０７問題と呼ばれる不可侵なはずのデータ領域に対して、アクセスする手段を確立してしまったこと
真帆,あの107メガにアクセスですって？そんなこと本当に──
鈴羽,できたのさ。まあ、結果論でしかないけどね。そして恐らくは、手段の確立という事象そのものが、シュタインズゲート世界線の歴史に変化をもたらす切欠になったのではないかと考えられている。そうして切欠を経ることで始まる世界線の変化。それを未来では、シュタインズゲートの“ほつれ”と呼んでいた
真帆,ほつれ……。その言葉、なんだか聞き覚えがあるわね。あなた確か昨日の夜、そんな言い回しを口にしていなかった？
鈴羽,へえ、覚えていたのかい？あんな状況でたったの一度口走っただけだったのに、たいしたものだね。素直に感心するよ
真帆,あんな状況だったからこそ、よ。それに他にももう一つ……確か……何だったかしら？
紅莉栖,ひょっとして、“破綻”のことですか？
真帆,ああそれね、破綻。その単語も聞いた覚えがあるわ。よく分ったわね紅莉栖
紅莉栖,いえ。“ほつれ”と“破綻”の二つのワードは、阿万音さんがセットでよく口にしていたので
真帆,そうなの？
岡部,ああそうだ。もっとも、俺たちとしてもそれらの単語が持つ本当の意味を、少々計りかねてはいるのだがな
紅莉栖,俺たちって言うな。少なくとも私は理解しているつもりよ
岡部,ぬ、ぐ……
鈴羽,話を続けても構わないかな？
真帆,そうね。お願い
鈴羽,じゃあ。シュタインズゲート世界線の歴史がサリエリ世界線へと変化を始めた事象。それが“ほつれ”だという事は、今話して聞かせたわけだけど。それとは別に、もう一つ存在するターニングポイント。それが“破綻”だ。その“破綻”が発生してしまうことで、シュタインズゲート世界線はボクの知る未来、サリエリ世界線の軌道へと完全に乗り上げてしまう。そんな“破綻”を招いた原因として考えられている出来事。それこそが……。２０１１年４月１０日に起こる、比屋定真帆の消失だ
真帆,！？
鈴羽,ここまで言えばもう分るとは思うけど……。サリエリ世界線へ変貌しようとする世界の歴史を、再びシュタインズゲート世界線の軌道へと引き戻す。それがボクが未来から受けてきた、何よりも重要な使命なんだ
一同,…………
岡部,まったく。鈴羽よ、お前はどこの世界線へ行っても苦労の絶えない奴だな
鈴羽,そう思ってくれるなら、おとり役くらいはもう少しちゃんとこなしてほしかったな、オカリンおじさん
岡部,ぬぐぐ！勝手にボクっ娘属性など付加させてきた分際で偉そうに！
鈴羽,ボクの一人称なんて今は関係ないだろ？反省くらいしなよ。おかげで結局、ボクは“ほつれ”を防ぎそこなってしまった分けだからね
岡部,そ、そうは言うがな。俺としても、どうにも実感がわかずに困っているのだぞ？。鈴羽がこの時代に存在するのだから、それだけで異常事態だということは理解できる。しかし、しかしだ。リーディングシュタイナーの一つも感知していない今の現状では、世界線の変動と言われても、どうにも危機感を持ちづらくてかなわん
真帆,え？。リーディングシュタイナーって確か、世界線の変動を感覚的に知覚する能力だったわよね？。ここまでの話だと、今現在、シュタインズゲート世界線はサリエリ世界線へ向けて変化しているってことのはずだけど。それなのに、岡部さんは一度もその変動を感知してはいない？。どういう事……？
紅莉栖,岡部、あんたまだそんな事を言ってるの？。昨日も説明受けただろ。世界線の歴史は、ゆっくりと変貌していくの。そしてあんたは、その変化する歴史の上をリアルタイムで歩いている。だったら
岡部,皆まで言われんでも分っている！リアルタイムである以上、これまでのように過去から現在までの歴史が再構築されるわけではない。だからこの件では、俺のリーディングシュタイナーが発動することはない。助手はそう言いたいのだろう？
紅莉栖,何よ分ってんじゃない。ならどうして……
岡部,頭では理解している。しかし感情はそれとは別物だ、という話だ
紅莉栖,困ったものね
岡部,ふん。大きなお世話だ
真帆,なるほど、そういう理屈か。…………。リーディングシュタイナーって大層な名前のわりに、あまり役に立たない代物なのかしら
岡部,むむ！ブラウニー貴様、今俺の事を役立たずだと思わなかったか！？
真帆,うお
紅莉栖,なにを難癖つけてるんだ、あんたは
鈴羽,はいはいはいはい！。そろそろ話を戻したいんだけど？
真帆,そ、そうね
鈴羽,さすがにこれだけの頭数が揃うと、どうにも話が脱線しやすいね。でも、みんなが好き勝手にしゃべっていたら、話の収集がつけられなくなるし……比屋定真帆の認識に変な誤解を植えつけかねない。そこの二人は、少し静かにしていてもらえると助かるんだけどな
紅莉栖,あ、ごめんなさい
岡部,ぬう……仕方あるまい
鈴羽,ありがとう、二人とも。と、いうことで比屋定真帆。ここまでの話にはついてこられているかい？
真帆,なめないで。余裕よ
鈴羽,さすがだね。じゃあ、ボクの話の続きにいこうか
真帆,ええ
鈴羽,オーキードーキー。じゃあ取り合えずは、今話題に出た部分を誤解のないように補足していくことにするよ。すでに“ほつれ”を迎えているとはいえ……。それでも今現在において、この世界の歴史はまだシュタインズゲート世界線上にあると認識してもらっても問題ないと思う。この世界線がサリエリ世界線への道をたどり始めるのは、あくまでも君の消失が起きる４月１０日の“破綻”以降になるはずだからね
真帆,私の……消失。自分の死に方とか、あまり考えたくはないわね
鈴羽,でも、だからと言ってのん気にはしていられない。だってそうだろ？破綻はまだでも“ほつれ”はすでに始まっているに違いはないんだからね
真帆,まあ、そうでしょうね。で、その“ほつれ”とやらは具体的にいつ起きたの？
鈴羽,多分、今日の午前中。ほんの二、三時間くらい前のことだと思うよ
真帆,はい！？
鈴羽,記録によると、今日の午前１１頃、比屋定真帆のアマデウスは１０７領域へのアクセス問題をクリアしているはずなんだ
真帆,それはまた……具体的な記録ね
鈴羽,まあね。何せボクのいた時代では、一度通っている歴史道だからね。それくらいのことは把握できるさ
真帆,未来って、随分と便利にできているのね……
鈴羽,かもしれないね。でもだからこそ、ボクたちは未来で今回の作戦を立案することができた
真帆,作戦って、昨夜の騒ぎのことでしょ？サーバーを銃で撃ち抜こうとか、えらく荒っぽい作戦をたてるものね
鈴羽,それは誤解だよ。銃を使おうとしたのは、やむにやまれず仕方なしにそうなっただけで、当初の作戦はまったくの別物だった
真帆,どうだか
鈴羽,本当さ。当初の予定では準備室で就寝している君を誘い出し、無人になった研究室に忍び込む。そこで君のＰＣからアマデウスを立ち上げて、デリートするという手はずだったんだ
真帆,悪いけど、その内容だと作戦としてはお粗末と言うほかないわね。どうやって私のＰＣのログイン・パスを手に入れたかは知らないけど、でもね。アマデウスのデリートには、デリート・システムを起動するためのパスワードが必要なの。そのパスは当然ログイン・パスとは別物だし、そもそも私はそれを他の誰かに教えたことなんて、今の今まで一度もないわ。つまり。どう転んでもあなたの作戦は、サーバーを穴だらけにするという選択肢を選ばざるを得なかったということになる。違うかしら？
鈴羽,それが、違うんだな
真帆,何ですって？
鈴羽,ボクは知っているからね。君のアマデウスを完全消去するために必要な、デリート・パスを
真帆,ちょ……いくらなんでも、口からでまかせでしょ？
鈴羽,何だったら、ボクがここで振って見せてもいいけど？
真帆,振るって……何をよ？
鈴羽,決まっているさ。サイコロを、だよ
真帆,サイ……んなっ！！！？？？
鈴羽,何せ未来は便利なんでね
真帆,便利ですって……？ただ未来が便利だからという理由だけでは、これはいくらなんでも納得できない
鈴羽,……何にしてもだよ。ボクは未来から使命を受けると同時に、それに必要な情報は全て持ち込み、その上で任務に当たったつもりだった。ところが実際にその場になってみると、アマデウスは君のPCからのアクセスを受け付けてくれなかった。その結果、ボクは“ほつれ”を防ぐという任務に失敗してしまった
真帆,…………
鈴羽,そんな事があって、さあどうしたものかと途方にくれていたボクに牧瀬紅莉栖が考案してくれたのが……。状況を悪化させず、現状を保持するための案。それがシステム内へのパスワード追加だった。そうだったよね？
紅莉栖,ええ。とりあえず、一時しのぎにでもなればと思っての雑案ではあったのだけど
鈴羽,でも、助かったよ。この時代でボクが行動を起こしたことで、歴史の流れに変化が出てしまうことは大きな懸念材料だったからね。本来の記録では、“破綻”が起きるのは今から約二ヵ月後の４月１０日だけど、ボクの行動で変化した歴史の流れが、そのタイムリミットにどんな影響を与えるのか分かったものじゃない。バタフライ効果とは、そういうものだからね。万が一、時期が早まるようなイレギュラーでも発生したらと思うと、どうにも頭が痛かったよ。だから。いつ起きるとも知れないそのイレギュラーを押さえ込めることは、今のボクにとってとても有意義だった
真帆,……ねえ。パスワードを追加することとタイムリミットのイレギュラーは、どう関係しているわけ？
鈴羽,端的に説明するなら、アマデウスから外部へ向けた連絡を遮断できる、という点につきるかな。例の追加されたパスワードは、何もこちらからの接触だけを制限するのが目的じゃない。なにせ追加したのは双方向に効果のあるパスワードだ。だからアマデウスが外部にアクセスできないようにすることこそが、パスワード追加の本来の目的だったと言える
真帆,なるほど。となると……。あなたの言う記録通りに物事が進むのなら、４月１０日に私のアマデウスは外部へと連絡を取り、それがシュタインズゲートの“破綻”を呼ぶという解釈でいいのかしら？
鈴羽,大まかにはその解釈で間違ってはいない。でも忘れてもらっては困るな。“破綻”の原因はあくまでも比屋定真帆、君の消失が最重要項目なんだ
真帆,そう……だったわね
鈴羽,アマデウスが外部に連絡を取り、その結果として君の存在がこの世から消える。そうして起きるのが、シュタインズゲート世界線の“破綻”であり……。その代わりの歴史として現れるのが、サリエリ世界線という名の未来なのさ
真帆,私が死んで……そしてサリエリ世界線が現れる……。ねえ
鈴羽,何だい？
真帆,あなたが居たサリエリ世界線というのは、いったいどんな歴史なの？
鈴羽,気になるのかい？
真帆,当たり前じゃない
鈴羽,そうだね。ボクとしてもそろそろ打ち明けていい頃合だと思ってはいるんだけど……
真帆,含みのある言い方ね
鈴羽,まあ、ちょっと思うところもあるからね
真帆,この期に及んで、情報を小出しにしてもメリットは薄いと思うのだけど？
鈴羽,う～ん、そうだよね、やっぱり
真帆,何よ、煮え切らないわね
全員,…………
岡部,おい鈴羽、悪いが口を挟ませてもらうぞ
鈴羽,あ、オカリンおじさん。どうぞ
岡部,サリエリ世界線というものが一体どんな歴史なのか。それについては俺もずっと気になっていた
鈴羽,みたいだね
岡部,今までお前は、サリエリ世界線の詳細やサリエリと呼ばれる人物の正体についての話題が上る度に、何だかんだと話をはぐらかしてばかりだった
鈴羽,否定はしない
岡部,ふん。お前のことだから、何かしらの理由があってそうしているのだろうと、あえて追及は避けて協力をしてきたが、しかしだ。そろそろ俺たちにも、その辺りの事情とやらを聞かせてくれても良いのではないか？
紅莉栖,そうね、私も先輩と岡部に賛成。そう言った根幹部分の事情を知らされていないという現状も、岡部の危機感をあおれていない要因の一端になっているのは間違いないだろうから
鈴羽,う～～～ん
全員,…………
鈴羽,うん、そうだね。決めたよ。昨夜の作戦が失敗した時点で、未来で立てた計画にいつまでも沿い続けることには、あまり意味がなさそうだ。それに。この顔ぶれが揃っているなら、ボクが話さなくてもいずれ勝手に憶測や仮説を立てて、結論までたどり着いてしまうかもしれないし。それなら今、ここでボクの口からちゃんとした事情を明かしてしまったほうが、まだ皆の状況把握を統一できるというものか
岡部,ようやく観念したか。では改めて問おうではないか、鈴羽よ。貴様のいたというサリエリ世界線。それは一体、どんな歴史を持つ世界線なのだ？
鈴羽,そうだね。仮にサリエリ世界線というものを一言で言い表すのだとしたら……。それは歴史上にタイムマシンが存在する世界線と、そう言うべきかな
真帆,な、何よその中途半端な説明は。身構えた私が馬鹿みたいじゃない
岡部,まさかお前、まだはぐらかす腹づもりではなかろうな？
鈴羽,そんな気はないよ。事実この言い方が、サリエリ世界線を表現するのに一番適していることには違いないんだからさ
紅莉栖,そうは言うけど、でも私たちからしたら今のじゃ何も聞いていないに等しいんですけど
鈴羽,困ったな。そうだね、なら少し趣向を変えて、こんな説明方法ならどうだろう。岡部倫太郎に牧瀬紅莉栖。仮に君達がシュタインズゲート世界線に対する定義を求められた場合、それにどう答えるかな？
岡部,何だと？
紅莉栖,シュタインズゲート世界線に対する定義か。そうね。元々不確定要素が強い対象だから言葉選びが難しいのよね。まゆりや私が死なない……っていうだけじゃ、定義というには甘すぎるし
鈴羽,ちなみにだ。ボクがいた２０３６年の君達二人は、シュタインズゲート世界線というものに対して明確な定義を設けていた
岡部,ほう、それはどんなものだ？
鈴羽,それはこんな感じだったよ。歴史上の未来において、タイムマシンが存在しない。もしくは……。存在しても、それが岡部倫太郎の主観に影響を与えることはない世界線。どうかな？
岡部,それまはた……随分と簡単に言い表したものだな
紅莉栖,ちょっと大雑把すぎるかも。でも……うん。シンプルな割りに要点は押さえてある気もする。定義としては悪くない
真帆,となると。“シュタインズゲート世界線”から“サリエリ世界線”への変貌とはすなわち……。タイムマシンが存在しないはずの歴史から、存在する歴史へと移り変わっていく事象……と。そういう捉え方で良いのかしら？
鈴羽,いいね、完璧だよ
真帆,……そう。でも、そうなると……。阿万音さん。あなたの目的は、私のアマデウスを消去することなのよね？
鈴羽,その通りだね
真帆,それで目的を達成すれば、歴史の流れをサリエリ世界線からシュタインズゲート世界線へと引き戻すことができる
鈴羽,うん
真帆,それってつまり……私のアマデウスが、未来でタイムマシンを開発するなんて事になるんじゃないかしら？
鈴羽,そうだよ
真帆,やっぱり！？。そ……そうだよってあなた、また軽く言ってくれるわね
鈴羽,事実だからね。君のアマデウスは、今から２０年後の未来において、一人の協力者とともにタイムマシンを完成させて世間に公表する
真帆,協力者？
鈴羽,そして、君のアマデウスが公表の際に名乗っていた名前。それこそが“サリエリ”だった
真帆,サリエリ……
岡部,ふむ。つまりサリエリの正体はブラウニーのアバターだったというわけか
鈴羽,その通り。だからこそボクは、比屋定真帆のログイン・パスやデリート・パスを教えてもらう事ができたんだけど──
真帆,え？教えて……？
鈴羽,どうだい、少しは驚いてくれたかな？
全員,…………
岡部,ふむ。拍子抜けだな
鈴羽,え……
岡部,残念だが、その程度では大して驚けん。予想の範疇どころかど真ん中すぎて、逆に意外性に欠けていると言わざるをえんぞ
鈴羽,えええ……
真帆,なに？何かがおかしい。サリエリ……私のアマデウスは、未来で阿万音さんと対立しているのだと思っていたけど
鈴羽,で、でもさ！ただの人工知能だった奴に世界が支配される感じなんだよ？これって結構ショッキングな展開じゃないかな？
岡部,Ｂ級映画のシナリオでも、もう少し何とかなっているぞ
真帆,阿万音さんは今、教えてもらったと口にした。敵対していた相手から得た情報なら、そんな言葉のチョイスをするかしら？。でも……。仮に対立関係ではなく、友好的な関係を結べていたのだとしたら、それはそれで、話がおかしくなる。未来でサリエリと名乗っている私のアマデウスは、自身でタイムマシンなんて代物を開発しておきながら……。しかしその一方で、世界の歴史上からタイムマシンの存在を消し去ろうとしている阿万音さんに、それに必要不可欠なデリートパスを伝えたということで……。…………
鈴羽,ほ、ほら！オリジナルを駆逐したAIが今度は人類を支配するパターンとか、スペクタクルものじゃないか
紅莉栖,駆逐とか、言葉を選びなさい
鈴羽,あ……ご、ごめん
真帆,何これ……理屈が気持ち悪い……
岡部,…………
紅莉栖,で、何？結局支配されちゃうわけ？
鈴羽,あ、いや……まあ色々と、そのね
紅莉栖,あのね阿万音さん。少しひねりが足らなかったんじゃないかしら？盛るときは盛大にが基本よ
鈴羽,いや、ちょっと！まるで全部がボクの創作みたいに言わないでくれないかな！
岡部,しかしだ。自分の分身がタイムマシンなどというものを作り上げているというのに、その本体なるオリジナルがすでに死んでいるとは……。これは手痛い失態ではないか、ブラウニーよ？
真帆,ふぁい？
岡部,かねての太古より、コピーの暴走を止めるのはオリジナルの役目と相場が決まっている。その任務を放棄してあの世でバカンスとはな。やはり貴様など、しょせんはサボターんごっ！？
紅莉栖,むちゃ言うな馬鹿岡部。不謹慎にもほどがあるっつーか、素手で殴るとやっぱり痛いわね。気をつけないと
鈴羽,いや、あのさ……
岡部,しょ……職務怠慢なブ、ブラウニーめ！貴様のバカンスなど即刻中止だ。力ずくにでもあの世から帰国させてや……
紅莉栖,しつこいっ！
鈴羽,…………
岡部,ぬぐぐ、くぉの助手が調子に乗りおって！
紅莉栖,調子に乗っているのはあんたでしょ
真帆,あらら、ひょっとして変に気を使ってくれたのかしら？
鈴羽,う～ん
紅莉栖,で、阿万音さんはどうしたのよ？急に難しい顔なんてして。驚かれなかったのが、そんなにショックだったの？
鈴羽,いやそうじゃなくてさ。実はね、まだちょっと気になる誤解が残っていたことを思い出してね
紅莉栖,気になる誤解？
鈴羽,そう、誤解だよ。そうだね、もうここまで話してしまったんだし、やっぱりその誤解も訂正しておくべきだよねぇ
真帆,訂正って何を？
鈴羽,それはね。“破綻”を決定付けた出来事。比屋定真帆の消失……つまり、君たちの考える彼女の死についてさ
真帆,…………
鈴羽,どうやら君たち三人ともに、ボクの言う“消失”という言葉を間違った意味で捉えているみたいだ
岡部,何をどう間違えているというのだ？
鈴羽,いいかい……。２０１１年４月１０日。比屋定真帆はこの世界の歴史から姿を消す。これは確かだ。でもそれは、決して君たちが思い描いているような事柄ではない。だってさ。ボクのいた２０３６年においても、比屋定真帆は消失こそすれ、それでも生物学的には生存していると言えないこともないんだからね。おまけに、サリエリなんて名乗ってたりもするんだよ
真帆,なっ！？
紅莉栖,……！？
岡部,？意味が分からんな。気の利いた言い回しか何かなのか？
鈴羽,そうだね。じゃあオカリンおじさんにも分かりやすく言い直そうか。２０１１年の４月１０日にオリジナルの身体を乗っ取った比屋定真帆のアマデウス……。それこそが、ボクの知るサリエリの本当の正体だ
真帆,身体を……乗っ取られる？
紅莉栖,それはつまり、人工知能であるアマデウスがオリジナルの肉体に乗り移るということ？
鈴羽,そうさ
岡部,おいおい。いよいよB級映画じみてきたな。なあ助手よ、そのようなことは現実に可能なのか？
紅莉栖,可能かって聞かれても、ちょっと即答はできないわね。今後の技術開発いかんによっては、そんな現象を引き起こす可能性もゼロではないでしょうし……
鈴羽,いや可能さ。実際にそれは起こった出来事なんだからね
岡部,と言われてもな。あと二ヶ月程度の時間で、誰が何を発明すればそんな事態になる？
鈴羽,何を言ってるんだい、オカリンおじさん。発明ならもうとっくにされているじゃないか。そうだろ、牧瀬紅莉栖？
紅莉栖,え、私？
鈴羽,そうだよ。ちなみに、それに至った経緯はこうさ。２０１１年の４月１０日。君のアマデウスはオリジナルである比屋定真帆に向けて、一本の電話をかけた
真帆,電話？
岡部,一本の電話だと……？電話、でんわ……でん……電話だとっ！？
紅莉栖,ちょ、まさかっ！？
鈴羽,やっと気付いてもらえたみたいだね
紅莉栖,そ、それは本当なの！？
鈴羽,うん、本当だよ。実際にそれが起こったのは、時刻にして午後５時４７分。比屋定真帆は携帯電話に自身のアマデウスからの着信を受け、そしてその瞬間を最後にこの世界から消滅する
全員,…………
真帆,あ、阿万音さんあなた何を言っているの？電話の一本で身体を乗っ取られるとか、これまでで一番メチャクチャな話じゃない。ね、ねえ紅莉栖も何か言ってあげなさいよ？ほら、ね？
紅莉栖,…………
真帆,な、なら岡部さんが……
岡部,なんと……いう事を……
真帆,何よ……何よ、何だっていうのよ……
鈴羽,続けるよ。こうして比屋定真帆の身体を乗っ取ったアマデウスは、オリジナルに成り代わり人間社会の中へと溶け込んでいく。そうして２０年に渡り研究を進め、一人の協力者の力を借りることで、この世にタイムマシンを生み出すことになった
真帆,ねえ……ちょっと……ねえ
鈴羽,彼女は持っていたんだ。自身がまだアマデウスという名の人工知能だった頃の記憶。そう、“０”と“１”だけで構成されるプログラムという存在でしかなかった時の記憶を。その記憶の中には、ここではない他の世界線での歴史が。幻のように消えてしまったはずの幾多の世界の記憶が。そんな膨大な量の色々が、無尽蔵に詰め込まれていた
真帆,だ、だからあなた達──
岡部,では……その記憶を元にタイムマシンを生み出したと言うのか？
鈴羽,ご明察。アマデウスが得た情報の中には、牧瀬紅莉栖のタイムトラベル理論も含まれていた
紅莉栖,ま、待ちなさいっ！！！
真帆,っ！？
紅莉栖,今の話は理論上おかしい！仮に真帆先輩のアマデウスが、１０７問題のデータへアクセスする手段を見つけ出していたとしても！。それはあくまでも、デジタルな存在だったからこそ可能な手段だったはず。もしもアマデウスが本当に肉体を手に入れるのだとするならば……。それなら、デジタル前提で構築したアクセス経路を、生身の人間の脳内で再現することなんて不可能なはずよ！。だったら……。肉体を得たアマデウスが、再び他の世界線の記憶を自由に閲覧することは理論上できない！
鈴羽,そうだね。もしも比屋定真帆の身体を手に入れたアマデウスが、受肉後に再び１０７問題の領域へアクセスしようとしても、そんなことは出来っこないだろうさ
紅莉栖,じゃあ！
鈴羽,でもね、違うんだよ牧瀬紅莉栖、そうじゃないんだ。落ち着いて考えてみて欲しい。生身を得たサリエリには、改めて他の世界線の記憶にアクセスする必要なんてあると思うかい？
紅莉栖,何を言いたいの？
鈴羽,簡単なことさ。アマデウスであったときに識った、他の世界線の歴史という記憶。それはいったい、どこの世界線のアマデウスが持つ記憶なんだろうね？
紅莉栖,！？そ、そうか……アマデウスはデジタルのときに得た他の歴史の詳細を……そのまま真帆先輩の肉体に受け継いできた
鈴羽,そう。例えそれらが他の世界線での記憶だとしても、しかし一度識ってしまったのなら、それはいつまでも他の世界線の記憶なんかじゃいられない。つまりだ。比屋定真帆のアマデウスは、シュタインズゲートだったはずの世界線の歴史に、他の世界線の記憶を大量に持ち込んできたというわけさ。そして……。そんな経緯で持ち込まれた記憶の中には、観測者である岡部倫太郎ですら忘れてしまった世界線の歴史も存在した
岡部,俺ですら……忘れた記憶……だと？
