学園都市を舞台にして平成二期ライダー,本編の都合上鎧武を除く
荘吉,自分の罪を数える覚悟が
上条,自分の罪……！
荘吉,さあ、お前の罪を数えろ
上条,ひ、一つ！俺は約束を守ることを諦めかけた！。二つ！俺のわがままであんたに迷惑かけた！。三つ！俺は……やっぱり弱い…！
荘吉,フッ…まあ及第点だな。まだまだ帽子は似合わねえが……
上条,あ…これ…ベルト？
荘吉,お前さん…名前は
上条,あ…か、上条…当麻です
荘吉,そうか、俺は鳴海荘吉だ
上条,よろしくお願いします……それでこれは…
荘吉,いちいち使い方までレクチャーしてやらんぞ。お前はさっき見てたからな
上条,こ…これで俺もあの姿になれるんでしょうか？
荘吉,いや、メモリがないならなれないな
上条,ちょ、ちょっと待ってくれ！ください！俺はメモリなんて持ってねえし、そもそも俺が触るとそれが壊れるんだよ！
荘吉,これスカルメモリ
上条,ぐっ…
荘吉,まあ、弱いことがお前の罪なら……きっと現れるはずだ。お前の罪…《運命のガイアメモリ》が。じゃあな当麻…この街はお前に任せた。次に会う時はもっと帽子の似合う男になれ
上条,消え…た……。お、ちょ、待っ！それに口調変わって来てねえかお前ら！？。なんだよそれ！。ヤバいぞ…どこかにメモリ落ちてませんか！。ノーモーション！？。え…？もしかして俺転んだ？。不幸だあああぁあぐっ。危ねえ…くそ！。ん…これに躓いたのか……！？。ははは…ったくもう。どうしてこう上条さんには毎回毎回《ババ》が回ってくるんでせうかね。でもどうやら今回は……。文字通りの意味らしい！。変身！
ジョーカーさあ、お前の幻想,つみ
ジョーカー,わかる…身体の動かしかたが、このメモリに記録されたライダーとしての記憶が俺に教えてくれる！
？？？,いいや、まだだな
大道,ここは……。さあ、名前も…役目も…何もかも忘れたよ
アクセラレーDPフーン、じゃあ何しに来た？まーさーかー一方通行,こいつ
一方通行,ぐっ……
大道,助ける……なぜ俺がそんな哀れなモルモットを？。だが…。てめえは気に入らねえ
レールガンDP,……あの人物は
大道,俺の拳が潰れた？……見えない壁に阻まれて
レールガンDP,痛みを感じていない……？
大道,フッ……そうか！ハハハッ！。想い出したんだよ……
レールガンDP,ロスト……ドライバー！？
大道,ここは地獄だ……なあ？《エターナル》！。死んでも死んでも死に切れねえ……。忌々しい箱庭を…俺は彷徨い歩くのさ。…変身
一方通行,白い…コスプレヒーロー？。仮面ライダー……。なンだよそれ……。あンな小さい道具で、あンなチカラが手に入るのかァ…？。寄越せよ……。そのチカラ…俺に寄越せよ！！。あのガキを護るのは……。《最強》は……！。俺なンだよォオオオオオオオオッ！！！。ハアハア……
大道,ま、まさか…エターナルが俺を拒否しただと！？
一方通行,違えな…俺が奪い取るンだ……
大道,お前……！
一方通行,それがありゃ戦えンだろ。それがありゃ護れンだろ……
大道,ィハハハッ……ハハハハハハハハッ！！！
一方通行,だったら俺に使わせろ…善悪なンざ関係無ェ柄にも無ェのはわかってる。だけどよォ、アイツの前では俺は最強じゃねェといけねェンだッ！
大道,いいぜ…使えよモルモット。だがそいつは……じゃじゃ馬だぜ？お前ごときが乗りこなせるかな
一方通行,ハハハッ！イイねイイねェ！最ッ高ッだねェえ！誰にでも尻尾振る駄犬じゃダメなンだよ！俺が欲しィチカラはよォおッ！
大道,ィハハハッ！お前も俺と同じ《瞳め。人間は皆…悪魔だってことをさ。さあ…地獄を楽しみなあ！
一方通行,地獄だァ？それこそ上等じゃねェか……。どの道俺みたいな悪党には、地獄がお似合いだ。さァな……。だが、例え本物だろうと…ガキに牙を向けるならねじ伏せるだけだ。それでアイツに恨まれてもなァ。変…身…
エターナル,黒いカブトムシだァ？。まだ、終わってねェってわけか
とある成分の補充とかじゃないから……,震え声
Vシネのエターナルにて加頭順がエターナルに変身中に超能力を使用している描写があったのでそれを参考に,使える
？？？,今回の騒動の首謀者……いや、利用者……かな？。いい反応だ…敵と見るや否な構える。普通そこまでなれねえよ。だからこそ哀れだ。この街じゃなきゃ、この世界じゃなきゃ、お前もそんな悲しい人生じゃなかったろう。幸せだってのか？この世界が？。俺はそうは思えねえ……
ジョーカー,翼…！？
？？？,何時だって何だって、俺の見ている世界は歪んでる……
ジョーカー,翼が伸びてッ！？
？？？,避けれたか……さすがアレイスターのプランの一柱。言ったろ……俺の世界は歪んでる。だから《調整》したい。完全なチカラで……歪みのない世界を得る
ジョーカー,羽音…？
？？？,例えそれが……。この世界を歪めることになっても。俺の能力はちょっと面白くてな……その気になりゃ馬鹿みたいに軽くて馬鹿みたいに頑丈な装備だって作れる。かつてそれを使いパワードスーツを開発しようとした馬鹿もいた。そうだな、それこそが俺の能力だよ
ジョーカー,なんなんだ…これ……時間稼ぎか？
？？？,この世界に無い物質を生み出し、操る……。それが俺の能力。《未元物質ダークマター
垣根？,遅えよ！。消えな！。ゴポァッ！？。一方通行……！。一方通行ァアアアアッ！！！。翼を断ち切った！？。友情タイムは終了ですか？。優しくなけりゃ女にモテねえぜ？。そりゃアレだわ。いわゆる優しい人止まりなんだな。まあ、でもよかったじゃねえか
エターナル,ってかあのカブトムシは一体何なンだァ？
ジョーカー,わからん…アレでどうするつもりなんだ。趣味か？
垣根？,これからはそんなことで悩む必要は無くなるぜ……
御坂？,
上条,ぁ…ぉ……
一方通行,ーーッーッー
Wさあ、お前の幻想,つみ
ダークカブト,何をする気かは知らないが、お前達じゃ俺を捉えることは出来ねえよ。消え失せろッ！
上条,っ…まあ限界だよな……
一方通行,ぐ……ちくしょう
照井,ドーパントやヤミーが突然消失した……一体どうなっているんだ
黄泉川,ふぃ～終わったじゃん？
照井,黄泉川！
黄泉川,お、照井！
照井,無事だったか
黄泉川,まあなんとかなったじゃん。後藤やあの連中は？
照井,セカンドライダー……いや、やつらも無事だ。今は危険が無いか辺りを見回っている
黄泉川,それならいいじゃん。私達アンチスキルはしばらく街の見回らないといけないから後になるが、色々と聞きたいことがあるからそのつもりでいてほしい
照井,ああ、わかった
黄泉川,じゃあ、また
照井,……ふう
伊達,お、竜ちゃんめっけ
照井,ああん！
後藤,無事でしたか
照井,ハァ…お前もな
ミサカ雷鳥号,私ももちろん無事でしたが聞いてませんかそうですか
仁藤,あとは……晴人達だけか
晴人,呼んだか？
仁藤,おおお！びっくりさせんなよ！
晴人,あーごめんごめん
仁藤,ったく……ん
晴人,ふ……まあ、たまにはこういうのもいいか
晴人／仁藤,ハイタッチ！
後藤,火野！
伊達,おっす！お疲れちゃん
映司,はい！ありがとうございます！
照井,左……フィリップ
翔太郎,おう
フィリップ,だがすまない。犯人は死んでしまった
照井,そうか……また後で詳しく聞かせてもらうぞ
翔太郎,ああ
弦太朗,流星が見当たらねえぞ？帰っちまったのか……ちゃんと礼言えてねえのにな
流星,後ろだ
弦太朗,おわ！
流星,その顔、どうやら満足いく結果で終われたようだな
弦太朗,ああ！お前やみんなのチカラがあったおかげだ！ありがとな！
流星,気にするな……スイッチも役に立ったようでよかったよ
翔太郎,ん～！それじゃあ俺達は帰るか！あんまり風都を開けっ放しにするのも不安だしな
映司,そういえば俺達って不法滞在扱いですよね
弦太朗,流星もか？
流星,そうだな、なんなら午後の授業は全て欠席だ
フィリップ,済し崩し的に居座っていたけれど、余計な面倒になる前に退散した方がいいだろう
晴人,ちょうどいい指輪も手に入ったしな
ミサカ雷鳥号,それ私達のテレポートリング……
晴人,いや……悪かったって。でもいいだろ合体したんだし
ミサカ雷鳥号,……すみませんでした
晴人,自分達が納得してやったなら俺は何も言えないよ
ミサカ雷鳥号,……ありがとうございます
伊達,よし！なら居残り組はこの後は飲み会だな！
照井,なぜそうなる
後藤,火野、会長によろしくな
火野,あー了解です
仁藤,よっし！解散！
翔太郎,お前が締めるのかよ！
海東,混ざらなくてよかったのかい
士,別に……それに俺にはまだ役目もあるしな
海東,まあ、士がいいなら構わないけどね
士,さて、まずは鎧武……葛葉紘汰
紘汰,お、おう
士,お前を元の世界に戻してやらないとな
紘汰,よかった～！どうやって帰ろうか焦ってたんだよ！
ミサカ00000号,あ、あの！
士,ん、どうした？
ミサカ00000号,わ、私も一緒に……
海東,それはできない
ミサカ00000号,でも……
士,不安になるのはわかる。だが、自分の世界から逃げ出すための手伝いは出来ないな
ミサカ00000号,…………
士,心配するな。この世界には……お前の力になってくれる《先輩》が大勢いる。羨ましいことにな。もし、お前がどうしようもなくなったら、あいつらを頼ればいい
ミサカ00000号,……はい
士,胸を張れ。この街の仮面ライダーはお前だ
ミサカ00000号,セクハラですね
士,ジョークが飛ばせるなら大丈夫だ……よし、行くぞ
ミサカ00000号,……仮面ライダー
エイワス,これも君のプランの一部だったのか？
アレイスター,いいや
エイワス,その割に嬉しそうだけれど
アレイスター,プラン外の騒動ではあったが、結果としては十分過ぎる成果だったよ
エイワス,けど、後始末は大変そうだな。見たまえ、メモリやスイッチ、メダルの影響を受けたこども達のせいで私の姿にも変化が現れたよ
アレイスター,まるで恐怖の化身だ。それが見られたのも成果の一つか
エイワス,はっはっはっ
アレイスター,やめてくれ……
エイワス,まあ、それではまたいつか
アレイスター,ああ、またいつか
エイワス,
アレイスター,ふふふ……
鳴滝,ふははははははははッ！！！
アレイスター,ッ！？
一方通行,でェ…なンで俺と三下が同室なンですかァ？
上条,知らないでございますですはい
打ち止め,んもー！目覚めた途端クレームつけるって一体全体どういう神経してるのてミサカはミサカは呆れ果ててやれやれと首を横に振ってみたり
一方通行,そういやお前よォ……なンか偉そうに言ってたよなァ？
上条,いや～！今日はいい天気だな～！なあ御坂！
御坂,はいはいそうですねー
一方通行,お前ンとこから外見えねェだろうが
上条,誰かー！病室変えてくれー！不幸だーーー！！！
一方通行,っせー！黙ってろ三下ァ！
上条,がふっ！？
御坂,コラァ！病室で暴れんな！
一方通行,あァあン？強気じゃねェか超電磁砲
御坂,毒電波攻撃
一方通行,ーーッーッーーー！
打ち止め,うわあ…
御坂,言っとくけど、まだ完全に赦したわけじゃないから。打ち止めから色々聞いて、あの娘達からも話してもらったから目の敵にするのはやめてあげるけど
上条,何もしてないのに目の敵にされてる上条さんがここにいますよー
御坂,最近何もしてないでしょ！
上条,散歩行ってくるわ！
御坂,ちょっと…アンタまだ全身ボロボロなんだから……っ！
上条,お前はもう大丈夫なんだな
御坂,ま、まあ、火傷自体そこまで酷くはなかったから…で、でもあれね、リハビリがてらアンタの散歩に付き合ってあげる！
上条,えー？まあいいか、一人で松葉杖付いて歩くのは結構ツライしな、ついでにインデックスの様子も見てくるか……よっと
御坂,じゃ、じゃあ、その…い、行くわよ
上条,おう、じゃあまた後でな一方通行、打ち止め
一方通行,…………なァ
打ち止め,なになにー？ってミサカはミサカは首を傾げてみる
一方通行,いつからあの三下はハットなンざ被ってやがンだァ？
打ち止め,あー……案外あの人って子どもっぽいよねって、ミサカはミサカは目を逸らす
一方通行,あァ？なンだそりゃ……何にせよありゃ
一方／打止,似合ってねェないよねー
初春,佐天さん、能力測定の結果はどうでした？
佐天,ふっふーん！聞いて驚け見て喚け！ついに私も能力者の仲間入りなぼだよ！
初春,な、ナンダッテー！それは本当かい！？
佐天,レベル1だけどね！
初春,でもよかったじゃないですか！どんな能力なんです？
佐天,それが正直私もあんまりまだわかってないんだけど……。《何でもひっくり返す》能力だって
