このスレは,とある魔術の禁書目録
縦ロール,先程は自己紹介出来なかったので改めて紹介します。わたくし××××と申します。みなさんからは縦ロールと呼ばれてますので、王子も気軽にそう呼んで下さい
上条,宜しくな、縦ロール
縦ロール,それで、王子。お願いがあるんですが...
上条,なんだ？
縦ロール,コレ......サインして頂けないでしょうか？
上条,サイン？上条さんので良ければ......ホイ
縦ロール,ありがとうございます！
取り巻きB,縦ロールさん羨ましいですわ。王子！わたくしもサインして下さい
取り巻きC,わたくしも
口囃子,わたくしもお願いしますわ
上条,ちょっと！？分かったから順番に並んでくれ
取り巻き達,はーい
食蜂,......
禁書,みさき
食蜂,うん？
禁書,言うの遅くなったけど、おめでとう！
食蜂,ありがとう、インデックスちゃん
禁書,とうまは馬鹿で鈍感な人間だけど、それでも私の大事な人に変わりはないんよ。だからとうまを頼むんだよ！
食蜂,うん！任せといてぇ
縦ロール,王子、お聞きしたいことがあるがあるんですが？
上条,ん？
縦ロール,王子にはどんな能力を打ち消す幻想殺しがあると、以前女王からお聞きしたのですが、本当なんですか？
取り巻きA,え！？
取り巻きB,どんな能力を打ち消す？
取り巻きC,幻想殺し？
上条,まぁこの右手しか効力がないけどな
食蜂,当麻さんの能力は超能力者の私や御坂さんすら彼には効かないわよぉ
取り巻きB,女王と御坂さんの能力も効かないのですの？
取り巻きC,王子って実はわたくしたちの予想以上に凄いお方でしたの？
食蜂,誰か試しに当麻さんの右手に向かって能力出してみてぇ
取り巻きD,ではわたくしが
食蜂,彼女は発火能力の強能力者よぉ
取り巻きD,では王子、失礼します。えいっ！
上条,ホレよっと
縦ロール,能力が......消えた...
取り巻きB,本当ですわ！
取り巻きA,さすが王子！王子こそ女王の隣に立つ相応しい殿方ですわ！
食蜂,どう？これが私が惚れた男の力！ちなみに能力者に直接触れると能力すら出せなくなるわよぉ
取り巻きB,凄いですわ！王子
取り巻きC,我らが王子！
取り巻き達,王子！王子！王子！王子！王子！王子！
上条,お、おい君達？どうしたの？
食蜂,まーた始まったわぁ......
取り巻き達,王子！王子！王子！王子！王子！王子！
禁書,なんだかとうまが遠い存在になっていくんだよ......
縦ロール,王子、こちらのパスタを食べて下さいまし
上条,どれどれ......うん！美味いぜ！
取り巻きB,王子、こちらのスープも飲んで下さい
禁書,いつの間にかとうまがあんなにも人気が出てきたんだよ
食蜂,そうねぇ
禁書,てかあの子達とうまにベタベタし過ぎてない？みさきという彼女が居るのに！
食蜂,まぁまぁインデックスちゃん
禁書,なんでみさきはこんなに落ちついてるの？
食蜂,あの子達に限ってそれはないっしょ。まぁ、もしそんな過ちを犯そうとするならば、これで想いを消去しちゃんだからぁ☆。フフフ
禁書,(......みさきがヤンデレに目覚めないように祈っとくんだよ)
縦ロール,それではパーティーの方もここら辺でお開きに致します。えー最後に女王と王子から一言貰いたいと思います
食蜂,え？何か言わなきゃいけないのぉ？
上条,上条さんもでせうか？
縦ロール,はい。出来れば感想か何かお願い致します
食蜂,じゃあ、私からねぇ。皆様、今日は私と当麻さんの交際記念パーティーを開いていただき誠にありがとうございます。おかげで当麻さんは皆様とすぐに打ち解け、楽しい時間が過ごすことが出来ました
取り巻き達,
縦ロール,続きまして、王子
上条,オッホン、えー今日はわざわざ俺と操祈のためのパーティー開いていただきありがとう。操祈の友達は非常に個性的で良い子ばかりだったので上条さんも楽しかったです
取り巻き達,
上条,みんな今日はありがとな！
禁書,とても美味しかったんだよ！
食蜂,気をつけて帰るんだゾ☆
縦ロール,ではみなさん。せーの
取り巻き達,ありがとうございました、王子！
上条,元気だな...。よし！。やっと課題が終わったんだゾ☆。......って何操祈の真似なんかしてるんだ？そういえば最近操祈に会ってないな。まぁ学校が忙しいとメール貰ったからな。はぁ...操祈に会いたい
食蜂,そんなに私に会いたいのぉ？
上条,そりぁもちろ......あれ？
食蜂,私も会いたかったわよぉ、当麻さぁん☆
上条,操祈！？...いつから居たんですか？
食蜂,やっと課題が終わったんだゾ☆
上条,ほぼ最初からじゃねぇか！つか鍵かけたはずなんですけど？
食蜂,インデックスちゃんから合鍵貰ったのよぉ、まぁ正確には合鍵をもう一つ鍵屋さんに作ってもらったのよぉ
上条,インデックスめ...上条さんの許可なく何やってんのだよ
食蜂,フフフ。これで好きな時に当麻さんの部屋に行けるわぁ
上条,まぁいっか、恋人だしな
食蜂,所でインデックスちゃんは？
上条,あいつは小萌先生達と銭湯に行ってるよ
小萌,ええええ！！上条ちゃんが常盤台の食蜂ちゃんと付き合ってるのですか？
禁書,そう、私が二人のキューピットになってあげたんだよ
姫神,所詮。私はヒロインすらなれない。可哀想な女
小萌,姫神ちゃん...
姫神,でも。彼には絶対幸せになって欲しい。私はそう願ってるから
小萌,姫神ちゃんは強い子ですね。にしても常盤台の食蜂ちゃんと来ましたか
禁書,こもえはみさきの事知ってるの？
小萌,超能力者だから有名って事もそうですけど、あそこ(常盤台)には知り合いの教師がいまして、それでその人とたまに飲みに行く事もあって、よくそこで食蜂ちゃんの事で聞かされるんですよー
食蜂,当麻さぁん☆
上条,かなりベタベタして来ますね
食蜂,何日か会えなかったから補給力を貯めないとねぇ
上条,学校の方で結構忙しかったのか？
食蜂,それもそうだしぃ、研究所からの要請もあったからなかなか時間とれなかったのよぉ。まぁ、今は一段落したからいいけどぉ
上条,超能力者となるといろいろと忙しいもんな。どれ、そんな操祈さんに上条さんがちょっとしたご奉仕を致しましょう
食蜂,ん？何をしてくれるのぉ？
上条,今度は上条さんが後ろを回ってと、ホイ
食蜂,んっ...あー気持ちいいわぁ
上条,効くか？
食蜂,勿論。あっ！そこそこ、そこが一番効くわぁ
上条,じゃあ、そこを重点的に揉んであげましょう。どうでした？
食蜂,なかなかのマッサージ力だったよぉ。だいぶ肩が楽になったたしぃ。彼氏にしてもらうのっていいもんねぇ
上条,それは良かった
食蜂,ねぇ、肩だけじゃ物足りないから別の所もマッサージしてもえるかしらぁ？
上条,それぐらいお安い御用ですぜ。どこ？
食蜂,全身
上条,え？全身ですか？
食蜂,うん！と言う事でそこのベッドでうつ伏せになるからお願いねぇ☆
上条,マジでぇ？
食蜂,大マジよぉ。今準備するから待ってぇ
上条,ちょ！？なんで制服脱ぐの？///
食蜂,皺がかかるじゃない？これからうつ伏せになるんだしぃ
上条,だったらやめません？
食蜂,それぐらいお安い御用ですぜ
上条,何も脱がんでも...あーあもうブラとパンツだけに...
食蜂,準備できたわぁ
上条,...
食蜂,ちゃんと見なさい。恋人なんだから遠慮することないのよぉ
上条,...はい
食蜂,ではお願いねぇ☆
上条,じゃあ、足から行くよ
食蜂,はーい
上条,つか...その格好恥ずかしくないのか？
食蜂,正直に言うとちょっとだけ。でもね、好きな人には見て喜んで欲しいからぁ
上条,そう...(俺の理性持ってくれよ)
食蜂,それでね、気づいた？今着けてる下着は前のデートで当麻さんに選らんでもらった品よ
上条,本当だ
食蜂,どう似合ってるぅ？
上条,ああ、とても似合ってるし、すげぇ綺麗だよ
食蜂,ありがとう。次は腰をお願いするわぁ
上条,ああ
食蜂,あんっ！気持ちいい
上条,ちょっと！？変な声出さないでくれよ、隣に聞こえちゃうだろう
食蜂,だってぇ、こんなにも気持ちいいとは思わなかったもん
上条,そうなのか？つかもういい？
食蜂,ダーメ、もっとしてぇ☆
上条,(理性持つかな......)
食蜂,えへへ
上条,(危なかった...何度も理性が崩壊寸前まで来てたことやら)
食蜂,また今度マッサージしてもらえるかしらぁ？
上条,服着たままでしたらやってあげますけど...
食蜂,そこは仕方ないか、ならお願いねぇ☆
上条,ああ
食蜂,マッサージしてくれたおかげで元気力も100倍よぉ
上条,そんな愛と勇気だけが友達な例えはいいっすよ
食蜂,やっぱ持つべきものは恋人ねぇ。えへへ、当麻さん大好きぃ
上条,俺も操祈が大好きですよ
美琴,さて、授業終わった事だしこの後どうしようかな？。黒子と初春さんは風紀委員の仕事で、佐天さんは別の友人と遊ぶ用事が入ってるし。...あの馬鹿と遊びに誘うかな？。......べ、別にデートって訳じゃないから！そう、ただあの馬鹿と遊びに行く。ただそれだけよ！。...ってまた私は素直になれない事を......はぁ、今だにペアリングも渡せてないし本当ダメだな私って
婚后,ご機嫌よう御坂さん
湾内・泡浮,こんにちは、御坂様
美琴,ああ、婚后さん。それに湾内さんに泡浮さん
婚后,最近寒くなってきましたわね
美琴,そろそろ本格的に冷え込むからねぇ。所で婚后さんはこの学校には慣れた？
婚后,当然ですわ！この常盤台の婚后光子を知ってのお言葉！？
美琴,そ、そう...
泡浮,所で御坂様はご存知ですか？あの食蜂様が殿方とお付き合いしてる事を
美琴,あーなんかそんな噂は聞いたわね。あれ本当だったの？
湾内,はい。なんでも取り巻きの子達はその殿方を王子とお慕いしてるそうで
美琴,王子って...。(どうせあの陰湿女の事だから能力で取ったに違いないね。その男が可哀想だわ)
泡浮,さすがは食蜂様、まだ中学生ながらも殿方と交際なさるなんて素敵ですわ
湾内,わたくしもいつかは素敵な殿方と巡り会いたいものです
婚后,御坂さんも素敵な殿方がいましたわよね？確か...海原美月さんでしたっけ？
美琴,あのね婚后さん、何度も言うけどあの人は違うからね
泡浮,そう言えば食蜂様の殿方ってどんな方でしょうか？
湾内,さぁ？わたくしも詳しい事を知りませんけど
切斑,それだったらわたくしは知ってますわよ
婚后,あら、切斑さんじゃありませんの
泡浮,じゃあ切斑さんはご存知なんですね？
切斑,ええ。取り巻きの子に知り合いがいますので
婚后,それで、その食蜂操祈の殿方はどういった方ですの？
切斑,えっとねぇ、とある高校の一年生でしたわ
美琴,(とある高校の一年生！？いや、まさかね...)
湾内,年上の方でしたか
切斑,それで特徴が、ウニのようなツンツンした髪型で
美琴,え？......ツンツンした髪型ってちょっと！？
泡浮,御坂様？
湾内,どうされたんですか？
婚后,み、御坂さん？落ち着きなさいな
美琴,......ねぇ、そいつの名前分かる？
切斑,確か、上条当麻と言いましたわ
美琴,
泡浮,御坂様？
美琴,......なんですって！？
婚后,み、御坂さん！？どうしたんですの？
美琴,ちょっと用事が出来たわ
婚后,......
泡浮,どうされたんでしょうか？御坂様
湾内,かなりお怒りのようでしたけど...
食蜂,フンフンフン♪
縦ロール,女王、それは写真立てですか？
食蜂,そう。それで、これが先日デートの時に撮った当麻さんとのツーショット写真ねぇ☆
縦ロール,あら！とても幸せそうな表情をしておりますわ
食蜂,この写真があればどんなに辛くても頑張れるわぁ
縦ロール,愛の力ですね
食蜂,愛の力って...もぉ縦ロールちゃんったら///
食縦,オホホホホホホ
口囃子,大変ですわ！！女王！
縦ロール,口囃子先輩！？どうされたんですか？
口囃子,それが御坂さんが私達の寮に訪ねて来て、女王を呼んで来いとさっきから叫んでいますわ
縦ロール,御坂さんが？
食蜂,ッ！！
縦ロール,女王、どうされますか？
食蜂,(......御坂さんが私に訪ねたって事はおそらく...)
縦ロール,女王？
食蜂,分かったわ。行くわよぉ。ご機嫌よう、御坂さん
美琴,ご機嫌ようじゃないわよ！ちょっとアンタに聞きたい事があるわ
食蜂,それだったら場所を変えない？ここだとみんなの迷惑になるからぁ
縦ロール,女王...
取り巻きB,大丈夫なんですか？
食蜂,あなた達は下がってなさい！
縦ロール,しかし
食蜂,いいから！操られたいの？これは私と御坂さんの問題なのよ
縦ロール,わかりました...
美琴,以前のアンタだったら能力に頼ってたのに、どういう心境かしら？
食蜂,そんな事よりも、さっさと移動するわよ。ここならいいでしょう。さて、どんな用件かしらぁ？
美琴,アンタ、アイツと付き合ってるって本当なの？
食蜂,アイツって誰？名前で言ってくれないとわからないわよぉ
美琴,上条当麻よ...
食蜂,そうよぉ、それが何か？
美琴,何を企んでるのよ？
食蜂,は？
美琴,何を企んでるのか聞いてんのよ！！アイツに近付いて、付き合って、何が目的よ？
食蜂,目的も何も私は当麻さんが好きだからに決まってるじゃない。だからアピールして告白して恋人になったのよぉ
美琴,(名前で呼んでる...)。嘘、どうせアンタの能力で操ったんでしょう？
食蜂,御坂さん、彼には能力が効かないのよ。それは御坂さんがよーくご存知なはずよぉ？
美琴,ッ！！
食蜂,ハッキリ言っとくけど、御坂さんが考えてるような展開力はないから安心して頂戴
美琴,そんなんで信用できると思ってるの？
食蜂,もぉさっきからなんなの貴方は？別に私が当麻さんと付き合おうが勝手でしょう？あなたには関係ないじゃない
美琴,か、関係なくはないわよ！
食蜂,ああ、そういえば御坂さんも当麻さんの事が好きだったわねぇ
美琴,な、なんで私がアイツの事なんかを...///
食蜂,違うのぉ？ならなおさら関係ないじゃない
美琴,......そうよ、私だってアイツが上条当麻の事が好きよ！
食蜂,ツンデレ力があった御坂さんにしてはやっと言えたじゃない。でも今更言ったって遅いわ、もう当麻さんは私の物なんだからぁ
美琴,......言っとくけどね、アンタのような女がアイツには相応しくないわ
食蜂,
美琴,とにかくアンタがあの馬鹿と付き合ってるなんて私は認めないわよ
食蜂,
美琴,だから私がアイツに目を覚ましいい加減にしろ！！
食蜂,いい加減にしろと言ってんのよこのビリビリ女！！
美琴,...なんだとこの野郎！
食蜂,さっきから好き勝手に言って、何が当麻さんに相応しくないですって？それは御坂さんの方でしょう！
美琴,なんですって？
食蜂,当麻さんに会ってはいつも致死量の電撃浴びせてるんじゃない！当麻さんには能力が効かないけど、あれは右手だけなのよ！それ以外に当たったらどうすんの！？不幸体質の当麻さんを余計に不幸させてるじゃない！！
美琴,うっ......
食蜂,そんな人に相応しくないって言われたくはないわね！！。いい？私は本気で上条当麻の事が好き！確かに私の能力だったらすぐにGET出来るわ。しかし彼には能力が効かない。でもねぇ、私は最初から能力なんかに頼るつもりなんてないから！！。だから彼に振りもらうためにいろいろとアピール力を発揮したわ。一緒に下校したり、買い物のタイムセールに協力したり。彼の部屋に泊まった事もあるわ
美琴,はぁー！？泊まっただと...
食蜂,一緒にお風呂にも入ったわ
美琴,お、おおおおお風呂ですって、なんて破廉恥な事してるのよアンタは！
食蜂,当麻さんが喜んでくれるならなんでもするわ！いい？私は御坂さんがウジウジしてる間にその差を縮め。そして私は告白して、彼は受け入れてくれた。私は努力したのよ。あなたが低能力者から超能力者に登り詰めたようにね
美琴,くっ...
食蜂,これでも納得しないならいいわ、受けて立つわ！絶対に当麻さんは渡さないから！！
美琴,......
食蜂,さぁどうする？
美琴,アンタ......本当に本気なのね？
食蜂,ええ、もし何かあったらその時は私を煮るなり焼くなり好きにしていいわぁ
美琴,......そう、分かったわ。なら、最後に確認したいことがあるから失礼するわ
食蜂,......
上条,よぉ御坂、急に呼びだすなんてなんの用だ？
美琴,アンタ...食蜂と付き合ってるのよね？
上条,そうだけど...
美琴,そう、アンタは食蜂と恋人になれて幸せ？
上条,勿論幸せに決まってるぜ！操祈はな上条さんにとって天使のような存在なんだ！これからは操祈と共に道を歩んで行くつもりだ！
美琴,(どうやら私が入り込む余地はないわね。でも、これで諦めがつくわ)
上条,御坂？
美琴,おめでとう！
上条,おお、ありがとな
美琴,いやー不幸不幸言ってたアンタに恋人が出来るとはねーやったじゃない！
上条,ああ
美琴,幸せになんなきゃ承知しないからね！じゃあ私行くから
上条,気をつけて帰れよ
美琴,はぁ、辛いなー失恋って...。私がもっと早く素直になってればな、こんな事にはなんなかったかもしれかったのに。これも、いつかは渡たしかったのにな...。エイッ。......
黒子,ここにいらしたんですのね、お姉様
美琴,黒子...
黒子,わたくしもお聞きしましたわ、まさか上条さんが食蜂操祈とお付き合いしてる事を...
美琴,......
黒子,...お姉様はその殿方...もとい上条さんの事がお慕い申してましたわね？
美琴,うん......好きだった......大好きだった...
黒子,このままでいいんですの？あの食蜂操祈の事ですから、何を考えているか分かったものではないですの
美琴,私さ...あの女を信じてみようかと思う
黒子,お、お姉様？何を言いだすんですの？あの食蜂操祈を信じるなんて...何がありましたの？
美琴,さっきね食蜂の所に行って問い詰めたのよ
黒子,それで？
美琴,アイツ、かなりの本気だったみたいよ。あんな表情する食蜂も初めてだし、なによりあの言葉にはトドメを刺された感じだったわ。あの言葉には信用性を感じた。それでね、あの後あの馬鹿にも会って来たわ
黒子,......
美琴,食蜂と一緒に居て幸せだってさ。だから身を引いたの
黒子,お姉様...
美琴,いつも不幸不幸って言ってたあの馬鹿が幸せになろうとしてるなら私はそれでいい。だって私はね。アイツの幸せは私の幸せでもあるんだから！。好きな人の幸せを願うってのも、いい女って奴よ！
黒子,強いですわね、お姉様
美琴,よし！これにて私の初恋は終り。また新しい恋を探すわよ！
黒子,でしたらこの黒子がお姉様に恋人になって差し上げますの！
美琴,それはいや、私百合属性ないし
黒子,そんなーですの
食蜂,もうすぐクリスマスよねぇ
上条,そうだな
禁書,それが終われば今年は終りなんだよ
食蜂,当麻さん、クリスマスはどうしようかぁ？
上条,勿論操祈と一緒に過ごしたいぞ
食蜂,そうだけどぉ、どう予定たてるか......あっ！いいこと思いついちゃったぁ☆
上条,ん？
食蜂,まず24日のイブは取り巻きの子達とパーティーしましょう、勿論インデックスちゃんも参加OKよぉ
禁書,じゃあ、また美味しいご飯食べれるんだね？やったあ！
食蜂,それで25日は当麻さんとデート。どう？私の予定力は？
上条,おう！いいじゃねーか？上条さんは賛成です事よ
食蜂,決まりねぇ☆。ｶｸｶｸｼｶｼﾞｶな訳でみんなに伝えてちょうだい
縦ロール,わかりました、また王子に会えるんですね！
食蜂,言っとくけど、当麻さんは私の物よぉ
縦ロール,な、何を言ってるのです女王？女王の殿方を取ろうなんてこれぽっちも考えてませんわ！
食蜂,なら言いけどねぇ。最近当麻さんの話してるとかなり喜んでるようだけどぉ？
縦ロール,違いますよ！ただわたくしにとって王子というのは、尊敬するお方なんですの
食蜂,尊敬ねぇ...
縦ロール,そうですわ。女王の対等にいられる王子が凄くて、わたくしの憧れなんですわ
食蜂,縦ロールちゃんがそんな事思ってくれたなんて嬉しいんだゾ☆。それじゃあ、私は用事があるから外出してくるねぇ
縦ロール,いってらっしゃいませ
禁書,えっと、場所はここでいいんだよね？後は待つだけなんだよ。
食蜂,インデックスちゃーん
禁書,あっ、みさき！
食蜂,結構待ったぁ？
禁書,ううん、今来た所なんだよ
食蜂,それじゃあ、行きましょうか
禁書,うん！
食蜂,さぁ、好きなの選んでいいわよぉ
禁書,じゃあまず、ハンバーグにカレーにナポリタンにミックスフライにサンドイッチに
食蜂,
禁書,後ピザにピラフにハンバーガーとデザートにチーズケーキにチョコレートケーキにアップルタルトを頼むんだよ
食蜂,......あのーインデックスちゃん？いくら大食いのあなたでもそれは無理があるんじゃない？
禁書,大丈夫大丈夫♪。ご馳走様
食蜂,
禁書,どれも美味しかったんだよ
食蜂,そう...それは良かったぁ。(この小さい体でよく入るわね...)。それじゃあ、会計してくるから先に外で待ってて
禁書,了解
食蜂,次は買物に行くわよぉ
禁書,どこに行くの？
食蜂,前に当麻さんとデートしたセブンスミストよぉ
禁書,ありがとう、みさき。服はあんまり持ってないから嬉しいんだよ
食蜂,普段は修道服だからたまには違う服が着たいんじゃないかなっと思って
禁書,私だってオシャレがしたいからね、しかし女の子というのはいろいろと大変かも
食蜂,そうよぉ。女の子はそういう生き物だから覚えとくんだゾ☆。後インデックスちゃんは和服も似合うと思うんだぁ。髪に目玉焼きのヘアピン付けてさ
禁書,うーん着てみたいと思ったことはあるけど、アレって結構着付けるのにめんどくさいかも。後下着も買ってくれてありがとう。さすがにコレを当麻に買ってもらうには抵抗があるんだよ
食蜂,インデックスちゃんの下着のセンス力はなかなかのもんよぉ
禁書,そうかな？ただ私は気に入った物を目につけただけなんだけど...
食蜂,私が言うんだから間違いないわぁ、自信力をもちなさい
禁書,分かったんだよ
食蜂,それじゃあ当麻さんの部屋に戻りましょうか。今頃課題と格闘してるでしょうからぁ
禁書,だね。ただいま
食蜂,お邪魔します
上条,
禁書,とうま？寝てるの？
食蜂,みたいね...課題はまだ途中だしぃ
禁書,起こす？
食蜂,いいわぁ、このまま寝かせてあげましょう。どうせなら、何かイタズラしない？
禁書,それは良い名案なんだよ
食蜂,まず当麻さんの頬をつついちゃえ
禁書,私も
食蜂,当麻さんの頬ってプニプニしてるねぇ
禁書,だね
上条,うーん...
心理目録,ヤバッ!
上条,
心理目録,セーフ
禁書,とうまの寝顔って意外と可愛いよね
食蜂,寝顔以外も可愛いわよぉ。例えば私が当麻さんに抱きついてオロオロしてる姿とかねぇ
禁書,それは惚気なのかな？
食蜂,もっちろん☆
禁書,もう充分バカップルなんだよ...
食蜂,それは褒め言葉として受けとくわぁ
上条,...ん？...あれ？操祈、インデックス...
食蜂,起きたみたいねぇ
上条,...そうか俺、寝ちゃったのか...うわぁ!まだ途中までしかやってねー!
食蜂,それは後にしましょう。私がまたみてあげるから
上条,そうだな、もう夕食の時間だから作らなきゃ
食蜂,当麻さん、今回は私に作らせてくれなぁい？
上条,え？操祈が作ってくれるの？
食蜂,うん
上条,操祈って料理出来るのか？
操祈,常盤台だって調理実習があるんだから大丈夫なんだゾ☆
禁書,とうま、みさきの料理食べてみたいから任せよう？
上条,じゃあ、お願いしようかな
食蜂,とびっきりの美味しいの作ってあげるから楽しみに待っててねぇ
上条,勿論だぜ
食蜂,お待たせぇ
禁書,おお！これは絶対に美味しいそうなんだよ！
上条,和食か、操祈にしては意外なもん作ったな
食蜂,当麻さんって和食好きでしょう？
上条,そうだとも。やっぱり日本人は米に味噌汁に魚が限るよ！
禁書,とうま、早く食べよう
上条,分かったよ、では
上食禁,いただきまーす
幻想目録,
食蜂,どうかなぁ？
上条,うめー！美味いよ操祈！
禁書,文句なしの味なんだよ！これは星三つつけていいかも
食蜂,それは良かったぁ、後この出し巻き玉子は自信作だから食べてみてぇ
上条,どれどれ
食蜂,ノンノン、ここは私が食べさせてあげるわぁ。はいアーン
上条,アーン
禁書,ああ！とうまだけズルイんだよ！
上条,だって俺、操祈の彼氏ですから
食蜂,はいはい、ちゃんとインデックスちゃんにもやってあげるわよぉ。はいアーン
禁書,アーン。うん！とろけるような食感が最高
食蜂,フフフ、ありがとう。(今この時間が幸せね)。(そして、これからもこの日常が続いて欲しいわぁ)
上条,今日で二学期も終りか、早いもんだな
土御門,まぁカミやんはこの二学期に入って出席が不足してるからにゃー。勿論補習はあるぜよ
上条,そうだった...
吹寄,まぁ当然の報いよね
青ピ,僕は小萌先生ならいくらでも補習受けたるでぇ
姫神,この。ヘン夕イエセ関西弁口リコンが
青ピ,姫やん！？なんか日に日に毒舌になってないん？言うとくけど、僕は落下系ヒロインのみならず
土御門,はいはい、それを言うとキリがないからやめるにゃー。それよりもカミやん、心理掌握ちゃんと上手くいってるか？
上条,何故ここで操...じゃなくて食蜂が出てくるんだ？
土御門,何故って、それは付き合ってるんだから聞いてるぜよ
青髪,何やて！？ホンマなのかカミやん？
上条,いやーなんのことやらさっぱり...
姫神,私は。知ってるよ。あのシスターから聞いたから本当だよ。ちなみに小萌も知ってる
吹寄,本当なの？姫神さん？上条！貴様はようやくフラグを回収したんだな
男子A,何！？それは本当か？上条！
女子A,本当に常盤台の子と付き合ってるの？
上条,......はい、その通りでございます
女子B,ガーン、まさか上条君も口リコンだったのね...
上条,いやいや、何を言ってんの？口リコンと言っても操祈は上条さんと身長が同じなんだぜ...
女子C,それでも年下にかわりはないんだから口リコンよ！
女子D,てゆーか名前で呼んでるのね...恋人だから当たり前か...
男子B,許すまじ上条！
男子C,パツキンの巨*のお嬢様と付き合ってるとは、なんと羨ましい！！
男子D,俺は怒ったぞ！！上条ォォォォ！！
男子E,上条！テメェだけ幸せになるのは許さないぞ！野郎共！上条裁判かけるぞ！
クラスメイト達,おおおおおお！！
土御門,やめるにゃー、お前ら
吹寄,静かにしろ！貴様ら！
男子A,なんでだよ？土御門と吹寄
土御門,別にいいんじゃないかにゃー？何もそこまで怒ることないぜよ
青ピ,つっちーの言う通り、ここは祝福するべきや
男子B,土御門？青髪？一体どうしちゃったんだよ？
土御門,お前ら、カミやんの彼女の能力をお忘れではないかにゃー？
男子A,超能力者の心理掌握だろう？それがなn......あっ！
土御門,気づいたか。もしカミやんをボコボコにしたら、どうかお分かりかにゃー？
青ピ,あの子の能力でエライ目に会うでー
男子達,......つまり。
土御門,それによ、お前らにとってここはチャンスなんだにゃー
男子A,なんでチャンスなんだよ？
土御門,カミやんがフラグを回収したってことは、このクラスの女の子達は諦めるざるをえないにゃー。つまり、フリーになったって言う事だにゃー。だからこれからなんだぜよ!
男子達,そういう事か!!
青ピ,そやそや、何もカミやんに天罰下す事ないんや
女子A,上条君お幸せにねー
女子B,結婚式には呼んでね
女子C,おめでとう、上条君
姫神,良かったね。上条君
上条,姫神もみんなもありがとう！
青ピ,また心理掌握ちゃんが校門前に待ってるんかな？
上条,さすがに毎日は来ないよ
土御門,どうやら居るみたいにゃー...あれ？よく見ると違うな、制服は常盤台なのは間違いないんだけど、複数居るぜよ
上条,え？つかあれは...取り巻きの子じゃないか！
縦ロール,あっ！王子、こっちですわ
土青吹姫,王子！？
上条,えーと何故、縦ロール達が上条さんの学校に？
縦ロール,女王の命令よりお迎えにあがりましたわ
上条,操祈が？
縦ロール,王子はこれからわたくし達と共にわたくし達の寮へ同行してもらいますわ
上条,もう寮に行くんでせうか？
縦ロール,はい、女王がお待ちですわ
上条,そう...
縦ロール,ですので、移動しましょう。鞄お持ちしますわ
上条,いいよ、女の子に持たせるなんていくらなんでも悪いよ
縦ロール,遠慮しないで下さいまし、好きでやってますから。それに、たいして重くはありませんので
上条,まぁ中身はそんな入ってないしな、てか何も複数で来ることはないんじゃないか？
縦ロール,女王から話はお聞きしましたわ。王子はかなりの不幸体質だと事を
取り巻きB,ですので、王子の不幸は女王だけではなく、わたくし達もお守りいたしますわ
上条,君達...
縦ロール,さぁ、行きましょう
上条,お、おう
土青吹姫,
青髪,なぁつっちー、カミやんっていつから平民からランクアップしたん？
土御門,さぁ？
上条,(また来ることになるとは...)
縦ロール,では王子、入りますわよ
上条,ああ
縦ロール,女王、王子を連れて参りました
食蜂,ご苦労さん
上条,操祈...
食蜂,どうしたのぉ？
上条,その格好はもしかして...
食蜂,ミニスカサンタの操祈ちゃんなんだゾ☆
縦ロール,......女王とあろう方かなんという格好してるんですか...
食蜂,いいじゃなぁい。私だってコスプレしたいんだゾ☆。それとも、女王なだけにボンテージ服を着てほしいとか？
縦ロール,そういう事を言ってるではなくて...
食蜂,当麻さん、どう？似合ってるぅ？
上条,可愛い...可愛い過ぎるよ！操祈！まさにアイドル的な存在！いや、アイドルマスター級だぜ！！
食蜂,きゃ！聞いたぁ？縦ロールちゃん？可愛い過ぎるんだってぇ///
縦ロール,王子...
上条,いいじゃねーか、縦ロールだってサンタ姿の操祈は似合ってるだろう？
縦ロール,まぁ、勿論似合ってはいますけど
食蜂,なら、縦ロールちゃんも着たらどお？
縦ロール,な、何を言ってるのですか？女王？わたくしにはあんな格好似合いませんわ！
食蜂,大丈夫よぉ。縦ロールちゃんもきっと似合うわよぉ、だから着替えてきなさい
縦ロール,無理ですわ
食蜂,じゃあ操っちゃ分かりました！今すぐ着替えて着ますわ！
上条,非道くねーか？
食蜂,あの子は少し堅い性格だから、たまにははっちゃけてもらいたいのよぉ。ちなみにあの子、キバコのモノマネがそっくりなのよぉ
上条,何故にポケモン？
縦ロール,き、着替えてきましたわ///
食蜂,あらぁ、似合ってるわよぉ
取り巻きB,可愛いですわ、縦ロールさん
取り巻きC,似合ってますわよ
取り巻きA,縦ロールさんは素材がいいですから、とても似合ってますわ
縦ロール,そ、そうですか？
食蜂,当麻さんもそう思うわよねぇ？
上条,勿論だとも！似合ってるぞ縦ロール
縦ロール,本当ですか？王子？
上条,本当さ
縦ロール,お、王子に褒めらるなんて...光栄ですわ。ですがこれ、スカートが短かすぎません事？
食蜂,ミニスカサンタだからねぇ
縦ロール,これではすぐに下着が見えちゃいますわよ。しかも王子が居る時に///
食蜂,別にいいんじゃない？いずれ縦ロールちゃんにも男が出来たらお見せする機会があるんだしぃ、そんな縦ロールちゃんにソレー！
縦ロール,ふぇ？きゃあああ！！
上条,のあっ！
