・作中に原作には無い設定が出てきますが、御容赦ください,例、携帯電話など
徳永,……。……む……ぐぅ……
後藤,そこに降って湧いた艦娘システム……これは、再軍備の口実に最適だった……
長門,……な……！
徳永,……。……
長門,！！
後藤,死亡例も出ている、危険な八百長試合ですがね
徳永,……そこまで知っているなら、君達を生かして帰す訳にはいかんな……。君達は知り過ぎた……東京湾で魚の餌になってもらおうか
後藤,……長門、殺すなよ……
長門,……！了解！！さっきからムカッ腹が立っていたところだ！！
徳永,何を……艤装の無い艦娘など、一般人と変わらん！殺せ！！
長門,うおおおおおおおおおおっ！！
徳永,な……！何で……！
長門,フ……
徳永,そ、それはまさか……！
長門,そう、ケッコンカッコカリ指輪だ
徳永,ぐ……！。な、何が……何が、望みだ……。な……ならば、何故……？
後藤,ただね、徳永さん
徳永,わ、私に……ど、どうしろと……
後藤,経緯がどうであろうと、艦娘の力が必要なのは事実だ……。だからね、徳永さん、ここは一つ、取引といきましょうや
長門,あ……凄い悪い顔だ……。……あの男をあのままにして、本当によかったのか？
後藤,悪党をいちいち時代劇みたいに成敗してたら、キリがないでしょ
長門,……
後藤,それにね、世の中、ああいう小悪党がいないと、上手く回らないようになってんの
長門,……そうか
後藤,そうよ
長門,……以前、隊長が言った言葉
後藤,ん？
長門,私達の仕事は基本的に負け戦だと……今なら、素直に納得できるような気がするよ
後藤,……そうか
長門,それにしても……よくあれだけの重要な情報を集められたものだな？。推測半分であそこまで徳永を恫喝したというのか！？
後藤,まあね～
長門,呆れたものだ……隊長の方こそ、大悪党と言うべきだな
後藤,そうかい？
長門,そうさ……それにしても……
後藤,ん？
長門,……艦娘憧れのケッコン指輪も、私にとっては、結局こういう扱い、という事か……
後藤,……あ～……。俺はよくいい加減な男とは言われるが……
長門,？
後藤,嫌いなヤツに指輪を贈るほど、無神経な男ではないよ
長門,隊長……
後藤,お前さんみたいな、まっすぐなヤツ、嫌いじゃないよ
長門,……部下として、か？
後藤,さあね～
長門,フフ……まあいいさ。……？まだ、何かあるのか？
後藤,まあね～、ちょっと汚いお仕事が
長門,……付いて行かなくて大丈夫か？
後藤,平気、平気、それより、集合時間に遅れないようにな
長門,あ、ああ……
後藤,久し振りだな、篠原
篠原,隊長も、お元気そうで何よりです！
後藤,今回は、嫌な仕事に付き合わせる事になるが……大丈夫か？
篠原,そりゃまあ、実家を脅すなんて、できればしたくないッスけど……。親父の鼻を明かせるなんて、痛快ですからね！
後藤,そうか……じゃ、行くか
篠原,了解です！
後藤,あらそ～、良かったね～
赤城,入渠ドッグも二つ解放されました……これで入渠待ちをしなくてすみます！
後藤,うんうん
那珂,母港もめいっぱい拡張されたよーっ！これで解体に怯えなくてすむよーっ！！
後藤,もう心配しなくていいからね～
金剛,タイチョー！どんなMagicを使ったネー？
後藤,それは秘密
長門,フフ……
やる夫,た、隊長！た、大変ですお！！
長門,どうした、准尉？
やる夫,じ、辞令ですお！
千歳,辞令？
後藤,あ～、やっぱそう来たか～、思ってたより早かったな
榛名,辞令って、何の辞令ですか？
長門,……准尉、読み上げてみろ
千歳,え……？
全員,ええええええええええ～っ！！！！
長門,……
後藤,……長門か？
長門,ああ……。やはり行くのか……？
後藤,まあね……所詮俺は雇われ提督、上に戻れと言われたら、戻らにゃならんのさ
長門,そうか……。後任は誰になる予定だ？。そうか……
後藤,彼はきっと、良い提督になるよ
長門,隊長がそう言うのなら、きっとそうなんだろうな……
後藤,……用はそれだけ？。ほ……そりゃまた良かった
長門,……隊長が何かしたのか？
後藤,さあね～
長門,フ……
後藤,寒いな……そろそろ戻るか
長門,隊長
後藤,ん？
長門,隊長に、私の本当の名前を知っていてもらいたい
後藤,長門……お前さん、記憶が……
長門,艦娘には、まだ未知の部分も多い……時には、昔の記憶が甦るヤツだっているさ
後藤,そうか……
長門,私の本当の名前は……
後藤,ただいま～、おやっさん、いる？
シゲオ,後藤さ～～～～～～～～ん！！会いたかったよ～～～～～～～～っ！！
榊,おう、戻って来たか、御苦労だったな。そんな事はいいから、てめえの後ろにいる奴等に、早く挨拶をしてやんな
後藤,はあ……
熊耳,隊長、お疲れ様です！
野明,隊長が戻って来た～～～っ！！やったね！
篠原,お疲れ様ッス！隊長！
太田,隊長……お会いしとうございました～～～～～っ！！
進士,これで胃薬の日々から解放される……良かった……ホントに良かった……！
山崎,お帰りなさい、隊長、皆で待ってましたよ
後藤,お前らは変わらないねぇ……ホントに
南雲,お帰りなさい、後藤さん、早速だけど、仕事よ
後藤,しのぶさ～ん、ちょっとは休ませてよ～
南雲,そうはいかないのよ……海軍との合同演習だから、相手方の都合もあるし
後藤,へ？合同演習？
？？,１週間ぶりですお、隊長！
後藤,やる夫君……提督になったんでしょ？ダメじゃない、こんなトコ来ちゃ
野明,ふえ～……隊長、向こうでも尊敬されてたんだね～
篠原,よっ！憎いね！この人たらし！
後藤,茶化すな、篠原……それより、演習って、まさか……
長門,おーーーーーーい！！隊長―っ！！
太田,むむむ……奇怪な……
金剛,Hey！タイチョー！逃げようったって、そうはいかないネー！！
千歳,隊長―っ！！お元気ですかーっ！！
長門,我々は何処に居ても、常に一心同体だぞ！！我が伴侶よ！！
野明,隊長……向こうで何やってたんですか……？
篠原,よっ！憎いね！この女たらし！人類の敵！
南雲,へー、ほー、ふーん……
後藤,いや、あのね、違うんだよ、これは、しのぶさん
南雲,しーらないっと
後藤,し、しのぶさ～～～ん
