ミリＰ(以下Ｐ),シアター組総勢37名大型ライヴ！皆お疲れ様！
茜,ジュリアン、焦りが出てる
莉緒,皆も見たでしょう、前半戦組の恍惚な表情を....！
麗花,........
琴葉,そ、そうですよね....よく考えたら、この部屋にいる全員が当たるんですよね...
風花,私達も...あんな顔にさせられちゃう...！
奈緒,あーもー！！余計にドキドキしてくるやんかぁ～～～！！
志保,.....
杏奈,...///
莉緒,一人で37人を翻弄させるプロデューサー君も罪作りな男だわ...
Ｐ,....えっと。ここをこうかな。これで直っただろう。よし！別のアイドルが表示されるようになったな。これで後半戦皆が楽しめるな！
小鳥,...。遠隔操作ですよ、プロデューサーさん。あなたはこの絶対君主ゲームからは逃げられない....
千鶴,皆さん、コーヒーはいかがですか？
美奈子,貰います
琴葉,私もいただきます
風花,貰っちゃおうかな
ジュリア,砂糖砂糖....
歩,ジュリア、次貸して
このみ,私も
全員,....
美奈子,.....あの、皆さんはプロデューサーさんのどういうところが好きなんですか？
全員,ﾌﾞｯﾌｫｫｫ！！
風花,きゅ、急に！！ｺﾞﾎｯｺﾞﾎｯ！
エレナ,ん～.......。優しいトコロ！
環,一緒に遊んでくれる！
紗代子,.....自分より年下の小娘に...必死に頭を下げて、一生懸命なところ....ですかね
歩,失敗しても励ましてくれて、なにより指導できなかった俺のせいだって庇ってくれるし....
このみ,皆、それぞれに理由があるのね.....私は一体なにかしら.....優しさ？う～ん....
美奈子,......
琴葉,........
小鳥,後半戦始まりますよー！
全員,
麗花,つ、ついに！
奈緒,来た！！！
全員,は......始まる.....！！！
莉緒,百瀬莉緒よ。色々観察して気付いたことがひとつあるわ。全員、コーヒーを超甘くして飲んでる。普通に飲める人でも砂糖を大量に入れてる....。それは前半戦組に対する嫉妬から来るもので、無意識に身体が“甘さ”を求めているから....。何故そんな事がわかるかって？。なぜなら....私も砂糖大量だから......。苦い...
小鳥,皆様、絶対君主ゲーム後半戦を開始致しますが準備は出来てますか？
海美,えーっと小鳥さん
小鳥,はい
海美,えっと、ジュリアがまだ来てなくって...
茜,恥ずかしくてたまらないらしいよ
小鳥,ど、どうしましょうか.....
Ｐ,恥ずかしいか....まぁジュリア自体クールだからゲームとかは恥ずかしいのかもな
琴葉,そうではないと思いますが....
海美,先に始めていいそうです
小鳥,で、では始めたいと思いますが.....。あの.....何故前半戦組しか食事をしていないのですか？
莉緒,それは......
紗代子,食べたら太るから....
小鳥,ま、理由はわかりますが
Ｐ,？
小鳥,では始めていきたいと思います！後半戦を代表する一発目はこの方！
Ｐ,機械は修理したから俺が当たる事は無。
杏奈,！
Ｐ,機械は直ったんじゃ！
小鳥,残念だったなぁ、トリックだよ
Ｐ,えっ
小鳥,また故障してしまったようです～！でも時間がないのでこのまま進行させていただきますね！
Ｐ,マジかよ....
杏奈,プロデューサーさん......もしかして.....嫌？
Ｐ,嫌じゃないぞ！？全然！ほら来い！
杏奈,じゃ、じゃあ....
Ｐ,やっぱ軽いなぁ....ちゃんと食べてるの？。ならいいんだが......おっゲームか。面白そうだな
杏奈,うん....
Ｐ,...ん？杏奈これ初めてやった？
杏奈,やりこんで、る....
Ｐ,それにしてはミスが多くない？
杏奈,.......。ど、ドキドキして手元が狂う....。あっ
Ｐ,あら～
杏奈,.....
Ｐ,俺にもやらせてくれるか？
杏奈,い、いいよ
Ｐ,よぉーし！
瑞希,後ろから手を回したっ...
エミリー,百合子さんと同じ...
杏奈,あっ....///あっ....///
Ｐ,ここはジャンプか？うぉメッチャ敵出てくるじゃん！
杏奈,ぅぅ～....///
Ｐ,どうした杏奈？
杏奈,プロデューサーさんの馬鹿...///
Ｐ,げっ！俺なんかやっちゃった！？いやでも死んでないし...
杏奈,そういうところも...馬鹿...
Ｐ,えぇ！？。中々面白いゲームだった
杏奈,ねぇ、プロデューサーさん
Ｐ,どうした
杏奈,今度また....一緒にゲーム....して、くれる....？
Ｐ,あぁ。仕事が片付いたらいつでも相手してやる！
杏奈,じゃ、じゃあ膝の、上....でも？
Ｐ,杏奈がそれでいいなら
杏奈,約束....だよ？
Ｐ,いいぞ
小鳥,いいご身分でしたね
Ｐ,はい。いい匂いがしました
杏奈,！？///そういうこと....い、言わないでよ...
Ｐ,ははは、ゴメンゴメン。杏奈の抱き心地良かったなぁ、こう柔らかいぬいぐるみを抱いてる感じで....
杏奈,～！///
Ｐ,痛くない痛くない。痛い痛い！！
ジュリア,よっ、バカＰ
Ｐ,ジュリア、もう大丈夫なのか
ジュリア,まぁな.......その、よろしくっ
Ｐ,うん.....？よろしく....？
奈緒,私の出番来んかなぁ
小鳥,残念奈緒ちゃん、次は可奈ちゃんでプロデューサーさんに料理を振るまう、でした！
可奈,えぇ！？料理！？
ジュリア,当たらなくてよかった...
昴,でもジュリア克服したじゃん
ジュリア,克服はしたけど、マイナスが０になっただけで...
美奈子,私希望します！
Ｐ,み、美奈子のは毎日食べてるからな！きょ、今日は遠慮しとくよ！
美奈子,む～....
Ｐ,美奈子の飯は美味いんだが量がハンパないからな....
可奈,わ、私料理とか苦手なのに～！
奈緒,大丈夫や可奈！なんとかなる！
星梨花,頑張ってください！
可奈,が、頑張る！あの、何を作れば...？
小鳥,ビーフストロガノフです
全員,ビーフストロガノフ！？
Ｐ,果たして大丈夫なのだろうか....
可奈,食材....わっ、結構本格的に揃ってる。よ～っし....。本日の調理実習はビーフストロガノフ♪
百合子,早速歌にしてる
可奈,アニメや漫画でお馴染みの、ビーフストロガノフ♪
のり子,結構余裕そう？
可奈,玉ねぎは縦に二つ切り♪。トマトは横に二つ切り♪。........。そこからわかんないよぉ～！
茜,詰んだ＼(^0^)／
Ｐ,＼(^0^)／
可奈,どうしよぉ～！えっと困った時はこのピザソース....ってこのピザソース甘い！？。お醤油...てこれソース！？。大丈夫.....大丈夫....サルサソースとチーズで...！って完全に別物だよぉ！
桃子,大丈夫かなぁ....
美奈子,指導したい～！
Ｐ,....。.......して、これは？
可奈,ビーフストロガノフ...です
Ｐ,具材や切り方が...ごっちゃ...。い、いただきます。....ま、マズイ....具材同士の殺し合いにより生まれる不協和音...
可奈,....ど、どうですか...？
Ｐ,....美味しくは......ないな
可奈,！！
Ｐ,うん....
可奈,た、食べなくても大丈夫ですから！.....ｸﾞｽｯ
Ｐ,いや、食べさせてもらう。せっかく可奈が一生懸命作ってくれたんだ。皿まで舐めるよ
可奈,ど、どうして
Ｐ,ご、ごちそうさま。可奈
可奈,はいぃ！
Ｐ,料理は味じゃない。気持ちだ。どんな味だろうと作った人の事を考えれば苦にはならない。だがそれは感情論だ。アイドルに料理は必要ないかもしれないが、女性として必要になってくる。差別とか、そういう話じゃあない。可奈も女性としての魅力を引き出したいのであれば、料理も学んでみよう
可奈,はい.....優しいですね、プロデューサーさんは.....
Ｐ,優しくなんかない
可奈,...あの......プロデューサーさんは料理の出来る人が好きですか？
Ｐ,うん、まぁそうだな
可奈,わかりました、私これから料理頑張ってみます！
Ｐ,あぁ、楽しみにしてる。料理さえ出来ればどこに嫁いでも恥ずかしくないお嫁さんになるぞ！
可奈,ふぇ！？お嫁さん！？
Ｐ,ん？うん
可奈,わわわわかりました！プロデューサーさんのお嫁さんになってみせます！///
Ｐ,その意気込みだ！
千鶴,死亡フラグおっ立てましたわ.....
美奈子,私もプロデューサーさんに作ってあげたかったなぁ
Ｐ,美奈子
美奈子,はい！？
Ｐ,暇があったら可奈に料理を教えてやってくれ
美奈子,了解です！
Ｐ,あと、お前の作る料理も、愛情こもってて好きだよ。それだけ
美奈子,.........。.....
奈緒,た、立ったまま気絶しとる.....
小鳥,さぁ続いては～ジャカジャン！
琴葉,結婚式の衣装ってことかしら？
星梨花,スゴイです...セットもちゃんと用意して...
小鳥,さぁ、琴葉ちゃんはすぐウェディングに衣装に着替えてきてください
スタイリスト,では行きましょう
琴葉,えっ、は、はい！
未来,ウェディングかぁ。私も着たなぁ
小鳥,それでは新婦の入場でーす！
エレナ,コトハー！スッゴク綺麗だヨー！
恵美,ヒュー！
琴葉,...///
ひなた,.....
茜,これって撮影だけ？
翼,もしかして外れ引いちゃった？これじゃプロデューサーさんとのスキンシップがないよね？
千鶴,無念ですわ...
莉緒,....そういえばプロデューサー君は？
小鳥,それでは新郎の入場でーす！
Ｐ,婚期早めに俺、参上！
全員,何ぃぃぃぃ！？！？！？
琴葉,へっ.....？///。えっ....えっ....？
小鳥,というわけで新郎新婦で写真撮影になります
このみ,ズルい！ズールーいー！
茜,このみん....
Ｐ,このみさんよっぽどウェデイング着たかったのか。そうれもそうだよな、もう24だもんな...。仕方ない、今度その仕事取って来るか
小鳥,そして、今回写真撮影を担当してくださいますのは、我が765プロ専属カメラマン、早坂そらさんです！
早坂そら,はい、お願いします！
Ｐ,早坂さん！？
そら,それでは自由に撮らせて戴きますね～
琴葉,.......///
瑞希,田中さん、とても綺麗です
風花,そうね～...
琴葉,.....。あの、プロデューサー...
Ｐ,ん？
琴葉,....私が相手で良かったんですか？
Ｐ,何言ってんだ、喜んで受けさせてもらった。すごい似合ってるし綺麗だよ
琴葉,あっ、ありがとうございます...///
そら,新郎さん、肩を抱く感じでお願いします！
Ｐ,はい
琴葉,...///
美奈子,........まだ終わらないんですか？
茜,美奈子ちゃん、落ち着こう
琴葉,...は、恥ずかしい...///
Ｐ,まだ琴葉は18歳だからな。恥ずかしいって思う時期よ
琴葉,結婚はもう出来るんですよ？
Ｐ,おっ、そうだな
琴葉,...........もうっ
Ｐ,ん？
琴葉,でも、結婚前にウェデイングを着ると
Ｐ,そんなのジンクスにすぎない。第一琴葉と結婚したい奴なんて数えきれないほどいる。ちゃんと結婚できるから安心して
琴葉,そ、そうですか....もし逃したら、プロデューサーが貰ってくれますか？
Ｐ,おう！琴葉が結婚するまで独身覚悟か～！ははは！
琴葉,約束、ですからね
杏奈,.....ちょっと妬ける
茜,うんうん、誰もが憧れる結婚！これを羨まずしてなんというか～！
美奈子,まだ？
茜,だから落ち着こう
そら,以上になります。お疲れ様でした！
Ｐ琴葉,お疲れ様でした
Ｐ,息苦しくてごめんな琴葉
琴葉,いえ！私はむしろ///。でも...約束ですからね？
Ｐ,あぁ！
恵美,ちょ、ちょっとプロデューサー！琴葉とあんな約束して大丈夫なワケ！？
Ｐ,心配ないさ。琴葉はちゃあんと結婚するから
エレナ,......ダメだネ
恵美,ダメだわ
まつり,ダメダメなのです
Ｐ,えぇ！？
星梨花,琴葉さん、結婚式の衣装とってもお似合いでした！
環,すっごく綺麗だった！
育,わたしもあんな風になりたーい！
恵美,琴葉、皆に大人の魅力ってのを教えてあげなよ♪
星梨花,聞きたいです！
琴葉,大人の魅力...そ、そうね...。大人なんていずれ貴方達もなるものだから、魅力なんて自然と身に付くはずだわ。ただ難しいのが自分の運命の人に魅力を気付いてもらう事ね。これが何より大切よ。私はプロデューサーに私自身の魅力に気づいてもらえたし、両想いだからスキを追求する必要はもうないと思うでしょう？でも人や恋や愛はそんなに単純なものではなくて、必ずしも飽きが生じてしまうの。その解決策は何だと思う？飽きさせないためにその人のスキを永遠に追及する事なのよ。今までの自分、いつもと違う自分を見せて毎日刺激を与えるの。大人の女性や恋愛にはね常に刺激が求められるのよ。あなた達はまだ小さいからよくわからないと思うけど、いつか分かる日がくるはずよ。今まで自信がなかったけど、でもあの人が私と結婚すると約束してくれた今、自信がないように過ごせば結果的にあの人に迷惑がかかってしまうから、これからは胸を張って生きようと思う。やっぱり愛する人に迷惑をかけることが一番辛くて酷いことだと思うの。それを理解すればあなた達も大人になれるわ
星梨花,
環,
育,
恵美,
エレナ,コト.....ハ？
琴葉,冗談よ。一度ヤンデレというものをやってみたかったの。安心して
星梨花,び、ビックリしました！
環,驚かされちゃったぞ...
育,わぁ怖かったぁ...
恵美,冗談やめてよ琴葉ぁ....
琴葉,ごめん
恵美,琴葉はどこでそんな演技力磨いたの
琴葉,何故か私、重い女って言われてて.....
恵美,真面目すぎるからだよ。それで自分なりに演じてみたワケね
琴葉,似合ってたかしら？
恵美,似合う似合わない以前に怖かったよ～
エレナ,でもあの演技力なら、仕事も増えるヨ！
琴葉,そうね、新しい自分を発見できるいい機会だったわ！
恵美,でも正直怖いもの見たさで、ヤンデレ琴葉もう一回見たいかも
琴葉,えぇ....あれ結構疲れるのよ？
翼,ねぇプロデューサーさん、このネックレス付けてくれますか？
Ｐ,あぁ、いいよ
翼,えへへ....プロデューサーさんに抱かれてるみたいで嬉しいなぁ♪
Ｐ,そ、そういうコト言わないで
琴葉,......
恵美,琴葉、あれ
琴葉,プロデューサーは私の結婚相手よ？それが決定事項なのに私の伴侶に何のおかまいもなしにアプローチをするわけ？なるほど、翼ちゃんは愛人を目指しているわけね？そういう恋に燃える人も少なくないと聞いたわ。きっとそれよ、そうに決まってるわ。そうよね？そうじゃないとオカシイもの。翼ちゃんは可愛いからね。プロデューサーが照れる理由もわかるわ。でも私は愛人なんて認めないですからねプロデューサー。愛は一途でこその愛、あなたの視界に映るの常に私一人だけでいい、それ以外は認めません。これからが大変だわ。あの人の好きな食べ物好きな仕草好きな恰好好きなもの全てを把握しないといけないのね。でも何一つ苦じゃないわ。だってあの人のためだもの。炊事洗濯掃除、これから隅々まで勉強していかなくちゃ。これもあれもそれもどれも妻の役目よ。洗濯で思い出したけど前に事務所でプロデューサーの上着をこっそり嗅いでみたんだけど、この上ない幸せだったわ。何ていうのかしら、匂いを嗅いだことでプロデューサーの匂いが全身に染み渡ってプロデューサーが私の中を駆け巡るような、あの人に支配されてるような気がしたの。とても気持ち良かったわ。これを誰かと共感したいと思ったけれど、プロデューサーは私だけのものだから誰にも教えなかった。出来るならもう一度嗅ぎたい。でもこれから結婚するんだから、服を洗うのは私の役目になる。毎日匂いを嗅げる....いえ、あの人がいつも隣にいるんだから服なんて嗅がないで一緒にいる方が得よね。隣に座って永遠と愛を語り合うの。こんな幸せある？死ぬまで一緒なのよ。やだっ、幸せに暮らすのに死ぬ時の事なんて考えたくないわよね。その前に子供だっているんだから。今から子供の話をするのはやっぱり恥ずかしいわね。ふふっ。誰かのために尽くすのはとても誇らしい事、素晴らしい事、それにその相手が自分の愛する人だもの。あの人が私の生きがいになるように、私があの人の生きがいになるように全てを知って良き理解者になってあげたい。それもそのはずよ、もしあの人が絶望的状況に陥ったとしたら私はずっと隣にいるつもりだから。夫の痛み辛み憎しみを分かち合うために妻である私がいるの。それが存在意義なんだから。だって二人で壁を乗り越えていくことこそが夫婦でしょ？夫婦の園に誰の侵入も許さない。でも一つ問題があるわ。私が一途であるとしても、あの人が無意識に女を作りかねない。プロデューサーは私を愛してくれると誓ってくれたけど、実際どうなるかわからない。これはイベントだから単なる娯楽に過ぎない。だから心配はないとしても、この美人美少女勢揃いは想像以上に厄介だわ。何せ一人一人魅力があるもの。それに誰もがプロデューサーに想いを寄せている。でも私はこれだけはハッキリ言える。私がプロデューサーの事が一番好き。何よりも誰よりもどの生物よりも自信がある。あの人の優しさが好きあの人の笑顔が好きあの人の謙虚さが好きあの人の心配性なところも好きあの人のお人好しが好き。そこを理解してるのは私だけ。いいえ、私だけではならない。やっぱり理解者は常に一人でいいのよ。どんな敵だって私が殲滅しなければいけない。私がプロデューサーの汚れを拭き取らないといけない。害虫毒虫は全て駆除が必要なのよね。愛する人に迷惑をかけることは絶対にやってはいけないこと。なら愛する人が喜ぶことをしなければならない。それが害虫駆除よ。わかるでしょう？あの人もきっと喜ぶはずだわ。だって、妻が夫に尽くすんだもの。それに喜ばない夫がいると思う？いるかしら？いないわよね？いないでしょう！？いるわけないのよ！！！当たり前よ。だって愛は全てを凌駕するから。愛に勝てるものなんてこの世にないわ。だからプロデューサーの愛である私は絶対的存在なの。誰にも分けたり譲ったりしない。この愛は私達だけのもの。邪魔する者がいれば私は容赦なく........。―――――消す
恵美,
エレナ,
琴葉,恵美！？エレナ！？冗談だから！演技だからぁ！！
Ｐ,早坂さん
そら,はい？
Ｐ,宜しければこの後のパーティ参加しませんか？音無さんから断られたとお聞きしたんですが...
そら,はい、つい先程まで他の仕事がありまして、それで断らせて戴いたんです。それが大分巻けて....途中参加でもいいですか？
Ｐ,はい、早坂さんには日頃からお世話になってますので、お礼を込めまして是非とも楽しんでもらいたいです
そら,ありがとうございます！ではお言葉に甘えて参加させていただきますね！
Ｐ,はい！
小鳥,続きましては千鶴さんと想像結婚生活です
千鶴,け、結婚！？
翼,えぇ！？
紗代子,どういうことですか！
小鳥,皆さん落ち着いてください
まつり,ほ？ほ？ほ？ほ？ほ？ほ？ほ？ほ？ほ？
小鳥,まつりちゃん落ち着いて
Ｐ,してこれは.......？
小鳥,これは相手との結婚を想定し、どのような会話をするか、という実験です
全員,納得
琴葉,そんなの結婚なんてしないに決まってるわ。(本妻余裕の笑み)
桃子,余裕そうだね琴葉さん。でもそうはいかないよ(正妻余裕の笑み)
ロコ,二人とも....
Ｐ,結婚を想定してお金の話とか？
千鶴,でしょうか
Ｐ,まぁ千鶴さんはセレブですから
千鶴,そ、そうですわね！わたくしのようなセレブになりますとそこらへんの物なんて何でも買えますわ！
Ｐ,ですよねー。じゃあ料理も専属のシェフがいるから無問題？
千鶴,当たり前ですわ！朝昼晩フルコーｺﾞｯﾎｺﾞﾎｯ！フルコースっですわっ......！
Ｐ,そうですか～ﾆﾔﾆﾔ
千鶴,な、何をニヤニヤしてらっしゃいますの
Ｐ,別に～。じゃあ毎日コロッケ食い放題ですね！
千鶴,いえ、それでは手間がかかりますわ。コロッケは賞味期限が近づくとパサパサに
Ｐ,ん？
千鶴,えっ、あっ、１日100個でもいいと思いますわよ！？
Ｐ,そうですよね～、高いコロッケと安いコロッケ、どっちがいいですかね？やっぱり
千鶴,一概には言えませんが、高ければよく練ってありますし、衣もしっかりしています。それで200円高くて300円しますわ。だからと言って安いのを選べば、粗が目立って
Ｐ,コロッケ詳しいですね
千鶴,そ、そうですわ！わたくしコロッケは毎日千円程のものを食べますの！
Ｐ,高く釣り上げても千円前後なのか.....。そんなに広いお屋敷だと掃除の人も大変でしょう
千鶴,そう....でで、ですわね...
Ｐ,どのように掃除してるかわかります？
千鶴,まずホコリは掃除機ですね。ある程度やってカーペットを剥がして、その下も重点的に
Ｐ,カーペットを剥がすと白い粉みたいなの出ません？
千鶴,あれはカーペットの繊維ですわ。別に汚いというわけではないんです
Ｐ,なるほど。でもフローリングにシミが付いちゃって
千鶴,専門用具でダメなら食器用洗剤で試してください。意外と落ちますのよ
Ｐ,へぇ....お詳しい
千鶴,メメメメメメイドに教わりましたのよ！
Ｐ,くふふっ....
千鶴,何がオカシイのですか！
Ｐ,いやぁ、千鶴さんと話してると楽しいなって
千鶴,どういう意味で....
Ｐ,本当はとっても家庭的なのにそれを隠してるところですかね。でもそういう部分を押し出した方がいいですよ。俺みたいな男は、家庭的な女性に惹かれますから
千鶴,そ、そうでしょうか....？///
Ｐ,男は誰だって結婚に役立つ術を持っている人を魅力に思う生き物です。だから千鶴さんのスキルは多くの人を魅了します。俺もそのうちの一人です
千鶴,.......///
Ｐ,千鶴さんは魅力的です
千鶴,そ、そうですか.....///
全員,家事力鍛えなきゃ.....
茜,...と思う全員であった
Ｐ,今度セレブのお屋敷にお邪魔しますね
千鶴,わ、わたくしの家は厳重で家族以外は...！
Ｐ,そっか....じゃあ俺は千鶴さんの家に一生いけないのか...
千鶴,プロデューサーを家にお呼びしたいのは山々ですがどうしたらいいんですの～～～！！////
小鳥,さて皆さん準備はよろしいですか？
Ｐ,なんかもう全部俺な気がしてきた
小鳥,こちら～ジュリアちゃんから何かを教わる
ジュリア,な、何か.....？
小鳥,なんでもいいですよ。プロデューサーさん、ジュリアちゃんから何か教わりたいことはありますか？
Ｐ,う～ん....あっ！ギター教えてほしい！
ジュリア,おっ！それなら教えられるな！ちょうどギター持ってきてたし！
Ｐ,一度弾いてみたかったんだよな～
ジュリア,まずは指ならしからだな。はい
Ｐ,えっ、えーっと。全然できひん....
ジュリア,最初はそんなもんだよ
Ｐ,一本一本押さえるのにも指が痛い...ほら、もう痕が付いちゃった
ジュリア,初心者あるあるだよ。力み過ぎだぜ
Ｐ,ジュリアはならないの？
ジュリア,まぁあたしは加減がわかるからな。ほら、何もなってないだろ？
Ｐ,どれ
ジュリア,！？///い、いきなり手を握るなよ！
Ｐ,あっ、ゴメン
ジュリア,も、もぉ～.....///
全員,イチャイチャしやがって....
ジュリア,ほら
Ｐ,よっ。想像以上に難しい...
ジュリア,多分押さえる指が他の弦に当たってるからだな
Ｐ,ん？どこだ？あ、放したら押さえ方忘れた
ジュリア,これと、これと、これ。ほら弾いてみ
Ｐ,おぉ～
ジュリア,な？
Ｐ,あ、待って！指離さないで！
ジュリア,！///ちょ、コラ！///ふざけてんのか！？
Ｐ,ふざけてなんかないよ。次も教えてくれ。大切なジュリアとの時間、無駄にしたくない
ジュリア,...。おぉ！
Ｐ,やっと弾けた！ありがとうジュリア！
ジュリア,どう？ギターに興味湧いた？
Ｐ,あぁ、暇があったらまた教えてくれ
ジュリア,いつでも教えてやるさ
小鳥,はーい次に移りますよー
昴,あれ、ジュリア、どこに行くんだ？
ジュリア,ちょっと風に当たってくるだけ。..........。手を握るとか卑怯だろうぉぉぉぉぉぉ！///。顔近いしさぁぁぁぁぁ！！！///。大切なジュリアとの時間、無駄にしたくない........。ふわああああああああ！！//////
小鳥,はい皆さん、次に移りますよ～
翼,ジュリアーノは？
昴,風に当たってくるって
まつり,きっといいメロディーが浮かんだのです！
小鳥,お次はツイスターゲームです
Ｐ,あ～、あれか
小鳥,お相手は高坂海美ちゃんです！
海美,わ、私！
小鳥,ちなみにお二人ともツイスターゲームの経験は？
Ｐ海美,ないです
海美,でも知ってるから大丈夫です！
小鳥,話が早くて助かります～
Ｐ,あっ、俺知らないんですが
海美,やってみればわかるって！
Ｐ,あっちょ！
歩,アタシもやりたかったなー
環,やっぱり身体動かしたいよね
歩,うん、それにプロデューサーとスキンシップ
環,え？
歩,うわっ！？///た、環！今のは誰にも言わないでよ！？
環,うん？
瑞希,聞きました。しっかり
歩,み、瑞希～！
小鳥,右手を赤
Ｐ,よっ
海美,よいっ
小鳥,右足を緑
海美,はいっ
Ｐ,うぐぐ...！
海美,プロデューサー、やっぱり体硬いね
Ｐ,最近運動とか...してなかったからなっ
海美,じゃあ今度私と汗が出るまで運動しようよ！
Ｐ,汗が出るまで運動！？一体何をｽﾙﾝﾃﾞｨｽｶｰ！
海美,へ......？。そ、そういう意味じゃ、にゃいきゃら！///
Ｐ,にゃいきゃら？
海美,うぅ....ばかぁ...///
小鳥,左足を黄色
Ｐ,ぐぎぎっ....！
海美,ちょ、ちょっとキツくなってきた
小鳥,左手を青
Ｐ,早い！
海美,くぅっ......！
小鳥,右足を青
海美,あぁ！
Ｐ,ごめんもうダメだ！
小鳥,だ、大丈夫ですか！？
Ｐ,いってて......海美！大丈....。......
海美,.......プロデューサー
Ｐ,ごめんなさいぃぃぃぃ！！
海美,べ、別にいいよ...ワザとじゃないのわかってるし...
Ｐ,本当に申し訳ありませんでした
海美,ぷ、プロデューサーがそういう人じゃないって知ってるからっ、だ、大丈夫だから...！
Ｐ,事故とはいえ本当にスマなかった...何度も謝るよ
海美,もういいって。.....で、でも聞いていい？
Ｐ,なんでしょうか
海美,ど....どう...だった？
Ｐ,大変良い形で揉みごたえのあるおっ
海美,/////
Ｐ,ぐぅふえっ！！！。....
環,おやぶん、ほっぺた腫れてるぞ
風花,大丈夫ですか？じっとしててくださいね～
Ｐ,いちちっ....
静香,ここで元看護士スキルが役立つのね....
Ｐ,ありがとう、風花
風花,いえいえ～
志保,鼻の下伸びてますよ、プロデューサーさん
Ｐ,いやぁスマンスマン
小鳥,そこのお二人！次はあなた達ですよ！
志保,えっ....まだ心の準備が...
Ｐ,何をやるんです？
志保,？
小鳥,お二人のアルバムを見せ合ってもらいます
Ｐ志保,でもアルバムなんて
小鳥,ご用意してあります
Ｐ志保,........
杏奈,好きな人の....昔の、写真....
紗代子,見てみたい....よね
志保,スゴイですね、アルバムがパンパンです
Ｐ,ひとりっこだからな。親バカあるあるだよ。志保のは....
志保,最後の方に２枚ほど空きがあります。私は弟がいるので。弟の写真が多いかもしれません
Ｐ,そっか。よし、俺のアルバムから見ていこう
志保,子供の時のプロデューサーさん.....結構可愛いですね
Ｐ,まぁ子供時代なんて皆可愛いものさ。あぁ、中学入学の写真だ。懐かしい....
志保,面影があります。この目元とか
Ｐ,良く見てるな志保は
志保,み、見てません！
Ｐ,修学旅行とか行ったなぁ。当時寺とか全く興味なくてな。退屈だったよ
志保,.....この隣にいる女の人は
Ｐ,クラスメイト、だな。特に関係はなかった。最近結婚したらしい
志保,そうですか...
Ｐ,あーこれ！偽心霊写真！これを女子に見せたら泣いちゃってさ。その後説教されたよ
志保,いたずらっ子だったんですね
Ｐ,よし、じゃ志保の写真も見せてもらおうかな
志保,恥ずかしいですが...どうぞ
Ｐ,おぉ～！小さい頃の志保可愛い～～！！
志保,ちょ！そういうこと言わないでください！
Ｐ,これとか！無邪気に遊んでるなぁ...
志保,.......！！それは見ちゃダメです！
Ｐ,えっ。あぁお風呂の写真？別に1、2歳の時なんだからいいじゃん
志保,へ、ヘン夕イ！
Ｐ,がはっ.....へ、ヘン夕イ.....
志保,あぁ落ち込まないでください！もういいですから...
Ｐ,そういうのは避けてみるよ。これが小学校入学、中学校入学.....。..........？
志保,この入学式の日、お母さんが遅刻してきて...
Ｐ,...........。おかしいな....。....どのページにも父親が写っていない....？
志保,それで恥ずかしくて.....ってプロデューサーさん、聞いてますか？
Ｐ,.........志保、お父さんの事、覚えてる？
志保,っ.......。....いえ、全然
Ｐ,確かに....弟や母親の話は聞いたことあるが、父親の話は一度も聞いたことがない...。そうか....一人で何でも解決しようとするのは、母親や弟を引っ張っていこうとする気持ちから来ているか.....。志保は志保なりに、ずっと悩んできたのかもしれない....。志保....
志保,はい...
Ｐ,頼りないけど、俺を父親のように思ってくれてかまわない。何でも頼ってほしい
志保,.......はい、ありがとうございます...。あの、プロデューサーさん
Ｐ,どうした
志保,このアルバムの最後のページに....その....プロデューサーさんと写ってる写真が欲しいです
Ｐ,いいよ。早坂さーん！一枚お願いしますー！
そら,おまかせください！。はいお二人とも笑ってください！取りますよ！はい！
志保,ワガママを聞いてくれて、ありがとうございました
Ｐ,よし！みんな集合――！写真撮るぞー！
志保,えっ......？。あ、あの....？
可奈,志保ちゃん、隣いいかな？
志保,えぇ
可奈,ありがとっ♪
志保,ちょ、ちょっと可奈っ
可奈,今日だけ今日だけ♪
志保,もうっ......
Ｐ,支えてるのは俺だけじゃない。皆だ。だから最後の一枚は、皆で撮ろう
志保,っ.......
そら,それでは撮ります！皆さんなるべく笑顔でお願いしますね！。３、２、１！
志保,本当に.....ありがとうございましたっ...
Ｐ,これからドンドン頼ってくれよな！
志保,....はいっ....！。.....可奈？
可奈,うん？
志保,あの...これからも....と、ともっ....
可奈,うん、ずっと友達だよ！
志保,....！......ありがとう...
小鳥,やっぱかなしほやわぁ.....ﾊｧﾊｧ....。はい皆さん戻ってくださーい、撮影は終わりですよ。では再開させていただきます。お次はこの人
風花,え...っ
恵美,ちょっ.....
奈緒,これは...
Ｐ,...これは18禁になりませんか？
小鳥,18禁になるかどうかはプロデューサーさんの理性にお任せします
Ｐ,俺にかかってるのか
風花,え、工ッチなのはダメですよ！
Ｐ,そう言われると逆に工ッチな気分に...
小鳥,それでは始めてください。医者役はプロデューサーさんです
Ｐ,ま、まずは俺が聴診器を当てていくんですね
風花,えと...
Ｐ,では、服をまくってください
風花,は、はいっ....///
Ｐ,うおぉぉぉ！後数センチで超破壊的おっぱおが顔を出す～！。見てちゃダメだ見てちゃダメだ見てちゃダメだ見てちゃダメだ見てちゃダメだ見てちゃダメだ見てちゃダメだ。93cm.....93cm.....93cm.....
風花,ちょっと！！サイズ言いながら聴診器を、んっ！
