乃木若葉は勇者であるの内容も含むためそこまで把握されている方は多くないかもしれませんが、お付き合いいだけましたら幸いに思います,ゆゆゆいでもOKです
樹,──こうして、かぐや姫は富国強兵に努めましたとさ。めでたし、めでたし？
千景,予想外、と言うより予想を遙かに超えた拍手の数ね……。福祉施設ということもあって東郷さんをかぐや姫役に収めたのが成功の一因、かしらね？
風,いやー大成功だったわね！
千景,……そうね、魔法少女
風,魔王兼魔法少女
千景,ごめんなさい。おかん力溢れる魔法淑女が何かしら？
風,おかん
夏凜,おじいさん兼おばあさん
千景,アイドル改め黒魔女
銀,アラサーアイドル
風,脅された時の心境
千景,腹黒魔女
銀,売れ残りアイドル
美森,かぐや姫
友奈,勇者
銀,偽アイドル
樹,ナレーター
夏凜,まぁ、東郷は見た目だけなら大和撫子だからね
風,うむ、皆よくやった！おかげさまで大成功よ！それじゃあ、この後は皆で祝賀会でもやりますかね。今回は特別に部長のアタシが……なんと！
銀,もしかしておごりッスか！？さっすが部長、太っ腹！
風,誰の腹が太いって！？……まぁ、今回だけ特別よ。ドリンクバーを好きに飲みまくるが良い！
友奈,やったー！
夏凜,微妙にセコイ感じがするけど、普通におごられるとこっちも気が引けるし妥当なんじゃない？
風,では、皆の衆！打ち上げにしゅっぱ──
樹,あっ、マイクが……！
千景,──これは……まさか！？世界が光って──！
風,つ……とは、どうもいかなくなったようね。──皆！疲れているとは思うけど、もう一仕事頑張るわよ！
樹,うん。覚悟はできていたよ、お姉ちゃん
夏凜,まぁ、この完成型勇者が居ればバーテックスの一体や二体すぐに殲滅してあげるわ！
美森,神託通りであるなら……気を引き締めて事に当たりましょう！
友奈,うん、バーテックスを倒して皆でお疲れ様会をしよう！って、あれ？銀ちゃん、と──！？
銀,なんで……千景、さんが……
千景,……これが、樹海化、なの……？。私の目の前に広がるのは、アニメで見た──あの非現実的で色彩溢れる樹の海だった
友奈,風先輩！なんで、ぐんちゃんまで樹海の中に居るんですか！？
風,分からない……本当に分からないのよ！千景に勇者適性があるなんて大赦は一言も、言ってなかった……
夏凜,……私も大赦から聞かされていないわね。銀の時には事前通告があったから、これはいわゆるイレギュラーってやつなんでしょう。でも──
美森,ええ、いつもと行うことは何も変わりません。銀と千景ちゃんに絶対手出しはさせない
夏凜,まぁ、そう言うことね。……しっかりしなさいよ、部長。年上の言うことに従えって言ったのはどの口？
風,……ごめん、少し動揺した。夏凜と東郷の言う通り、アタシたちはバーテックスを倒して全員無事で帰るのよ！……ほんといつもと何も変わらないわね
銀,千景さん……大丈夫ですか？
千景,……あ……あぁ……
友奈,ぐんちゃん、大丈夫、大丈夫だから。私が、私たちがここに居るよ
樹,千景さん……。──お姉ちゃん、来たよ
風,残りの全部がお出ましとは、流石最悪の状況と言われていただけあるわね。気合も入れずに当たったら、マズイか……。──銀。悪いけど、少しだけ千景のことを頼むわ
銀,は、はい！
友奈,ぐんちゃん……
千景,……っ……
風,……ごめんね、千景。よしッ！皆、アレいっとくわよ！
夏凜,……アレ？アレってどれのこと？
美森,友奈ちゃん、心配は分かるけれど、風先輩の気持ちも察してあげて、ね？
友奈,……うん、分かってる。──夏凜ちゃん！こうするんだよ
夏凜,ちょ、ちょっと！
風,敵さんも本気の本気で総力戦のつもりよ。だけどね、アタシたちは絶対に負けない！
友奈,はい、絶対に守りたい人たちが居るから！
美森,一緒に帰りたい人たちが傍に居るから
樹,皆の前で叶えたい夢があるから
夏凜,……。え？これって私も何か言う流れなの！？
風,全く空気が読めなくて困るわね、この完成型勇者は～
夏凜,うっさいわね！……あ、あいつら倒して、風にドリンクバーおごって貰うわよ！
風,ええ！皆で劇の祝賀会を帰ったらやりましょう。……あんたたち、絶対死ぬんじゃないわよ！。よぉーし！勇者部ファイトー！
銀,大丈夫ッスよ、千景さん！皆、メッチャ強いんですから！
千景,……アレが、あの異形が、バーテックス……！アニメで見ていた時は何も感じなかったのに……何で皆はアレを見て平気でいられるの！？私たちとあまりにも存在が違い過ぎる上、生物でも無機物でもない異形……ッ……気持ち、悪い……
銀,──絶対口には出さないですけど、滅茶苦茶怖いはずなんですよ、皆
千景,……え……？
銀,ほら、アタシだってこれで何度目かって話なのに、手の震えが止まりませんし。……アタシは見ていることしか出来なくて、東郷さんたちが死にそうな目に遭う瞬間を何回もただ無力に見てきました。それなのに、今だって円陣組んで必至に震えを誤魔化して……怖くても、どんな怖くても世界を守らなきゃいけないから……アタシと千景さんも守ろうとしてくれているから、ああやって戦おうとしている。……守られている立場で生意気って思われるかもしれないですけど、勇者部の皆はほんとアタシの誇りで、アタシの大切な友達で仲間なんです！
千景,……。身体の震えは依然として止まらない。化け物の無機質さが元の世界のアイツらと被る。刷り込まれてきた恐怖がその異形と相まって、恐怖の象徴の極限にしか見えない。だけれど、私と同じくらい震えながら、それでも、彼女たちを誇りだと言った三ノ輪さんは笑って、何より誇りと呼ばれたその彼女たちは、自らを懸けて化け物と戦おうとしている。……情けない……自分が本当に、情けない……！。……わ、私は、バーテックスの存在を知った時……私が、勇者だったらと想像して……か、彼女たちのように、いえ……誰よりも上手く戦えると、こ、根拠もなく、信じて、いたの……。笑われると思った。軽蔑されるかもしれないと思った。怖かった。だけれど、三ノ輪さんは
銀,分かりますよ、その気持ち。アタシだって、もし戦えたとしたら自分が強い勇者であるって思いますもん。……でも、実際にこの光景を見てしまえば、ああ、自分はなんてバカだったんだなぁ、ってつくづく思います
千景,……。そう、あなたも同じだったのね……
銀,はい、アタシたちは似た者同士です。そんでもって、お互いここでは何の役にも立たないことを自覚しています。だからこそ、皆が絶対に勝つんだって信じて、願って、やっぱり生意気ですけど応援しているんです。……だって、アタシたちも同じ勇者部の部員で仲間ですから
千景,……後輩がそこまで言っているのに、私一人が震えているなんて……本当恥ずかしい限り、よね
銀,……やっと顔を上げてくれましたね。大丈夫ッスよ、アタシも最初はそんなもんでした。だから、似たもの同士、皆の戦いをしっかり目に焼き付けましょう。なんせ世界を守ってくれているのに、その戦いを誰も知らないなんて、ちょっと酷すぎますからね
千景,……ええ
美森,──東郷美森配置につきました！……千景ちゃん、大丈夫？
千景,無様な姿を見せてしまったわね。……そ、その……と、東郷さん……が、頑張って、ください……
美森,……ふふっ、ますます負けられない理由が出来ちゃったわね。──樹ちゃん、死角は後方で私が援護するわ。樹ちゃんは中衛位置をできるだけ維持して
千景,スマホを通して東郷さん以外の勇者部たちの状況も聞こえてくる。……アニメで見た時よりも明らかに連携が上手くなっている。三ノ輪さんが居たから？……そして、私が居るからでもあるわけか
銀,やった！まずは一匹目！
美森,でも、今の敵の動き……まるで叩いてくれと言わんばかりの突出……
千景,東郷さん！あのバーテックスの鐘を狙って！早く！──くっ！？
銀,あ、頭が……ッ！？
美森,っ！？二人とも勇者装束じゃないからこの距離であっても──！あの鐘か！……こんな時に地面から新手！？
樹,音は……音は、皆を幸せにするもの……！こんな音ぉーっ！！
風,まずは！お前らぁーッ！！
千景,樹さんのワイヤーがバーテックスの鐘から音を奪い、他方の二体を風先輩が切り裂く。敵の進行具合に合わせて一時的に勇者部の全員が後方に揃っていた
友奈,大丈夫！？ぐんちゃん、銀ちゃん！
千景,え、ええ……
銀,まだ耳がぐわんぐわんする……けど！大丈夫です！
美森,樹ちゃん、風先輩、助かりました
風,こちらこそナイス援護射撃！そんじゃあ！三体まとめて封印の──
夏凜,……待って！様子がおかしい
風,え？バーテックスが撤退していく……？
千景,いえ、違うわ！あの巨大なバーテックスが他のバーテックスと融合している！
美森,あれは……良くない！くっ、射撃の有効範囲外……！
友奈,絶対に！させないッ！！
風,友奈！一人だけだとマズイ！夏凜、アタシたちも友奈と一緒に前線に出るわよ！
夏凜,言われなくても！
千景,思い出せ……思い出せ！ゆゆゆの五話で敵はどう攻撃してきた？
銀,合体したバーテックスから大量の火の玉が！？
樹,お姉ちゃん！！
千景,樹さんが前衛たちの後を全力で駆けていくが、今からでは間に合わない！
美森,皆！？──おのれ！
千景,合体バーテックスに今度は東郷さんの射撃が届くが──
美森,弾かれた！？いけない！！
銀,がぁっ！と、東郷さん！？
千景,ぐッ！？。東郷さんによって私たちは後方へと力づくで押し飛ばされ──
美森,うああぁーっ！！
千景,彼女の悲鳴が聞こえた。……くっ……皆は！？。辛うじて見える距離に、倒れて動かなくなった東郷さんの姿。火球が迫る中、無理やりにでも突き飛ばしてくれたから、私たちは助かった。だから、その直撃を彼女はまともに受けてしまっていた──！
銀,友奈さん！風先輩！樹さん！か、夏凜さん！！
千景,誰も動かない。動ける者は勇者でない生身の私たち二人だけ。その身体も地面との衝突で立つことさえおぼつかない。……私が、悪いんだ……
銀,なに……何言っているんですか！？千景さんが悪いわけなんてないでしょう！
千景,違う、違うのよ……。私はこの状況を知っていた。私だけは、知っていた！……私が助言を与えられれば、傷を負わせることなく勝つことさえ彼女たちならできたはずなのに。それなのに！恐怖して、混乱して、思考が定まらなくて、何もできなかった！……私が居たから、記憶にある彼女たちよりも傷が深くなり、状況は悪化してしまった……！
銀,千景さん……くっ、でも今は考えないと……。まずは、東郷さんを介抱しに……いや、駄目だ、足手まといになる……なら、アタシが今すべきなのは──千景さん！アタシたちは逃げないと！守ってくれた東郷さんたちの想いを無駄にしちゃいけないんです！
千景,三ノ輪さんに腕を引かれ、私の脚はよろめきながらも前へと進む
銀,マズッ！？あいつ、アタシたちに気付いた！早く、早く逃げないと！だから、頼むから動いてくれよアタシの足！！
千景,全てを知っているのに、私はこの場で誰よりも足手まといで──無力、だった
銀,！？火の玉が──ッ！！
千景,そして、無力な私にバーテックスの火球が近づいてきて──
銀,……。……どうもアレは、追尾弾のように追いかけてくるように出来ているようッスね。──だから、アタシが引き受けます。千景さんは全力で走って！！
千景,な、何を、言って……
銀,早くッ！！
千景,言葉を交わす時間は最早なく、火球は前方へ出た三ノ輪さんを飲み込み──！。……っ……。……け……な……。ふざけるなっ！！。何で三ノ輪さんが犠牲にならなくちゃいけない！。私のような無意味な人間の代わりにならなくちゃいけない！。彼女は！彼女たちは！私と違ってひなたを歩く側の人間なのよ！！。こんなこと！許せるわけがないでしょーっ！！
銀,……ははっ、天国ってあっついんだな──って！あれ……？アタシ、生きて、る……？
千景,まさか、これは……
銀,良かった……千景さんも無事だったんですね。って何じゃこりゃ！？手が宙に浮かんで火の玉を押さえてる！？
千景,手甲……あの手甲が何故ここに……？
銀,手甲って……確かに言われてみれば時代劇とかで見る、手に着ける鎧的なあれに見える気がするけど……
千景,火球は見る見る打ち消され、消滅の後、私の目の前にその手甲は落ちてくる
銀,これって、一体……
千景,……分かる。分かってしまう。この手甲は私に言っている。自分を、目の前の手甲を手に取れと。……。視線の先には無機質で巨大なバーテックス。私の身体が再び震え出すのが分かる。けれど。私を守ってくれた東郷さん、世話を焼き続けてくれた風先輩、親身にしてくれた樹さん、おせっかいで優しい三好夏凜。そして、高嶋さんと何もかもがそっくりな結城さん。高嶋さんの居ない日常の空虚を彼女が埋めてくれた。……倒れ動かなくなってしまった勇者部の、私の……大切な、いつの間にか大きな存在になってしまっていた、仲間たち、が目に入り──。戦う力はないのに、私をかばって犠牲になろうとした三ノ輪さんが、今も決意を瞳に滲ませて私を見ている──。だから。だからっ！。例え、物語の行きつく先を知っていようと、ここが本来の居場所でなかったとしても、私は、私はっ！。大切な人たちにこれ以上傷ついて欲しくなんてない！！。その手甲に──触れた
銀,え？手甲が……大きな、鎌、に……？
千景,東郷さんではないけれど、コレを手にした瞬間心が落ち着いた
銀,ち、千景さん、それって！その姿って……！？
千景,昏い光が私の身体を覆っていく。……分かる。"この力"の使い方が。私がなせることが、分かる。火球が再度私たちを追ってくる。けれど、もう逃げない。逃げる必要はない
銀,くっ、また！
千景,三ノ輪さん、今度は私があなたを守る番よ。はぁ──ッ！！。身の丈以上ある大鎌は火球を真っ二つにし、炎を容易く打ち消していた。得物に一切の重量は感じていない。そして、昏い光は転じて完全なる衣となり、それは黒を生成する。長い裾が消火の風圧の中、静かにそよぎ、死神はここに降臨した。大丈夫？三ノ輪さん、怪我はない？
銀,………。ははっ。……もう、ずるいなぁ。一人だけアタシを追い越して先にいっちゃうなんてさ……
千景,……ふふっ、前にも言ったでしょう？私はズルいのよ。さて。バーテックスを正面から見据える。恐怖に、もう目は逸らさない。さぁ、化け物。──塵殺してあげるわ。讃州中学三年、郡千景。今より私は、勇者を為す──！。視界の光景が高速で流れていく。人間では決して出すことの出来ない速度をもって私は駆ける。これなら、数秒後にあの合体バーテックスと接敵可能だろう、が……。──そう易々と通してくれるつもりはないみたいね。地中に潜っていたもう一体のバーテックスが上昇、そのままの勢いで体当たりを仕掛けてくる。くっ……！。裾が僅かに白の巨体と接触、触れた一部分が消滅していた。もし少しでも回避に遅れていたら──ゾッとする。……こうして対峙してようやく理解するなんてね……。人間を超えた力を手に入れた今の私であっても、あの異形共の力に遠く及んでいない──。はぁッ！！。こうやって火球を斬り裂けるのは、おそらく相性の問題。元々の性能差であれば立ち向かうことさえ絶望的なスペック差であることは明白だった。そもそもがこのイレギュラーな勇者の力は、本来の勇者システムとは理の違う劣化版にしか過ぎないのだ。認めたくはないが、最初から私に勝機などなかった。……。──けれど、それが何だと言うの？。テレビゲームであれば絶対に勝者となることを望むが、今この時においてだけは勝者である必要はない。ただ、敗者でなければ良い。何故なら、私はこの先の未来を知っているから。化け物を倒せる人たちを知っているから。……そう、これは元から時間稼ぎでしかない行為。この物語の主人公たちへと繋ぐバトンを、その渡す時間を作ることだけが私の役割に違いない。はぁッ！。三ノ輪さんの方向へ飛んでいく火球を切り裂く。直後、地中から白のバーテックスが再度現れ、勇者装束の一束が持っていかれる。……人の柔肌を暴くなんて良い趣味しているわ。──ねぇ、化け物？。行く手を阻む白いバーテックスに私はただただ冷酷に笑いかける。そして、告げる。──最初から出し惜しみは、無しで行くわよ。自分の遙かなる底から"それ"を呼び出す。その影響なのか、心の奥の隙間から声が私の色で紡がれていく。《光の存在しない紫色の闇よ。我が中から湧き昇れ。闇は底から奔流となりて喉元から競り上がり。暴力のみの存在は純粋な力となりて、人の身全てを巡らせよう》。それは満開ゲージの存在しない私に与えられた、満開とは異なる畏怖であり畏敬の力。《人は怯え、神は見落とし、自然は許容を黙し、存在は闇夜にただ蠢く。やがて其れは伝聞をもって信仰と化し、伝承は災いと恵みに命を吹き込んだ》。強大な力を無償で扱えるなどと言う都合の良い話は決してなく、辿るのは彼女たちと同じ未来か、それ以上の地獄だろう。生まれ落ちた時から私が知っていたこの世の摂理だった。《力は災いと呼ばれ、神と呼ばれ、妖怪と呼ばれ、あるいは後の世で──精霊と呼ぶ》。冷静に思い出してみれば私のこの命は高嶋さんに捧げたモノ。そうであるから、私は本来恐怖に恐れる必要はなく、高嶋さんに謝罪をするだけの存在であったはず。私にとってそれは十二分の罰となるのだから。《生を喪いし数多の亡者よ、郡千景なる人の身に、大いなる力をもって我と一つにならん。其は──！》。今、契約は成る。……身に余る強大な力が溢れ出すのを感じる。私の底の底から湧き上がるのは、高嶋さんたちが振るう神聖なる力とは真逆の、純粋な暴力と呼ばれる力。……地面に潜っていたバーテックスが再三の浮上を果たす。私はすでに真正面から化け物を見据えていた。──この強大な力に名前を付けるとしたら、そう──。"切り札"。切り札開放のため、私はただ一度だけ叫んだ。《其は、神言の結び。其である我の名は──》。七人御先《しちにんみさき》っ！！。はあァッ！！。斬撃音は"一"。同時に、化け物の身体に"七斬"が奔る。それなりの距離があるはずなのに、三ノ輪さんの息を呑む音が聞こえたような気がした。白いバーテックスはすぐさま身を隠そうと地中に潜り込もうとするが、"私の一人"がまた一刀。"もう二人"が挟撃。"更なるもう一人"が奴の尾の一つを刈り取っていく。そして、"私"と"隣のもう一人"が先ほどの三斬の付けた傷跡に刃を重ねていく。ハァッ！！。一の斬撃が効かないのなら二の斬撃。二の斬撃で傷つかないのなら三の斬撃。それでも及ばないのであれば──。奴の顔と思われる場所の左、そこに総勢七の大鎌で斬り込みをかける。化け物には僅かな傷しかつかない。けれども、かすり傷であっても同じ場所に傷を重ねていけばいずれ重症と化す。精密に、冷静に、同じ箇所へ刃を振るい続ける。──私はただそれだけを繰り返した。時間にして数秒足らず、化け物はその顔の左三分の一を地表に落とし、ようやく地面の中に消えていった。──私はようやく一息吐き。……まだまだ塵殺には遠く届かないわね。自身の述べた大言を思い出し一度だけ苦笑した。バーテックスが完全に地面に隠れてしまったところで、三ノ輪さんの絶叫に似た声が響いていた。──そう、今の私は七人。その手数でバーテックスにようやく傷を負わせたのである。切り札名である七人御先とは、災いを呼ぶ集団亡霊を具現化した精霊のこと。その伝承、由来から使役者の姿を七人に増加させる異能を持つ。増殖した七は全てが幻影であり実像。ゆえに、七から放たれる攻撃は全て凶刃であり、七の幻影が滅ぼされない限り私を仕留めることは決して叶わない。まさに切り札と呼ばれるに相応しい性能。ゲーム的に言えば、低い身体性能を特殊能力と手数で補い、強キャラへと上り詰めているタイプだろうか。……でも、問題は想像以上に体力の消耗が激しいことね。……私はあとどれくらい、持つの……？。自問の答えがどうであろうと、ここで休んでいるわけにはいかない。呆けている間にも火球は絶え間なく襲い掛かってきており、不覚にも七のうちの一体を今しがた消し炭にされたところだった。残機は残り六。……我ながら考え方が実にゲーム的で、何だか笑えてくるわ。……はぁ、はぁ……！。奥歯を噛みしめ、自身の様々を誤魔化しながら私は再び駆けて行く。三ノ輪さんへの火球を防ぎ、かつ地中のバーテックスを抑えるためにこの場へ二人残し、四の私はひたすらに突き進む。やがて、私たちは大鎌の射程範囲に合体バーテックスを捉えた。くっ！。硬触が奔る。折角接近出来たと言うのに、先ほどのバーテックスと強度が違い過ぎる！これではかすり傷一つ負わせることができない……！。DEFが高すぎる敵であっても一ダメージくらい入っても良いでしょうに！これでは単なるクソゲーじゃない！。心中で愚痴りながらも斬撃は止ませない。多少の成果はあったのか、火球のほとんどがこちらを向く。……ちっ！。一気に二人持っていかれた……！遠方からもう一人をこちらへ向かわせるが、ぐっ！？──集中力が欠けてきている！こっちもやられた！。自分のことながら持久力のなさに苛立ちしか覚えない。次いで、攻撃精度すら落ちていき、大鎌の一つが至近距離からの火球に呑まれた。……ここが、私の限界、だとでも言うの……！？。さらに悪いことに後方の私が地中に潜っていたバーテックスから攻撃を受けていた。最早回避すら怪しい状況まで衰弱しているらしく、あちらの私から肉片が散る。……まさに万事休す──。それでも。それでも！。私が作った一分にも足りるかどうかの時間は──。確かな希望へと繋いでいた。樹海の地面は力と共に光をもたらし、その根は勇者へと繋がる。そして、それは彼女たちの開花の奇跡を起こす。私の最高速以上の速度で風先輩がこちらに近づいてくる。そして、技術も何もない単なる体当たりが合体バーテックスに見事に決まった。単純ゆえに、その威力は絶大で、あれだけの巨体が大きく傾く！
風,これなら行ける！──って！？何で千景が二人居るのよぉ！？
千景,……あっちにももう一人居るわよ。それはともかく、……後は、頼んだわよ
風,何だかよく分からないけど……ええ！任せておきなさい！！
千景,……そう、するわ……私は、疲れたから……少し、休んで……
夏凜,千景っ！！
風,夏凜！？ナイスキャッチ！
千景,……不覚、ね……まさか、三好、夏凜に……抱き……かかえ、られることに……なる、なんて、ね……。……でも……あとはもう、……既定路線、かしら……。……東郷さんから、放たれたレーザーは……あの白いバーテックスを爆散……。二撃目で……残った頭部、を……蒸発……。……ははっ……あれだけ私が、苦労……したのに、ね……。……でも……。……これで、もう……安心、ね……
夏凜,千景？！千景っ！駄目よ、眠っちゃ！何かヤバい予感がするのよ！！ねぇ！？
千景,……まった、く……おせっかいな……人、ね……ゆっくり、ねむれ……ない、じゃない……
夏凜,バーテックスの封印を──！で、でも千景！ねぇ、千景ったら！！
千景,……ああ……でも……皆……まんかい、の……ふくさよう……。……ごめん、ね…………
友奈,ぐんちゃんっ！！
千景,…………たか、しま……さん…………
友奈,こ、こんな、に……ボロボロに、なって……
千景,……わたし、がんばった、でしょ……？……ねぇ、たかしま、さん……ほめ、て……
友奈,うん……うんっ！ぐんちゃんは、偉いよ……！よく……頑張ったね！。……
千景,……ああ……。…………たかしまさん、の……手……あたた、かい…………。……。…………。………………。……。ああぁあああぁーっ！！
友奈,わっ！ぐんちゃん！？びっくりしちゃったよ！
千景,あの時のことを思い出して、私はのた打ち回る。何よ……あの如何にも最期って感じの恥ずかしいやり取り！？私史例にないくらい極限の恥ずかしさ！その体現！！これはもう──。私を殺したいんでしょ！！
友奈,何言ってるの！？ぐんちゃん！？
風,お？千景、目を覚ましていたのね？
夏凜,病み上がりだからでしょうけど、まだぐったりしている様子ね。こういう時こそ、にぼしとサプリよ！
美森,皆、確かに今日から面会解禁だけれど、千景ちゃんに負担はかけちゃ駄目よ？
銀,うす！でも千景さん、これだけは言わせてください。アタシを守ってくれてありがとうございました！
千景,続々と勇者部の一同が私の病室に姿を現わす。……そして、何かが変わっていた人も居て……アニメで見た時よりも……堪えた。……樹さん、そのスケッチボードは？。我ながら白々しい……だけれど、ここで訊ねたいのはあまりにも不自然
友奈,あ、ぐんちゃん……樹ちゃんはね、今ちょっとだけ話せなくなっていて……
風,アタシの左目の視力もそうなんだけどさ、お医者様が言うのには疲労が極端に現れてしまっているんだって。一時的だからすぐ治るそうよ
千景,……そう、だったのね。……知っていて何も出来なかった私に、今更かけられる言葉など、何もなかった
夏凜,疲労と言えば千景よ。あんたこそ何ともないの？
千景,バーテックスとの戦いの途中、私は意識を失い、気が付いた時には二日が過ぎていた。極度の体力低下による昏睡の影響で、緩解までさらに二日ほど必要とされ、ようやく今日一般面会が許されていた。まだ多少ダルさはあるけれど、別段体に異常はないわ
友奈,良かった……
美森,でも、病み上がりなんだから無理しては駄目よ、千景ちゃん？
千景,その言葉、そのまま返してあげるわ。あなたもまだ入院しているのでしょう？。一人だけ制服姿と異なる姿から、何も知らないはずの私が指摘しても不自然ではないはずだった
美森,私の場合、以前事故で入院したこともあってか検査が長引いているようなの。でも、今のところ肉体的な外傷は一切ないと、おすみ付きをもらっているわ
千景,肉体的な外傷はね……。その様子では、話していても一番の親友までの範囲にしか耳のことを明かしていないようね。……ゆゆゆの時系列を考えれば当然のことではあるのでしょうけれど
美森,むしろ銀の外傷のほうが酷いくらいで、今日も処方箋を貰うために銀は通院していたのよ
銀,薬って言っても擦り傷の軟膏とかだけで、全然軽症ですけどね！
千景,確かによく見て見れば三ノ輪さんの健康的な柔肌から少しだけ大き目の絆創膏が覗いている。樹海の中に生身で居たことを考えれば、かなりの軽症と言えるのかもしれない。……そう言えば私も裂傷等を負っていたはずだけれど──
銀,それよりもですよ！千景さんのあれって結局何だったんですか！？
千景,……随分と身を乗り出してきたわね……
夏凜,いやいやいや、銀じゃなくても気になるでしょ、あれ
千景,多分、そうなのでしょうね
風,……もしかして、千景本人もよく分かっていないとか？
千景,……ええ、実はそうなのよ。本当はそれなりに理解している。けれど、記憶喪失同様、必要悪の嘘は必要だ。それをついた時、何故だか胸の奥が少しだけ痛んだ
風,やっぱり、か。……実はね、大赦のほうも千景の変身を把握していなかったようなのよ
夏凜,本当の本当にイレギュラーってやつ？
銀,あ、つまりですよ、アタシの変身が神樹様に華麗にスルーされていたわけじゃなかった！ってわけですよね！？
美森,きっとそうよ、銀。五人しか変身できないという前提を神樹様は決して破っていなかったのよ
風,それはそれで、千景のあの勇者姿は何だったのか、って話になるんだけどねぇ……
千景,……私の変身の話なんて面白くも何ともないでしょう。別の話にしない？
銀,いえ！千景さんが七人に増えたところなんてアタシ！メッチャ！心が震えましたもん！
風,……千景が居なかったら、アタシらの誰かが犠牲になっていても不思議じゃなかった。改めて部長として、いえ、アタシ個人としても言わせてもらうわ。──ありがとう、千景
千景,……感謝と慈愛、自責の混ざった少しだけ複雑な風先輩の表情が私に向けられる。それが妙にむず痒くて──。……急に改まったりして、似合わないわよ？
風,あはははっ、やっぱり？
千景,なんて笑って彼女は誤魔化したけれど、気持ちは確かに受け取ってしまっていて……私の胸は高嶋さんに触れた時と同じように、あたたかく、なっていた……。そこでふと、思い出す。ああ、そうそう高嶋さん。そう言えばなのだけれど──。気持ちはやっと落ち着き、私は先ほどから疑問に思っていたことを傍らの彼女に訊ねようとして……周囲が無言になったことに気付く
友奈,……
美森,……千景ちゃん。もしかして、友奈ちゃんに話しかけているの？
夏凜,そのタカシマって言う人、もしかして友奈に似ているとかなんじゃないの？
風,千景の記憶が戻ってきている前兆、だったりして？
千景,……え……？。皆が、何を言っているのか……理解、できなかった。ここに居るのは確かに高嶋さんで、それは確かで間違いないなくて！おかしいのはここに居るこの人たちで！それで……それでっ──！。そ、そうよ！高嶋さん！！皆はあれからどうなったの！？乃木さんは！？土居さんと伊予島さんもいないじゃない！ああ、分かったわ……！きっと乃木さんがまた先走ってあの二人に──！？
友奈,落ち着いて、ぐんちゃん
千景,たか、しま、さん……？。私は彼女に抱きしめられる。何が何だか分からないけれど、彼女の温もりを感じて私は次第に気持ちを整えていく
友奈,私は……結城友奈、だよ。ぐんちゃん、大丈夫？思い出せる？今、何でぐんちゃんがここに居るのか、思い出せる？
千景,……あ……。……そうだ、そうだった。この人は"結城"友奈さん。高嶋さんに似ているけれど、違う人。そして、私のことを心配そうな目で見てくれている人たちは、勇者部の仲間で……私の、友達……だった、はずで……。思い出す。思い出した。いや、違う。散り散りだった思考が元に戻っただけだ。……。……ごめんなさい。少しだけ寝ぼけてしまっていたようね
風,……もう、いきなり変なことを言い出すから焦ったわよ！
銀,あははは、クールな千景さんでも寝ぼけることってあるんですね
千景,ええ……本当に、ね。……思い返してみれば、この時にはもう始まっていた、と言うこと、なのね……。……それは、弟さんが誰よりも三ノ輪さんのことをいつも真正面から見てくれていたからに違いない。"そう言うこと"なのだと今綺麗に理解できた。……そして、これが私に負わされた──代償、なのでしょう、ね……
風,皆ー？グラスは持ったわね？──それじゃー！かんぱーい！！。アタシのおごりよ、ジャンジャン飲みなさーい！
夏凜,ドリングバーでそんな大袈裟な……
銀,見てくださいよ、東郷さん！アタシの、このオリジナル醤油サイダーの出来栄えを！
美森,食べ物や飲み物を粗末にする子は柱にはりつけです
銀,いや！ちゃんと飲みますって！……うん、美味い！
友奈,わぁ！銀ちゃんの美味しそう！私にも飲ませてー
千景,やめておきなさいって、結城さん。あれは人の飲み物じゃないわ
銀,アタシは人ですよ！？
夏凜,え？樹……？そのドリンクって何のジュースなの！？。その紫色のが！？
風,うぅ……何で我が妹は機械からただ注ぐだけでそんな色を生成できるのやら……
千景,最早才能の一種ね……。奇しくも私と東郷さんの退院日は同じ日となり、中一日を空けた今日、随分延期となっていた劇の祝賀会が行われていた
夏凜,風。このからあげ頼むわよ？
風,ひっく！良いわよ～。まったく、ひっく、夏凜は肉食系なんだから～
銀,あの、風先輩？もしかして酔ってます？
風,そう、それよ！
美森,はいはい、風先輩。お水を飲みましょうね
風,アタシは酔ってないんだかねぇー！
銀,いや、あの……ほんとにお酒とか飲んでないんですよね……？
千景,……流石に犬吠埼姉もそんなものは飲まないでしょう？
友奈,お酒は大人になってからだもんね
千景,ええ、あの馬鹿正直な人ならまずありえない話なのだけれどね。出会った頃からひなたを歩く風先輩なのだから、誰かが悲しむような行為は決してしないだろう
友奈,うん。……ぐんちゃん、このヨーグルトパフェとっても美味しいよ！
千景,……結城さん。でも、あなたは味が、その……
友奈,あれ？ぐんちゃんも気付いていたんだ？東郷さんも気付いていたし、私ってそんなに分かりやすいのかな……？
千景,いえ、多分他に気付いている人はいないと思うわ。東郷さんは偏執的なところがあるから別として、私は──
友奈,あははは、今のは東郷さんに聞かせられないかも
千景,……。そう、過去の影響から私も味覚がほとんどなくなっている。無味の時期よりは大分マシになったけれど、味覚がないと言うのは中々に苦痛なのだ。それを私は嫌と言うくらい知っていた。……けれど、それを明かしたところで結城さんが悲しむだけなのは目に見えている。だから──。結城さん、知っている？人の味覚と言うものは大分いい加減で、匂いを感じないと味の区別すらほとんどつかないのよ
友奈,え、そうだったの？
千景,ええ。だからね、こうして十二分に香りを堪能してから、スプーンでここのアイスをすくって、口に運ぶと……
