・一日一ストーリー,全部で九つ
ことり,うん、私もそう思う
希,そうやね
海未,では各自聞きこみをお願いします
穂乃果,………
海未,穂乃果？
穂乃果,ん？何？
海未,どうかしました？
穂乃果,ちょっと考え事してただけ、私も聞き込みいくね
海未,分かりました、気を付けて
穂乃果,あ、希ちゃん…
希,ここで待ってれば誰かが来る、そうカードが告げてたんよ
穂乃果,ねぇ希ちゃん…
希,なに？
穂乃果,…思ったんだけどさ。希ちゃん、朝と全然雰囲気とか違うよね…？。全然元気なかったし体調的にも全然優れてるように見えなかった。それなのに今は何事も無かったかのようにニコニコとしてる。ホントならもっと落ち込むところだよね…？。それってまるで…。絵里ちゃんとにこちゃんがあんな状態になったとたんに希ちゃんが元気になったような感じがして…
希,ふーん……。じゃあもしそうだとしたら…どうする？
穂乃果,希ちゃんが何をしたか…教えてもらうよ！
希,ほぉ…でも穂乃果ちゃんに勝ち目なんてあるんかな？。穂乃果ちゃんも…
穂乃果,！！
希,ワシワシしてあげるよ！！！
穂乃果,っ逃げなきゃ！
希,待てー！
穂乃果,海未ちゃーん！ことりちゃーん！誰かー！！
凛,穂乃果ちゃん！どうしたの？
穂乃果,凛ちゃん逃げて！
希,うひひひ！！
凛,どういう状況？！
穂乃果,いいから！
凛,う、うん！
穂乃果,隠れよう！
凛,う、うん！
希,穂乃果ちゃーん？逃げても明日には会うんだよー？
凛,どうしたの…？あの希ちゃん…。なんか怖いよ…
穂乃果,多分絵里ちゃんとにこちゃんがああなったのは希ちゃんのせいだと思う…
凛,え？！
穂乃果,しーっ…大きな声出すと…
凛,あ、ごめん…
穂乃果,希ちゃんね、朝ものすごい体調悪かったみたいでね…。全然返事も返してくれなかったの…うんうんってただ頷いてそういうだけで…。でも今はあんなにぴんぴんしてる、それに犯人は希ちゃんじゃない？って聞いたら否定しなかった、だとしたらどうするって言われた。図星なんだと思う
希,ハロー♪
穂乃果,っ！？
凛,希ちゃっ…
海未,今のは凛の声…？
真姫,何かあったみたいね、どの辺からかしら？
海未,下の階から聞こえた気がします…
真姫,じゃあ下の階にいきましょう
穂乃果,逃げて！！
海未,え？穂乃果どういうことですか？
希,ふふっ待てー♪
真姫,なにあれ…
穂乃果,遊びとかじゃないからとにかく逃げて！
海未,え、ええ！
真姫,希に何があったの？！
穂乃果,今回の事件の犯人希ちゃんだよ！
真姫,え？！
穂乃果,……っ
海未,穂乃果…？！
穂乃果,凛ちゃんが犠牲になっちゃった…
海未,なっ…
真姫,ってことはまさか凛もあの状態…？
穂乃果,……うん
真姫,…そう
海未,なら私がどうにかします！。希程度なら倒すことも可能でしょう！。さぁ！勝負です！希！
穂乃果,海未ちゃん！
海未,穂乃果は他のみんなと合流して身を守ってください！。後で必ず行きます
穂乃果,っ…う、うん！いこ！真姫ちゃん！
真姫,わ、分かったわ！。ピンチになったら逃げるのよ！
海未,分かってますよ！
希,海未ちゃんかぁ…そういえば海未ちゃんはまだやったことなかったね。それじゃあ行くよ海未ちゃん！
海未,望むところです！
穂乃果,はぁ…はぁ…はぁ…
真姫,どうする？これから
穂乃果,花陽ちゃんとことりちゃんに会わないと…
真姫,そうね、早く行きましょう
穂乃果,！！
真姫,花陽の声…まさかもう…
穂乃果,とにかく声がした方にいこう！
真姫,え、ええ！
希,待ってたよ、二人とも
ことり,………
花陽,……うあ
真姫,っ！！
穂乃果,希ちゃん…どうしてこんなことするの…
希,生きるためやもん、仕方ないやん？
真姫,生きるためって…何して生きるのよ…
希,人の胸を揉む
穂乃果,！
希,ウチ、定期的にワシワシしないと死んじゃうんよ
真姫,は？頭大丈夫？
希,えりちにワシワシ禁止って言われたときは死んでくれって言われてるのかと思った。でもウチやっぱり我慢出来なかったんよ…。今日、えりちとにこっちを屋上でワシワシした。今まで抱えてた苦痛が全部無くなったよ。だからこんなに元気、ほら穂乃果ちゃんの謎は解けたでしょ？
穂乃果,…うん
真姫,はぁ？！こいつの言ってること信じるの？！
希,真姫ちゃんも言ってたやん、人の胸揉むのにどんな理由があるのよって。ワシワシしないと死んじゃうからだよ
真姫,！
希,さてもう答えは言ったからそろそろいいかな？
穂乃果,…何が？
希,もう二人以外は全員ワシワシしちゃった、後は二人だけだよ
真姫,うぇえ？！
希,おやすみ真姫ちゃん
真姫,あんっ…やめっ…あぁ…
希,どう真姫ちゃん？
穂乃果,真姫ちゃん！
真姫,ほの…か…
穂乃果,っ！。離して！！
希,ねぇ穂乃果ちゃん
穂乃果,離して！離してよ！
希,なんで目の前にいる花陽ちゃんやことりちゃんが気絶してるか知ってる？
穂乃果,え……
希,胸揉んだだけで気絶するなんて普通に考えておかしいやん
穂乃果,………
希,答えはね…。気持ち良すぎて気絶してるんよ？？
穂乃果,んあっ！！やめ…
希,ホントは気持ちいいんやない？体が全然抵抗してないよ？
穂乃果,ちが…違うもん！
希,今なら逃げれるよ？逃げないん？
穂乃果,っ……
希,ふふっ穂乃果ちゃん、中々やるやん…
穂乃果,うう…なにこれ…。体が…変……
希,穂乃果ちゃーん、おとなしく出てきた方が後は楽だよー？
穂乃果,どこかに隠れないと…。…部室、部室に行こう。ふぅ…もうみんな……。うあっ…もうっなんなの体が変だよ…！
希,体が変なん？
穂乃果,！！！
希,はろー♪捕まえにきたよ♪
穂乃果,いやっ…こないで…
希,っ！！！
穂乃果,あれ…？
希,そこまで抗うか…穂乃果ちゃん
穂乃果,あ、これって最近噂のキャラメルデザート屋のキャラメル…。！！。もしかして希ちゃんはこれに近づけない…？
希,や、やめ…それをこっちに向けないで…！
穂乃果,よ、よし…出てけ！
希,…っ覚えとき！穂乃果ちゃん！
穂乃果,た、助かったぁ…。……でもやっぱりおかしい。体がまだ疼いてる…。胸が…変だよ……！。も、揉んだらなおるかな…。……全然ダメだ。さっきの希ちゃんくらいなら…。って私は何を考えてるんだ…！
希,呼んだ？
穂乃果,っ！？
希,あのキャラメルさえしまってくれれば揉んであげるよ？。楽にしてあげるよ…？
穂乃果,っ……
希,なーんだ、すぐそこにいないじゃん。無理やりにでもワシワシしてあげようかと思ったのに
穂乃果,来ないで…！
希,くっ…相変わらずキャラメルは……
穂乃果,うっ…
希,ふふっどう？揉んでほしいでしょ？
穂乃果,そんなわけっ…！
希,ほらー体が誘ってるよー？さっきの気持ちよかったでしょ？
穂乃果,全然だよ！
希,まだ強がるんかー…
穂乃果,んんっ…早く行ってよ希ちゃん…！。体がムズムズする…
希,隙あり！
穂乃果,しまっ…
希,はーやっと捕まえたよ穂乃果ちゃん♪
穂乃果,離せ！
希,おっとっとそんな暴れないでって
穂乃果,～～～～～っ！
希,気持ちいい？
穂乃果,ぜ、全然！
希,今なら逃げれるよ？
穂乃果,………っ
希,あれ？逃げないん？
穂乃果,やだっ…違う…違う！
希,ふふふ…なーに穂乃果ちゃん？言いたいこと、他にあるんやない？
穂乃果,…ない！ない…よ！
希,なにかな穂乃果ちゃん
穂乃果,うあああ…気持ちい…っ！
希,…堕ちていいんだよ？穂乃果ちゃん
穂乃果,っ…もっと…ほしい…。もっともっと……。んんっ…もっと……
希,ふふっなーに？穂乃果ちゃん
穂乃果,もっと…揉んでぇ…！
希,ふふ、うん分かった♪。ワシワシってのはな、獲物が逃げないように快感を与えるんよ。そうすると誰も逃げなくなる、逃げられるのにね？。痛っ！この本は…。あの百合のぉ…。…っ！？頭が…。うっ…痛い…。……あれ？ウチ何してたんだっけ。確かワシワシするの我慢してて…にこっちとえりちに話しかけられて…。何したんやっけ…
穂乃果,希ちゃん
希,ん？って、穂乃果ちゃん？！どどど、どうしたん？。やば…ワシワシの話聞かれてたかな…
穂乃果,早く揉んで？
希,はい？
穂乃果,早くワシワシしてよ…待ってるのに…
希,はい？！穂乃果ちゃんどうしたん？！
穂乃果,早く気持ちよくさせてよ…
希,いやいや！ダメやってそういうのは！
穂乃果,なんで…？希ちゃんワシワシしてるじゃん…
希,そ、それは…仕方ないやん！生きるためやもん！
穂乃果,だから生きるためにしてよ…ワシワシ
希,最低限やってればいいんよー！！！
穂乃果,待ってー！ワシワシしてよー！
希,何が起こってるん？！？！
絵里,希！
希,あ、えりち！穂乃果ちゃんなんとかしてや！
絵里,希…またやって…？
希,…何を？
絵里,何をってもう…ワシワシにきま
希,言わんでいいわー！！
絵里,希待ってー！
凛,あ、希ちゃん！
希,凛ちゃん助けてや…
凛,うん！ワシワシしてくれたらたすけ
希,なんでもないー！！
海未,いましたよ！希！
希,っ！
海未,さぁ！かかってきてください！ワシワシアタックで！
希,遠慮しとくー！
にこ,のぞ
希,にこっち後でー！
ことり,捕まえました♪
花陽,わぁやったねことりちゃん♪
希,げっ…やばっ…
ことり,さて…希ちゃん続きして？
穂乃果,あ、ナイスだよことりちゃん！
絵里,希！またやって！
凛,次凛やってね！
海未,再戦ですね！
にこ,希、仕方ないから揉んでいいわよ？
真姫,あ、いたわ！生きるために私をワシワシしなさいって！
穂乃果,さぁ希ちゃん…続き、しよ？
希,ゆ…ゆゆ…るりっ…。百合はあかーん！！！
理事長,血が吸えない吸血鬼…みたいな存在なのかもしれません。吸血鬼は獲物が逃げないように血を吸うとき相手に快感を与える、という話があるそうです。そうすると自分から血を吸うことを強要せずとも相手から求めてきます。吸血鬼は血が吸えて相手は快感を味わえてまた快感が味わいたくなって吸血鬼のところへ…なんていうサイクルですね。しかし彼女は血が吸えない吸血鬼のような存在でした、仕方なくという気持ちから行ってただけ。相手から求めてきちゃ…やりづらいですよね？彼女は致命的に百合が苦手ですしね。また吸血鬼というのは血が吸えなくなると理性を失って誰でもいいから無理やり血を吸おうとする、というのを聞いたことがあります。彼女がこの後どうなったかは想像次第ですね。しかしよく考えましたよね、そんな吸血鬼なんてものを。まさに鬼才、吸血鬼なだけに…。むかーしむかし人々は一つの個性を見つけました。色、です。人というのは実に空っぽなモノです。でも時間が経つたび、何かがあるたび、言葉に出すたびその人には“色”が付きます。イメージカラー…なんて言いますよね？。その色は個性になります。最初は誰もが空っぽなんです、そして時間が経てば絶対に色が付くでしょう。でも…そんな掟がない世界がありました。酷く理不尽なこんな世界が…
凛,はっ？！。…嫌な夢。今日は……。あ、そっか高校の入学式だね。……頑張っていかないと。………。………。………。っ……。ご、ごめん！。はぁ…はぁ…。……はぁ。！。あ、はい…なんですか？
花陽,だ、大丈夫ですか…？さっきぶつかって…
凛,大丈夫です、凛…私もう行きますね
花陽,あ、待って！
凛,…なんですか？
花陽,さっき何かに逃げてたのってもしかして…。目の瞳に色が無いから…ですか？
凛,っ…
花陽,待って！私は別に何も言わないよ！
凛,！
花陽,私は何も言わないよ、私もあなたと同じだから…
凛,同じってまさか…
花陽,うん！私は瞳に色がない人！
凛,…そっか
花陽,あれ？なんか思ってた反応と違ったな…えへへ
凛,………。凛ね、分からないんだ
花陽,分からない？何が？
凛,色が分からないんだ、白と黒しか見えないんだ。だからあなたが真っ黒の瞳だろうと何色の瞳だろうと凛にとっては何も…
花陽,…ホントに見えないんだ
凛,え？
花陽,私、今カラーコンタクトってもので瞳の色を誤魔化してるんだ。…それも確認できないってことはホントに見えてないんだね
凛,…うん
花陽,でもね！私嬉しいんだ！。やっと気持ちを分かち合える人に出会えて！
凛,そんな不本意な…
花陽,私は小泉花陽って言います！あなたは？
凛,星空凛…
花陽,そっか！よろしくね凛ちゃん！
凛,うん、よろし
花陽,あ、私の事はかよちんって読んでね！
凛,…く、かよちん
花陽,うん！。あ、私たち同じクラスだね！
凛,う、うん…。どうしてそんな凛に優しくするの？分かち合えるって言ってもそんなに…
花陽,私はただ凛ちゃんと友達になりたいって思っただけだよ、学校生活あんなんじゃつまらないでしょ？。私がなんとかして見せます！
凛,そ、そんないいよ…悪いし…
花陽,いいの！私だってまだ友達少ないしやれることだって少ないから。一緒にやってこ？
凛,…！。……分かった
花陽,わああ…！。ありがとう！一緒に頑張ろうね凛ちゃん！
凛,う、うん！
花陽,こんにちは！
凛,こ、こんにちは…
花陽,今日は凛ちゃんに私のお友達を紹介したいんだ！
凛,う、うん…？
花陽,はい、きてきて！。私のお友達！可愛いでしょ！。自己紹介
真姫,…西木野真姫、まぁよろしく
凛,あ、星空凛です…よろしくお願いします
真姫,いい名前ね
凛,あ、ありがとう…。……何も思わないの？
真姫,何が？
凛,凛…瞳真っ黒だよ？
真姫,あぁ別に気にしてないわよ、大丈夫差別なんてしないから
凛,う、うん…
花陽,ふふっ
凛,！
花陽,やっぱ差別はダメだよね！。真姫ちゃんみたいな人がいてよかったよ～
真姫,うぇえ…抱き着かないで！
凛,………
花陽,あ、ごめんね。みんな同じクラスだから何か困ったらとりあえず相談してね？
凛,うん…
真姫,え、ええ…。………
凛,！
花陽,凛ちゃん
凛,！
花陽,あそこ
凛,ん…？。あの人が何…？
花陽,あの子はねここでは…というか世界でもかなり有名な子なんだ。今こんなに騒がしいのは凛ちゃんのことじゃなくてあの子のこと
凛,どういうこと…？
花陽,瞳がねダイヤモンドのようにキラキラしててその中でも透き通った青色…スカイブルーかな？そんな色でとっても綺麗って言われてるんだ。年に一回、誰の瞳が一番綺麗か…なんていうコンテストがあるんだけど去年そこで大賞を取ってるんだ
真姫,…皮肉なものよね、スタイルでもない頭の良さでもない産まれた時に引いたカードだけであんなにちやほやされて。私たちは何を引いたんでしょうね、大富豪でいう４か５くらいかしら
花陽,じゃああの子はジョーカー？それとも２？
真姫,さぁ？どっちも引いたってパターンが合ってるんじゃない？
凛,………。…え？凛？
穂乃果,初めまして！私は高坂穂乃果！。とっても珍しい瞳の子がいたから話しかけてみたくなって！
凛,え…あ、はい…
花陽,………
真姫,………
穂乃果,真っ黒な瞳、吸い込まれそうで魅力的だね！。黒って無色とか言われてるけど私はそうは思わないな！黒もちゃんとした色、そうでしょ？。あはは、ごめんなんか重い空気になっちゃったね…
凛,い、いえ…
穂乃果,とにかく私は別にあなた…あ、凛ちゃんだっけ？
凛,は、はい…
穂乃果,凛ちゃんのこと、変に見てないからね！いじめられたら私に相談するんだよ？。私は凛ちゃんの味方だから！
凛,は、はい…
真姫,ふんっ良いわよね、ああいう立場の人は
花陽,あはは…それ私も思っちゃったかも
凛,………
花陽,あの人はね自我を貫くことでも有名なんだ。回りに影響されない、自分の思ったことをやる、それがあの人のモットーなんだと思う
真姫,さっきのは正直味方なんだか敵なんだか分からなかったわ、あの立場で言われても煽りとしかとらえられないもの
凛,うん…凛もバカにされてるんだって思ってた。でも…ちょっとだけなら信じてみてもいいかな…って
真姫,…まぁ凛がそういうなら…
凛,………。…？！
花陽,凛ちゃんどうしたの？
凛,瞳…なにそれ…
花陽,え？
凛,…見たことない色がついてる
花陽,え…もしかして色が分かるようになったの？
凛,いや…瞳だけ色が…
花陽,…何色？
凛,…ごめん今まで白と黒しか見たことないから何の色か分からない
花陽,そっか！じゃあ真姫ちゃんに聞きに行こう！
凛,…うん！
花陽,おーい！真姫ちゃん！
真姫,ん？どうしたの
凛,！！
真姫,凛…？目を丸くしてどうしたの？
凛,真姫ちゃんにもある…。色が
真姫,色？
凛,瞳の色、瞳にだけ色がついてる
花陽,真姫ちゃんの瞳は紫だね！
凛,紫色…ブドウと同じ色なんだっけ
真姫,そうよ、紫色
凛,…綺麗だね、すごく綺麗
真姫,そ、そう…ありがとう…
花陽,あ、それで私の瞳の色なんだけど…何色に見える？
真姫,黄色…じゃないかしら
花陽,だって、凛ちゃん
凛,黄色…星と一緒の色だっけ？
花陽,うん！お星様と同じ色だよ
凛,そっか…かよちんの瞳もとっても綺麗だね…
花陽,…どうして見えるようになったんだろうね？
凛,あまりよく…。あっ……
真姫,どうしたの？
凛,あの人たちにも瞳に色がついてる…。………
花陽,あれはこの学校の生徒会長と副生徒会長さんだね。副生徒会長はグリーンタイガーアイって呼ばれてて輝く緑に薄く黒い色が調和してて珍しくどこか不思議な瞳として結構有名なんだ。生徒会長は瞳も綺麗だけどそれ以上にスタイルとか人柄の良さの方に注目が集まってる感じかな、とっても優しくてこれ以上の生徒会長はいないほどなんだって
真姫,へぇ～…
凛,あの二人の瞳は何色なの？
花陽,副生徒会長の方はさっき言ったけど緑、生徒会長は青かな、副生徒会長の緑は普通の緑とちょっと違うけど…
凛,緑と青…か。………。他に瞳に色がついてる人はいないね…
真姫,色が付いてる人といない人がいるの？
凛,うん…二人とあの人たちにはついてたけど他の人は特に…
花陽,どうして私たちだけは見えるんだろう？
真姫,私にはよく…
凛,………。！
花陽,あ、すいません…悪気は無いんですよ？
希,あ、ウチは東條希！副生徒会長やで
凛,星空凛…です
希,別にそんなにかしこまらなくてもいいんよ？先輩とか後輩とかウチは別に気にしてないし
凛,い、いえ…
真姫,そういえばさっき瞳にことでって言ってたけど…
希,うん！真っ黒な瞳でウチを見つめる子がいてすぐにウチのこと見てるって分かっちゃった
凛,………
希,あ、別に貶してるわけやないんよ？ただ気付いた理由を…
凛,あ、いえ分かってます…
希,ふーむ……
凛,な、なんでしょう…
希,…なるほど
凛,？
希,よしっ！ここはひとつ、凛ちゃんの運勢を占ったげよう！
真姫,それは？
希,タロットカード！ウチの相棒や！。むむむ…はーっ！
真姫,…声って必要なの？
希,気合っていうもんや。さて、カードは…ん？…
花陽,トランプ…？
真姫,スペードの３ね
希,…ってこれタロットカードじゃなくてトランプやん！
真姫,ふっ…
希,あー！今笑ったやろ！
真姫,だってあんな格好つけといてそれはないでしょ
希,仕方ないやん！なんでトランプもってきてるねん！
真姫,それはこっちのセリフよ…
凛,ふふふ…
希,あ、やっと笑えたね
凛,え？
希,ずっと無表情、或いはなんか悲しそうな顔してたやん。憧れてるんやろ？瞳に色がある人たちに
凛,………
希,ならまずは根本的に色のある人間にならないと！。よく笑う、よく怒る、よく泣く、もちろん無理に笑う必要もないし怒る必要もない。でも笑える時は笑った方がええで？。ウチの瞳は少し特殊だけどこの瞳に自信が持てる。凛ちゃんがその瞳に満足してるならそこまでって感じの話やね
凛,満足なんか…
希,せやろ？はい
凛,トランプの…
希,スペードの３は大富豪で一番強いジョーカー対抗カードや、それ以外は何でもないけど存在意義があるなら充分に輝ける。…あとは自分で考えること
凛,…分かりました
希,あ、ウチこの後用事あるからもういくね！。また今度！
凛,また今度
真姫,すごい人ね…
花陽,全部見透かしてるような人だったね…
凛,………
花陽,桜…綺麗だね
凛,…ごめん、その気持ち全然分からないや
花陽,そっか…
凛,桜って何色なの？
花陽,ピンク色だよ
凛,ピンク色？
花陽,うーん…可愛い色！
凛,可愛い色…？
花陽,あはは…もうピンクの瞳の人に会ってみるしか分からないね…
凛,そっか…。………。…あっ
花陽,ん？あの子を見つめてどうしたの？
凛,あの人の瞳にも色がある…
花陽,あぁあの子の瞳が見えるんだ
凛,何かあるの？
花陽,あの子の瞳は赤色、それは普通の赤とは違って真っ赤でね。宝石のように光に反射してまさにガーネットって呼ばれてるんだ。あ、ガーネットっていうのは誕生石のことだよ、一月の
凛,う、うん…
花陽,アイドル志望らしくてね、あの瞳もあって将来有望って言われてるんだ
凛,そっか…。…すごいね、あの瞳
花陽,すごいね、引き込まれそうだもん。輝いてるだけじゃない、引き寄せられる瞳だね
凛,！
花陽,どうしたの？
凛,あの人たちも瞳に色が…
花陽,あぁ、あれはオレンジ色だね。二人とも同じ色でしょ？
凛,うん…
花陽,あの二人の瞳は全てが同じ色で構成されててね、まさに運命の人、前世でも一緒だった人なんて言われてロマンチックな人たちなんだ。…すごいよね、瞳って。私たちの瞳自身が宝石みたいになってるじゃん。…でもね、だからこそ瞳がない人には厳しい世界なんだよね
凛,………。…なんで凛だけ。なんで凛だけ…色が無いんだろう…
花陽,………
凛,………
花陽,り、凛ちゃん…。あ、待ってよ凛ちゃん！。待って凛ちゃんどこ行くの！
凛,ほっといて！
花陽,凛ちゃん！。止まって！
凛,うるさいうるさい！。カラーコンタクトなんて甘えてるから凛の気持ちも分からないんだよ！。カラーコンタクトして瞳がある人ぶってなんとかしてあげるとか凛の世話焼き人みたいな立場して鬱陶しいんだよ！！！。ただ凛の昂る感情を抑えようと頑張ってるのが見え見えなの！！！。それでも凛を慰めてきて逆に凛が惨めなんだよ！！
花陽,……分かった。今までごめんね、分からなかったよ。でもね、そういわれてもまだ私を信じてほしいって思ってる。もし…まだ私を信じてくれるなら私の手、取ってくれないかな？
凛,……いよ
花陽,………
凛,その優しさが凛を惨めにするの！！！。あっちいけ！！！
花陽,…うん、分かった。ごめんね、今まで傷付けて
凛,おえっ…ひっ……
花陽,辛いでしょ？独りって
凛,かよ…ちん…？
花陽,凛ちゃんが私のこと嫌いでも私は凛ちゃんのこと、好きだよ？。凛ちゃんがどんなに私を嫌っても私はそれでも凛ちゃんを救いたいな。世界で悲しんでる人を私は救いたい、でもそういうことだけじゃなくて私は凛ちゃんを救いたい！。ここまで言う私の事、それでも信じてくれないかな？。それでも信じてくれなかったら私は諦めるよ、凛ちゃんのこと。一緒に行こうよ
凛,うぅ…うぇええええええええええん！！！
花陽,ぴゃあ？！
凛,ごめんねかよぢいいいいん…
花陽,ううん、気にしないで
凛,……凛ねどうすることもできないんだ
花陽,…何が？
凛,瞳。何かをしたって何も変わらない、でもその変わらない現状にイライラしてて。でも変わらないものは変わらない、だからさ何もしなくていいんだって。何もしないことが一番楽で一番辛いことなんだって
花陽,………。凛ちゃん、私凛ちゃんに一つ嘘をついてたことがあるの
凛,嘘…？
花陽,私は凛ちゃんと一緒って言ったでしょ？実は私にも色、あるんだ
凛,………
花陽,…瞳の色、違うでしょ？
凛,眩しい…
花陽,あはは…ごめんね、そういう瞳なんだ私は。私の瞳の色はピンク色、桜の色と同じなんだ
凛,うっ……
花陽,そして片方は黄色の瞳。オッドアイって知ってる？。片目片目で瞳の色が違うんだ
凛,！
花陽,何もできない、どうにもできないって言ったでしょ？。違うよ。困ったことがあったら私に相談してって言ったじゃん。凛ちゃんの思い、すごく分かった。恥ずかしながら私の瞳ってね輝きを放ちすぎて逆に汚いの。この片目のピンクが厄介な存在でね…。だからカラーコンタクトっていう代用品を使った方がまだ綺麗でね。…あげるよ、瞳。カラーコンタクトじゃない、本物の瞳。あなたに私の片目をあげる
凛,まっ…どこ？！。！。温かい…。…っ。真姫ちゃん！
真姫,あれどうしたの凛
凛,かよちん知らない？
真姫,かよちん？誰それ
凛,かよちんは花陽ちゃんだよ！知ってるでしょ？
真姫,知らないわよ
凛,えっ…。！。ない…
真姫,何がないのよ
凛,かよちんの机が無い…。ごめん、また後で
真姫,あ、ちょっと！。…かよちんって誰の事かしら
凛,…どこ行ったんだろ、かよちん。一人にしないでよ…。………。うぅ……
真姫,凛…どうしたのよそんなに泣いて…
凛,真姫ちゃん…
真姫,うぇえ？！ど、どうしたのよ？！
凛,かよちんがあああぁ…。かよちんが消えちゃったよぉ…。……あれ？
真姫,今度はどうしたのよ…。！！！。ねぇ凛…
凛,ねぇ真姫ちゃん
真姫,………
凛,………。先、いい？
真姫,いいわよ
凛,色…見えるようになってる…
真姫,！ホントに？！
凛,…うん、真姫ちゃん綺麗だね美人さん
真姫,ほ、褒めても何も出ないからね！
凛,ふふっ分かってるよ
真姫,じゃあ次に私ね
凛,うん…
真姫,瞳、色ついてるわよ？
凛,…えっ
真姫,穂乃果って人や希って人によく似た瞳。光によく反射する瞳ね。色は黄色…かしら？
凛,黄色…。！。そういうことか…
真姫,え？どういうことよ？
希,どうやら理解したようやね
凛,あ、希さん…
希,んー…さん付けはいつになっても慣れないな～ちゃんでいいのに…。んまぁそれは置いといて花陽ちゃんに会ったんやろ？
凛,！。希ちゃんはかよちんの事知ってるの？！
真姫,花陽…凛がいってた…
希,うん！ものすごいお世話になった人やからね～…
凛,お世話…？
希,花陽ちゃんっていうのはね瞳に色が無い人を助ける神様みたいなものなんよ。実はウチも二年前は瞳に色が無かったんよ？
真姫,えっ…
希,そんなとき、花陽ちゃんと会って凛ちゃんと同じように色をもらってどこかへ消えちゃった。それでもらったのがこの緑と黒の瞳。みんなからとっても綺麗って言われた、ははは…瞳が違うだけでここまで扱いも違うのはなんだか納得いかなかったな…
凛,…分かるかも
希,この前、凛ちゃんがあの黒い瞳でウチを見てる時はすぐにわかったよ、花陽ちゃんが近くにいるんだなって
凛,え…？見えなかったの？
希,ううん、多分見えてたと思う。でもウチらが見えてたのは花陽ちゃんじゃない別人物だったと思うよ
凛,そっか…
穂乃果,…今年はやっぱりあなたなんだ
真姫,あ、あなたは…
穂乃果,えへへ…お久しぶりです
希,おひさ～
凛,今年はって…
穂乃果,去年花陽ちゃんとあったのは私なんだ。そしてもらったのがこのダイヤモンドのような輝きを放つ青い瞳
真姫,ってことはあなたももしかして…
穂乃果,うん！真っ黒な瞳だったよ。私ね、ホントは真っ黒の瞳の差別をなくしたいんだ、でも誰も聞いてくれなくてね…
凛,そういえばあの時…
穂乃果,そうそう、誰も返事してくれないんだもん！酷いよ～…
希,まぁそういうことなんやろうね、世界って
穂乃果,あはは…そうだね
希,それで穂乃果ちゃんと出会ってずっと待ってたんよ
凛,…？
希,花陽ちゃんの全ても兼ねてどういう子に色が付くのかを待ってたんよ
穂乃果,とっても綺麗な色だね、トパーズみたいな輝き
希,そしてまたウチらと同じような宝石のような瞳。今凛ちゃんの瞳を見て思ったんよ、やっぱりウチらの瞳は花陽ちゃんの命なんだって
凛,命…？
希,うん！だからウチらはこの瞳で大きく胸張っていける！。全部花陽ちゃんのおかげ！
凛,………。！！。………。…ありがと
希,うん！感謝は大事やで～
穂乃果,私も花陽ちゃんに会いたいな～
真姫,私蚊帳の外なんだけど…
希,ごめんな～花陽ちゃんが消えちゃうとみんな花陽ちゃんのこと忘れちゃうんよ～
真姫,そ、そう…
希,凛ちゃんと言えば～？
凛,…え？
希,ほらほら凛ちゃんと言えば～？
凛,え、え…えっ…
穂乃果,イエローだよおおおおお！！
凛,…？
希,もぉ～ノリ悪いな～凛ちゃんの瞳は黄色なんだからそこは黄色だよかイエローだよでしょ～
真姫,いやそのノリは私でもついていけないわ…
希,どうした新人～
凛,う、うん……
希,もう一回いくよ～？。凛ちゃんと言えば～？
凛,…また会おうね
理事長,イエローだよおおおおおおお！！！。産まれた瞬間手札が弱いカードじゃ生きてはいけません。それもそのカードだけで世界が決まるとしたらもう終わりでしょう。そんな世界だったのです、瞳で世界が決まる。ふーむむむ…ここだ！。あら～…なんとも反応に困るカードひきましたね…。類似革命カード、効果は一ターンだけ革命と同じ状況を作る、というものでしたね。どのカードにも強みはあります、その強みをどう活かすのかが重要なのです。私の強みは色気…でしょうか？。どう…私と一緒に遊ばない？
ことり,………
理事長,あ、ことり？！
ことり,お母さん…
理事長,いや違うの！違うのよ！
ことり,そう……
理事長,やめて！その無関心な反応！
ことり,そーだね……
理事長,興味すら持たないのやめて！。誤解なのよおおおおお！！。絵は描く人の性格や心情などを表すとされています。綺麗な色なら明るい性格、とても残酷の絵だから機嫌が悪い、と普段の色使い、今描いた絵の内容などで決まります。でも性格や心情が反映されるのは絵だけではありません。こういうモノも反映されるんですよ？
ことり,……よしっ終わった！。んー！長かったな～。今日は荒らしの人もあんまりいなくて助かった…いたらやる気無くなっちゃうし…。明日、コメントが楽しみだな～…。頑張って書いたんだから色んな人に見てほしいな♪。さて、今日は寝て明日にいこう！。明日の練習も頑張らないと！。おやすみ穂乃果ちゃあああん！
HJNN穂乃果,
ことり,おはよっ♪穂乃果ちゃん、海未ちゃん♪
穂乃果,おはよー！
海未,おはようございます。穂乃果、今日テストですけど勉強してきましたか？
穂乃果,えっ…
海未,穂乃果…？
穂乃果,仕方ないじゃん！面白い小説読んでたんだから！
海未,小説って…そんなの読んでる暇あるなら勉強してください！。…ん？小説ってまさか穂乃果小説読んでるんですか？！
穂乃果,あ、小説とはいってもネットにあるやつだよ、誰かが書いた小説を読んでるの、小説本買うお金は今ありません…
海未,なるほど…穂乃果も見てたのですね
ことり,ん？海未ちゃんも読んでるの？
海未,え？あぁはい、作詞で行き詰まった時に見てますよ、何かいい案が思い浮かぶかも知れませんので
ことり,そ、そっか
