喜多見柚,とやっ。と、っとっと
穂乃香,テレビでよく見ます。とても参考になるので、つい録画して何度も見返しちゃって
加蓮,さ、参考に？え、あの、ちょっと失礼だけど柚と穂乃香さんじゃタイプが真逆じゃないかな……？
穂乃香,いえ。場を盛り上げる方法は、柚ちゃんが私の先生です
加蓮,先生！？
穂乃香,私、よく現場で真面目過ぎるって言われるんです。フリＰさ……プロデューサーさんからも、もっと楽しんでいいって。もっとアイドルらしく、楽しさを伝えられればって。だから柚ちゃんは、私にとって先生……
加蓮,そ、そう……
穂乃香,あ……すみません。ちょっとしゃべりすぎちゃいましたね。今日は、あくまで打ち合わせ……
加蓮,そ、そだね。じゃあ仕切り直しで……って言っても、これ柚をそのまま放り込んでもいいっぽいね
穂乃香,そんな。柚ちゃんはネコじゃないんですから
加蓮,……へ？
穂乃香,放り込む、なんて
加蓮,あ……あは、あはは。物の例えよ物の例え。ホントに放り投げる訳ないじゃん
穂乃香,そうだったんですか？よかった
加蓮,……………………。……じゃあ……柚にはいつも通りにって伝えとくね……
穂乃香,はい。私の方こそ、ついていけるように精進しなければ……。よければ本番までに、レッスンの機会を頂けませんか？まだまだ、柚ちゃんに学べることはいっぱいある筈です
加蓮,う、うん。うちの柚にもいい刺激になると思うよ……。じゃあスケジュールの調節を……あ、そっか、次の収録日が未定なんだった……ごめん穂乃香さん。連絡先もらっていい？こっちちょっとスケジュールがつまっちゃって、いいとこ見つけたら連絡するから
穂乃香,はい
加蓮,ん……。よしっと。んー……他に打ち合わせできることは。手帳をパラパラとめくる。……どれもこれも、柚を連れて来て話した方が良さそうなことばかりだ。ちょっと後悔。ステージ衣装……はまだ用意できていないんだっけ。舞台構成……はそっちに任せるって決めてるし、レッスンスタジオの確保はスケジュールが上がってからか。どれも事務所でやった方がよさそうな話だなぁ……。あとは……
穂乃香,…………
加蓮,……？どうかした？
穂乃香,あ、いえ、ごめんなさい
加蓮,……？
穂乃香,ただ……セルフプロデュースをやっていると、どうしても色々な人を見ることになりますから……あなたとなら、良い仕事ができそうだな、と思いまして
加蓮,そ、そう？ありがと……
穂乃香,今日は親睦だけで、と考えていた私が少しだけ恥ずかしい……。もっと用意するべきでした
加蓮,いやぁ……今日もその、事務所を出る前にＰさん……えっと、私の上司からね？準備しすぎだって笑われちゃって。顔合わせなんだからもっと気軽にでいいだろーっ、なんて言われちゃってさっ
穂乃香,ふふっ。ではせっかくですから、もう少し打ち合わせをしましょう。Ｐさ……プロデューサーさんから舞台の構成は任されているんです。あとは、柚ちゃんの動きを合わせれば……
加蓮,だいたいの下地ができる、か。立ち位置が分かってればレッスンもやりやすいね。じゃあちょっと、考えてる構成って教えてくれる？
穂乃香,はい。まだ合わせていないのであくまで仮定ですが……まず入りは――
加蓮,ふんふん――。穂乃香さんから想定していた構成を聞いた。もうそのまま通してもいいくらいに練りこまれていて、正直びっくりした
穂乃香,やっぱり……加蓮ちゃんとなら良い仕事ができそうです！。……あっ、すみません。その、つい感心してしまって……
加蓮,ううん、こっちこそ。まだ柚とレッスンもやってないんでしょ？なのに柚が入った時の想定がこんなにできてるなんて
穂乃香,あくまで想像ですから……やってみたら、上手くできなくなるかも
加蓮,できると思うけどなー。…………。ね、ちょっと聞いてもいい？
穂乃香,……？はい
加蓮,セルフプロデュース、してるんだよね。それってどんな感じ？やっぱり……大変？
穂乃香,どうなんでしょうか……あんまり大変だとは。自分で自分を表現する為に、必要なことだと思っています
加蓮,自分で自分を？
穂乃香,もちろん、プロデューサーさんに委ねるのも悪くはありません。プロデューサーさんからは、いっぱいのものを受け取りました。私みたいな者がアイドルをやれているのは、すべてプロデューサーさんのお陰です。だからこそ、そんなプロデューサーさんの役に立たなければ……そう、思って。それにアイドルとして、自力でどこまで表現できるか試してみたいんです。セルフプロデュースは、その為にやっているんです
加蓮,なるほど……
穂乃香,行けるところまで行く為のことや、やらなければならないことをやる為のことを、大変だと思うことはあまりありません。……でも、周りからはよく、もっと肩の力を抜けって言われてしまいますが
加蓮,それは分かるなぁ
穂乃香,加蓮ちゃんもそう思いますか？実は、柚ちゃんからもよく言われるんです。……ごほんっ
加蓮,？
穂乃香,もっとやわらか～く行こうっ、穂乃香チャン！……どうですか？似ていましたかっ？
加蓮,…………穂乃香さん。モノマネは、真顔でする物じゃないと思う…………
穂乃香,そうですか……私も、まだまだですね
加蓮,……………………い、言い方は、似てた……よ……？
穂乃香,よかった。セルフプロデュースのことなら教えられる範囲で教えます。もしかして柚ちゃんに……？
加蓮,あー……あ、あはは、ちょっと違って。その、アイドル視点とプロデュース視点で考えたら何か見えてくるかなーって、あははっ、そんな感じ！
穂乃香,なるほど……。加蓮ちゃんも勉強家なんですね
加蓮,やめてよっ。努力するのとかそんなに好きじゃないし……
穂乃香,よろしければまた、こうしてお話しませんか？私、あなたから色々と学びたいから……ご迷惑でなければ
加蓮,それはぜんぜんいーけど。じゃあ、また次の打ち合わせの時にでも
穂乃香,はい。あっ、もうこんな時間……。３０分後にレッスンがあるんです。今日は、失礼します
加蓮,あー、ごめんね長々と。また柚も合わせて話しあおっか
穂乃香,はい、また是非。それでは、今日は失礼します
加蓮,……不思議な人。げ。紅茶、冷えてる。…………。…………あれ、もしかして私の分まで会計してくれた……？。…………
柚,加蓮サン加蓮サンっ
加蓮,なにー？今ちょっと書類整理で忙しいんだけど
柚,それ昨日も一昨日も言ってた！しかも加蓮サン、学校帰りに待ち伏せしてても現れないし！
加蓮,昨日と一昨日は休んでたの。仕事が多すぎてちょっと
柚,そなんだ。ちぇーっ。土曜日と日曜日は加蓮サン、スーツしか着てないから見ててつまんないっ。スーツの加蓮サンもいい感じだけどね♪
加蓮,ごめんね……っていうか柚、大人しくしときなさいよ。今日は穂乃香さん達が来るんでしょ？座って待ってなさい
柚,やだ！つまんないもんっ
加蓮,堂々と言うかぁ
柚,あ、それでさ！。へへっ。じゃーん！見て見て。アタシのデフォルメぬいぐるみ！可愛いでしょー可愛いでしょー
加蓮,……それ、どしたの？
柚,えとねー、穂乃香チャンと忍チャンが作ってくれた！手編みなんだって、これ！
加蓮,手編み？すごいね……わっ、細かいところまで作りこまれてる。ホントにすごいな……
柚,すごいよねー。アタシこんなの作れないよ。編み物だって５分で飽きちゃったっ。忍チャンってすごい集中力なんだよ。あっ忍チャンっていうのは一緒のユニットの真面目サン！もうすっごく真面目サン！穂乃香チャンとどっちが真面目サンだろ？。そういえば加蓮サン、穂乃香チャンと会ったんだよねっ。アタシもついていきたかったー
加蓮,私も連れて行けば良かったって思ってたとこ。間が悪かったね
柚,おそろい！
加蓮,はいはい、お揃いお揃い
柚,穂乃香チャンも加蓮サンも真面目だからお似合いだね。あっでも穂乃香チャンは渡さないぞー。そして加蓮サンは穂乃香チャンに渡さない！
加蓮,つまりアンタが独り占めしたいと
柚,へへっ♪今日は一緒にレッスンだけど、明日いつものカフェで編み物の続きやるんだ。アタシは見学っ。大丈夫！レッスンには遅れないから。遅刻したらトレーナーサンに怒鳴られちゃうっ。明日は何のお土産もってこっかなー。マンガにしよっかな。穂乃香チャンあんまり読んだことないって言うから貸してあげるんだ♪。今日はウカツだったなー。来て思い出したんだ。あ！今日は穂乃香チャン達が来る日だ！って。今度からここにもマンガ置いてこっかなー。加蓮サン、いい？
加蓮,…………
柚,むむ。加蓮サン、聞いてる？
加蓮,うん、聞いてるよ。マンガは……ま、程々に置くなら――
柚,仕事しながらは聞いてるって言わないんだー！こっち来てちょっと休憩しようよっ。アタシが来てから加蓮サンずっとパソコンの前に座ってるよ？
加蓮,ん……あとちょっとやったら休憩……。……っ
柚,目がお疲れみたいですな。目薬いる？ささっ、こっちこっち！
加蓮,わ、もう……引っ張らないで
柚,加蓮サンはソファに座るー
加蓮,もうっ……
柚,そして柚がー……えーいっ！
加蓮,ぐぇ
柚,すごい声した！今のどうやったの？くえっ……なんか違うっ
加蓮,ひ、人を潰しておいて言うことはそれだけか……？
柚,あははっ、ごめんなさい加蓮サン♪。それでどこまで話したっけ？えっと、そうそう、その時に忍チャンがアタシになんでだーって突っ込んで！
加蓮,いや、どの時よ。漫画を貸すって話じゃなかったの？
柚,そだっけ？加蓮サン何かオススメある？そんでー、穂乃香チャンと一緒に読む！
加蓮,忍ちゃん、って子とは？
柚,もちろん一緒だよ！みんなで読書会っ。ちょっと頭よさそうに見える？柚、インテリ系？
加蓮,漫画なのに
柚,漫画でも読書！今度、加蓮サンとも一緒に読みたいな♪
加蓮,漫画かー……暇な時にはよく読んでたなぁ
柚,こう、ごろごろしながら読むの楽しいよねっ
加蓮,だねっ
柚,アタシがテーブルにぐてってなってるの見て、忍チャンが呆れて言うんだ。カッコ悪いって！ひどくない？
加蓮,え、また何の話？
柚,編み物してる時っ。飽きて、こう、ぐでーってなったらね。忍チャンがカッコ悪いって言って、アタシがこう、なにおう！って言って！。そっからそっから、穂乃香チャンがあわあわしてるんだけど何も言ってこないんだ♪慌ててる穂乃香チャン、ちょっと可愛かった！
加蓮,可愛い……？
柚,可愛い子だよ～。あと、キラキラってしてる！
加蓮,そうなんだ
柚,あとねあとね！。……あっ。アタシ、ちょっと喋り過ぎ？これじゃ加蓮サンの休憩にならないね
加蓮,え？……ううん。柚の話、聞いてるの楽しいよ
柚,ホント！？
加蓮,私が話さなくて済む、つまり楽ができる
柚,ただの横着だー！？
加蓮,なんてねっ。でも柚、珍しいね。友達の話をガンガン振ってくるのって
柚,そ、そお？うっとーしくない？
加蓮,うん。仕事させろ♪
柚,それは駄目っ。加蓮サンはここで回復するまで柚の話を聞くのだー。あれっ、ってことは回復したらアタシの話を聞いてくれなくなるのカナ？。……ずっと休憩してていいと思うな！
加蓮,あはは、それじゃ仕事にならないでしょ？
柚,アイドルの話を聞くのもプロデューサーのお仕事ーっ
加蓮,そだね。……ね、柚
柚,ン？
加蓮,ううん。楽しそうだね
柚,楽しいよ！アタシはいっつも楽しんでる♪でも、忍チャンと穂乃香チャンといる時は、なんだか今までよりもっと楽しいんだ。へへっ、もしかして運命の相手かな？
加蓮,…………そっか。運命の相手、見つかってよかったね
柚,？加蓮サン？
加蓮,あ、ううん……
柚,……だいじょーぶだいじょーぶ！アタシにとっては加蓮サンも運命の相手だっ♪。アタシの小指にはね、いっぱいの赤い糸が伸びてるの。加蓮サンに繋がってたり、忍チャンに繋がってたり、穂乃香チャンに繋がってたりっ。加蓮サンっ、指出して？
加蓮,ん、こう？
柚,違う違う。小指！
加蓮,はい
柚,アタシの指と、ぴっぴっ。これで加蓮サンの小指にも、赤い糸っ♪
加蓮,…………。……ふふっ
柚,今度、２人にもやろーっと！
加蓮,…………。ちょっとだけ……寂しかったのかも。穂乃香さんと会った時、なんとなく、このユニットは長く続きそうな気がした。柚の話を聞いて、それを確信した。ユニットの話を楽しそうにする、なんて、私には絶対にできないことだから。羨ましくて、ちょっと寂しかった。遠くなった気がした。でも…………ふふっ♪。っと、そろそろ穂乃香さん達が来る時間かな？一応、レッスンスタジオの確認だけ――
柚,あ……。ねえ、加蓮サン。ちょこっとだけ、いい？
加蓮,うん。どうしたの？
柚,え、えとねっ。……笑っちゃ駄目だよ！絶対、笑っちゃ駄目！
加蓮,……？いいけど……
柚,こう言わないと加蓮サン、いっつもアタシのこと笑ってばっかだもん！
加蓮,そ、そんなに笑ってた？……じゃあ、絶対に笑わないから……何？言ってみてよ
柚,そ、その……えとね。ちょこっとだけ……ちょこっとだけ……。ちょこっとだけ……その、なでてっ。アタシのこと！。それからその、柚はいつも頑張ってるって言って！
加蓮,…………そんなこと？
柚,大切なのー！。加蓮サンにそう言ってもらえたら……アタシ、今日のレッスンきっと頑張れるから！
加蓮,…………
柚,ん！
加蓮,…………。……これで、いいの？
柚,えへぇ……あ、あとその、ほら、さ、さっきのっ
加蓮,そうだったね。柚。……柚はいつも、頑張ってるよ
柚,えへへぇ……ほんと？アタシ、頑張れてる？
加蓮,ほんとほんと。柚はいっつも頑張ってる
柚,へへっ♪
加蓮,いつも頑張ってくれてありがとね、柚。……次のオフの日に、ちょっと遊びに行こっか
柚,！ホント！？
加蓮,うん。そうだ。そういえば柚の友達に会うって約束、まだ果たしてないんだっけ
柚,いいの！？やったっ。アタシのクラスでも加蓮サンの話題いっぱい出てるんだ。きっとみんな喜ぶよっ。そだっ。どうせなら学校でLIVEとかやっちゃおう！そうしたらみんな見てく――
加蓮,ごめん、柚。もしやるなら、柚１人だけでね
柚,……そっか。ごめん、アタシちょっと浮かれすぎてたカモ
加蓮,何言ってんの。それくらいが柚でしょ？ブレーキとして私がいるんだから、安心して浮かれるだけ浮かれなさい
柚,加蓮サン、アタシのブレーキ？
加蓮,誰かさんがアクセル全開だからさ。アタシがブレーキにならないと、そのままどっか行っちゃうでしょー？
柚,カモ。あーっ！加蓮サン手が止まってる！もっと柚を撫でるのだ～
加蓮,はいはい
柚,えへへぇ。それからもうひとつのもっ
加蓮,ん。柚は頑張ってるね。偉い偉い……
柚,えへへへ……。！！！
加蓮,へ？
柚,きっと穂乃香チャンと忍チャンだ。は、離れなきゃっ！
加蓮,……？
柚,あれ？。ぎゃーっ！
加蓮,あ、ちょ、ソファ巻き込んで――
柚,うぎゃ！
加蓮,あーあー、オフィスデスクに腕ぶつけちゃってる……。…………
柚,あぷっ、あ、あれっ？起き上がれない！？加蓮サン助けてー！
加蓮,…………。はーい、空いてまーす
柚,ギャー！！ちょ、タンマ！
穂乃香,お、お邪魔します…………柚ちゃん？
加蓮,いらっしゃい、穂乃香さんと……、……もしかして忍さん？
工藤忍,あっ、初めまして！アタシ工藤忍です……いやいやいやそれより！あの、後ろの柚ちゃん、いったい……
加蓮,うん……まあ、事故……？
穂乃香,柚ちゃん、大丈夫？
柚,たーすーけーてー！穂乃香チャン忍チャンへるぷ！へるぷ！
忍,……柚ちゃん。パンツ丸出しで思いっきりひっくり返ってるのは、さすがにどうかと思う……
柚,冷静な解説だめーっ！！ひ、引っ張りあげて！ついでに片付けも手伝って！
忍,図々しいなアンタ！？……もうっ。穂乃香ちゃん、そっち持って。せーので引き上げるよ。せーのっ
穂乃香,えいっ
柚,ぷはーっ。助かったー。アリガト！２人が来てくれなかったらアタシあのままだったかも！
穂乃香,その時はきっと、加蓮ちゃんが助けてくれるよ
柚,ついさっき見捨てられたんだけどー！？
加蓮,あと５分くらいしたら助けるつもりでしたー
柚,すごい嘘っぽい！あと、すぐに助けてくれればいいじゃんっ
加蓮,緊急の電話が入る予感がしたの
柚,嘘つけーっ
忍,…………
穂乃香,あ……柚ちゃん、大丈夫？ああ、すりむいちゃってる。私、バンドエード持ってるから貼ってあげるね
柚,だいじょーぶ！ほっとけば治るっ♪
穂乃香,あっ……もうっ。こんにちは、加蓮ちゃん。未熟者ですが、本日はよろしくお願いします
加蓮,あ、いや、こちらこそ……柚が迷惑をかけます。というか、かけました
忍,うん。かけてたね、さっき
柚,加蓮サンも忍チャンもひどいっ！
加蓮,柚の日頃の行いを知ってるとねー……
忍,そうそう。何かあったらたいてい柚ちゃんの仕業だよね
加蓮,おお、分かってる
忍,意気投合できそう？
柚,そんなっ。それじゃまるでフリルドスクエアの失敗役＝柚って風になっちゃう！
穂乃香,あの……そんなことないから、ね？
柚,ううっ、穂乃香チャ――。！
加蓮,……？
穂乃香,……？？
加蓮,なんか今……柚が穂乃香さんに抱きつこうとして、自分からさっとかわした？。……レッスンまでにはまだ早いけど準備しよっか。更衣室は私が案内するよ。その間に柚。ここ片付けておいてね
柚,アタシ１人で！？
加蓮,うん。柚１人で。もしも、案内が終わるまでに片付いてなかったら……
柚,ギャー！ツノ、ツノ！それ久々に見た！久々だけど見たくなかった！引っ込めて！
加蓮,ふうっ。じゃ案内するね、穂乃香さんに……えーと、忍さん
穂乃香,はい。お願いします、加蓮ちゃん
加蓮,そのまま部屋から出ようとした――その直前
柚,あ！
加蓮,柚がささっと私の側に駆け寄って、耳元へと口を持って行って
柚,小声
加蓮,小声
柚,小声
加蓮,小声
柚,小声
穂乃香,……？
忍,？？？
加蓮,ううん、ごめん、なんでもない。そうだ、２人ともレッスン着は持ってきてる？こっちでも予備はあるから――。ちなみに戻ってきた時、当然の如く片付けが終わっていないどころか冷蔵庫からお菓子を持ってきて頬張り私達の分まで用意してくれていたので、ご要望通りツノを生やしておいた。ギャー！と何度目になるか分からない悲鳴を聞くのは……正直、ちょっぴり楽しかった。…………。…………。ん、いい時間かな……。ちょっと様子見てこよっと。ん～～～！。！。はい、こちらＣＧプロダクション第四アイドル部署――はい、はい……そうですか！分かりました。では打ち合わせの日時を――。はい。はい、◯日の午後ですね。分かりました。楽しみにお待ちしております――はい、では失礼します。……さて、見に行かないとっ
忍,…………
柚,う、う～～～～ん
穂乃香,だからね。この時に右足を……もうちょっと前に出すの。それから、左足はこの位置で……
加蓮,お疲れ、柚。穂乃香さんに忍さんも
柚,あ、加蓮サンだ！
穂乃香,お疲れ様です
加蓮,トレーナーさんは？
穂乃香,先ほど、休憩するようにと指示されてからその間に資料を取ってくると。今は、柚ちゃんにレッスンのことを教えているところです
柚,穂乃香チャンの説明、分かりやすいけど分かりにくい！
加蓮,どっちだ。えーっと、穂乃香さん。見ての通り柚はその……頭より身体で覚えるタイプだから、もしよかったら手本を見せてあげて。って今は休憩中だっけ
穂乃香,はい。休める時には休む。それも、レッスンの基本です
加蓮,うん。…………１人、黙々とやってるのがいるけど
柚,忍チャンはあれでいいの！
穂乃香,忍ちゃん、とにかく頑張り屋さんなんです。あまり邪魔はしたくありません
加蓮,なるほどー……
柚,それより加蓮サンどしたの？さては～、柚がいなくて寂しかったんだ！
加蓮,いやー仕事を邪魔する子がいなくてすっごく捗ったよ。今日いっぱいかかりそうだった書類整理がもう終わっちゃった
柚,柚いらない子！？
穂乃香,そんなことないわよ……ね？加蓮ちゃん
加蓮,うんうん、いる子いる子
柚,えへへぇ……はっ！そ、そーだねっ！加蓮サンはアタシがいないと駄目だよねっ♪
加蓮,へ？まあ、うん
柚,加蓮サンが来たってことはー、差し入れを期待してもいいのカナ？アタシ喉が乾いちゃったなーちらっちらっ
加蓮,そう言うと思って。はい、スポドリ
柚,やたーっ。しかもこれアタシの好きな味！さすが加蓮サン、分かってるじゃん♪
加蓮,ふふっ。穂乃香さんもよかったら。アタシと柚のオススメなんだっ
穂乃香,ありがとうございます
加蓮,あっちの子には、また後で渡しといて
柚,忍チャーン！そろそろ休もうっ。じゃないと忍チャンへの差し入れアタシが飲んじゃうぞー！。駄目だこりゃ
加蓮,ホント、すごい子なんだね……
穂乃香,忍ちゃん、いつもこうだから。ふふ。柚ちゃん、私達ももうちょっと頑張ってみる？
柚,アタシは休憩っ
穂乃香,じゃあ、私も
加蓮,あはは……あ、柚。休んでるところにごめん。ちょこっとだけいい？
柚,ン？なーに、加蓮サンっ
穂乃香,……？
加蓮,実はね。さっきＹテレビさんから電話が来て、今度立ち上げる番組に柚が欲しいって言ってきたんだ
柚,！ホント！？Ｙテレビってあのバラエティがスゴイとこだよね！ねね、どんなお仕事！？
加蓮,グルメレポだって。ほら、前のイタリアンクッキングを見てくれてたみたい。柚をレギュラーに欲しいってさ
柚,やったっ。アタシやってみたい。いい？加蓮サンっ
加蓮,スケジュールの調節はあるけど、じゃあ受ける方向でいいんだね
柚,うんうんっ
加蓮,分かった。打ち合わせはこっちで進めておくから、柚はレッスンを……ね？お願いします、私のアイドルさん♪
柚,し、しょーがないなー。加蓮サンに頼まれたらやるっきゃないよね！
加蓮,レッスン、少し見ていこっかな？
――数日後・事務所,夜
柚,ただいまーっ！加蓮サンいる！？
加蓮,いるわよー
柚,……お疲れ？
加蓮,この時間になるとそろそろね……はぁ。もうへとへと……
柚,そっかっ
加蓮,ん……っと、ごめんごめん。なあに、どうしたの？何か報告があるんでしょ？
柚,あ、そのままでいいよっ
加蓮,私がヤだよ。いいからほら、教えてっ
柚,うん。あのね、今日の収録の時にこれをプロデューサーに渡してって頼まれた！
加蓮,ふむ
柚,あとね、もしよかったら番組に出てもらえないかって言われちゃった♪
加蓮,あー、私もついていった方がよかったね。ごめんね、どうしても外せない打ち合わせがあって
柚,加蓮サン最近付き合い悪いぞー
加蓮,あははっ。それ、貸して？
柚,はいっ
加蓮,ふんふん……うーん…………これちょっとスケジュール的には辛いなぁ……
柚,そなの？
加蓮,今は穂乃香さんや忍さんとの方に集中したいし……それにこれ、企画内容が曖昧だし、まだ当たりつけてオファーかけてるって感じかな……断ってもトゲは立たないか。ごめん柚。これ、断っといていい？
柚,加蓮サンがそう言うならいいよっ
加蓮,じゃあ電話しとかなきゃ。あ、そうだ。これ渡してくれたのどんな人だった？
柚,チョビ髭でさわやか笑顔の人だった！
加蓮,…………うーん、覚えがないってことはホントに完全新規か。すぐ行くー！これありがとね柚。私はもう帰らなきゃ……柚も乗せてもらう？Ｐさんの車
柚,乗る乗る！
加蓮,そっか。じゃあ一緒に……。あ
柚,わわっ。加蓮サン、ホントにヘトヘトだ！アタシが肩を貸してあげるねっ
加蓮,ありがとー……やり過ぎもよくないね、ふふっ
柚,ゆるーく頑張ろう！
加蓮,ゆるーく、かー
柚,ゆるーく！
加蓮,ゆるーく
――そのまた数日後・事務所,昼
柚,ただいまー
加蓮,お帰りなさい、柚。ラジオの収録はどうだった？
柚,バッチリ！ちゃんとLIVEの告知もしてきたよっ
加蓮,よし。これで当日は満員だね
柚,うんうん！あ、それで加蓮サン。えーと、はいこれっ
加蓮,封筒？もしかして、また何かオファー来ちゃった？
柚,来ちゃった。あ、あのね。それその……
加蓮,ん？
柚,あのね……あ、ううんっ。……アタシ、あんまり受けたくないかも……あっ、か、加蓮サンがやれって言うなら柚頑張っちゃうけどね！
加蓮,あれ、珍しいね。柚がそんなこと言うなんて……。って、うわ、Ｋ事務所の撮影かぁ。あれだよね。前に受けたけど酷かった奴
柚,そうそう！セクハラする人がいるって噂も聞いたことある！アタシはされなかったけどっ
加蓮,それアタシも知ってる。よし、このオファーは断ろう。大丈夫。柚が嫌がらせをされたりしないように上手くやってみせるから
柚,ホント？加蓮サンがそういうなら安心だね！
加蓮,あと、受けたくない仕事があったら私には素直に言ってね？無理矢理やれって言ったりしないから……
柚,うーん……加蓮サンなら言わなくても分かるかも、なんて♪
加蓮,無理
柚,きっぱり言われたー！むむっ、まだまだアタシの片想いのようですな。片想いって言えばアタシ最近、いろんな人からオファー受けるっ。人気アイドルになったって実感できるよ！
加蓮,前からでしょー？
柚,へへっ♪
加蓮,ホント増えたよね。セルフプロデュースを始めてる子が多いのと関係してるのかな……
柚,それって穂乃香チャンみたいな？
加蓮,うん。ちょっと前からまた増えたみたい。若い子が自分で仕事を取って、とか
柚,でもその分、変なオファーもあるケド。柚はお笑い芸人じゃないぞーっ
加蓮,あと契約関係でトラブルも増えてるって聞くし。私も、ちゃんとしっかり確認しないと……。んっ……
柚,加蓮サン、お疲れ？
加蓮,お疲れお疲れ。やらなきゃいけないことがホント多くて。柚ー、ちょっとは手加減してよー
柚,アタシのせい！？そうだっ、Ｐサンに任せてみるのはどうかな。そしたら加蓮サンも楽できる！
加蓮,ヤダよ。柚のプロデュースは私がやるんだし、それにただでさえ無理させてんだから
柚,えーっ
加蓮,ちょっと休憩しよっと。っていうか、お笑い芸人って……何そのオファー？そんなのあったっけ？
柚,さー。アタシにもよく分かんない。前にあったよ？いつだっけ。忘れたっ
加蓮,あははっ、何それ。柚が分かんないならアタシにも分かんないよっ
柚,よしっ、じゃあ忘れよう♪
加蓮,忘れよう忘れよう！。でも、そういう話があったらちゃんと報告してね？例えその場でナシになったりしても
柚,はいっ
加蓮,真面目にだよ？
柚,分かってるっ
加蓮,ならよし。……でもホント、向こうから持ちかけられるの増えてきたよね。柚は今後どんな仕事がやりたいー？
柚,うーん、LIVEとかグルメ番組とかグラビアとかラジオとかバラエティとか、あっそれと前に穂乃香チャンが地元のオススメ紹介してたヤツ！ああいうのもどんとこいだっ
加蓮,……それもグルメ番組じゃない？
柚,あっそっか！
加蓮,やりたいことがいっぱいあるんだね、柚
柚,だって楽しいもん！
加蓮,そっか……
柚,次はどんなお仕事がやりたいカナ～？あっ、その前にレッスンしなきゃっ。穂乃香チャンも地元から戻ってきたし、また合同レッスンだ♪
加蓮,…………ふふっ。……なんだか……できた、って感じがする。何かが、できた。……何がだろう？。ただ、何かができたような気がして、少し嬉しかった。その前に宿題をやっておきなさいよ？トレーナーさんから出された宿題
柚,ギャーそうだったー！あ、あのね、アタシまだ上手くできないとこがあって……加蓮サンっ教えて！穂乃香チャン達とレッスンする前に！
加蓮,じゃあ、このオファーを断る電話を入れて、それからメールを送ったらね
柚,１０分以内！じゃないとアタシ、飽きて逃げちゃうぞっ
加蓮,じゃあロープでぐるぐる巻きにしとこっかな。どこにあったっけ……？
柚,ホンキで探してる！？やめてーっ！アタシどうせなら人質じゃなくて犯人役の方やりたい！ふっふっふ、お主もワルよのぅ～
加蓮,犯人役か、それ……？
柚,アタシの調子良好っ。リハーサルもバッチリ！あとは本番を迎えるだけだね！
加蓮,お疲れ、柚。明日も安心して見られそうだね
柚,で、でしょー！なんたって忍チャンと穂乃香チャンもいるからね！これはもう成功するっきゃないっ。瞬き禁止だっ
加蓮,……柚は？
柚,へ？
加蓮,ううん。なんでも
柚,変な加蓮サン。あっ穂乃香チャンだ！おーいっ、穂乃香チャーン！
加蓮,自分がいるって言わないあたり、やっぱ緊張してんのかな……？
柚,あとは忍チャンだ！どこにいるかな～
穂乃香,ほっ……。忍ちゃんならさっき、Ｐさんと話していたよ？何か、聞いていたみたい……
柚,そっか。それは邪魔しちゃいけないなー、ウンウン
穂乃香,お邪魔……？
柚,そりゃーもう、ほらほら！
穂乃香,……？？……あ、加蓮ちゃん。お疲れ様です
加蓮,穂乃香さんこそ、お疲れ様です
柚,あははっ、２人とも堅いな～。もっとゆる～くやってこうよ！
加蓮,穂乃香さん相手だとついね……
穂乃香,ふふ。頑張るね、柚ちゃん。……それで加蓮ちゃん。舞台構成はどうでしょうか。もう少し、工夫できる所があるとは思いますが……
加蓮,あれでまだ不満足なんだね。すごいなぁ……柚も見習いなさいよ？
柚,あーあーきこえなーい
穂乃香,後は、本番を残すのみです。レッスンの成果を、ちゃんと出せるようにしなければ
柚,穂乃香チャン堅い堅い！ミスってもいいから楽しむ！それくらいでやろっ♪
穂乃香,柚ちゃん……。そうね。せっかくのLIVEだから、しっかり楽しまなきゃ……！
柚,そーそー！楽しければＯＫ！それが柚ルール！
穂乃香,ふふ。柚ちゃんの前向きさが、ちょっと羨ましい
加蓮,そうそう。柚はちょっと考えなさすぎだけど、穂乃香さんも考え過ぎたら逆にミスるかもしれないし。気軽に考えてもいいんじゃないの？
柚,か、考えなさすぎ！？
穂乃香,そう、ですね。それなら、加蓮ちゃんくらいがちょうどいいのかな……？
柚,アタシアタシ！アタシくらいでいいと思う！
穂乃香,難しいですね……
加蓮,さて、リハーサルのことでちょっと確認しときたいんだけど、穂乃香さんのプロデューサーさんって今日来てるよね。どこにいるかは
柚,あっ、アタシ探してくる！忍チャンと一緒にいるんだよね。じゃあ簡単だ！
加蓮,あ、ちょ。もう……。うん、いつもこうなんだ。もー大変で大変で。あ、そうだ。演出のことなら穂乃香さんに聞いても大丈夫かな。LIVEの構成と演出を考えたの、穂乃香さんなんだよね？
穂乃香,Ｐさんと相談して決めたことですが……
加蓮,それならえっと、ここの演出についてなんだけど――
穂乃香,そこは、こういう表現で――。そう、ですね。それなら、加蓮ちゃんくらいがちょうどいいのかな……？
柚,アタシアタシ！アタシくらいでいいと思う！
穂乃香,難しいですね……
加蓮,さて、リハーサルのことでちょっと確認しときたいんだけど、穂乃香さんのプロデューサーさんって今日来てるよね。どこにいるかは
柚,あっ、アタシ探してくる！忍チャンと一緒にいるんだよね。じゃあ簡単だ！
加蓮,あ、ちょ。もう……
穂乃香,今日の柚ちゃんも、元気いっぱいですね
