城ヶ崎美嘉,お疲れさまでーす！
P,……ふぅ。美嘉との間に行き違いがあって、関係が悪くなりまして
ちひろ,プロデューサーさんが？美嘉ちゃんとの関係を悪く？
P,そうですね
ちひろ,どれだけプロデューサーさんが美嘉ちゃんに接していたか知ってますよ。担当の子の中でも、コミュニケーションの機会は多かったですよね
P,関係が悪くなったのは事実です。反りが合わないこともあるでしょう
ちひろ,真実を隠すには事実の一部を明かすのがいい、と言いますね
P,……。何が言いたいんです、さっきから
ちひろ,美嘉ちゃんとのその“行き違い”、プロデューサーさんならその予兆は感じ取っていたはずです
P,……
ちひろ,その軌道修正をしなかった。いえ、できなかった。自分が止められる範疇じゃなかったんですね。美嘉ちゃんの気づかないうちに悪化していく“行き違い”に、それでもプロデューサーさんは。一度も美嘉ちゃんのプロデュースをやめたいとは、言いませんでしたね
P,……それで？
ちひろ,ギリギリまで粘っていましたよね。最後まで。いえ、いまでも、本当はプロデュースを続けたいと思っているんじゃないですか？
P,……そりゃ、あんな楽に人気出るアイドル、プロデュースしたくない方がどうかしているでしょう
ちひろ,本当に、嘘が下手です。いえ、本心を隠すのが下手ですかね。……
マストレ,……
美嘉,……？
マストレ,そろそろか
美嘉,珍しいね、マストレさんがレッスン中にスマホ見るなんて
マストレ,ああ。ちょっと連絡待ちでな
美嘉,ふーん
マストレ,城ヶ崎。先に説明しておこう
美嘉,え、はい
マストレ,これから電話がかかってきた場合、それは君宛てだ
美嘉,？え、意味が良くわかんないんだけど
マストレ,城ヶ崎に悪い内容なら連絡はこないことになっている。だいぶ反則だが……これぐらいしないと彼の本音は出まい
美嘉,……どういう
マストレ,あの堅物を少し柔らかくしようと思ってな。ちひろさんに無理を言った
美嘉,堅物って……え、まさか。……プロデューサーになにかしてるの？
マストレ,彼の本音を暴く
美嘉,……
マストレ,そして私は、これがこの歌を歌うのに最も近道だと考えている
美嘉,でも、電話って
マストレ,ちひろさんに彼を詰めてもらっている。そして、音声だけ繋いでもらう。そ、そんなこと……。む
美嘉,！
マストレ,強制ではない、罪悪感も抱えるだろう。……だが聞いて損はない
美嘉,……罪悪感
マストレ,本音を一方的に握ることになるからだ。いまこうしている間にも話は進んでいる。チャンスはいまだけだ
美嘉,どうする。アタシにも言わなかった本音が聞けるなら。お姉ちゃんは、諦めたりしない。いいや、莉嘉の言葉を言い訳にしない。汚れたことしても、潔白じゃなくっても。アタシは諦めたくない……！。……イヤホンでいい？
マストレ,ああ。私が聞く必要はない。いいのだな
美嘉,もう、これ以上壊れないところまで来たから……どんなだってもいい
マストレ,……無理そうならすぐ言ってくれ
美嘉,うん……。……！。ちひろさんの声……。……！？。……！。……。……。……ハッ、ハァッ……
マストレ,大丈夫か
美嘉,はは……なんか、悪い事しちゃった気分
マストレ,そうだな……泣かされた代償と思えばいい
美嘉,震え、とまんない
マストレ,緊張と興奮だな……水を持ってこよう
美嘉,……いい……少し、こうさせて……
マストレ,ああ
美嘉,プロデューサー……。アタシに興味ないんじゃなかった……。……こんなに、アタシのこと……。アタシ……。……
マストレ,……城ヶ崎
美嘉,……はぁ、はぁ……
マストレ,このことは、さすがにP殿には話せんな
美嘉,だね……。……みんな
マストレ,うん？
美嘉,家族も友達も、みんな優しかった……ちひろさんだって、マストレさんだって……なんで、ここまでしてくれるの……？
マストレ,応援したいから、だろう
美嘉,応援……
マストレ,それに、私も女だからかな
美嘉,…………そっか。女の子はみんな……恋の話、好きだもんね
マストレ,子と言うにはつらい歳かな
美嘉,そんなことないよ
マストレ,ふふ。気の持ちようか
美嘉,うん……ありがと。もう大丈夫。……すぅ、はぁ……。……うん。マストレさん
マストレ,うん？
美嘉,まだちょっち身体震えてる。でも、いまはできる気がする。だから。歌わせて。んー……。これまでだって手ぇ抜いてたわけじゃないけど。なんだろう。確実に、違った。アタシの中で気持ちが変わった。あんなに集中してレッスンしたのはじめてかも……。おかげで……ねむ……ふぁ。……ん……。誰？。……ふふ。？別の人……ん、加蓮？。……へ？。はぁっ！？。わ、ちょっ…………もー、みんな、寝かせてよー。……えーと。……そっちもねー、と……:。わわっ。……もー。返せないよ、こんなのー…………あははっ。よし、と。……ああ。私、みんなに愛されてるんだな。……。愛された分だけ、いっぱい返したい。それで、目いっぱい誰かを愛したい。ううん、誰かじゃない。あの人を、愛したい。……。諦めない、か。プロデューサー……。あれが本心だって……それなら、アタシは……。……うん。今日はしっかり眠れそう。目の腫れがしっかり引くまで、しっかり寝よう。そしたら。プロデューサーのこと、ちゃんと見られると思うんだ
マストレ,P殿
P,ああ、マストレさん。おはようございます
マストレ,おはよう。城ヶ崎美嘉のことで相談がある
P,あー、じゃあ場所を変えますか
マストレ,不要だ
P,……込み入った話じゃないんですか
マストレ,ああ。レコーディング日はいつになっていたかな
P,まだ調整中です。伸ばせてひと月ぐらいかと
マストレ,いや、元の予定日だ
P,元のは……明後日でしたが
マストレ,そうか。そのまま進めることはできるかな
P,進めるって……え、レコーディングを、ですか
マストレ,他に何が？
P,いや、でも
マストレ,大丈夫だ
P,大丈夫……？
マストレ,P殿のアイドルは完璧だよ
P,……じき、俺のじゃなくなりますが
マストレ,そうか？そんなことは言っていられないと思うぞ
P,……はい？
美嘉,あーっ、いたいた！
P,……美嘉
美嘉,何？単にレッスンきてるだけだって
P,あ、ああ
美嘉,マストレさん、今日のレッスンでやってみたいことがあるんだけど
マストレ,分かった、見せてもらう。先に行って喉を温めておくといい
美嘉,はーい、先行ってます
マストレ,ああ、今日で仕上げよう
美嘉,じゃね、プロデューサー。レコーディングはマストレさんと合わせといて～★
P,は……。……マストレさん
マストレ,なんだ？
P,美嘉は、どうなんです。いくら空元気と言っても
マストレ,あれが空元気に見えたか？
P,いや、けど……あれからまだ3日しか
マストレ,だから歌えないと？自分の担当アイドルを見くびらないほうがいいぞ
P,……
マストレ,むしろ、いまが一番いい
P,……そう言うなら……人は集め直せるとは思いますが
マストレ,ああ、それなら頼んだ。こっちは任せておきたまえ
P,……はぁ……わかりました……
マストレ,……。ふ、ふふ
ちひろ,あら。朝から楽しそう
マストレ,ふふふ、おはよう
ちひろ,おはようございます。どうしたんですか
マストレ,いや。鳩が豆鉄砲とは、まさにアレのことだなと
ちひろ,Pさんですか？
マストレ,ああ……感謝するよ、ちひろさん。あなたじゃないとできない仕事だった
ちひろ,そうかもしれませんね。でも、結構怖かったんですよ？
マストレ,そうかい？汗ひとつかかなかったと思っていたが
ちひろ,そんな鉄の女じゃありません。でも、教えてくれた情報のおかげで、追い込むのはちょっと楽しかったかも
マストレ,敵わないな
ちひろ,うふふ。この貸しは高いですよ
マストレ,いやぁ、厳しい。損な仕事だったな。大した仕事もできなかった
ちひろ,そうですか？
マストレ,結局、恋する女の子のエネルギーには勝てないということさ
ちひろ,プロデューサーさんも勝てないか、賭けません？
マストレ,いや、成立しないだろう、それは
ちひろ,うふふ
スタッフ,差し替え部分、こんなもんですかね
ディレクター,うん、良かったよ
スタッフ,OK。どうです？
P,問題ないです。これでお願いします。では、後の作業よろしくお願いします
ディレクター,おー。また飲みに行きましょうや
P,……。……空元気じゃない。マストレさんの言う通り、完璧だった。そうか、もう立ち直ったのか……。まぁ……引きずるよりはいいよな。ん？。はい、お疲れさまです。ええ、順調に終わりました。このあと戻ります。？ええ、そうですが……。……はい？。いやあの、どう言うつもりです。しっかりと渡しましたよね。そうじゃなくてですね。あの、ちょっと。あっ……。……
美嘉,プロデューサー？
P,あ、ああ……お疲れ
美嘉,お疲れさま
P,あー……完璧だったな
美嘉,そりゃもう。カンペキに仕上げてきたもん
P,そうか……
美嘉,んふふっ
P,……なんか、さっぱりしてるな
美嘉,そうだねー。髪でも切りたい気分
P,いや、ちょっとそれは
美嘉,ウソウソ、切らないよ。切る理由、ないもん
P,……そうか
美嘉,切る理由になりたかった？
P,んなわけ無いだろ
美嘉,だよね。プロデューサー
P,ん
美嘉,この曲を歌うのに、すっごく、いろんな事を考えた。ファンに、友達に、家族に……トレーナーさんに、プロデューサー。たくさんの人に支えられて、愛されて、アタシはまた曲を歌っている。そして、これがプロデューサーからの、最後の仕事かもって
P,……
美嘉,だからね。プロデューサーを想って歌ったよ。そんなこと、アイドルがしちゃだめかもしれないけど。でも、最高だったでしょ
P,……そうだな
美嘉,いままでありがとう。プロデューサー
P,ああ
美嘉,最後は、ちょっと変な感じになっちゃったケド。……キレイに仕事が終われてよかった
P,……ああ。いい仕事ができてよかった
美嘉,最後にさ。一発、ひっぱたいていい？
P,えっ？……ああ……わかった。いいぞ
美嘉,じゃあ……キツいのいくよ。目つぶって
P,……
美嘉,……。ん……
P,……え？
美嘉,……ほっぺだから大したことじゃないっしょ？
P,そうじゃなくて……えっ、何の真似だよ
美嘉,んー。素直なキス、ってとこかな★
P,素直なって……どういうつもりだ？
美嘉,どういうって。アタシ、別にフラれたわけじゃないし？
P,……ん？
美嘉,プロデューサーが担当じゃなくなるだけ、でしょ。プロデュースしてもらえなくなるのは残念だけど……。……それはアタシが自分に嘘をついた罰、かな。そこは、受け入れる。でもね。そっちだって、振ったわけじゃないんだよ？
P,……
美嘉,むしろ火つけたかも
P,一度、はっきり言ったと思ったんだけど
美嘉,無理とか、応えられない、とか？
P,……
美嘉,まぁそれ自体はね。……でも、前に同じようなことあったなって
P,前に？
美嘉,いつか、アタシが手を繋ぎたいって言った時のこと
P,はぁ
美嘉,莉嘉だったらすんなりOKしてたでしょ、ってハナシ
P,ああ
美嘉,莉嘉には抱きつかせたけど、アタシにはさせなかった
P,……
美嘉,同じことかなって。アタシを遠ざけたい理由があるんじゃないかな、って
P,いや……そっちだって顔合わせづらいだろ
美嘉,うん。もっともらしい理由だよね
P,……
美嘉,ちょっとは、自分で考えたよ。なんでアタシの担当を外れたかったのかな……とか。莉嘉なら……そのまま担当から外れなかったんじゃないかな。まっ、莉嘉にはゴメンな話かもしんないけどね。全部アタシのためで、それでいて全部自分のため。アタシを遠ざけないといけなかった。アタシがダメになる前に。プロデューサーが、できなくなる前に。それってさ。アタシのこと
P,まて。それ以上言うな
美嘉,……にひっ。ね、担当やめるのやめない？
P,は？
美嘉,アタシの輝くところ、一番近くで見ててって言ったでしょ。いまでも、アタシのプロデュースしたい……でしょ？。後悔するよ？一番近くでって特権、逃しちゃダメだと思うな
P,……。あっ……
美嘉,どしたの？急に座って
P,……ここまで見越して……いや……
美嘉,な、なに？
P,さっき電話していただろ
美嘉,うん
P,ちひろさん
美嘉,うん
P,…………俺の異動願いまだ出してないって
美嘉,え
P,預かってくれと言ったが、出してくれって頼まれていませんとかなんとか
美嘉,……やるぅー……。……。うん、やっぱり言わないといけないね
P,？
美嘉,ちひろさん
P,え、ああ
美嘉,ちひろさんに問い詰められた時の会話
P,…………は？
美嘉,ほとんど聞いてた。ごめん！
P,…………
美嘉,…………
P,ほとんど、って……
美嘉,プロデューサーの感情でアタシを振り回せない、とか
P,……
美嘉,俺が一番近くで見てきた、とか
P,あ……
美嘉,アイドルやめて俺と一緒になれ、とか
P,え
美嘉,城ヶ崎美嘉をプロデュースできるのは俺だけだ？
P,まって、後半ほとんど俺が言ったんじゃない！
美嘉,あ、そうだっけ
P,……え、ちょっと待ってくれよ……全員グルかよ！
美嘉,アタシもいきなりだったけど……うん、共犯だね
P,だからちひろさん、あれだけ炊きつけたのか……
美嘉,うん……あ、やば。やっぱこれ、だいぶマズいよね。嫌われるレベルで
P,……
美嘉,う……ご、ごめんなさい……
P,はぁ…………あー、いい、身から出た錆だ
美嘉,……ほっ……さっすがプロデューサー、懐が広い
P,あぁー、もう！
美嘉,な、なに？
P,切り替えらんねえの。全部覚悟決めて、蓋開けたら元通りなんて。元通りならまだマシだ。美嘉は吹っ切れてるし、周りは囲ってくるし。俺にどうさせたいんだよ
美嘉,仕方ないよ。女の子は恋バナ好きだもん
P,言ってろ
美嘉,あんな嫌われ役引き受けてくれるなんて、ちひろさん、最高のアシスタントじゃない？
P,……
美嘉,アタシだったら惚れちゃうけどな
P,……惚れない
美嘉,どうして？
P,……。……目の前に、もっと夢中になれるアイドルがいる
美嘉,……あ
P,全部無駄だったなぁ、異動願いもレコーディング日変更も、無駄に突っぱねたことも……
美嘉,プロデューサー
P,うん？
美嘉,んっ
P,ん……！？
美嘉,……ふ
P,はぁ……
美嘉,……へへ、ごめん。止まんなかった
P,……俺も止めなかった
美嘉,そっかぁ。ふふ
P,断っておくけど……恋人関係とか、そういうのにはならないぞ
美嘉,えっ、なんで
P,あくまでアイドルとプロデューサー。そこの線引きが俺の最終防衛線だ
美嘉,じゃあいまのは？
P,…………手だされたの俺だし
美嘉,そういうスタンスにするの？
P,……
美嘉,え、なにそれ。攻め放題じゃん。いいの？
P,いや、なんていうか……。応えるのは、せめて成人してからとかにしてくれないかって
美嘉,えー。JKのうちに手ぇだしちゃわない？もったいなくない？
P,もったいないとかさ……いやちょっとはあるけど
美嘉,あ、でもあと1年かぁ
P,そっちで数えるのか
美嘉,ねー、どうせなら後も今も一緒じゃん？
P,一緒じゃねえよ
美嘉,そっか……
P,せめて1年。すぐだよ
美嘉,……わかった。ホントはつらいケド……
P,こっちも同じ気持ちだって言ったら、わかるか
美嘉,！……うん！。まぁ、攻めるところは攻めるけどね
P,おい
美嘉,だって、アタシの輝くところ、一番近くで見ててって言ったでしょ
P,……ん？ああ……
美嘉,女の子は恋をするの。恋を諦めて、アイドルが……女の子が輝くと思う？。我慢しなくていいって言うんだったら、どこまでも頑張るから。だから。アタシが輝くの、一番近くで見せてあげる
P,……わかった。楽しみにしてる
美嘉,にひっ。パッションでしょ
P,そうだな……。本当に、最高だよ
美嘉,プロデューサー……！。アタシらしく愛してあげる。いつまでも
