※ショートショート集です。主要キャラは第六駆逐隊,特に電ちゃん
暁,阿武隈さんたかーい！ねえねえ、走ってみて走ってみて！
磯風,はは、暁はご機嫌だな。そんなに肩車が嬉しいのか？
暁,そ、そんなんじゃないわよ！これはレディーとして更なる高みを目指すために、高い目線で遠くを見るためよ！。かの偉人、ベルナールは言っていたわ。私たちは巨人の肩の上に乗る小人のようなものだと
磯風,ふむ。暁は難しい言葉を知っているな
阿武隈,それ多分意味が違う……
暁,ほら、阿武隈さん早く早くー
阿武隈,はいはい……危ないから、ちゃんとしっかり捕まってね
暁,了解よ！
阿武隈,じゃあいくよ、それーっ！
暁,きゃっ！暁が普通に走るのと同じくらい速いわ！すごーい！
阿武隈,えへへ、そう？じゃあもうこのままちょっと走るね
暁,うん！
阿賀野,おのれ一対二とは卑怯な！艦娘として恥ずかしくないのか！？
阿武隈,いきなりなに阿賀野ちゃん！？
阿賀野,ならばこっちも助っ人を呼ぶわ！矢矧カモーン！
矢矧,お断りするわ
阿賀野,ええっ！？矢矧ってばお姉ちゃんを見捨てるの！？
矢矧,相手が阿武隈さんと暁ちゃんなら、別に取って食われたりしないでしょ。安心しなさい
阿賀野,うー、矢矧ってば冷たいー。冷淡ー鬼ー
矢矧,はいはい
阿賀野,もう、矢矧ってば頼りにならないんだから。こうなったら阿賀野一人でもやっちゃうからね。阿武隈さん、これは下剋上よ！覚悟ー！
暁,阿武隈さん危ないわ！攻撃するからね！
阿賀野,あたっ
暁,命中よ！
阿賀野,なにこれ……暁ちゃんの帽子？
磯風,見事に阿賀野さんの頭にすっぽり入ったな。何気にすごいぞ
阿賀野,え、でもこんな帽子が当たったところで、阿賀野ちっとも平気なんだけど
暁,それはただの帽子じゃないわ……クリスマスプレゼントとして、サンタさんに貰った帽子よ！
阿賀野,な、なんだってーっ！？
暁,サンタさんから貰った帽子。つまり、サンタさんの不思議なパワーが込められいても不思議じゃないわ！
電,不思議なパワーが込められているのが不思議じゃないって、矛盾してるのです……
阿武隈,というか、あたしが贈ったものだし、あんまり過剰に期待されても困るんですけど
阿賀野,サンタさんの不思議パワーって……例えば阿賀野にサンタさんみたいな白いおヒゲが生えたりとかしちゃうわけ！？
暁,明日目が覚めたら、サンタさんのトナカイさんが、阿賀野さんと一緒に寝てたりとかもありえると思うわ！。暁的にはそっちの方が嬉しいわね！もしトナカイさんが来たら暁にも触らせてよね！
阿賀野,そんなことになったらもう夜にぐっすり眠れないじゃないの！？夜も寝ずに昼寝するしかなくなっちゃう！
矢矧,なに言ってんの阿賀野姉
電,でも暁ちゃん、そんな大事な帽子を投げちゃっていいの？
暁,阿武隈さんを守るためだもの！サンタさんだって許してくれるわ！
阿武隈,あ、暁ちゃん……ありがとうね
磯風,イイハナシダナー。だが暁。トナカイさんが来ることはありえないんだ
暁,ええっ！？そんな、どうしてよ！？
磯風,サンタさんはクリスマスの日、子供達に見つからないようにやってくる。逆に言うと、クリスマスの日にしかサンタさんは来ないんだ。そしてサンタさんももう高齢、おじいさんだ
暁,それがどうしたっていうのよ？……はっ、まさか！？
磯風,そうだ！トナカイさんは真っ赤なお鼻を笑われていた。そのお鼻をサンタさんに褒められたトナカイさんが、高齢のサンタさんを置いて、一人でここに来れるわけがないだろう！
暁,やっぱりそうなのね！？そ、そんな……暁が自分のわがままでトナカイさんを困らせていたなんて。……赤鼻のトナカイさん、ごめんなさい
磯風,少し残酷だが……叶わない夢をずっと持たせるわけにはいかないだろう。暁、許せ
阿武隈,暁ちゃん……大丈夫、暁ちゃんが優しい子だってことは、ちゃんと分かってるから。きっとサンタさんもトナカイさんも、暁ちゃんのこと好きでいてくれると思うな
暁,阿武隈さん……
？,暁、待たせたな！
暁,……あなたはまさか！
電,本当にトナカイさんがやってきたのです！？
阿賀野,ええっ！？
カピバラ,着ぐるみ
暁,……え？
磯風,カピバラだーっ！？
阿武隈,んんっ、違います！
阿賀野,あらかわいい
カピバラ,トナカイだよ。その赤い鼻から赤鼻のトナカイの通り名もあるよ
電,どこからどう見てもカピバラなのです！？
磯風,お前カピバラだろう！？なあカピバラだろう！？どう見てもトナカイじゃないだろ！？
カピバラ,しょうがないじゃないか。とっさに用意できたのが、これしかなかったんだ
磯風,これならいっそない方がましだ！響、おまえ一体何をしに来たんだってレベルだぞ！
カピバラ,響じゃないよ、若葉だよ
磯風,バレバレの嘘をつくな暁型二番艦！
カピバラ,大丈夫だ。私にいい考えがある
磯風,なぜかその言葉を聞いて、余計に不安になったぞ
カピバラ,信頼の名は伊達じゃない。あー、暁。私は一見カピバラに見えるかもしれないが
暁,一見じゃなくて、どう見てもカピバラさんじゃない
カピバラ,これは世を忍ぶ仮の姿なんだ
暁,世を忍ぶ仮の姿ってどういう……はっ、まさか！？
カピバラ,そうさ。サンタさんを乗せるトナカイさんが、街中で動き回っていたら目立つだろう？。だからクリスマスの日以外は、カピバラに見えるようにしているんだよ
暁,やっぱりそうなのね！トナカイさんすごーい！
阿武隈,どうしよう。暁ちゃんが悪い人に騙されないか、すごい不安になってきた
矢矧,この子、さっきから察しが良いのか悪いのか分からないわね
暁,でも……トナカイさん、サンタさんを置いて来て大丈夫なの？
カピバラ,まさにそのサンタさんに言われて来たんだよ……悲しんでいる子がいる。それを救わないで、なにがサンタだ。私がサンタでいるために、暁の元に行ってくれないか？なに、私のことは心配するな。私がいなければ誰が子供達にプレゼント配るんだ？ってね
暁,サンタさん……
カピバラ,さて、暁遊ぼう。私は今日の夕方までしかいられないからね
暁,そうね！トナカイさんにも楽しい思い出を持ち帰ってもらわなきゃ、レディーとして失格よね！。ねえ、雷や時雨達も呼んでいい！？
カピバラ,え？も、もちろんいいよ。ほら、電も。一緒に遊ぼう
電,え、でも……
阿武隈,ほら、電ちゃんも行っておいでよ。こんな機会めったにないんだから
電,……いいですか？
阿武隈,もちろん！
電,ありがとうなのです！
阿武隈,えへへ。響ちゃん、やっぱり暁ちゃんのこと大好きなんだね。手段はいろいろとおかしかったけど
磯風,そうだな。仲が良くてなによりだ
阿賀野,ですね、本当にみんなかわいいなぁー。ねっ矢矧
矢矧,そうね
磯風,おっと、そろそろ料理を教えてもらう時間だったな。今日もお願いできるか、師匠阿武隈
阿武隈,もちっろん。磯風ちゃんは熱心で覚えも早いから教え甲斐があるよ
磯風,まだまだ師匠にも電さんにも及ばないがな。だがその内追い越して見せる
阿武隈,うん、楽しみにしてるね。さて、神通も呼ばないと
阿賀野,え、なに？阿武隈さん達これから一緒に料理するの？じゃあ阿賀野は味見役ね！
矢矧,まったく阿賀野姉ってば……
阿武隈,あはは、それじゃあ阿賀野ちゃんしっかり味見してね？味の最終調整は阿賀野ちゃんにかかってるから
磯風,まずかったら阿賀野さんのせいだな。責任重大だ
阿賀野,うえっ！？や、やめてよ磯風ちゃん
阿武隈,そうだ、矢矧ちゃんも来る？
矢矧,え、いや私は別に
阿武隈,良いよ、大勢いた方が楽しいし。それに矢矧ちゃんの話もあたし聞きたいな
矢矧,あまり大した話なんてできませんが……それで良ければ
磯風,決まりだな、よし時間が惜しい。さっそく行こう
阿武隈,うん、レッツゴー！
阿賀野,あれ、ところでなんか忘れてるような……？。あーおいしかったー！神通さんも磯風ちゃんも随分料理上手くなったよね
神通,そうですか？そう言ってもらえると、私も嬉しいです
磯風,これも師匠のお陰だ。磯風自身はさほどでもない
阿武隈,なに言ってるの。あたしは多少手ほどきしただけで、頑張ったのは神通と磯風ちゃんでしょ
神通,もう、阿武隈ってば。もう少し胸張っていいと思いますよ？
浜風,そうですね。私もそう思います……もぐもぐ
矢矧,……この子、いつの間にここにいてごはん食べてるの？
浜風,あ、お気になさらずに
磯風,気にするな。いつものことだ。浜風、うまいか？
浜風,そうですね。私的にはばっちりです。磯風、感謝いたします
矢矧,そ、そう……
阿賀野,……あー！？そうだ、下剋上忘れてた！？
神通,きゃっ！？び、びっくりしました……
磯風,いきなり、なに物騒なことを言ってるんだ。食堂でそう騒ぐな
阿賀野,阿武隈さん、覚悟ぉー！
阿武隈,何事！？
赤城,こら、阿賀野さん。磯風さんの言う通り食堂で騒いではいけませんよ
阿賀野,あ、はい。すみません
赤城,いえ。気を付けてくだされば、構いませんよ。みなさん、失礼しました
阿武隈,はい。ご迷惑をおかけしました
阿賀野,……
阿武隈,……で、阿賀野ちゃんどうしたの？
阿賀野,やっぱ下剋上はやめにしよう、うん
矢矧,ただ単に面倒になっただけでしょ、阿賀野姉
阿賀野,いやまあさすがに、普段からお世話になってて、今日も阿賀野と矢矧のご飯作ってもらって？それで下剋上とかはさすがにちょっと……
矢矧,当然ね。で、今更過ぎね
阿賀野,今更って、矢矧ひどーいっ！
阿武隈,えっと、良ければお話しを聞かせてくれないかな？
矢矧,はあ……そうですね、分かりました
阿賀野,え、矢矧話しちゃうのちょっと待ってー！？。――というわけで
神通,ちょっと待って
阿武隈,なんで阿賀野ちゃんがあたしと提督の会話知ってるのぉーっ！？
阿賀野,こっそり盗み聞きしちゃった、てへり
矢矧,阿賀野姉……
阿武隈,しちゃったじゃないよぉ！？うわぁーっ！？
神通,阿武隈、相変わらず仲良いね
磯風,全くだな。やはり司令は師匠がいないと駄目な様だ
赤城,ふふっ。阿武隈さんが提督の心の支えになっているとしたら、なによりです。これからもよろしくお願いしますね
阿武隈,みんなして冷やかさないでください！
浜風,冷やかしてなんていません、本心です
阿武隈,それはそれで恥ずかしいです！。と、ともかく……それはあたしの責任もあるかなあ。阿賀野ちゃんの悩みに気づけなかったこともあるし
矢矧,いえ、もうちょっと阿賀野姉がしっかりすれば済むことです
阿武隈,けど、仮にしっかりしてないとしても、しっかりできるようにするのが先輩の役目でもあるし
神通,阿武隈には荷が重いんじゃないかな
阿武隈,神通ぅ？
神通,ふふ、冗談ですよ
浜風,相変わらず阿武隈さんにだけは遠慮ないですね、神通さん
磯風,気が置けないって奴だろう
神通,でも、能代さんにはいろいろと助けてもらってますから、私としてはありがたいです
阿武隈,けどさ、阿賀野ちゃん。あたしはあれから、そんなに軽い指導をしてたつもりはないんだけどね。適度に厳しくしてたと思うんだけど
阿賀野,え？あれで適度に厳しい？あんなにきついのが？
神通,え、あれで適度に厳しいですか？あんな優しいのが？
赤城,あの、二人の反応が違いすぎるのですが
矢矧,神通さんの反応の方が正しいわね
阿賀野,えー？
磯風,たしかに内容自体は多少厳しいかもしれないが、そこまででもないし、なにより教え方は丁寧だぞ？
浜風,ちゃんと配慮や気遣いもされてましたしね
阿賀野,矢矧ー。みんながいじめるよー
浜風,まあ傍から見てるだけですから、当の本人にしか分からないこともあるかもしれませんね
阿武隈,それに、物の捉え方は個人によって違うしね……けど、それならどうすれば
阿賀野,ああいえ、別に耐えられないとかそういうわけじゃないですからぁ！？
阿武隈,そう？無理して体とか壊したりしたら本末転倒だよ？本当に大丈夫？
阿賀野,はい、バッチリです！
阿武隈,うん、じゃあこれからも頑張って付いて来てくれる？あたしも、頑張るからね
阿賀野,はい、これからもよろしくお願いしますね
阿武隈,うん、あたしこそよろしくねっ。でもそうだなぁ……じゃあ、阿賀野ちゃんまた遠征の旗艦やってみよっか
阿賀野,ええっ！？で、でもまたこの前みたいなことになっちゃったら
阿武隈,さっきも言ったじゃない。そこまで軽い指導はしてないって。阿賀野ちゃんあれから一杯頑張ったし、大丈夫！
阿賀野,そ、そうかなぁ……阿賀野ちょっと心配なんだけど
磯風,なに、心配はいらない。この磯風がサポートする。また初霜辺りに付いて来てもらっても良い。それこそ、遠征に慣れた睦月や三日月とかに協力をお願いしてもいいかもな。なあ師匠？
阿武隈,そうだね。提督や電ちゃんにはあたしから話をしておくね
阿賀野,……分かりました！そこまで言われて臆してたら、阿賀野型の名が廃るってもんよね！やればできるんだから！
阿武隈,うん！阿賀野ちゃんなら大丈夫！
矢矧,……大丈夫かしら阿賀野姉
赤城,心配いりませんよ。皆さんが言った通り、阿武隈さんが今まで一生懸命指導してきて。そして磯風さん達がサポートするんですから。それに、妹の矢矧さんがお姉さんの阿賀野さんを信頼しなくてどうするんですか
矢矧,……そうですね。たしかにそうかもしれません
赤城,はい。大丈夫です。一水戦だって、華の二水戦に負けてません。役割こそ違いますが、どちらも立派な水雷戦隊です
神通,その通りです。もっとも……私個人としてはともかく、水雷戦隊全体の練度としては負ける気はありません
赤城,ふふっ、頼もしいですね。まあ、今後阿賀野さんが一水戦旗艦を継承するかは、また別の話ですけどね。ですが、二水戦の候補には能代さんがいるんです。阿賀野さんが候補にいても不思議ではないでしょう
神通,はい
阿武隈,じゃあ、さっそく準備しなくっちゃ！まずこの話自体受け入れてもらえなかったら駄目だもんね
阿賀野,ええー！？ここまで来てご破算とか、阿賀野勘弁なんだけどぉ
阿武隈,あはは、大丈夫大丈夫……たぶん
阿賀野,たぶん！？
磯風,いや大丈夫だろ……たぶん
浜風,そうですね、問題ないでしょう……たぶん
神通,はい。心配いりません……たぶん
阿賀野,なにそのたぶん推し！？しかも神通さんまで！？
赤城,阿賀野さん、そんなに根詰めないでくださいね。たぶん
阿賀野,赤城さんに至っては意味まで放棄してるじゃないの！？
赤城,ふふっ、冗談ですよ
提督,初めまして。貴方が、電さんかな？。はは、初めてで緊張しているか。私もだよ。艦娘を呼び出し、指揮する適正があるからって下士官からいきなり提督だ。未だに実感が湧かないな。けど、これから自分なりに精一杯やるつもりだ。電さん……電でいい？。そうか。これからよろしくな、私と電さ――すまない、電とこの鎮守府を大きくして、共に大切なものを守っていこう。電が寂しくないよう、仲間を一杯集めないとな
神通,あの……軽巡洋艦神通です
白雪,白雪です。どうぞよろしくお願いします
菊月,私が菊月だ。ともに行こう
文月,あたし、文月っていうの。よろしく～
磯波,あ、あの……磯波と申します。よろしくお願いいたします
響,電、久しぶり……かな？ああ。私も会いたかった。大丈夫だ。今度は沈めさせやしないさ。電も、仲間たちも。信頼の名は伊達じゃない
暁,電！今度こそお姉ちゃんは電達をしっかり守るんだから！だから電はしっかりと暁についてらっしゃい！
雷,暁だけじゃないわ！雷だって頼っていいのよ！
深雪,なにいつまでも気にしてんだよ！昔は昔、今は今だろ電！。あんまり気にしてるようなら、それこそ深雪様は怒っちゃうぜ！。だからよ、今度は私の友達になってくれよ！なっ！
五十鈴,水雷戦隊の指揮はお任せ！さあ、みんな五十鈴に付いて来て！
時雨,雨が気になるの、電？大丈夫。雨は……僕達の味方さ
白露,電だって秘書艦として頑張ってるもんねー、すごいよね！けど一番はあたしなんだからね！
北上,うえー。駆逐艦の指揮とか？そんなの神通や五十鈴にやらせればいいじゃんー
霞,なにアホなこと言ってんのよ！さっさと指示出しなさい！
北上,電ちゃん秘書艦でしょ？あとよろしくー
長月,なに言ってんだおまえは！？
古鷹,ここはとてもいい部隊ですね！。かわいらしい秘書艦さん……よろしくお願いしますね。重巡洋艦のいいところ、沢山知ってもらえるとうれしいです！
赤城,私達三人でも……機動部隊です！
蒼龍,ない物ねだりなんてしていられないですよね！赤城さんと鳳翔さん、三人でも味方の空は守ります！
金剛,電ーっ！殴り合いなら私達にお任せデス！
榛名,お姉様と二人だけでも……榛名達は戦艦です！味方は……守ります！
島風,むー、つまんないつまんなーい！もっと速い子いないの電さーん！
吹雪,ちょっと島風さん、あんまり突出しちゃダメですって！
弥生,……これじゃ、どんなに速くても実戦には出れないよ
龍驤,ふふん、こう見えてウチ歴戦の空母なんよ。赤城や加賀にも負けないで！。え……加賀はまだいない？蒼龍、いやそう怒らんといて！悪気はなかったんよ！
長門,ようやく戦いの舞台に出れるな……今度は仲間を背負わせてくれ。もう仲間がいなくなるのを、後方で見るのは沢山だ
陸奥,ふふ、私も今度こそ活躍して見せるわよ。爆発なんてしないんだから
イムヤ,え？潜水艦を見るのは初めて？そう……名前呼びにくいの？じゃあ、イムヤでいいわ！よろしくね電さん！
阿武隈,こ、こんにちは、軽巡阿武隈です。電さん……またあえて嬉しいな。電でいい？かつての上司にさんづけされるのはくすぐったいから？。うーん……じゃあ、電ちゃんって呼ばせてもらっていいかな？。これからよろしくね、電ちゃん
熊野,やっと帰ることができたこの国……今度は守り抜きますわ。ここは、私の今の帰るべき場所なのですから
瑞鶴,また翔鶴姉と肩を並べられる……嬉しいわね
翔鶴,ええ。私もよ瑞鶴。さあ、頑張りましょうね
ビスマルク,この国に来てからしばらく経つけど……金剛、長門に大和……私なんかが来る必要あったのかしら。なに？電、阿武隈。それに榛名も。また来たの？お節介な人達ね。元気を出してって……はあ、相変わらずね貴方達。……いつまでもくすぶっていたら、祖国に顔向けできないかしらね
大鳳,そう……私が大鳳。出迎え、ありがとうございます。提督、電さん……貴方達と機動部隊に勝利ぉぉぉ！？。え！？え！？なんですか！？出迎えるまで凄い苦労した？消費した資源を考えたくない？そ、そんなこと言われても！？
皐月,うん、いつもの僕とは違うよ！
電,皐月ちゃん、おめでとうなのです
皐月,ありがとう、電ちゃん、司令官！改二になった僕は、もっともっと司令官やみんなを守ってみせるよ！
文月,ふわ～、皐月ちゃんかっこいい～！
皐月,うふふっ、そうかい？文月もありがとう！
文月,これでもくらえ～
皐月,っていきなりなにするのさ！？あ、あはは、ふわっ、わっ、わぁー、く、くすぐったいよぉ……
文月,こちょこちょこちょこちょ～！
皐月,あははは、や、やめっ、もうやめてったらー！
阿武隈,あはは、二人とも楽しそう
皐月,あぶくひゃひゃ、止めてってー！
菊月,また同志が一人、更なる高みへと至ったか
長月,だがどんなに皐月が強くなろうと、私を凌駕することなどできはしないな
卯月,教えてやるぴょん……睦月型最強はこの卯月だということを
睦月,ふふふ……そして睦月は裏ボスにゃしい……睦月の恐ろしさをその目に焼き付けると良いぞ
三日月,なにやってるんですか姉さん達……
睦月,魔王睦月と愉快な四天王ごっこだよ、三日月ちゃん
阿武隈,四天王が愉快なんだ
菊月,ユーモアを忘れたら命はないと思え
阿武隈,なにそれ怖い
長月,当然だろう？何を今更。今まで良く生きてこられたな。よほど星の巡り合わせが良かったようだ
電,どこの世界の当然なのですか……
響,Ура！ウラー！
皐月,うわぁ！？
電,響ちゃんなのです！？
阿武隈,急に現れてどうしたの！？
提督,いっつもこの部屋のドア急に開けられてるな……そろそろ壊れるんじゃないか？
響,やぱーじゃないよ、ウラーだよ
電,そんな間違いする人いないのです
響,そうか、なら問題ない。皐月、改二おめでとう
皐月,え？あ、うん！ありがとう響！これからもっともっと活躍して見せるよ！
響,私も負けられないな
提督,にしても、あんな登場の仕方をすることはなかっただろう。なにかあったのか？
響,魔王にカチコミを掛けるのは、勇者の特権だよ
阿武隈,そんな特権聞いたことないんですけど
皐月,あははっ。響は相変わらず、かわいいね！
響,皐月の方がかわいいさ
阿武隈,皐月ちゃんも響ちゃんも、どっちもかわいいと思うな
文月,むう～、阿武隈さんあたしは～？
睦月,睦月も可愛いに決まってるのです！
阿武隈,もっちろん、皆かわいいに決まってるでしょ？
響,それにしても最近少しずつ暖かくなってきたね
文月,もうすぐ春だよね～。あたし、寒いよりあったかい方が好きだな～
響,春か。春はいいな。いつだって、春の来ない冬はない……はるしょー
菊月,……響。ユーモアのセンスをどこかに置いて来てしまったか
長月,そうだな……惜しい奴を亡くしてしまった
響,……。うらー
阿武隈,うああああぁ！？だからあたしの背中に飛びつかないでぇ～！？
菊月,すねたか
長月,すねたな
文月,響ちゃんってば、甘えん坊だね～
阿武隈,で、響ちゃん。まだ何か用事があるんじゃないの？
響,……皐月、特訓しよう
皐月,へ？
響,改二になった直後は、以前の自分との能力差に慣れず、戸惑うことがある。そのまま実戦に出るのは、危険なんだよ
睦月,あ、睦月も以前そうだったよ！
皐月,……もしかして、僕を心配してくれてたのかい？
響,……
阿武隈,響ちゃん、別に照れなくてもいいじゃない
響,そんなことないよ
電,響ちゃん、やっぱり優しいのです
響,……電まで。そんなことより、時間が惜しい。やるなら行こう
皐月,はいはい、響ったら僕と一緒に特訓できることが嬉しいんだなー！？このこの～
暁,見つけた！まったく、響ったらまた阿武隈さんの背中にいたのね！
阿武隈,あたしの背中が定位置みたいに言わないで！？
響,まったくだね
電,響ちゃんがそれを言うのはおかしいのです！？
雷,話は聞かせてもらったわよ！訓練するなら、人数が多い方がはかどるじゃない！雷達も協力するわ！
古鷹,古鷹も、良ければお手伝いしますね！
赤城,対空戦を想定するなら、空母もいた方が良いでしょう。私も微力ながらお手伝い致します
皐月,わあっ……みんな、ありがとう！
電,当初は司令官と二人だったこの鎮守府も、本当に賑やかになったのです。電よりも凄い艦娘さんも、一杯いて……。電は……今でも、そしてこれからも秘書艦をやっていていいのかな。もっと、赤城さんや蒼龍さん。長門さんや阿武隈さん……秘書艦に適した人がいるんじゃないかって、時々思うのです。……でも
提督,電、どうしたんだ？
阿武隈,電ちゃん、どうしたの？
電,……司令官、阿武隈さん。電はこれからも秘書艦でいてもいいですか？
提督,……急になにを言うかと思えば。いいに決まってるいるだろう？むしろ電にいて貰わないと、私は困るんだけどな
阿武隈,提督ってば、電ちゃんに随分と助けられてますからね
提督,ははっ、あまりいじめてくれるな
阿武隈,だって本当のことじゃないですか。ねっ、電ちゃん？
電,そ、そんなことないのですっ
提督,いや、事実電には色々と助けてもらってるから、あんまり反論はできないんだけどね
電,司令官は少し謙遜し過ぎなのです……
提督,目の前の誰かさんほどではないぞ
阿武隈,そうだよ、電ちゃん。あたしも提督も。そして他の皆も、電ちゃんにはすごくお世話になってるんだから。だから、これからもあたし達の秘書艦でいてもらってもいいかな？……電ちゃんが良ければ、だけど
提督,私からもお願いするよ。これからもこの鎮守府を共に支えて言って欲しい。もちろん、電が良ければだが
電,……はい。電で良ければ、これからもよろしくお願いします！
阿武隈,こちらこそ。これからもよろしくね、電ちゃん！電ちゃんに負担かけないよう、これからも頑張るからね！
提督,私もますます頑張らないとな。それと、阿武隈もあんまり無理するなよ
阿武隈,それはあたしのセリフなんですけど？提督だってすぐ無理するじゃないですか、もう
提督,うぐ……
阿武隈,あんまり心配かけさせないでくださいね。あたしにも、電ちゃんにも
提督,まったく、阿武隈には敵わないな
電,笑いながら言うことじゃないのです。司令官と阿武隈さんはとっても暖かくて……電はこの場所が好きなのです
暁,電、阿武隈さん、それに司令官ーっ！どうしたの？もうみんな行っちゃうわよ！
電,暁ちゃん、今行くのですーっ。阿武隈さん、一緒に行くのです！
阿武隈,うん、そうだね！早く行かないと暁ちゃん達を待たせちゃう
提督,せっかくの皐月のお披露目だ。私も行かないとな
電,はい！司令官も一緒に行くのです！
