依田芳乃,はいー、何やら悪しき気がぶおーと集まっているのでしてー
愛海,和久井さんが謝ることないよー！
凛,怖かったけど
愛海,めっちゃ怖かったけど
芳乃,……
凛,芳乃？
芳乃,……
留美,これは、ほら貝？……これを私に？
芳乃,……。どうかー、お納めくださいー
凛,なんか勘違いしてない！？
留美,あ、ありがとう……いただくわね……
愛海,あ、そっか、試験の方は……
留美,……
凛,……
愛海,ま、まぁそのっ、内容は和久井さんの圧倒的優位だったけどね！最後がその……
留美,……
凛,……
留美,無効試合にしましょう
凛,そうですね
愛海,……ｯｽ
凛,最後、プロデューサーは反撃を考えるあまり……自分の首を絞めて、和久井さんを逆撫でして……
愛海,恐るべし和久井モア……
留美,……これは試験、だったのよね
凛,和久井さん？
留美,ないとは思うけれど、ありえないことではない……他のプロデューサーからのスカウト。もし、最後があんなことになっていなかったら。あの先は……どうなっていたのかしら……
凛,……
愛海,………
凛,……キスしてたよ
愛海,……キスしてただろうよ
留美,P君
P,……ぁ、和久井、さん……
留美,まず真っ先に、貴方に謝らなければいけなかったのに……。色々酷いことも言ってしまったわ……本当にごめんなさい
P,いえ、俺の方こそ……俺なんて、自分の不出来ぶりを棚上げして、偉そうに
留美,……いいの。いいのよ
P,和久井さん……
留美,それと、見せてはいけないような姿も見せてしまって……。……忘れてくれる？
P,え……っと
留美,……
P,……
留美,やっぱり忘れないで
P,え？
留美,忘れられたら困るわ。貴方の瞳の中に映っている私が……あまりに切なげな顔をしてるんだもの
P,っ……
留美,ふふ、少し意地悪をしてしまったわね
P,いえ……
留美,その代わり、私もP君が反省してる部分については、見逃してあげるから……ね？
P,はい……
留美,と言うより、これは……何というか
P,？
留美,弱みよ……そう、弱み。……貴方に握られてしまった弱み
P,わ、和久井さん、その話はもう
留美,違うの……そうじゃなくて……。……れた弱みってやつなの
P,え……よく聞こえな
留美,
P,あいたっ！
留美,……馬鹿
凛,……
愛海,……
留美,……さて。もういい加減遅い時間になってしまったわね。私はそろそろお暇させてもらうわ。二人も……今日はお疲れ様
凛,あ、はいっ
愛海,……ｯｽ
留美,芳乃ちゃんも……ばいばい
芳乃,でしてー
P,和久井さん
留美,P君……また今度ね
P,！？
留美,それじゃあ
P,………
愛海,………
芳乃,………
凛,……で、どうするの？
P,……
凛,まだ続ける気？もう限界なんじゃない？
P,……そうだな。危険があることだってわかったし……色々考えなくちゃならないことも
凛,……和久井さんの事とかね
P,うぐっ
凛,まあ、それを言い出したら和久井さんだけじゃないけど。拓海さんとのことだってそうだし。……あと私のことも
愛海,そうだね……ここいらが限界かもしれないね……。うん、今日のところはこれくらいにしとこっか
凛,……は？。いや、は？
愛海,一日にそう何人とも絡めないよね、最初はこんなもんだよ、上出来上出来。でもこれから徐々にペースを
凛,それってこのゲームやめないってことじゃん！！
愛海,……ふぇ？
凛,ふぇ？じゃないよ！なんで急に可愛いキャラ出してくるの腹立つ！！
愛海,まぁまぁ。今はまだ最初だから拙い部分もあるかもしれないけど徐々に良くなってくるから、そういう時期だから
凛,言っておくけど認めてないからね！？私反対だからね！？
愛海,ふにゅぅ～～～
凛,くぅうううっ……ねぇ芳乃はどうするの！まさかこれ以上
芳乃,わたくしは、痛感したのでしてー……己の未熟さをー
凛,へっ
芳乃,ならばこそ、さらなる修練のためー、一度とおくの方へー
凛,どこ行く気なの！？あっ、それってつまり芳乃もやめないってことじゃ
芳乃,ふにゅー
凛,可愛いけど！可愛いけどさ！！
P,よし、今日は一度解散だ。それぞれ考えを深めてまた持ち寄ろう
凛,ただの先延ばしだよそれ！プロデューサーそういうとこダメだよ！
愛海,よーっし、あたしも身体が火照ったままだから、お風呂行って女体浴びてこよーっと
凛,は、犯罪者が……
芳乃,わたくしもー、何やら夏に大きなお祭りがあると聞きましたのでー
凛,こっちはこっちでっ……！というか例のあの二人どこ！？私言うことあるから！！
芳乃,凛もおいでー
凛,え、うん……いや行きたくない！ていうか止める！！
芳乃,行きたくはないのですかー……
凛,やっ、あ……だから
芳乃,……
凛,それ卑怯だよもおぉ……！
愛海,じゃあねー、今日はお疲れ様ー
凛,ああぁアッチの犯罪者が
芳乃,ねーねー
凛,わかったから！わかったからちょっと待ってお願い！
P,なんだかんだ仲良くなったよな、お前たち三人も……うんうん
凛,いや、これそういうんじゃなくてっ……違うからっ……あああぁもうっ！。いい気分しないーーーっ！！
これは師匠と芳乃の危険もチェックしなきゃいけませんねえ,ゲス顔
