このスレッドは,とある魔術の禁書目録
フレンダ,......まぁ、距離は前より結構縮めた方だと思う訳よ
麦野,ほー
フレンダ,メールだって毎日10通以上はやりとりして、暇さえあれば電話してるのよ。上条の事でなんでも知りたいから好きな料理とか好きな芸能人とかいっぱい聞いてる訳
絹旗,ほうほう
フレンダ,勿論、デートだってしてる訳よ。上条の下校中にバッタリ会ってそこからお茶しに行ったりね
滝壺,ふれんだ、やるぅ
フレンダ,それでね！約束取り付けたら上条、今度私の家に遊びに来てくれるって！キャー///
麦野,おーやるじゃない、フレンダ
フレンダ,にへへー///
絹旗,はい。本日一発目のデレンダモード超いただきましたー
滝壺,これはもうかみふれになるのも時間の問題
フレンダ,甘いよ滝壺。浜面から聞いた話だと上条はかなりの鈍感でモテ男だからそう簡単には。そうなんだよねー...
滝壺,かみじょうは間違いなく鈍感オブ・ザ・イヤー受賞出来る人材だね
麦野,とんでもない男に惚れてしまったな
フレンダ,正直私では上条の隣に立てそうになれない訳よ
滝壺,そこで諦めちゃダメだよふれんだ
フレンダ,滝壺...
絹旗,そうですよ。まだ上条は誰とも超付き合ってないのですからチャンスはいくらだってありますよ
フレンダ,絹旗...
麦野,フレンダらしくねーぞ
フレンダ,...そうよね。まだ終わってないもんね
滝壺,むしろ、これからだよ
フレンダ,よっしゃあ！待ってろよ上条！！
店員,お、お客様？もう少し静かにしていただけませんか？
フレンダ,あっ...す、すみませんでした
麦野,(アホ...)
フレンダ,(約束まで後30分。後30分経てば我が家に上条がやって来る訳よ///)
フレメア,お姉ちゃん、何も玄関で待たなくてもいいんじゃない？
フレンダ,別に何処で待ってようが私の勝手じゃない。此処ならすぐに応対出来るって訳だしさ。う、うっさいわね！
フレメア,にゃあ。私は上条が来るまでこたつでぬくぬくして待ってるのだ
フレンダ,はいはい。......。(上条、早く来ないかなー)。後10分！やっばー！心臓がバクバクして来た訳よ)。......。(あーもう静まれー！！エンド・オブ・エターナル・インフィニティ！！)。(キターー！！)
上条,オース
フレンダ,おっはろー上条、よく来てくれた訳よ。さぁさぁ狭い所だけど上がって上がって
上条,お邪魔しまーす
フレメア,にゃあ。おはよう、上条
上条,おはよう、フレメア。おっ、暖かそうな所に入ってるな
フレメア,大体上条もコタツに入るといいのだ
上条,ではお言葉に甘えてと。あー暖けぇ
フレメア,みかん食べる？甘くて美味しいぞー
上条,じゃあ一個頂くな
フレンダ,お茶淹れてくるわね
フレメア,にゃあ。私の分もお願い
フレンダ,分かってる訳よ
上条,みかんうめぇな
フレメア,上条上条
上条,ん？
フレンダ,今日のお姉ちゃん見て大体いつもと違う所に気付かないか？
上条,違う所......うーん、分かんねぇな。いつもと同じなんじゃね？
フレメア,にゃあ。これだから上条は浜面から鈍感って言われるだっ！足見てみぃ
上条,足？
フレメア,いつもパンスト穿いてるお姉ちゃんが今日に限って穿いていない。生足なのだ
上条,あっ、本当だ
フレメア,しかもスカートがいつもより丈が短いの着てるからより露出があって自慢の脚線美がより輝いている
上条,ああ、メッチャ綺麗だな。生足にした事によって色気がムンムンと出てやがるぜ
フレメア,だからと言って襲っちゃダメだよ？襲うなら大体私の居ない時にやってね。にゃあ
上条,襲わねーよ
フレンダ,あれ？何か落ちてるわね。なんだろう？
上条,(OH～)
フレメア,見たよね？
上条,え？な、なな何の事でせうかね？
フレメア,ぱんつ
上条,み、見てませんよー
フレメア,本当に？
上条,本当だ
フレメア,何色だった？
上条,黒でした！あっ...
フレメア,見てるじゃん...
上条,し、仕方がねーだろ？見えてしまったんだからさ。不可抗力だぞ
フレメア,にゃあ。別に言い訳しなくてもいい。大体私はパンチラぐらいで軽蔑しないから
上条,そ、そう...
フレメア,まぁそっちの方が健全だから全然問題はないぞ。大丈夫だからお姉ちゃんにチクったりしない
上条,それはどうも
フレンダ,なーに2人でコソコソ話してる訳よ
フレメア,なんでもない。ただ、お姉ちゃんの足が凄い綺麗だなって上条が言ってたのだっ
フレンダ,なっ！？///
上条,ちょ！？フレメアさん！？
フレメア,嘘は言ってないのだ
上条,それはそうだけど...
フレンダ,もぉー上条ったらまたそうやってストレートに言っちゃって...///。(やっべー！足が凄い綺麗だなんで言われたら凄い嬉しいじゃない！！ニヤケが止まらない訳よ！さらに好きになってしまうじゃない！！///)
フレメア,うわぁ、今日のお姉ちゃんはいつも以上に気持ち悪い...
フレンダ,(結局、私の脚線美は世界一な訳よ。ウフフ)
フレメア,にゃあ。あっがりー
上条,だぁーまた負けた！これで5連敗だ
フレンダ,上条、いくらなんでも弱過ぎな訳よ
フレメア,大体ババばっかり引いてる奴に負ける気がしない。まだ打ち止めの方がマシなのだっ！にゃあ
上条,せめて...一勝ぐらいはしたい
フレメア,もうやめとけ。上条じゃあ相手にならん！出直して来るのだっ！
フレンダ,たかがババ抜きぐらいで威張るんじゃないの
フレメア,にゃあ。大体お腹空いた
フレンダ,あら？もうこんな時間な訳？それじゃあ夕食としましょうか
フレメア,にゃあ。私はたこ焼きが食べたいのだっ！
フレンダ,たこ焼きね......一応プレートはあるけど、私じゃあ上手く作れない訳よ
上条,ん？たこ焼きだったら俺作れるぞ
フレンダ,マジで！？上条、たこ焼き作れるの！？
上条,ああ。友達が俺ん家に遊ぶ時はよく作ってたからな。自信はあるぞ。(インデックスの時もあるけどな...)
フレメア,にゃあ！上条がやってくれるならお願いするのだっ！
フレンダ,じゃあ、頼んでいいかな？
上条,おう。任せとけ
フレンダ,
フレメア,良かったねお姉ちゃん。上条の手料理が食べられるぜ
フレンダ,(上条の料理...イヤッフゥゥゥゥゥゥウウウウ！！)。よし。そうと決まれば材料調達しに行く訳よ
上条,えっと、たこはこれでいいかな？
フレンダ,ちゃんとしたたこであればなんでもいい訳よ
上条,あいよ。お次は生地となる小麦粉コーナーだな
フレンダ,(うっひょお！こうやって男女がスーパーで買い物なんて新婚みたいじゃない！いいね！ハイな気分な訳よ！)。ねぇねぇ上条、私たこ焼きにサバ入れてみたいんだけど？
上条,おいおいそれではサバ焼きだぞ
フレンダ,いいじゃない。新しい発想があってさ、試しにサバ入れてみようよ
上条,別に構わないけど。そのかわりたこは入れないぞ
フレンダ,やたぁー、じゃあ後ね...ヒソヒソ
上条,ふむふむ、え？それも！？まぁいいけどよ
フレンダ,物は試しにやってみるって訳よ
上条,つかフレメアはどこに行った？
フレンダ,あっち
フレメア,にゃあ。新作のチョコパイGETなのだっ！
上条,ハハハ...やっぱ小学生だよな
フレンダ,はいはい。これは必要ないから戻した戻した
フレメア,にゃあああああ！！買ってくれたっていいじゃないかっ！？お姉ちゃんの鬼！悪魔！
フレンダ,はいはい。なんとでも言いなさいな
フレメア,お姉ちゃんのちᘄぱい！ツルペ夕！ブラ着けたのが私よりも三年遅かった癖に！
フレンダ,なんだとコラァ！！
上条,コラコラ、こんな所で姉妹喧嘩はやめなさい
打ち止め,おや？なんだか聞き覚えがある声のある方に来てみたらやっぱ貴方達だったのかとミサカはミサカはちゃおーと挨拶してみる
一方,クソガキ、そこはこンばンはだぞ
フレメア,出たな！お子様めっ！
打ち止め,お子様て言う方がお子様なのだ！とミサカはミサカは負けじと言い返してみる！
上条,よぉ、一方通行に打ち止め。お前らも買い物か？
一方,スーパーに来てるンだからそれしかねェだろォ
打ち止め,今日の我が家のご飯はお好み焼きなのだとミサカはミサカはソースとマヨネーズが絡んだ食感がを早く食べたい
上条,そっちはお好み焼きかぁ......でも一方通行の所だとお好み焼きも炊飯器でやっちゃうのか？
一方,いや、ちゃンとホットプレートでやるに決まってンだろォがァ！むしろ見て見たいわ、炊飯器でお好み焼きなンてよォ
フレメア,にゃあ。そっちがお好み焼きならウチの今日の夕食はたこ焼きなのだっ！
打ち止め,なんとっ！？ここに粉物料理の全面戦争勃発するのかっ！？とミサカはミサカは大袈裟なボケをかましてみたり
上条,上条さんはマヨチーズすな。チーズとマヨネーズの組み合わせは食欲誘ういい香りを漂わせて非常にたこ焼きに合うんだわ
一方,やっべェ、ンな話してたらたこ焼きが食いたくなるなるじゃねェかァ！
上条,だったら今度浜面も連れてたこ焼き食べに行こうぜ
打ち止め,たこ焼きって回すのが難しいんだよね。それで？誰が作るのってミサカはミサカはもっとも気になる部分を問いかけてみる
フレメア,上条が焼いてくれるのだ
一方,ほォー、だから妹連れての買い物デートしてンだなァ。上条くンよォ
フレンダ,ち、ちちちちが///
上条,違えよ。デートな訳がねーだろ
フレンダ,
打ちフレ,(あーあ...)
上条,大体デートって言うのは好きな人同士でするもんで...ってフレンダどうした？
フレンダ,別に...。(そんなにハッキリと否定しなくてもいいじゃない...上条の馬鹿、唐変木)
一方,(三下の鈍さは絶対能力者並みだなァ)
フレンダ,はぁ...
打ち止め,フレメアのお姉さん、困難に挫けちゃダメだよってミサカはミサカはアドバイスを送ってみる
フレンダ,ありがとうな訳よ
一方,そンじゃあ、さっさと買い物済ませて帰ンぞォ。腹減ってきたわ
打ち止め,じゃあねー
上条,またなー
フレメア,にゃあ。大体寒さが肌にジンジンと伝わって来るのだ
上条,冬将軍の到来がもうすぐだもんな
フレンダ,早く帰ってこたつでぬくぬくしたい訳よ
フレメア,こたつに入りながら食べるたこ焼きは美味しいかな？にゃあ
上条,ああ、凄えうめぇと思うぜ
フレメア,にゃあ！なら楽しみなのだっ！
フレンダ,あー手が冷たっ
上条,......。フレンダ
フレンダ,ふぇ？か、かかかか上条！？///
上条,こうすれば温かいだろう？
フレメア,(ナイス！上条)
フレンダ,あわわわわ///(上条から手を握ってくれたぁ！ホワァァァァァ！！)
上条,嫌か？
フレンダ,い、嫌な訳がないわ！む、むしろ、ちょちょ超嬉しいに決まってる訳よ！///
フレメア,絹旗のアイデンティティが出ちゃってるよ？
上条,フレメアも手繋ぐか？
フレメア,いい。大体、私は浜面以外の男とは手を繋がない事に決めてるからな
上条,そっか
フレンダ,(やっべぇ！やっべぇよ！私最高にハッピーな訳よ！)。(あー上条の手って大きいわね。出来れば一生繋いでたい訳よ)
上条,(女の子ってこんなに小さいんだなー。なんと言うか守ってあげたい感じかな？)。(やっべぇ！自分から手を繋いどいてなんかドキドキして来ちゃいましたよ！なんだこの気持ちは...///)
フレメア,(ん？上条の顔が赤くなってる......)
上条,///
フレメア,ほのぼのしてていいなー。大体私もいつか浜面とラブラブしたいのだ
上条,そろそろひっくり返す頃だな
フレンダ,早く食べたい訳よ
フレメア,にゃあ
上条,よっと
フレンダ,おー上手い上手い。さすが上条
フレメア,大体手慣れてる感じなのだ
上条,もうちょいしたら出来上がりだ。ほーい完成だ
フレメア,にゃあ。待ちわびたぜ
フレンダ,上条、サバが入ってるのってどれ？
上条,これこれ
フレメア,ソースとマヨネーズ注入
フレンダ,私はポン酢で頂く訳よ
上条,青のりも忘れずにと
フレンダ,いっただきまーす
フレメア,にゃあ
フレンダ,......うんうん！ベリーグッドな訳よ！美味しい！つかサバ焼きうまっ！
フレメア,にゃあ。ほくほくしてて美味しいの！やるな！上条
上条,だろ？たこ焼きに関しては美味いって言わせるぐらい自信があるんでな
フレンダ,うん。これは絶品と言ってもいいぐらいな訳よ。これはサバ缶が進む進む
上条,サバ缶が進むって......フレンダにとってサバ缶は主食なのか？
フレメア,大体お姉ちゃんはあんまりごはん(白飯)食べない方だからな。ほぼ毎日の食卓にサバ缶は必ずあるし、だから貧相な体をしてるのだっ！
フレンダ,うっさい！私はまだ成長期な訳よ！後何年かすればね、麦野以上のパーフェクトボディになれる訳よ！
フレメア,にゃあ。無理無理。寝言は寝て言うものなのだ
フレンダ,上条?フレメアが苛めてくるんだけどぉ?
上条,あーよしよし
フレンダ,ちょ！？な、なんで撫でる訳よ！？///
上条,あっ、悪りぃ悪りぃ。フレンダのサラサラな髪を見るとつい撫でたくなってな
フレンダ,はうー///
フレメア,2人共、イチャつくならご飯の後にしてくれない？たこ焼きが甘くなってしまうのだっ！
上フレ,すいませんでした...///
フレメア,にゃあ。お腹一杯なのだ
フレンダ,いやー結構食べた訳よ。美味しかったわ上条
上条,お粗末です
フレメア,またたこ焼き作ってね
上条,おう。今度やる時は浜面達も誘うか
フレンダ,上条、時間の方は大丈夫なの？
上条,うん？もうこんな時間か...そろそろお暇しないとな
フレンダ,(帰っちゃうか......もっと一緒に居たいな...)。(まだこの幸せな時間を楽しみたい！延長したい！帰したくない！だから...だから！勇気を出すのよフレンダ！)
上条,そんじゃあ帰るな
フレンダ,ちょっと待って！
上条,ん？なんだ？忘れ物したかな？
フレンダ,あのさ、上条。今日...///
フレメア,(にゃあ。お姉ちゃん行けー！)
フレンダ,と...と、ととととと///
上条,と？
フレンダ,とととととととても楽しかった訳よ！！
フレメア,
上条,ああ、俺も楽しかったぜ
フレメア,(にゃあ。だから麦野達からヘタレンダと言われるのだ。しょうがない、助け舟を出してやろう)。上条、お姉ちゃん言いたいのは感想じゃなくて今夜泊まって行けって言いたかったのだ
上条,え？
フレンダ,ちょっと！？フレメア！
フレメア,にゃあ。大体明日も休みなんだしさ、今日はゆっくり此処で泊まる事をお勧めするのだ
上条,お泊りね...
フレメア,ほらお姉ちゃん。言って
フレンダ,え、えっと...まだ上条と遊びたい訳だし、だ、だからさ、良ければ私の家に泊まって行かないかな？///。///
上条,(可愛いな。どうする？ここはご好意に甘えべきなのか？)
フレンダ,ど、どうする訳？///
上条,(うん。ダメだ。この可愛いさに上条さんはKOですわ。断れる訳がない)。じ、じゃあ、泊まって行こうかなー
フレンダ,
上条,(まぁインデックスも小萌先生に泊まり行ってるから困りはしないな)
フレンダ,それじゃあお風呂沸かして来るから先に入っちゃいなよ
上条,俺が先で良いのか？
フレンダ,お客さん優先は基本中のマナーでしょ？シャンプーとボディーソープは自由に使っていいからね
上条,では入ってくるわ
フレンダ,うん。......。にへへ。(やっべー！私やっべー！初めて男の人を泊めちゃった訳よ！！こんな超嬉しいシチュエーションは生まれて初めてな訳よ！)。(ウフフフフフ！ニヤケが止まらないわ)。(この後どうしようかな？先にフレメアを寝かせ、私と上条で私の部屋で素敵な夜更かしタァイム！)。(そしてトークもほどほどに眠くなった2人は同じベッドで就寝。でもお互いドキドキしててなかなか寝付けない)。......。(一応、もう一枚の勝負下着用意しとこ。べ、別に期待なんかしてる訳ではないけどねっ！！い、一応よ！一応///)
フレメア,さっきから気持ち悪すぎ
フレンダ,はっ！いつから居たの？
フレメア,大体最初から居たんだけど
フレンダ,......
フレメア,お姉ちゃんって時々周りが見えなくなる時があるんだよね。にゃあ
フレンダ,う、うっさいわね
フレメア,大体さ、何か大事な事忘れてない？
フレンダ,何を？
フレメア,上条の着替えって用意してあるの？
フレンダ,。あーー！そうだった訳よ！どうしよ？男の人の服なんかある訳ないし！
フレメア,ある方が変だけどな
フレンダ,......こうなったらデリバリーを頼む訳よ
フレメア,デリバリー？何か手があるの？
フレンダ,ウチにはいい便利屋が居るじゃない。つべこべ言わずにすぐに持って来いな訳！これは上司からの命令よ。滝壺のマル秘写メ三枚。よろー
フレメア,浜面...
フレンダ,これで解決な訳よ
フレメア,にゃあ。私の浜面にあまりコキ使わないで欲しいのだ！
浜面,おーいフレンダ、持って来てやったぞ
フレンダ,ありがとう。もう帰っていい訳よ
浜面,えーせめて理由だけで
フレンダ,報酬は後で送るから。お休み
浜面,......。...まぁいっか。男物の靴が見えたから大体の予想がつく。まったく、人使いの荒い上司さんだぜ
フレンダ,上条！着替え置いとくよ。これでよしと。(......やっばぁ?ガラス越しでも上条の裸のシルエットが見える訳よ///)。(さっさと戻ろう。じゃないと逆ラッキースケベ的なイベントが発生しそうだし...あーでもそれはそれで逆にご馳走様...って何考えてる訳よ！？///)。(.....戻ろっと)
上条,お風呂ありがとな
フレンダ,どう致しまして。(パジャマ姿の上条も似合ってるわね。浜面のだけどなかなか色っぽい訳よ///)
フレメア,にゃあ。上条、風呂上がりの牛乳いかが？美味いぞ
上条,おーサンキュー。頂くよ。プッハァー！風呂上がりの牛乳最高
フレンダ,次は私達ね。フレメア、行くよ
フレメア,にゃあ
フレンダ,コラ！ちゃんとシャンプーハット着けなさい
フレメア,にゃあ！あんなお子様が着けるような物は必要ないのだっ！
フレンダ,シャンプーが目に入ったら大変じゃない
フレメア,大体自分で洗うからいい。出来るからお姉ちゃんは湯船に浸かってればいいのだ
フレンダ,はいはい分かった訳よ。
フレメア,にゃあ♪にゃあ♪
フレンダ,(あー気持ちいい)。......。(今日はあっという間だった訳よ。上条が家に遊びに来て、上条と遊び、上条と買い物し、上条とご飯を食べる。これだけ最高な一日は今までなかった訳よね)。にへへ
フレメア,(最高に気持ち悪い...)
フレンダ,お待たせ
フレメア,にゃあ
上条,おう、結構長く入ってたな
フレンダ,女の子のお風呂は長いって訳よ
上条,(うむ。パジャマ姿のフレンダもなかなかのものですなー)
フレンダ,TV良いのやってる？
上条,ないな。何も面白い番組やってないからdデータで気象情報観てるところ
フレンダ,どう？明日の天気
上条,今日よりかなり冷え込むってさ
フレンダ,うわぁ、まだまだ厳しい寒さが続くって訳ね
フレメア,にゃあ。あまり外に出たくないね
フレンダ,フレメア、そろそろ寝なさい
フレメア,えー大体まだ寝たくない
フレンダ,ダーメ。お子様はこの時間には寝ないとならない訳よ
フレメア,にゃあ！私は大人のレディーだからまだ起きててもへっちゃらなのさ。問題ない！
フレンダ,そう言えば浜面は早寝する子は好きだなーと言ってたような
フレメア,ホットミルク飲んで自分の部屋に戻るのだ！
フレンダ,歯磨きも忘れずにね
上条,単純だな...
フレンダ,(ゴメンね。ほんの少しだけでも長く上条と2人っきりになりたいからさ)。ねぇ上条、まだ夜も長い事だしさ、これから夜食でも食べない？///
上条,夜食？おーそれはいいですな。何かおつまみでもあるの？
フレンダ,良いのがありまっせお客さん
上条,それじゃあ寄って行こうかな
フレンダ,ありやしたー...ってよくわからないノリになっちゃったけど今用意するから待っててねー。お待たせ。まずはチーズに
上条,チーズはおつまみには欠かせないよな
フレンダ,後はポテチにポッキー
上条,ふむふむ。菓子類も外せないな
フレンダ,んでメインはサバ缶と
上条,ここでもサバ缶かいっ！！
フレンダ,それじゃあ頂くとする訳よ
上条,チーズもーらい
フレンダ,ジュース飲む？
上条,飲む飲む
フレンダ,注いであげるわよ
上条,なんか悪いな
フレンダ,お酌してるみたいな訳ね
上条,旦那さんにビールを注ぐ奥さんな感じだな
フレンダ,お！？おおおおおおおお奥さんって！！？私が奥さんで上条が旦那ってホワァァァアアアアアア！！///
上条,落ち着けって！！あー零れてる零れてるぅ！！
フレンダ,あっ...ごめん。でも上条が変な事言うから...///
上条,うーん変な事言ったつもりではないんだがな...
フレンダ,メチャクチャ意識するじゃない...///
上条,なんか言った？
フレンダ,なんでもない。なんでもない訳よ！///
上条,しっ！声が大きいって。フレメアが起きちゃうよ
フレンダ,あっ...ごめん
上条,...コホン。とりあえず気を取り直して夜食食べるか？
フレンダ,うん
上条,その前に拭かないとな
フレンダ,なんか悪いわね
上条,よし。それじゃあ食べるとすっか。ご馳走様
フレンダ,お粗末な訳よ
上条,お片づけお片づけと
フレンダ,あー私がやるからいいって。お客なんだから
上条,いやー泊めてくれるんだから何かやらないと悪い気がしてな
フレンダ,お客にやらせる方が悪い気がするって訳よ。片付けは私がやるからゆっくりして！
上条,じゃあさ、一緒に片付けるならどうだ？一緒にやれば早く終わるぜ
フレンダ,そ、それはそうだけど...
上条,頼む。泊めてくれる身、何かやらないと上条さんの気が済まないんだ
フレンダ,(ちょ！？顔が近い近い！近すぎる訳よ！///)。じ、じゃあお願いしちゃおうかな？///。......
上条,......
フレンダ,ごめんね、なんか手伝わせちゃって
上条,いいって。さっきも言ったように一緒にやった方が早く終わるしな
フレンダ,ま、まぁね。(上条って優しいなー。この優しさが私にとってはたまらない訳よ)。(あーそっか、私って上条のこういう所が1番好きな訳よね)
上条,
フレンダ,(麦野、絹旗、滝壺、浜面、フレメア、私は今最高に楽しいって訳よ)。これで終わりっと
上条,お疲れ様
フレンダ,ありがとね。とても助かった訳よ
上条,どう致しまして
フレンダ,ありゃ？12時過ぎちゃったね
上条,もうこんな時間か...
フレンダ,そろそろ寝ないとね
上条,えっと、上条さんは何処に寝ればいいでせうかね？フレンダさん
フレンダ,あっ......ど、どうしよう...上条の寝床考えてなかった訳よ...
上条,まぁ上条さんは何処だって寝れますからあそこのソファーだっていいし、なんなら床だって全然構わないよ
フレンダ,だ、ダメよ！お客にそんな所で寝かせるなんて失礼な訳よ
上条,なら何処で寝れば...
フレンダ,し、し、しししし仕方がないから...仕方がないから///
上条,仕方がないから？
フレンダ,わ、私の部屋で寝る訳よ///
上条,なんだと...
フレンダ,ど、どうぞ///
上条,お、お邪魔します
フレンダ,(やっべー！私とんでもない事しちゃった訳よ！自分の部屋で上条と一緒に寝るのよ！？好きな人と寝るのよ！？///)。(問題が起こるとは限らないけど、相手が上条じゃあ変な方向に意識しちゃう訳よ！そ、その保健体育的な意味で///)。(ま、まぁ万が一の為に勝負下着は装着してるしバッチコイな訳よ！！///)。(ってまた私はまた変な事を......あーあこれじゃあ麦野からビッチて言われる訳だわ)。(やめやめ。上条がそんな事してくる訳がないんだし。べ、別に期待なんては全くないよ！？///)
上条,フレンダ？
フレンダ,ちょっと待っててね。今布団敷いちゃうから
上条,ああ。(おいおいフレンダの奴、男の人と一緒に寝てて大丈夫なのか？ちょっと無防備じゃねぇか？。(いや、それはないか。ちゃんと俺を信じたうえで自室に招いてくれたんだろうし)。(だから俺はしっかりと紳士的な行動を取らなければならない！)
フレンダ,敷いたわよ
上条,(ベッドの隣...)
フレンダ,どうぞ
上条,し、失礼します
フレンダ,電気消すね
上条,ああ。......
フレンダ,......
上条,......
フレンダ,......
上条,......
フレンダ,......
上条,......
フレンダ,......
上フレ,(寝れねぇ！！
上条,(だって憧れのフレンダが隣で寝てるんだぜ！？んでもってさっきから俺の心臓がバクバクうるせー！)
フレンダ,(上条が隣で寝てるから意識するあまり私が寝れる訳がないよー！！さっきからドキドキしっぱなしだし、どうすればいい訳！！？)
上条,(そ、そうだ！御坂妹で数えれば良いんだ！どうせ9968人まで数えてるうちに夢の中に入るだろうしな)。(御坂妹が1人、御坂妹が2人、御坂妹が三人...)
フレンダ,か、上条？まだ起きてる？
上条,は、はい。起きてますよー
フレンダ,ありゃ？上条も寝付けない訳ね
上条,ま、まぁな
フレンダ,わ、私もなのよねー
上条,そっか
フレンダ,...ねぇ、もう少しお喋りする？
上条,どうぞ
フレンダ,か、上条って今す、好きな人居る？
上条,好きな人？それがまだ居ないんですわ
フレンダ,(居ないか...でも少し安心した)
上条,そういうフレンダはどうなんだ？
フレンダ,私は...居るよ。好きな人
上条,なにぃー！！？
フレンダ,ちょ？声が大きいって
上条,ごめん。フレンダに好きな人が居るのが結構驚いちゃって
フレンダ,そんなに驚く？
上条,だってこんな超可愛い美少女が恋をしたなんて言ったら俺だけじゃなくてそこら辺の男もビックリするぜ
フレンダ,(またこの男はさらりと可愛いなんて言っちゃってさ///)
上条,うむ。フレンダに好かれる男はかなり幸せ者だ
フレンダ,
上条,で？誰なんだろうなフレンダのハートを射止めちゃった男って
フレンダ,(アンタだよ！アンタ！！)
上条,頑張れよ。頑張ればきっとその男と付き合えるはずさ。だから俺はフレンダの恋を応援するよ)
フレンダ,(もう頭にキタって訳よ！！いいわよ！こうなったら此処で告白する訳よっ！)。(見てなさいよ上条！私の本気を！私の想いを精一杯アンタに伝えるから！)。上条、よく聞いて。実は私、貴方の事がす......へ？
上条,
フレンダ,(なんでこのタイミングで寝ちゃう訳ぇ！！？馬鹿じゃないの！？バッカじゃないの！？)。(折角、人が勇気出して伝える場面でアンタはもう...)。はぁ...結局、私は大事な所では上手く行かない訳よ...
上条,
フレンダ,寝よ。お休み、上条。zzz......んー。...もう6時かぁ、そろそろ日の出な訳ねぇ。
上条,
フレンダ,そっか、昨日上条を泊めたんだっけ？
上条,
フレンダ,
上条,
フレンダ,。(一枚頂き！)。(待ち受けに設定と)。(よし。これでいつでも好き人の顔が見れるって訳よ)
上条,
フレンダ,......。エイッ
上条,んー
フレンダ,(やばっ！？)
上条,
フレンダ,(セーフ...)
上条,
フレンダ,上条、おっきろー。起きないとチューしちゃうぞ？
上条,
フレンダ,ホラ、早く起きないとチューしちゃうよ？いいの？本気でキスしちゃうよ？3、2、1ハイ
上条,
フレンダ,......起きなかったのでキス決定ね。言っとくけど全然起きない上条が悪いんだからね///
上条,
フレンダ,じ、じゃあしちゃうからね？マジで行くよ///。んー
フレメア,
フレンダ,ちょっと待て。いつから居た？
フレメア,にゃあ。大体私の事はいいから早く続けたまえ
フレンダ,出来るかぁ！！ボケェー！！
フレメア,あーそんな大きい声出したら
上条,ん？もう朝かぁ...おはよう
フレンダ,......お、おっはー...///
上条,あーよく寝れたぜ
フレンダ,そ、それは良かった訳よ......ちょ、朝食作って来るね
フレメア,にゃあ。惜しかったのだ
上条,何が？
フレメア,秘密
フレンダ,出来たわよ
フレメア,にゃあ。今日の朝ご飯は豪勢なのだっ！
上条,パンケーキとスクランブルとベーコンにサラダとヨーグルトかぁ
フレンダ,洋食は嫌いだったかな？
上条,上条さんは基本好き嫌いはないから大丈夫だ。にしてもフレンダの手料理が頂けるなんて夢みたいだぜ
フレンダ,ば、馬鹿！何言ってる訳よ！？もう...///
フレメア,にゃあ。早く食べよう？
フレンダ,では
上フレフレ,いただきます
上条,
フレンダ,ど、どう？お味の方は
上条,......フレンダ
フレンダ,はい
上条,最高！デリシャス！
フレンダ,でしょ？私だって一応料理ぐらいは出来る訳よ。特にパンケーキは私の自信作って訳よ
上条,ああ、確かにこのパンケーキはうめぇ。これは何度だって食べたいわ
フレンダ,な、何度だってもうー。か、上条さえ良ければいくらでも作ってるあげる訳よ///
フレメア,うまうま
上条,そんじゃあ帰るな
フレンダ,もうちょっとゆっくりしてけば良いのに
上条,家の事があるんでこれ以上はちょっと...
フレメア,にゃあ。また遊びに来るといいのだっ！
上条,おう、機会があったらな。フレンダ、ありがとな。泊めてもらっただけではなく朝食までご馳走になってさ
フレンダ,良いって訳よ。お客さんをおもてなしするのは当然の事だしね。じゃあ、気を付けてね
上条,またな
フレンダ,......。楽しかったわ
浜面,ホラ、ドリンクお待たせ
麦野,ご苦労
絹旗,うーん今月は特にこれと言ってグッと来る作品が超ありませんね
滝壺,北北東から電波をキャッチ
フレンダ,
麦野,あー暇ね
絹旗,本当。観たい映画が超ありませんし
滝壺,
浜面,滝壺、寝ちゃ駄目だー
フレンダ,
麦野,つーかさっきから何ニヤニヤしてんだよそこの金髪さんはよ
フレンダ,......ふぇ？わ、私！？
麦野,金髪はテメェ以外居ねぇだろうが。ったく、あまりにもキモすぎて食欲が失せるわ
フレンダ,それヒドくない！？
絹旗,ええ。今のキモさは普段の浜面よりも超凌駕してますね
浜面,ねぇ？普段からってのは酷すぎじゃね？やめて
フレンダ,それは嫌じゃぁぁぁあああああ！！
滝壺,大丈夫。私そんなキモいふれんだを応援す......ごめん、応援出来ない
フレンダ,滝壺！そこは応援してよ！励まして欲しい訳よ！
麦野,どうせ上条の事で妄想でもしてんだろう
フレンダ,ち、違うって///
麦野,あー悪りぃ悪りぃ違ったな。上条の事で工口イ妄想してんだっけ？うわぁームレンダだよムレンダ
フレンダ,してる訳ないでしょうが！！何馬鹿な事言ってる訳よ！///
絹旗,好きな人の事を考えるとあらぬ方向に行っちゃうのも無理はありませんよ。超ムレンダ
フレンダ,ムレンダやめて！私工ッチな子じゃないから！///
滝壺,どーどー落ち着いて。むれんだ
フレンダ,この場には私の味方が居ないのかぁ！！
浜面,(俺は黙ってた方がいいな。余計な発言はまず俺にも被害が来る)
麦野,まぁまぁこんな時は愛しの上条きゅんに慰めてもらいなさいよ
フレンダ,だーかーら！！いい加減にして！
絹旗,そうそう。上条なら超優しくてくれますって。例えばこんな感じに
浜面,急に大将の真似しだしたぞ！？てか意外にも男らしいハスキーボイスしてるな
フレンダ,それ私！？似てないってレベルじゃない訳よ！。あのさ、この即興コントいつまで続けるの？
