OVAの,10年後の異邦人
蘭,……許さない。そんな言葉なんかじゃ、絶対許さないんだから！殴らせて！！
新一,え？
蘭,一発で良いから。殴らせて
新一,……分かった。それで少しでも、蘭の気が済むなら。蘭の全力の右正拳喰らったら、死ぬかもな。でも、それでも仕方ねぇよな……。ワリーな、哀……。無事には帰れねーけど、許してくれ……
蘭,……行くよ新一。ァァァアアアアアッ！！
新一,……！！。……え？
蘭,ﾌﾟｯ……。アハハハハ！！
新一,ら、蘭？
蘭,あーあ。何を言うのかと思えば。あまりに女々しい事言ったり、より戻したいとか言い出したら全力で殴ろうと思ってたけど。ここまで清々しい位にノロケられたら、何にも言えないや
新一,ノロケって、俺はそんなつもりじゃ
蘭,ううん。よーく分かった。新一がその人の事、とっても愛してるのが。心から私の事心配してくれたのも、悔やんでるのも良く分かったよ
新一,蘭……
蘭,ホントはね。私も考えてたんだ。私のせいで新一が苦しんでるんじゃないかって。だから、私こそ新一に想いを伝えられて良かった。来てくれてありがとう、新一
新一,礼を言うのはこっちだよ。何て言って良いか……
蘭,もう暗い顔しない！私は智明さんとの事は妥協じゃなく真剣だし。幸せになるよ。だから新一も、幸せになってね
新一,ああ、分かった……
蘭,でも、新一って本当に女心がわからないんだね
新一,え？
蘭,本当に新一を恨んでたら、どこまでも探し回して半殺しぐらいにはしてるかもよ？それをしないって事は、私は新一を恨んでないって事。ちょっと考えれば分かりそうなのに
新一,……そう、なのか？女って怖いな
蘭,そうだよ？怖いんだから。奥さんも大事にしないと怖いかもよ？
新一,もう十分尻に敷かれてるよ……
蘭,そうなんだ、おっかしい！フフフ、アハハハ……
新一,そうだな。おかしいな。ハハハハ……
蘭,……ね、新一。最後にお願いがあるんだけど
新一,何だ？
蘭,最後に、抱きしめて欲しいの
新一,……
蘭,それ以上の事はしなくても良い。お願い。想い出の中の私に、諦めを付けさせてあげて
新一,……分かった
蘭,……ねえ新一
新一,ん？
蘭,あの頃、私の事好きだったっていうの。もう一度だけ聞かせて……
新一,ああ。大好きだったよ。蘭の事が。世界中の、誰よりもな……
蘭,……ありがとう。じゃあ、さようなら。新一
新一,ああ、さようなら。蘭。元気でな
2人,……ありがとう
哀,……
新一,よう、哀
哀,あ、お帰りなさい
新一,もしかして、ずっと外で待ってたのか？
哀,ええ。キッドが彼女を連れて来た声がしてから
新一,……バーロ。風邪ひくぞ
哀,大丈夫よ。さっき、彼女を見かけたわ。遠巻きだから向こうは気付いていなかったけど。清々しい表情だった。気持ち、伝えられたのね
新一,ああ。完全に納得出来たかは分からないけど、来ないよりは来て良かったと今は思えるよ
哀,そう。良かった。ねぇ、1つお願いがあるの
新一,何？
哀,今日、私は昔の自分の部屋で1人で寝るわ。最後に私は、昔の私に別れを告げたい。それを持って、今回の旅の目的が達せられるの
新一,分かった。最後だな
哀,ええ。ごめんなさい
新一,良いさ。待ってるよ。哀が納得のいく決着を付けられる事を
哀,ありがとう
志保,ん……。……ホントに夢で、彼がいないなんて事はないわよね
新一,何馬鹿言ってやがんだよ
志保,いっちゃん、何時からいたの？
新一,ついさっきだよ。起こしに来たけど、まだ寝てたからよ
志保,そう、ごめんなさい
新一,良いって。それより哀。どうだった？気持ちの整理は着いたのか？
志保,……もう、哀じゃなくて良いわ
新一,え？
志保,今までは、本名で呼ばれるのは怖かったけど。もう大丈夫。だから、志保で良いわ。慣れないかも知れないけど
新一,そっか。わかったぜ。じゃあ、し、志保
志保,はい
新一,……へへ。何か呼び慣れないから照れくさいぜ
志保,ふふ、でしょうね
新一,……名前か。なあ、志保
志保,え？
新一,ちょっと立って
志保,？
新一,んん。宮野志保。あなたは生涯、工藤新一を夫とし、病める時も、健やかなる時も、共に生き彼を愛する事を誓いますか？
志保,ちょっと、どうしたの？
新一,結婚式のやり直しだよ。もう今は哀じゃなく志保なんだから、さ
志保,……！
新一,……で、返事は？
志保,……勿論。誓います。誓うに決まってる。私が愛するのは、生涯あなただけ。逆に聞くわ。工藤新一。あなたは生涯、宮野志保を妻とし、病める時も、健やかなる時も、共に生き彼女を愛する事を誓いますか？
新一,誓います。俺が生涯愛するのは、宮野志保……。あなたただ1人だ
志保,照れ臭いわね。ホントに芝居がかったのが好きね
新一,ま、そう言うなって
志保,じゃあ、結婚式なら……
新一,そうだな、締めがあるな。色気のねー場所だけどな
志保,それで良いのよ。ここが出発点なんだから……。はい、どうぞ
看護師,失礼します。工藤さん、どうですか？お加減は
志保,ええ。とても良いです
看護師,それは良かったです。予定日も近づいてきましたね！
志保,ええ。今から緊張しています
看護師,大丈夫ですよ。私達がしっかりサポートしますから
新一,よー志保！元気か？
志保,ちょっとあなた。ここは病院よ？
新一,あっと、いけね……
看護師,ふふっ、良いじゃありませんか。ここは個室ですし。毎日来てくださるんだし
志保,それは、そうなんですが……
看護師,お2人とも仲が良くて羨ましいです。それでは、失礼します
新一,ん、んん。で、どうだ？具合は？
志保,ええ。大丈夫よ。調子良すぎるくらい。あなたも毎日来てくれるしね
新一,そっか。良かった。もうすぐだからなぁ……
志保,ええ。早いものね。あっ……
新一,どうした？
志保,ふふっ、パパににて元気ね。お腹を蹴ったわ
新一,そっか、元気か！俺達の赤ちゃん！
志保,ええ。元気いっぱいよ
新一,そっか。そっか……。嬉しいけど、未だに信じられねーや。俺達が親になるなんてなあ
志保,ホント、あっという間の出来事だったものね
新一,元気で早く生まれてこないかなあ。パパはここにいるからな！
志保,あらあら、頑張る私には一言もないのかしら？
新一,何言ってんだよ。あるに決まってるだろ？大事な俺の志保なんだから。見守ってるからな。愛してる
志保,あなた……
服部,ゴホンッ、すんませんけど……。人前でイチャつくんやめてもらえます？
2人,！！
新一,は、服部！何だよ急に現れて！
服部,なーにが急にや！ノックしたんも気付かんとイチャイチャしよって
新一,返事が聞こえてから入れよ！マナーを知らねーのか！
服部,じゃかぁしい！あんだけデカイ音して聞こえへん方がどうかしとるんじゃボケ！
志保,......ここは病院よ。2人共
2人,ごめんなさい(すんません)
服部,んん。姉さん、これお見舞いね
志保,あら、ありがとう
新一,忙しいのにワザワザ悪いな
服部,今日はたまたま休みやからな。大丈夫や。今日は来れんかったけど、和葉も宜しく言うてたわ
新一,そっか。ありがとうって伝えてくれよ
服部,ああ。言うとくわ。しっかし、楽しみやな工藤。お子さん生まれたらウチの子供と友達になって貰いたいもんやで
新一,ああ。勿論だ
服部,しっかし、失礼やけどデッカイ腹やなあ。もしかして双子と違うんか？
志保,ええ。そうよ。お腹の大きさは私達も気になったから検査したわ
新一,双子だって分かった時は飛び上がって喜んだよ。こんな事ってあるんだな……
園子,へえ。そりゃあ目出度いなあ
新一,え、園子？
服部,な、何でや？
志保,何故あなたがここに？
園子,おいおい。俺だよ俺。分かれよな
新一,お前、キッドかよ？
園子,そ。正体晒して見舞いに来るわけにも行かねーだろ？この姿を借りてきたのさ
新一,白昼堂々いい度胸じゃねーか
服部,せやな。わざわざ獲物が来てくれたんやからな
園子,おいおい。いきり立つなよ。恩人に借りも返さず飛びかかる気か？それに見舞いに来たと行ったはずだぜ？
志保,あなた。ここは病院だし。彼の言う通り私達は彼に恩があるわ。今日はやめてあげて
新一,……わーったよ。確かにそうだな
服部,何の事か分からんけど、姉さんが言うならやめとくわ。ホントは嫌やけどな
園子,随分噛み付くじゃないか、色黒君
服部,俺はお前と関わるとロクな目にあってへんからな
新一,もうやめろって。母体に障る
服部,……しゃーない。やめたるわ
園子,じゃ。落ち着いた所で。これ、お見舞いです
志保,ありがとう。あなたにはお礼を言いたかったの。あの時はありがとう
園子,いえいえ。こうしておめでたい事が起きて、本当に良かったです。あの時の協力は無駄にならずに済んだ様ですね
志保,ええ。本当にありがとう
新一,確かに……。感謝してるよ。でも次あったら捕まえっからな
園子,望むところだ。出来るもんならいつでも待ってるぜ
服部,ったく。俺は置いてきぼりやな……。あ、そう言えば……。双子って分かった所で、名前は決めてあるんか？
新一,ああ。決めてあるよ。性別とかは聞いてないけどな
園子,何でだ？
志保,その方が楽しみで良いから。生まれるまでは聞かないでおこうって決めたの
服部,成程なあ。で、何て名前にするんや？
新一,それは……。秘密だ
服部,あ？良いやろ別に教えてくれたかて
園子,ま、良いじゃねーか。2人だけの秘密って事でよ。それよりそろそろお暇しますか。邪魔になるからな
服部,お前に言われたかないが……。せやな。身体に負担になってもアレやしな
志保,2人ともわざわざありがと……。うっ……
新一,ど、どうした志保？
志保,……お腹が痛いの。来たみたい
新一,来たって……。陣痛か？
志保,うん……
新一,マ、マジかよ？
園子,俺、医者と看護師さん呼んでくるわ
新一,あ、ああ。頼む！お、おい志保！大丈夫か？
志保,え、ええ。何とか……
新一,な、なあ服部！大丈夫かな！？
服部,落ち着け工藤！大丈夫や！お前が取り乱してどないすんねん！
新一,ワ、ワリー……
服部,コイツがこんなに取り乱すなんてな。珍しい……
新一,大丈夫か、もうすぐ看護師さん来るからな！
志保,ありがとう、あなた……。大丈夫よ。そんなに心配しなくても
園子,呼んできたぜ！
医者,遅くなりました。ちょっと拝見……。うーむ、陣痛が確かに始まっていますね。すぐ準備に掛かりましょう
新一,お願いします先生！志保を、子供達を助けて下さい！もし何かあったら俺は、俺は……
医者,落ち着いて下さい、大丈夫です！事前検査でも異常はありませんし、少し陣痛が早まる事は珍しくありませんから！
新一,は、はい。お願いします……
服部,大丈夫や、工藤。あの姉さんなら。お前も付いとるんやし。絶対大丈夫や
園子,そうだ。お前が取り乱してどうすんだ。しっかり励ましてやれよ
新一,オメーら……
服部,ま、こんな取り乱した工藤を見れるんはオモロイけどな
園子,違いねえ。滅多にお目にかかれないな
新一,っ、このヤロー……
服部,そや。その覇気で奥さんの傍に居てやれや
園子,きっと元気づけられるぜ
新一,……ああ、ありがとよ。……面と向かっては照れくさくて言えねーけど、こういう時ありがてーよ。ダチってのはさ
医者,それではこれから分娩室に入りますので。準備は宜しいですか？
新一,はい。大丈夫か？志保？
志保,ええ。大丈夫よ……
新一,良し。じゃ、お願いします。オメーら、ありがとな！
服部,えーから奥さんに集中しとれや
園子,そう言うこった
新一,ああ！
服部,……ホナ、帰ろか
園子,あ？子供見てかねーのかよ？
服部,アホ。親子の初対面に他人がおったら台無しやないか
園子,ま、それもそうか
服部,全く。デリカシーのないやっちゃで
園子,オメーには言われたくねーな。警察の情報じゃ、優秀だが空気読めねーって評判なオメーにはよ
服部,何やと？
看護師,静かに！出産前の方がいるんですよ！夫婦喧嘩なら他所でやってください！
2人,すみませんすんません
服部,何でお前なんかと夫婦扱いされなアカンねん
園子,俺だってゴメンだよ、気持ちワリー
服部,……とにかくや。今は祈ろうや無いか。工藤達の無事を
園子,ま、そうだな
服部,何事も無いとは思うけどな。気張れや、工藤……
園子,しっかり奥さん励ましてやれよ、名探偵……
志保,うっ……、あっ……！！
新一,大丈夫か、志保！
志保,う、あ……っ、い、たいっ……！！
新一,志保！！
看護師,手を握って、励まして上げてください！
新一,は、はい！しっかりしろよ、志保！
志保,あ、なた……っ！
新一,頑張れ！！もう少しだ！！
志保,ううっ！！ぐ、ううっ！！。う、あうっ……！！ううっ！！
新一,産まれた！1人目！もう少しだぞ、頑張れ！
志保,う、ん……っ！。う、あ……っ、あ、ああっ……！！
新一,あ、ああ……。産まれた、産まれたよ！2人とも無事に……。志保、大丈夫か？分かるか！？
志保,え、え……。大丈夫よ……
新一,よく頑張ったな、本当に……。お疲れ様。ありがとう……！！
志保,大げさよ……。あなたこそありがとう、励ましてくれて……
看護師,おめでとうございます！元気な女の子と男の子の赤ちゃんですよ！
新一,え……
志保,男女の、双子……？
看護師,はい！
新一,こんな、こんな事って……
志保,あるのね……。信じられないわ……
新一,良かった、良かったな！志保！1度に男の子と女の子が生まれるなんて……。こんな幸運、あって良いのかな
志保,ええ。夢みたいね……
新一,本当に、お疲れ様でした。志保様！
志保,何バカなこと言ってるのよ
新一,だってよ、心配で心配で。本当にホッとしたぜ……
志保,ありがとう。キチンと聞こえてたわ。あなたの声
新一,へへ、照れるな。何か未だに信じられねーな。俺、父親になったんだな
志保,そうよ。私も母親になったのよ。あなたと一緒にね
新一,何だかまだ夢見心地でよ、実感わかねーや
志保,大丈夫？パパがそんな事じゃ、子供達が不安ね
新一,チェッ、俺だって不安だよ。娘が昔のオメーみたくツンツンした可愛げねー女の子にならねーかがな
志保,私も不安だわ。男の子があなたみたいにナルシストで推理バカにならないかがね
新一,な……。全く。出産後で疲れてんのに。かなわねーな。ったく
志保,ふふ……
新一,はい
看護師,失礼します。お子さん達をお連れしました
志保,ありがとうございます
看護師,いえいえ。よく眠ってますよ
新一,そうですか。あの、暫く4人だけでも
看護師,ええ。分かりました。何かあれば呼んでください
新一,……見ろよ、この寝顔。可愛いなあ
志保,本当にね……
新一,きっと女の子は大きくなったら志保に似て可愛くなるだろうなあ
志保,男の子もきっと、あなたに似て立派になるわ
新一,へへ……。志保。本当にありがとう。志保とこの子達。必ず俺が守ってみせるからな
志保,私もあなたと一緒にこの子達を守るわ。何があっても、いつも一緒よ
新一,ああ。ずっと一緒だ。……なあ。この子達の名前だけどさ
志保,ええ。今この場で発表しましょうか
新一,じゃあ、せーので言おうか。せーの……。アイ、と
志保,コナン、ね。……ねえ、あなた
新一,ん？
志保,今の気持ちを何て言ったら良いか分からないけど、1つだけハッキリしてる事があるわ
新一,何だ？
志保,今、私は……
