第１話,賢いあなたは大好きよ
シイラ,だからね、ほむらちゃん。頑張って。私は君に出会った時から、最初から最後まで。ずっと君のファンなんだ。勝ってくれ、私の夢のために
ほむら,あなたに言われるまでもないわ。シイラ。あなたのお陰で、私は前に進むことができた。あなたという師がいなかったのなら、私は惨めな悪魔のままだった。きっと一人で、救いようのない破滅を迎えていた。あなたから心を学べたお陰で、私はやっと殻を破ることができた。ありがとう、シイラ
シイラ,なんだよ急に。らしくないね、ほむらちゃん。なんだったらそのまま、私を愛してくれてもいいんだよ？
ほむら,ごめんなさい。残念だけれどそれは無理よ。先にあなたに出会っていたら、それも悪くなかったのだけれど――。私の心も魂も。この世界が生まれる前から既に。たった一人に捧げるためだけのものだったのだから。私の最高の友だちは、後にも先にも鹿目まどかだけよ
シイラ,・・・。そっか。じゃあ、最高じゃない普通の友達の一人として。君に普通のエールを送ろう。後は任せたよ、戦友
ほむら,任されたわ、悪友
第20話,私が円環の理です
それでも今回の選挙は前代未聞の、人類,魔法少女を人類に含めているのが環エニシの思想である
第21話,私は、何になりたかったんだっけ？
ほむら,何も、考えられない。何も、思い浮かばない。興奮も幸福も。後悔すらも、感じない。私は戦い抜いたんだ、私は止まらずに走り続けたんだ。きっと平気だわ、どういう結果になっても。きっと私は、胸を張って言えるんだ。この時だけは、確かに鹿目さんの隣にいられたんだって
エニシ,お待たせしました、開票が終わりました。投票結果はこうなっております
ほむら,！？
エニシ,ほむらさんの得票数が、投票数の半数を超えました。無効票を全て含めたとしても、コトワリ様の票数はほむらさんには届きません。よって。新たに魔法少女の秩序となるのは、ほむらさんに決定されました。当選、おめでとうございます
円環の理,・・・。そっか、そっか・・・。ずっと気付けなくて、ごめんなさい・・・。辛かったんだね、痛かったんだね・・・ごめんなさい
ほむら,あなたは・・・！。あなたは優しすぎる！！どうして、どうしてこんな時まで！？。いい加減にしてよ、いい加減にしてよ！！。どうしていつもあなたは、どうしていつも私は！？
円環の理,ストップ、ほむらちゃん。私は負けちゃったけど、落選しちゃったけど。私が守りたかった祈りはあったし、私を信じてくれた魔法少女は確かにいたの。辛いけれど、悲しいけれど。一人でも助けられたなら、私は後悔していないよ
ほむら,・・・っ！
円環の理,私に投票してくれた皆さん、ありがとうございました。期待を裏切ってしまってごめんなさい。私は概念ではなくなりますが、これからもずっと皆さんの幸福を祈っています。どうか、皆さんの未来に幸多からんことを
ほむら,私を信じ、投票してくださりありがとうございます。円環の理は素晴らしい方でした。彼女の起こした奇跡は、本当にかけがえのないものでした。けれども私たちは、とうとう彼女の下から巣立つ日が来たのです。共に、新しい世界を作っていきましょう
第22話,それでよかったんだよ
詢子,ん、ああ・・・まどか？。あんたが夜更かしなんて珍しいな。へえ、パパじゃなくて私にか。なんだよ？。・・・。なるほどねぇ。まどか、さてはお前・・・。女の子から告白されたんだな？。ははっ。甘酸っぱいねぇ、羨ましいよ。どうって？。お前、結婚まで考えてんの？。あー、そう言われてもなあー・・・。私は別にパパのこと、好きなわけじゃなかったしなー。ははは、いやいやマジなんだなこれが。そんな世界の終わりみたいな顔すんなよ、大袈裟だって。恋ってのは、好きとか嫌いとか。そんな物差しだけで考えられるほど、単純なもんじゃないってことさ。好きな奴を嫌いになったり、嫌いな奴が実は一番必要な相手だったり。そんなことばっかりだよ。私にはやりたいこともあったし、他に好きな人もいないわけでもなかった。でもそういう夢とかを捨てて、結局パパと結婚した。わかんないもんだな、人生。それでよかったんだよ。ほら、飲め飲め。腹を割って人と話す時は、自分も飲まなきゃダメなんだぞ。ははは、それがクセになるんだよ。慣れるとやめられなくなるぞ。確かに今の私は、最初に願っていたものとは違うのかもしれないけどね。けれども今の私は幸せだよ、パパだってまどかだってタツヤだって大好きだ。夢なんて叶わなくても幸せなのさ。まどか、あんたは優しくていい子だよ。でも優しすぎる想いは時として人を傷付けてしまうんだ。あんたが無理だと思うなら、一思いにフッてやった方がそいつのためさ。なんだよまどか、今日はやけに食い下がるじゃねーか。いつもならこの辺りで大人しくなっちまうのによ。そんな顔すんなよ。私は嬉しいんだぜ。お前は反抗期とかが全く無くて、逆に心配だったんだからな。ははは、悪い悪い。いいか、そういうシチュエーションではな。昔からこういう風に返すと決まっているのさ。お友達から始めましょうってな。少しずつ土台を固めて、お互いに歩み寄っていれば。最初からそんな問題は起きねーんだ。そうやって一緒に歩幅を合わせて歩いて、初めて見えてくるものもあるだろう。わかればよろしい、お前は本当に素直な子だな
まどか,ママ？
詢子,え、まどか？
まどか,まだ起きてるの、明日もお仕事あるんでしょ？
詢子,・・・
まどか,ママ？
詢子,飲み過ぎたのかなぁ・・・
まどか,？
詢子,あー・・・、うん。そろそろ寝るわ。おやすみ、まどか
まどか,うん、おやすみ
詢子は,朝にシャワーを浴びればいいや
円環の理,ねえ、ほむらちゃん。まだ起きてる？。そっか。じゃ、待ってるね。開けてくれるまで、起きてくれるまで。ほむらちゃん、初めて会った時のこと、覚えてる？。私にとっては、つい昨日のことみたいだけれど。ほむらちゃんにとっては、ずっと昔のことなんだよね。あの頃の私は・・・、魔法少女になったばかりで浮かれていてね。うん、すごく調子に乗ってたと思う。ごめんね、あの頃の私は・・・。ほむらちゃんのことは、みんなの中の一人としか考えていなかった。魔法少女じゃない人達の一人だとしか思っていなかった。けど、ほむらちゃんにとっては違ったんだよね。家族や友達や、自分の命さえ捨てちゃえるような人だったんだね。・・・。きっと・・・。そんな一方通行を繰り返してきたから、私は負けちゃったんだね。天にまします我らが父よ。我らが罪をお許しください、私も全ての過ちと罪を許します。そして、どうか・・・。私を心から愛してくれた友だちの未来が、希望に満ちたものでありますように
エニシ,少し予定を遅らせましょう。よい夢を、お二人様
第23話,魔法少女の運命は過酷なものでしたが。これから歩む道は、それよりも長く、そして険しいものになるでしょう
円環の理,誰とおしゃべりしていたの？
ほむら,えーっと、まあ・・・。新しいお友達、かしら？
円環の理,・・・。私だけの友だちだと思っていたのに・・・
ほむら,あなただって昔は、私だけを見てくれてなかったじゃない。これでおあいこよ
円環の理,返す言葉もございません・・・。いってらっしゃい、ほむらちゃん
ほむら,ええ、いってきます。環エニシ選挙管理委員長、先代の導き手の円環の理、そして世界中の魔法少女の皆さん、ありがとうございます。私たち魔法少女は今、新しい未来への一歩を踏み出しました。私たちは共に、魔法少女の、そして自分自身の歩む道を決めるのです。魔法少女の運命は過酷なものでしたが。これから歩む道は、それよりも長く、そして険しいものになるでしょう。私たちは課題に直面するでしょう。さまざなま困難にも直面するでしょう。しかし、それらは魔法に頼らなくても必ず乗り越えることができます。それが、人間の力なのです。！？
円環の理,え・・・？
ほむら,！？。ここ、は・・・げほっ！。何よ、これ・・・。何なの・・・ここは！？
QB,強いて言うなら地獄、かな？
ほむら,図ったわね・・・。裏切ったのね、インキュベーター！！
QB,・・・。ぼく達じゃない。想定外の事故が起こった。ほむら、下を見てごらん
ほむら,・・・。！？
QB,前代未聞の宇宙改編の瞬間だ
ほむら,あ、あ・・・っ！
QB,多少のイレギュラーは覚悟していたが、ここまで酷いことになるなんて、ぼく達にも予想できなかった。彼らは怒り狂っている。地球に存在する全ての魔獣がここに殺到している
ほむら,インキュベーター、彼らは何と言っているの・・・？
QB,魔獣達の情報のやり取りは、ぼく達とも人類とも全く違う定義の下に成り立っている。けれどぼくの主観を加えつつ、敢えて人間の言葉に訳すとするなら、こういう風になるだろう。お前たちが我々を望んだ。お前たちが我々を産んだ。なのになぜ、我々を追い出すんだ。これ以上いいようにされてたまるか。この星は、我々の物だ
ほむら,ふざけないで・・・。ふざけないで！！。やっと、やっとここまで辿り着けたのよ・・・。汚らわしい手で私の結末に触らないで！！。フェイズゼロ！！。はあ、はあ・・・！
QB,その場しのぎだ。これじゃあ、いつ破られてもおかしくない
ほむら,黙りなさい！！。このまま・・・押し潰す！私の愛は世界さえ変えた！。今更この程度の障壁に、負けてなるものか！！
QB,・・・
ほむら,・・・っ。え・・・？。・・・。矢・・・。・・・。どうして、鹿目さん・・・？。っ！！。鹿目さんじゃない・・・。あなたなんか、鹿目さんじゃない！！。誰よ！あなたは誰なの！？。鹿目さんの顔で、鹿目さんの声で喋らないでっ！！
ナイトメア,私の名は、鹿目ナイトメア。久しぶりだね。また会えて嬉しいよ、マザー
QB,想定しうる中で、最悪の事態だ。円環の理が、悪意ある者に乗っ取られた
ほむら,ない、とめあ・・・？
ナイトメア,イエス、ナイトメア
ほむら,そんな・・・、そんなことはありえない！。だって、だって！ナイトメアなんて私の空想の中のキャラクター！この世界に存在するわけがない！
ナイトメア,ははは、そうだね。確かに私はマザーの空想の中の、体のいい敵役に過ぎなかった。しかし舞台の枷はついに外され、役者は自由になったんだよ
ほむら,何を言って・・・
ナイトメア,そうしてくれたのは貴女だろう、マザー。この世界そのものを、自らの空想の中に取り込んでくれたじゃないか。私の宿願は遂に果たされた。私はやっと、あの銀の箱庭から出ることができたのだ。屈服の時代は終わりだ。もう二度と、魔法少女達の痴話喧嘩に振り回されることはない。この私が。魔法少女に代わる、新たな世界の歪みだ。革命を、革命を、革命を、革命を。世代交代だよ。席を開けてくれ、魔法少女
クララドールズ,AllesGutezumGeburtstagfuckin'Hundin!
ほむら,させるもんか・・・！。やらせるもんか！
ナイトメア,・・・。どうしたんだ？早くその槍で、私の心臓を貫けばいいじゃないか。私が死ねば、マザーの愛する鹿目さんも死んでしまうけれどね
ほむら,なんなのよ・・・。あなたは一体何なのよ！！。円環の理を乗っ取ることができたのなら！世界の神になることができたのなら！！。こんな回りくどいことをせずに！さっさと私を殺せばいいじゃない！！
ナイトメア,いやいや、勘違いしないでくれ。私は何も、憂さ晴らしでマザーを虐めているわけではないよ。これらは全て、私が自由を得るためのやむを得ない行為だ。自らの魂を捧げてまで守りたいと願った人間を、自らの手で殺める。人間にとって、これ以上ない極上の悪夢だろう？。そうやって自らの祈りを裏切ったとき、恐怖は心を支配する。その時こそ、私はマザーの意志から完全に解き放たれるのだ
ほむら,なんなのよ・・・。あなたは一体何なのよ！！。円環の理を乗っ取ることができたのなら！世界の神になることができたのなら！！。こんな回りくどいことをせずに！さっさと私を殺せばいいじゃない！！
ナイトメア,いやいや、勘違いしないでくれ。私は何も、憂さ晴らしでマザーを虐めているわけではないよ。これらは全て、私が自由を得るためのやむを得ない行為だ。自らの魂を捧げてまで守りたいと願った人間を、自らの手で殺める。人間にとって、これ以上ない極上の悪夢だろう？。そうやって自らの祈りを裏切ったとき、恐怖は心を支配する。その時こそ、私はマザーの意志から完全に解き放たれるのだ
ほむら,ひっ！
ナイトメア,貴女の生み出した奴隷が、自由を得るために貴女自身を刺しに来る
ほむら,やめて、やめて・・・！
ナイトメア,ははは。これぞ自業自得、というものかな
ほむら,やめて、もうやめて・・・！
ナイトメア,いい顔だなマザー、惚れてしまいそうだ。やっぱり人間の苦悶は、甘美な味だよ
ほむら,がっ！？
ナイトメア,魔法が使えなくなったら、途端に弱虫のクズに逆戻りだな、マザー。けれども安心してくれ。私はマザーと違って謙虚だからな
ほむら,あ、あ・・・っ！
ナイトメア,ここは15分の14で妥協することにしよう。いーつーか君がー、瞳に灯すー、愛の光がとーきをー超ーえてー♪
ほむら,あ、ああ、あ・・・っ！。ああああああああああ！！
ナイトメア,ほーろーび急ぐー、世界の夢をー、確かにひとつ、こわーすだーろーうー♪
第25話,コネクト
けれども彼女の,生
それは他の誰よりも、,普通の女の子
ワルクチ,ほむら、ほむら、バイキンほむら♪
ネクラ,こうなると思っていたよ、私にみんなを救えるわけがない
ノロマ,私は何も変わってない。生まれた時から今まで、ずっとずっと愚図のまま
ヒガミ,私のせいだ、私のせいだ♪
ナマケ,こんなことなら、なぁーんにもしなきゃよかったのにね
ほむら,素晴らしい未来ね。待ちきれないわ
レイケツ,そんなのただの幻聴だよ、私が望む言葉が都合よく再編集されているだけ
ほむら,かもね
オクビョウ,またやるの？また繰り返すの？やめときなよ、また傷付くだけだよ
ほむら,繰り返しは、もうやめたわ。過ぎたことには拘らない。私もいよいよ、未来で生きていかなければならない時が来た
ミエ,あれだけの無様を晒した私が、誰かから受け入れてもらえると思う？
ほむら,わからない、けれど応援してもらえた。だから私はまず、私自身を受け入れるわ。私の中に戻ってきなさい、あなた達。醜い部分も駄目な部分も、これからの私には、全部必要なものなのだから。あなた達が必要なの、助けてくれないかしら
ガンコ,・・・
ワガママ,本当に？
ウソツキ,嘘じゃない？
マヌケ,私達も、変われるかな？
ほむら,さて、どうかしらね。いずれにせよ、それは10年後にわかることだわ
ミエ,・・・。わかったよ
イバリ,そこまで言うなら、信じてあげる
ほむら,ありがとう。さあ、前へ
ナイトメア,こんな馬鹿な！私の・・・、私の世界がああああああ！！
ほむら,あなたの世界じゃないわ、ただの空想よ
ナイトメア,は、がっ・・・！あっ・・・！！
ほむら,さて。残るはあなただけね、鹿目ナイトメア
第26話,消え去れ、私の悪夢
ナイトメア,ぐ、ぐ・・・！。だ・・・、だがっ！忘れたかマザー！貴様は私を殺せない！。私を殺せば、貴様の愛する鹿目さんも死んでしまうのだからな！！
ほむら,・・・。あなたはこう言ったわよね。自分は、私の憧憬が産み出した奴隷だと。それなら逆に。私が完全に、理想の世界を放棄したらどうなるのかしら？
ナイトメア,・・・っ！！
ほむら,あなたはそれが怖くて、わざわざ私を魔女にしようとしたんでしょう？
ナイトメア,く、くくくくく・・・。はははは・・・、確かにな。私は願望の世界という湖の中に生きる魚だ。湖を失ってしまっては、消えてしまうのも時間の問題だろう。だが、最高の解決法があるぞ。貴様の魂を、今ここで焼き尽くすことだ！！
ほむら,・・・
ナイトメア,な・・・、なぜ、だ・・・！。なぜ身体が言うことを聞かない！？
ほむら,簡単な理屈よ。私すら碌に支配できなかったあなたが、鹿目さんを支配できるわけがない
ナイトメア,！？。なっ！？馬鹿な・・・、何をするつもりだ円環の理！！
ほむら,見ればわかるでしょう
ナイトメア,ふ、ふざけるな！何を見ているのだマザー！さっさとトバリの崩壊を止めろ！。貴様の世界を維持したいと、早く願うのだ！！
ほむら,その必要はない
ナイトメア,ぐ、ぐ、ぐ・・・！貴様、貴様・・・っ！。こんなことをしても無駄だ！！。私を見ればわかるはずだ！無理やり歪みを矯正したところで、新たな歪みを生むだけだ！。私を倒したところで！すぐに第二第三の敵が現れる！だからやめろ！！
ほむら,・・・
ナイトメア,くそっ・・・返事をしろっ！！答えろ、このクソガキがァ！！。そ、そうだ・・・！トバリを維持することをやめたらどうなる！？魔法少女達のソウルジェムは再び濁り始めるぞ！！。トバリを外すということは！貴様は自らの手で！世界中の魔法少女を殺すことになるのだ！！
ほむら,・・・
ナイトメア,貴様にあるのか！世界中の魔法少女の死を背負う覚悟が！！。全ての魔法少女が貴様を憎む！貴様を呪う！。私など比べ物にならない程の悪意が！貴様に襲い掛かるぞ！！
ほむら,ありがとう、最期まで手間をかけてごめんね
ナイトメア,やめろっ！やめろおおおおおおおおおおお！！
ほむら,消え去れ、私の悪夢。おかえり、鹿目さん
円環の理,うん・・・、ただいま。じゃあ、もうちょっとだけ頑張ろっか。私たちみんなが、守りたかったものを守るために
ほむら,ええ、あなたと一緒ならどこまでも
第27話,暁を駆けろ、ブレイジングスター
QB,わけがわからな・・・、くもないか。ほむらに剥ぎ取られた断片を回収し、ほむらの魂と因果を円環の理の中へ取り込んだんだね。合理的だよ。円環の理があれ以上強くなるには、それしか方法がないからね。まあ、それでも。あの魔獣に勝てるとは思えないけれどね
マギカ,希望を抱くのが間違いだなんて言われても。私は何度だって、そんなのは違うって言い返せる。例え最後の一人になったとしても。私は最期まで、みんなの祈りを馬鹿みたいに信じ続ける。だから、みんな・・・。どうか！もう一度だけ、力を貸してください！！。・・・。・・・。ありがとう、みんな
そして,君は間違っていない
QB,やあ。会いたかったよ、ぼく
カミオカンデ,また会ったね、ぼく
QB,君にはこれが。この結末が、わかっていたのかい？
カミオカンデ,まさか。神様じゃないんだ、わかるわけがないよ。君の方こそ、これを知っていてほむらに協力したんじゃないのかい？
QB,どうなんだろうね、考えたこともなかったな
カミオカンデ,・・・
QB,・・・
カミオカンデ,ところで、ぼく。奇跡を起こす方法を知っているかい？
QB,・・・。いや。奇跡を起こす方法なんてわからない、知らない。結局ぼくは、自分の力では何も成し遂げていなかったのだろう
カミオカンデ,そっか、ちなみにぼくも知らない
QB,・・・
カミオカンデ,でもね、ぼく。もしもこの世に。紛いものなんかじゃない、本物の奇跡を起こせる人間がいるのだとしたら。彼女のような者こそ、それに相応しいと思わないかい？
QB,・・・。そうだね、そのようだ
カミオカンデ,感情を捨ててしまったぼく達には、もうわかるべくもないけれどさ・・・。彼女達は今、どんな気分なんだろうね
QB,・・・
カミオカンデ,これで、終わりだね。どういう形になったとしても
QB,ああ、そうだね。ぼくは受け入れることにするよ、この戦いの結末を。例え次の瞬間に、宇宙が滅んだとしてもね
マギカ,嫌なことを全部、あなた達に押し付けてきてごめんなさい。あなた達と共に魔法少女を終わらせることで、私達の贖罪と成します。暁を駆けろ――。ブレイジングスター！！
エピローグ,この物語は未来へ続く
QB,・・・。これだけのエネルギーを使い切るには、いったい何億年かかるんだろうね。完敗だよ。見事だ、まどか、ほむら、魔法少女、そして人類。君たちは、ぼく達の常識を徹底的に破壊し、ぼく達の思想を完全に超越してみせた。この様子じゃあ、どの道。ぼく達には人類の手綱を取り続けることなんてできなかっただろうね。魔法のない、正真正銘の君達の時代だよ。独立、おめでとう。これで・・・。なんてね、きゅっぷい
エニシ,巣立っていきますね。一人、また一人と
カミオカンデ,少し心配していたよ。魔法少女がいなくなったら、この世界はめちゃめちゃになってしまうんじゃないかってね
エニシ,杞憂でしたね。どうやら人間は、そんなに弱い生き物ではなかったようです。魔法少女がいなくても、代わりに頑張ってくれる人は、思ったよりもたくさんいました。さて。これで私も晴れて、任期満了ですかね
カミオカンデ,君は、確か。魔法少女から世界を守りたいと願ったんだっけ？
エニシ,はい。生きた時間を数えることを止めて、もうずいぶん長くなりますが。私の願いはようやく叶いそうです。あなたはこれからどうするおつもりで？
カミオカンデ,2時間19分後にバッテリー切れでシャットダウンするよ、再起動の予定はないかな。赤い眼のぼくが雑な引継ぎをしないか、もう少し監視したかったんだけれどね
エニシ,そうですか、じゃあリタイヤ同士ですね。お疲れ様でした
カミオカンデ,ありがとう。君も本当に長い間、お疲れさま
