子供たちは口をそろえて言う。,将来は、あの組に入るんだ
イントレピッド,たしかに、これはすごいわねっ！……でも、やっぱりお値段は高いの？
アイオワ,フフーン！この私を甘く見てもらっては困るわ！。今ならなんと、このPriceで！
サラトガ,Fantastic！なんてお買い得なのかしら！
アイオワ,――さぁ、そこのあなたも！いますぐチェック！
秋雲,………………。――うわぁっ！
風雲,な、なによ……！そんなビックリしなくてもいいじゃない……
秋雲,か、風雲の姉貴か……。はぁ、心臓に悪いよ
風雲,…………？どうしたの、今日はやけにビクついてるわね
秋雲,あ、あぁー……。それが……さ――
風雲,――なるほど、ねぇ。そっか、私たちが邪魔してるのバレてるんだ
秋雲,まだ、秋雲としては疑われてはないかもだけど……
風雲,……じゃあ、こっちに来たらどう？
秋雲,え？
風雲,これが引き際なのかもしれないわ。秋雲だって、そんな神経すり減らすのは疲れるでしょ？
秋雲,………………
風雲,――というか、もともと夕雲組長だって反対してたのよ。秋雲にだけそんなことはさせられないって
秋雲,……いいんだよ。これで、いいんだ……
風雲,はぁ……、最初にあんたが夕雲組に接触してきたときは警戒したものだけど、いまならわかるわ。……誰かのために、動いてるんでしょ？
秋雲,………………
風雲,でもね、物事にはどうしようもないこともあるの。……もう十分、秋雲は頑張ったわよ。後は夕雲組がなんとかするわ
秋雲,――ダメだよ
風雲,なんで……って聞いてもいいの？
秋雲,……まず、風雲の姉貴は勘違いをしてる。……これは私のためなんだ。誰のためでもない
風雲,………………
秋雲,私のため……。そのために、夕雲組を利用してるんだ。……ただ、それだけなんだよ
風雲,……そう。まぁ、それでもいいわ――
秋雲,――こんなもんかな。……それじゃ、引き続きよろしく頼むよ
風雲,えぇ、わかったわ
秋雲,あ……それと、これからはこう頻繁に会えないかもしれない。今までみたいに、曜日で会うのは止めにしよう
風雲,いいけど……。どうするのよ？
秋雲,何とか連絡するよ。……さて、それじゃ――
風雲,――誰ッ！！
萩風,あっ……あの……！
秋雲,は、萩風の姉貴……っ！！？
萩風,――――っ
風雲,逃がさないわ――
秋雲,ま、待って！！
風雲,どきなさいっ！見られてるのよっ！？
秋雲,あ、秋雲が……！なんとか説得するから……、だから……！
風雲,…………ハァ……。……秋雲、こうなってしまった以上しょうがないわ。夕雲組に行きましょう
秋雲,……いいや、行かない
風雲,………………。――そう、それじゃもう終わりね。秋雲があの娘を説得できようができまいが、次からのあんたの情報は信用できなくなる
秋雲,うん、わかってる
風雲,……それでも、戻るのね？
秋雲,………………
風雲,――じゃあ、もう何も言わないわ。……もしなにかあったら、ここに連絡しなさい
秋雲,これは……？
風雲,私の連絡先よ。……夕雲組としては動けないかもしれないけど、風雲としてなら動けるかもしれないわ
秋雲,……わかった。ありがとう、風雲の姉貴―――。………………。た、ただいま帰りましたー……
浦風,――あぁ、秋雲。おかえり
秋雲,――ッ！あ……えと……
浦風,…………？どうしたんじゃ、そんな顔して……
秋雲,…………えっ？――あ、あぁいやっ、なんでもないです！
浦風,そ、そうなん……？なにかあったら、遠慮なく言うんよ？
秋雲,はい、ありがとうございます……――
萩風,………………
秋雲,――萩風の姉貴
萩風,………………
秋雲,なんで、黙ってるんだ？
萩風,……言えなかった。……なんででしょうね
秋雲,報告するならまだ間に合う。……これじゃ、萩風の姉貴も共犯になっちゃうよ
萩風,止めないの？
秋雲,しょうがないよ。全部、私の責任だから……
萩風,………………。――秋雲、今日は健康ハンバーグを作ってみたの。配膳、手伝ってくれる？
秋雲,萩風の姉貴っ！どうして――
萩風,だって！……秋雲は、苦しんでるじゃない！
秋雲,――――っ
萩風,それに、可愛い妹分だから……。ふふっ、私たち……共犯だね
秋雲,なんだよ、それ……。…………ありがとう
高波,夕雲組若頭補佐、高波……です！。ついに私たち夕雲組が動き出す時が来た……かも！。でも、私たちの動向は陽炎組に見張られちゃってたりするかもですけど――。夕雲組は陽炎組なんかには負けない……です！。次回暁が如く。のうある鷹はなんとやら？夕雲組の覚悟。任侠桜に仁義の嵐……かも！。――へっ！？さ、最後に一言って……聞いてないかもっ！
暁,――あれ？……テレビの調子がおかしいわ
電,はわわっ！こ、これじゃ、じゃんけんができないのです……
雷,うーん、困ったわね……。叩けば治るかしら
電,わーっ！だ、ダメなのです！きっとテレビじゃなくてアンテナの方なのです……
暁,アンテナかぁ……。でも、いま響いないし、秋月組のみんなも出ちゃってるのよね
雷,……あっ、そうだ
暁,…………？なに探してるの？
雷,じゃーん！DVDよ！
電,たしかに、DVDなら見れるのです！けど、内容はいったい……？
雷,――ホラーよ
暁,
電,
雷,どうする、組長？組長が怖いならやめましょうか
暁,なっ……！ぜ、全然怖くなんかないわ！いいわよ、見てやろうじゃない！
電,はわわ……。電は怖いの苦手なのです……
神風,――あらあら。これはこれは……
朝風,まさか……アンタが来るとはね
陽炎,実際に会うのは初めてかしら？……先日は親潮が世話になったわね
春風,随分と、度胸のあることですね
松風,いいじゃないか。そういうの、嫌いじゃないよ
神風,……それで、今回はいったい何の用？――と、言いたいんだけど……
不知火,………………
神風,そっちのが、随分とやる気じゃない。……でも、戦争をしに来たわけじゃないでしょう？
陽炎,えぇ、もちろん。……不知火、大人しくしなさい
不知火,ずっと大人しくしてます
陽炎,わかったから。ジッとしてて
不知火,………………
陽炎,ごめんなさいね、気にしないでくれると助かるわ
神風,ま、いいわ。――それで、陽炎組の組長さんが、こんな小さな組に何の用かしら？
陽炎,どうやら、回りくどい言い方は好まないようね？私もそうだから、単刀直入に言わせてもらうわ――。――私たち陽炎組と、同盟を組んでほしいの
神風,はっ……。また答えないといけないの？断ったつもりだったけど
陽炎,前回とは状況が違うわ。……もう少しで、私たち艦娘の間にある均衡が崩れる。そんな予感がするの
神風,予感ね。そんな曖昧なもので私たちは動かないわ。……で、話は終わり？
陽炎,……もう一度、よく考えなおしてくれないかしら？
神風,…………解せないわ。何故、陽炎組ともあろうものが、私たちなんかに頭を下げるの？。正直に言えば、神風組が陽炎組と戦えば、神風組が勝つ見込みは少ない。それぐらいは私でも分かる。――あなたは、私たちを力で屈服させることもできたはず……。それが何故？
陽炎,そんなの、単純な話よ……。――私たち陽炎組と神風組は、同等の立場として一緒に戦ってほしいの
神風,………………！
陽炎,……でも、ダメなら諦めるわ。今後一切、陽炎組は神風組に関わらないことを――
神風,――わかった
陽炎,……え？
神風,わかったって言ったの。何度も言わせないで
陽炎,それじゃ……！
神風,えぇ、私たち神風組は、いついかなる時も陽炎組に味方するわ
朝風,ちょ……！組長、それは……――！
神風,――黙りなさい、朝風。もう口に出してしまったの。今さら無しだなんて言えないわ
朝風,はぁ……。まったく……
春風,……私は、組長がそれでいいのであれば
松風,……ま、それもおもしろいかもね
旗風,私も、異論はありません
陽炎,……感謝するわ
神風,どうするの？盃でも交わすのかしら？
陽炎,それはまたの機会に。……実は、もう一つ厄介なものを抱えてるのよ
神風,ふぅん……？
陽炎,……初風。イヤな役を押し付けちゃったわね……――
初風,………………
時雨,……ようこそ。初風さん……だったかな？
初風,え、えぇ……――。なんなのよこれ……。まるで生きた心地がしないわ……。――あぁもう……。組長、恨みます……
時雨,まぁ、そう緊張しないで。リラックスしてよ
初風,くっ……出来るわけないでしょう……！。――わ、私が、一人で白露組に……！？
陽炎,ごめんね、初風。本当なら私が行こうと思ってたんだけど……。みんなが私が行くなら着いていくって聞かないのよ……
黒潮,当たり前や。自分の立場ってもんを考えろっちゅうんや
陽炎,不知火にはそういうのは無理だし、黒潮も向いてないし、親潮にもちょっと荷が重いかなって。――初風、あなたが適任なの。どうか、お願いされてくれないかしら
初風,で、ですが、一人ですか……？
陽炎,今回、白露組と交渉をするなら、出来るだけ戦闘の意思を見せないで欲しいの。……これは難しい任務よ。……今回ばかりは、無理にとは言わないわ。イヤならイヤと言っても、誰も責めない。でもね。同時に、この任務は初風にしか出来ないとも思っているわ
初風,………………
陽炎,……どう？
初風,……ズルいですよ、そんなの……
陽炎,ごめんね……
初風,――あぁ、わかりましたっ！この初風、たとえ首を落とされてもこの任務、遂行して見せます！
陽炎,……よく言ってくれたわ。……初風、よろしく頼むわね――
初風,……断ればよかったかしら……
時雨,……なにか言ったかな？
初風,――い、いえ。……それで、今回は私たち陽炎組と白露組で同盟を結びたい……という話で来たのですが……
時雨,同盟……ね。一つ聞きたいのだけど、それは僕たちにとってどんなメリットがあるのかな？
初風,……最近、暁組という組が急激に力を付けてきてます。それに対抗する形で――
時雨,答えになってないなぁ。それじゃあ僕たち白露組は、陽炎組と同盟を組まないと潰されてしまう……と、キミはそう言いたいの？
初風,――そ、そういう……わけでは。なんていうプレッシャー……。若頭の時雨……噂以上ね……
村雨,同盟なんてそんなものより、陽炎組に乗り込んじゃったほうが面白いんじゃないかなぁ？
初風,なっ……！
夕立,賛成っぽい！それじゃあ……、この人はヤっちゃっていいっぽい？
時雨,うるさいよ。……いま僕が話してるんだ。――でも、それも悪くない意見だ。まさか陽炎組が、そんなに弱腰だとは思わなかったよ
初風,――ッ！！
時雨,……話は終わりかな？それじゃ、いい機会だ。僕たち全員で、陽炎組まで送って差し上げようじゃないか
初風,……やられる？逃げなきゃ……！？。――ふふっ……
時雨,…………何かおかしいかな？
初風,――逃げる？陽炎組を馬鹿にされたまま、私は逃げるっていうの？……あり得ないわ。……いい度胸だわあなた達。陽炎組を敵に回す事、後悔させてあげ――
白露,――ねー、時雨？同盟ってなに？
時雨,あぁ、組長……。同盟というのは、弱い者同士が力を合わせることです。僕たちには……
白露,じゃあ、組むのと組まないの。どっちが一番に近いの？
時雨,……そういう意味では、組んだ方が早いかもしれませんけど――
白露,――じゃあいいよ。同盟の話
初風,へっ？
時雨,……組長がそういうのであれば。――っていうことになったよ。よろしくね、初風さん
初風,あ、あぁ……はい……
夕立,えぇー！そんなの――
時雨,――夕立、これは組長の意向だよ？まさか逆らうのかい？
夕立,じょ、冗談っぽい……
初風,…………け、結果オーライって所かしら……
時雨,――でもまぁ、僕たちの同盟はその暁組とのいざこざが終わるまでだ。それが終わったら、僕たちは即座に君たちの敵になる。……これでいいかな？
初風,えぇ、かまわないわ
時雨,初風さん、先ほどまでの無礼は詫びよう。……実際の所、ここに一人で来るだなんて……相当な実力と、信頼があるんだね
初風,……まぁね
時雨,ふふっ……。まぁ、こういうのも面白い。そう思うようにするよ――
球磨,――くっそー怪盗サーチ♥ライトめ……！また予告状なんて出してきやがったクマ！
多摩,球磨主任……。今のうちからそんなに緊張しててもしょうがないニャ
球磨,しかしだクマ！いつまでも舐められてるわけにはいかんクマ！
北上,まぁーさー。こういう時はあの喫茶店でも行って落ち着こーよ
球磨,……それもそうクマね――
那珂,――いらっしゃーい！
球磨,来たクマー
神通,――あれ、皆さん。なにか神妙な面持ちですね
多摩,また予告状が届いたのニャ……
川内,あー、あの怪盗サーチ♥ライトから？早く捕まえちゃってよー。偶然にも同じ名前のこの店が悪く見られちゃうしさ
球磨,うぐっ……。く、球磨達だって頑張ってるんだクマ……
神通,そうですよ、姉さん。……はい、コーヒーです
北上,でもさー、なんであの怪盗たちは予告状なんて出してくんのかねー。黙って盗ってきゃいいのにさ。そうすれば、私たちだってこんな動かなくてもすむんだけどなぁ
那珂,あー！刑事さんがそんなこと言ってもいいの？
北上,あははー、いいのいいの
木曾,球磨主任！やっぱりここに……。今日は会議だってのを忘れたのか？
球磨,あっ……
神通,あはは……。それじゃ、お仕事頑張ってくださいね――。――川内姉さん！那珂ちゃん！行きますよ！
川内,おーっ！
那珂,いえーいっ！
暁,………………
雷,んー！んーー……！
電,はわわ……！はわわわわ…………！！
響,ただいま。いま、なにか悲鳴が聞こえたような――
暁,――って！ひ、響じゃない！！び、びっくりさせないでよ、もうっ！！
響,……すまない
電,はわ………………
雷,こ、こんなに怖いなんて、聞いてないじゃない……！
響,……ふーん、ホラー映画を見てたのかい？
暁,ま、まぁね！ぜ、全然怖くなかったけど！
電,……電はすごい怖かったのです……
雷,ウソよっ！組長だって叫んでたじゃない！
暁,そ、それは――！
響,――まぁまぁ。それよりも……
暁,…………？それよりも？
響,いや、そこに居る赤い服の人は誰かな……って思ってね
暁,
電,
雷,――だ、騙されないわっ！そういって、響は私たちを驚かそうとしてるのね！
響,そう言われても……
暁,そ、そうだわっ！ふんっ、どうせ誰も居な――
早霜,…………こんにちは
暁,――ゴホンっ。……えーと、それじゃ改めて……。……私たちの事務所に勝手に入り込んで、あなた誰なのよっ？
早霜,ごめんなさい……つい。映画を見終わるまで、待っていようかと思ったのですけど……
雷,というか、いつから居たの？
早霜,ずっといましたよ。ずーっと……
電,この人怖いのです
響,……その服から察するに、キミは夕雲組だろう？……いったいどんな用件で？
早霜,それは、まず私の口よりもこれを……
暁,……DVD？……こ、怖いのじゃないのよね？
早霜,ご安心を……。夕雲組長からの伝言です……
暁,そ、それほどでも……あるわね
雷,………………
電,………………
暁,救出……？
早霜,――以上が、夕雲組長からのお言葉です
暁,きゅ、救出って……あの陽炎組相手に……？な、なんで私たちなのよっ？
早霜,……それはそうでしょう。いまや、あの陽炎組に対抗できるのは、睦月組・吹雪組・秋月組を傘下に置く、あなた方暁組だけなのですから
電,さ、傘下って……？
雷,……まぁ睦月組はともかく、他二つはそう見えてもおかしくないわね……
響,――しかし、理解できないな。なぜ、その内通者一人のためにそこまでするのか……。もともと、そういうリスクは承知の上なのでは？
早霜,……それについては、少し複雑なのです……。その秋雲ですが、もともと私たちが送り込んだものでもありません
暁,どういうこと？
早霜,秋雲は元から陽炎組の組員なのです。……それが、ある時私たちに接触してきて情報を提供してきたのです
雷,へぇ……。どんな見返りを望んでたのかしら？
早霜,……いいえ、秋雲は見返りを要求しなかったのです。ただ、陽炎組が大きくなるのを止めてくれればそれでいいと
電,え、えぇっと……？
早霜,それ以上のことはわかりません……。秋雲本人に聞いてみないことには
響,……それで？夕雲組が秋雲一人のためにそこまでする理由は？
早霜,……夕雲組長は仁義を重んじるお方です。秋雲を見捨てておくのが我慢ならないのでしょう
暁,……か、考える時間はどれくらいあるの？
早霜,実は……あまり猶予がありません。なぜかと言いますと、このDVDを録った後に陽炎組の萩風という組員から電話があったのです。秋雲を、守ってほしいと
電,で、でも……、さっき通信機器は……
早霜,そう。おそらくは下の組員まで詳しく話をしていなかったのでしょう……。萩風のその電話はたぶん……
雷,もし、私たちが断ったら？
早霜,……その時は、夕雲組と陽炎組の戦争になるでしょう。……勝ち目は薄いかもしれませんが
暁,……みんなはどう思う？
電,い、電は……よくわからないのです……
雷,難しいわね……。夕雲組が味方になるのはすごいことだと思うけど……
暁,……響は？
響,――私は反対だ。絶対の忠誠を誓うとは言っても、夕雲組がそれを守る保証はどこにもない。陽炎組を相手にすれば、私たちだってタダじゃ済まないかもしれないんだ……
暁,…………そうよね
早霜,さっき夕雲組長が言った通り。断ってもそれはしょうがない事です。暁さんが気に病むことではありません
暁,………………
雷,組長…………
電,はわわ……
響,…………組長
暁,――……決めた
早霜,…………はい
暁,秋雲救出の件。私たち暁組が請け負ったわ
早霜,…………え……？
雷,――ふふっ！組長なら、そう言うわよね！
電,なのですっ！
響,………………っ！
暁,…………響。あの、えっと……
響,――ハラショー。……それでこそ、我が組長だ
暁,え？いいの……？
響,もちろんさ。……私は、それがたとえ地獄へ通ずる道だとしても、組長と共に歩くよ
暁,響……！
早霜,あ、あの……！本当に……
暁,――早霜、帰って夕雲さんに伝えなさい。秋雲は、私たちが必ず救い出してみせる……ってね
早霜,――っ！……必ず
暁,戦争だなんて、そんな物騒なこと止めた方が良いに決まってるわ。……みんなを集めましょう。今すぐに作戦会議よ！！
雷,えぇっ！秋月達に伝えてくるわね！
電,い、電はお茶とお菓子を用意するのです！
響,それじゃ、私は作戦を考えようかな……
曙,綾波組の若中をやってるわ、曙よ。……お相撲さんではないわ。あーあー、まったく面倒くさいことになってきたわね。正直な話、陽炎組と夕雲組が戦争したところで、私の知ったことじゃないわ。……でもまぁ、組長が言うんだったら仕方がないか。見てなさい。目に物を見せてあげるから。次回暁が如く。嫁菜の如く。任侠桜に仁義の嵐……ってなによこれ？。ホント……冗談じゃないわ
嵐,――なんだぁ？今日はヤケに人の往来がある気がするなー
野分,そうね。なんでも、遊園地の料金が半額になったり、有名人とかもくるみたい
谷風,かぁーっ！粋だねぇ！
浜風,……しかし、何故急に？
舞風,まぁまぁいいじゃん。楽しいのはいいことだよ！
秋雲,あはは……
初風,……秋雲
秋雲,…………っ！――は、初風の姉貴……
初風,ちょっと話があるの。……来てもらえる？
秋雲,………………！。――もうバレたのか……。思ってたより早かったな……。……はい。行きます……
黒潮,――おぉ、秋雲。急に呼び付けて悪いなぁ
秋雲,い、いえ……。そ、それで、お話というのは……
黒潮,それがなぁ、この前話した内通者の事なんよ
秋雲,………………
初風,……もう目星はついたの。でも、いま組長の心労を増やすのも嫌でね。……わかるでしょう？
秋雲,……はい
黒潮,それで、その目星っていうんがな――
秋雲,…………っ
黒潮,萩風……だったんよ
秋雲,…………えっ、萩風の姉貴？？ど、どうしてっ！？
初風,気持ちはわかるわ。私だって、最初は信じたくなかったけど……
黒潮,実はなぁ、うちらは情報の流出先が夕雲組と見て、いろんな角度から様子を見てたんやけど。……この前、一つの通信を傍受したんや
秋雲,ぼ、傍受……？
黒潮,それはなぁ、夕雲組の若頭補佐……風雲への通信だったんよ。……残念ながら内容までは把握できんかったけども、おそらくは萩風の声やったと思う
秋雲,そんな…………
初風,秋雲、あなたには何か決定的な証拠を掴んでほしいの。萩風もあなた相手だったら気を許すと思うから
秋雲,萩風の姉貴が風雲の姉貴に……？いったい何がどうなって……。――とりあえず、ここは承諾して様子を見ないと……。わ、わかりました。なんとか、やってみます
黒潮,すまんなぁ秋雲。よろしく頼むわ……――
秋雲,――やっぱり無い……。風雲の姉貴にもらった、あの連絡先の紙が……。――っ！……は、はい！
萩風,秋雲？ちょっと話があるの
秋雲,……ちょうどよかった。私も、萩風の姉貴に話があるんだ
萩風,そう。……じゃあ入るわね
秋雲,萩風の姉貴……！風雲の姉貴に連絡したのかっ！？
萩風,えっ！？そ、そうだけど……、なんで知ってるの？秋雲も連絡を？
秋雲,違うんだ……。その連絡の事が、もう本部長達にバレてる
萩風,そんな……！
秋雲,なんでそんな勝手な事をしたんだよっ！
萩風,……ごめんなさい。――でもっ、秋雲は陽炎組に居ないほうがいいと思ったから……！結果的に私のせいでこうなってしまったけど、いずれはこうなる。隠しきれるはずがないもの
秋雲,それならそれでよかったんだ！……その連絡のせいで、本部長達は萩風の姉貴を内通者だと思ってる！
萩風,…………っ！――なら好都合ね。秋雲が逃げやすくなる
秋雲,馬鹿なこと言うなよッ！
萩風,実はね、私が今日ここに来たのは、さっき折り返しの連絡があったからなの
秋雲,えっ……？風雲の姉貴から……？
萩風,えぇ、連絡とは言っても朝霜を見た時、雲が集まる場所でっていう謎めいたものだったけれど。でも、その話を聞いてわかったの。傍受されてることを知って、暗号を使っているんだ……って
秋雲,………………
萩風,きっと明日の朝に、その場所に行けば――
秋雲,……違う。冬じゃないから……
萩風,え？
秋雲,明日の朝じゃないんだ――。――今日の……夕方だ
萩風,――ほ、本当に夕方でいいの？朝霜って確かに言ってたと思うんだけど……
秋雲,教えられたんだ。こういう時の言葉に矛盾があれば、別の意味を考えろって。雲が集まる場所っていうのは、秋雲と風雲の姉貴の落ち合い場所ってことだと思う。でも朝霜は冬の季語で季節外れ。――それと同時に、夕雲組の組員の一人だから……
萩風,なるほど……？――でも、私も来て大丈夫なのかしら
秋雲,こうするしかないよ。秋雲は残ってもよかったのかもしれないけど、萩風の姉貴だけじゃ信じてもらえないだろうし……
萩風,……ご飯、作れなかったから……。みんな、もう気付いてるのかな
秋雲,どちらにしたって、私たちは戻れない……。――ほら、もうすぐ着くよ
萩風,――えっ……！？
秋雲,な、なんであんた達がここに……っ！！？
暁,――よかった、ちゃんと来たわね。秋雲と萩風かしら？
秋雲,あ、あぁ……。なんで、夕雲組は……？
雷,夕雲組はいま動くことができないらしくてね、代わりに……って頼まれたのよ
電,なのですっ！
萩風,信じて……いいんですか？
響,それを決めるのはそっちさ。……さぁ行こう。まだ明るいうちになんとか――
暁,――ッ！？探照灯……！？
陽炎,――……そう。やっぱり、夕雲組と繋がってたのね。……初めまして、暁組の皆さん
秋雲,く、組長……！！
黒潮,……イジワルしてすまんなぁ、秋雲。本当はわかってたんよ……。でも、出来ればそうであって欲しくなかった
初風,悲しいわね……
秋雲,泳がされたってことか……
萩風,み、みんなも……
谷風,なんでこうなっちまったんだい……
野分,覚悟は……出来てるんだよね
嵐,まいったな……。こういうのはどーも……
舞風,もう、ステップ踏めないね……
雷,陽炎組が勢ぞろいじゃない……
電,はわ、はわわわわ……
陽炎,こちらとしては、大人しくしてくれると助かるんだけど……
響,それは、無理な相談だね
陽炎,……そうよね
暁,……私たちも、争いたくはないのよ
陽炎,ふふっ、おもしろいこと言うじゃない。冗談のつもり？
暁,いいえ、だから争わないようにするために――。――こうなることも、予想してたってことよ
陽炎,…………っ！――みんな、周りを警戒してっ！！
嵐,――なっ！照明弾か！？
卯月,うーちゃんだぴょ～んっ！どんどん撃つっぴょん！
長月,思い知れっ！
菊月,行けっ！
三日月,えぇい！
望月,いよっ
初風,睦月組……っ！！
暁,――よし、今のうちに逃げるわよ！！
響,了解っ！
雷,さぁ、二人も行くわよ！
電,早くなのですっ！
秋雲,あ、あぁ……！
萩風,は、はいっ！
陽炎,――浦風、磯風っ！組員を連れて暁組を追いなさいっ！
浦風,はいっ！
磯風,了解！
暁,うーちゃん！私たちの目的は戦いじゃないってことを忘れないで！
卯月,わかってるっぴょん！。――頃合いをみて散開するぴょん。戦闘と、捕まることは禁止だぴょ～ん
陽炎,――親潮っ？どうしたの、こっちも忙しいんだけど！。くっ……、そりゃ大人しくしてるわけないわよね……っ！。親潮たちはそのまま！戦わないで、気付かれない程度の距離で様子を見て、報告して！
黒潮,組長……どうするん？夕雲組も関わってるとなれば、うちらの兵力だけじゃ……ちと厳しいかもしれんよ
陽炎,……いえ、これは私たち陽炎組の問題。他の組に頼るわけにはいかないわ。出来ることを全力でやりましょう――
阿賀野,――おかえりなさいっ、提督さんっ♪
酒匂,ぴゃんっ♪司令……だーい好き！
能代,オ、オカエリナサイマセッ！テ、テイトク……サマ……
矢矧,な、なんで私がこんな……っ！
・ご利用料金は入場料800円,税抜
・メイドさんと記念撮影,1000円
・メニュー一覧,表記はすべて税抜です
暁,――さて、だいたいの話はわかったかしら？
秋月,か、陽炎組を相手に……ですか
吹雪,本当に大丈夫でしょうか……
睦月,きっと、みんなで力を合わせれば大丈夫にゃしぃ！
暁,そうっ！出来るか出来ないかじゃないの。やるしかないのよっ！。……それでこれから、私たち暁組が考えた秋雲絶対救出大作戦を説明するわ
電,私たち……というか、全部響ちゃんが考えたのです
暁,黙りなさい、細かいことはいいのよ。――それじゃ、響。説明よろしく！
響,わかった。それじゃ、この作戦の概要と各組のやってもらいたい役割を話すよ――。――と、そこまで出来ればもうこっちのものさ。……簡単に行けばそれが一番だけど、おそらくは陽炎組が出てくることになる。でも、みんながベストを尽くせば、絶対に出来るはず。……説明は以上だよ
暁,以上よ！何か質問はある？
雷,質問されても、組長は答えられないと思うけど……
睦月,なるほどなるほど……！まかせてよっ、なんとかやってみせるにゃしぃ！
秋月,これなら確かに……！私たちでもお役に立てると思います！
吹雪,ふ、吹雪組の役割はこれですか……？だ、大丈夫かな……
暁,……よし、大丈夫ねっ！響、このこと夕雲組にはどう連絡しようかしら
響,早霜がまた来るらしいから、その時に伝えるよ
電,ところで、早霜さんは外に出ても大丈夫なのです？
雷,……まぁでも、事務所の中にだっていつの間にか居たんだもの。気付かれずに動けるのかもしれないわね……
電,やっぱあの人怖いのです……――
早霜,――くしゅんっ
夕雲,早霜さん、大丈夫？
早霜,フフフ……大丈夫です
夕雲,……それで、その話は本当なのかしら？まさか、本当にやってくれるだなんて……
巻雲,夕雲組長……。なにか心配事でもあるんですか？
夕雲,……いえ。――ダメね、悪い方向にばかり考えてしまう
風雲,すいません……。私の軽率な行動のせいで――
長波,おいおい、風雲の姉貴。それは言わないって約束だぜ。遅かれ早かれ秋雲のヤツは救うつもりだったんだし、ちょうどいいじゃん
高波,な、長波姉さま……。それはちょっと楽観的すぎかも……
夕雲,なんにしろ、この一本の蜘蛛の糸……。たとえお釈迦様にだって切られるわけにはいきません。私たちも、暁組を信頼して動きましょう。……それで、早霜さん。暁組はどう動くと？
早霜,それはまだ……。どうやら作戦を立てるようなので、頃合いを見て戻ろうかと
夕雲,そう……。ごめんなさいね、早霜さんに頼るしかないの
早霜,フフフ……気にしないでください
夕雲,――さぁ、皆さん覚悟して。暁組が動いたと同時に、私たちも援護に回るわ。……夕雲組の本気、見せてあげましょう
暁,――響！次はどっちっ！？
響,あっちだ！
嵐,逃げる道に迷いがない！よく調べてきてるな……！
浦風,ウチらのシマの中でケリを着けるけんっ！
谷風,浦風の姉貴っ！砲は撃ってもいいんですかいっ？
浦風,……ダメじゃ！秋雲と萩風に当たる……！
磯風,慌てなくていい、このシマの事なら私たちのほうが詳しい。野分、先回り出来るか？
野分,はいっ！――嵐、舞風っ！
嵐,おうっ！
舞風,りょーかい！
秋雲,ぐっ……！本当に大丈夫なのかっ！？
萩風,いいから！着いていくしかないでしょう！
暁,……少し厳しいわねっ！最初の地点までは後どれくらいかしらっ？
電,ま、まだまだなのですっ！
雷,や、やっぱり、装備持ってきた方がよかったんじゃないっ！？
暁,ダメよっ！戦うぐらいなら、身軽になって走った方がいいわっ！
響,…………っ！！マズい、先回りされてるっ！
暁,くっ……！イチかバチかで突っ切るわよ！
野分,――止まれッ！！秋雲、萩風っ、逃げ切れるわけがないのはわかってるでしょう！
萩風,……わ、私が囮になりますっ！だからその隙に、秋雲を連れて――
暁,馬鹿言ってんじゃないわよ！それじゃ意味ないの！
萩風,で、でもっ！そうしないと皆さんが……！
暁,ぐっ……！
野分,――――ッ！！？
暁,えっ……だ、誰なのよっ！？
響,……血霧姉妹？綾波組の……、何故……！？
狭霧,詳しく説明する時間はありませんが、夕雲組との縁がありまして……
天霧,あぁもう、まどろっこしいぜっ！いいから、ここはあたし達に任してさっさと行きなっ！
電,で、でも……！
暁,……行きましょう！綾波組のお二人、ありがとう……。でも、出来れば戦わないで欲しいというか――
狭霧,それも承知しています。今はとにかく、暁組の方々は逃げることに専念してください
天霧,そういうことだっ！
雷,あ、ありがとうっ！
浦風,どういうことじゃ……！綾波組まで出てくるなんてっ！
磯風,……やってくれるな。――浦風の姉御。……あの二人は私と野分が相手します。谷風、嵐、舞風と暁組を追ってください
浦風,……わかった。でも、あの二人は相当な実力者と聞くけん、無理はしちゃいかんよ？
磯風,わかってます……
浦風,――谷風、嵐、舞風っ！ウチ達は暁組を追いかけるけん！
谷風,がってんっ！
磯風,……野分、立てるか？
野分,問題ありません……
狭霧,……浦風さん達は、仕方がないですね。何とか逃げ切れればいいんですけど……
天霧,大丈夫さっ！あたし達は出来ることをやるだけ……そうだろ？
狭霧,……そうですね――
陽炎,――綾波組ですって！？。……わかったわ。そのまま、暁組を追って。くっ……。そうか……、夕雲組と綾波組はすでに繋がっていたのね……
黒潮,あはは……。暁組・夕雲組・睦月組・吹雪組・綾波組・秋月組の全部を陽炎組だけで相手にせなあかんのか……
陽炎,初風っ！睦月組はもういいわ、磯風の所に行ってあげて！
初風,わかりましたっ！
陽炎,黒潮、天津風と雪風はどこに居たかしら？
黒潮,たしか……、本部の守りやったと思うけど
陽炎,本部の守りはしょうがないわ。ひとまず動いてもらいましょう。……天津風、聞こえる？
天津風,はい、わかりました。……雪風、出かけるわ
雪風,へっ？本部に居なくていいんですか？
天津風,状況が変わったの。すぐに準備して
雪風,はいっ！
天津風,――誰ッ！？
雪風,ふぇっ！？
綾波,勝手に上がってしまって申し訳ありません。初めまして、綾波組の組長を務めております、綾波と申します。どうぞよろしくお願いしますね
天津風,う……そでしょ……！？綾波がここに……っ！？
