本田未央,しまむー！！なんで……なんでこんな事に……！
幸子,……容赦なく割り込んできますね。えっと……961プロのアイドル……モバＰに惚れ……強引な移籍を……モバＰの尽力で二人は晴れて346に…………なんですかこれは！？
モバＰ,マスコミって怖いだろ？
幸子,プロデューサーさんが持ち上げられすぎて、すっごい気持ち悪いです！！
モバＰ,あ、そこなんだ
みく,幸子チャン、いいの？色々捏造されてるけど
幸子,こんな本当のことが一つも書かれてない記事なんて誰も気にしませんよ。よく言うじゃないですか。嘘を信じさせる為には真実を織り交ぜて伝えると。100％嘘しかない記事なんて失笑されるのがオチですよ。ただボクをバラドル扱いしてるのは嘘でも許せないですね！
奏,だとすると、この記事みんな信じてしまうかも
幸子,……？なんでですか？
奏,私の事、ほとんどホントの事だから
幸子,……は？
奏,辞めたきっかけは違うけど……元961プロのアイドルで、Ｐさんに惚れていて、芳乃ちゃん経由で強引な移籍をしたから。……ね？
幸子,……プロデューサーさん。この人一年くらいマストレさんに預けましょう？それが奏さんの為であり事務所の為です。……ね？
奏,最近幸子ちゃんがきびしいわ……
モバＰ,はは……まぁ、二人は心配せんでも大丈夫だよ。来週には訂正の記事が入るし、その前になんだかの形で961プロが否定してくれるから
幸子,そうなんですか？それならいいですけど……
奏,二人は？そう言えば芳乃ちゃん、他にも何かある素振りだったわね……
モバＰ,でも、奏。お前はもう少し自重すること。いいな？
奏,え、ええ……そうね
モバＰ,マスコミの怖さがわかっただろ？些細なことでも面白おかしく膨らましてくるんだ
奏,はいはい
モバＰ,ちゃんと聞きなさい。異性に近づくなとは言わん。けど、お前の距離感はいささか近すぎて
奏,……
モバＰ,……なにしてんの？
奏,どの口がそんな事いうのかなと思って。記念に一枚
モバＰ,……ぐうの音も出ねぇ
蘭子,降りるタイミングが無かった……
みく,Ｐチャンは締まらないにゃあ
幸子,アホなんですよ、アホ
モバＰ,最近幸子ちゃんがきびしいわ……
加蓮,それでは、第一回渋谷裁判を開廷致します
凛,ん゛～！
奈緒,この敏腕プロデューサー、モバＰ特集第二弾内で書かれている、今や押しも押されぬトップアイドル蒼きＲ。そんな彼女がツアー中にも関わらずモバＰの実家に訪れ、両親に挨拶を―――これについて間違いはありませんか？
凛,ん゛～ん゛？
加蓮,そうですか。間違いないと……
凛,ん゛～！
奈緒,残念だよ……凛
加蓮,被告を抜け駆け罪でぶちゃいくの刑に処す。卯月……お願い
卯月,はいっ！
凛,ん゛ん゛っ！！ん゛～！
卯月,凛ちゃん。縛られる気持ちわかってくれた？
凛,ん゛！ん゛！
卯月,うん。でも処すね？
凛,ん゛～！
モバＰ,……
未央,……スルーなんだ
モバＰ,あぁ……うん……
未央,……ごめん。変な注目されててそれどころじゃないよね
モバＰ,いや、俺のことはどうでもいいんだ。でも……
未央,でも？
モバＰ,…………ん。意外と凛達気にしてないから、もう少し危機感を持って欲しいかなって
未央,……何か隠してる？
モバＰ,鋭いね、未央ちゃん。でも大人の問題だから
未央,……私も、もう大人だと思うけどな？
モバＰ,世間一般的に女子高生はまだ子供です。残念！
未央,……
モバＰ,ははは……
未央,……
モバＰ,……
未央,……
モバＰ,……わかったよ。黒井……じゃなくて、マスコミの調査能力がここまでとは思ってなくて
未央,対応に困ってる？
モバＰ,……まあ、そんなとこ。部長には連絡つかないけど、来週には先輩も帰ってくるし、心配すんな
未央,わかった……。でも、他の上の人には相談しないの？
モバＰ,極力部長か先輩にしか……な
未央,……ぁ
モバＰ,これで察っしちゃうか。意外と頭の回転早いな
未央,失礼なっ！……今更遅いかもしれないけど、しぶりん達の周り注意しとく
モバＰ,ん。頼む。………………けど、あまりモタモタ出来んよなぁ……
未央,え？なに？
モバＰ,……お？難聴系ヒロインかな？
未央,変な属性つけないでよ～！
モバＰ,ははっ。怒んな怒んな。ほらコントの続き見ようぜ～
未央,も～、すぐはぐらかすんだから……
凛,ん゛～！！！
奈緒,凛。もう覚悟を決めろ？ほら猿ぐつわ外すから
卯月,うずうずしてきました！奈緒ちゃん早く早くっ！
奈緒,嬉しそうだな……ん
凛,ぷはっ！加蓮、奈緒聞いて！！抜け駆けしたのは謝る！ごめん！！でも、この件、前から知っていて黙ってた子がいるのっ！不思議じゃない！？
卯月,り、りんちゃん……？
加蓮,そうなの？でも傍から見たらスキャンダルな訳だから、凛のことを考えて黙ってたんでしょ。別に不思議じゃないけど？
奈緒,そうだな。どっから漏れるか分からんし、凛のこと思ってだろ。結局サラッと書かれたけど
卯月,そ、そうです！凛ちゃんが大事だから……
凛,違うっ！！
卯月,断言！！
凛,だってその子もプロデューサーの実家に行ってたの！私の後にっ！！
卯月,な、何を根拠に……
凛,お義母さんに電話して聞いたから！まさかと思ってね！！どうせ、みんなから色々聞かれたら自爆しそうだからって、黙ってたんでしょ！？卯月っ！！
卯月,っ！
加蓮,奈緒っ！
奈緒,ﾌｯ!
卯月,！？
奈緒,ん
卯月,ん゛～！ん゛～！！
未央,かみやんスゲェ……
モバＰ,それよりおかあさんに電話して聞いたからって……
未央,だね～。連絡先を交換してるなんて、しぶりんやるなぁ
モバＰ,え～……そういう反応なんだ……凛のおかあさんって意味じゃ……
未央,ないね！
モバＰ,……ないか
ちひろ,アイドル達からの親愛度の高さは折り紙付きのモバＰ。しかし、プロデューサーの鑑と言っていい彼は一切手をつけることなく―――ホント気持ち悪いですね。プロデューサーさん
モバＰ,完全に同意なんですが、もう少し言い方ってもんを……
ちひろ,謎のポスター美少女と婚約しているという噂が、彼女の地元でまことしやかに囁かれているが……。何かの陰謀ではないかと―――……婚約しているという噂があるらしいですが？
モバＰ,陰謀とか……よく言うよ……
ちひろ,婚約しているという噂がっ！あるらしいんですが！？
モバＰ,うおっ！な、なに怒ってるんですか。そんなのデタラメですよ
ちひろ,火のない所に煙は立たぬ……
モバＰ,いや、だから…………ぁ
ちひろ,あー！やっぱり心当たりがあるんだっ！プロデューサーさんの裏切りものっ！！
モバＰ,なんでそんな興奮してるんですか！裏切りとか……今の俺にクリティカルヒットなんですよ！
ちひろ,私の先を越すのは許さない……絶対にだっ！
モバＰ,最低だな、おい
先輩Ｐ,おはようございます。…………なんか転がってる
ちひろ,あ、おはようございます。お休み満喫出来ましたか？
先輩Ｐ,え？あぁ……それなんですが……その前に、モバＰ
モバＰ,うすっ！お久しぶりッス！相変わらずのたくましい風貌を見れて、やっとここに帰ってきた実感が
先輩Ｐ,裏切りがクリティカルヒットってどういう意味だ？外まで聞こえてきたぞ
モバＰ,……
先輩Ｐ,……
ちひろ,え？え？
先輩Ｐ,はぁ……。またお前つまんない事考えてるだろ。黒井に何吹き込まれたか知らんけど、一人で抱え込むな
モバＰ,……知ってたんですね。引き抜きのこと
先輩Ｐ,まあな。黒井がちょろちょろしてたのは分かってたし、芳乃からもそれとなく聞いてたからな
ちひろ,ちょちょ！待ってください！なんですか！？引き抜きって！！
モバＰ,……アメリカに居た頃、誘いを受けまして。もちろん断ったんですが……
ちひろ,な、なんだ。裏切りとか言うからてっきり……
先輩Ｐ,でも、メディアを使って、懐柔……というより、遠回しな脅しをしてきて揺らいでると
モバＰ,……まぁ
ちひろ,え！？脅し！？
先輩Ｐ,この記事、モバＰを持ち上げる内容ですけど、うちのアイドルのイメージが悪くなるエピソードばっかりでしょ
ちひろ,それはそうですが……脅し、ですか？
先輩Ｐ,ええ、読者からしたらよくある眉唾なゴシップで一笑に付すでしょうが、モバＰにとっては心当たりあるものばかりですからね
ちひろ,でも、この程度なら……
先輩Ｐ,こいつはそこを心配してるんじゃないんですよ。嘘や誇張で装飾されてるけど、元の情報は事実。ならあの事も……だろ？
モバＰ,はい。周子の両親に挨拶して誤解させたことまで調査出来るような人達だから……凛達が襲われたことも……
ちひろ,……ぁ
モバＰ,アイドル生命がどうとかの前に、あいつらをあの事でもう傷つけたくないんです
ちひろ,そう……ですね
先輩Ｐ,私も部長もそう思ってな。だから対処してきた。もう安心しろ
モバＰ,……は？
先輩Ｐ,お前の引き抜き情報で黒井の名前が出た時に、すでにうちのこと細部まで調べられてると仮定して動いていたんだよ
ちひろ,え？じゃあ、休みっていうのは……
先輩Ｐ,嘘です。すいません、なるべく人に漏れないようにしたかったんで
ちひろ,は、はあ……。部長に連絡つかないのはその為だったんですね
先輩Ｐ,それで仕事に支障をきたさないのはどうかと思いますが……そうですね。私とは連絡取り合ってましたけど
モバＰ,何この人。特命係長か何かなの？
先輩Ｐ,アホか。とにかく、最悪なのは凛達に直接記者が接触することだから、お前の所に合宿の名目で逃がしたわけ。不自然に思われないよう卯月と未央も一緒にな。もちろん、あいつらを休ませてやりたいってのもあったけど
モバＰ,……それ、美嘉とまゆには内緒でお願いします。俺、適当ぶっこいたみたいなんで
先輩Ｐ,は？まぁ、いいけど。……それで私達はあらゆるメディアに根回しをしてたんだよ。凛達が帰ってくるまでには終わらせたかったけど、そんなに甘くなかったな……。あいつらに変な記者は？
モバＰ,来てないと思います。黒井さんも、もう取材はする必要ないみたいなこと言ってたんで
先輩Ｐ,そっか、良かった
ちひろ,じゃあ、もう安心しても……？
先輩Ｐ,ええ。黒井の息のかかった週刊誌だけは難儀しましたが、それも来週からは大丈夫でしょう
ちひろ,ほっ……そうですか。でも良かったですね。あの事が書かれる前に止めることが出来て
先輩Ｐ,ええ。あれはあっちの決め球みたいなものだから、早々には出さないと思ってたけど……幸子達には嫌な思いをさせてしまったな……
モバＰ,芳乃からあらかじめ聞いていたからか、気にしてる感じではなかったですよ
先輩Ｐ,そうか……。芳乃から……
芳乃,でしてー……
先輩Ｐ,……さっきから気になってたんだけど、何してんだアレ
モバＰ,……大地との会話ですかね。わかんないです。ちひろさんもスルーしてますし、俺も見守るだけにしとこうかなと
ちひろ,あ、ズルい。私もプロデューサーさんが触れないから、そっとしておいたのに
芳乃,……
先輩Ｐ,……おい。なんか悲しそうだぞ。ケアしたほうがいいんじゃないか？
モバＰ,……ですね。……よ、よしの～ん？うつ伏せで転がってると鼻痛くならないか～？
ちひろ,ケアするとこはそこじゃないと思うんですが……
モバＰ,いや、一応突っ込んでおこうかなと……。芳乃～？何かあったのか？
芳乃,わたくしはー、己の未熟さに嫌悪の念が次から次へと溢れ出て来ておりー、闇にのまれよー
モバＰ,……やべぇ
芳乃,周子はわたくしがこちらの世界へ橋渡しをしたようなものー。なのにー、悪意に気付かずー、世間に晒されてしまう始末ー……うあー……
モバＰ,よ、芳乃は全く以って悪くないぞ？気にするな？
芳乃,わたくしにも矜持がありましてー、ぅぅ……そなたーそなたー
モバＰ,あぁ……ここでグズるか。ほら、落ち着け落ち着け～
芳乃,ぅぅー……そなたー
先輩Ｐ,……芳乃っていくつでしたっけ？
ちひろ,１８歳になるかと
先輩Ｐ,マジか。幼女の神秘だな
ちひろ,……もう、よくわかんないですね
キャシー,うはー！ついに明日デビューだよー！緊張してきたー！！
モバＰ,その前にリハの後、昼のワイドショー枠で簡単な会見があるからな。生放送だから下手なこと言うなよ～
キャシー,ライブツアーのプロモーションでしょ？凛ちゃん達に任せるから平気平気！そうやって緊張を煽っても無駄だよーん
モバＰ,お前達のお披露目の意味合いが強いんだから、質問はお前達に集中すると思うけどな～？
キャシー,アタシ、ニホンゴマダムズカシイネー
モバＰ,この前の取材でペラペラ喋ってたから、ソレハモウムリネー
キャシー,えー？じゃあ下手なこと言ってしまうよ？具体的にはアメリカでのキスシーン目撃談とか
モバＰ,よし！緊張を煽った俺が悪かった！周子の話題は今大変デリケートだから、事務所内でも勘弁してください！何か飲み物でも買ってきますから何卒っ！！
キャシー,あははっ！いいって、冗談だから！あたしだって聞かれたらまずい人の前では……
まゆ,キャシーさん。ちょっと詳しく教えてもらえますかぁ？なぜキスシーンの目撃談が周子さんの話題になるんですかぁ？
キャシー,……っべー
モバＰ,俺の机の下って気配消せるんかなぁ……。えっと、まゆ？今のは周子とキスシーンを目撃したってことで……
まゆ,Ｐさんは少し黙っててくださいねぇ？キャシーさん、聞かせてもらえますかぁ？
モバＰ,おおぅ……
キャシー,やー……えーと……
ヘレン,それはそのキスシーンが、Ｐと周子のロマンティックアクションだからよ！つまり男女の営みねっ！！
まゆ,……え？
モバＰ,うそー……なにこのビッグバンアタック……
キャシー,色々ツッコミ所あるけど……ヘレンさん、どこでそれを？
ヘレン,たった今、周子に聞いたわ！
キャシー,今！？
周子,やっほ
モバＰ,しゅーこちゃーん……
周子,だって、事実だしねー。週刊誌で婚約を大々的に発表された身としては別に言ってもいいかなーって
モバＰ,デビュー前に婚約発表なんて前代未聞だよ……
周子,うけるよねー。うちの両親も喜んでたよー。あ、めんどくさいからあの挨拶が結納ってことで！
まゆ,！？
モバＰ,結納ってお前……笑えんわい。俺をこの業界から抹殺させる気か。……はっ！まさか陰謀って周子が……？
周子,ひどー！ファーストキス奪っといて、そんな事言うー？
モバＰ,あれは、お前が……まゆ？
まゆ,……ゃ……ぃゃ……いやですよぉ……デタラメだと思ってたのに……本当に婚約なんて……Ｐさぁん……ひぐっ……
モバＰ,し、してないしてない！
まゆ,ぅぅ……ひっ……んくっ……でも……あの挨拶が結納って……ぅぅ……
モバＰ,あれは日本語の奥深さが招いた解釈の違いで！つまり誤解だから！それも、もう解いてるし！絶対無いからっ！
周子,……キスは誤解じゃないけどねー
まゆ,っ！ぃゃぁ……ぅぅ……
モバＰ,お、おまっ！今言うことじゃ
周子,……あからさまに否定されると、シューコちゃんだって傷つくんですー
モバＰ,んぐっ……す、すまん……
まゆ,ゃぁ……ふぐぅ……ぅぅぅ……
モバＰ,ど、どうしたら……
キャシー,へへっ、こいつぁやべぇぜ……修羅場ってやつさぁ……
ヘレン,江戸っ子ね！キャシー！！
モバＰ,ヘレンさ～ん……そんな我関せずみたいな……
ヘレン,……仕方ないわね。まゆ！Ｐは婚約してないから安心しなさい！！私が保証するわっ！
まゆ,んぐぅ……ぅぅ……でも、キス……
ヘレン,キスなんて挨拶よ！世界で考えなさい！世界でっ！！
まゆ,さ、さっき……男女の営みって……
ヘレン,言葉の綾ね！
キャシー,悪びれぬ即答！
周子,顧みぬ発言！
キャシー・周子,それが世界レベル！！
モバＰ,……仲いいね
まゆ,でも……
ヘレン,挨拶と捉えられないなら身を引いた方がいいわ！留美、美優、そして……私を含めてっ！！Ｐの唇を奪った女は、すでに何人もいるのよ！
まゆ,ひぅぅ！う゛あ゛あ゛！や゛あ゛あ゛！！る゛み゛さ゛ん゛、んく……みえはっただけっ……てぇ！い゛って゛た゛の゛にぃ゛！う゛あ゛あ゛～！！
周子,……Ｐさん
キャシー,ないわー
モバＰ,決して俺からでは……って、いやいや！周子のジト目は納得いかないんだけど！？
周子,ガードの緩さがムカつくー
モバＰ,えぇ……
ヘレン,……そんなに悲しいなら諦めたほうが賢明ね。まゆの理想に合致する男なんていくらでもいるわ。それこそＰよりいい男がね
まゆ,んぐぅ！ぅぅ……ひぐっ……理想とかじゃ……ありません……Ｐさんは……運命の人、なんです……！！
ヘレン,それじゃ？
まゆ,諦めませんっ！！Ｐさんはまゆのもので、まゆはＰさんのものなんです！！死が二人を分かつことも無いんです！！その先もずっとずっと一緒なんですっ！！
ヘレン,よく言ったわ！！なら、今からすることは分かるわね？
まゆ,はいっ！Ｐさん！！
モバＰ,え……ええ！？んん！？
まゆ,んん、はむん……ん……
キャシー,わお……とんだフレンチキスだよ……
周子,
キャシー,あ、とんだってまゆちゃんが跳んだって意味もあるんだよ？シュタンって音がしたよね
周子,
キャシー,……もしも～し
周子,
ヘレン,周子には刺激が強すぎたようね
キャシー,意外にもネトラレ耐性なかったか……
まゆ,うふふ……ＰさんＰさん……んん、はん……んちゅ
モバＰ,ん゛ん゛～！！
まゆ,うふっ、はむ、はぁん……
キャシー,って！やばいやばい！まゆちゃんがゾーンに入った！これ以上はっ！！
ヘレン,ここまでするとは私も予想外だったわ。流石まゆね！でもそこまでよっ！
まゆ,え！？
ヘレン,ちょっと頭を冷やしましょう！ここは屋上で乾布摩擦がマストねっ！！
まゆ,え？え？あ、あの……Ｐさん！Ｐさ～ん……
キャシー,俵のように担いでったよ……さて
モバＰ,はぁはぁ……
周子,
キャシー,……。……お疲れっしたー！
メアリー,見テ！マスコミ関係者が一杯ヨ！！
舞,ほぁぁ……すごいね。カメラもたくさん……あぅぅ、緊張するなぁ……
メアリー,そうネ！アタシもそわそわしてきたワ！
舞,変なこと言わないよう気をつけないと……ん？手帳が落ちてる
メアリー,どうしたノ？手帳？
舞,うん。マスコミ関係の人のかな？どうしよう
メアリー,名前かいてないノ？見せテ
舞,どうだろう。はい……って、中見ちゃうんだ
メアリー,名前書くとしたら裏表紙だと思うから、そこだけヨ
舞,そっか…………！？
メアリー,書いてないわネ……隣のページに走り書きがあるけど……どう？マイ。これ名前かしラ？
舞,うそ……
メアリー,マイ？
凛,こらっ。ドアの前に居たら邪魔になるでしょ？ここマスコミの人も使うんだから
舞,っ！
メアリー,ぁぅ……ごめんなさい。ちょっと気になっちゃって覗いてたノ……
凛,ふふ。気持ちは分かるけどそろそろ楽屋に戻ろ？着替えもしなきゃ
メアリー,うん！っと、ついでに、これなんて書いてあるノ？落とし物なんだけど、やっぱり名前じゃなイ？
舞,メ、メアリーちゃん！
メアリー,な、なに？
凛,……？どれどれ…………っ！？
舞,ぁぁ……
メアリー,ど、どうしたノ？
凛,……これ、どこで？
メアリー,ここに、落ちてたけド……
凛,そっか……
メアリー,えっと……
凛,……ごめん。なんでもないよ。じゃあ戻ろっか
メアリー,う、うん……
舞,凛さん……
イヴ,ブリッツェン、ブリッツェーン？どこですかぁ？ブリッツェーン
志希,どしたの～？そろそろ楽屋に行かないと興奮してる先輩Ｐにボマイェ喰らわされるよ？
イヴ,ぼまいえー？美味しいんですかぁ、それ
志希,にゃはは！食べ物じゃなくて、顔面への膝蹴り～。つったかた～って助走つけて、ドーン！！
イヴ,ひぃ！！怖いです～！でも、ブリッツェンが見当たらないんですよぉ……
志希,ん～……連れてきたの？
イヴ,はい～。一緒に来たんですが、リハしてる間にいなくなっちゃいましたぁ
志希,ほうほう。あの謎の生き物を……イヴちゃんは気骨があるねぇ
イヴ,謎じゃないですぅ！ブリッツェンは純然たるトナカイなんですぅ！！気骨って何がですかぁ！！
志希,うん、そのトナカイ仮
イヴ,仮じゃな……い…………あ、あの……怒られちゃいますかね？
志希,ボマイェを美味しく頂けるよっ！大丈夫！実は膝蹴りと見せかけて、勢いよくスネを押し当てる感じだから！
イヴ,全然大丈夫じゃないです～……。志希さん、この事は内密に……
先輩Ｐ,何してんだお前ら。はよ楽屋行け
イヴ,ひぃぃ！！ごめんなさい、ごめんなさい～！ぼまいえーは嫌ですぅ！！
先輩Ｐ,……は？ぼまいえー？
志希,にゃーはっはっは！先輩Ｐタイミング良すぎ～。さっきのゴタゴタはもういいの？
先輩Ｐ,……リハ中だったはずのお前がなんで知ってるのか聞いてもいいか？
志希,……志希ちゃんらしからぬ失言！イヴちゃん！楽屋へダッシュだ！
イヴ,わわっ！引っ張らないでぇ～！先輩Ｐさ～ん、ぼまいえーはどうかご勘弁を～……
先輩Ｐ,……志希に見られてたか。それも、モバＰの馬鹿がこっちを私に押し付けるから……あ～疲れる……
凛,奈緒、加蓮……ちょっと話があるんだけど……
奈緒,どうした……何かあった？更衣室なんかに呼び出して
加蓮,……ちょっと顔色悪いよ？大丈夫？
凛,うん……まず、これ見て。最後のページ
奈緒,手帳？
加蓮,最後……
凛,……会見する所に落ちてたみたいなんだ……
奈緒,っ……
加蓮,ゃ……
凛,……辛いと思うけど……一旦、私達のことは置いといて？モバＰ完全降伏の場合……これ、どういう事だと思う？
奈緒,す～は～……。ん……降伏っていうくらいだから……何か争ってる？
加蓮,ふぅ～……。そ、そうだね……。でもそんな様子は……週刊誌の記事に嫌な顔はしてたけど、Ｐさんの事褒めてた内容だったし……
凛,うん。でも、同時に私達のイメージが悪くなるものばかりだから……プロデューサーそれで揉めてたんじゃないかな
奈緒,そうだな……じゃあ、やっぱり週刊誌関係か
加蓮,……奏が心配そうにしてたのこの事だったのかな……
奈緒,でも、この黒井社長、連絡ってのはなんだろう？週刊誌の出版元の人？
凛,多分違うと思う。それよりもプロデューサーに関係ありそうなところ……
加蓮,芸能関係……？
凛,うん……私の想像でしかないんだけど……。961プロの社長の名前、黒井崇男っていうみたいだから……もしかしたら、961プロと何かあったんじゃないかな？
奈緒,何かって……アイドルを引き抜かれそうになったとか……？
凛,……もしくは、プロデューサーが引き抜かれそうになったか
加蓮,実際その話はあったよね、アメリカから出国した日。Ｐさんは断ったって言ってたけど
奈緒,あぁ、あったな。じゃあ、あの電話相手が961プロの関係者だとすると……
加蓮,引き抜きを諦めてなくて、週刊誌を使って揺さぶってきた……とか
奈緒,これ以上記事にされたくなければ……みたいなやつか？
加蓮,うん。Ｐさんを持ち上げてるのは脅しを隠してるカモフラージュと、あわよくば評判のいいプロデューサーにして所属させる為だったり
奈緒,考えすぎ……とは、言い辛いな……
加蓮,……だよね
凛,……私も同じようなこと考えたんだ。それで、会見までに連絡なしと黒井社長、連絡って走り書きが意味するところだけど……プロデューサー、今……黒井社長と話してるんじゃないかな？
加蓮,……リハ終わってからＰさん見てないし、まさか本当に？
奈緒,お、おい、それ……もし、黒井社長が、あ、あの事で……Ｐさんを脅してたりしたら……
凛,……Ｐさんのことだから、私達を守る為に移籍すると思う
加蓮,っ！で、電話っ！！
凛,さっき何回もかけたけど、すぐ留守電になるんだ。かけ直してもこないし、多分意図的だと思う
加蓮,そ、そんな……。い、いや……嫌だよ……Ｐさんが居なくなるなんて……嫌っ！！
凛,落ち着いて。あくまでその可能性があるってだけだから
奈緒,で、でもっ！……なんで凛はそんな落ち着いてるんだよっ！！
凛,……私ね、覚悟……決めたんだ……
加蓮,なっ！？Ｐさんと離ればなれになってもいいの！？
凛,ううん……違うよ。それだけは絶対無理
奈緒,じゃあ、何を……
凛,あの事……私から会見で言っちゃえば、脅しの価値なんてなくなるからさ……Ｐさんが辛い選択をしなくてもよくなるよね？
加蓮・奈緒,え！？
凛,あ、安心して。二人がそこに居たことは言わないから。私だけが被害にあったことにするから
奈緒,そういう事じゃないだろっ！なんで自分から傷つきにいくんだよ！
加蓮,Ｐさんの想いを否定するの！？
凛,……私ね？プロデューサーのことが大事なんだ。何よりも……自分よりも、ね。プロデューサーにはちょっと嫌われるかもしれないけど、そこは頑張ってまた好きになってもらう
奈緒,な、何言って……
凛,それに、もう……嫌なんだ。あの事で周りに気を使われるのも、知らないうちに誰かを振り回すのも
加蓮,だからって……凛がまた傷つくことない！絶対ないっ！！他に何か方法があるはずだから！
奈緒,そうだよ！それに、凛が言ったんじゃないか！想像でしかなくて、あくまで可能性だって！
凛,そうだね。でも、手帳には書かれてるんだよ？……レイｐ被害の件って
奈緒,くっ……
凛,どこかの記者には知られてるのは事実なの。だったら、これから先、マスコミに脅されないよう、踊らされないようケリはつけないと
加蓮,だめだよぉ……りん……
凛,……そんなに深刻にならなくても大丈夫だって。ほら、レイｐ被害って言っても未遂だし。そこまで騒ぐことじゃないから……ね？
奈緒,そうじゃ……ないだろ……
加蓮,……ぅぅ
凛,……でも、先輩Ｐにすごい怒られちゃうだろうから、そこは深刻にならざるを得ないかな？ふふ……
奈緒,馬鹿……
加蓮,……りん～
凛,……ごめんね
未央,あ！いた！しぶりん達ここにいたよ～！
卯月,私が見つけました！
未央,おぅ！？なぜ嘘を吐く！？
卯月,なんとなくっ！
未央,こやつは……
卯月,先輩Ｐさん、ここですよ！こ～こっ！！
先輩Ｐ,ハイハイ。テンションたけぇな
未央,気持ちはわかるけどね～。何故なら……しぶりん達、これを見たまえ！！
卯月,この溢れんばかりの可愛さをっ！！
トライアド,……
卯月,……未央ちゃん。何故かスベったみたいだよ？いたたまれないよ？
未央,……たぶん、しまむーのテンションがスベってるんだと思うな
卯月,テンションってスベるんですか！？
先輩Ｐ,知らんがな。……それで、お前達はどうしたんだ？暗いけど
凛,ううん。なんでもないよ
奈緒・加蓮,……
先輩Ｐ,……喧嘩か？
凛,違う違う。でも……先輩Ｐ、ごめんね
先輩Ｐ,なんで私に謝る……
卯月,……先輩Ｐさんのお弁当を、ここでこっそり食べてたんですよ。きっと
先輩Ｐ,マジかっ！それは許されざる行為だぞ！？
凛,……先輩Ｐが卯月の言うことにノるなんて……疲れてる？
先輩Ｐ,……そうなんだよ。モバＰが黒井のところ……961プロの社長のところに行きやがってな……
奈緒・加蓮,っ！
凛,……なんで？
先輩Ｐ,あー……大人の事情だよ。そんな事より卯月と未央を見て何もないのか？
卯月・未央,イエイ！！
凛,……はぐらかさないで。行きやがってなってどういう意味？
先輩Ｐ,そのままの意味だよ。ていうか、流石にポーズまでとった二人をスルーするのは酷だぞ？
卯月・未央,……
凛,ご、ごめん。新しい衣装なんだね。どうしたの、それ
未央,プロデューサーからのプレゼントなんだっ！！
卯月,もちろん凛ちゃん達のもあるよっ！！持ってくるね！
凛,……プロデューサー、ホントに衣装を……
先輩Ｐ,最初で最後の特別だと。まぁ、貰ってやれ
奈緒,最初で……
加蓮,最後……
先輩Ｐ,……？あぁ、そうだ。私これから行くとこあるから、何かあったら部長にな
未央,え？そうなの？ライブも見ないの？
先輩Ｐ,それまでには帰ってくるよ。それじゃあまた後で
未央,はーい
卯月,おまたせ～。持ってきたよ
未央,綺麗な衣装箱と台車の無骨さが何とも言えないね
卯月,三人分の衣装って意外と重いんだよ？ってことで、それぞれ名前書いてあるから確認してみてね
トライアド,うん……
凛,これ……
加蓮,お揃いだね……
奈緒,綺麗だな……
未央,おぉ！カッコイイ！！黒で統一されてるんだ。トライアドのクールなイメージにピッタリだね！
卯月,あ！でも、リボンとか小物の色はそれぞれ違うね。凛ちゃんは青で、加蓮ちゃんは黄色、奈緒ちゃんは赤！……信号機？
未央,こーら！そういう事言わない！
卯月,はい！ごめんなさいっ！
凛,綺麗な……蒼……。プロデューサー、ちゃんと覚えてくれてたんだ……
加蓮,ふふ……うれしいな、うれしいな…………うれしいよぉ……ふぅぅ……ぅぅ……
奈緒,な、泣くなよ……つられちゃうだ……ろ……っ……んくっ……
未央,うんうん。泣けばいい。喜びの涙ほど美しいものはないのだから……
卯月,ホントに？
未央,……何故詰めてくる
奈緒,ふふ……。……なあ、凛。さっきの話だけど……あたしも一緒に言うよ……
凛,……え？
加蓮,すん……うん……私も……。やっぱり凛だけが辛い思いをするのはおかしいもん。このお揃いの衣装見て改めて思ったよ。私達はいつでも一緒。ね？
凛,でも……
奈緒,でもじゃねぇよ。大体、あたしだってＰさんの事が自分より大事なんだ。凛一人いい格好させてやらねーからな
加蓮,そうそう。それに、凛がいくら被害にあったのは一人だけって言おうが、マスコミは裏付けをとる為に調べるんだから。すぐバレるって
凛,それは……
未央,ちょちょ！何の話！？なんか不穏な感じなんだけど！？
卯月,……そうだよっ！凛ちゃんはニュージェネでもあるんだよっ！私達だっていつも一緒だから！そう易々と凛ちゃんを自分達のものにしようなんて甘々だよ！
未央,よーし！しまむー、シャラップだ！大事な話だから、ちょっと大人しくしときなさい！
卯月,未央ちゃん！これは退けない戦いなんだよ！ニュージェネの正念場！！
未央,はいはい、しぶりんはみんなのしぶりん！だから興奮しないっ！
奈緒,……いーや、未央！凛はあたし達のもんだから、卯月にはよく言って聞かせないと
加蓮,うんうん。私達と凛との友情の濃ゆさは、残念ながら卯月では太刀打ちできないよ
卯月,なにおう！？
未央,あーもう！二人共誤魔化さないでよ！しまむーも、ステイ！！
奈緒,だってなぁ？凛は渡せんよなぁ？
加蓮,ふふふ、譲れないよね
未央,……しぶり～ん
凛,ふふ……私モテモテだね
卯月,そう！凛ちゃんはモテモテ……だから……
凛,……卯月？
卯月,凛ちゃん……ごめん。触れちゃいけないと思ったけど……やっぱりスルー出来ないや……
凛,……そっか
未央,……ねぇ、本当に心配なんだよ？目の前であんな会話されたらほっとけないよ
卯月,凛ちゃん達はいつも笑顔でいて欲しいな……
