輩,ともがら
俺の手からスプーンを受け取る時、,ありがとう……本当にありがとうね……
提督,……
長門,……
提督,……
長門,……
提督,バガヤロ゛ウ……誰がマジでいい話しろっつった……
長門,ずまな゛い゛……本で読んですごくいい話だっだがら゛……
曙,節約の話はどこいったのよ……
提督,むぅ、こりゃひどい。いざこうして出ないもんだと実感するとヘコむなぁ。いやホント出ないな
長門,どうした便秘か？
提督,お前と一緒にすんなや
長門,ほう、随分堂々としたセクハラだな
提督,見事な放物線を描くブーメランだな
長門,改めて、一体どうしたんだ。何とも辛気臭……深刻な顔をして思い悩んでいたようだが
提督,はっはっは、憂いを纏ったハンサム顔で悪かったな
長門,……
提督,無言で眉間にシワを寄せるのは勘弁してください。まぁ、さっきのはマイ鎮守府の装備資料を見ていたんだ
長門,私も拝見していいか？
提督,あいよ
長門,ふむ、これはまた砲台特化の装備一覧としか言いようがないな
提督,４６ｃｍ連装砲狙いでレシピを回した結果よ。ながっちゃん、そろそろ本気出してもいいんだぜ？
長門,おいおい提督、心外だな。むしろレシピが間違っているという可能性もあるだろう？。了解した
提督,妖精と資材の準備はどうだ？
長門,うむ、問題ない
提督,では早速取り掛かるぞ
長門,相分かった。声出し確認を頼む
提督,燃料
長門,10
提督,弾薬
長門,251
提督,鋼材
長門,250
提督,ボーキ
長門,10
提督,以上四点、不備無し確認、良し！
長門,精製開始！。うむ、駆逐艦ちゃんへの土産ができたな
提督,おぅこらちょっと待てやビッグセブン。こりゃ今日もアカン流れじゃないのかね長門くん
長門,そんな私から一つ案がある
提督,利が出そうなものなら聞いてやるわ
長門,普段どおり淡々とこなすから結果も自然と普段のままではなかろうか？
提督,ほほぅ
長門,精神論は前時代的かも知れないが、やはり応援などの励ましがあると結果が違うかも知れん
提督,応援？
長門,提督が気合を込めて私にエールを送れば４６ｃｍ連装砲への道が開ける可能性だってある、ということだ
提督,何やらオカルトチックではあるが……現状の打開という意味合いで試してみるか。では、改めて声出し確認をするぞ
長門,了解
提督,燃料！
長門,10
提督,弾薬！
長門,251
提督,鋼材！
長門,250
提督,ボーキ！
長門,10
提督,以上四点、不備無し確認、良し！流石は稀代のビッグセブン！
長門,精製開始！。提督、少々うるさいぞ
提督,今ものっすごく応援した事を後悔してるわチクショウ
長門,他に理由をつけるとすれば……
提督,すれば？
長門,ただ弾薬や鋼材を練り込んで武器を作る、という過程の作業こそが原因になってるかも知れん
提督,そりゃどういう意味だ？。昔で言う“油の一滴は血の一滴”みたいに、なんらかの比喩表現を持たせりゃ変わるかもって事か。では、再三言うが声出し確認をするぞ
長門,了解
提督,業火の種とも成り、万物を守る盾とも成る、無限大のパーセンテージリキッド。燃料！
長門,10
提督,吼える魂を乗せて敵を貫く為の寄り代。心が柄なれば、その剣の名前は。弾薬！
長門,251
提督,よく見れば命を刈り取る形をしているだろう？鋼材！
長門,250
提督,そしてそれらを顕現せしめん、胎動する一律無二の産物を示せ！ボーキ！
長門,10
提督,出でよ、４６ｃｍ連装砲！
長門,精製開始！。これは笑うなという方が不可能だ
提督,……頬めっちゃ膨らませて笑いを堪えている今のお前のフェイス、腹立つ事この上なしだわ
長門,中学生の妄想みたいな事を淀みなくつらつらと話すとは……恥ずかしい人だな
提督,今手元に自決用の拳銃があれば、躊躇なく自分の頭を打ち抜ける自信あるわ
長門,これしかないが大丈夫か？
提督,さっき作った14cm単装砲を差し出してくれるとは優しいやつめ、はっはっは
長門,妖精たちも一緒に聞いていたが皆がみな赤面していたぞ、はっはっは
提督,なにこれもうしにたい。むぅ、ながとー。今日は朝からずっと資料とにらめっこ状態でしんどいぞー
長門,なんとなく思うのだが、ここの鎮守府はどうにも事務業が多い気がするな
提督,どこの鎮守府だってこんなもんよ。それよりどうだ、昼下がりで良い頃合だしがっつり休憩でもとるか？
長門,賛同する。休憩がてらにとりあえず出前でうな重とピザと寿司でも頼むとしよう
提督,とりあえず、で頼むにしては重すぎませんか長門さん？俺の知らないこの数秒の間で祝い事でもあったの？
長門,まぁ先ほどのは単なる冗談だ。缶コーヒーでも買ってくるとしよう。む？
提督,とりあえずお前は座ってろ。ちょいと紅茶をいれてくるわ
長門,それは有り難い。だが待っているのも申し訳ないから、お茶請けの準備くらいはしておこう
提督,おぅ、頼んだぞ
長門,紅茶と言えばスコーンか。確か前に買っていたものが残っていたはず……
提督,へぇ、お前も以外と女子力あるんだな。スコーンを食べる姿はあまり想像できなかったわ
長門,二言三言と多い人だな、全く以って失礼だ
提督,悪い悪い。まぁ意外性を持っているのは良い事じゃねぇか
長門,そんなものか？おっと、あったあった。やはり買い溜めしておいて正解だったな
提督,……
長門,なんだその苦虫を噛み潰して反芻しているような渋い顔は
提督,いや、しっくりきたわ。お前がスナック菓子のスコーンをぼりぼり食う姿、実になじむわ
長門,……他にもスコーンという名前のお菓子があるのか？
提督,英国紳士が聞いたら卒倒しそうな台詞だなオイ。バーベキュー味のお茶請けで飲む紅茶はさぞ美味かろう
長門,他にもカ○ムーチョやらポ○ンキーもあるから味のバリエーションは豊富だな
提督,……まぁいいわ、紅茶ついでに今日はスコーンも作ってみるか
長門,今から揚げるとなると地味に時間がかかりそうなのだが大丈夫か？
提督,スナック菓子から離れろっての。なんか普通にそっちのスコーン食いたくなるわ……。あいよ、ウヴァのミルクティーとイングリッシュ・スコーンの出来上がりっと
長門,おお……これは、なんとも上品で美味しそうではないか……！
提督,だろ？
長門,では、早速頂いてもいいか？
提督,召し上がれ。出来立てだから熱いんで火傷には……
長門,あっつッッッ！！
提督,ほんと期待を裏切らないぽんこつっぷりですわ
長門,いや、しかして本当に美味しい。スコーンもさながら、紅茶はそこらの喫茶店より味が上だと思う
提督,お前も味の良し悪しが分かるのは意外だが、褒め言葉は素直に受け取っておくか
長門,味も私好みで、素晴らしい
提督,お前の事ばかり考えて作ってたら自然と美味しくできるんだなぁ
長門,……うん。こうしてちゃんとした休憩時間には紅茶を振舞ってくれるのは有り難い
提督,ティータイムは大事にしないとね、ってのは恩人からの教えなんだよ
長門,以前から不思議に感じていたのだが
提督,ん？
長門,提督はなんで紅茶をいれるのがこんなにも上手なんだ？
提督,そりゃ淹れ方を教えてくれた人が上手だったからな
長門,ほぅ、師がいたのか
提督,まぁな。紅茶は自分で何度もいれてきたけれど、未だあの人を超える味は出せてないわ
長門,ほぅ
提督,あの人を思い出して作る紅茶は何故か塩辛くなるんで、中々うまくできないってのもあるが
長門,そうか。……そうか
提督,なんで笑ってるんだよ。俺提督なんか変なこと言ってた？
長門,……ふふ、言ってたぞ。本当に鈍感な人だな
提督,？
長門,提督、お茶をいれてくれ
提督,阿呆かお前が淹れてこいや。どっちが秘書艦だよ
長門,いいではないか。なんだか紅茶が飲みたい気分なんだ
提督,ほらよ、130円やっから漢字四文字のミルクティー缶でも買ってくればいいだろに
長門,むぅ、私は提督の淹れたものが飲みたいんだが
提督,やだよ面倒だし。それに休憩にはまだ早すぎる時間だぞ
長門,……では、一つゲームをしないか？
提督,ん、ゲーム？まぁ話してみろや
長門,本当に乗りやすいというか何というか。これがボンクラの所以か
提督,お前なんか失礼な事考えてないか？
長門,何のことだか
提督,おぅ待てや。お前の勝率が10割になってんぞコラ
長門,チッ。今日のＢ定食デザート、杏仁豆腐をベットしよう
提督,なにっ！？お前がデザートを賭けるとか、まさか余程の自信があるのか！？
長門,ふふん、違いの分かる女っぷりをそろそろ見せ付けておこうと思ってな
提督,面白い、受けてたとう。作ってくるから10分待ってろ
長門,計画どおり……っ！。この計画のキモは杏仁豆腐を賭けた戦いではない。むしろもっと前半、勝負することそのものが私の狙い。この賭けの真の目的は、提督のいれた紅茶を飲むことなのだから！。利き紅茶を行なうことで提督は図らずとも紅茶を振舞うことになる。その味が堪能できれば計画のほぼ８割は完遂される。残りの２割は賭け事になるが、そのための布石も準備済。アップルティ・セイロン・ダージリンの三つのみをティーボックスに準備して、他の紅茶は別所に保管しておく。必然的にその三択になるが、味として分かり易いアップルを出すのは除外するだろう。残るはセイロンとダージリンの２つ。これは……勘でどうにかする！。確率５割で当たるギャンブルは充分に勝負する価値があるというものだよ、提督。くっくっく……
提督,悪い顔してんなぁ、お前……。色で判断されると公平性を期すから、タンブラーに入れて準備しておいたぞ
長門,なるほど。確かに色を見ればかなり絞れそうだからな
提督,さぁ、飲んでみれ
長門,では、いただきます。ふっ、勝ったな……。！？。な、なにっ！？
提督,何をそんなに驚いてるんだ、ほれ回答はよ
長門,す、少し考えさせてほしい
提督,20秒くらいは待ってやろう
長門,おかしい、おかしいぞ…。普段は紅茶を飲まない私が、これを飲んだときに感じたもの。それは、安心感…ッ！。これでなければならない、とまで思わせそうな程の慣れ親しんだ味。違和感というものすらも溶かしきった、何杯でも飲みたくなるようなこの素晴らしさ。何だ、何なんだこれは！？。アップルではない、それだけは言える。だが、裏を返せばそれだけしか言えないということでもある。セイロンなのか、ダージリンか？それとも提督秘蔵の茶葉を出してきているのか！？。くっ、分からない。この美味しさが何なのか、皆目検討がつかない！
提督,はいタイムオーバー。さぁながっちゃん、回答をもらおうか
長門,くっ、わ、私が飲んだのは！
提督,飲んだのは？
長門,……ダージリンだ！
提督,あー美味い。今日の杏仁豆腐はおいしーなー。普段よりも甘みが増していて不思議だなー
長門,……
提督,なんでこんなに美味しいのかなー。何か隠し味があるのかなー？
長門,……
提督,あ、なるほど分かったぞー。これは勝利の味なのかー。こいつぁ美味しい筈ですわー！
長門,…る、いぞ…
提督,ん？
長門,ずるい、ずるいぞ！
提督,なに言ってんだか。業務の合間に飲んでるグリーンティ緑茶
長門,紅茶じゃないだろうあれは！
提督,いーえ、大定義で言えば紅茶の一種です。それに普段飲んでて分からなかったお前もどうなのよ？
長門,ぐっ……
提督,さて、午後からもう一勝負するか？
長門,……遠慮しておこう。最近はすっかり涼しくなったと思う
提督,夜なんか冷え込んでるから、寝巻きに使っていた甚平もそろそろ押入れにしまわないとな
長門,潮風も寂しさの気配を滲ませている。もう夏は過ぎたのだな
提督,今年は夏っぽい事あんまり出来なかったのが悔やまれるわ
長門,今からでも擬似的に夏を味わるのなら良いのだが
提督,夏、ねぇ。季節外れに俺提督の語る怪談ナイトとか？
長門,おいおい、提督の怖い話なぞどうせ飲みかけのビールに蛞蝓が大量に忍び込んでいたとかだろう？
提督,なにそれクッソ怖いんですけど。どれ、じゃあ何か怖い話でも語ってみるか
長門,ふむ、聞いてやろうではないか
提督,そう言いながら耳栓の準備すんなや
その両方の写真の裏にはマジックで大きく,死ね
帰りのＨＲで担任が遠まわしに、,おまじないや占いに頼りすぎるのは良くないよ
これには流石に普段その子をイジってる男子も、,これ誰がやったんや？
先輩が,あっ！
その時にどんな顔をしていたか聞いてみると、先輩曰く,ゾッとした
とてもか細い声で,やめて……
まるで、,内緒にしてね
提督,……ってな話なんだが
長門,む、終わったか
提督,お前まさかずっと耳栓していたんか
長門,いや、しっかり聞いていたぞ。まさかあの場面でシンディが撃たれるとは予想外だった
提督,俺めっちゃ長い独り言を喋ってたことになってると気付いて疲労困憊だわ……。さて、久々に大きい案件がきたぞ。今回は敵軍の詳細がほぼ全てアンノゥンだとよ
長門,ほぅ。敵側の新勢力というわけか
提督,ご名答。霞の如きその有体を、軍部は通称“霧の艦隊”と呼んでいる
長門,霧の艦隊、か
提督,一説によれば未確認のレーザー兵器を積んでいたり、規格外でもある弩級の潜水艦もいるとか
長門,ふむ
提督,不安か？
長門,いいや、全く。むしろこういう危機に飛び込んでこそ、見えてくるものがあるだろう
提督,そりゃ頼もしいかぎり
長門,名言で喩えれば……シチューにカツ有り、というやつだ
提督,随分とコレステロール高そうな名言だなおい
長門,むしろ不安なのは提督の方だろう？
提督,あん？。……。なんだ、お見通しじゃねぇか。今日のお前は饒舌だな
長門,そうか？
提督,ありがとう、長門。俺は涙が出そうだよ
長門,さて、辛気くさいのはここまでだ。腹が減っては何とやら。そろそろ夕食でも食べようではないか
提督,おぅ、今日は気分がいいからメシくらい奢ってやる。なんでも好きなのを頼んで良いぞ
長門,ん？
提督,おぅその今なんでもいいって言ったよな？よっしゃ遠慮せず高いヤツ食うかっていうニヤけ顔やめろや
長門,だが確かに言ったではないか
提督,常識と良識を弁えた程度に、って言葉の裏くらい読めるだろ阿呆
長門,仕方ない、寿司・すき焼き・テンプラのどれか…
提督,そうそう。そういうのなら財布の紐くらい多少は緩くなるもんよ
長門,を、１５人前くらいで遠慮しておくか
提督,今緩んだ筈の紐が三重くらい固結びにしてキュッと絞まったわ
長門,おいおい財布の紐が固すぎるのも考え物だぞ、ボンクラ提督
提督,大食いすぎるのもそりゃどうなんだ、ぽんこつビッグセブン
長門,お？
提督,あ？
響,……いい話かなと思ったらこれだ
電,……ヤクザ顔負けの迫力で睨みあうのはやめてほしいのです
まるで死人,しびと
それが姉の唇だったことには気付けず、ただ自分の頭上から,ゆうちゃん、息災で
