正しくは,憎たらしい糞ガキだった頃は
遊び人,よろしいでしょう！あたくしが語って進ぜよう！ああー、あれは、えっといつのころ・・・あ。むかしむかしあるところに・・・に・・・い・・・
騎士,え？あれ？この娘、いつのまにこんなに酔っちゃったの？
賢者,飲ませちゃあいませんよ、一人でハイペースで飲んで、勝手に酔っぱらっちゃいました
商人,乗せたのは俺たちだがよ、ここまで好き放題行って逃げられると癪にさわるなあ。まったく、遊び人を名乗るにはちいっと情けねえな。まったく、しょうがないババアだな。悔しかったら一人でベットから這い出してみろ！
騎士,発言には気を付けてね商人くん、レディはいくつになってもレディのままなんだから。それ相応に扱わないと
賢者,しかしあれですねえ。だいぶ、支離滅裂でしたけど。なかなか興味深いお話でしたね
商人,要は、俺たちに真の勇者たれってことだろ？何だよ、真の勇者って
騎士,まあ、年の功だろうか。何となくだけど、私たちが向かうべき道は見えてきたかな
賢者,具体的には？
騎士,いや、それを皆で考えようか・・・
商人,結局、振出と変わらないじゃないですか！
賢者,さて、落ち着いたところで懸案事項その三にいっていいですか？
騎士,ん？まだ、何かあったっけ？
商人,宝物庫荒らしの件だろう、遺体王の件だろう・・・まだ何かあるって言うのか？
賢者,お忘れですか？。勇者の裏切りの件ですよ。おはようございます、商人くん
商人,ん、ああもう朝か
騎士,きみ・・・何してるの・・・？
商人,あ、こ、これは違うんです！なんか冷たくて、気持ちよくて・・・あ
遊び人,ぷっ、ふっふっふははは！いくら寂しいからって陛下の遺体と手をつないでナニをしていたのですの？
商人,
遊び人,昨晩はお楽しみでしたね！
近衛兵長,陛下！大臣が緊急に会議を行うと宣言いたしました！
王,うむ、既に聞いておる
近衛兵長,くそっ、遂にばれたか。これはいよいよ、逃げ出すしかねえな
王,そうしたいところは山々なんだがな、大臣から儂にも出席願いたいと申しだされておる
近衛兵長,そんなの無視しろよ！それどころじゃねえぞ！
王,いや、儂は応じるつもりじゃ
近衛兵長,な、なぜ！？
王,まあ、立鳥跡を濁さずと言うしな。王としての最後の仕事、果たしてからトンずらしようかと
近衛兵長,この期に及んでまだそんなことを！
王,それに言ったじゃろ、最後は派手に締めくくりたいと
大臣,遂にこの日が来たな・・・
盗賊,ほぼ全ての議員の招集が完了しています。緊急動議の件も、貴族院の方々にお伝えしておきました。一部、特に衆民院議員からは反抗もあるかと思いますが、大勢はこちらにあるかと
大臣,うむ、よい働きぶりだ盗賊よ。お主の父も、きっと喜んでおるであろう。これが終われば、晴れて自由の身だ。それまでは裏切るでないぞ
盗賊,・・・はい
商人,
賢者,ほらほら、元気出してください。決して口外したりはしませんから
遊び人,賢者先輩、そんな阿呆に付き合ってる暇はありませんことよ。私たちには大事な業務があるのですから
騎士,それも、手詰まり感あるんだけどね・・・さて今日は、何に取り組もうか
勇者,よし、いくぞみんな！俺たちは、これから真の英雄となる！最後までついてきてくれるか！？
戦士,ああ、もちろんだ勇者
魔法使い,何をいまさら、地獄の果てまでついていくわよ
僧侶,ああ、遂に私たちの旅も終わるのですね！ゴールイン、これからは勇者様との安らかで落ち着いた日々が待っている・・・
貴族院議長,貴族院及び、衆民院議員のみなさま、おはようございます。本日は、大臣の緊急の申し入れに基づき両院合同での緊急議会を開催いたします。事の重要性から、陛下にもご参列いただいていることを付け加えて申し上げておきます。それでは、大臣より今会議の重要議題についてご説明いただきます
大臣,みなさま。この忙しい年の暮れに、緊急にお集まりいただき申し訳ございません。しかしこの度、看過できぬ事態が王城内にて起きております。議会及び、行政府ともに立ち向かわなくては、この国の根幹すら及ぼしかねない事態です。慣例にそぐわずに、陛下にご列席頂いておりますのも、その故でございます
王,・・・
大臣,いえ、この際はっきりと申し上げましょう。この国難の事態にあって、その中心にあるのが陛下ご自身なのでございます。先日、王城内の宝物庫に賊が侵入し王家ゆかりの品々を盗難されました。私は、行政府の庁として部下に捜査を命じ。とあるものを発見したとの報せを受けたものでございます。こちらをご覧いただきたい。いま、我が手に収まっている指輪。これは、陛下が紛失されたとされる王家の指輪にございます。わたくしの部下が、この指輪を宝物庫内にて発見いたしました。この指輪は、宝物庫内のとても意外なところにあったそうです。そう、宝物庫内には姿かたちが陛下と寸分たがわない遺体があり。そしてこの指輪は、その遺体の指にはめられていたのです！。わたくしは常々思っておりました。陛下は、いえここは敢えて兄と呼ばせていただきましょう。およそ３０年前、兄王は私利私欲に溺れる愚かな人間でした、しかしある日を境に政治に関心を持ち、民を愛し、国に献身を捧げる真人間と変わりました。私は、何事が起ったのか理解できませんでした。しかし、変わられた兄王によって政治制度の改革の推進を命じられ、その繁忙さから違和感に目を背けざるを得ませんでした。しかしここにきて、現れた陛下の遺体が全てを語ってくれているのです！陛下、お尋ねいたします！。かの遺体は、いったい何者なのですか！いえ、それ以上に貴方は誰なのですか！？
王,・・・
大臣,お答えください！。陛下！陛下！陛下！！！！
王,・・・
大臣,お答えいただけないようですね！納得のいく説明があれば、とホンの少しだけ期待したのですが・・・致し方ありません。それでは、これより緊急動議を発しさせていただきます！。私は、王の退陣を要求し政治制度の転換を要求する！。いま、私たちの目の前にいるものは誰とも知れぬ偽りの王である。正当な王家の血を持たずして、我らを欺き国を支配してきた。何物やもしれぬ存在を、私たちは奉ってきたのだ！これは、王家への侮辱に他ならない！。兄王には子がなかった、今現在、正当な王家の血筋は私にのみ流れている。よって王の退陣ののちは私が王の座へと座ろう。そして、この偽の王が生み出したものもまた淘汰されなくてはならない。なぜならば、偽王がどういった意図をもって政治改革を断行したかがわからないからだ。国民のためになっている、政治体制まで変える必要はないと人々はのたまうであろう。しかし、しかしだ。偽王がその意図を語らない以上、いや語ったとしてもその真偽が確かめられない以上、私たちは一度原点に立ち返り。私たち自身の手によって、新たな政治体制を作り出す必要があるのだ。具体的には、王権の復古、そして衆民院の解散！。はやまるでないぞ、これは後退ではない！。王家の政党後継者である私によって、この国は改めて生まれ変わるのだ！。これは私の政治生命をかけた動議である。賛同を得られないなら、私は潔く政治の世界から去ろう。しかし忘れるな、それはすなわち偽りの王と歩みを同じとすることだ！。審議の時間など必要ない！いまここで！議員の皆さんには各々の信念にそって、投票願いたい！。議長！すみやかに投票に移っていただきたい！
？？？,失礼！
大臣,勇者！やはり、伝説の転移魔法を覚えていたのか。しかし、このタイミングを邪魔されるわけにはいかん！。盗賊！
盗賊,残念ですが王国軍は裏切り者の勇者討伐の為、昨日出立いたしております。伝令を走らせてありますが、戻るまでにはまだ時間がかかるかと
大臣,くっ・・・ならば致し方ない。気奴らの力を借りるのは癪だが・・・！。神聖なる議場に、武装して乗り込むとは！勇者よ乱心したか！？近衛兵、狼藉者を捕らえよ！
近衛兵長,これは、全てをうやむやにするチャンスか・・・！？。いや、陛下の正体が知られたら勇者が何をしでかすかもわからん！。ここは大臣の言葉に乗って、まずは勇者にご退場願うとしよう。全近衛兵に命ずる！勇者をとらえよ！
盗賊,近衛兵長の命令・・・！おそらく、城内の全ての近衛兵につたわるはず！。大臣の動議が通れば、たぶん宝物庫の皆を助け出すことができる・・・でも通らなかったら・・・？。城内の近衛兵がここに集中する今なら！宝物庫内の皆を出してあげることができるかも！
勇者,勇者でござい！そうじょおおおおおおおおおう！勇者のそうじょうにございます！お控え為すって！
戦士,なんかちがうぞ勇者、時代錯誤もいいところだ！！
魔法使い,いったい、どこであんな言葉を学んだのかしら
僧侶,勇者様ったら、おちゃめ///
勇者,おおっと！近衛兵長、俺が気づいていないとでも思ったか？剣を修め、そこで止まるんだ！
近衛兵長,ちっ・・・
勇者,わたしがこれから行うのは、陛下への奏上にござる！法律によれば奏上は何人たりとも邪魔できんのだよな！
王,法律ではなく、慣例なのじゃが・・・
勇者,ほら、近衛兵長下がれ！奏上が始まるから、もっと下がれ！
近衛兵長,いらん知恵をつけやがって・・・
勇者,あんたの仕事は王の警護だろ！王の下へ帰った帰った！。それでは、みなさんご清聴ください！これから、わたくしの奏上がはじまります！
商人,お？なんだなんだ？
賢者,外からですね、近衛兵の声のようですが
盗賊,みなさん！助けに着ました！
騎士,盗賊さん！
遊び人,あら、いったい何事ですの。というか、近衛兵さんは大丈夫ですの？
盗賊,少し眠ってもらっただけです。みなさん、それより急いでください！。いまなら、宝物庫内から逃げ出せます！ひとまず、城内から出て身を潜めてください
賢者,お急ぎの用ですね、とりあえず盗賊さんに従いましょうか？
商人,だめだ。状況が分らなすぎる。盗賊ちゃん、昔教えたこと覚えてるか？
盗賊,なんのことですか！私を信じて、ついてきてください！お願いします！
商人,報告は、詳細にかつ正確に・・・教えたよな
盗賊,・・・わかりました。本日、城内の大議場にて両議院を集めた大臣が陛下の退陣を求めて議会を開きました！そこに、勇者が現れ奏上を始めました！。近衛兵長は勇者を止めるべく、城内の近衛兵に召集をかけました！逃げるなら今です！
遊び人,あらあら、大臣が緊急動議をするって話は聞いていましたが。そんなことになっているとは
商人,えっ！俺聞いてないんだけど！
賢者,君が言い出した作戦でしょうに
商人,？
賢者,たらふく飲んで厠へ行って、盗賊ちゃんと接触しよう作戦ですよ。君が、眠っちゃった後。目覚めた遊び人ちゃんに実行してもらったんですよ。ちなみに、私がやろうとしましたが監視ががっつりついて失敗しました
盗賊,とにかく、報告は以上です！わかったら、私についてきてください！
商人,だ、そうです。どうしましょうか騎士さん
騎士,まず、みんなの意見を聞きたいかな
賢者,城外に逃げるのは反対ですね。職務放棄ととられかねない。大臣の執務室に行きましょう。あそこなら近衛兵も手出しが容易ではないうえに、私たちは大臣の部下、勝手に部屋に入ったとしても問題ないはずです
遊び人,いえ、私たちの処遇は議会の結末にあるとみました。それに私たちの見たものが、この国の行く末を左右することにもなるでしょう。この国の事を思うなら、議場に向かうべきです
盗賊,先が分らない以上、陛下と大臣の両方から身をひそめるべきです！。仮に大臣が政争に勝利したとしても、大臣は・・・信用成らない人です。勇者裏切りの件もありますし、みなさんの安全のほうが優先です！
遊び人,勇者の裏切り！？
賢者,ああ、言ってませんでしたね。端的に言うと、勇者が魔王に懐柔されました
遊び人,あんのクソガキ！
賢者,こ、言葉遣いは丁寧に
騎士,・・・まったく、何もかも急すぎて困ってしまうなあ。さて商人君、君はどう思う？
商人,盗賊ちゃん・・・勇者が戻ってきてるんだよな？
盗賊,・・・はい
商人,だったら、俺がやりたいことは一つです。・・・勇者に一発ゲンコツをたたき込みに行きましょうや
盗賊,な、なにを！
賢者,へえ・・・。なるほど、それは楽しそうだ
遊び人,ああ、いいですわね。ちょっと、締め上げて勇者の何たるかを教授してさしあげなくてわ。しかも、世界最強に殴り込みですって？血沸き肉踊る提案ですこと
騎士,うん、決まりだな。それでいこうか！
盗賊,ま、待ってください！みなさん、何を考えてるんですか！？
商人,賢者！
賢者,お任せください、ご説明いたしましょう遊び人ちゃん！。現在の私たちの仕事は、宝物庫内の捜査です。勇者は、その最重要容疑者。ちょうど捜査にも行き詰まり、容疑者からの聴取を行いたいと思っていた矢先に。なんと、向こうから王城内に飛び込んできてくれたというわけです。これは、私たちとしては黙って見過ごすわけにはいきません
盗賊,し、しかし、勇者様は今は奏上中です！何人たりとも、勇者の奏上は妨げられないんじゃ！？
騎士,いや、私たち勇者課勇者補助係のの本来の仕事は勇者の管理指導。彼がやらかした際は、その後始末をする。そして彼が何かやらかさないように、指導するのが私たちの仕事だ。つまり
遊び人,勇者の行動を制限する権限を、わたくしたちは持っている。ということですわね
盗賊,で、でも、いまは仕事なんてしてる場合じゃ！皆さんの身の安全のほうが！
商人,それだけじゃあないさ
盗賊,・・・
商人,この一年間、俺たちが勇者の野郎から受けた仕打ち。そして、やつが宝物庫を荒らしたことで政争に巻き込まれた事実。なにより、あんな阿呆が英雄とたたえられている現状が俺は気に食わねえ！。それこそ、ゲンコツ一発いれるぐらいじゃ収まらねえんだ！
賢者,公私混同甚だしいですねえ
盗賊,勇者様は強いですよ・・・それでもですか？
商人,なあに、今の俺にはこれがある
盗賊,な、なんですかそれ？
商人,俺が、長年探し求めていた伝説の一品。正義のそろばん
騎士,あっ！駄目だよ商人君！そんなもの持ち出して！
遊び人,まあまあ、騎士さん。保管簿に乗ってないものですし、どうとでも誤魔化しきれますわ
騎士,そういう問題じゃないよ！道義上問題あるって言ってるの！
賢者,・・・昨晩、開けた酒瓶
騎士,・・・ん？
賢者,止める前に、騎士さんが手を出してしまったので黙ってましたが・・・最初の一本以外の酒ですが。全部、保管簿に記載されている王家秘蔵のお酒でしたよ・・・
騎士,！
遊び人,あらあら・・・
盗賊,つまり、業務上横領・・・
賢者,左遷・・・
遊び人,減給・・・
商人,・・・解雇
騎士,・・・ゆ、勇者許すまじ。勇者許すまじ！。魔王討伐のための武具ならいざしらず！王家秘蔵の酒にまで手を出すとは！
商人,えっと騎士さん、このソロバンなんですけど・・・
騎士,この忙しい時になんだ！保管簿に記載されていない物など、私はあずかり知らん！
賢者,と、いうわけですが
盗賊,もう・・・わかりましたよ！皆さんだけでは心配ですから、私もお手伝いします！
遊び人,それは、心強いですわ
商人,憧れの勇者様に、盗賊ちゃんが一発入れれるかなあ・・・？
盗賊,私より弱い人は黙っていてください！
勇者,私、勇者はおよそ一年前主命を以てして魔王討伐の旅えと赴きました。そして先日、遂に魔王城に到達、魔族の長にして魔王城の城主である魔王に対峙致しまして候。我ら勇者一行は、意気軒高その戦意高くして魔王との一戦を願い出るも魔王からは対話の申し出があり。最期の言葉、陛下にお伝えすることもあらんと申し出を受け入れたところでございます。然れども、まことに残念なことに魔王から語られた事実はわたくし共が把握していた事態とは大いに齟齬がございました。その結果、悪しき者討たんとする我ら勇者一行の戦意は大いにそがれることととなりまして候。まず、この国の北部及び東部における魔族と地方都市との戦況におかれましては、敵軍の指示系統に魔王軍が関与していない事実がございました。魔王軍は、我ら人類と同等程度の知識を有しており軍事組織としての体を十分に為すものでございます。されど地方都市における魔族による侵略の様相をきくに、戦略性乏しく、とても知性あるものの戦い方ではございませんでした。また、こちらにおわす議員の皆様方もご存知の通り、我が王都において魔族は一労働力として受け入れがなされており。その危険性の低さは、すでに王都内にて認識がなされていることは事実でございましょう。そのような認識を我らに知らせることなく魔王討伐の主命を下された事実、甚だ遺憾にて候。我ら勇者一行は、軍隊に非ず。暗殺者に非ず。人々の希望となるべき、一筋の光にございます。なれば我ら勇者が為すべきことは、人民に広まる魔族に対する認識を改め。知性ある者同士、友誼を交わしたることと信じ。我ら、魔王と和解するに至ったところにございます
戦士,おおっ、議員たちが勇者の言葉に耳を傾けているぞ
僧侶,あたりまえです。あれこそが真の勇者様の姿！
魔法使い,本当に奏上文を暗記できていたのね
勇者,皆様、奏上中にございます！お静かに願います！。ああ、普段偉そうにしている議員連中がこんなにも畏まってる・・・。こんなに気持ちの良いことは初めてだ！。
側近,勇者さん、大丈夫ですかね
魔王,不安か？
側近,思ってた以上に、頭が残念な子でしたからね。脳筋バカってのは、ああいうのを言うんだろうなあ
魔王,人前で、そういうことを言うなよ。あれは、いまや我ら魔王軍の一配下なのだ。それに、あの奏上文は勇者にも理解できるよう我らが力を尽くしたではないか
側近,そうですけど。不安だなあ・・・
勇者,・・・。ああ！しゃらくせえ！
戦士,お、おいどうした・・・？
勇者,違う！こんなものは俺の言葉じゃねえ、魔王が作った文章が議員たちに響くわけがねえ！
魔法使い,えっ、えっ何がどうしたの？
勇者,すまねえ議員の皆、それに陛下！こっからは俺の魂の言葉だ！こっからが真の奏上のはじまりだ！
僧侶,流石勇者様・・・
勇者,俺はなあ、この一年間国中を走り回って戦ってきた。なのに何だお前らは！こんな暖かい所でぬくぬくしやがって。俺も昔、議会を傍聴したことがあるから知ってるが！あんたら、小難しい言葉ばかり使って！。そうやって国民を欺いているんだろう！俺には、議会がまっとうに話し合いをしているとは到底思えないね！。そのくせ政治家ってやつは、いつも偉そうにしやがって！
大臣,何か急にレベルが落ちたな・・・
勇者,それに国のためにとか、きれいな言葉を抜かしている割に全然国はよくならねえじゃねえか。誰の税金で食ってると思ってるんだ！。そうだ、税金だってそうだ。新しい道路を作るだの、新しい施設を建てるだのに使ってばっかで国民のためには全然使ってねえじゃねえか
王,いや、国家予算の大半は福祉関係に使ってるけど・・・
勇者,俺を馬鹿だと思うなよ！知ってるんだぞ、役人たちだってそうだ！。すぐに窓口を閉めやがって！あんなに早く窓口閉めやがって！人の税金で食ってるくせに、国民を馬鹿にしてるんじゃないのか！
近衛兵長,窓口閉めてからが忙しいんだが・・・
勇者,あのーそれに、あれだ！実家の近所に済んでる婆ちゃんも言ってたぞ、昔はよかったって！。これって、国が年々悪くなってるってことだろ！あんたら政治家の怠慢のせいじゃないか！。高い給料もらってるくせに、国はどんどん悪くなっていってるんじゃねえか！。あんたらはもっと国民の声に耳を傾けるべきだ！
大臣,これはひどい
近衛兵長,・・・
王,あれが勇者か・・・多少馬鹿でも真っすぐな信念を持った男だと思っていたが・・・
勇者,政治家たちの給料を減らすべきだと思うね！あと役人どもの給料も！。というか国の為を思うならタダでやるべきじゃないのか！そうだ、そうすれば税金の無駄だって減らせるじゃないか！
王,ただの阿呆ではないか・・・。ああもう・・・誰か、あの阿呆を止めてくれ。あれを倒した奴は、新しい勇者に指名してやっても良いぞ・・・
近衛兵長,だ、だれだ！？
騎士,失礼しました。勇者課の者です
近衛兵長,大臣の手の者か、何用だ！
賢者,いえ、用があるのは勇者の方にです
遊び人,それより陛下、先ほどの言葉確かですね
王,遊び人ではないか・・・ああ、もし勇者を止めれるなら勇者にでも何でもしてやるさ
商人,俄然やる気が出てきたぜ！
勇者,だから、そのーあのー、つまりはだ！役人たちは窓口を夜まで開けて・・・
商人,どおりゃああああああああああ！
勇者,なんだてめえ。いまは、勇者の奏上中だぞ！奏上は誰も邪魔しちゃいけないんだぞ！
商人,残念ながら、その理屈は俺には通用しないんだなこれが、それ次いくぞ
勇者,くっ・・・お前は誰だ！勇者の奏上を止めるのは法律違反だぞ！
商人,そんな法律はねえよ、法律と慣例の区別もつかない阿呆だとはな。それに俺は、お前の同僚さ。悲しいな、この一年間ともに頑張ってきたじゃねえか
勇者,お前の事なんぞ知らんわ
戦士,勇者！いまいく！
騎士,おっと、君の相手は私だ。あ・・・王者の剣、ああ・・・やっぱり君たちの仕業か
戦士,俺の剣を知っているのか、おっさん
騎士,まあ仕事だからね。えっと君は確か、国一番の剣士だったな。よし、ここは一手ご指南いただこう！
魔法使い,どいて戦士、そいつの狙いは時間稼ぎよ。私たちに勇者の援護をさせないつもりだわ。そうはさせない、焼き尽くせ！炎魔法ファイアー！
賢者,氷魔法アイシクル
魔法使い,へえ、まるでコロシアムね
僧侶,時間稼ぎしたところで、あんなみすぼらしい男が勇者を倒せるわけないでしょうに！
遊び人,はいはい、貴方はこちらで一緒に遊びましょうね。封印魔法サイレント！
僧侶,むぐぐ！
賢者,魔法使えるんですね・・・
遊び人,あはは、もちろんですわ
近衛兵長,だめだ・・・彼らだけでは！
王,行くな近衛兵長
近衛兵長,しかし！手練れには見えるが彼らだけでは、とても勇者一行を捕えきれない！。俺が、助けなければ！
王,彼らは、筋を通している。今お前が手を出すのは野暮ってもんだろ。それに見てみろ、強大な敵に立ち向かう彼らの姿を。実に楽しい、ラストシーンにはもってこいではないか
近衛兵長,下手したら、彼らが死ぬぞ・・・それでもいいのか？
王,そうはならんさ
勇者,見たところ、冒険商人のようだな。たかが商人が、この俺を、世界中をたった4人で旅したこの俺たちを止められると思っているのか！？。俺の姿を見てみろ、この鎧を、この兜を、この剣を！知らないだろうから教えてやるが、これらはすべて伝説級の装備だ！。対してお前の武器、なんだそれは。俺の剣を受け止めるところタダのソロバンじゃないようだが、そんなもので俺と戦えるわけがないだろ
商人,お前のつけている装備はよく知ってるさ！だがなあ、伝説級の装備を持っているのはてめえだけじゃあないんだぜ！。だありゃあ！
勇者,いっちょうあがりだ！少しの間眠ってな！。ってええなあ！まだいやがるのか！
商人,な！なにやってるんだ！お前は、もう勇者課じゃねえんだぞ！。サポートに徹するならまだしも、直接手を出すのはダメだろうが！
メモ紙には殴り書きで,転属願ひ
大臣,許す！たった今、この時をもって貴様は勇者課に再異動だ！
盗賊,ありがとうございます！
勇者,ああもう！！うっとうしいぞ！お前はハエか！
盗賊,そうかもしれません！では勇者様はさしずめ、ハエに集られるうん子です！
勇者,うがああああああああああああああああ！
商人,俺の事を忘れてくれるなよ！どっせい！
戦士,どうしたどうした！あんたの剣はそんなものか！？
騎士,ちょっ・・・す、少しはおじさんを労わって！
戦士,だったらさっさと剣を収めろ！さもなくば倒れろ！俺の仕事は勇者のサポート、早く勇者の下に行かせてくれ！
騎士,い、いや、でも、お、おじさんの仕事はまず君たちを拘束することだから
戦士,ほら、これで終わりだ！くらえ！火炎斬り！
遊び人,ほいっと、防御魔法シールド！
戦士,な！？てめえ僧侶の相手をしていたはずじゃ！
遊び人,あらあら、頬をそめちゃって。かわいいですわね
僧侶,・・・むう！
遊び人,さすが勇者一行の僧侶、魔法を封じられてなお戦力となりますのね
しかしそれすらも遊び人は、,知っていました
遊び人,あらあら、せっかちですこと。そんなことだと乙女に嫌われますわよ
騎士,さすが年の功・・・
遊び人,はい・・・？
騎士,し失礼しました・・・。よ、よおし戦士くん！私のことも忘れてもらっては困るよ！私の奥義受けてみろ！。王国騎士団秘技！。騎士団召喚！。ほら、後ろをみてみろ戦士くん！君の相手は、私たちだけではない！国を守るべく鍛えられた300の騎士達だ！
戦士,なんだと！？。うそじゃねえかああああ！
騎士,ごめんね・・・おじさん、体力限界だったから。嘘ついちゃった
僧侶,いけない！戦士さん！回復魔法！。しまった・・・！
遊び人,ふう・・・二鳥あがりですわ
魔法使い,ああもう！しゃらくさいわねえ！光魔法シャイニング！
賢者,闇魔法ダークネス
魔法使い,もう！さっきから私の魔法を打ち消してばかりじゃないの！時間稼ぎ以外はするつもりはないってこと！？
賢者,いやあ、時間稼ぎというか職業病ですね。この一年、問題の事後処理ばかりでしたので先手の打ち方を忘れてしまったんですよ
魔法使い,そんな話聞いてないわよ！。睡眠魔法スリ―プ！
賢者,・・・
魔法使い,あら？これは打ち消さないのね、というか効いてない・・・？
賢者,あなた方のおかげで徹夜仕事にも慣れてますのでね、睡魔には耐性がついちゃったんですよ
魔法使い,私たちのおかげ？さっきから、わけのわからないことを言って私を惑わすつもりね！。水魔法ウォータースプラッシュ！
賢者,雷魔法サンダーランス
魔法使い,へえ、雷って高温なのね・・・私の水魔法を蒸発させるとは。でもね、こんな魔法の応酬もそう長くは通じないわよ！
賢者,え？なぜです？
魔法使い,だって、あなたと私じゃ魔力量に絶対的な差があるもの！こう見えても、私たちはたった4人で魔王城に到達した猛者よ！。王都でぬくぬくと研究している学者連中とは、レベルが段違いってわけよ！
賢者,私とあなたとは、そうレベル差があるとは思えませんけどねえ
魔法使い,だったら、試してみる！？さあ、ちょっと魔法のレベルをあげるわよ！。大火炎魔法ファイアーバード！
賢者,あらら、もう幕引きですか。極大封印魔法ビッグシールド！
魔法使い,あら流石に、この魔法を打ち消すのは貴方でも無理だったのかしら？。これは・・・なんのつもりかしら？
賢者,いえ、貴方も結界で守らないと。貴方が死にかねないので
魔法使い,馬鹿にしているの！？いきなさいファイアーバード！。きゅう・・・
賢者,魔法以外の知識はからっきしのようですね、先ほどの水魔法は高温で蒸発したわけではありません。電気分解により、この周囲には水素と酸素が充満していました。火を扱えば、こうなることは自明の理です。まあ、大した量じゃないので派手な音を出す程度ですが
魔法使い,うぐぐ、純粋な魔法勝負なら・・・私が勝ってた・・・
賢者,無知は罪ですね、貴方は知らなすぎる
魔法使い,・・・なによ
賢者,そうですね。まずは、自然科学を学ぶといいでしょう。理学の応用は、貴方に更なる力を授けるでしょう。それともうひとつ、魔力量でも私は貴方に負けていませんよ。たった4人で魔王城に到達した猛者は、あなた方だけでは無いということです
議員,何故だ、何故渡り合えているんだ・・・
屈強な議員,その疑問お答えしよう・・・
屈強議員,ああ、私はかつて格闘家として大陸中を回った者だ。今、彼らに起こっている状況を私なりに説明できるだろう。まず勇者一行の強さからいこう。彼らは膂力のみならず集中力、魔力そして対応力、戦闘において必要な全てを高いレベルで習得している。勇者一行に足りない物、それは経験だ。そう、勇者殿たちがこの一年相手にしてきたのは魔物達ばかりということだ。対人経験値が無いとは言わんさ、だが短期間での訓練では、その経験値も骨身にまで染み込まないものさ。戦士殿だってそうさ、道場剣術など実戦の経験値に比べれば屁にも劣る。そのうえ、まる一年も知性無き獣とばかり戦っていたら腕だって訛るさ。先ほどの戦士殿の戦いぶりがまさにそれを物語っている。言葉で惑わされ戦闘中に相手から目をそらす、そんな過ちはそこらの兵士ですら犯さんよ。それについては私たちが原因だ。周りを見てみろ、議員たちが誰一人として逃げ出そうとせず戦いの行方に魅入られている。勇者殿の魔法は、天を穿ち、地を裂くと聞く。議員たちに被害を出さないために、勇者殿は魔法が繰り出せないのだ
勇者,くそっ！剣の稽古は、旅立ったあとも戦士との稽古で散々積んできた！。どんな奴にだって負ける気がしねえ！だが・・・。ソロバンとの戦い方なんて俺は習っちゃいねえぞ！。だが、それだけなら問題ねえ。大振りで振り回したり、勢い余ってよろついたりと隙だらけだ・・・。そのうえ、間合いをとって魔法でぶっとばせば一発で決着は済む・・・だが。胴ががら空きじゃねえか・・・。これだ・・・！商人の隙を突こうとしたり、魔法の詠唱をしようとすると、すぐにコイツが飛んでくるっ！。俺の最大の敵は、目の前の糞ザコ商人なんかじゃねえ！サポートに徹して姿を見せねえ陰気野郎だ！
賢者,回復魔法キュア、防御魔法シールド、肉体強化ストロング
遊び人,魔法防御マジディフェンド、瞬発強化アキレス
商人,おぉ、力が溢れてくる！
勇者,くそっ、補助魔法か！？
戦士,・・・あんた達の負けだよ
騎士,逆でしょう？商人君は二人掛かりとはいえ、勇者くんと渡り合えていたんだ。補助魔法もかけてもらって、更に４人がかりなら猶更だよ。まあ、私も君を縛り上げたら参戦するから５人がかりになるけどね
戦士,いや、それでもお前たちの負けだ
騎士,負け惜しみかい？君らしくもない・・・抵抗はしないでくれよ君たちにケガをさせたくない
戦士,・・・それはこちらも同じだ。俺たちだって彼にも勇者一行だ。魔王側に寝返ったからといって、この国の国民であるお前らにケガは負わせたくなかった。だが、それももう敵わない
騎士,？
戦士,あんた家族はいるのか？
騎士,・・・ああ、嫁に娘が一人いるけど
戦士,へえ、俺と同じだな
騎士,意外だなあ、てっきり独身かと思っていたよ
戦士,・・・同じ子持ちのよしみで忠告してやる。五体満足でいたいなら、ここで戦いの行方を見ることだ
勇者,補助魔法の重ね掛けか・・・そうか・・・
商人,お、どうした？降参するか？
勇者,それなら死ぬことは無いだろう。こちらも本気でやらせてもらおう！。降参するなら早めに言え。カミナリ！！！
商人,か、雷魔法の撃ちそこないか！？何やってるんだ勇者は
盗賊,・・・きます
勇者,死んでくれるなよ、冒険商人！
商人,あ・・・がっ・・・
賢者,補助魔法越しで、あの威力ですか！？回復魔法キュア
遊び人,お手伝いします、回復魔法
騎士,あれはなんだ、勇者の体が雷を纏っているぞ
戦士,対魔王用に勇者が習得した身体強化魔法だ・・・雷を自らに落とし、その力を自分のものとす
勇者,そう、今の俺は、剣の一振りで山をも切り崩す！。まさに神に成る魔法だ！
遊び人,ひどいセンス
盗賊,・・・同感です
勇者,
商人,だ、だめだ・・・さっきの一撃で体中がたがただぜ。というか、素手で殴られてこのザマかよ・・・勇者強すぎじゃね
勇者,まだ意識があるのか、タフな野郎だ
商人,回復魔法が追い付いてねえ・・・時間を稼がないと。・・・お、おいおい、勇者様よ。いくら婚約者の前だからって張り切りすぎじゃあねえか・・・？
勇者,・・・婚約者だと？
商人,食いついた・・・。おっと、お前はまだ知らなかったけな
勇者,しししし。知っているぞ、このボケカス！！！。この俺を！人類の希望と祭り上げておきながら、裏では年増の婆と政略結婚させやがって！。ぜぜぜぜったいに許さんぞ国王！
商人,国王・・・？。おっと、残念ながらそれは恨む相手が違うわな・・・
勇者,なに？
商人,その結婚、画策したのはこの俺さ
勇者,なんだとおおおおおおおおおおおおおおおおおおおおおおお。こおおおおおろおおおおおおすううううう
