それでは、第五章,深夜・前
黒コート,……！いつもの大天使の未来視か！？
白ドレス,そう！直前になって詳細が見えた、だからとにかく、この列車と同じくらい――――。速く移動できるモノを出して！これが大天使としての、君との契約の遂行だ！！
黒コート,列車と同じくらい早く移動できるモノ……。わかった、行くぞ革ジャン野郎！！
革ジャン,あ、ああ。……、……。なーんか、腹立つんだよな
キノコ頭,この列車は俺たちがハイジャックした！！！
運転士長,なんだと……！？
副運転士,たけ○こ派のヒトたち……！もう乱暴はやめて、降参してください！
キノコ頭,き○こ派っつってるだろうが！！ワザとか！！
フロント,この車両に爆弾を仕掛けた、ですか……
車掌,切羽詰まった末の、コケオドシという可能性もあります。一気に対処すれば問題ありません
キノコ頭,はたしてそうかな？コレを見ても、同じコトが言えるか―――！
副運転士,な……っ！
運転士長,屋根が吹き飛んだ……！！
キノコ頭,クッククク……。これで爆弾がホンモノだというコトがわかってもらえただろうか。何度でも言う！動くな！！。俺たちに逆らえば、次の爆弾を爆破する！！。爆弾が爆発すれば、この女は列車の外に吹っ飛ぶぞぉぉ！！
教授,ぐ……ッ
執事,お嬢様！安心してください、俺が絶対に助けます！
教授,バカ執事……！逃げろって言ったでしょうが！！。親でも見放すヘンクツな私に、優しくしてくれたのは、アンタだけだった……。だから、アンタだけには生きてほしい！たとえ私が死んだとしても！！
執事,お嬢様……ッ、ハナシが違うじゃありませんか……っ！！
キノコ頭,ククク……。いいぞ。全員、まずは武器を捨てろ。そして手を上げろ。その後で縄で縛ってやる
運転士長,くっ……
テロリストA,……あ、あの。リーダー。早急に申し上げたい要件が
キノコ頭,ん？どうした？この余裕の状況だ、何でも聞いてやるぞ
テロリストB,あの、いま爆発させた、この車両に仕掛けた爆弾ですが
テロリストC,アレ。脅迫用だったので、見た目ハデに爆発するように……
テロリストD,一つ起爆したら全部誘爆するようになっています
キノコ頭,ははは。そうか。一つ起爆したら、全部誘爆するように――――。―――は？
副運転士,え、全部誘爆って……
運転士長,まさかそれは……
副運転士,ぎゃああああああああああああ！！！
キノコ頭,部屋の四方八方が全部吹き飛んだああああああ！！！
運転士長,皆、床に伏せろ！どこかに捕まれ！でないと、外に吹き飛ばされるぞ！！
フロント,み、皆さん！私のハルバードに捕まってください！
車掌,ありがとう、フロントさん！！
テロリストA,恩に着ます！！
キノコ頭,お前たち！大丈夫か！？
テロリストB,は、ハイ。ですが、さすがに自分の身を守るのが精一杯で……
教授,うわああああああっ！吹き飛ばされるううううううっ！！！
副運転士,教授さん！！。うぐ、あ、あ。腕が、もっていかれる……！！
教授,運転士さん、手を放して！でないと、貴女まで……！
副運転士,そういうワケには、いきませんよ……。乗客の皆さんをお守りするのが、私たち、乗務員の役目なんですから……！！
教授,……！
フロント,新米ちゃん！
運転士長,いいぞ、その調子だ……！車掌くん、ハルバードを少しずつ動かせ！
車掌,了解！！大丈夫ですか、このハルバードに捕まって……
魔王,――――――うわヤベ、エラい方向にビーム飛ばしちゃった！！
執事,何！？
副運転士,あの声は、魔王さん！？え、ビームが飛んでくるって……
キノコ頭,どああああああああああああ！！！
運転士長,何を考えているんだ、あの魔王はアァァッ！！！
教授,うぐ、あ……！！
副運転士,て、手が……っ！
教授,うわああああああああああああ！！！
副運転士,そんな、教授さん…………っ！！
運転士長,なんだ？どうなっている！？
フロント,士長！教授さんが外に！
車掌,吹き飛ばされました、ここは私が――――
執事,――――――っ！！
運転士長,……！
副運転士,執事さん……！
執事,皆さん……。後のコトは、頼みます
教授,うぐ、あ、ああ……！！。……！
執事,……お嬢様。ご無事ですか
教授,アンタ。どうして……
執事,お嬢様は、ご自分が死んでも、俺に生きてほしい、とおっしゃいましたね。それでは意味が無いのです。お嬢様がいなくては、俺も、生きる意味が無い
教授,……！。でも、このまま、地面にぶつけられたら
執事,ええ。タダでは、すまないでしょう。だけど。俺は、それでもいい。最後まで、お前と一緒にいれるのなら……。それが、俺の本望だ
教授,…………。……ばか
黒コート,―――させるかァァァァァァッ！！！
教授,え――――？
執事,あれは……？黒い……！
革ジャン,おいおいセンパイ、本当にカっ飛ばす気か！？
黒コート,ああ！死にたくなければ捕まっていろ！！。悪魔や天使は、非道だが、契約は必ず守る。なら人間の私がそれを反故に出来るか。そしてっ！目の前に助けを呼ぶ声あらばっ、それに応えずして何が警察かァァァッ！！！
革ジャン,だけど、さっきこの車両の格納庫から出したばっかりで。エンジンもフカしてないのに、何が出来……
魔王,――――――うわヤベ、エラい方向にビームまた飛ばしちゃった！！
黒コート,エンジンが温まっていないなら……。おあつらえむきに飛んできたビームの爆風で浮いてカっ飛べばいいだろうがあああ！！！
教授,あ――――
執事,あれは――――――
黒コート,ぐっ！接地したぞ革ジャン！エンジン全開だ、落ちてくるヒトを受け止めろォォッ！！
革ジャン,はいはい……。ってぇぇ、オトナ二人かよおおおおおお！！？
執事,タ、タイムパトロールのヒト！？潰れますよ！！
教授,ゴメンなさいどいてどいてどいてぇぇっ！！
黒コート,ゴメンで済むなら警察は要らないっ、革ジャン何とかしろおおおおおお！！！
革ジャン,何とかしろで何とかなるなら警察は要らないと思いますがねヨイショっとぉ！！。うんむ……。絶景、絶景。バイクの上に立って見る景色は格別かな
教授,だからどいてってば―――！！
革ジャン,そして、どいてでどく警察もいないッ！オラァッ！！
執事,ぐぼはっ！！
教授,ちょっ、大丈夫！？
革ジャン,そらあ吹き飛べ！俺たちに出来るのはここまでだ！。あとは列車の屋根の上にいる誰かさんに、何とかしてもらいな！！
ヒーロー,―――任せろ！！
執事,あ、貴方は……
教授,食堂車の変態仮面！！？
ヒーロー,だから変態仮面ではないとうっ！！
革ジャン,よお未来の市民ボランティア！やるじゃねえか！！
ヒーロー,ふははははっ、これくらいは朝飯前だ！。ようやくヒーローの面目躍如、といったところかな！！
教授,た、助かった……
執事,ありがとうございます。皆さん！！
黒コート,気にするな！これも警察の務めだからな！
執事,あれ。でも、警察のお二人は、どうやって列車に戻ってくるんですかーっ！？
黒コート＆革ジャン,あっ
革ジャン,あっ、て……。まさかセンパイ、何も考えてねえのか！？
黒コート,う、ううん。正直、バイク出して走らせるところまでが、精一杯の想定というか……
革ジャン,じゃあ、あの天使女に、いいように踊らされたってコトかよ！
黒コート,どうしてそうなる。ううーん。しかし、列車と並走は出来ても、どう戻ったモノか。おい、そこの市民ボランティア！何か良い案はないか！？
小型メカ,ゴメンなさい黒コートさん、なんとか助けてあげたいんですが……！
ヒーロー,すまない！まったく思いつかない！
革ジャン,言い切りやがってクソがぁぁぁ！！
教授,あっ、でも。待って……
執事,お嬢様？
教授,さっきから魔王のビームが飛びまくってるけど、それを利用すれば？
ヒーロー,それだ！！。おい、タイムパトロールの諸君！魔王のビームを利用するんだ！
黒コート,なんだと！？
ヒーロー,さっきから魔王のビームが飛びまくっている！その爆風に乗るんだ！！
革ジャン,はっ。ヤブから棒に、勝手なコト言いやがるぜ……。爆風なんかでバイクが飛べるか？
黒コート,だが、それに賭けるしかない。魔王は先頭車両だな、速度を上げるぞっ！！
魔王,オラオラオラオラオラオラオラオラぁっ！！
剣使い,姐さん！なんとかあの魔法陣、また狙撃で潰せねえか！？
弓使い,やってるけど数が多すぎ！っとと、うおわぁっ！
銃使い,っ！族長、爆弾！空中で火をつけて！
族長,任せろ！！
革ジャン,なんとか先頭まで来たが、何だありゃぁ！？この世の終わりか！？
黒コート,爆発の破片が……！かわすぞ！
革ジャン,ってオイ右に左に揺れるうううううううううううう！！！
魔王,くそっ、チョコマカと逃げ回りやがるせいで狙いがつけにくい……！
剣使い,くそっ、逃げ回りながらだから、決め手に欠けるな……！
魔王,うわヤベ、エラい方向にビームまたまた飛ばしちゃった！！もう気にしない！
黒コート,っ！今だぁぁっ！！！。うおおおおっ……。飛べええええええええええええッ！！！
魔王,―――？なんだっ！？
剣使い,あ――――
弓使い,ウソ……
銃使い,あれは――――
族長,天馬……！翼の無いペガサスだっ！！
魔王,な、なんでバイクが空を飛んでるんだぁぁぁぁぁぁ！！？
革ジャン,ふ……。良い夜空、だな……。センパイ。星がいつもより近く見えるぜ
黒コート,ああ……。お前とのランデブーでなければ、いつまでもこうしていたいくらいだ。だが、ただ一点……。今からすぐに落ちるという問題点に目をつぶればだがなああああああああああああ！！！
革ジャン,落ちる落ちる落ちる落ちるうおえいあああああああああああああああ！！！！！！
魔王,な――――。しまった！魔力防壁……、ってコレは魔力由来の攻撃にしか意味は無い、あっ――――。あﾞあﾞあﾞあﾞあﾞあﾞあﾞあﾞあﾞあﾞあﾞあﾞ――――っ！！！
弓使い,魔王の顔面にバイクの後輪がメリ込んだ！！
銃使い,今しかない！！
剣使い,行くぞ！族長！
族長,ああ。剣使い。遅れを取るな！
剣使い＆族長,うおおおおおおおおおおおおっ！！！！
魔王,いてて、ヒドい目に遭った……。はっ！？
剣使い,これでトドメだ！！
族長,我が刃、受けるがいい
魔王,なんでだ、こんなハズじゃあっ……！ぎゃアアアアアアアアアアアア！！！
革ジャン,うおっ、なんかやったみたいだぞ！
黒コート,私たちが気にしてる場合か！？１号車に落ちるぞおおおおおお！！！
革ジャン,ぐあっ！！
黒コート,い、痛い……。ここは？
桜色の女,…………
仮面の男,…………
桜色の女,……今日は、来客が多い日でござるな
仮面の男,おや。もう終わりかい？
桜色の女,ああ。此度の戦い、これで無聊を慰めるには十分だ。ジャマが無ければ、このまま死合うのも、やぶさかでないが……。ちと来客が多すぎる。余人にも見られた。今宵はここまでとしよう
仮面の男,そうかい。では僕も、これにて。やはり君は、面白い……。また別な場所での、再会を期待しよう
桜色の女,ああ。そしてまたその時は、私の望みを満たさせてくれ
革ジャン,ってオイオイなに満足気にどっか行こうとしてんだ！？
桜色の女,ぬおっ！？み、見てたのでござるか！？
仮面の男,はっはっは。これは手厳しい
黒コート,剣士さん……。勝負には、勝ったのですか？
桜色の女,……ははは。そこは想像にお任せするでござるよ
革ジャン,時空指名手配犯の仮面の男だな。おとなしくしやがれ！
仮面の男,やれやれ。しかしここで逃げるのも美学に反する。今はお縄につくとしよう
革ジャン,さてセンパイ。これで目的達成、か？
黒コート,ああ。それと、この列車の戦いも、おそらくすべて終わったハズ……
ウェイター,おっ、静かになった
ウェイトレス,全部終わったみたいだねー
ウェイター,ラウンジの爆発に始まって、食堂車の爆発に、色んな車両での大乱闘か……
ウェイトレス,ニギヤカな年末年始だったねー。疲れたし、今年は平和だといいなぁ。え！？
ウェイター,うおっ。今の音、今の揺れ……。なんだ！？
族長,おい、なんだあれは？山が噴火している！？
魔王,くそっ。最悪の展開だ……。謀ったな、白の大天使……！
白ドレス,え？私、なんもしてないよー
魔王,なっ！えっ、お前、いつからいた……！？
マスター,どうやら事態はそれどころではないらしいぞ、魔王
剣使い,あの噴火してる山は、高さと方角からいって……。富士山か？
魔王,違う。あの山は、富士山だが、富士山ではない。其は、き○こたけ○この生みの親……。―――ア○ロ。あれなるは、アポ○富士山だ
第七章,未明・前
それでは、第八章,未明・後
剣使い,あの噴火してる山は、高さと方角からいって……。富士山か？
魔王,違う。あの山は、富士山だが、富士山ではない。き○こたけ○この生みの親……。―――アポ○。あれなるは、ア○ロ富士山だ
剣使い,あ。アポ○……？チョコ菓子の？
魔王,そうだ。チョコ菓子のアポ○だ……。…………。おい、白の大天使
白ドレス,ハイハイ。何かな、まおーちゃん♪
魔王,ちっ。やっぱチョーシ狂うわ、お前……。白の大天使。今、お前は何もしていないと言ったが……。それは本当か？お前は本当に今回の事態に何も関わっていないのか？
白ドレス,うん！いやあ、この列車で事件が起きるのは、天界からフワっと見えてたんだけどね……。むしろ私は、その事件を止める側っていうか。年末年始の旅行がてら？来ちゃった？
魔王,来ちゃった？じゃねぇよ、ったく……。すると、アレか。アポ○富士山の噴火は、まったく別の要因によるモノか？いったい何が……
白ドレス,あ、ソレだけど……。一つ心当たりがあるんだよね
魔王,何？それは本当か！？
白ドレス,うん。でも、関係者にはキチンと話したほうがいいし、一回全員集めましょ。そこの君たちも、それでいいかなー？
剣使い,お、おう……
弓使い,なんだかタダゴトじゃなさそうだね。面白くなってきたぁ！
銃使い,…………
族長,お前たち、立てるか？
マスター,ワタクシがご案内します。場所は……、まあ、階下の展望室で良いでしょう
弓使い,おっ、教授～。久しぶり～
教授,弓使いさんたち、こんなにボロボロで……。いったい何が？
ヒーロー,ぬぬっ、貴様らがハイジャック犯だったのか！
キノコ頭,さっきは知らないで戦ってたのか……
桜色の女,おっ、おいしそうでござるな。貰っていいでござるか？
銃使い,どーぞ
副運転士,はいはい！！皆さん、静かにしてください！！
剣使い,静かに、つったってなぁ……
族長,この一日で因縁の出来た者も多い。それが一堂に会すれば、騒がしくもなるモノよ
テロリストA,あ、さっきはハルバードに捕まらせてもらってありがとうございました
フロント,いえいえ。執事のキミも、ナイスガッツでしたね
執事,いや。あの時は、無我夢中で……
魔族A,魔王さま、さっきはどうも……
魔王,いやいや、戦いは終わったんだから気楽にいこうぜ！それも魔界のコトワリだ！
小型メカ,次の仕事の件なんですが……こういう場合はいったいどうすれば……
料理長,ああ、それなら……とにかく上質な素材のゴリ押しで……一個１０００円くらいの……えっ、違う？
革ジャン,そんなクソ高ェのジャンクフードじゃねえよ
黒コート,鉄仮面……、それはそれとして。キズだらけだが、大丈夫か？治療するか？
仮面の男,ふ……。これは名誉の負傷、というモノだよ。彼女の思いを受け流してはいけない
マスター,え、今はせいぜい飛ぶくらいの術しか行使できなかった？それは、失礼しました
白ドレス,ホント！天界の者だからって、問答無用で斬りかかったりしないでよね！
ウェイター,増えに増えたってカンジだよなあ
ウェイトレス,未来人だけで六人もいるって本当かなあ？
運転士長,ひ、ふ、み……。おそらく、これで全員じゃないか？
車掌,アバウトですねえ。まあ、誰なら全員を把握してるんだ、って感じですが
副運転士,あのー、すいません！今からハナシをまとめるので、聞いてもらっていいですかー！？
教授,待って、運転士さん。なんだか知らないけど、私たち、モメてる場合じゃないんでしょう。だったらせめて、この場で改めて、全員の素性を一通り確認すべきだと思うのだけど？
魔王,そうだな。今から俺たちは全員が協力する必要がある。なるべく不理解による内ゲバは避けたい
副運転士,そ、そうですね……。では、お一人ずつ、身分と目的を明かしていただいて良いですか？
執事,わかりました。では、俺たちから。俺たち二人は、ただの一般乗客です。ですが、彼女は。“教授”と言えば通りが良いでしょうか……。元日の昼、彼女がオーサカで行う発表会のため。オーサカ行きの、この列車に乗車しました
キノコ頭,情報はマチガイなかったか。だが、もう一度誘拐を試みれる状況でもないな……
教授,おいそこ
副運転士,なるほど。お二人は、この列車自体に何か用があったワケではない、というコトですね
剣使い,ただオーサカ行きだから乗っただけ、というなら俺たちも同じだな
弓使い,そうそう。ポストにあった招待状に、この列車のチケットが入っててね
ヒーロー,あ。ちなみに彼らに招待状を送ったのは、俺だな
剣使い,なんだと？変態仮面、お前が俺たちのところに招待状を？
ヒーロー,その通りだ。歴史を調べたところ、今日この列車には君たちが乗っていたのでな
銃使い,そうだったんだ
運転士長,そういえば、今日のチケットが事前にやたら買い占められていた。犯人は君かね……
仮面の男,とすると、僕の招待状も、君の差し金か。サプライズパーティーではなかったか
キノコ頭,謎が解けたようで結構だ。ならばこの流れで言わせてもらおう。俺たちはハイジャック犯だ
副運転士,いやなんでこの流れなら言えると思ったんですか！？
キノコ頭,いずれ言わなければならないのだから、仕方がないだろう……。ああ、だが安心してくれ。俺たちの目的は教授の身柄だが、何やら事態が逼迫しているのだろう？なら黙っている
教授,それは、事態が逼迫しなくなったら、私をさらいに来るってコトかな……
弓使い,おおっと、教授狙い？だったら、私たちを倒してからにしてよね
テロリストA,なんでお前たちがジャマをするんだ！？
副運転士,と、とにかく。き○こ派のテロリストさん、というコトで良いですか？良いんでしょうか……
族長,構わんだろうよ。そういう意味なら俺たちも、アル○ォート派のテロリストだな
運転士長,魔族……
族長,そう身構えるな。たしかに俺たちの目的は、この列車の動力源だった。だが、動力源の場所は皆目見当がつかず……。そして、その動力源は今回の事態のカギだという。ならば我らも事態を静観するとしよう。むろん、列車がオーサカにつけば、発表会は潰すが
教授,なななんで私の発表会が今の流れで出てきたんだ！？
魔族D,初志貫徹の精神、マジリスペクトっす！
ヒーロー,では私たちも宣言しよう！私たちの目的は、この列車のハイジャックを阻止することだ！
小型メカ,はい。正確には、ハイジャックによって未来で起こる、き○こたけ○こ大戦の阻止が目的です
副運転士,そ、その口ぶりからすると、もしや未来の方ですか……？味方なのは嬉しいですが
黒コート,では、未来繋がりで。私たちは、未来のタイムパトロール。区の警察署の時空環境整備課です
革ジャン,おらおらおら、この中に時空指名手配犯はいねえか？逆らうならバラしちまうぞ！
黒コート,完全に言動が悪党だろうが！誤解されるから黙ってろ！
革ジャン,お、おえっ
仮面の男,シゴト熱心だねえ、時空整備課。それで、時空指名手配犯の僕を捕まえなくていいのかい？
黒コート,いや。今すぐにでも捕まえたいところだが。だが、事態はそれどころではないだろう。まずは事態の収拾に手を貸せ。だが働き次第では、上に減刑をかけあうコトも考えよう
仮面の男,おお、温情痛み入る……。ありがたい。あの整備課にも良心はいた。しかもよく見れば美人だ
黒コート,……大丈夫か？後ろ、ニラまれてるぞ？
桜色の女,……このキザな仮面男のコトは、置いておいて。拙者は、通りすがりの風来坊。旅を求めて、この列車に立ち寄った者でござる。いや、この列車、すばらしいでござるなあ！特に料理が美味でござる！
フロント,おや……？おかしいですね。このようなお客様には、見覚えが……
桜色の女,ぎ、ぎく！
仮面の男,そういえば。根無し草で文無しの君が、どうやってこの列車の乗車券を手に入れたんだい？
桜色の女,……て、鉄仮面卿！ここは拙者をおぬしの連れ、というコトにしておくでござるよ！
仮面の男,ん？構わないが。……ふっ、しかしさっきの立ち合いの時の君はどこへやら
副運転士,お二人はお知り合いなのですか？腕の立つ方がたくさんいらっしゃるのは、心強いです！
魔王,そして、俺たちが最後か。俺については、数時間前も自己紹介したな？魔王だ
白ドレス,アーンド、謎の白いお姉さん改め、白の大天使でーす。よろしくぅ！
革ジャン,おい。さっきの魔王のハナシじゃお前、今回の黒幕なんだよな？ん？
白ドレス,へ、私が黒幕？何それ！？私、今回はなにもしてないよ。清廉潔白。だ、だから銃下ろして
魔王,ああ、すまん……。コイツが黒幕というのは、俺の早とちりだったようだ
革ジャン,なんでえ。チッ！！
白ドレス,舌打ちの音が大きい！で、まおーちゃん……。何でも私のせいとか、そりゃないよねぇ？
魔王,うぐ……。だが、今回は、だろう。今までお前がしてきたコトを思い出してみやがれ！！
黒コート,まったくだな。億万回思い出して、爪の垢ヒトカケラほどでも良心が苛むなら、自首するといい
白ドレス,揃って同じようなコトを言わない！仲良しかっ！！
副運転士,え、ええと……。とりあえず、事態に関わった普通じゃない乗客の方は、これで全員ですか？
運転士長,あとは我々だな。もう察していると思うが、私たちは、この列車の乗務員だ
車掌,こちらは、この列車の副運転士、運転士長。私は車掌です。そして……
ウェイター,ウェイターでーす。日雇いで雇われてる、掃除屋の中年でーす
ウェイトレス,ウェイトレスでーす。ドライ・ブラー号には、ごヒイキしてもらってる美少女でーす
料理長,皆さんの食事を任されているコックです。雑菌は即消毒、がスローガンです
マスター,ラウンジのマスターでございます。お見知りおきを
フロント,ロビーのフロントです。……さて、ではそろそろ本題に入りたいのですが
魔王,ああ。まずは、この列車―――いや、この世界に迫っている危機についてハナシをしたい
白ドレス,はいはい！詳しいコトは私から！このウソツキ冤罪野郎の魔王なんてアテにならないよ！
副運転士,白ドレスのお姉さん。またお会いしましたね！
白ドレス,へいガール、今まで頑張ったね。あとはお姉さんに任せなさいっ！
魔王,お前が出てくるとハナシがこじれるから黙ってて！疑ったのは悪かったから！。オホン……。まずは、この世界の現状を説明したい。カンタンに言うと。アポ○富士山が噴火して、世界の危機だ
剣使い,アポ○富士山……？さっきも聞いたが、そりゃ何だ？富士山じゃねぇのか？
魔王,いい質問だ。まずはアポ○富士山の来歴から説明しよう。富士山とは……。この日本で最大の標高を誇る山で、世界文化遺産にも登録されている霊峰だ。だが、今の富士山は、あれが完全なカタチではない
教授,何？あの台形みたいなカタチじゃないの？
魔王,違う。富士山の真のカタチとは、こういうモノだ。車内販売の、ちょっと、貸してくれるか？
副運転士,はいはーい。どうぞ
銃使い,あっ、アポ○チョコレートだ
魔王,そうだ。だいたい誰でも知っているだろう。いわゆるアポ○だ。そしてコレが、アポ○富士山の真の形態でもある
執事,は？どう違うんですか？
魔王,富士山は台形だが、アポ○は三角だろう。上に三角がついた富士山こそが、アポ○富士山だ
弓使い,は？ちょっとついていけないけど皆ついてきてる？
魔王,ハナシを続けよう。古来、アポ○富士山とは台形ではなく三角だった。だが……。古に、血で血を洗う、ある大戦があった。神々はその争いに怒り、富士山を噴火させた。このままでは、世界が終わる。故にそれを防ぐため、古の大術士たちは、“最強の兵器”を作った
教授,“最強の兵器”……？
魔王,大戦を終わらせたという兵器だ。別に、スゴい爆弾とかじゃないぞ
教授,ふうん。そこの発想は同じなんだ
魔王,は……？ともかく、“最強の兵器”の開発によって、大戦は終わった。そして、古き人間と魔族の約定……。人間と魔族が和平協定を結ぶことで、争いは終息を迎える。その和平協定の内容とは！！。―――人間と魔族が、き○この山と、たけ○この里では、もう争わないというコト！！。き○こたけ○こ戦争、ひいては、き○こたけ○こ大戦を起こさないというコトだッ！！！
副運転士,な……！！
キノコ頭,なんだとっ？き○この山が！？
革ジャン,おいおいマジかよ……！ココでソレが繋がってくるのかよ！！
族長,思わぬところで登場したな、我らの戦いが……
魔王,え……、何？今のとこ、アホらしすぎて絶対ドン引きされるから。勢いで押し切ろうと思ったんだけど……。むしろ、そうだったのか！なるほどなーみたいなこの空気はナニ……？
白ドレス,そっか……。なるほど、私にも事態の全貌が見えてきたよ
魔王,なんで一人でナットクしちゃってるんですかねこの天使は
副運転士,そ、それでは、昔のヒトは……。き○この山と、たけ○この里が、原因で争ったために。神々の怒りを受けてしまったと……？
魔王,うん。そういうコトだ。アポ○といえば、き○この山や、たけ○この里の製造方法の元となったというお菓子。ゆえに神々は、上位たるアポ○富士山のチカラで、き○こたけ○こ大戦を押しつぶそうとした。そこで、古の大術士は、アポ○富士山の頂点の三角の部分をもぎ取り、“最強の兵器”に変えた。そして富士山はチカラを封印され、不完全なカタチとなり、台形の姿で知られている……。というのが、アポ○富士山の来歴、ひいては古のき○こたけ○こ大戦の顛末だ
運転士長,なるほど、古のき○こたけ○こ大戦とやらのコトは、よくわかった……。だがそれが、今回のアポ○富士山の噴火と、何の関係がある？。ハナシによれば、“最強の兵器”とやらで、アポ○富士山は封印されたのではないのか？
魔王,そこだ。俺には、そこだけがわからない。“最強の兵器”で、アポ○富士山は封印されている。二度と噴火するハズが無い。だが事実、アポ○富士山は噴火した。とすれば、考えられる原因は二つ。まず一つ目。古の“最強の兵器”が破壊された、という可能性だ。だがそれはありえない。なぜなら“最強の兵器”とは、このドライ・ブラー号の動力源。今も１２号車に安置されている
運転士長,なんだと？……いや、それがさっき言っていた……！
族長,……と、いうコトは、我々が狙っていたのは。魔力塊ではなかった？
魔王,いや、“最強の兵器”は優れた魔力塊には違いない。古の大術士たちの魔力が込められている。だが、間違ってもソレを持ち出そうなどとは思わぬコトだ。“最強の兵器”は、アポ○富士山の周囲を回遊する、この列車だからこそ安置されている。アポ○富士山から近すぎては魔力が集まりすぎるし、遠すぎては封印の効力が薄れるからな。まあ、ドライ・ブラー号の動力源は優れた魔力塊だ、というウワサが独り歩きしすぎて。この列車を狙う魔族が後を絶たないが……。そこはそれ、防衛をコイツに一任している
マスター,ワタクシです。もちろん、この列車の乗務員は、皆精強。ワタクシだけのチカラではありません
族長,な、なるほど……
魔王,しかし、“最強の兵器”は今もココにある。なら、アポ○富士山の噴火の原因とは、何か
白ドレス,そう！考えられるのは、二つ目の原因。“き○こたけ○こ戦争が再び勃発したんじゃないか”……。だよね？まおーちゃん
魔王,そうだ……。しかし、これも。そんな馬鹿げたコト、あるハズが……
キノコ頭,…………
革ジャン,…………
族長,…………
魔王,なぜアイマイな表情で沈黙しているっ
副運転士,あの……、魔王さん？
魔王,なんだ？
副運転士,実はこの列車の騒動の原因、き○こたけ○こ戦争です
魔王,なんだとっ！！？。……ははあ。ああそう、ああそういう……。うんうん。うーん。え、マジで？
白ドレス,大マジだよ。まおーちゃん。き○こたけ○こ戦争が中心なのは、私にも見えてたけど。まさか、最後のアポ○富士山の噴火の原因まで、き○こたけ○こ戦争とはなー
魔王,うっわー、頭イタくなってきた……
白ドレス,そこで私は、ある一つの結論に行き着いた。今、封印の要たるこの列車では、き○こたけ○こ戦争が起こっていた。それは、人間と魔族が、き○この山と、たけ○この里では、もう争わない、という。古き人間と魔族の約定を根底から揺るがすモノ。ゆえに“最強の兵器”はチカラを失った。だから、封印が徐々に解かれ、アポ○富士山が噴火した……。ってところかな？
副運転士,う……。ニワカには信じがたいハナシですが……
魔王,そう考えると、ガテンがいく……。いっちゃう
車掌,まさか、き○こたけ○こ戦争が、諸悪の根源だったとは……
ヒーロー,すまない。ややこしすぎて意味がわからないのだが
副運転士,そ、そうですね。では情報をまとめましょう。ホワイトボード、あります？
車掌,ここに
副運転士,こんなところでしょうか……
桜色の女,おお。字がキレイでござるな
副運転士,あ、ありがとうございます
仮面の男,それは状況を理解していないがゆえの指摘だな、君
桜色の女,難しいコトはよくわからんでござる。しかし。肝要なのはコトの仔細、その把握ではなく。今、拙者たちは何をすべきなのか、ではないでござるかな？
副運転士,む。たしかに……。魔王さん、私たちはいったいどうすれば？
魔王,そうだな。もう一度言うぞ。今、アポ○富士山が噴火して、世界の危機だ。そも、アポ○富士山の噴火とは、神々の怒り……。き○こたけ○こ大戦ごと世界を押し流す、という物騒極まりないモノだ
黒コート,もうちょっと別の方法は無かったのか？神々というのは
白ドレス,だって神々だからね。脳ミソまで筋肉だよ
魔王,お前に言われたかないーっ。そして、俺たちは何をすればいいか？これは単純明快だ。まず、アポ○富士山の噴火の原因。“最強の兵器”の封印のチカラの弱まり。これを解決しなくてはならない
副運転士,つまりソレは、具体的に言うと……？
魔王,き○こたけ○こ戦争の休戦
キノコ頭,……！
革ジャン,なるほどね
族長,ほう……
魔王,“最強の兵器”の封印のチカラの弱まりは、この列車で起こったき○こたけ○こ戦争が原因だ。だから、まずはその休戦。そして和解。その後、世界からき○こたけ○こ戦争が無くなるよう、しかるべき措置を施すのが理想的だ
キノコ頭,だが、待て！俺たちは確固たる理想を持ってき○こたけ○こ戦争に参加している！。なのに、急に和解しろなどと言われても！
魔王,お前らかよ原因は。とっとと和解しろや
族長,だが、魔王様……。俺もアル○ォート派として、一言物申したい
魔王,あっ、そうかお前らアル○ォート派か！こじれてきたなぁ
族長,我らのチョコ菓子を愛する気持ちはホンモノ。だからこそ、お互いを認めろなどと……。そのようなコトは不可能だ。俺も、アル○ォートこそが至高だと信じている
魔族A,そうだそうだー！
キノコ頭,笑止。俺たちは、き○この山こそが最強と主張する。その思いに揺るぎは無い
魔王,はぁー……、やっぱ根深いんだな、こういうの。たかがき○こたけ○こ戦争と侮ったか
副運転士,しかし、ここは和解してもらわないと……。それも心から。そうでないと、アポ○富士山の噴火は止まらないんですよね？
魔王,ああ。まずは封印のチカラを復活させないコトには……
教授,―――ちょっといい？
魔王,なんだ？ヘンクツそうなガキンチョ
教授,ヘンクツそうは余計だ。その、封印のチカラの主、“最強の兵器”って言った？
魔王,ああ。具体的には、アポ○富士山の頂点にあった、三角の部分。あれこそが“最強の兵器”だ。今も１２号車にはアポ○富士山の頂点にある三角の部分が存在するってワケだな
教授,そう。古の大戦を止めた発明も、“最強の兵器”……。これも何かの因果なのかな。みんな、聞いてください。私は教授と呼ばれている、若き天才科学者です。発明とかやってます
執事,自分で言いますか、お嬢様
教授,私は先日、たけ○こ派から、ある依頼を受けました。その内容は――――。き○こたけ○こ戦争を終わらせる、“最強の兵器”を開発するコトです
族長,……！
キノコ頭,…………
魔王,えっ、“最強の兵器”？同じ通称！？
